time,Philadelphia,pts.away,score,pts.home,Phoenix
1:25.0,M. Thomas enters the game for M. Carter-Williams,,24-28,,
1:25.0,H. Sims makes free throw 2 of 2,1,25-28,,
1:12.0,,,25-30,2,M. Morris makes 2-pt shot from 9 ft (assist by I. Thomas)
0:53.0,H. Sims makes 2-pt shot from 15 ft (assist by K. McDaniels),2,27-30,,
0:41.0,,,27-32,2,M. Morris makes 2-pt shot from 18 ft (assist by I. Thomas)
0:25.0,K. McDaniels makes 2-pt shot from 1 ft,2,29-32,,
0:02.0,,,29-32,,Shooting foul by T. Wroten (drawn by I. Thomas)
0:02.0,,,29-33,1,I. Thomas makes free throw 1 of 2
0:02.0,,,29-34,1,I. Thomas makes free throw 2 of 2
0:01.0,T. Wroten misses 3-pt shot from 55 ft,,29-34,,
0:00.0,Offensive rebound by Team,,29-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-34,,T. Warren misses 3-pt shot from 23 ft
11:42.0,Defensive rebound by H. Sims,,29-34,,
11:34.0,H. Sims makes 2-pt shot from 1 ft (assist by M. Thomas),2,31-34,,
11:17.0,,,31-34,,Turnover by G. Green (bad pass)
10:56.0,M. Thomas misses 2-pt shot from 7 ft,,31-34,,
10:54.0,,,31-34,,Defensive rebound by I. Thomas
10:45.0,,,31-36,2,T. Warren makes 2-pt shot from 1 ft (assist by G. Green)
10:38.0,,,31-36,,Violation by M. Plumlee (def goaltending)
10:38.0,T. Wroten makes 2-pt shot from 5 ft,2,33-36,,
10:23.0,,,33-36,,G. Green misses 2-pt shot from 11 ft
10:22.0,,,33-36,,Offensive rebound by T. Warren
10:18.0,,,33-38,2,T. Warren makes 2-pt shot from 1 ft
10:12.0,J. Grant misses 2-pt shot from 1 ft,,33-38,,
10:11.0,Offensive rebound by J. Grant,,33-38,,
10:05.0,T. Wroten makes 3-pt shot from 24 ft (assist by H. Sims),3,36-38,,
9:53.0,,,36-38,,Turnover by T. Warren (traveling)
9:53.0,N. Noel enters the game for K. McDaniels,,36-38,,
9:53.0,R. Covington enters the game for H. Sims,,36-38,,
9:40.0,T. Wroten makes 3-pt shot from 26 ft (assist by M. Thomas),3,39-38,,
9:23.0,,,39-41,3,G. Green makes 3-pt shot from 24 ft
9:01.0,Turnover by T. Wroten (bad pass; steal by G. Green),,39-41,,
8:55.0,,,39-44,3,I. Thomas makes 3-pt shot from 26 ft (assist by G. Green)
8:52.0,Philadelphia full timeout,,39-44,,
8:52.0,L. Mbah a Moute enters the game for J. Grant,,39-44,,
8:45.0,Turnover by R. Covington (bad pass; steal by M. Plumlee),,39-44,,
8:41.0,,,39-44,,Turnover by G. Green (lost ball; steal by R. Covington)
8:37.0,Turnover by R. Covington (traveling),,39-44,,
8:37.0,M. Carter-Williams enters the game for M. Thomas,,39-44,,
8:25.0,,,39-44,,Turnover by M. Morris (lost ball; steal by L. Mbah a Moute)
8:21.0,T. Wroten makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,41-44,,
8:07.0,Personal foul by N. Noel (drawn by M. Plumlee),,41-44,,
8:07.0,,,41-44,,G. Dragic enters the game for M. Morris
7:56.0,,,41-46,2,G. Green makes 2-pt shot from 11 ft
7:50.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by T. Wroten),2,43-46,,
7:43.0,,,43-49,3,G. Green makes 3-pt shot from 24 ft (assist by I. Thomas)
7:18.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,43-49,,
7:15.0,,,43-49,,Defensive rebound by G. Green
6:56.0,,,43-49,,I. Thomas misses 3-pt shot from 25 ft
6:55.0,,,43-49,,Offensive rebound by M. Plumlee
6:53.0,,,43-51,2,M. Plumlee makes 2-pt shot from 2 ft
6:30.0,M. Carter-Williams misses 2-pt shot from 8 ft,,43-51,,
6:28.0,,,43-51,,Defensive rebound by I. Thomas
6:20.0,,,43-53,2,G. Green makes 2-pt shot from 1 ft
6:04.0,,,43-53,,Personal foul by I. Thomas (drawn by M. Carter-Williams)
6:04.0,,,43-53,,A. Len enters the game for M. Plumlee
5:56.0,M. Carter-Williams misses 2-pt shot from 6 ft,,43-53,,
5:56.0,Offensive rebound by N. Noel,,43-53,,
5:56.0,N. Noel makes 2-pt shot from 1 ft,2,45-53,,
5:43.0,,,45-53,,Shooting foul by R. Covington (drawn by G. Dragic)
5:43.0,Official timeout,,45-53,,
5:43.0,,,45-53,,G. Dragic misses free throw 1 of 2
5:43.0,,,45-53,,Offensive rebound by Team
5:43.0,,,45-53,,G. Dragic misses free throw 2 of 2
5:42.0,Defensive rebound by M. Carter-Williams,,45-53,,
5:21.0,N. Noel makes 2-pt shot from 15 ft (assist by T. Wroten),2,47-53,,
5:06.0,,,47-53,,T. Warren misses 2-pt shot from 16 ft
5:05.0,Defensive rebound by L. Mbah a Moute,,47-53,,
4:53.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,49-53,,
4:39.0,,,49-53,,A. Len misses 2-pt shot from 2 ft
4:38.0,Defensive rebound by N. Noel,,49-53,,
4:31.0,Turnover by L. Mbah a Moute (step out of bounds),,49-53,,
4:31.0,,,49-53,,E. Bledsoe enters the game for T. Warren
4:31.0,K. McDaniels enters the game for R. Covington,,49-53,,
4:17.0,,,49-53,,Turnover by A. Len (3 sec)
4:00.0,K. McDaniels misses 3-pt shot from 23 ft,,49-53,,
3:59.0,,,49-53,,Defensive rebound by G. Dragic
3:44.0,,,49-53,,Turnover by G. Dragic (lost ball; steal by L. Mbah a Moute)
3:44.0,,,49-53,,Loose ball foul by G. Dragic (drawn by L. Mbah a Moute)
3:27.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,49-53,,
3:26.0,,,49-53,,Defensive rebound by G. Green
3:21.0,,,49-53,,G. Green misses 3-pt shot from 24 ft
3:20.0,,,49-53,,Offensive rebound by G. Dragic
2:59.0,,,49-53,,E. Bledsoe misses 2-pt shot from 22 ft
2:58.0,Defensive rebound by K. McDaniels,,49-53,,
2:49.0,M. Carter-Williams makes 3-pt shot from 24 ft (assist by K. McDaniels),3,52-53,,
2:44.0,,,52-53,,Phoenix full timeout
2:44.0,,,52-53,,M. Morris enters the game for I. Thomas
2:44.0,,,52-53,,P. Tucker enters the game for G. Green
2:44.0,J. Grant enters the game for L. Mbah a Moute,,52-53,,
2:34.0,,,52-55,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Dragic)
2:20.0,,,52-55,,Turnover by A. Len (bad pass)
2:20.0,Turnover by M. Carter-Williams (bad pass; steal by G. Dragic),,52-55,,
2:13.0,,,52-55,,Personal foul by A. Len (drawn by N. Noel)
2:13.0,,,52-55,,M. Morris enters the game for A. Len
2:11.0,,,52-55,,Personal foul by M. Morris (drawn by J. Grant)
1:58.0,T. Wroten misses 2-pt shot from 8 ft,,52-55,,
1:57.0,,,52-55,,Defensive rebound by E. Bledsoe
1:50.0,Personal foul by M. Carter-Williams (drawn by E. Bledsoe),,52-55,,
1:50.0,R. Covington enters the game for N. Noel,,52-55,,
1:50.0,H. Sims enters the game for M. Carter-Williams,,52-55,,
1:44.0,,,52-55,,Turnover by G. Dragic (lost ball; steal by T. Wroten)
1:39.0,H. Sims makes 2-pt shot at rim (assist by T. Wroten),2,54-55,,
1:23.0,,,54-55,,M. Morris misses 2-pt shot from 6 ft (block by H. Sims)
1:21.0,Defensive rebound by T. Wroten,,54-55,,
1:17.0,T. Wroten misses 2-pt shot from 6 ft,,54-55,,
1:15.0,,,54-55,,Defensive rebound by M. Morris
1:07.0,Personal foul by T. Wroten (drawn by M. Morris),,54-55,,
1:07.0,,,54-56,1,M. Morris makes free throw 1 of 2
1:07.0,,,54-57,1,M. Morris makes free throw 2 of 2
0:56.0,T. Wroten makes 2-pt shot from 2 ft,2,56-57,,
0:56.0,,,56-57,,Shooting block foul by M. Morris (drawn by T. Wroten)
0:56.0,,,56-57,,M. Plumlee enters the game for M. Morris
0:56.0,T. Wroten misses free throw 1 of 1,,56-57,,
0:56.0,,,56-57,,Defensive rebound by P. Tucker
0:34.0,,,56-57,,G. Dragic misses 3-pt shot from 24 ft
0:33.0,,,56-57,,Offensive rebound by E. Bledsoe
0:12.0,,,56-57,,E. Bledsoe misses 2-pt shot from 6 ft
0:11.0,Defensive rebound by K. McDaniels,,56-57,,
0:01.0,T. Wroten makes 2-pt shot from 3 ft (assist by K. McDaniels),2,58-57,,
0:01.0,,,58-57,,Shooting block foul by M. Plumlee (drawn by T. Wroten)
0:01.0,T. Wroten makes free throw 1 of 1,1,59-57,,
0:00.0,,,59-57,,M. Morris misses 3-pt shot from 26 ft
0:00.0,,,59-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,59-59,2,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe)
11:28.0,K. McDaniels misses 2-pt shot from 2 ft (block by A. Len),,59-59,,
11:26.0,,,59-59,,Defensive rebound by A. Len
11:15.0,,,59-62,3,G. Dragic makes 3-pt shot from 25 ft (assist by E. Bledsoe)
11:01.0,K. McDaniels misses 3-pt shot from 22 ft,,59-62,,
10:59.0,Offensive rebound by M. Carter-Williams,,59-62,,
10:53.0,M. Carter-Williams misses 3-pt shot from 24 ft,,59-62,,
10:52.0,,,59-62,,Defensive rebound by Team
10:43.0,,,59-65,3,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe)
10:43.0,Philadelphia full timeout,,59-65,,
10:26.0,K. McDaniels misses 2-pt shot from 3 ft (block by A. Len),,59-65,,
10:24.0,Offensive rebound by M. Carter-Williams,,59-65,,
10:20.0,Turnover by L. Mbah a Moute (lost ball; steal by M. Morris),,59-65,,
10:09.0,Personal block foul by R. Covington (drawn by E. Bledsoe),,59-65,,
9:59.0,,,59-65,,G. Dragic misses 2-pt shot from 7 ft (block by N. Noel)
9:58.0,Defensive rebound by M. Carter-Williams,,59-65,,
9:55.0,K. McDaniels makes 2-pt shot at rim (assist by M. Carter-Williams),2,61-65,,
9:32.0,,,61-65,,G. Dragic misses 2-pt shot from 14 ft
9:31.0,,,61-65,,Offensive rebound by A. Len
9:29.0,,,61-65,,Turnover by A. Len (lost ball; steal by R. Covington)
9:25.0,R. Covington makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,63-65,,
8:58.0,,,63-68,3,P. Tucker makes 3-pt shot from 26 ft
8:48.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,63-68,,
8:47.0,Offensive rebound by N. Noel,,63-68,,
8:32.0,N. Noel misses 2-pt shot from 11 ft,,63-68,,
8:31.0,,,63-68,,Defensive rebound by E. Bledsoe
8:23.0,,,63-68,,G. Dragic misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by R. Covington,,63-68,,
8:13.0,L. Mbah a Moute misses 2-pt shot at rim (block by A. Len),,63-68,,
8:11.0,,,63-68,,Defensive rebound by G. Dragic
8:08.0,Shooting block foul by R. Covington (drawn by M. Morris),,63-68,,
8:08.0,,,63-69,1,M. Morris makes free throw 1 of 2
8:08.0,T. Wroten enters the game for R. Covington,,63-69,,
8:08.0,,,63-70,1,M. Morris makes free throw 2 of 2
7:52.0,T. Wroten misses 3-pt shot from 25 ft,,63-70,,
7:51.0,,,63-70,,Defensive rebound by E. Bledsoe
7:45.0,,,63-70,,E. Bledsoe misses 2-pt shot from 1 ft (block by N. Noel)
7:43.0,Defensive rebound by M. Carter-Williams,,63-70,,
7:40.0,,,63-70,,Personal block foul by G. Dragic (drawn by T. Wroten)
7:40.0,T. Wroten misses free throw 1 of 2,,63-70,,
7:40.0,Offensive rebound by Team,,63-70,,
7:40.0,T. Wroten makes free throw 2 of 2,1,64-70,,
7:19.0,,,64-72,2,M. Morris makes 2-pt shot from 4 ft
7:03.0,Turnover by M. Carter-Williams (lost ball; steal by E. Bledsoe),,64-72,,
6:47.0,,,64-72,,E. Bledsoe misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by Team,,64-72,,
6:34.0,M. Carter-Williams misses 2-pt shot from 18 ft,,64-72,,
6:32.0,,,64-72,,Defensive rebound by G. Dragic
6:22.0,,,64-72,,M. Plumlee enters the game for A. Len
6:20.0,,,64-72,,M. Morris misses 2-pt shot from 3 ft (block by L. Mbah a Moute)
6:18.0,,,64-72,,Offensive rebound by M. Morris
6:16.0,,,64-72,,M. Morris misses 2-pt shot from 2 ft
6:15.0,,,64-72,,Offensive rebound by M. Plumlee
6:15.0,,,64-74,2,M. Plumlee makes 2-pt shot at rim
6:01.0,K. McDaniels misses 2-pt shot from 3 ft (block by M. Plumlee),,64-74,,
5:59.0,,,64-74,,Defensive rebound by G. Dragic
5:41.0,,,64-74,,E. Bledsoe misses 2-pt shot from 1 ft
5:40.0,Defensive rebound by L. Mbah a Moute,,64-74,,
5:32.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,64-74,,
5:31.0,,,64-74,,Defensive rebound by P. Tucker
5:19.0,,,64-74,,G. Dragic misses 3-pt shot from 24 ft
5:18.0,,,64-74,,Offensive rebound by G. Dragic
4:56.0,,,64-74,,Offensive foul by M. Morris
4:56.0,,,64-74,,Turnover by P. Tucker (offensive foul)
4:56.0,,,64-74,,Phoenix full timeout
4:56.0,,,64-74,,G. Green enters the game for M. Morris
4:56.0,,,64-74,,M. Morris enters the game for G. Dragic
4:56.0,H. Sims enters the game for N. Noel,,64-74,,
4:56.0,J. Grant enters the game for K. McDaniels,,64-74,,
4:45.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by H. Sims),2,66-74,,
4:26.0,,,66-74,,G. Green misses 3-pt shot from 22 ft
4:25.0,Defensive rebound by T. Wroten,,66-74,,
4:16.0,J. Grant misses 3-pt shot from 24 ft,,66-74,,
4:15.0,,,66-74,,Defensive rebound by G. Green
4:01.0,Personal foul by M. Carter-Williams (drawn by M. Morris),,66-74,,
3:48.0,,,66-74,,Turnover by P. Tucker (lost ball; steal by T. Wroten)
3:44.0,T. Wroten misses 2-pt shot from 2 ft,,66-74,,
3:42.0,Offensive rebound by M. Carter-Williams,,66-74,,
3:42.0,M. Carter-Williams makes 2-pt shot at rim,2,68-74,,
3:25.0,,,68-76,2,G. Green makes 2-pt shot from 1 ft
3:03.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by M. Plumlee),,68-76,,
3:03.0,,,68-76,,Defensive rebound by M. Plumlee
2:58.0,,,68-78,2,G. Green makes 2-pt shot at rim (assist by E. Bledsoe)
2:38.0,Turnover by T. Wroten (bad pass),,68-78,,
2:38.0,Philadelphia full timeout,,68-78,,
2:38.0,R. Covington enters the game for L. Mbah a Moute,,68-78,,
2:38.0,M. Thomas enters the game for M. Carter-Williams,,68-78,,
2:20.0,,,68-80,2,M. Plumlee makes 2-pt shot at rim (assist by E. Bledsoe)
2:14.0,T. Wroten misses 2-pt shot at rim,,68-80,,
2:13.0,Offensive rebound by H. Sims,,68-80,,
2:13.0,H. Sims makes 2-pt shot from 1 ft,2,70-80,,
2:03.0,,,70-80,,G. Green misses 3-pt shot from 23 ft
2:00.0,Defensive rebound by M. Thomas,,70-80,,
1:53.0,,,70-80,,Personal foul by M. Plumlee (drawn by H. Sims)
1:46.0,T. Wroten makes 3-pt shot from 25 ft,3,73-80,,
1:29.0,,,73-80,,Turnover by M. Morris (bad pass; steal by T. Wroten)
1:26.0,,,73-80,,Personal take foul by G. Green (drawn by T. Wroten)
1:26.0,T. Wroten misses free throw 1 of 2,,73-80,,
1:26.0,Offensive rebound by Team,,73-80,,
1:26.0,T. Wroten makes free throw 2 of 2,1,74-80,,
1:20.0,,,74-80,,Offensive foul by M. Plumlee
1:20.0,,,74-80,,Turnover by M. Plumlee (offensive foul)
1:08.0,R. Covington makes 3-pt shot from 24 ft,3,77-80,,
0:53.0,,,77-80,,E. Bledsoe misses 2-pt shot from 3 ft (block by H. Sims)
0:52.0,Defensive rebound by Team,,77-80,,
0:52.0,,,77-80,,Personal foul by M. Plumlee (drawn by R. Covington)
0:52.0,R. Covington makes free throw 1 of 2,1,78-80,,
0:52.0,,,78-80,,I. Thomas enters the game for P. Tucker
0:52.0,R. Covington makes free throw 2 of 2,1,79-80,,
0:46.0,,,79-82,2,G. Green makes 2-pt shot from 1 ft
0:32.0,Turnover by T. Wroten (bad pass; steal by M. Plumlee),,79-82,,
0:27.0,,,79-84,2,E. Bledsoe makes 2-pt shot at rim
0:06.0,R. Covington misses 3-pt shot from 23 ft,,79-84,,
0:05.0,,,79-84,,Defensive rebound by M. Morris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,T. Wroten misses 3-pt shot from 25 ft,,79-84,,
11:38.0,Offensive rebound by H. Sims,,79-84,,
11:32.0,J. Grant misses 3-pt shot from 23 ft,,79-84,,
11:30.0,Offensive rebound by H. Sims,,79-84,,
11:23.0,Turnover by T. Wroten (lost ball; steal by G. Dragic),,79-84,,
11:16.0,,,79-86,2,M. Morris makes 2-pt shot from 1 ft
10:53.0,M. Thomas misses 3-pt shot from 22 ft,,79-86,,
10:52.0,,,79-86,,Defensive rebound by I. Thomas
10:45.0,,,79-86,,G. Dragic misses 2-pt shot from 1 ft
10:44.0,,,79-86,,Offensive rebound by M. Plumlee
10:44.0,,,79-88,2,M. Plumlee makes 2-pt shot from 1 ft
10:31.0,R. Covington misses 3-pt shot from 24 ft,,79-88,,
10:30.0,,,79-88,,Defensive rebound by I. Thomas
10:25.0,,,79-88,,G. Dragic misses 2-pt shot at rim (block by R. Covington)
10:25.0,,,79-88,,Offensive rebound by Team
10:25.0,M. Carter-Williams enters the game for M. Thomas,,79-88,,
10:25.0,L. Mbah a Moute enters the game for J. Grant,,79-88,,
10:18.0,,,79-88,,I. Thomas misses 2-pt shot from 11 ft
10:16.0,Defensive rebound by R. Covington,,79-88,,
10:08.0,Philadelphia full timeout,,79-88,,
10:08.0,K. McDaniels enters the game for T. Wroten,,79-88,,
9:59.0,H. Sims misses 2-pt shot at rim (block by M. Plumlee),,79-88,,
9:57.0,,,79-88,,Defensive rebound by M. Plumlee
9:47.0,,,79-88,,G. Green misses 2-pt shot at rim
9:45.0,,,79-88,,Offensive rebound by G. Green
9:41.0,,,79-88,,G. Dragic misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by H. Sims,,79-88,,
9:31.0,H. Sims makes 2-pt shot from 21 ft (assist by M. Carter-Williams),2,81-88,,
9:15.0,,,81-90,2,G. Green makes 2-pt shot from 19 ft (assist by M. Morris)
8:49.0,K. McDaniels misses 2-pt shot from 3 ft (block by M. Plumlee),,81-90,,
8:46.0,,,81-90,,Defensive rebound by G. Dragic
8:41.0,,,81-92,2,I. Thomas makes 2-pt shot from 1 ft (assist by G. Dragic)
8:31.0,Turnover by H. Sims (bad pass),,81-92,,
8:08.0,,,81-95,3,G. Green makes 3-pt shot from 22 ft (assist by M. Morris)
8:06.0,Philadelphia full timeout,,81-95,,
8:06.0,T. Wroten enters the game for K. McDaniels,,81-95,,
8:06.0,J. Grant enters the game for H. Sims,,81-95,,
7:50.0,M. Carter-Williams makes 2-pt shot from 19 ft,2,83-95,,
7:31.0,,,83-95,,G. Green misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by J. Grant,,83-95,,
7:20.0,L. Mbah a Moute misses 2-pt shot at rim,,83-95,,
7:19.0,,,83-95,,Defensive rebound by M. Morris
7:16.0,,,83-95,,Turnover by M. Morris (lost ball; steal by L. Mbah a Moute)
7:12.0,T. Wroten makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,85-95,,
6:53.0,,,85-98,3,I. Thomas makes 3-pt shot from 22 ft (assist by M. Morris)
6:44.0,Shooting foul by G. Dragic (drawn by T. Wroten),,85-98,,
6:44.0,T. Wroten makes free throw 1 of 3,1,86-98,,
6:44.0,T. Wroten misses free throw 2 of 3,,86-98,,
6:44.0,Offensive rebound by Team,,86-98,,
6:44.0,,,86-98,,M. Morris enters the game for M. Plumlee
6:44.0,T. Wroten misses free throw 3 of 3,,86-98,,
6:43.0,,,86-98,,Defensive rebound by I. Thomas
6:37.0,,,86-98,,Shooting foul by M. Carter-Williams (drawn by G. Dragic)
6:37.0,,,86-99,1,G. Dragic makes free throw 1 of 2
6:37.0,,,86-100,1,G. Dragic makes free throw 2 of 2
6:22.0,T. Wroten makes 3-pt shot from 24 ft (assist by R. Covington),3,89-100,,
5:57.0,,,89-100,,G. Dragic misses 2-pt shot from 19 ft
5:56.0,Defensive rebound by L. Mbah a Moute,,89-100,,
5:46.0,M. Carter-Williams misses 2-pt shot from 11 ft,,89-100,,
5:45.0,Offensive rebound by J. Grant,,89-100,,
5:44.0,,,89-100,,Personal foul by I. Thomas (drawn by R. Covington)
5:38.0,Offensive foul by J. Grant,,89-100,,
5:38.0,Turnover by J. Grant (offensive foul),,89-100,,
5:38.0,,,89-100,,E. Bledsoe enters the game for G. Green
