time,San Antonio,pts.away,score,pts.home,Minnesota
8:21.0,T. Parker makes 2-pt shot from 1 ft,2,10-6,,
7:55.0,,,10-8,2,G. Dieng makes 2-pt shot from 10 ft (assist by C. Brewer)
7:41.0,T. Parker makes 2-pt shot from 7 ft,2,12-8,,
7:40.0,,,12-8,,Minnesota full timeout
7:31.0,,,12-10,2,C. Brewer makes 2-pt shot from 15 ft
7:10.0,K. Leonard misses 3-pt shot from 24 ft,,12-10,,
7:08.0,,,12-10,,Defensive rebound by Team
6:57.0,,,12-10,,C. Brewer misses 2-pt shot from 9 ft
6:56.0,Defensive rebound by B. Diaw,,12-10,,
6:51.0,T. Parker makes 2-pt shot from 2 ft (assist by B. Diaw),2,14-10,,
6:27.0,,,14-10,,Shooting foul by K. Leonard (drawn by A. Wiggins)
6:27.0,,,14-10,,A. Wiggins misses free throw 1 of 2
6:27.0,,,14-10,,Offensive rebound by Team
6:27.0,,,14-10,,A. Bennett enters the game for S. Muhammad
6:27.0,,,14-11,1,A. Wiggins makes free throw 2 of 2
6:13.0,M. Ginobili enters the game for D. Green,,14-11,,
6:07.0,K. Leonard misses 2-pt shot from 11 ft,,14-11,,
6:06.0,,,14-11,,Defensive rebound by M. Williams
6:02.0,,,14-13,2,A. Wiggins makes 2-pt shot from 1 ft (assist by M. Williams)
5:41.0,B. Diaw makes 3-pt shot from 24 ft (assist by T. Parker),3,17-13,,
5:25.0,,,17-13,,Turnover by A. Bennett (traveling)
5:25.0,A. Baynes enters the game for T. Duncan,,17-13,,
5:16.0,T. Parker misses 2-pt shot at rim,,17-13,,
5:15.0,Offensive rebound by A. Baynes,,17-13,,
5:13.0,A. Baynes misses 2-pt shot from 2 ft (block by G. Dieng),,17-13,,
5:13.0,Offensive rebound by A. Baynes,,17-13,,
5:06.0,T. Parker makes 3-pt shot from 25 ft (assist by A. Baynes),3,20-13,,
4:48.0,,,20-13,,A. Wiggins misses 2-pt shot from 15 ft
4:47.0,,,20-13,,Offensive rebound by G. Dieng
4:43.0,,,20-13,,G. Dieng misses 2-pt shot from 7 ft
4:42.0,Defensive rebound by A. Baynes,,20-13,,
4:35.0,Turnover by T. Parker (bad pass),,20-13,,
4:35.0,M. Belinelli enters the game for K. Leonard,,20-13,,
4:25.0,,,20-16,3,M. Williams makes 3-pt shot from 24 ft
4:09.0,Offensive charge foul by B. Diaw,,20-16,,
4:09.0,Turnover by B. Diaw (offensive foul),,20-16,,
3:59.0,,,20-16,,Turnover by A. Bennett (lost ball; steal by T. Parker)
3:54.0,M. Ginobili misses 2-pt shot from 1 ft,,20-16,,
3:53.0,Offensive rebound by M. Belinelli,,20-16,,
3:53.0,M. Belinelli makes 2-pt shot at rim,2,22-16,,
3:38.0,,,22-18,2,A. Bennett makes 2-pt shot from 20 ft (assist by M. Williams)
3:37.0,San Antonio full timeout,,22-18,,
3:37.0,,,22-18,,C. Budinger enters the game for G. Dieng
3:37.0,,,22-18,,R. Hummel enters the game for C. Brewer
3:22.0,M. Ginobili misses 2-pt shot from 19 ft,,22-18,,
3:21.0,,,22-18,,Defensive rebound by R. Hummel
3:15.0,,,22-18,,Turnover by M. Williams (bad pass; steal by M. Ginobili)
3:07.0,T. Parker makes 2-pt shot at rim,2,24-18,,
2:50.0,,,24-18,,Shooting foul by A. Baynes (drawn by A. Wiggins)
2:50.0,,,24-19,1,A. Wiggins makes free throw 1 of 2
2:50.0,C. Joseph enters the game for T. Parker,,24-19,,
2:50.0,,,24-20,1,A. Wiggins makes free throw 2 of 2
2:34.0,C. Joseph misses 2-pt shot from 19 ft,,24-20,,
2:33.0,,,24-20,,Defensive rebound by M. Williams
2:28.0,,,24-20,,M. Williams misses 2-pt shot from 2 ft
2:27.0,,,24-20,,Offensive rebound by A. Bennett
2:27.0,,,24-22,2,A. Bennett makes 2-pt shot at rim
2:20.0,Shooting foul by R. Hummel (drawn by B. Diaw),,24-22,,
2:20.0,B. Diaw makes free throw 1 of 2,1,25-22,,
2:20.0,B. Diaw makes free throw 2 of 2,1,26-22,,
2:03.0,,,26-22,,Shooting foul by A. Baynes (drawn by R. Hummel)
2:03.0,,,26-22,,R. Hummel misses free throw 1 of 2
2:03.0,,,26-22,,Offensive rebound by Team
2:03.0,A. Daye enters the game for B. Diaw,,26-22,,
2:03.0,,,26-22,,R. Hummel misses free throw 2 of 2
2:03.0,Defensive rebound by A. Daye,,26-22,,
1:43.0,A. Daye misses 2-pt shot from 10 ft,,26-22,,
1:42.0,,,26-22,,Defensive rebound by C. Budinger
1:34.0,,,26-24,2,A. Bennett makes 2-pt shot from 17 ft (assist by M. Williams)
1:17.0,Turnover by M. Belinelli (bad pass; steal by A. Bennett),,26-24,,
1:17.0,Personal foul by M. Ginobili (drawn by A. Wiggins),,26-24,,
1:02.0,,,26-26,2,M. Williams makes 2-pt shot from 19 ft
0:51.0,M. Ginobili makes 3-pt shot from 23 ft (assist by C. Joseph),3,29-26,,
0:40.0,,,29-26,,M. Williams misses 3-pt shot from 23 ft
0:39.0,Defensive rebound by M. Belinelli,,29-26,,
0:28.0,A. Daye misses 2-pt shot from 21 ft,,29-26,,
0:27.0,,,29-26,,Defensive rebound by C. Budinger
0:07.0,,,29-26,,C. Budinger misses 2-pt shot from 18 ft
0:05.0,Defensive rebound by A. Daye,,29-26,,
0:00.0,Turnover by C. Joseph (lost ball; steal by A. Wiggins),,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal block foul by A. Daye (drawn by M. Williams),,29-26,,
11:44.0,,,29-28,2,M. Williams makes 2-pt shot from 19 ft (assist by A. Bennett)
11:30.0,M. Ginobili misses 2-pt shot from 20 ft,,29-28,,
11:27.0,,,29-28,,Defensive rebound by C. Budinger
11:27.0,Personal foul by C. Joseph (drawn by C. Budinger),,29-28,,
11:27.0,,,29-28,,C. Brewer enters the game for A. Wiggins
11:11.0,,,29-28,,A. Bennett misses 2-pt shot from 12 ft
11:09.0,,,29-28,,Offensive rebound by R. Hummel
11:09.0,,,29-30,2,R. Hummel makes 2-pt shot at rim
10:57.0,Shooting foul by R. Hummel (drawn by M. Ginobili),,29-30,,
10:57.0,M. Ginobili makes free throw 1 of 2,1,30-30,,
10:57.0,,,30-30,,Z. LaVine enters the game for M. Williams
10:57.0,,,30-30,,S. Muhammad enters the game for R. Hummel
10:57.0,M. Ginobili makes free throw 2 of 2,1,31-30,,
10:42.0,,,31-30,,C. Budinger misses 2-pt shot from 5 ft
10:41.0,Defensive rebound by A. Daye,,31-30,,
10:25.0,A. Daye makes 2-pt shot from 20 ft (assist by M. Ginobili),2,33-30,,
10:09.0,,,33-30,,Z. LaVine misses 2-pt shot from 8 ft
10:07.0,Defensive rebound by C. Joseph,,33-30,,
10:02.0,D. Green makes 2-pt shot at rim (assist by C. Joseph),2,35-30,,
10:02.0,,,35-30,,Minnesota full timeout
10:02.0,,,35-30,,G. Dieng enters the game for A. Bennett
10:02.0,T. Duncan enters the game for A. Baynes,,35-30,,
10:02.0,K. Leonard enters the game for M. Ginobili,,35-30,,
9:44.0,,,35-32,2,C. Budinger makes 2-pt shot from 14 ft (assist by G. Dieng)
9:32.0,,,35-32,,Personal foul by C. Brewer (drawn by K. Leonard)
9:23.0,Turnover by K. Leonard (bad pass; steal by C. Budinger),,35-32,,
9:11.0,,,35-32,,G. Dieng misses 2-pt shot from 17 ft
9:10.0,Defensive rebound by A. Daye,,35-32,,
9:05.0,San Antonio full timeout,,35-32,,
9:05.0,T. Parker enters the game for C. Joseph,,35-32,,
8:58.0,K. Leonard makes 2-pt shot from 6 ft (assist by A. Daye),2,37-32,,
8:42.0,,,37-32,,Turnover by S. Muhammad (lost ball)
8:25.0,,,37-32,,Personal foul by G. Dieng (drawn by T. Duncan)
8:17.0,T. Parker makes 2-pt shot from 1 ft,2,39-32,,
7:58.0,,,39-32,,S. Muhammad misses 2-pt shot from 7 ft
7:57.0,,,39-32,,Offensive rebound by G. Dieng
7:56.0,,,39-34,2,G. Dieng makes 2-pt shot at rim
7:42.0,T. Parker makes 2-pt shot from 20 ft,2,41-34,,
7:23.0,,,41-37,3,C. Budinger makes 3-pt shot from 24 ft (assist by Z. LaVine)
7:04.0,Turnover by A. Daye (offensive foul),,41-37,,
7:04.0,Offensive foul by A. Daye,,41-37,,
7:04.0,B. Diaw enters the game for A. Daye,,41-37,,
6:54.0,,,41-37,,S. Muhammad misses 2-pt shot from 20 ft
6:52.0,Defensive rebound by D. Green,,41-37,,
6:42.0,B. Diaw misses 2-pt shot from 5 ft,,41-37,,
6:41.0,Offensive rebound by B. Diaw,,41-37,,
6:29.0,D. Green makes 3-pt shot from 23 ft (assist by T. Parker),3,44-37,,
6:14.0,,,44-37,,C. Brewer misses 2-pt shot from 7 ft (block by T. Duncan)
6:12.0,Defensive rebound by T. Duncan,,44-37,,
6:07.0,D. Green makes 3-pt shot from 25 ft,3,47-37,,
6:07.0,,,47-37,,Minnesota full timeout
6:07.0,,,47-37,,A. Wiggins enters the game for C. Budinger
6:07.0,M. Ginobili enters the game for D. Green,,47-37,,
6:07.0,,,47-37,,M. Williams enters the game for Z. LaVine
5:44.0,,,47-37,,M. Williams misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by B. Diaw,,47-37,,
5:33.0,T. Parker misses 2-pt shot from 11 ft,,47-37,,
5:32.0,,,47-37,,Defensive rebound by A. Wiggins
5:19.0,,,47-37,,S. Muhammad misses 2-pt shot from 7 ft
5:18.0,Defensive rebound by T. Duncan,,47-37,,
5:07.0,K. Leonard makes 2-pt shot from 6 ft,2,49-37,,
4:42.0,,,49-37,,G. Dieng misses 2-pt shot from 1 ft (block by T. Duncan)
4:41.0,,,49-37,,Offensive rebound by G. Dieng
4:40.0,,,49-37,,Turnover by G. Dieng (lost ball)
4:40.0,,,49-37,,A. Bennett enters the game for S. Muhammad
4:30.0,,,49-37,,Personal foul by G. Dieng (drawn by T. Duncan)
4:30.0,,,49-37,,Personal foul by C. Brewer (drawn by T. Duncan)
4:30.0,T. Duncan makes free throw 1 of 2,1,50-37,,
4:30.0,T. Duncan makes free throw 2 of 2,1,51-37,,
4:08.0,,,51-37,,A. Bennett misses 2-pt shot from 3 ft (block by T. Duncan)
4:06.0,Defensive rebound by B. Diaw,,51-37,,
3:59.0,T. Parker makes 3-pt shot from 22 ft (assist by M. Ginobili),3,54-37,,
3:41.0,,,54-40,3,M. Williams makes 3-pt shot from 24 ft
3:24.0,C. Joseph enters the game for T. Parker,,54-40,,
3:24.0,Turnover by T. Duncan (lost ball; steal by G. Dieng),,54-40,,
3:24.0,Jump ball: G. Dieng vs. T. Duncan (C. Brewer gains possession),,,,Jump ball: G. Dieng vs. T. Duncan (C. Brewer gains possession)
3:12.0,,,54-40,,Shooting foul by T. Duncan (drawn by G. Dieng)
3:12.0,,,54-41,1,G. Dieng makes free throw 1 of 2
3:12.0,San Antonio full timeout,,54-41,,
3:12.0,,,54-41,,G. Dieng misses free throw 2 of 2
3:12.0,Defensive rebound by C. Joseph,,54-41,,
2:57.0,T. Duncan makes 2-pt shot from 1 ft (assist by C. Joseph),2,56-41,,
2:37.0,,,56-41,,C. Brewer misses 2-pt shot from 19 ft
2:36.0,,,56-41,,Offensive rebound by G. Dieng
2:33.0,,,56-43,2,G. Dieng makes 2-pt shot from 1 ft
2:17.0,M. Ginobili misses 3-pt shot from 24 ft,,56-43,,
2:15.0,,,56-43,,Defensive rebound by A. Wiggins
2:10.0,,,56-43,,Shooting foul by C. Joseph (drawn by M. Williams)
2:10.0,,,56-43,,M. Williams misses free throw 1 of 2
2:10.0,,,56-43,,Offensive rebound by Team
2:10.0,D. Green enters the game for M. Ginobili,,56-43,,
2:10.0,T. Parker enters the game for C. Joseph,,56-43,,
2:10.0,,,56-44,1,M. Williams makes free throw 2 of 2
1:52.0,K. Leonard misses 2-pt shot from 17 ft,,56-44,,
1:51.0,,,56-44,,Defensive rebound by G. Dieng
1:37.0,Personal foul by K. Leonard (drawn by G. Dieng),,56-44,,
1:37.0,,,56-45,1,G. Dieng makes free throw 1 of 2
1:37.0,,,56-46,1,G. Dieng makes free throw 2 of 2
1:20.0,K. Leonard misses 2-pt shot from 1 ft (block by G. Dieng),,56-46,,
1:18.0,Offensive rebound by K. Leonard,,56-46,,
1:11.0,Turnover by K. Leonard (bad pass; steal by A. Wiggins),,56-46,,
1:06.0,,,56-48,2,A. Bennett makes 2-pt shot from 1 ft (assist by C. Brewer)
0:44.0,T. Parker makes 3-pt shot from 23 ft (assist by D. Green),3,59-48,,
0:34.0,,,59-48,,M. Williams misses 2-pt shot from 18 ft
0:33.0,Defensive rebound by B. Diaw,,59-48,,
0:12.0,T. Parker misses 2-pt shot from 17 ft,,59-48,,
0:10.0,,,59-48,,Defensive rebound by C. Brewer
0:00.0,,,59-48,,G. Dieng misses 2-pt shot from 4 ft
0:00.0,,,59-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,59-48,,S. Muhammad misses 2-pt shot from 5 ft
11:34.0,Defensive rebound by B. Diaw,,59-48,,
11:15.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,61-48,,
10:55.0,,,61-48,,A. Wiggins misses 2-pt shot from 12 ft (block by T. Duncan)
10:54.0,,,61-48,,Offensive rebound by Team
10:51.0,,,61-48,,C. Brewer misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by T. Duncan,,61-48,,
10:37.0,K. Leonard makes 2-pt shot from 16 ft,2,63-48,,
10:15.0,,,63-50,2,S. Muhammad makes 2-pt shot from 6 ft
10:00.0,K. Leonard misses 2-pt shot from 19 ft,,63-50,,
9:58.0,Offensive rebound by T. Duncan,,63-50,,
9:43.0,K. Leonard misses 3-pt shot from 22 ft,,63-50,,
9:42.0,Offensive rebound by T. Duncan,,63-50,,
9:30.0,D. Green makes 2-pt shot from 9 ft,2,65-50,,
9:08.0,,,65-50,,G. Dieng misses 2-pt shot from 12 ft
9:07.0,Defensive rebound by T. Duncan,,65-50,,
9:02.0,T. Parker makes 2-pt shot from 1 ft,2,67-50,,
9:01.0,,,67-50,,Minnesota full timeout
8:45.0,,,67-50,,A. Wiggins misses 2-pt shot from 16 ft
8:44.0,Defensive rebound by D. Green,,67-50,,
8:36.0,K. Leonard makes 3-pt shot from 22 ft (assist by T. Parker),3,70-50,,
8:15.0,,,70-50,,C. Brewer misses 2-pt shot from 2 ft (block by D. Green)
8:14.0,,,70-50,,Offensive rebound by Team
8:11.0,,,70-50,,M. Williams misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by B. Diaw,,70-50,,
8:02.0,D. Green misses 3-pt shot from 22 ft,,70-50,,
8:01.0,Offensive rebound by K. Leonard,,70-50,,
8:00.0,,,70-50,,Personal foul by S. Muhammad (drawn by K. Leonard)
7:48.0,T. Parker misses 2-pt shot from 18 ft,,70-50,,
7:46.0,Offensive rebound by T. Duncan,,70-50,,
7:39.0,Turnover by K. Leonard (offensive foul),,70-50,,
7:39.0,Offensive charge foul by K. Leonard,,70-50,,
7:19.0,,,70-50,,A. Wiggins misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by T. Duncan,,70-50,,
7:13.0,Shooting foul by A. Wiggins (drawn by K. Leonard),,70-50,,
7:13.0,K. Leonard makes free throw 1 of 2,1,71-50,,
7:13.0,A. Daye enters the game for B. Diaw,,71-50,,
7:13.0,M. Belinelli enters the game for D. Green,,71-50,,
7:13.0,K. Leonard makes free throw 2 of 2,1,72-50,,
7:00.0,,,72-52,2,A. Wiggins makes 2-pt shot at rim
7:00.0,,,72-52,,Shooting foul by K. Leonard (drawn by A. Wiggins)
7:00.0,,,72-52,,A. Bennett enters the game for S. Muhammad
7:00.0,,,72-53,1,A. Wiggins makes free throw 1 of 1
6:49.0,Turnover by T. Duncan (bad pass),,72-53,,
6:35.0,,,72-55,2,A. Wiggins makes 2-pt shot from 15 ft
6:13.0,Shooting foul by A. Wiggins (drawn by T. Duncan),,72-55,,
6:13.0,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker),2,74-55,,
6:13.0,T. Duncan makes free throw 1 of 1,1,75-55,,
6:05.0,,,75-57,2,A. Wiggins makes 2-pt shot from 14 ft (assist by M. Williams)
5:45.0,T. Parker makes 2-pt shot at rim,2,77-57,,
5:45.0,Shooting foul by A. Bennett (drawn by T. Parker),,77-57,,
5:45.0,A. Baynes enters the game for T. Duncan,,77-57,,
5:45.0,T. Parker makes free throw 1 of 1,1,78-57,,
5:37.0,Personal foul by M. Belinelli (drawn by A. Wiggins),,78-57,,
5:37.0,M. Ginobili enters the game for T. Parker,,78-57,,
5:27.0,,,78-59,2,A. Wiggins makes 2-pt shot from 17 ft
5:14.0,M. Belinelli makes 2-pt shot from 18 ft (assist by M. Ginobili),2,80-59,,
5:14.0,Shooting foul by M. Williams (drawn by M. Belinelli),,80-59,,
5:14.0,M. Belinelli makes free throw 1 of 1,1,81-59,,
5:03.0,,,81-59,,Turnover by A. Wiggins (bad pass; steal by K. Leonard)
5:02.0,,,81-59,,Personal foul by C. Brewer (drawn by K. Leonard)
5:02.0,K. Leonard misses free throw 1 of 2,,81-59,,
5:02.0,Offensive rebound by Team,,81-59,,
5:02.0,K. Leonard makes free throw 2 of 2,1,82-59,,
4:49.0,,,82-59,,M. Williams misses 2-pt shot from 20 ft
4:48.0,Defensive rebound by A. Daye,,82-59,,
4:37.0,K. Leonard misses 2-pt shot from 18 ft,,82-59,,
4:36.0,,,82-59,,Defensive rebound by C. Brewer
4:30.0,,,82-59,,Shooting foul by A. Daye (drawn by C. Brewer)
4:30.0,,,82-59,,C. Brewer misses free throw 1 of 2
4:30.0,,,82-59,,Offensive rebound by Team
4:30.0,D. Green enters the game for K. Leonard,,82-59,,
4:30.0,,,82-60,1,C. Brewer makes free throw 2 of 2
4:17.0,A. Daye misses 3-pt shot from 23 ft,,82-60,,
4:16.0,,,82-60,,Defensive rebound by A. Wiggins
4:09.0,,,82-60,,M. Williams misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by A. Baynes,,82-60,,
4:07.0,Turnover by A. Baynes (lost ball; steal by C. Brewer),,82-60,,
4:03.0,,,82-60,,A. Wiggins misses 2-pt shot from 7 ft
4:02.0,Defensive rebound by A. Daye,,82-60,,
3:53.0,A. Daye misses 3-pt shot from 23 ft,,82-60,,
3:52.0,,,82-60,,Defensive rebound by G. Dieng
3:37.0,,,82-60,,A. Wiggins misses 2-pt shot at rim (block by D. Green)
3:36.0,Defensive rebound by A. Baynes,,82-60,,
3:25.0,A. Baynes misses 2-pt shot from 2 ft (block by G. Dieng),,82-60,,
3:25.0,Offensive rebound by Team,,82-60,,
3:25.0,,,82-60,,C. Budinger enters the game for A. Wiggins
3:25.0,Turnover by A. Baynes (lost ball; steal by A. Bennett),,82-60,,
3:25.0,Jump ball: A. Baynes vs. A. Bennett (C. Brewer gains possession),,,,Jump ball: A. Baynes vs. A. Bennett (C. Brewer gains possession)
3:17.0,,,82-60,,C. Brewer misses 2-pt shot from 1 ft
3:16.0,Defensive rebound by A. Daye,,82-60,,
3:03.0,M. Ginobili misses 2-pt shot from 4 ft,,82-60,,
3:02.0,,,82-60,,Defensive rebound by C. Budinger
2:56.0,,,82-60,,Turnover by G. Dieng (bad pass)
2:56.0,San Antonio full timeout,,82-60,,
2:56.0,,,82-60,,Z. LaVine enters the game for C. Brewer
2:42.0,D. Green misses 3-pt shot from 23 ft,,82-60,,
2:41.0,,,82-60,,Defensive rebound by G. Dieng
2:22.0,,,82-60,,Z. LaVine misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by A. Baynes,,82-60,,
2:10.0,D. Green makes 3-pt shot from 23 ft (assist by A. Daye),3,85-60,,
1:47.0,,,85-60,,C. Budinger misses 3-pt shot from 24 ft
1:45.0,,,85-60,,Offensive rebound by G. Dieng
1:41.0,,,85-60,,A. Bennett misses 2-pt shot from 1 ft
1:39.0,Defensive rebound by A. Daye,,85-60,,
1:37.0,,,85-60,,Personal foul by M. Williams (drawn by D. Green)
1:37.0,D. Green makes free throw 1 of 2,1,86-60,,
1:37.0,T. Parker enters the game for M. Belinelli,,86-60,,
1:37.0,D. Green makes free throw 2 of 2,1,87-60,,
1:22.0,,,87-60,,Turnover by Z. LaVine (bad pass; steal by A. Baynes)
1:15.0,,,87-60,,Personal foul by M. Williams (drawn by A. Daye)
1:15.0,A. Daye makes free throw 1 of 2,1,88-60,,
1:15.0,,,88-60,,C. Brewer enters the game for M. Williams
1:15.0,A. Daye makes free throw 2 of 2,1,89-60,,
1:05.0,,,89-60,,Turnover by Z. LaVine (lost ball)
0:50.0,A. Baynes makes 2-pt shot from 1 ft (assist by M. Ginobili),2,91-60,,
0:35.0,,,91-60,,Z. LaVine misses 2-pt shot from 20 ft
0:33.0,Defensive rebound by A. Daye,,91-60,,
0:14.0,A. Daye misses 2-pt shot from 15 ft,,91-60,,
0:13.0,,,91-60,,Defensive rebound by C. Budinger
0:07.0,,,91-62,2,A. Bennett makes 2-pt shot at rim (assist by C. Brewer)
0:04.0,Turnover by M. Ginobili (lost ball; steal by C. Brewer),,91-62,,
0:00.0,,,91-62,,Z. LaVine misses 3-pt shot from 36 ft
0:00.0,,,91-62,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,D. Green misses 2-pt shot from 1 ft,,91-62,,
11:38.0,Offensive rebound by J. Ayres,,91-62,,
11:36.0,J. Ayres misses 2-pt shot from 4 ft,,91-62,,
11:35.0,,,91-62,,Defensive rebound by A. Bennett
11:32.0,,,91-64,2,C. Brewer makes 2-pt shot from 20 ft (assist by Z. LaVine)
11:32.0,,,91-64,,Shooting foul by A. Daye (drawn by C. Brewer)
11:32.0,,,91-65,1,C. Brewer makes free throw 1 of 1
11:19.0,Turnover by B. Diaw (bad pass; steal by Z. LaVine),,91-65,,
11:15.0,,,91-65,,Z. LaVine misses 2-pt shot at rim (block by K. Anderson)
11:13.0,,,91-65,,Offensive rebound by C. Brewer
11:01.0,,,91-65,,A. Bennett misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by A. Daye,,91-65,,
10:36.0,B. Diaw makes 2-pt shot from 20 ft (assist by D. Green),2,93-65,,
10:20.0,,,93-67,2,A. Bennett makes 2-pt shot at rim (assist by C. Brewer)
9:58.0,B. Diaw misses 2-pt shot from 17 ft,,93-67,,
9:57.0,,,93-67,,Defensive rebound by Z. LaVine
9:53.0,Personal foul by K. Anderson (drawn by C. Brewer),,93-67,,
9:53.0,,,93-67,,A. Wiggins enters the game for C. Brewer
9:46.0,,,93-67,,A. Wiggins misses 2-pt shot from 14 ft
9:45.0,Defensive rebound by K. Anderson,,93-67,,
9:40.0,Offensive charge foul by B. Diaw,,93-67,,
9:40.0,Turnover by B. Diaw (offensive foul),,93-67,,
9:22.0,,,93-67,,Shooting foul by J. Ayres (drawn by A. Bennett)
9:22.0,,,93-68,1,A. Bennett makes free throw 1 of 2
9:22.0,,,93-68,,A. Bennett misses free throw 2 of 2
9:22.0,Defensive rebound by J. Ayres,,93-68,,
9:15.0,San Antonio full timeout,,93-68,,
9:04.0,B. Diaw makes 2-pt shot from 1 ft,2,95-68,,
8:46.0,,,95-70,2,A. Bennett makes 2-pt shot at rim (assist by A. Wiggins)
8:27.0,A. Daye misses 3-pt shot from 24 ft,,95-70,,
8:26.0,,,95-70,,Defensive rebound by Z. LaVine
8:20.0,,,95-72,2,Z. LaVine makes 2-pt shot from 19 ft
8:10.0,,,95-72,,Personal foul by A. Bennett (drawn by J. Ayres)
7:59.0,A. Daye makes 3-pt shot from 22 ft (assist by B. Diaw),3,98-72,,
7:47.0,,,98-72,,Turnover by Z. LaVine (bad pass; steal by D. Green)
7:39.0,A. Daye makes 3-pt shot from 24 ft (assist by J. Ayres),3,101-72,,
7:38.0,,,101-72,,Minnesota full timeout
7:38.0,A. Baynes enters the game for B. Diaw,,101-72,,
7:27.0,,,101-72,,Shooting foul by J. Ayres (drawn by R. Hummel)
7:27.0,,,101-73,1,R. Hummel makes free throw 1 of 2
7:27.0,,,101-74,1,R. Hummel makes free throw 2 of 2
7:07.0,Turnover by J. Ayres (bad pass; steal by A. Bennett),,101-74,,
7:03.0,,,101-74,,C. Budinger misses 2-pt shot from 1 ft (block by J. Ayres)
7:02.0,,,101-74,,Offensive rebound by Team
6:57.0,,,101-76,2,A. Bennett makes 2-pt shot from 16 ft (assist by C. Budinger)
6:31.0,K. Anderson misses 2-pt shot from 14 ft,,101-76,,
6:30.0,Offensive rebound by J. Ayres,,101-76,,
6:17.0,Turnover by D. Green (lost ball; steal by Z. LaVine),,101-76,,
6:08.0,,,101-78,2,A. Bennett makes 2-pt shot from 21 ft (assist by Z. LaVine)
5:52.0,A. Daye misses 2-pt shot from 20 ft,,101-78,,
5:52.0,,,101-78,,Defensive rebound by C. Budinger
5:41.0,,,101-80,2,Z. LaVine makes 2-pt shot from 19 ft
5:22.0,A. Baynes makes 2-pt shot at rim (assist by A. Daye),2,103-80,,
5:22.0,Shooting foul by R. Hummel (drawn by A. Baynes),,103-80,,
5:22.0,A. Baynes misses free throw 1 of 1,,103-80,,
5:22.0,,,103-80,,Defensive rebound by A. Bennett
5:04.0,,,103-80,,A. Bennett misses 2-pt shot from 11 ft
5:03.0,Defensive rebound by K. Anderson,,103-80,,
4:53.0,J. Ayres misses 2-pt shot from 15 ft,,103-80,,
4:52.0,Offensive rebound by A. Baynes,,103-80,,
4:52.0,A. Baynes makes 2-pt shot from 1 ft,2,105-80,,
