time,Phoenix,pts.away,score,pts.home,Philadelphia
5:14.0,Defensive rebound by E. Bledsoe,,7-16,,
5:08.0,G. Dragic makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,9-16,,
4:59.0,,,9-16,,Offensive foul by B. Davies
4:59.0,,,9-16,,Turnover by B. Davies (offensive foul)
4:42.0,M. Morris makes 3-pt shot from 25 ft (assist by G. Dragic),3,12-16,,
4:26.0,,,12-16,,M. Carter-Williams misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by M. Morris,,12-16,,
4:18.0,M. Morris misses 3-pt shot from 25 ft,,12-16,,
4:17.0,,,12-16,,Defensive rebound by L. Mbah a Moute
4:05.0,,,12-18,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
3:52.0,,,12-18,,Personal foul by N. Noel (drawn by A. Len)
3:52.0,I. Thomas enters the game for G. Dragic,,12-18,,
3:52.0,,,12-18,,A. Shved enters the game for N. Noel
3:52.0,,,12-18,,H. Sims enters the game for M. Carter-Williams
3:47.0,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,15-18,,
3:31.0,,,15-18,,K. McDaniels misses 2-pt shot from 1 ft
3:30.0,Defensive rebound by E. Bledsoe,,15-18,,
3:17.0,M. Morris makes 2-pt shot from 5 ft,2,17-18,,
2:55.0,,,17-21,3,K. McDaniels makes 3-pt shot from 25 ft (assist by A. Shved)
2:47.0,I. Thomas makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,20-21,,
2:30.0,Away from play foul by M. Morris (drawn by B. Davies),,20-21,,
2:30.0,,,20-24,3,A. Shved makes 3-pt shot from 24 ft
2:30.0,Phoenix full timeout,,20-24,,
2:30.0,,,20-24,,H. Thompson enters the game for L. Mbah a Moute
2:30.0,A. Tolliver enters the game for M. Morris,,20-24,,
2:30.0,P. Tucker enters the game for M. Morris,,20-24,,
2:30.0,G. Green enters the game for E. Bledsoe,,20-24,,
2:30.0,,,20-24,,B. Davies misses free throw 1 of 1
2:28.0,Defensive rebound by A. Len,,20-24,,
2:18.0,Turnover by G. Green (lost ball; steal by K. McDaniels),,20-24,,
2:10.0,,,20-24,,Turnover by B. Davies (bad pass; steal by G. Green)
2:01.0,Turnover by G. Green (bad pass),,20-24,,
1:48.0,,,20-24,,K. McDaniels misses 3-pt shot from 25 ft
1:46.0,,,20-24,,Offensive rebound by H. Sims
1:28.0,,,20-27,3,A. Shved makes 3-pt shot from 24 ft (assist by B. Davies)
1:12.0,A. Len makes 2-pt shot at rim (assist by G. Green),2,22-27,,
1:04.0,,,22-27,,B. Davies misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by P. Tucker,,22-27,,
0:50.0,Turnover by I. Thomas (lost ball; steal by A. Shved),,22-27,,
0:45.0,,,22-27,,Turnover by A. Shved (lost ball; steal by I. Thomas)
0:44.0,,,22-27,,Personal foul by B. Davies (drawn by I. Thomas)
0:32.0,I. Thomas makes 2-pt shot at rim,2,24-27,,
0:08.0,,,24-27,,A. Shved misses 2-pt shot from 2 ft
0:08.0,,,24-27,,Offensive rebound by Team
0:08.0,,,24-27,,Turnover by Team (shot clock)
0:08.0,,,24-27,,T. Wroten enters the game for H. Sims
0:08.0,,,24-27,,D. Gordon enters the game for B. Davies
0:01.0,Shooting foul by A. Shved (drawn by I. Thomas),,24-27,,
0:01.0,I. Thomas makes free throw 1 of 2,1,25-27,,
0:01.0,,,25-27,,H. Sims enters the game for H. Thompson
0:01.0,I. Thomas makes free throw 2 of 2,1,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Tolliver misses 3-pt shot from 25 ft,,26-27,,
11:42.0,,,26-27,,Defensive rebound by K. McDaniels
11:30.0,,,26-27,,Turnover by T. Wroten (lost ball; steal by G. Green)
11:26.0,I. Thomas makes 2-pt shot from 1 ft,2,28-27,,
11:11.0,,,28-27,,Shooting foul by A. Len (drawn by N. Noel)
11:11.0,,,28-27,,N. Noel misses free throw 1 of 2
11:11.0,,,28-27,,Offensive rebound by Team
11:11.0,,,28-27,,N. Noel misses free throw 2 of 2
11:10.0,Defensive rebound by P. Tucker,,28-27,,
11:01.0,G. Green makes 3-pt shot from 26 ft,3,31-27,,
10:48.0,Personal foul by A. Tolliver (drawn by D. Gordon),,31-27,,
10:32.0,,,31-27,,K. McDaniels misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by P. Tucker,,31-27,,
10:26.0,I. Thomas makes 2-pt shot from 18 ft (assist by P. Tucker),2,33-27,,
10:18.0,,,33-29,2,T. Wroten makes 2-pt shot from 1 ft
10:05.0,,,33-29,,Personal foul by K. McDaniels (drawn by G. Green)
9:59.0,Shooting foul by T. Wroten (drawn by I. Thomas),,33-29,,
9:59.0,I. Thomas makes free throw 1 of 3,1,34-29,,
9:59.0,I. Thomas makes free throw 2 of 3,1,35-29,,
9:59.0,I. Thomas makes free throw 3 of 3,1,36-29,,
9:45.0,,,36-29,,K. McDaniels misses 2-pt shot from 9 ft
9:44.0,,,36-29,,Offensive rebound by K. McDaniels
9:44.0,,,36-29,,Shooting foul by A. Len (drawn by K. McDaniels)
9:44.0,,,36-30,1,K. McDaniels makes free throw 1 of 2
9:44.0,M. Morris enters the game for A. Len,,36-30,,
9:44.0,,,36-30,,M. Carter-Williams enters the game for H. Thompson
9:44.0,,,36-30,,H. Sims enters the game for D. Gordon
9:44.0,,,36-31,1,K. McDaniels makes free throw 2 of 2
9:33.0,G. Green makes 2-pt shot from 17 ft (assist by I. Thomas),2,38-31,,
9:15.0,,,38-31,,M. Carter-Williams misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by G. Green,,38-31,,
8:53.0,G. Green makes 2-pt shot from 17 ft,2,40-31,,
8:46.0,,,40-31,,Philadelphia full timeout
8:32.0,,,40-33,2,M. Carter-Williams makes 2-pt shot from 1 ft
8:13.0,G. Green makes 2-pt shot from 17 ft,2,42-33,,
7:54.0,,,42-33,,M. Carter-Williams misses 2-pt shot from 9 ft
7:52.0,,,42-33,,Offensive rebound by T. Wroten
7:52.0,,,42-33,,Offensive foul by N. Noel
7:52.0,,,42-33,,Turnover by N. Noel (offensive foul)
7:52.0,,,42-33,,L. Mbah a Moute enters the game for K. McDaniels
7:52.0,,,42-33,,B. Davies enters the game for N. Noel
7:33.0,P. Tucker makes 2-pt shot from 17 ft,2,44-33,,
7:16.0,,,44-33,,H. Sims misses 2-pt shot from 14 ft
7:15.0,Defensive rebound by A. Tolliver,,44-33,,
7:04.0,G. Green makes 2-pt shot from 1 ft (assist by I. Thomas),2,46-33,,
6:51.0,,,46-33,,Shooting foul by P. Tucker (drawn by M. Carter-Williams)
6:51.0,,,46-33,,M. Carter-Williams misses free throw 1 of 2
6:51.0,,,46-33,,Offensive rebound by Team
6:51.0,,,46-34,1,M. Carter-Williams makes free throw 2 of 2
6:51.0,Technical foul by P. Tucker (drawn by M. Carter-Williams),,46-34,,
6:51.0,,,46-35,1,M. Carter-Williams makes technical free throw
6:38.0,M. Morris makes 2-pt shot at rim (assist by A. Tolliver),2,48-35,,
6:21.0,,,48-35,,Turnover by B. Davies (lost ball)
6:04.0,Shooting foul by M. Carter-Williams (drawn by M. Morris),,48-35,,
6:04.0,M. Morris makes free throw 1 of 2,1,49-35,,
6:04.0,M. Morris makes free throw 2 of 2,1,50-35,,
5:55.0,,,50-35,,M. Carter-Williams misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by G. Green,,50-35,,
5:42.0,A. Tolliver misses 3-pt shot from 25 ft,,50-35,,
5:41.0,,,50-35,,Defensive rebound by M. Carter-Williams
5:37.0,,,50-35,,Turnover by M. Carter-Williams (bad pass; steal by A. Tolliver)
5:26.0,I. Thomas makes 3-pt shot from 24 ft,3,53-35,,
5:24.0,,,53-35,,Philadelphia full timeout
5:24.0,,,53-35,,Philadelphia full timeout
5:24.0,,,53-35,,N. Noel enters the game for B. Davies
5:10.0,,,53-35,,M. Carter-Williams misses 2-pt shot from 1 ft
5:08.0,Defensive rebound by P. Tucker,,53-35,,
4:50.0,P. Tucker misses 2-pt shot from 18 ft,,53-35,,
4:49.0,,,53-35,,Defensive rebound by M. Carter-Williams
4:42.0,,,53-35,,M. Carter-Williams misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by I. Thomas,,53-35,,
4:17.0,P. Tucker makes 2-pt shot at rim,2,55-35,,
3:56.0,,,55-35,,M. Carter-Williams misses 2-pt shot from 5 ft
3:56.0,Defensive rebound by P. Tucker,,55-35,,
3:56.0,,,55-35,,Personal foul by N. Noel (drawn by P. Tucker)
3:56.0,G. Dragic enters the game for I. Thomas,,55-35,,
3:56.0,E. Bledsoe enters the game for A. Tolliver,,55-35,,
3:56.0,T. Warren enters the game for G. Green,,55-35,,
3:56.0,,,55-35,,B. Davies enters the game for N. Noel
3:56.0,,,55-35,,R. Covington enters the game for H. Sims
3:37.0,M. Morris makes 2-pt shot from 13 ft,2,57-35,,
3:20.0,,,57-35,,R. Covington misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by P. Tucker,,57-35,,
3:05.0,Shooting foul by M. Carter-Williams (drawn by M. Morris),,57-35,,
3:05.0,M. Morris makes free throw 1 of 2,1,58-35,,
3:05.0,,,58-35,,K. McDaniels enters the game for M. Carter-Williams
3:05.0,M. Morris makes free throw 2 of 2,1,59-35,,
2:52.0,,,59-37,2,T. Wroten makes 2-pt shot at rim (assist by B. Davies)
2:33.0,M. Morris misses 2-pt shot from 1 ft,,59-37,,
2:31.0,Offensive rebound by T. Warren,,59-37,,
2:31.0,T. Warren makes 2-pt shot at rim,2,61-37,,
2:20.0,,,61-37,,Shooting foul by E. Bledsoe (drawn by T. Wroten)
2:20.0,Phoenix full timeout,,61-37,,
2:20.0,,,61-38,1,T. Wroten makes free throw 1 of 2
2:20.0,,,61-38,,T. Wroten misses free throw 2 of 2
2:18.0,,,61-38,,Offensive rebound by L. Mbah a Moute
2:01.0,,,61-40,2,T. Wroten makes 2-pt shot at rim
1:44.0,E. Bledsoe misses 2-pt shot from 1 ft,,61-40,,
1:43.0,,,61-40,,Defensive rebound by R. Covington
1:37.0,,,61-42,2,T. Wroten makes 2-pt shot at rim
1:24.0,Turnover by E. Bledsoe (lost ball; steal by K. McDaniels),,61-42,,
1:19.0,,,61-44,2,K. McDaniels makes 2-pt shot from 1 ft
0:54.0,E. Bledsoe makes 2-pt shot from 1 ft,2,63-44,,
0:54.0,Shooting foul by B. Davies (drawn by E. Bledsoe),,63-44,,
0:54.0,,,63-44,,D. Gordon enters the game for B. Davies
0:54.0,E. Bledsoe makes free throw 1 of 1,1,64-44,,
0:36.0,,,64-44,,L. Mbah a Moute misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by M. Morris,,64-44,,
0:20.0,E. Bledsoe makes 3-pt shot from 24 ft,3,67-44,,
0:00.0,,,67-44,,R. Covington misses 2-pt shot from 18 ft
0:00.0,,,67-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Morris misses 2-pt shot from 18 ft,,67-44,,
11:41.0,,,67-44,,Defensive rebound by Team
11:41.0,Loose ball foul by M. Plumlee (drawn by H. Sims),,67-44,,
11:32.0,,,67-44,,Turnover by M. Carter-Williams (bad pass; steal by E. Bledsoe)
11:28.0,E. Bledsoe makes 2-pt shot at rim,2,69-44,,
11:07.0,,,69-44,,Turnover by H. Thompson (bad pass; steal by M. Plumlee)
11:02.0,E. Bledsoe misses 2-pt shot from 16 ft,,69-44,,
11:00.0,Offensive rebound by M. Plumlee,,69-44,,
10:49.0,M. Morris misses 2-pt shot from 20 ft,,69-44,,
10:47.0,,,69-44,,Defensive rebound by M. Carter-Williams
10:39.0,,,69-44,,L. Mbah a Moute misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by M. Morris,,69-44,,
10:35.0,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,71-44,,
10:35.0,Shooting foul by T. Wroten (drawn by M. Morris),,71-44,,
10:35.0,M. Morris makes free throw 1 of 1,1,72-44,,
10:23.0,,,72-46,2,M. Carter-Williams makes 2-pt shot from 3 ft
9:59.0,E. Bledsoe makes 2-pt shot from 16 ft (assist by M. Plumlee),2,74-46,,
9:43.0,,,74-46,,M. Carter-Williams misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by Team,,74-46,,
9:28.0,G. Dragic misses 2-pt shot at rim,,74-46,,
9:26.0,Offensive rebound by M. Plumlee,,74-46,,
9:26.0,M. Plumlee misses 2-pt shot from 1 ft,,74-46,,
9:24.0,,,74-46,,Defensive rebound by T. Wroten
9:20.0,,,74-46,,T. Wroten misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by M. Morris,,74-46,,
9:11.0,M. Plumlee misses 2-pt shot at rim,,74-46,,
9:10.0,,,74-46,,Defensive rebound by Team
8:59.0,,,74-46,,H. Thompson misses 3-pt shot from 25 ft
8:57.0,,,74-46,,Offensive rebound by L. Mbah a Moute
8:47.0,,,74-48,2,L. Mbah a Moute makes 2-pt shot from 9 ft
8:36.0,M. Morris misses 3-pt shot from 22 ft,,74-48,,
8:34.0,,,74-48,,Defensive rebound by L. Mbah a Moute
8:24.0,,,74-50,2,M. Carter-Williams makes 2-pt shot from 3 ft (assist by L. Mbah a Moute)
8:24.0,,,74-50,,Shooting foul by E. Bledsoe (drawn by M. Carter-Williams)
8:24.0,S. Randolph enters the game for M. Morris,,74-50,,
8:24.0,,,74-51,1,M. Carter-Williams makes free throw 1 of 1
8:08.0,S. Randolph misses 2-pt shot from 7 ft,,74-51,,
8:07.0,,,74-51,,Defensive rebound by H. Sims
7:55.0,,,74-53,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
7:55.0,Phoenix full timeout,,74-53,,
7:55.0,P. Tucker enters the game for M. Plumlee,,74-53,,
7:45.0,E. Bledsoe makes 2-pt shot from 2 ft,2,76-53,,
7:45.0,Shooting foul by L. Mbah a Moute (drawn by E. Bledsoe),,76-53,,
7:45.0,E. Bledsoe makes free throw 1 of 1,1,77-53,,
7:32.0,,,77-53,,L. Mbah a Moute misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by E. Bledsoe,,77-53,,
7:23.0,M. Morris misses 3-pt shot from 27 ft,,77-53,,
7:21.0,Offensive rebound by E. Bledsoe,,77-53,,
7:19.0,E. Bledsoe misses 3-pt shot from 26 ft,,77-53,,
7:17.0,,,77-53,,Defensive rebound by L. Mbah a Moute
7:10.0,,,77-53,,M. Carter-Williams misses 2-pt shot from 2 ft
7:08.0,,,77-53,,Offensive rebound by H. Sims
7:04.0,,,77-53,,H. Sims misses 2-pt shot from 13 ft
7:03.0,Defensive rebound by E. Bledsoe,,77-53,,
6:59.0,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,79-53,,
6:42.0,,,79-53,,Shooting foul by S. Randolph (drawn by M. Carter-Williams)
6:42.0,,,79-53,,M. Carter-Williams misses free throw 1 of 2
6:42.0,,,79-53,,Offensive rebound by Team
6:42.0,,,79-53,,B. Davies enters the game for L. Mbah a Moute
6:42.0,,,79-53,,N. Noel enters the game for H. Sims
6:42.0,,,79-54,1,M. Carter-Williams makes free throw 2 of 2
6:24.0,G. Dragic makes 3-pt shot from 25 ft (assist by S. Randolph),3,82-54,,
6:01.0,,,82-54,,B. Davies misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by M. Morris,,82-54,,
5:54.0,G. Dragic misses 2-pt shot from 2 ft,,82-54,,
5:53.0,Offensive rebound by S. Randolph,,82-54,,
5:50.0,M. Morris makes 3-pt shot from 24 ft (assist by S. Randolph),3,85-54,,
5:49.0,,,85-54,,Philadelphia full timeout
5:49.0,,,85-54,,A. Shved enters the game for M. Carter-Williams
5:49.0,,,85-54,,K. McDaniels enters the game for T. Wroten
5:34.0,,,85-54,,H. Thompson misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by S. Randolph,,85-54,,
5:09.0,M. Morris makes 3-pt shot from 23 ft (assist by P. Tucker),3,88-54,,
5:01.0,,,88-54,,H. Thompson misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by P. Tucker,,88-54,,
4:49.0,G. Dragic misses 3-pt shot from 24 ft,,88-54,,
4:47.0,,,88-54,,Defensive rebound by H. Thompson
4:40.0,,,88-56,2,K. McDaniels makes 2-pt shot from 10 ft (assist by A. Shved)
4:21.0,Turnover by E. Bledsoe (bad pass; steal by A. Shved),,88-56,,
4:16.0,,,88-58,2,A. Shved makes 2-pt shot from 1 ft
3:56.0,M. Morris makes 2-pt shot from 21 ft (assist by E. Bledsoe),2,90-58,,
3:48.0,,,90-58,,Shooting foul by S. Randolph (drawn by H. Thompson)
3:48.0,,,90-59,1,H. Thompson makes free throw 1 of 2
3:48.0,T. Warren enters the game for M. Morris,,90-59,,
3:48.0,A. Goodwin enters the game for E. Bledsoe,,90-59,,
3:48.0,,,90-59,,H. Thompson misses free throw 2 of 2
3:47.0,,,90-59,,Offensive rebound by B. Davies
3:36.0,,,90-59,,A. Shved misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by A. Goodwin,,90-59,,
3:23.0,S. Randolph misses 3-pt shot from 25 ft,,90-59,,
3:21.0,,,90-59,,Defensive rebound by N. Noel
3:14.0,,,90-61,2,H. Thompson makes 2-pt shot from 2 ft (assist by A. Shved)
3:02.0,A. Goodwin misses 2-pt shot from 4 ft,,90-61,,
3:01.0,,,90-61,,Defensive rebound by H. Thompson
2:48.0,,,90-63,2,H. Thompson makes 2-pt shot from 2 ft (assist by B. Davies)
2:28.0,,,90-63,,Personal foul by H. Thompson (drawn by T. Warren)
2:28.0,,,90-63,,R. Covington enters the game for H. Thompson
2:28.0,I. Thomas enters the game for G. Dragic,,90-63,,
2:18.0,P. Tucker misses 2-pt shot from 4 ft (block by B. Davies),,90-63,,
2:15.0,Offensive rebound by P. Tucker,,90-63,,
2:13.0,A. Goodwin misses 3-pt shot from 25 ft,,90-63,,
2:11.0,Offensive rebound by S. Randolph,,90-63,,
2:08.0,S. Randolph misses 2-pt shot from 5 ft,,90-63,,
2:07.0,,,90-63,,Defensive rebound by N. Noel
2:04.0,,,90-63,,K. McDaniels misses 2-pt shot from 1 ft
2:00.0,Defensive rebound by S. Randolph,,90-63,,
1:42.0,P. Tucker misses 3-pt shot from 22 ft,,90-63,,
1:41.0,Offensive rebound by I. Thomas,,90-63,,
1:26.0,Shooting foul by K. McDaniels (drawn by I. Thomas),,90-63,,
1:26.0,I. Thomas makes free throw 1 of 2,1,91-63,,
1:26.0,I. Thomas makes free throw 2 of 2,1,92-63,,
1:10.0,,,92-65,2,A. Shved makes 2-pt shot from 1 ft
1:02.0,T. Warren misses 3-pt shot from 26 ft,,92-65,,
1:00.0,,,92-65,,Defensive rebound by N. Noel
0:56.0,,,92-65,,Shooting foul by I. Thomas (drawn by K. McDaniels)
0:56.0,,,92-66,1,K. McDaniels makes free throw 1 of 2
0:56.0,,,92-67,1,K. McDaniels makes free throw 2 of 2
0:38.0,I. Thomas misses 2-pt shot from 15 ft,,92-67,,
0:36.0,,,92-67,,Defensive rebound by R. Covington
0:30.0,,,92-67,,K. McDaniels misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by S. Randolph,,92-67,,
0:04.0,Turnover by I. Thomas (lost ball; steal by B. Davies),,92-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,92-69,2,B. Davies makes 2-pt shot from 2 ft (assist by A. Shved)
11:48.0,,,92-69,,Shooting foul by A. Len (drawn by B. Davies)
11:48.0,,,92-70,1,B. Davies makes free throw 1 of 1
11:25.0,T. Warren misses 2-pt shot from 2 ft,,92-70,,
11:23.0,,,92-70,,Defensive rebound by B. Davies
11:17.0,,,92-70,,K. McDaniels misses 3-pt shot from 26 ft
11:15.0,,,92-70,,Offensive rebound by Team
11:15.0,Loose ball foul by A. Goodwin (drawn by B. Davies),,92-70,,
11:15.0,Personal foul by I. Thomas (drawn by A. Shved),,92-70,,
11:09.0,,,92-72,2,A. Shved makes 2-pt shot from 2 ft
10:44.0,Turnover by I. Thomas (bad pass),,92-72,,
10:26.0,,,92-72,,B. Davies misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by A. Len,,92-72,,
10:14.0,T. Warren makes 2-pt shot from 2 ft (assist by I. Thomas),2,94-72,,
10:00.0,,,94-72,,Turnover by N. Noel (step out of bounds)
9:50.0,A. Tolliver makes 3-pt shot from 24 ft (assist by I. Thomas),3,97-72,,
9:28.0,,,97-72,,Turnover by A. Shved (lost ball; steal by T. Warren)
9:23.0,T. Warren misses 2-pt shot from 2 ft,,97-72,,
9:21.0,Offensive rebound by A. Goodwin,,97-72,,
9:20.0,A. Goodwin makes 2-pt shot at rim,2,99-72,,
9:16.0,,,99-72,,Philadelphia full timeout
9:16.0,,,99-72,,M. Carter-Williams enters the game for K. McDaniels
9:16.0,,,99-72,,D. Gordon enters the game for B. Davies
9:16.0,,,99-72,,H. Thompson enters the game for A. Shved
9:01.0,,,99-72,,R. Covington misses 2-pt shot from 2 ft
9:00.0,,,99-72,,Offensive rebound by Team
8:57.0,,,99-72,,Turnover by R. Covington (lost ball; steal by I. Thomas)
8:48.0,,,99-72,,Personal foul by R. Covington (drawn by I. Thomas)
8:48.0,Shooting foul by R. Covington (drawn by I. Thomas),,99-72,,
8:48.0,A. Goodwin makes free throw 1 of 2,1,100-72,,
8:48.0,A. Goodwin makes free throw 2 of 2,1,101-72,,
8:41.0,Personal foul by I. Thomas (drawn by M. Carter-Williams),,101-72,,
8:37.0,,,101-74,2,D. Gordon makes 2-pt shot at rim (assist by M. Carter-Williams)
8:10.0,A. Goodwin misses 3-pt shot from 25 ft,,101-74,,
8:09.0,,,101-74,,Defensive rebound by N. Noel
8:01.0,,,101-74,,Turnover by M. Carter-Williams (lost ball; steal by I. Thomas)
7:58.0,Shooting foul by R. Covington (drawn by A. Goodwin),,101-74,,
7:58.0,A. Goodwin makes free throw 1 of 2,1,102-74,,
7:58.0,A. Goodwin makes free throw 2 of 2,1,103-74,,
7:43.0,,,103-76,2,D. Gordon makes 2-pt shot from 3 ft (assist by M. Carter-Williams)
7:29.0,A. Tolliver misses 3-pt shot from 24 ft,,103-76,,
7:28.0,,,103-76,,Defensive rebound by H. Thompson
7:23.0,,,103-76,,Offensive foul by D. Gordon
7:23.0,,,103-76,,Turnover by D. Gordon (offensive foul)
7:11.0,I. Thomas misses 2-pt shot from 15 ft,,103-76,,
7:10.0,,,103-76,,Defensive rebound by D. Gordon
7:02.0,,,103-76,,Shooting foul by I. Thomas (drawn by M. Carter-Williams)
7:02.0,,,103-76,,M. Carter-Williams misses free throw 1 of 2
7:02.0,,,103-76,,Offensive rebound by Team
7:02.0,,,103-76,,B. Davies enters the game for R. Covington
7:02.0,,,103-76,,K. McDaniels enters the game for N. Noel
7:02.0,,,103-76,,M. Carter-Williams misses free throw 2 of 2
7:02.0,Defensive rebound by A. Tolliver,,103-76,,
6:51.0,Shooting foul by M. Carter-Williams (drawn by I. Thomas),,103-76,,
6:51.0,I. Thomas makes free throw 1 of 2,1,104-76,,
6:51.0,I. Thomas makes free throw 2 of 2,1,105-76,,
6:45.0,Personal foul by A. Tolliver (drawn by B. Davies),,105-76,,
6:45.0,,,105-77,1,B. Davies makes free throw 1 of 2
6:45.0,,,105-78,1,B. Davies makes free throw 2 of 2
6:30.0,A. Tolliver makes 2-pt shot from 2 ft (assist by I. Thomas),2,107-78,,
6:14.0,,,107-78,,M. Carter-Williams misses 2-pt shot from 1 ft
