time,Minnesota,pts.away,score,pts.home,Cleveland
7:44.0,,,35-37,,Defensive rebound by T. Thompson
7:41.0,,,35-39,2,S. Marion makes 2-pt shot at rim (assist by K. Irving)
7:22.0,A. Bennett misses 2-pt shot from 21 ft,,35-39,,
7:21.0,,,35-39,,Defensive rebound by S. Marion
7:17.0,,,35-39,,Shooting foul by A. Bennett (drawn by T. Thompson)
7:17.0,,,35-39,,T. Thompson misses free throw 1 of 2
7:17.0,,,35-39,,Offensive rebound by Team
7:17.0,T. Young enters the game for A. Bennett,,35-39,,
7:17.0,,,35-39,,L. James enters the game for D. Waiters
7:17.0,,,35-40,1,T. Thompson makes free throw 2 of 2
7:05.0,T. Young makes 2-pt shot from 14 ft (assist by M. Williams),2,37-40,,
6:49.0,Def 3 sec tech foul by S. Muhammad,,37-40,,
6:49.0,,,37-40,,A. Varejao enters the game for T. Thompson
6:49.0,,,37-41,1,K. Irving makes technical free throw
6:37.0,,,37-44,3,L. James makes 3-pt shot from 23 ft (assist by K. Irving)
6:24.0,S. Muhammad misses 3-pt shot from 23 ft,,37-44,,
6:23.0,Offensive rebound by T. Young,,37-44,,
6:21.0,J. Adrien misses 2-pt shot at rim (block by L. James),,37-44,,
6:21.0,Offensive rebound by Team,,37-44,,
6:11.0,A. Wiggins misses 2-pt shot from 2 ft,,37-44,,
6:11.0,Offensive rebound by J. Adrien,,37-44,,
6:11.0,,,37-44,,Personal foul by K. Love (drawn by J. Adrien)
6:03.0,T. Young misses 2-pt shot from 14 ft,,37-44,,
6:00.0,,,37-44,,Defensive rebound by L. James
5:49.0,,,37-46,2,K. Love makes 2-pt shot from 6 ft (assist by K. Irving)
5:45.0,Minnesota full timeout,,37-46,,
5:45.0,G. Dieng enters the game for M. Williams,,37-46,,
5:45.0,Z. LaVine enters the game for J. Adrien,,37-46,,
5:35.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,39-46,,
5:20.0,,,39-46,,L. James misses 2-pt shot from 1 ft (block by G. Dieng)
5:19.0,Defensive rebound by T. Young,,39-46,,
5:15.0,T. Young misses 2-pt shot from 1 ft,,39-46,,
5:15.0,Offensive rebound by S. Muhammad,,39-46,,
5:13.0,S. Muhammad misses 2-pt shot from 9 ft (block by S. Marion),,39-46,,
5:12.0,,,39-46,,Defensive rebound by S. Marion
5:09.0,,,39-48,2,L. James makes 2-pt shot from 3 ft (assist by S. Marion)
4:47.0,T. Young misses 2-pt shot from 2 ft (block by S. Marion),,39-48,,
4:47.0,Offensive rebound by S. Muhammad,,39-48,,
4:47.0,Shooting foul by A. Varejao (drawn by S. Muhammad),,39-48,,
4:47.0,S. Muhammad makes free throw 1 of 2,1,40-48,,
4:47.0,S. Muhammad makes free throw 2 of 2,1,41-48,,
4:36.0,,,41-48,,L. James misses 2-pt shot from 1 ft
4:34.0,,,41-48,,Offensive rebound by A. Varejao
4:34.0,,,41-48,,A. Varejao misses 2-pt shot at rim
4:31.0,,,41-48,,Offensive rebound by A. Varejao
4:31.0,,,41-50,2,A. Varejao makes 2-pt shot at rim
4:09.0,A. Wiggins makes 3-pt shot from 25 ft (assist by G. Dieng),3,44-50,,
3:53.0,,,44-50,,K. Irving misses 2-pt shot from 5 ft
3:51.0,Defensive rebound by S. Muhammad,,44-50,,
3:44.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,46-50,,
3:36.0,,,46-50,,Turnover by K. Irving (bad pass; steal by Z. LaVine)
3:18.0,T. Young misses 2-pt shot from 9 ft,,46-50,,
3:15.0,Offensive rebound by T. Young,,46-50,,
3:14.0,T. Young misses 2-pt shot at rim,,46-50,,
3:12.0,Offensive rebound by T. Young,,46-50,,
3:12.0,T. Young makes 2-pt shot from 5 ft,2,48-50,,
3:12.0,,,48-50,,Cleveland full timeout
3:12.0,,,48-50,,D. Waiters enters the game for S. Marion
3:01.0,,,48-52,2,L. James makes 2-pt shot at rim
2:46.0,,,48-52,,T. Thompson enters the game for K. Love
2:46.0,,,48-52,,S. Marion enters the game for A. Varejao
2:35.0,S. Muhammad makes 2-pt shot from 10 ft,2,50-52,,
2:20.0,,,50-54,2,S. Marion makes 2-pt shot from 7 ft (assist by K. Irving)
2:02.0,T. Young misses 2-pt shot from 7 ft (block by S. Marion),,50-54,,
2:00.0,,,50-54,,Defensive rebound by T. Thompson
1:52.0,,,50-57,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
1:50.0,Minnesota full timeout,,50-57,,
1:41.0,Z. LaVine makes 2-pt shot at rim,2,52-57,,
1:41.0,Shooting foul by K. Irving (drawn by Z. LaVine),,52-57,,
1:41.0,Z. LaVine misses free throw 1 of 1,,52-57,,
1:37.0,Offensive rebound by G. Dieng,,52-57,,
1:37.0,Jump ball: G. Dieng vs. T. Thompson (K. Irving gains possession),,,,Jump ball: G. Dieng vs. T. Thompson (K. Irving gains possession)
1:37.0,Turnover by G. Dieng (lost ball; steal by T. Thompson),,52-57,,
1:30.0,,,52-59,2,S. Marion makes 2-pt shot at rim (assist by D. Waiters)
1:08.0,Z. LaVine makes 2-pt shot from 14 ft (assist by S. Muhammad),2,54-59,,
0:49.0,,,54-62,3,L. James makes 3-pt shot from 25 ft
0:31.0,Z. LaVine misses 2-pt shot from 12 ft,,54-62,,
0:31.0,Offensive rebound by T. Young,,54-62,,
0:31.0,T. Young makes 2-pt shot at rim,2,56-62,,
0:06.0,,,56-62,,L. James misses 3-pt shot from 25 ft
0:06.0,,,56-62,,Offensive rebound by T. Thompson
0:06.0,,,56-64,2,T. Thompson makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,S. Muhammad makes 2-pt shot from 1 ft (assist by A. Wiggins),2,58-64,,
11:26.0,Personal foul by T. Young (drawn by K. Love),,58-64,,
11:17.0,,,58-64,,K. Love misses 2-pt shot from 14 ft (block by T. Young)
11:17.0,,,58-64,,Offensive rebound by Team
11:17.0,,,58-64,,S. Marion enters the game for K. Love
11:12.0,,,58-64,,L. James misses 2-pt shot from 17 ft
11:09.0,Defensive rebound by G. Dieng,,58-64,,
10:55.0,G. Dieng makes 2-pt shot at rim (assist by S. Muhammad),2,60-64,,
10:42.0,Violation by G. Dieng (kicked ball),,60-64,,
10:34.0,,,60-64,,Turnover by K. Irving (bad pass; steal by S. Muhammad)
10:21.0,Turnover by Z. LaVine (lost ball; steal by K. Irving),,60-64,,
10:18.0,,,60-64,,Turnover by K. Irving (lost ball; steal by A. Wiggins)
10:15.0,Turnover by A. Wiggins (bad pass; steal by L. James),,60-64,,
10:10.0,,,60-64,,S. Marion misses 2-pt shot at rim (block by T. Young)
10:10.0,,,60-64,,Offensive rebound by Team
10:03.0,Shooting block foul by G. Dieng (drawn by L. James),,60-64,,
10:03.0,,,60-65,1,L. James makes free throw 1 of 2
10:03.0,,,60-66,1,L. James makes free throw 2 of 2
9:47.0,G. Dieng makes 2-pt shot from 18 ft,2,62-66,,
9:38.0,,,62-68,2,K. Irving makes 2-pt shot from 20 ft
9:28.0,,,62-68,,Personal foul by L. James (drawn by S. Muhammad)
9:18.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Young),2,64-68,,
9:07.0,,,64-68,,Turnover by L. James (bad pass; steal by Z. LaVine)
9:01.0,A. Wiggins misses 2-pt shot at rim,,64-68,,
9:01.0,Offensive rebound by Team,,64-68,,
9:01.0,Turnover by A. Wiggins (illegal assist),,64-68,,
8:46.0,,,64-70,2,K. Irving makes 2-pt shot at rim
8:29.0,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins),2,66-70,,
8:08.0,,,66-72,2,K. Irving makes 2-pt shot from 10 ft
7:45.0,G. Dieng misses 2-pt shot from 16 ft,,66-72,,
7:45.0,Offensive rebound by Team,,66-72,,
7:45.0,,,66-72,,Loose ball foul by L. James (drawn by S. Muhammad)
7:40.0,Turnover by Z. LaVine (bad pass),,66-72,,
7:34.0,,,66-72,,M. Miller misses 3-pt shot from 23 ft
7:33.0,Defensive rebound by G. Dieng,,66-72,,
7:26.0,A. Wiggins makes 3-pt shot from 26 ft,3,69-72,,
7:24.0,,,69-72,,Cleveland full timeout
7:24.0,,,69-72,,K. Love enters the game for A. Varejao
7:24.0,,,69-72,,T. Thompson enters the game for M. Miller
7:15.0,,,69-72,,Turnover by K. Love (bad pass; steal by T. Young)
6:56.0,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine),2,71-72,,
6:38.0,,,71-75,3,L. James makes 3-pt shot from 25 ft
6:14.0,G. Dieng misses 2-pt shot from 8 ft,,71-75,,
6:14.0,,,71-75,,Defensive rebound by Team
6:14.0,Loose ball foul by S. Muhammad (drawn by L. James),,71-75,,
5:54.0,Personal foul by Z. LaVine (drawn by K. Irving),,71-75,,
5:54.0,M. Williams enters the game for Z. LaVine,,71-75,,
5:51.0,,,71-78,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
5:33.0,Turnover by A. Wiggins (traveling),,71-78,,
5:13.0,,,71-78,,Turnover by T. Thompson (3 sec)
5:01.0,T. Young makes 2-pt shot from 12 ft (assist by M. Williams),2,73-78,,
4:54.0,,,73-78,,Turnover by K. Irving (bad pass; steal by T. Young)
4:48.0,A. Wiggins misses 2-pt shot from 2 ft (block by L. James),,73-78,,
4:47.0,Offensive rebound by S. Muhammad,,73-78,,
4:46.0,,,73-78,,Violation by T. Thompson (def goaltending)
4:46.0,S. Muhammad makes 2-pt shot from 5 ft,2,75-78,,
4:21.0,,,75-80,2,S. Marion makes 2-pt shot from 6 ft (assist by K. Love)
4:05.0,S. Muhammad makes 2-pt shot at rim (assist by M. Williams),2,77-80,,
3:54.0,,,77-80,,K. Irving misses 3-pt shot from 26 ft
3:53.0,Defensive rebound by A. Wiggins,,77-80,,
3:35.0,Shooting foul by S. Marion (drawn by T. Young),,77-80,,
3:35.0,T. Young makes free throw 1 of 2,1,78-80,,
3:35.0,C. Budinger enters the game for S. Muhammad,,78-80,,
3:35.0,T. Young misses free throw 2 of 2,,78-80,,
3:34.0,,,78-80,,Defensive rebound by K. Love
3:12.0,,,78-80,,K. Irving misses 3-pt shot from 23 ft
3:11.0,,,78-80,,Offensive rebound by S. Marion
3:10.0,Violation by G. Dieng (def goaltending),,78-80,,
3:10.0,,,78-82,2,S. Marion makes 2-pt shot from 5 ft
2:57.0,Turnover by G. Dieng (traveling),,78-82,,
2:57.0,Minnesota full timeout,,78-82,,
2:57.0,A. Bennett enters the game for T. Young,,78-82,,
2:57.0,,,78-82,,D. Waiters enters the game for S. Marion
2:41.0,,,78-84,2,K. Irving makes 2-pt shot from 16 ft
2:30.0,Offensive charge foul by A. Bennett,,78-84,,
2:30.0,Turnover by A. Bennett (offensive foul),,78-84,,
2:15.0,,,78-84,,T. Thompson misses 2-pt shot at rim (block by A. Wiggins)
2:11.0,Defensive rebound by C. Budinger,,78-84,,
2:03.0,Turnover by A. Bennett (lost ball; steal by K. Irving),,78-84,,
1:57.0,,,78-84,,Shooting foul by C. Budinger (drawn by K. Love)
1:57.0,,,78-85,1,K. Love makes free throw 1 of 2
1:57.0,,,78-85,,M. Dellavedova enters the game for K. Irving
1:57.0,,,78-86,1,K. Love makes free throw 2 of 2
1:43.0,A. Wiggins misses 2-pt shot from 16 ft,,78-86,,
1:42.0,,,78-86,,Defensive rebound by D. Waiters
1:32.0,,,78-89,3,L. James makes 3-pt shot from 30 ft (assist by D. Waiters)
1:19.0,C. Budinger misses 2-pt shot from 16 ft,,78-89,,
1:19.0,,,78-89,,Defensive rebound by Team
1:19.0,Loose ball foul by A. Bennett (drawn by K. Love),,78-89,,
1:19.0,,,78-90,1,K. Love makes free throw 1 of 2
1:19.0,,,78-91,1,K. Love makes free throw 2 of 2
1:01.0,Turnover by M. Williams (bad pass; steal by M. Dellavedova),,78-91,,
0:58.0,,,78-93,2,D. Waiters makes 2-pt shot at rim
0:48.0,M. Williams misses 3-pt shot from 26 ft,,78-93,,
0:46.0,,,78-93,,Defensive rebound by K. Love
0:38.0,,,78-93,,L. James misses 3-pt shot from 32 ft
0:37.0,Defensive rebound by C. Budinger,,78-93,,
0:35.0,,,78-93,,Shooting block foul by L. James (drawn by A. Wiggins)
0:35.0,A. Wiggins makes free throw 1 of 2,1,79-93,,
0:35.0,A. Wiggins misses free throw 2 of 2,,79-93,,
0:34.0,,,79-93,,Defensive rebound by T. Thompson
0:17.0,,,79-96,3,D. Waiters makes 3-pt shot from 25 ft
0:01.0,Turnover by C. Budinger (traveling),,79-96,,
0:00.0,,,79-96,,M. Dellavedova misses 3-pt shot from 34 ft
0:00.0,,,79-96,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,79-98,2,K. Love makes 2-pt shot at rim (assist by M. Dellavedova)
11:49.0,,,79-98,,Shooting foul by A. Bennett (drawn by K. Love)
11:49.0,T. Young enters the game for A. Bennett,,79-98,,
11:49.0,S. Muhammad enters the game for A. Wiggins,,79-98,,
11:49.0,,,79-99,1,K. Love makes free throw 1 of 1
11:37.0,M. Williams misses 3-pt shot from 26 ft,,79-99,,
11:35.0,,,79-99,,Defensive rebound by K. Love
11:22.0,,,79-99,,L. James misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by G. Dieng,,79-99,,
11:04.0,T. Young misses 2-pt shot from 10 ft,,79-99,,
11:02.0,,,79-99,,Defensive rebound by K. Love
11:01.0,,,79-99,,Turnover by K. Love (lost ball; steal by T. Young)
11:00.0,M. Williams makes 2-pt shot from 2 ft,2,81-99,,
10:55.0,,,81-99,,Turnover by D. Waiters (bad pass; steal by M. Williams)
10:46.0,C. Budinger misses 3-pt shot from 23 ft,,81-99,,
10:46.0,Offensive rebound by Team,,81-99,,
10:46.0,,,81-99,,Loose ball foul by M. Dellavedova (drawn by T. Young)
10:45.0,,,81-99,,K. Irving enters the game for L. James
10:36.0,G. Dieng makes 2-pt shot at rim (assist by M. Williams),2,83-99,,
10:15.0,,,83-99,,T. Thompson misses 2-pt shot at rim
10:13.0,,,83-99,,Offensive rebound by K. Love
10:10.0,,,83-99,,K. Love misses 2-pt shot from 1 ft (block by G. Dieng)
10:10.0,Defensive rebound by C. Budinger,,83-99,,
10:10.0,Shooting foul by M. Dellavedova (drawn by C. Budinger),,83-99,,
10:10.0,C. Budinger makes free throw 1 of 2,1,84-99,,
10:10.0,C. Budinger makes free throw 2 of 2,1,85-99,,
9:46.0,,,85-99,,D. Waiters misses 2-pt shot from 12 ft (block by M. Williams)
9:44.0,Defensive rebound by M. Williams,,85-99,,
9:43.0,Shooting foul by M. Dellavedova (drawn by S. Muhammad),,85-99,,
9:43.0,S. Muhammad misses free throw 1 of 2,,85-99,,
9:43.0,Offensive rebound by Team,,85-99,,
9:43.0,S. Muhammad makes free throw 2 of 2,1,86-99,,
9:23.0,,,86-101,2,K. Irving makes 2-pt shot from 3 ft (assist by M. Dellavedova)
9:12.0,G. Dieng misses 2-pt shot from 11 ft,,86-101,,
9:10.0,Offensive rebound by S. Muhammad,,86-101,,
9:08.0,S. Muhammad misses 2-pt shot at rim,,86-101,,
9:07.0,Offensive rebound by S. Muhammad,,86-101,,
9:07.0,S. Muhammad makes 2-pt shot at rim,2,88-101,,
8:52.0,,,88-101,,D. Waiters misses 3-pt shot from 23 ft
8:51.0,Defensive rebound by T. Young,,88-101,,
8:47.0,Official timeout,,88-101,,
8:47.0,J. Adrien enters the game for G. Dieng,,88-101,,
8:35.0,M. Williams misses 2-pt shot from 18 ft,,88-101,,
8:34.0,,,88-101,,Defensive rebound by Team
8:34.0,Loose ball foul by S. Muhammad (drawn by D. Waiters),,88-101,,
8:21.0,,,88-101,,M. Dellavedova misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by C. Budinger,,88-101,,
8:12.0,Turnover by M. Williams (bad pass; steal by K. Irving),,88-101,,
8:10.0,,,88-101,,Shooting foul by J. Adrien (drawn by D. Waiters)
8:10.0,,,88-102,1,D. Waiters makes free throw 1 of 2
8:10.0,A. Wiggins enters the game for C. Budinger,,88-102,,
8:10.0,,,88-102,,D. Waiters misses free throw 2 of 2
8:09.0,Defensive rebound by J. Adrien,,88-102,,
8:01.0,,,88-102,,Personal foul by K. Irving (drawn by A. Wiggins)
7:52.0,A. Wiggins makes 2-pt shot from 1 ft,2,90-102,,
7:31.0,,,90-104,2,K. Irving makes 2-pt shot from 5 ft
7:18.0,Shooting foul by K. Irving (drawn by A. Wiggins),,90-104,,
7:18.0,A. Wiggins makes free throw 1 of 2,1,91-104,,
7:18.0,,,91-104,,S. Marion enters the game for M. Dellavedova
7:18.0,Z. LaVine enters the game for M. Williams,,91-104,,
7:18.0,A. Wiggins misses free throw 2 of 2,,91-104,,
7:17.0,,,91-104,,Defensive rebound by T. Thompson
7:03.0,,,91-106,2,K. Irving makes 2-pt shot from 9 ft
6:39.0,S. Muhammad misses 2-pt shot from 9 ft,,91-106,,
6:38.0,Offensive rebound by Team,,91-106,,
6:38.0,,,91-106,,L. James enters the game for K. Irving
6:27.0,T. Young misses 2-pt shot from 9 ft,,91-106,,
6:25.0,,,91-106,,Defensive rebound by T. Thompson
6:23.0,,,91-106,,Shooting foul by Z. LaVine (drawn by D. Waiters)
6:23.0,,,91-107,1,D. Waiters makes free throw 1 of 2
6:23.0,Minnesota full timeout,,91-107,,
6:23.0,,,91-108,1,D. Waiters makes free throw 2 of 2
6:10.0,A. Wiggins makes 2-pt shot from 7 ft (assist by Z. LaVine),2,93-108,,
6:10.0,Loose ball foul by J. Adrien (drawn by K. Love),,93-108,,
6:10.0,,,93-108,,K. Love misses free throw 1 of 2
6:10.0,,,93-108,,Offensive rebound by Team
6:10.0,,,93-109,1,K. Love makes free throw 2 of 2
5:55.0,Turnover by T. Young (bad pass; steal by S. Marion),,93-109,,
