time,Toronto,pts.away,score,pts.home,Minnesota
7:15.0,J. Johnson makes 3-pt shot from 22 ft (assist by P. Patterson),3,48-31,,
6:59.0,,,48-31,,A. Wiggins misses 2-pt shot from 7 ft
6:58.0,Defensive rebound by J. Johnson,,48-31,,
6:37.0,G. Vasquez misses 3-pt shot from 24 ft,,48-31,,
6:36.0,Offensive rebound by T. Hansbrough,,48-31,,
6:17.0,,,48-31,,Violation by Z. LaVine (kicked ball)
6:17.0,Toronto full timeout,,48-31,,
6:17.0,D. DeRozan enters the game for L. Williams,,48-31,,
6:17.0,J. Valanciunas enters the game for T. Hansbrough,,48-31,,
6:17.0,,,48-31,,J. Hamilton enters the game for A. Payne
6:09.0,Shooting foul by A. Wiggins (drawn by D. DeRozan),,48-31,,
6:09.0,D. DeRozan makes free throw 1 of 2,1,49-31,,
6:09.0,D. DeRozan makes free throw 2 of 2,1,50-31,,
5:59.0,,,50-31,,C. Budinger misses 3-pt shot from 25 ft (block by J. Johnson)
5:58.0,,,50-31,,Offensive rebound by Team
5:52.0,,,50-33,2,A. Bennett makes 2-pt shot at rim (assist by A. Wiggins)
5:32.0,P. Patterson misses 3-pt shot from 24 ft,,50-33,,
5:29.0,,,50-33,,Defensive rebound by J. Hamilton
5:23.0,,,50-35,2,Z. LaVine makes 2-pt shot from 1 ft
5:06.0,J. Johnson misses 3-pt shot from 22 ft,,50-35,,
5:05.0,,,50-35,,Defensive rebound by A. Bennett
4:47.0,,,50-37,2,C. Budinger makes 2-pt shot from 7 ft
4:23.0,Turnover by P. Patterson (bad pass; steal by A. Bennett),,50-37,,
4:20.0,Personal foul by J. Valanciunas (drawn by A. Bennett),,50-37,,
4:20.0,A. Johnson enters the game for P. Patterson,,50-37,,
4:20.0,T. Ross enters the game for J. Johnson,,50-37,,
4:10.0,,,50-37,,A. Bennett misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by Team,,50-37,,
3:57.0,D. DeRozan makes 2-pt shot at rim (assist by A. Johnson),2,52-37,,
3:36.0,,,52-39,2,Z. LaVine makes 2-pt shot from 10 ft
3:14.0,Turnover by A. Johnson (bad pass; steal by C. Budinger),,52-39,,
3:04.0,,,52-41,2,A. Bennett makes 2-pt shot at rim (assist by Z. LaVine)
2:49.0,,,52-41,,Personal foul by A. Bennett (drawn by A. Johnson)
2:49.0,Toronto full timeout,,52-41,,
2:49.0,L. Williams enters the game for G. Vasquez,,52-41,,
2:49.0,,,52-41,,A. Payne enters the game for A. Bennett
2:36.0,T. Ross misses 2-pt shot from 18 ft,,52-41,,
2:34.0,,,52-41,,Defensive rebound by Z. LaVine
2:21.0,,,52-41,,Shooting foul by J. Valanciunas (drawn by A. Wiggins)
2:21.0,,,52-42,1,A. Wiggins makes free throw 1 of 2
2:21.0,T. Hansbrough enters the game for J. Valanciunas,,52-42,,
2:21.0,,,52-42,,A. Wiggins misses free throw 2 of 2
2:20.0,Defensive rebound by A. Johnson,,52-42,,
1:56.0,D. DeRozan makes 3-pt shot from 23 ft (assist by T. Ross),3,55-42,,
1:49.0,,,55-42,,Technical foul by Team
1:49.0,D. DeRozan makes technical free throw,1,56-42,,
1:41.0,,,56-42,,Shooting foul by A. Johnson (drawn by A. Wiggins)
1:41.0,,,56-43,1,A. Wiggins makes free throw 1 of 2
1:41.0,,,56-44,1,A. Wiggins makes free throw 2 of 2
1:26.0,D. DeRozan misses 2-pt shot from 12 ft (block by A. Payne),,56-44,,
1:23.0,Offensive rebound by A. Johnson,,56-44,,
1:23.0,A. Johnson makes 2-pt shot from 1 ft,2,58-44,,
1:11.0,,,58-44,,Turnover by Z. LaVine (bad pass; steal by L. Williams)
1:02.0,Offensive charge foul by A. Johnson,,58-44,,
1:02.0,Turnover by A. Johnson (offensive foul),,58-44,,
1:02.0,P. Patterson enters the game for A. Johnson,,58-44,,
1:02.0,,,58-44,,Minnesota full timeout
1:02.0,,,58-44,,L. Brown enters the game for Z. LaVine
0:47.0,,,58-46,2,J. Hamilton makes 2-pt shot at rim (assist by C. Budinger)
0:36.0,L. Williams makes 2-pt shot from 8 ft,2,60-46,,
0:14.0,,,60-46,,C. Budinger misses 3-pt shot from 25 ft
0:12.0,,,60-46,,Offensive rebound by A. Payne
0:00.0,,,60-46,,A. Wiggins misses 2-pt shot from 15 ft
0:00.0,,,60-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Valanciunas makes 2-pt shot from 1 ft,2,62-46,,
11:28.0,,,62-48,2,A. Wiggins makes 2-pt shot from 19 ft
11:10.0,D. DeRozan makes 2-pt shot from 19 ft (assist by A. Johnson),2,64-48,,
10:53.0,,,64-48,,Turnover by Z. LaVine (bad pass; steal by A. Johnson)
10:50.0,A. Johnson misses 2-pt shot from 4 ft (block by L. Brown),,64-48,,
10:49.0,Offensive rebound by Team,,64-48,,
10:49.0,,,64-48,,A. Bennett enters the game for J. Hamilton
10:48.0,Jump ball: L. Brown vs. A. Johnson (D. DeRozan gains possession),,,,Jump ball: L. Brown vs. A. Johnson (D. DeRozan gains possession)
10:44.0,,,64-48,,Personal foul by A. Payne (drawn by J. Valanciunas)
10:36.0,J. Valanciunas makes 2-pt shot from 1 ft,2,66-48,,
10:22.0,,,66-50,2,A. Wiggins makes 2-pt shot from 18 ft (assist by Z. LaVine)
10:01.0,D. DeRozan misses 2-pt shot from 8 ft (block by A. Wiggins),,66-50,,
9:59.0,Offensive rebound by T. Ross,,66-50,,
9:45.0,T. Ross makes 3-pt shot from 24 ft (assist by J. Valanciunas),3,69-50,,
9:26.0,,,69-50,,Z. LaVine misses 2-pt shot from 20 ft
9:25.0,,,69-50,,Offensive rebound by A. Bennett
9:20.0,,,69-50,,Z. LaVine misses 2-pt shot from 3 ft (block by J. Valanciunas)
9:18.0,Defensive rebound by J. Valanciunas,,69-50,,
8:56.0,T. Ross makes 2-pt shot from 12 ft,2,71-50,,
8:56.0,,,71-50,,Minnesota full timeout
8:56.0,,,71-50,,J. Hamilton enters the game for A. Bennett
8:30.0,,,71-50,,Z. LaVine misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by A. Johnson,,71-50,,
8:13.0,J. Valanciunas misses 2-pt shot from 1 ft,,71-50,,
8:08.0,Offensive rebound by D. DeRozan,,71-50,,
8:03.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by G. Vasquez),2,73-50,,
7:50.0,,,73-50,,A. Wiggins misses 2-pt shot from 16 ft
7:48.0,Defensive rebound by J. Valanciunas,,73-50,,
7:37.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by A. Johnson),2,75-50,,
7:37.0,,,75-50,,Minnesota full timeout
7:16.0,,,75-50,,Turnover by A. Wiggins (bad pass)
7:02.0,Shooting foul by L. Brown (drawn by T. Ross),,75-50,,
7:02.0,T. Ross makes free throw 1 of 2,1,76-50,,
7:02.0,,,76-50,,A. Bennett enters the game for A. Payne
7:02.0,,,76-50,,C. Budinger enters the game for L. Brown
7:02.0,T. Ross makes free throw 2 of 2,1,77-50,,
6:47.0,,,77-52,2,Z. LaVine makes 2-pt shot at rim
6:28.0,A. Johnson misses 3-pt shot from 23 ft,,77-52,,
6:27.0,,,77-52,,Defensive rebound by Z. LaVine
6:24.0,Personal foul by G. Vasquez (drawn by Z. LaVine),,77-52,,
6:14.0,,,77-52,,Turnover by A. Wiggins (bad pass)
6:05.0,Turnover by G. Vasquez (bad pass; steal by J. Hamilton),,77-52,,
6:00.0,,,77-52,,Turnover by J. Hamilton (bad pass; steal by G. Vasquez)
5:44.0,J. Valanciunas misses 2-pt shot from 1 ft (block by J. Hamilton),,77-52,,
5:42.0,,,77-52,,Defensive rebound by A. Bennett
5:35.0,,,77-52,,Turnover by A. Bennett (bad pass)
5:25.0,T. Ross misses 3-pt shot from 22 ft,,77-52,,
5:23.0,,,77-52,,Defensive rebound by A. Wiggins
5:17.0,,,77-54,2,A. Wiggins makes 2-pt shot from 7 ft
5:10.0,Toronto full timeout,,77-54,,
5:10.0,L. Williams enters the game for G. Vasquez,,77-54,,
5:01.0,D. DeRozan misses 2-pt shot from 17 ft,,77-54,,
4:59.0,Offensive rebound by J. Valanciunas,,77-54,,
4:55.0,J. Valanciunas makes 2-pt shot from 3 ft,2,79-54,,
4:37.0,,,79-54,,Z. LaVine misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by Team,,79-54,,
4:14.0,Turnover by L. Williams (bad pass; steal by C. Budinger),,79-54,,
4:01.0,,,79-56,2,A. Bennett makes 2-pt shot from 16 ft (assist by Z. LaVine)
3:47.0,L. Williams misses 3-pt shot from 24 ft,,79-56,,
3:46.0,,,79-56,,Defensive rebound by C. Budinger
3:37.0,,,79-56,,J. Hamilton misses 2-pt shot from 19 ft
3:36.0,Defensive rebound by J. Valanciunas,,79-56,,
3:18.0,T. Ross misses 2-pt shot from 18 ft,,79-56,,
3:17.0,,,79-56,,Defensive rebound by Z. LaVine
3:13.0,,,79-56,,Turnover by Z. LaVine (bad pass; steal by L. Williams)
3:12.0,Turnover by L. Williams (traveling),,79-56,,
3:12.0,P. Patterson enters the game for A. Johnson,,79-56,,
3:12.0,T. Hansbrough enters the game for J. Valanciunas,,79-56,,
3:01.0,,,79-58,2,C. Budinger makes 2-pt shot from 1 ft
2:43.0,D. DeRozan makes 2-pt shot from 5 ft,2,81-58,,
2:26.0,,,81-60,2,A. Wiggins makes 2-pt shot from 15 ft
2:09.0,Turnover by L. Williams (bad pass),,81-60,,
2:09.0,,,81-60,,R. Hummel enters the game for A. Bennett
2:09.0,J. Johnson enters the game for T. Ross,,81-60,,
1:59.0,,,81-60,,Turnover by A. Wiggins (bad pass; steal by D. DeRozan)
1:54.0,D. DeRozan misses 2-pt shot from 4 ft (block by A. Wiggins),,81-60,,
1:53.0,Offensive rebound by Team,,81-60,,
1:44.0,T. Hansbrough makes 2-pt shot from 2 ft (assist by P. Patterson),2,83-60,,
1:33.0,Personal foul by J. Johnson (drawn by C. Budinger),,83-60,,
1:26.0,,,83-62,2,Z. LaVine makes 2-pt shot from 16 ft
1:05.0,Shooting foul by J. Hamilton (drawn by J. Johnson),,83-62,,
1:05.0,J. Johnson misses free throw 1 of 2,,83-62,,
1:05.0,Offensive rebound by Team,,83-62,,
1:05.0,J. Johnson makes free throw 2 of 2,1,84-62,,
0:54.0,,,84-65,3,C. Budinger makes 3-pt shot from 25 ft (assist by J. Hamilton)
0:40.0,Shooting foul by C. Budinger (drawn by T. Hansbrough),,84-65,,
0:40.0,T. Hansbrough makes free throw 1 of 2,1,85-65,,
0:40.0,T. Hansbrough makes free throw 2 of 2,1,86-65,,
0:32.0,,,86-67,2,Z. LaVine makes 2-pt shot from 15 ft
0:08.0,L. Williams misses 3-pt shot from 25 ft,,86-67,,
0:08.0,Offensive rebound by Team,,86-67,,
0:08.0,Turnover by Team (shot clock),,86-67,,
0:01.0,,,86-69,2,Z. LaVine makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,86-69,,A. Wiggins misses 2-pt shot from 15 ft (block by J. Johnson)
11:42.0,Defensive rebound by G. Vasquez,,86-69,,
11:23.0,G. Vasquez makes 3-pt shot from 25 ft (assist by J. Johnson),3,89-69,,
11:04.0,,,89-69,,Turnover by Z. LaVine (lost ball; steal by P. Patterson)
10:42.0,P. Patterson misses 3-pt shot from 23 ft,,89-69,,
10:41.0,Offensive rebound by J. Johnson,,89-69,,
10:41.0,J. Johnson makes 2-pt shot at rim,2,91-69,,
10:23.0,,,91-69,,C. Budinger misses 2-pt shot from 4 ft
10:22.0,,,91-69,,Offensive rebound by J. Hamilton
10:12.0,,,91-71,2,C. Budinger makes 2-pt shot from 1 ft
9:49.0,P. Patterson misses 3-pt shot from 22 ft,,91-71,,
9:47.0,Offensive rebound by J. Johnson,,91-71,,
9:35.0,L. Williams misses 3-pt shot from 23 ft,,91-71,,
9:34.0,,,91-71,,Defensive rebound by A. Wiggins
9:27.0,,,91-71,,A. Wiggins misses 2-pt shot from 2 ft
9:26.0,Defensive rebound by J. Johnson,,91-71,,
9:20.0,J. Johnson makes 2-pt shot at rim,2,93-71,,
9:07.0,Personal foul by G. Vasquez (drawn by R. Hummel),,93-71,,
9:07.0,,,93-71,,A. Payne enters the game for J. Hamilton
9:07.0,,,93-71,,L. Brown enters the game for Z. LaVine
9:07.0,,,93-71,,A. Bennett enters the game for A. Wiggins
9:02.0,,,93-71,,C. Budinger misses 2-pt shot from 12 ft
9:00.0,Defensive rebound by T. Hansbrough,,93-71,,
8:52.0,J. Johnson makes 2-pt shot at rim,2,95-71,,
8:51.0,,,95-71,,Minnesota full timeout
8:51.0,,,95-71,,A. Wiggins enters the game for A. Bennett
8:37.0,Def 3 sec tech foul by T. Hansbrough,,95-71,,
8:37.0,,,95-71,,C. Budinger misses technical free throw
8:37.0,,,95-71,,Offensive rebound by Team
8:32.0,,,95-73,2,C. Budinger makes 2-pt shot from 1 ft (assist by A. Payne)
8:13.0,Shooting foul by A. Wiggins (drawn by L. Williams),,95-73,,
8:13.0,L. Williams makes free throw 1 of 3,1,96-73,,
8:13.0,L. Williams makes free throw 2 of 3,1,97-73,,
8:13.0,L. Williams makes free throw 3 of 3,1,98-73,,
7:51.0,,,98-73,,L. Brown misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by G. Vasquez,,98-73,,
7:35.0,L. Williams makes 3-pt shot from 22 ft (assist by P. Patterson),3,101-73,,
7:18.0,,,101-73,,A. Wiggins misses 2-pt shot from 3 ft
7:17.0,Defensive rebound by T. Hansbrough,,101-73,,
7:09.0,Shooting foul by R. Hummel (drawn by T. Hansbrough),,101-73,,
7:09.0,T. Hansbrough misses free throw 1 of 2,,101-73,,
7:09.0,Offensive rebound by Team,,101-73,,
7:09.0,T. Hansbrough makes free throw 2 of 2,1,102-73,,
6:55.0,,,102-73,,Shooting foul by J. Johnson (drawn by A. Wiggins)
6:55.0,,,102-74,1,A. Wiggins makes free throw 1 of 2
6:55.0,,,102-75,1,A. Wiggins makes free throw 2 of 2
6:42.0,L. Williams makes 2-pt shot from 15 ft,2,104-75,,
6:33.0,,,104-75,,Turnover by L. Brown (bad pass; steal by J. Johnson)
6:30.0,Turnover by J. Johnson (bad pass; steal by A. Wiggins),,104-75,,
6:29.0,Personal foul by G. Vasquez (drawn by A. Wiggins),,104-75,,
6:29.0,T. Ross enters the game for G. Vasquez,,104-75,,
6:15.0,,,104-75,,A. Wiggins misses 2-pt shot from 15 ft
6:13.0,Defensive rebound by P. Patterson,,104-75,,
6:02.0,Turnover by L. Williams (bad pass; steal by L. Brown),,104-75,,
5:58.0,,,104-77,2,L. Brown makes 2-pt shot at rim
5:32.0,T. Hansbrough makes 2-pt shot from 6 ft,2,106-77,,
5:20.0,,,106-77,,L. Brown misses 2-pt shot at rim
5:19.0,Defensive rebound by T. Hansbrough,,106-77,,
5:07.0,L. Williams makes 2-pt shot from 18 ft,2,108-77,,
4:57.0,,,108-79,2,A. Wiggins makes 2-pt shot from 1 ft (assist by C. Budinger)
4:57.0,,,108-79,,Shooting foul by L. Williams (drawn by A. Wiggins)
4:57.0,,,108-79,,Minnesota full timeout
4:57.0,G. Stiemsma enters the game for P. Patterson,,108-79,,
4:57.0,,,108-79,,Z. LaVine enters the game for L. Brown
4:57.0,,,108-80,1,A. Wiggins makes free throw 1 of 1
4:44.0,T. Ross makes 2-pt shot at rim (assist by J. Johnson),2,110-80,,
4:20.0,,,110-82,2,C. Budinger makes 2-pt shot from 16 ft
4:02.0,L. Williams misses 3-pt shot from 25 ft,,110-82,,
4:01.0,,,110-82,,Defensive rebound by C. Budinger
3:53.0,,,110-84,2,Z. LaVine makes 2-pt shot from 10 ft
3:33.0,,,110-84,,Violation by Z. LaVine (kicked ball)
3:33.0,L. Fields enters the game for L. Williams,,110-84,,
3:33.0,B. Caboclo enters the game for T. Ross,,110-84,,
3:19.0,J. Johnson misses 2-pt shot from 22 ft,,110-84,,
3:18.0,,,110-84,,Defensive rebound by Z. LaVine
3:06.0,,,110-86,2,A. Wiggins makes 2-pt shot at rim
3:06.0,,,110-86,,Shooting foul by B. Caboclo (drawn by A. Wiggins)
3:06.0,,,110-87,1,A. Wiggins makes free throw 1 of 1
2:48.0,B. Caboclo misses 2-pt shot from 7 ft,,110-87,,
2:47.0,,,110-87,,Defensive rebound by A. Payne
2:40.0,,,110-90,3,R. Hummel makes 3-pt shot from 25 ft (assist by C. Budinger)
2:18.0,Turnover by G. Stiemsma (offensive goaltending),,110-90,,
2:18.0,,,110-90,,L. Brown enters the game for A. Wiggins
2:18.0,Toronto full timeout,,110-90,,
2:06.0,,,110-93,3,C. Budinger makes 3-pt shot from 24 ft (assist by A. Payne)
1:46.0,Turnover by J. Johnson (discontinued dribble),,110-93,,
1:38.0,,,110-93,,Shooting foul by G. Stiemsma (drawn by C. Budinger)
1:38.0,,,110-94,1,C. Budinger makes free throw 1 of 2
1:38.0,,,110-94,,C. Budinger misses free throw 2 of 2
1:37.0,Defensive rebound by L. Fields,,110-94,,
1:31.0,B. Caboclo makes 2-pt shot from 1 ft (assist by L. Fields),2,112-94,,
1:25.0,,,112-96,2,L. Brown makes 2-pt shot from 22 ft (assist by R. Hummel)
1:25.0,Technical foul by T. Hansbrough,,112-96,,
1:25.0,,,112-97,1,Z. LaVine makes technical free throw
1:13.0,T. Hansbrough misses flagrant free throw 1 of 2,,112-97,,
1:13.0,Offensive rebound by Team,,112-97,,
1:13.0,T. Hansbrough makes flagrant free throw 2 of 2,1,113-97,,
0:57.0,L. Fields misses 2-pt shot from 10 ft,,113-97,,
0:56.0,,,113-97,,Defensive rebound by L. Brown
0:52.0,,,113-99,2,Z. LaVine makes 2-pt shot from 1 ft (assist by L. Brown)
0:40.0,G. Stiemsma misses 2-pt shot from 5 ft,,113-99,,
0:39.0,,,113-99,,Defensive rebound by C. Budinger
0:24.0,,,113-99,,Z. LaVine misses 2-pt shot from 6 ft
0:23.0,,,113-99,,Offensive rebound by A. Payne
0:23.0,,,113-99,,A. Payne misses 2-pt shot at rim
0:21.0,Defensive rebound by T. Hansbrough,,113-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
