time,Brooklyn,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,41-43,,Personal take foul by K. Middleton (drawn by B. Bogdanovic)
11:36.0,T. Young misses 2-pt shot from 8 ft,,41-43,,
11:36.0,Offensive rebound by B. Lopez,,41-43,,
11:36.0,,,41-43,,Personal foul by Z. Pachulia (drawn by B. Lopez)
11:24.0,B. Bogdanovic misses 3-pt shot from 25 ft,,41-43,,
11:22.0,Offensive rebound by B. Lopez,,41-43,,
11:16.0,B. Bogdanovic misses 3-pt shot from 29 ft,,41-43,,
11:15.0,,,41-43,,Defensive rebound by G. Antetokounmpo
11:01.0,,,41-45,2,E. Ilyasova makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:37.0,J. Johnson misses 3-pt shot from 27 ft,,41-45,,
10:37.0,Offensive rebound by T. Young,,41-45,,
10:37.0,Offensive charge foul by T. Young,,41-45,,
10:37.0,Turnover by T. Young (offensive foul),,41-45,,
10:17.0,,,41-47,2,M. Carter-Williams makes 2-pt shot from 14 ft
9:56.0,Turnover by T. Young (lost ball; steal by M. Carter-Williams),,41-47,,
9:48.0,,,41-47,,K. Middleton misses 3-pt shot from 25 ft
9:47.0,,,41-47,,Offensive rebound by Z. Pachulia
9:41.0,,,41-49,2,E. Ilyasova makes 2-pt shot at rim (assist by K. Middleton)
9:13.0,Offensive charge foul by D. Williams,,41-49,,
9:13.0,Turnover by D. Williams (offensive foul),,41-49,,
9:04.0,,,41-49,,Turnover by M. Carter-Williams (bad pass; steal by B. Bogdanovic)
8:52.0,J. Johnson misses 3-pt shot from 22 ft,,41-49,,
8:51.0,,,41-49,,Defensive rebound by K. Middleton
8:44.0,,,41-51,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by K. Middleton)
8:44.0,Brooklyn full timeout,,41-51,,
8:36.0,D. Williams misses 2-pt shot from 17 ft,,41-51,,
8:35.0,,,41-51,,Defensive rebound by E. Ilyasova
8:16.0,,,41-51,,Turnover by E. Ilyasova (bad pass; steal by B. Lopez)
8:12.0,B. Bogdanovic makes 2-pt shot at rim (assist by D. Williams),2,43-51,,
7:55.0,,,43-51,,M. Carter-Williams misses 2-pt shot from 19 ft
7:54.0,Defensive rebound by J. Johnson,,43-51,,
7:48.0,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young),2,45-51,,
7:31.0,,,45-53,2,G. Antetokounmpo makes 2-pt shot from 16 ft
7:07.0,B. Lopez makes 2-pt shot from 17 ft (assist by T. Young),2,47-53,,
6:51.0,,,47-55,2,K. Middleton makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
6:34.0,Turnover by T. Young (lost ball; steal by M. Carter-Williams),,47-55,,
6:30.0,,,47-55,,Shooting foul by D. Williams (drawn by G. Antetokounmpo)
6:30.0,,,47-56,1,G. Antetokounmpo makes free throw 1 of 2
6:30.0,J. Jack enters the game for D. Williams,,47-56,,
6:30.0,E. Clark enters the game for T. Young,,47-56,,
6:30.0,,,47-56,,G. Antetokounmpo misses free throw 2 of 2
6:29.0,Defensive rebound by E. Clark,,47-56,,
6:17.0,J. Jack misses 2-pt shot from 17 ft,,47-56,,
6:15.0,,,47-56,,Defensive rebound by Z. Pachulia
6:03.0,,,47-59,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by K. Middleton)
5:38.0,Turnover by B. Bogdanovic (bad pass; steal by G. Antetokounmpo),,47-59,,
5:34.0,,,47-61,2,E. Ilyasova makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:34.0,Brooklyn full timeout,,47-61,,
5:13.0,,,47-61,,Personal foul by M. Carter-Williams (drawn by E. Clark)
5:10.0,Offensive foul by B. Lopez,,47-61,,
5:10.0,Turnover by B. Lopez (offensive foul),,47-61,,
5:01.0,,,47-61,,Offensive foul by Z. Pachulia
5:01.0,,,47-61,,Turnover by Z. Pachulia (offensive foul)
4:49.0,Turnover by E. Clark (lost ball),,47-61,,
4:49.0,Personal foul by E. Clark (drawn by G. Antetokounmpo),,47-61,,
4:33.0,,,47-63,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by G. Antetokounmpo)
4:19.0,B. Bogdanovic misses 2-pt shot from 4 ft,,47-63,,
4:19.0,Offensive rebound by Team,,47-63,,
4:15.0,,,47-63,,Personal foul by Z. Pachulia (drawn by B. Lopez)
4:02.0,J. Johnson misses 2-pt shot from 13 ft,,47-63,,
3:59.0,,,47-63,,Defensive rebound by E. Ilyasova
3:52.0,,,47-65,2,K. Middleton makes 2-pt shot at rim (assist by Z. Pachulia)
3:38.0,J. Jack misses 2-pt shot from 1 ft,,47-65,,
3:36.0,,,47-65,,Defensive rebound by Z. Pachulia
3:31.0,,,47-65,,Shooting foul by E. Clark (drawn by E. Ilyasova)
3:31.0,,,47-66,1,E. Ilyasova makes free throw 1 of 2
3:31.0,M. Plumlee enters the game for B. Lopez,,47-66,,
3:31.0,T. Young enters the game for E. Clark,,47-66,,
3:31.0,,,47-67,1,E. Ilyasova makes free throw 2 of 2
3:25.0,,,47-67,,Personal foul by G. Antetokounmpo (drawn by J. Johnson)
3:25.0,J. Johnson makes free throw 1 of 2,1,48-67,,
3:25.0,J. Johnson makes free throw 2 of 2,1,49-67,,
3:04.0,,,49-67,,Turnover by E. Ilyasova (bad pass; steal by M. Plumlee)
2:53.0,Shooting foul by Z. Pachulia (drawn by J. Johnson),,49-67,,
2:53.0,,,49-67,,Milwaukee full timeout
2:53.0,,,49-67,,O. Mayo enters the game for K. Middleton
2:53.0,,,49-67,,J. Henson enters the game for Z. Pachulia
2:53.0,J. Johnson misses free throw 1 of 2,,49-67,,
2:53.0,Offensive rebound by Team,,49-67,,
2:53.0,J. Johnson makes free throw 2 of 2,1,50-67,,
2:28.0,,,50-69,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
2:15.0,,,50-69,,Personal block foul by J. Henson (drawn by J. Jack)
2:15.0,J. Jack makes free throw 1 of 2,1,51-69,,
2:15.0,D. Williams enters the game for J. Johnson,,51-69,,
2:15.0,J. Jack makes free throw 2 of 2,1,52-69,,
2:02.0,,,52-71,2,M. Carter-Williams makes 2-pt shot from 4 ft
1:41.0,T. Young makes 2-pt shot from 2 ft (assist by J. Jack),2,54-71,,
1:15.0,,,54-71,,G. Antetokounmpo misses 3-pt shot from 25 ft
1:13.0,,,54-71,,Offensive rebound by M. Carter-Williams
1:13.0,,,54-73,2,M. Carter-Williams makes 2-pt shot at rim
0:59.0,Turnover by J. Jack (bad pass; steal by J. Henson),,54-73,,
0:55.0,,,54-73,,Turnover by O. Mayo (bad pass; steal by J. Jack)
0:49.0,T. Young misses 2-pt shot from 1 ft,,54-73,,
0:49.0,Offensive rebound by M. Plumlee,,54-73,,
0:49.0,M. Plumlee makes 2-pt shot from 1 ft,2,56-73,,
0:32.0,,,56-73,,M. Carter-Williams misses 2-pt shot from 17 ft
0:31.0,Defensive rebound by T. Young,,56-73,,
0:15.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Williams),3,59-73,,
0:05.0,Personal take foul by B. Bogdanovic (drawn by G. Antetokounmpo),,59-73,,
0:00.0,,,59-73,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by M. Plumlee)
0:00.0,,,59-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Personal foul by B. Bogdanovic (drawn by J. Henson),,59-73,,
11:38.0,,,59-75,2,O. Mayo makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
11:18.0,M. Plumlee misses 2-pt shot from 1 ft,,59-75,,
11:17.0,,,59-75,,Defensive rebound by O. Mayo
11:11.0,,,59-78,3,O. Mayo makes 3-pt shot from 26 ft
10:53.0,Turnover by T. Young (bad pass; steal by O. Mayo),,59-78,,
10:53.0,Loose ball foul by M. Plumlee (drawn by O. Mayo),,59-78,,
10:53.0,B. Lopez enters the game for M. Plumlee,,59-78,,
10:41.0,,,59-80,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:19.0,T. Young misses 2-pt shot from 6 ft,,59-80,,
10:18.0,,,59-80,,Defensive rebound by J. Henson
10:14.0,,,59-82,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
10:14.0,,,59-82,,Shooting foul by J. Jack (drawn by G. Antetokounmpo)
10:14.0,,,59-82,,G. Antetokounmpo misses free throw 1 of 1
10:13.0,Defensive rebound by B. Bogdanovic,,59-82,,
10:03.0,,,59-82,,Personal foul by J. Henson (drawn by B. Lopez)
10:03.0,J. Johnson enters the game for B. Bogdanovic,,59-82,,
9:59.0,,,59-82,,Personal foul by O. Mayo (drawn by J. Jack)
9:49.0,T. Young misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,59-82,,
9:47.0,,,59-82,,Defensive rebound by G. Antetokounmpo
9:38.0,Personal foul by D. Williams (drawn by G. Antetokounmpo),,59-82,,
9:24.0,,,59-82,,J. Dudley misses 2-pt shot from 18 ft
9:23.0,Defensive rebound by D. Williams,,59-82,,
9:16.0,Shooting foul by J. Henson (drawn by B. Lopez),,59-82,,
9:16.0,B. Lopez makes free throw 1 of 2,1,60-82,,
9:16.0,B. Lopez makes free throw 2 of 2,1,61-82,,
8:54.0,,,61-82,,O. Mayo misses 2-pt shot at rim (block by T. Young)
8:54.0,,,61-82,,Offensive rebound by Team
8:54.0,Official timeout,,61-82,,
8:49.0,,,61-84,2,O. Mayo makes 2-pt shot from 18 ft (assist by J. Dudley)
8:33.0,T. Young makes 3-pt shot from 26 ft (assist by J. Johnson),3,64-84,,
8:17.0,,,64-84,,J. Dudley misses 3-pt shot from 25 ft
8:16.0,,,64-84,,Offensive rebound by G. Antetokounmpo
8:08.0,,,64-84,,O. Mayo misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by D. Williams,,64-84,,
7:59.0,T. Young misses 3-pt shot from 29 ft,,64-84,,
7:56.0,,,64-84,,Defensive rebound by G. Antetokounmpo
7:38.0,,,64-84,,Turnover by J. Henson (lost ball; steal by T. Young)
7:33.0,T. Young misses 2-pt shot at rim,,64-84,,
7:32.0,,,64-84,,Defensive rebound by O. Mayo
7:24.0,,,64-87,3,O. Mayo makes 3-pt shot from 27 ft (assist by J. Bayless)
7:11.0,J. Jack misses 3-pt shot from 25 ft,,64-87,,
7:09.0,,,64-87,,Defensive rebound by G. Antetokounmpo
7:01.0,,,64-87,,O. Mayo misses 2-pt shot from 2 ft (block by B. Lopez)
6:59.0,Defensive rebound by D. Williams,,64-87,,
6:59.0,,,64-87,,Personal take foul by G. Antetokounmpo (drawn by D. Williams)
6:59.0,D. Morris enters the game for J. Johnson,,64-87,,
6:59.0,M. Brown enters the game for T. Young,,64-87,,
6:59.0,M. Plumlee enters the game for B. Lopez,,64-87,,
6:59.0,C. Jefferson enters the game for D. Williams,,64-87,,
6:59.0,,,64-87,,K. Middleton enters the game for G. Antetokounmpo
6:59.0,E. Clark enters the game for J. Jack,,64-87,,
6:42.0,M. Plumlee misses 2-pt shot from 3 ft (block by J. Henson),,64-87,,
6:40.0,Offensive rebound by M. Plumlee,,64-87,,
6:39.0,Shooting foul by O. Mayo (drawn by E. Clark),,64-87,,
6:39.0,E. Clark misses free throw 1 of 2,,64-87,,
6:39.0,Offensive rebound by Team,,64-87,,
6:39.0,E. Clark misses free throw 2 of 2,,64-87,,
6:37.0,Offensive rebound by M. Plumlee,,64-87,,
6:34.0,M. Plumlee misses 2-pt shot from 2 ft,,64-87,,
6:33.0,,,64-87,,Defensive rebound by J. Dudley
6:17.0,,,64-87,,O. Mayo misses 2-pt shot from 13 ft (block by M. Brown)
6:15.0,Defensive rebound by D. Morris,,64-87,,
6:04.0,D. Morris misses 2-pt shot from 19 ft,,64-87,,
6:02.0,,,64-87,,Defensive rebound by J. Henson
5:48.0,,,64-87,,Turnover by J. Bayless (bad pass; steal by D. Morris)
5:43.0,Turnover by C. Jefferson (lost ball; steal by K. Middleton),,64-87,,
5:39.0,,,64-87,,Turnover by O. Mayo (bad pass)
5:39.0,,,64-87,,Milwaukee full timeout
5:39.0,,,64-87,,T. Ennis enters the game for J. Bayless
5:39.0,,,64-87,,M. Plumlee enters the game for J. Henson
5:17.0,M. Brown misses 2-pt shot from 14 ft,,64-87,,
5:16.0,Offensive rebound by C. Jefferson,,64-87,,
5:12.0,C. Jefferson misses 2-pt shot from 8 ft,,64-87,,
5:11.0,,,64-87,,Defensive rebound by M. Plumlee
5:04.0,,,64-87,,Turnover by O. Mayo (lost ball)
4:49.0,Turnover by M. Brown (bad pass; steal by O. Mayo),,64-87,,
4:43.0,,,64-89,2,M. Plumlee makes 2-pt shot at rim (assist by O. Mayo)
4:28.0,D. Morris misses 2-pt shot at rim,,64-89,,
4:27.0,,,64-89,,Defensive rebound by O. Mayo
4:23.0,,,64-89,,Turnover by O. Mayo (bad pass)
