time,Chicago,pts.away,score,pts.home,Portland
2:28.0,N. Mirotic misses 2-pt shot from 1 ft (block by L. Aldridge),,39-55,,
2:26.0,,,39-55,,Defensive rebound by W. Matthews
2:14.0,,,39-57,2,L. Aldridge makes 2-pt shot from 10 ft
1:58.0,J. Butler misses 2-pt shot from 16 ft,,39-57,,
1:57.0,,,39-57,,Defensive rebound by W. Matthews
1:54.0,,,39-59,2,A. Crabbe makes 2-pt shot at rim (assist by W. Matthews)
1:39.0,Chicago full timeout,,39-59,,
1:39.0,A. Brooks enters the game for E. Moore,,39-59,,
1:34.0,J. Butler misses 2-pt shot from 15 ft,,39-59,,
1:33.0,Offensive rebound by J. Noah,,39-59,,
1:33.0,J. Noah makes 2-pt shot from 1 ft,2,41-59,,
1:19.0,,,41-61,2,D. Lillard makes 2-pt shot from 2 ft
1:00.0,A. Brooks misses 3-pt shot from 25 ft,,41-61,,
1:00.0,Offensive rebound by J. Butler,,41-61,,
0:53.0,J. Butler misses 2-pt shot at rim (block by R. Lopez),,41-61,,
0:51.0,,,41-61,,Defensive rebound by R. Lopez
0:47.0,,,41-61,,Turnover by D. Lillard (bad pass; steal by A. Brooks)
0:42.0,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Butler),2,43-61,,
0:31.0,,,43-61,,Turnover by R. Lopez (traveling)
0:23.0,Turnover by A. Brooks (bad pass; steal by L. Aldridge),,43-61,,
0:04.0,,,43-61,,Turnover by D. Lillard (bad pass; steal by T. Snell)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by M. Dunleavy (lost ball; steal by W. Matthews),,43-61,,
11:36.0,,,43-63,2,W. Matthews makes 2-pt shot from 1 ft
11:13.0,T. Gibson misses 2-pt shot from 19 ft,,43-63,,
11:12.0,,,43-63,,Defensive rebound by N. Batum
11:03.0,,,43-63,,N. Batum misses 2-pt shot from 19 ft
11:02.0,Defensive rebound by T. Gibson,,43-63,,
10:50.0,J. Noah makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,45-63,,
10:31.0,,,45-63,,D. Lillard misses 2-pt shot from 17 ft
10:30.0,Defensive rebound by T. Gibson,,45-63,,
10:19.0,A. Brooks misses 2-pt shot from 9 ft,,45-63,,
10:17.0,,,45-63,,Defensive rebound by R. Lopez
9:59.0,,,45-63,,R. Lopez misses 2-pt shot from 10 ft
9:58.0,,,45-63,,Offensive rebound by L. Aldridge
9:55.0,,,45-63,,L. Aldridge misses 2-pt shot from 14 ft
9:54.0,,,45-63,,Offensive rebound by L. Aldridge
9:52.0,,,45-63,,R. Lopez misses 2-pt shot from 1 ft
9:49.0,,,45-63,,Offensive rebound by R. Lopez
9:49.0,,,45-63,,L. Aldridge misses 2-pt shot from 1 ft
9:48.0,,,45-63,,Offensive rebound by L. Aldridge
9:48.0,Technical foul by A. Brooks,,45-63,,
9:48.0,,,45-63,,Technical foul by W. Matthews
9:48.0,,,45-64,1,D. Lillard makes flagrant free throw 1 of 2
9:48.0,,,45-65,1,D. Lillard makes flagrant free throw 2 of 2
9:48.0,,,45-66,1,D. Lillard makes flagrant free throw 1 of 1
9:32.0,,,45-66,,Shooting foul by J. Noah (drawn by L. Aldridge)
9:32.0,,,45-67,1,L. Aldridge makes free throw 1 of 2
9:32.0,,,45-68,1,L. Aldridge makes free throw 2 of 2
9:13.0,A. Brooks misses 2-pt shot from 1 ft (block by L. Aldridge),,45-68,,
9:11.0,,,45-68,,Defensive rebound by D. Lillard
8:58.0,,,45-70,2,R. Lopez makes 2-pt shot at rim (assist by L. Aldridge)
8:36.0,J. Butler makes 2-pt shot from 1 ft,2,47-70,,
8:18.0,,,47-70,,Turnover by W. Matthews (lost ball; steal by J. Noah)
8:11.0,T. Gibson makes 2-pt shot from 1 ft (assist by A. Brooks),2,49-70,,
7:57.0,,,49-72,2,N. Batum makes 2-pt shot from 7 ft (assist by D. Lillard)
7:34.0,J. Butler misses 3-pt shot from 24 ft,,49-72,,
7:33.0,,,49-72,,Defensive rebound by L. Aldridge
7:28.0,,,49-72,,Turnover by D. Lillard (bad pass; steal by J. Butler)
7:15.0,J. Butler misses 2-pt shot from 20 ft,,49-72,,
7:14.0,,,49-72,,Defensive rebound by L. Aldridge
7:00.0,,,49-72,,Turnover by W. Matthews (traveling)
6:46.0,J. Noah misses 2-pt shot from 21 ft,,49-72,,
6:45.0,,,49-72,,Defensive rebound by R. Lopez
6:36.0,Personal foul by J. Noah (drawn by L. Aldridge),,49-72,,
6:21.0,,,49-72,,W. Matthews misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by A. Brooks,,49-72,,
6:11.0,T. Gibson misses 2-pt shot from 7 ft,,49-72,,
6:10.0,Offensive rebound by J. Butler,,49-72,,
6:10.0,J. Butler makes 2-pt shot at rim,2,51-72,,
6:04.0,,,51-72,,Shooting foul by J. Butler (drawn by R. Lopez)
6:04.0,Chicago full timeout,,51-72,,
6:04.0,N. Mirotic enters the game for T. Gibson,,51-72,,
6:04.0,,,51-73,1,R. Lopez makes free throw 1 of 2
6:04.0,,,51-74,1,R. Lopez makes free throw 2 of 2
5:50.0,A. Brooks misses 2-pt shot from 15 ft,,51-74,,
5:49.0,,,51-74,,Defensive rebound by N. Batum
5:37.0,,,51-77,3,N. Batum makes 3-pt shot from 26 ft (assist by L. Aldridge)
5:18.0,A. Brooks makes 3-pt shot from 24 ft (assist by N. Mirotic),3,54-77,,
4:58.0,,,54-79,2,R. Lopez makes 2-pt shot at rim (assist by W. Matthews)
4:46.0,J. Noah makes 2-pt shot from 20 ft,2,56-79,,
4:28.0,,,56-79,,L. Aldridge misses 2-pt shot from 15 ft
4:26.0,Defensive rebound by M. Dunleavy,,56-79,,
4:14.0,A. Brooks makes 2-pt shot from 7 ft,2,58-79,,
3:52.0,,,58-81,2,D. Lillard makes 2-pt shot from 10 ft
3:40.0,J. Noah misses 2-pt shot from 4 ft,,58-81,,
3:39.0,,,58-81,,Defensive rebound by L. Aldridge
3:31.0,,,58-84,3,D. Lillard makes 3-pt shot from 25 ft
3:19.0,A. Brooks misses 3-pt shot from 26 ft,,58-84,,
3:18.0,,,58-84,,Defensive rebound by R. Lopez
3:08.0,,,58-84,,Turnover by N. Batum (bad pass; steal by M. Dunleavy)
3:00.0,J. Noah misses 2-pt shot at rim,,58-84,,
2:59.0,,,58-84,,Defensive rebound by L. Aldridge
2:53.0,,,58-84,,Turnover by W. Matthews (bad pass; steal by M. Dunleavy)
2:49.0,Shooting foul by L. Aldridge (drawn by J. Noah),,58-84,,
2:49.0,,,58-84,,Portland full timeout
2:49.0,T. Snell enters the game for M. Dunleavy,,58-84,,
2:49.0,,,58-84,,S. Blake enters the game for N. Batum
2:49.0,,,58-84,,C. Kaman enters the game for R. Lopez
2:49.0,,,58-84,,A. Crabbe enters the game for D. Lillard
2:49.0,J. Noah misses free throw 1 of 2,,58-84,,
2:49.0,Offensive rebound by Team,,58-84,,
2:49.0,J. Noah makes free throw 2 of 2,1,59-84,,
2:32.0,,,59-86,2,C. Kaman makes 2-pt shot from 1 ft (assist by L. Aldridge)
2:09.0,J. Butler makes 2-pt shot from 20 ft (assist by J. Noah),2,61-86,,
1:44.0,,,61-89,3,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Blake)
1:28.0,Shooting foul by C. Kaman (drawn by J. Butler),,61-89,,
1:28.0,J. Butler misses free throw 1 of 2,,61-89,,
1:28.0,Offensive rebound by Team,,61-89,,
1:28.0,N. Mohammed enters the game for J. Noah,,61-89,,
1:28.0,E. Moore enters the game for A. Brooks,,61-89,,
1:28.0,J. Butler makes free throw 2 of 2,1,62-89,,
1:10.0,,,62-89,,W. Matthews misses 3-pt shot from 23 ft
1:09.0,Defensive rebound by N. Mirotic,,62-89,,
0:59.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Butler),3,65-89,,
0:42.0,,,65-89,,L. Aldridge misses 2-pt shot from 4 ft
0:40.0,Defensive rebound by T. Snell,,65-89,,
0:35.0,Turnover by T. Snell (lost ball),,65-89,,
0:21.0,,,65-89,,A. Crabbe misses 2-pt shot from 21 ft
0:20.0,Defensive rebound by J. Butler,,65-89,,
0:01.0,J. Butler misses 2-pt shot from 17 ft,,65-89,,
0:00.0,,,65-89,,Defensive rebound by C. Kaman
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,65-89,,C. Kaman misses 2-pt shot from 14 ft
11:40.0,Defensive rebound by N. Mirotic,,65-89,,
11:25.0,N. Mirotic makes 3-pt shot from 26 ft (assist by E. Moore),3,68-89,,
11:02.0,,,68-91,2,D. Wright makes 2-pt shot from 13 ft
10:44.0,Shooting foul by M. Leonard (drawn by N. Mirotic),,68-91,,
10:44.0,N. Mirotic makes free throw 1 of 2,1,69-91,,
10:44.0,N. Mirotic misses free throw 2 of 2,,69-91,,
10:44.0,,,69-91,,Defensive rebound by C. Kaman
10:28.0,,,69-93,2,M. Leonard makes 2-pt shot from 4 ft (assist by S. Blake)
10:13.0,Shooting foul by S. Blake (drawn by E. Moore),,69-93,,
10:13.0,E. Moore misses free throw 1 of 2,,69-93,,
10:13.0,Offensive rebound by Team,,69-93,,
10:13.0,E. Moore misses free throw 2 of 2,,69-93,,
10:11.0,,,69-93,,Defensive rebound by D. Wright
9:50.0,,,69-93,,Turnover by C. Kaman (bad pass; steal by D. McDermott)
9:42.0,T. Snell misses 3-pt shot from 27 ft,,69-93,,
9:41.0,,,69-93,,Defensive rebound by C. Kaman
9:28.0,,,69-93,,C. Kaman misses 2-pt shot from 17 ft
9:27.0,Defensive rebound by E. Moore,,69-93,,
9:15.0,N. Mirotic misses 2-pt shot from 2 ft (block by C. Kaman),,69-93,,
9:14.0,,,69-93,,Defensive rebound by M. Leonard
9:07.0,,,69-93,,D. Wright misses 2-pt shot from 10 ft
9:06.0,Defensive rebound by D. McDermott,,69-93,,
9:01.0,Chicago full timeout,,69-93,,
8:53.0,Turnover by E. Moore (bad pass; steal by M. Leonard),,69-93,,
8:50.0,Clear path foul by N. Mirotic,,69-93,,
8:50.0,,,69-94,1,A. Crabbe makes clear path free throw 1 of 2
8:50.0,,,69-95,1,A. Crabbe makes clear path free throw 2 of 2
8:34.0,,,69-95,,D. Wright misses 2-pt shot from 22 ft
8:33.0,Defensive rebound by N. Mohammed,,69-95,,
8:18.0,N. Mohammed misses 2-pt shot from 16 ft,,69-95,,
8:17.0,,,69-95,,Defensive rebound by M. Leonard
8:04.0,,,69-95,,S. Blake misses 2-pt shot from 5 ft
8:03.0,Defensive rebound by N. Mirotic,,69-95,,
7:51.0,Shooting foul by M. Leonard (drawn by N. Mirotic),,69-95,,
7:51.0,N. Mirotic makes free throw 1 of 2,1,70-95,,
7:51.0,,,70-95,,W. Barton enters the game for A. Crabbe
7:51.0,,,70-95,,T. Robinson enters the game for C. Kaman
7:51.0,N. Mirotic makes free throw 2 of 2,1,71-95,,
7:33.0,,,71-95,,M. Leonard misses 2-pt shot from 8 ft
7:32.0,Defensive rebound by N. Mirotic,,71-95,,
7:24.0,,,71-95,,Personal foul by W. Barton (drawn by T. Snell)
7:17.0,D. McDermott misses 3-pt shot from 25 ft,,71-95,,
7:16.0,,,71-95,,Defensive rebound by D. Wright
7:05.0,,,71-95,,M. Leonard misses 3-pt shot from 27 ft
7:04.0,Defensive rebound by N. Mirotic,,71-95,,
6:53.0,D. McDermott misses 2-pt shot at rim,,71-95,,
6:51.0,,,71-95,,Defensive rebound by M. Leonard
6:46.0,,,71-95,,D. Wright misses 3-pt shot from 23 ft
6:44.0,Defensive rebound by E. Moore,,71-95,,
6:37.0,E. Moore makes 2-pt shot from 9 ft,2,73-95,,
6:24.0,,,73-95,,Turnover by W. Barton (palming)
6:24.0,,,73-95,,Portland full timeout
6:15.0,Turnover by N. Mirotic (traveling),,73-95,,
5:50.0,,,73-95,,S. Blake misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by E. Moore,,73-95,,
5:30.0,,,73-95,,Personal foul by S. Blake (drawn by N. Mirotic)
5:30.0,N. Mirotic makes free throw 1 of 2,1,74-95,,
5:30.0,N. Mirotic misses free throw 2 of 2,,74-95,,
5:29.0,,,74-95,,Defensive rebound by D. Wright
5:13.0,,,74-95,,M. Leonard misses 2-pt shot from 5 ft
5:12.0,Defensive rebound by N. Mohammed,,74-95,,
4:54.0,T. Snell makes 2-pt shot from 11 ft,2,76-95,,
4:43.0,,,76-95,,Turnover by M. Leonard (lost ball)
4:33.0,D. McDermott misses 2-pt shot from 1 ft,,76-95,,
4:32.0,Offensive rebound by N. Mohammed,,76-95,,
4:31.0,Shooting foul by T. Robinson (drawn by N. Mohammed),,76-95,,
4:31.0,N. Mohammed makes free throw 1 of 2,1,77-95,,
4:31.0,N. Mohammed misses free throw 2 of 2,,77-95,,
4:30.0,,,77-95,,Defensive rebound by M. Leonard
4:13.0,,,77-95,,M. Leonard misses 2-pt shot from 6 ft
4:12.0,Defensive rebound by N. Mohammed,,77-95,,
4:01.0,T. Snell makes 2-pt shot from 9 ft,2,79-95,,
3:38.0,,,79-97,2,W. Barton makes 2-pt shot from 2 ft
3:26.0,Turnover by N. Mirotic (traveling),,79-97,,
3:26.0,,,79-97,,A. Crabbe enters the game for S. Blake
3:17.0,,,79-97,,Turnover by T. Robinson (bad pass)
3:06.0,N. Mirotic makes 3-pt shot from 28 ft (assist by E. Moore),3,82-97,,
2:51.0,,,82-97,,T. Robinson misses 2-pt shot from 10 ft
2:50.0,Defensive rebound by D. McDermott,,82-97,,
2:45.0,D. McDermott makes 2-pt shot from 2 ft,2,84-97,,
2:30.0,,,84-100,3,M. Leonard makes 3-pt shot from 26 ft (assist by A. Crabbe)
2:12.0,Turnover by N. Mirotic (lost ball; steal by W. Barton),,84-100,,
2:07.0,,,84-102,2,T. Robinson makes 2-pt shot from 1 ft (assist by W. Barton)
2:00.0,Turnover by D. McDermott (bad pass),,84-102,,
2:00.0,Official timeout,,84-102,,
2:00.0,C. Bairstow enters the game for N. Mohammed,,84-102,,
1:42.0,,,84-102,,Shooting foul by N. Mirotic (drawn by T. Robinson)
