time,Detroit,pts.away,score,pts.home,Minnesota
2:45.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings),2,17-17,,
2:31.0,,,17-17,,C. Brewer misses 2-pt shot from 6 ft
2:30.0,Defensive rebound by A. Drummond,,17-17,,
2:17.0,J. Smith misses 2-pt shot from 1 ft (block by G. Dieng),,17-17,,
2:15.0,Offensive rebound by J. Smith,,17-17,,
2:14.0,J. Smith makes 2-pt shot at rim,2,19-17,,
2:01.0,,,19-17,,Turnover by C. Brewer (lost ball)
2:01.0,Detroit full timeout,,19-17,,
2:01.0,,,19-17,,S. Muhammad enters the game for C. Brewer
2:01.0,J. Jerebko enters the game for J. Smith,,19-17,,
1:42.0,A. Drummond misses 2-pt shot from 1 ft (block by G. Dieng),,19-17,,
1:41.0,,,19-17,,Defensive rebound by G. Dieng
1:21.0,,,19-17,,G. Dieng misses 2-pt shot from 17 ft
1:19.0,Defensive rebound by A. Drummond,,19-17,,
1:05.0,Turnover by B. Jennings (bad pass; steal by T. Young),,19-17,,
1:04.0,Personal foul by B. Jennings (drawn by T. Young),,19-17,,
1:04.0,D. Augustin enters the game for B. Jennings,,19-17,,
1:04.0,,,19-17,,M. Williams enters the game for R. Rubio
0:53.0,,,19-19,2,M. Williams makes 2-pt shot from 20 ft
0:34.0,K. Singler misses 3-pt shot from 23 ft,,19-19,,
0:32.0,Offensive rebound by A. Drummond,,19-19,,
0:30.0,A. Drummond makes 2-pt shot at rim,2,21-19,,
0:13.0,,,21-19,,Shooting foul by K. Singler (drawn by K. Martin)
0:13.0,,,21-20,1,K. Martin makes free throw 1 of 2
0:13.0,,,21-20,,A. Bennett enters the game for T. Young
0:13.0,,,21-21,1,K. Martin makes free throw 2 of 2
0:06.0,,,21-21,,Personal foul by M. Williams (drawn by D. Augustin)
0:00.0,K. Singler misses 3-pt shot from 22 ft,,21-21,,
0:00.0,Offensive rebound by Team,,21-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,21-21,,A. Bennett misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by D. Augustin,,21-21,,
11:18.0,J. Anthony makes 2-pt shot from 8 ft,2,23-21,,
10:58.0,,,23-21,,Turnover by K. Martin (lost ball; steal by K. Caldwell-Pope)
10:53.0,J. Jerebko makes 2-pt shot from 1 ft (assist by D. Augustin),2,25-21,,
10:41.0,Personal foul by D. Augustin (drawn by S. Muhammad),,25-21,,
10:37.0,,,25-23,2,M. Williams makes 2-pt shot from 12 ft
10:18.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,27-23,,
10:03.0,,,27-23,,Shooting foul by K. Caldwell-Pope (drawn by K. Martin)
10:03.0,,,27-24,1,K. Martin makes free throw 1 of 2
10:03.0,,,27-24,,K. Martin misses free throw 2 of 2
10:03.0,Defensive rebound by J. Anthony,,27-24,,
9:50.0,D. Augustin misses 3-pt shot from 24 ft,,27-24,,
9:49.0,,,27-24,,Defensive rebound by S. Muhammad
9:32.0,,,27-26,2,A. Bennett makes 2-pt shot from 18 ft (assist by K. Martin)
9:17.0,J. Jerebko misses 3-pt shot from 24 ft,,27-26,,
9:16.0,Offensive rebound by C. Butler,,27-26,,
9:02.0,C. Butler misses 3-pt shot from 22 ft,,27-26,,
9:01.0,,,27-26,,Defensive rebound by G. Dieng
8:53.0,,,27-28,2,M. Williams makes 2-pt shot from 17 ft
8:38.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,29-28,,
8:19.0,,,29-28,,K. Martin misses 2-pt shot from 16 ft
8:18.0,,,29-28,,Offensive rebound by G. Dieng
8:17.0,,,29-30,2,G. Dieng makes 2-pt shot at rim
8:06.0,,,29-30,,Personal foul by K. Martin (drawn by K. Caldwell-Pope)
8:06.0,Detroit full timeout,,29-30,,
7:51.0,D. Augustin makes 2-pt shot from 15 ft,2,31-30,,
7:51.0,Shooting foul by M. Williams (drawn by D. Augustin),,31-30,,
7:51.0,D. Augustin makes free throw 1 of 1,1,32-30,,
7:33.0,,,32-32,2,A. Bennett makes 2-pt shot from 20 ft (assist by M. Williams)
7:09.0,C. Butler misses 3-pt shot from 23 ft,,32-32,,
7:08.0,,,32-32,,Defensive rebound by A. Bennett
7:00.0,,,32-32,,Shooting foul by J. Anthony (drawn by G. Dieng)
7:00.0,,,32-33,1,G. Dieng makes free throw 1 of 2
7:00.0,,,32-33,,Z. LaVine enters the game for K. Martin
7:00.0,J. Smith enters the game for J. Jerebko,,32-33,,
7:00.0,,,32-34,1,G. Dieng makes free throw 2 of 2
6:47.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,32-34,,
6:46.0,,,32-34,,Defensive rebound by A. Bennett
6:39.0,,,32-34,,Shooting foul by C. Butler (drawn by S. Muhammad)
6:39.0,,,32-35,1,S. Muhammad makes free throw 1 of 2
6:39.0,,,32-35,,S. Muhammad misses free throw 2 of 2
6:38.0,Defensive rebound by C. Butler,,32-35,,
6:20.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,32-35,,
6:19.0,,,32-35,,Defensive rebound by A. Bennett
6:14.0,,,32-35,,Offensive charge foul by S. Muhammad
6:14.0,,,32-35,,Turnover by S. Muhammad (offensive foul)
5:51.0,D. Augustin misses 2-pt shot from 20 ft,,32-35,,
5:50.0,,,32-35,,Defensive rebound by G. Dieng
5:41.0,,,32-35,,M. Williams misses 2-pt shot from 19 ft
5:39.0,Defensive rebound by J. Anthony,,32-35,,
5:33.0,Detroit full timeout,,32-35,,
5:33.0,,,32-35,,N. Pekovic enters the game for G. Dieng
5:33.0,,,32-35,,A. Wiggins enters the game for S. Muhammad
5:33.0,A. Drummond enters the game for J. Anthony,,32-35,,
5:33.0,K. Singler enters the game for C. Butler,,32-35,,
5:30.0,A. Drummond makes 2-pt shot from 4 ft (assist by J. Smith),2,34-35,,
5:18.0,Violation by D. Augustin (kicked ball),,34-35,,
5:13.0,,,34-37,2,M. Williams makes 2-pt shot from 14 ft
4:57.0,J. Smith misses 2-pt shot from 3 ft,,34-37,,
4:56.0,,,34-37,,Defensive rebound by N. Pekovic
4:43.0,Personal foul by K. Caldwell-Pope (drawn by A. Wiggins),,34-37,,
4:43.0,,,34-37,,A. Wiggins misses free throw 1 of 2
4:43.0,,,34-37,,Offensive rebound by Team
4:43.0,,,34-37,,A. Wiggins misses free throw 2 of 2
4:42.0,,,34-37,,Offensive rebound by N. Pekovic
4:40.0,,,34-37,,N. Pekovic misses 2-pt shot at rim (block by A. Drummond)
4:38.0,Defensive rebound by K. Singler,,34-37,,
4:28.0,K. Singler makes 2-pt shot from 1 ft (assist by D. Augustin),2,36-37,,
4:12.0,,,36-37,,Turnover by A. Wiggins (lost ball)
3:57.0,J. Smith misses 2-pt shot from 21 ft,,36-37,,
3:56.0,Offensive rebound by D. Augustin,,36-37,,
3:42.0,D. Augustin misses 2-pt shot from 6 ft,,36-37,,
3:39.0,Offensive rebound by K. Singler,,36-37,,
3:30.0,J. Smith misses 2-pt shot from 1 ft,,36-37,,
3:29.0,Offensive rebound by Team,,36-37,,
3:29.0,,,36-37,,T. Young enters the game for A. Bennett
3:29.0,,,36-37,,R. Rubio enters the game for M. Williams
3:29.0,Jump ball: A. Drummond vs. N. Pekovic (D. Augustin gains possession),,,,Jump ball: A. Drummond vs. N. Pekovic (D. Augustin gains possession)
3:08.0,D. Augustin misses 3-pt shot from 22 ft,,36-37,,
3:06.0,Offensive rebound by A. Drummond,,36-37,,
3:04.0,A. Drummond misses 2-pt shot from 2 ft,,36-37,,
3:03.0,,,36-37,,Defensive rebound by N. Pekovic
2:45.0,,,36-37,,T. Young misses 2-pt shot from 14 ft
2:44.0,Defensive rebound by A. Drummond,,36-37,,
2:34.0,D. Augustin makes 2-pt shot from 1 ft,2,38-37,,
2:26.0,,,38-37,,Minnesota full timeout
2:26.0,,,38-37,,C. Brewer enters the game for Z. LaVine
2:16.0,,,38-39,2,N. Pekovic makes 2-pt shot from 1 ft (assist by T. Young)
2:01.0,Turnover by J. Smith (bad pass; steal by A. Wiggins),,38-39,,
1:56.0,,,38-41,2,R. Rubio makes 2-pt shot at rim (assist by A. Wiggins)
1:32.0,J. Smith makes 2-pt shot from 20 ft (assist by K. Caldwell-Pope),2,40-41,,
1:16.0,,,40-41,,Shooting foul by J. Smith (drawn by N. Pekovic)
1:16.0,,,40-42,1,N. Pekovic makes free throw 1 of 2
1:16.0,C. Butler enters the game for K. Caldwell-Pope,,40-42,,
1:16.0,J. Jerebko enters the game for J. Smith,,40-42,,
1:16.0,,,40-43,1,N. Pekovic makes free throw 2 of 2
0:56.0,D. Augustin makes 2-pt shot from 1 ft,2,42-43,,
0:52.0,,,42-43,,A. Wiggins misses 2-pt shot from 16 ft
0:50.0,Defensive rebound by C. Butler,,42-43,,
0:40.0,D. Augustin makes 2-pt shot from 13 ft,2,44-43,,
0:27.0,,,44-45,2,T. Young makes 2-pt shot from 18 ft (assist by R. Rubio)
0:03.0,D. Augustin misses 2-pt shot from 12 ft,,44-45,,
0:02.0,,,44-45,,Defensive rebound by A. Wiggins
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,44-47,2,T. Young makes 2-pt shot from 11 ft
11:27.0,A. Drummond misses 2-pt shot from 3 ft,,44-47,,
11:26.0,,,44-47,,Defensive rebound by T. Young
11:19.0,,,44-49,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
11:00.0,K. Singler misses 3-pt shot from 22 ft,,44-49,,
10:58.0,,,44-49,,Defensive rebound by A. Wiggins
10:46.0,,,44-49,,R. Rubio misses 2-pt shot from 14 ft
10:45.0,,,44-49,,Offensive rebound by N. Pekovic
10:44.0,,,44-51,2,N. Pekovic makes 2-pt shot at rim
10:41.0,Detroit full timeout,,44-51,,
10:25.0,J. Smith misses 2-pt shot from 18 ft,,44-51,,
10:24.0,Offensive rebound by K. Caldwell-Pope,,44-51,,
10:08.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Jennings),3,47-51,,
9:46.0,,,47-51,,C. Brewer misses 2-pt shot from 16 ft
9:45.0,,,47-51,,Offensive rebound by N. Pekovic
9:44.0,,,47-53,2,N. Pekovic makes 2-pt shot from 1 ft
9:32.0,J. Smith misses 2-pt shot from 1 ft,,47-53,,
9:31.0,,,47-53,,Defensive rebound by C. Brewer
9:17.0,,,47-53,,T. Young misses 2-pt shot from 16 ft
9:15.0,Defensive rebound by K. Caldwell-Pope,,47-53,,
9:06.0,J. Smith misses 2-pt shot from 7 ft,,47-53,,
9:05.0,,,47-53,,Defensive rebound by R. Rubio
8:57.0,,,47-53,,N. Pekovic misses 2-pt shot at rim (block by J. Smith)
8:54.0,Defensive rebound by J. Smith,,47-53,,
8:50.0,Turnover by K. Singler (bad pass; steal by R. Rubio),,47-53,,
8:45.0,,,47-55,2,C. Brewer makes 2-pt shot at rim
8:19.0,B. Jennings makes 2-pt shot from 2 ft,2,49-55,,
8:06.0,,,49-57,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
8:06.0,,,49-57,,Shooting foul by A. Drummond (drawn by N. Pekovic)
8:06.0,,,49-58,1,N. Pekovic makes free throw 1 of 1
7:52.0,,,49-58,,Personal foul by R. Rubio (drawn by B. Jennings)
7:48.0,Offensive foul by A. Drummond,,49-58,,
7:48.0,Turnover by A. Drummond (offensive foul),,49-58,,
7:34.0,Personal foul by A. Drummond (drawn by N. Pekovic),,49-58,,
7:34.0,J. Anthony enters the game for A. Drummond,,49-58,,
7:34.0,Technical foul by B. Jennings,,49-58,,
7:34.0,,,49-59,1,R. Rubio makes technical free throw
7:26.0,,,49-59,,Shooting foul by B. Jennings (drawn by R. Rubio)
7:26.0,,,49-60,1,R. Rubio makes free throw 1 of 2
7:26.0,D. Augustin enters the game for B. Jennings,,49-60,,
7:26.0,,,49-60,,R. Rubio misses free throw 2 of 2
7:26.0,Defensive rebound by J. Smith,,49-60,,
7:14.0,,,49-60,,Personal foul by T. Young (drawn by J. Smith)
7:11.0,,,49-60,,Personal foul by R. Rubio (drawn by D. Augustin)
7:09.0,,,49-60,,Personal foul by T. Young (drawn by J. Smith)
7:00.0,J. Smith misses 2-pt shot from 11 ft,,49-60,,
6:58.0,Offensive rebound by Team,,49-60,,
6:46.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,49-60,,
6:45.0,,,49-60,,Defensive rebound by N. Pekovic
6:38.0,,,49-60,,R. Rubio misses 2-pt shot from 2 ft (block by J. Anthony)
6:37.0,,,49-60,,Offensive rebound by N. Pekovic
6:36.0,,,49-62,2,N. Pekovic makes 2-pt shot at rim
6:35.0,Detroit full timeout,,49-62,,
6:20.0,Shooting foul by R. Rubio (drawn by D. Augustin),,49-62,,
6:20.0,D. Augustin makes free throw 1 of 2,1,50-62,,
6:20.0,,,50-62,,M. Williams enters the game for R. Rubio
6:20.0,D. Augustin makes free throw 2 of 2,1,51-62,,
6:06.0,,,51-64,2,T. Young makes 2-pt shot from 19 ft (assist by M. Williams)
5:52.0,Turnover by K. Caldwell-Pope (bad pass; steal by T. Young),,51-64,,
5:49.0,,,51-66,2,A. Wiggins makes 2-pt shot from 1 ft (assist by M. Williams)
5:49.0,,,51-66,,Shooting foul by J. Anthony (drawn by A. Wiggins)
5:49.0,C. Butler enters the game for K. Singler,,51-66,,
5:49.0,,,51-66,,A. Wiggins misses free throw 1 of 1
5:48.0,,,51-66,,Offensive rebound by C. Brewer
5:40.0,,,51-68,2,A. Wiggins makes 2-pt shot from 20 ft
5:17.0,D. Augustin misses 3-pt shot from 24 ft,,51-68,,
5:16.0,,,51-68,,Defensive rebound by N. Pekovic
4:56.0,,,51-70,2,T. Young makes 2-pt shot from 1 ft
4:45.0,C. Butler makes 2-pt shot from 19 ft (assist by J. Smith),2,53-70,,
4:28.0,,,53-70,,C. Brewer misses 2-pt shot at rim
4:26.0,Defensive rebound by K. Caldwell-Pope,,53-70,,
4:07.0,D. Augustin misses 2-pt shot from 19 ft,,53-70,,
4:05.0,,,53-70,,Defensive rebound by A. Wiggins
3:51.0,,,53-70,,A. Wiggins misses 2-pt shot from 12 ft
3:50.0,Defensive rebound by J. Smith,,53-70,,
3:34.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,53-70,,
3:32.0,,,53-70,,Defensive rebound by A. Wiggins
3:25.0,,,53-70,,Minnesota full timeout
3:25.0,,,53-70,,K. Martin enters the game for C. Brewer
3:25.0,,,53-70,,G. Dieng enters the game for N. Pekovic
3:25.0,J. Jerebko enters the game for J. Smith,,53-70,,
3:10.0,,,53-70,,M. Williams misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by C. Butler,,53-70,,
2:54.0,,,53-70,,Personal foul by K. Martin (drawn by K. Caldwell-Pope)
2:54.0,K. Caldwell-Pope misses free throw 1 of 2,,53-70,,
2:54.0,Offensive rebound by Team,,53-70,,
2:54.0,K. Caldwell-Pope misses free throw 2 of 2,,53-70,,
2:54.0,,,53-70,,Defensive rebound by G. Dieng
2:36.0,,,53-72,2,A. Wiggins makes 2-pt shot from 11 ft
2:09.0,D. Augustin makes 2-pt shot from 7 ft,2,55-72,,
1:46.0,,,55-72,,Turnover by A. Wiggins (lost ball; steal by J. Anthony)
1:43.0,,,55-72,,Personal foul by M. Williams (drawn by D. Augustin)
1:43.0,D. Augustin makes free throw 1 of 2,1,56-72,,
1:43.0,D. Augustin makes free throw 2 of 2,1,57-72,,
1:36.0,,,57-72,,K. Martin misses 2-pt shot from 19 ft
1:35.0,Defensive rebound by J. Jerebko,,57-72,,
1:25.0,C. Butler makes 3-pt shot from 23 ft (assist by D. Augustin),3,60-72,,
1:09.0,,,60-72,,M. Williams misses 3-pt shot from 25 ft
1:08.0,,,60-72,,Offensive rebound by T. Young
1:07.0,,,60-74,2,T. Young makes 2-pt shot from 7 ft
1:07.0,,,60-74,,Shooting foul by C. Butler (drawn by T. Young)
1:07.0,,,60-74,,S. Muhammad enters the game for A. Wiggins
1:07.0,,,60-75,1,T. Young makes free throw 1 of 1
0:54.0,J. Jerebko makes 2-pt shot from 19 ft (assist by K. Caldwell-Pope),2,62-75,,
0:42.0,,,62-75,,M. Williams misses 2-pt shot from 17 ft
0:41.0,Defensive rebound by J. Anthony,,62-75,,
0:29.0,Turnover by D. Augustin (back court),,62-75,,
0:29.0,,,62-75,,A. Bennett enters the game for T. Young
0:13.0,,,62-75,,Turnover by K. Martin (traveling)
0:00.0,C. Butler makes 3-pt shot from 24 ft (assist by D. Augustin),3,65-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Jerebko misses 2-pt shot from 17 ft,,65-75,,
11:47.0,,,65-75,,Defensive rebound by M. Williams
11:35.0,,,65-75,,A. Bennett misses 2-pt shot from 18 ft
11:33.0,Defensive rebound by J. Anthony,,65-75,,
11:16.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,65-75,,
11:13.0,Offensive rebound by K. Caldwell-Pope,,65-75,,
10:57.0,J. Anthony misses 2-pt shot from 12 ft,,65-75,,
10:55.0,Offensive rebound by K. Caldwell-Pope,,65-75,,
10:54.0,K. Caldwell-Pope misses 2-pt shot at rim (block by A. Bennett),,65-75,,
10:53.0,,,65-75,,Defensive rebound by K. Martin
10:46.0,,,65-77,2,K. Martin makes 2-pt shot from 18 ft
10:21.0,C. Butler makes 2-pt shot from 22 ft,2,67-77,,
9:56.0,,,67-80,3,K. Martin makes 3-pt shot from 25 ft (assist by M. Williams)
9:37.0,C. Butler makes 3-pt shot from 24 ft (assist by D. Augustin),3,70-80,,
9:21.0,,,70-80,,K. Martin misses 2-pt shot from 19 ft
9:20.0,Defensive rebound by Team,,70-80,,
9:20.0,A. Drummond enters the game for J. Anthony,,70-80,,
9:20.0,,,70-80,,C. Brewer enters the game for S. Muhammad
9:10.0,,,70-80,,Personal foul by M. Williams (drawn by K. Caldwell-Pope)
9:10.0,,,70-80,,R. Rubio enters the game for M. Williams
9:10.0,,,70-80,,N. Pekovic enters the game for G. Dieng
8:58.0,D. Augustin misses 2-pt shot from 10 ft,,70-80,,
8:57.0,Offensive rebound by C. Butler,,70-80,,
8:55.0,C. Butler makes 2-pt shot from 1 ft,2,72-80,,
8:36.0,,,72-80,,K. Martin misses 2-pt shot from 16 ft
8:35.0,Defensive rebound by A. Drummond,,72-80,,
8:27.0,C. Butler makes 2-pt shot from 20 ft,2,74-80,,
8:26.0,,,74-80,,Minnesota full timeout
8:16.0,Personal foul by A. Drummond (drawn by N. Pekovic),,74-80,,
8:12.0,,,74-80,,Turnover by R. Rubio (lost ball)
7:59.0,D. Augustin makes 3-pt shot from 24 ft,3,77-80,,
7:37.0,,,77-80,,N. Pekovic misses 2-pt shot from 12 ft
7:35.0,Defensive rebound by A. Drummond,,77-80,,
7:22.0,D. Augustin misses 2-pt shot from 23 ft,,77-80,,
7:18.0,,,77-80,,Defensive rebound by Team
7:18.0,,,77-80,,T. Young enters the game for A. Bennett
7:00.0,,,77-80,,T. Young misses 2-pt shot from 6 ft
6:59.0,Defensive rebound by C. Butler,,77-80,,
6:51.0,A. Drummond makes 2-pt shot from 1 ft (assist by J. Jerebko),2,79-80,,
6:32.0,Personal block foul by J. Jerebko (drawn by T. Young),,79-80,,
6:24.0,,,79-82,2,N. Pekovic makes 2-pt shot from 2 ft (assist by T. Young)
6:05.0,Turnover by D. Augustin (lost ball; steal by C. Brewer),,79-82,,
6:00.0,,,79-82,,K. Martin misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by C. Butler,,79-82,,
5:50.0,Turnover by C. Butler (bad pass; steal by C. Brewer),,79-82,,
5:46.0,,,79-84,2,K. Martin makes 2-pt shot at rim (assist by C. Brewer)
5:38.0,Detroit full timeout,,79-84,,
5:38.0,,,79-84,,M. Williams enters the game for K. Martin
5:38.0,J. Smith enters the game for J. Jerebko,,79-84,,
5:31.0,,,79-84,,Personal foul by M. Williams (drawn by D. Augustin)
5:19.0,J. Smith makes 2-pt shot from 6 ft (assist by D. Augustin),2,81-84,,
4:55.0,,,81-86,2,R. Rubio makes 2-pt shot from 21 ft
4:39.0,,,81-86,,Personal foul by N. Pekovic (drawn by A. Drummond)
4:25.0,J. Smith misses 3-pt shot from 25 ft,,81-86,,
4:22.0,Offensive rebound by Team,,81-86,,
4:15.0,Turnover by J. Smith (lost ball),,81-86,,
4:02.0,,,81-86,,R. Rubio misses 2-pt shot from 2 ft
4:01.0,Defensive rebound by D. Augustin,,81-86,,
3:55.0,A. Drummond misses 2-pt shot from 2 ft,,81-86,,
3:54.0,Offensive rebound by J. Smith,,81-86,,
3:52.0,,,81-86,,Personal foul by N. Pekovic (drawn by J. Smith)
3:44.0,D. Augustin misses 2-pt shot from 21 ft,,81-86,,
3:42.0,,,81-86,,Defensive rebound by R. Rubio
3:27.0,,,81-86,,M. Williams misses 3-pt shot from 23 ft
3:26.0,Defensive rebound by A. Drummond,,81-86,,
3:25.0,,,81-86,,Personal foul by R. Rubio (drawn by D. Augustin)
3:25.0,D. Augustin makes free throw 1 of 2,1,82-86,,
3:25.0,D. Augustin makes free throw 2 of 2,1,83-86,,
3:25.0,,,83-86,,Minnesota full timeout
3:13.0,,,83-86,,T. Young misses 2-pt shot from 5 ft (block by J. Smith)
3:12.0,Defensive rebound by J. Smith,,83-86,,
2:52.0,C. Butler makes 2-pt shot at rim (assist by A. Drummond),2,85-86,,
2:35.0,,,85-86,,R. Rubio misses 2-pt shot from 19 ft
2:34.0,Defensive rebound by J. Smith,,85-86,,
2:16.0,J. Smith misses 3-pt shot from 24 ft,,85-86,,
2:15.0,,,85-86,,Defensive rebound by R. Rubio
2:09.0,,,85-88,2,M. Williams makes 2-pt shot from 17 ft (assist by R. Rubio)
1:43.0,C. Butler makes 3-pt shot from 26 ft,3,88-88,,
1:28.0,,,88-91,3,T. Young makes 3-pt shot from 25 ft (assist by R. Rubio)
