time,Dallas,pts.away,score,pts.home,Detroit
7:18.0,Turnover by J. Barea (bad pass; steal by A. Drummond),,38-39,,
7:12.0,,,38-39,,C. Butler misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by J. Barea,,38-39,,
7:10.0,,,38-39,,Personal foul by J. Meeks (drawn by J. Barea)
7:10.0,B. Wright enters the game for D. Nowitzki,,38-39,,
7:10.0,M. Ellis enters the game for D. Harris,,38-39,,
6:59.0,J. Barea misses 3-pt shot from 26 ft,,38-39,,
6:57.0,,,38-39,,Defensive rebound by A. Drummond
6:49.0,,,38-39,,J. Meeks misses 2-pt shot from 6 ft (block by B. Wright)
6:47.0,Defensive rebound by J. Barea,,38-39,,
6:47.0,Shooting foul by D. Augustin (drawn by T. Chandler),,38-39,,
6:47.0,T. Chandler makes free throw 1 of 2,1,39-39,,
6:47.0,J. Nelson enters the game for J. Barea,,39-39,,
6:47.0,T. Chandler makes free throw 2 of 2,1,40-39,,
6:35.0,,,40-39,,Turnover by D. Augustin (bad pass; steal by J. Crowder)
6:30.0,Turnover by J. Crowder (bad pass; steal by A. Drummond),,40-39,,
6:27.0,,,40-39,,Shooting foul by J. Nelson (drawn by J. Meeks)
6:27.0,,,40-40,1,J. Meeks makes free throw 1 of 2
6:27.0,C. Parsons enters the game for J. Crowder,,40-40,,
6:27.0,,,40-40,,K. Singler enters the game for G. Monroe
6:27.0,,,40-40,,J. Smith enters the game for C. Butler
6:27.0,J. Crowder enters the game for T. Chandler,,40-40,,
6:27.0,,,40-41,1,J. Meeks makes free throw 2 of 2
6:05.0,M. Ellis misses 2-pt shot from 20 ft,,40-41,,
6:04.0,,,40-41,,Defensive rebound by J. Smith
6:01.0,,,40-41,,K. Singler misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by B. Wright,,40-41,,
5:51.0,J. Crowder misses 3-pt shot from 23 ft,,40-41,,
5:50.0,,,40-41,,Defensive rebound by A. Drummond
5:45.0,Violation by C. Parsons (kicked ball),,40-41,,
5:45.0,,,40-41,,Detroit full timeout
5:45.0,,,40-41,,K. Caldwell-Pope enters the game for J. Meeks
5:36.0,,,40-43,2,D. Augustin makes 2-pt shot at rim
5:20.0,Shooting foul by J. Smith (drawn by C. Parsons),,40-43,,
5:20.0,C. Parsons misses free throw 1 of 3,,40-43,,
5:20.0,Offensive rebound by Team,,40-43,,
5:20.0,C. Parsons makes free throw 2 of 3,1,41-43,,
5:20.0,C. Parsons makes free throw 3 of 3,1,42-43,,
5:07.0,,,42-43,,Shooting foul by J. Crowder (drawn by A. Drummond)
5:07.0,,,42-43,,A. Drummond misses free throw 1 of 2
5:07.0,,,42-43,,Offensive rebound by Team
5:07.0,,,42-43,,A. Drummond misses free throw 2 of 2
5:05.0,Defensive rebound by B. Wright,,42-43,,
4:58.0,Turnover by M. Ellis (lost ball; steal by D. Augustin),,42-43,,
4:53.0,,,42-43,,D. Augustin misses 2-pt shot from 4 ft
4:52.0,,,42-43,,Offensive rebound by A. Drummond
4:51.0,,,42-45,2,A. Drummond makes 2-pt shot at rim
4:51.0,Dallas full timeout,,42-45,,
4:51.0,D. Nowitzki enters the game for B. Wright,,42-45,,
4:51.0,T. Chandler enters the game for J. Crowder,,42-45,,
4:36.0,J. Nelson misses 3-pt shot from 24 ft,,42-45,,
4:35.0,,,42-45,,Defensive rebound by A. Drummond
4:34.0,,,42-45,,Turnover by A. Drummond (bad pass; steal by C. Parsons)
4:28.0,D. Nowitzki misses 3-pt shot from 26 ft,,42-45,,
4:26.0,Offensive rebound by T. Chandler,,42-45,,
4:19.0,M. Ellis makes 3-pt shot from 23 ft (assist by C. Parsons),3,45-45,,
4:04.0,,,45-45,,K. Caldwell-Pope misses 3-pt shot from 22 ft
4:03.0,Defensive rebound by C. Parsons,,45-45,,
3:47.0,M. Ellis misses 2-pt shot from 7 ft,,45-45,,
3:46.0,,,45-45,,Defensive rebound by K. Singler
3:31.0,,,45-47,2,J. Smith makes 2-pt shot from 16 ft (assist by D. Augustin)
3:17.0,,,45-47,,Personal foul by K. Singler (drawn by C. Parsons)
3:17.0,C. Parsons makes free throw 1 of 2,1,46-47,,
3:17.0,,,46-47,,C. Butler enters the game for K. Singler
3:17.0,C. Parsons makes free throw 2 of 2,1,47-47,,
3:02.0,,,47-49,2,D. Augustin makes 2-pt shot from 8 ft
2:48.0,M. Ellis misses 2-pt shot from 19 ft,,47-49,,
2:47.0,,,47-49,,Defensive rebound by A. Drummond
2:40.0,,,47-49,,A. Drummond misses 2-pt shot at rim
2:37.0,Defensive rebound by D. Nowitzki,,47-49,,
2:28.0,C. Parsons misses 2-pt shot from 4 ft (block by A. Drummond),,47-49,,
2:26.0,,,47-49,,Defensive rebound by K. Caldwell-Pope
2:22.0,,,47-49,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by C. Parsons,,47-49,,
2:16.0,M. Ellis makes 2-pt shot at rim (assist by C. Parsons),2,49-49,,
2:00.0,,,49-49,,D. Augustin misses 3-pt shot from 26 ft
1:59.0,Defensive rebound by T. Chandler,,49-49,,
1:37.0,C. Parsons misses 2-pt shot from 13 ft,,49-49,,
1:36.0,Offensive rebound by T. Chandler,,49-49,,
1:36.0,T. Chandler makes 2-pt shot at rim,2,51-49,,
1:18.0,,,51-51,2,K. Caldwell-Pope makes 2-pt shot from 4 ft (assist by J. Smith)
1:01.0,Shooting foul by C. Butler (drawn by D. Nowitzki),,51-51,,
1:01.0,D. Nowitzki makes free throw 1 of 2,1,52-51,,
1:01.0,,,52-51,,G. Monroe enters the game for J. Smith
1:01.0,D. Nowitzki makes free throw 2 of 2,1,53-51,,
0:39.0,,,53-51,,Turnover by A. Drummond (offensive goaltending)
0:34.0,T. Chandler misses 2-pt shot from 2 ft,,53-51,,
0:34.0,Offensive rebound by Team,,53-51,,
0:34.0,Dallas full timeout,,53-51,,
0:28.0,Turnover by C. Parsons (lost ball; steal by A. Drummond),,53-51,,
0:06.0,,,53-51,,D. Augustin misses 2-pt shot from 3 ft (block by T. Chandler)
0:06.0,Defensive rebound by Team,,53-51,,
0:03.0,M. Ellis misses 3-pt shot from 27 ft,,53-51,,
0:01.0,,,53-51,,Defensive rebound by A. Drummond
0:01.0,,,53-51,,A. Drummond misses 3-pt shot from 82 ft
0:00.0,,,53-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,,,53-51,,Personal foul by K. Singler (drawn by C. Parsons)
11:54.0,,,53-51,,C. Butler enters the game for K. Singler
11:43.0,Turnover by T. Chandler (3 sec),,53-51,,
11:25.0,,,53-53,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by C. Butler)
11:25.0,,,53-53,,Shooting foul by M. Ellis (drawn by K. Caldwell-Pope)
11:25.0,,,53-54,1,K. Caldwell-Pope makes free throw 1 of 1
11:15.0,C. Parsons makes 2-pt shot from 4 ft,2,55-54,,
10:52.0,,,55-54,,B. Jennings misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by D. Nowitzki,,55-54,,
10:43.0,Turnover by D. Nowitzki (lost ball; steal by J. Smith),,55-54,,
10:40.0,Personal foul by M. Ellis (drawn by B. Jennings),,55-54,,
10:32.0,,,55-54,,Turnover by B. Jennings (bad pass; steal by M. Ellis)
10:32.0,,,55-54,,Personal foul by J. Smith (drawn by M. Ellis)
10:17.0,M. Ellis misses 2-pt shot from 14 ft,,55-54,,
10:15.0,,,55-54,,Defensive rebound by A. Drummond
10:01.0,,,55-54,,J. Smith misses 2-pt shot at rim
10:01.0,Defensive rebound by D. Nowitzki,,55-54,,
10:01.0,,,55-54,,Loose ball foul by J. Smith (drawn by D. Nowitzki)
10:01.0,,,55-54,,G. Monroe enters the game for J. Smith
9:53.0,J. Nelson misses 2-pt shot from 4 ft (block by A. Drummond),,55-54,,
9:52.0,,,55-54,,Defensive rebound by B. Jennings
9:49.0,Personal foul by M. Ellis (drawn by B. Jennings),,55-54,,
9:27.0,,,55-54,,K. Caldwell-Pope misses 3-pt shot from 27 ft
9:26.0,Defensive rebound by T. Chandler,,55-54,,
9:06.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,57-54,,
8:40.0,,,57-54,,G. Monroe misses 2-pt shot from 13 ft
8:39.0,Defensive rebound by T. Chandler,,57-54,,
8:25.0,C. Parsons makes 2-pt shot from 16 ft,2,59-54,,
8:03.0,,,59-56,2,B. Jennings makes 2-pt shot from 17 ft
7:50.0,,,59-56,,Personal foul by B. Jennings (drawn by J. Nelson)
7:43.0,D. Nowitzki misses 2-pt shot from 14 ft,,59-56,,
7:42.0,,,59-56,,Defensive rebound by B. Jennings
7:23.0,,,59-59,3,B. Jennings makes 3-pt shot from 25 ft (assist by G. Monroe)
7:04.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Ellis),3,62-59,,
6:43.0,,,62-59,,B. Jennings misses 2-pt shot from 10 ft
6:42.0,Defensive rebound by T. Chandler,,62-59,,
6:33.0,Turnover by J. Nelson (bad pass),,62-59,,
6:33.0,B. Wright enters the game for D. Nowitzki,,62-59,,
6:19.0,Personal foul by B. Wright (drawn by G. Monroe),,62-59,,
6:04.0,,,62-59,,G. Monroe misses 2-pt shot from 3 ft (block by B. Wright)
6:02.0,,,62-59,,Offensive rebound by B. Jennings
5:59.0,,,62-59,,B. Jennings misses 3-pt shot from 28 ft
5:58.0,,,62-59,,Offensive rebound by A. Drummond
5:57.0,,,62-61,2,A. Drummond makes 2-pt shot at rim
5:37.0,T. Chandler makes 2-pt shot from 15 ft (assist by M. Ellis),2,64-61,,
5:25.0,,,64-61,,K. Caldwell-Pope misses 2-pt shot from 14 ft
5:24.0,Defensive rebound by Team,,64-61,,
5:24.0,,,64-61,,Loose ball foul by G. Monroe (drawn by T. Chandler)
5:24.0,,,64-61,,Detroit full timeout
5:24.0,T. Chandler makes free throw 1 of 2,1,65-61,,
5:24.0,T. Chandler misses free throw 2 of 2,,65-61,,
5:22.0,,,65-61,,Defensive rebound by A. Drummond
5:03.0,,,65-61,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:02.0,,,65-61,,Offensive rebound by A. Drummond
5:01.0,,,65-61,,A. Drummond misses 2-pt shot from 4 ft
5:01.0,,,65-61,,Offensive rebound by G. Monroe
5:01.0,Loose ball foul by B. Wright (drawn by G. Monroe),,65-61,,
5:01.0,,,65-62,1,G. Monroe makes free throw 1 of 2
5:01.0,,,65-63,1,G. Monroe makes free throw 2 of 2
4:49.0,M. Ellis makes 2-pt shot from 18 ft,2,67-63,,
4:32.0,,,67-66,3,K. Caldwell-Pope makes 3-pt shot from 25 ft
4:10.0,Turnover by C. Parsons (bad pass; steal by A. Drummond),,67-66,,
4:04.0,,,67-66,,A. Drummond misses 2-pt shot at rim
4:02.0,,,67-66,,Offensive rebound by G. Monroe
3:56.0,,,67-66,,C. Butler misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by B. Wright,,67-66,,
3:45.0,M. Ellis makes 2-pt shot from 19 ft,2,69-66,,
3:36.0,,,69-68,2,B. Jennings makes 2-pt shot from 16 ft
3:19.0,M. Ellis makes 2-pt shot from 16 ft,2,71-68,,
2:55.0,,,71-68,,B. Jennings misses 2-pt shot from 19 ft
2:54.0,Defensive rebound by J. Nelson,,71-68,,
2:47.0,Shooting foul by G. Monroe (drawn by C. Parsons),,71-68,,
2:47.0,Dallas full timeout,,71-68,,
2:47.0,,,71-68,,J. Meeks enters the game for K. Caldwell-Pope
2:47.0,D. Harris enters the game for T. Chandler,,71-68,,
2:47.0,D. Nowitzki enters the game for J. Nelson,,71-68,,
2:47.0,C. Parsons makes free throw 1 of 2,1,72-68,,
2:47.0,C. Parsons makes free throw 2 of 2,1,73-68,,
2:34.0,,,73-68,,A. Drummond misses 2-pt shot at rim
2:31.0,Defensive rebound by C. Parsons,,73-68,,
2:19.0,M. Ellis makes 2-pt shot from 17 ft,2,75-68,,
2:02.0,,,75-70,2,C. Butler makes 2-pt shot from 15 ft (assist by B. Jennings)
1:46.0,B. Wright makes 2-pt shot at rim (assist by M. Ellis),2,77-70,,
1:31.0,,,77-70,,Turnover by G. Monroe (lost ball; steal by D. Harris)
1:28.0,C. Parsons makes 2-pt shot at rim (assist by D. Harris),2,79-70,,
1:28.0,Shooting foul by J. Meeks (drawn by C. Parsons),,79-70,,
1:28.0,,,79-70,,J. Jerebko enters the game for A. Drummond
1:28.0,J. Crowder enters the game for M. Ellis,,79-70,,
1:28.0,C. Parsons makes free throw 1 of 1,1,80-70,,
1:12.0,,,80-70,,C. Butler misses 2-pt shot from 15 ft
1:12.0,Defensive rebound by Team,,80-70,,
0:58.0,C. Parsons makes 3-pt shot from 28 ft (assist by D. Harris),3,83-70,,
0:46.0,,,83-70,,Turnover by J. Meeks (bad pass; steal by C. Parsons)
0:40.0,D. Harris misses 2-pt shot from 3 ft,,83-70,,
0:40.0,Offensive rebound by C. Parsons,,83-70,,
0:40.0,C. Parsons misses 2-pt shot at rim,,83-70,,
0:40.0,,,83-70,,Defensive rebound by Team
0:40.0,J. Barea enters the game for C. Parsons,,83-70,,
0:40.0,A. Aminu enters the game for D. Nowitzki,,83-70,,
0:30.0,,,83-70,,J. Meeks misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by Team,,83-70,,
0:11.0,A. Aminu misses 2-pt shot from 1 ft,,83-70,,
0:10.0,,,83-70,,Defensive rebound by J. Jerebko
0:01.0,,,83-73,3,C. Butler makes 3-pt shot from 25 ft (assist by B. Jennings)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,83-73,,J. Meeks misses 2-pt shot from 6 ft
11:42.0,Defensive rebound by J. Barea,,83-73,,
11:33.0,Turnover by D. Harris (offensive foul),,83-73,,
11:33.0,Offensive foul by D. Harris,,83-73,,
11:19.0,Personal foul by D. Nowitzki (drawn by J. Jerebko),,83-73,,
11:19.0,,,83-74,1,J. Jerebko makes free throw 1 of 2
11:19.0,,,83-75,1,J. Jerebko makes free throw 2 of 2
10:58.0,D. Harris makes 3-pt shot from 23 ft (assist by J. Barea),3,86-75,,
10:38.0,,,86-75,,J. Meeks misses 2-pt shot from 12 ft
10:37.0,Defensive rebound by B. Wright,,86-75,,
10:16.0,J. Crowder makes 2-pt shot from 14 ft (assist by D. Harris),2,88-75,,
10:15.0,,,88-75,,Detroit full timeout
9:54.0,,,88-75,,A. Drummond misses 2-pt shot from 7 ft
9:53.0,Defensive rebound by D. Nowitzki,,88-75,,
9:40.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea),2,90-75,,
9:17.0,,,90-75,,C. Butler misses 3-pt shot from 26 ft
9:15.0,Defensive rebound by D. Harris,,90-75,,
9:11.0,B. Wright makes 2-pt shot at rim (assist by J. Barea),2,92-75,,
8:46.0,,,92-78,3,J. Jerebko makes 3-pt shot from 23 ft (assist by C. Butler)
8:29.0,B. Wright makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,94-78,,
8:26.0,,,94-78,,Detroit full timeout
8:26.0,,,94-78,,K. Singler enters the game for C. Butler
8:14.0,,,94-78,,Shooting foul by D. Harris (drawn by J. Meeks)
8:14.0,,,94-79,1,J. Meeks makes free throw 1 of 2
8:14.0,,,94-80,1,J. Meeks makes free throw 2 of 2
8:00.0,D. Nowitzki misses 3-pt shot from 25 ft,,94-80,,
7:59.0,Offensive rebound by B. Wright,,94-80,,
7:41.0,J. Crowder misses 3-pt shot from 26 ft,,94-80,,
7:40.0,,,94-80,,Defensive rebound by J. Jerebko
7:34.0,,,94-80,,Turnover by J. Jerebko (bad pass; steal by D. Nowitzki)
7:29.0,,,94-80,,Personal foul by D. Augustin (drawn by B. Wright)
7:29.0,T. Chandler enters the game for D. Nowitzki,,94-80,,
7:29.0,M. Ellis enters the game for B. Wright,,94-80,,
7:29.0,C. Parsons enters the game for J. Barea,,94-80,,
7:22.0,T. Chandler misses 2-pt shot from 5 ft,,94-80,,
7:21.0,,,94-80,,Defensive rebound by A. Drummond
7:06.0,,,94-82,2,A. Drummond makes 2-pt shot at rim
6:46.0,M. Ellis makes 2-pt shot from 19 ft (assist by D. Harris),2,96-82,,
6:34.0,,,96-82,,Turnover by D. Augustin (lost ball; steal by D. Harris)
6:13.0,M. Ellis misses 2-pt shot from 21 ft,,96-82,,
6:12.0,Offensive rebound by C. Parsons,,96-82,,
6:08.0,C. Parsons makes 3-pt shot from 26 ft,3,99-82,,
5:52.0,,,99-85,3,J. Meeks makes 3-pt shot from 23 ft (assist by K. Singler)
5:42.0,Shooting foul by A. Drummond (drawn by M. Ellis),,99-85,,
5:42.0,M. Ellis makes free throw 1 of 2,1,100-85,,
5:42.0,J. Nelson enters the game for D. Harris,,100-85,,
5:42.0,,,100-85,,K. Caldwell-Pope enters the game for J. Meeks
5:42.0,M. Ellis misses free throw 2 of 2,,100-85,,
5:41.0,,,100-85,,Defensive rebound by A. Drummond
5:20.0,,,100-88,3,K. Singler makes 3-pt shot from 27 ft (assist by A. Drummond)
5:07.0,,,100-88,,Personal foul by J. Jerebko (drawn by C. Parsons)
4:55.0,M. Ellis misses 2-pt shot from 17 ft,,100-88,,
4:54.0,,,100-88,,Defensive rebound by A. Drummond
4:48.0,,,100-88,,K. Caldwell-Pope misses 2-pt shot at rim
4:47.0,,,100-88,,Offensive rebound by A. Drummond
