time,Washington,pts.away,score,pts.home,LA Lakers
4:14.0,Defensive rebound by N. Hilario,,13-21,,
4:07.0,M. Gortat makes 2-pt shot from 5 ft (assist by J. Wall),2,15-21,,
3:48.0,,,15-21,,Turnover by J. Hill (traveling)
3:48.0,R. Butler enters the game for B. Beal,,15-21,,
3:48.0,K. Humphries enters the game for N. Hilario,,15-21,,
3:48.0,,,15-21,,C. Boozer enters the game for J. Hill
3:48.0,,,15-21,,E. Davis enters the game for R. Sacre
3:38.0,Offensive foul by K. Humphries,,15-21,,
3:38.0,Turnover by K. Humphries (offensive foul),,15-21,,
3:28.0,,,15-21,,Shooting foul by O. Porter (drawn by R. Kelly)
3:28.0,M. Webster enters the game for O. Porter,,15-21,,
3:28.0,,,15-21,,R. Kelly misses free throw 1 of 2
3:28.0,,,15-21,,Offensive rebound by Team
3:28.0,,,15-22,1,R. Kelly makes free throw 2 of 2
3:18.0,,,15-22,,Personal foul by J. Lin (drawn by M. Webster)
3:18.0,,,15-22,,W. Johnson enters the game for R. Kelly
3:07.0,J. Wall makes 2-pt shot from 18 ft,2,17-22,,
2:52.0,,,17-25,3,J. Clarkson makes 3-pt shot from 25 ft (assist by W. Johnson)
2:42.0,R. Butler misses 3-pt shot from 22 ft,,17-25,,
2:39.0,,,17-25,,Defensive rebound by E. Davis
2:28.0,,,17-25,,C. Boozer misses 2-pt shot from 18 ft
2:27.0,Defensive rebound by J. Wall,,17-25,,
2:24.0,Shooting foul by W. Johnson (drawn by J. Wall),,17-25,,
2:24.0,Washington full timeout,,17-25,,
2:24.0,J. Wall misses free throw 1 of 2,,17-25,,
2:24.0,Offensive rebound by Team,,17-25,,
2:24.0,J. Wall makes free throw 2 of 2,1,18-25,,
2:12.0,,,18-25,,Shooting foul by M. Gortat (drawn by J. Lin)
2:12.0,,,18-26,1,J. Lin makes free throw 1 of 2
2:12.0,,,18-27,1,J. Lin makes free throw 2 of 2
2:05.0,Turnover by J. Wall (traveling),,18-27,,
1:51.0,Violation by M. Webster (kicked ball),,18-27,,
1:51.0,A. Miller enters the game for J. Wall,,18-27,,
1:38.0,,,18-27,,Turnover by J. Lin (lost ball; steal by R. Butler)
1:32.0,K. Humphries makes 2-pt shot at rim (assist by M. Webster),2,20-27,,
1:17.0,,,20-27,,W. Johnson misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by R. Butler,,20-27,,
1:07.0,Turnover by M. Webster (lost ball; steal by C. Boozer),,20-27,,
1:01.0,,,20-29,2,J. Clarkson makes 2-pt shot from 7 ft
0:50.0,Shooting foul by E. Davis (drawn by K. Humphries),,20-29,,
0:50.0,K. Humphries makes free throw 1 of 2,1,21-29,,
0:50.0,K. Seraphin enters the game for M. Gortat,,21-29,,
0:50.0,K. Humphries makes free throw 2 of 2,1,22-29,,
0:36.0,,,22-31,2,J. Clarkson makes 2-pt shot from 17 ft
0:22.0,Shooting foul by W. Johnson (drawn by M. Webster),,22-31,,
0:22.0,M. Webster makes free throw 1 of 2,1,23-31,,
0:22.0,G. Temple enters the game for R. Butler,,23-31,,
0:22.0,M. Webster makes free throw 2 of 2,1,24-31,,
0:03.0,,,24-31,,J. Clarkson misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by K. Seraphin,,24-31,,
0:01.0,K. Seraphin misses 3-pt shot from 65 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,M. Webster misses 2-pt shot from 1 ft (block by E. Davis),,24-31,,
11:37.0,,,24-31,,Defensive rebound by C. Boozer
11:25.0,,,24-31,,C. Boozer misses 2-pt shot from 7 ft
11:23.0,Defensive rebound by K. Seraphin,,24-31,,
11:10.0,K. Seraphin misses 2-pt shot from 16 ft,,24-31,,
11:10.0,,,24-31,,Defensive rebound by Team
11:10.0,Loose ball foul by A. Miller (drawn by J. Lin),,24-31,,
10:50.0,,,24-33,2,E. Davis makes 2-pt shot from 11 ft (assist by J. Lin)
10:31.0,A. Miller misses 2-pt shot from 14 ft,,24-33,,
10:29.0,,,24-33,,Defensive rebound by C. Boozer
10:21.0,,,24-36,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Lin)
10:01.0,Turnover by R. Butler (bad pass; steal by W. Ellington),,24-36,,
9:58.0,,,24-38,2,W. Ellington makes 2-pt shot at rim
9:50.0,Washington full timeout,,24-38,,
9:50.0,B. Beal enters the game for M. Webster,,24-38,,
9:38.0,K. Humphries misses 2-pt shot from 18 ft,,24-38,,
9:37.0,,,24-38,,Defensive rebound by C. Boozer
9:14.0,,,24-38,,W. Ellington misses 3-pt shot from 32 ft
9:12.0,Defensive rebound by K. Seraphin,,24-38,,
9:01.0,A. Miller makes 2-pt shot from 2 ft,2,26-38,,
8:48.0,,,26-40,2,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin)
8:39.0,Turnover by A. Miller (traveling),,26-40,,
8:20.0,,,26-42,2,C. Boozer makes 2-pt shot from 17 ft
8:19.0,,,26-42,,Violation by Team (delay of game)
8:09.0,Offensive foul by K. Seraphin,,26-42,,
8:09.0,Turnover by K. Seraphin (offensive foul),,26-42,,
8:09.0,J. Wall enters the game for A. Miller,,26-42,,
7:56.0,,,26-44,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
7:37.0,B. Beal makes 2-pt shot from 18 ft,2,28-44,,
7:18.0,,,28-46,2,E. Davis makes 2-pt shot from 2 ft (assist by J. Lin)
7:06.0,R. Butler makes 2-pt shot from 12 ft (assist by J. Wall),2,30-46,,
6:53.0,,,30-49,3,J. Lin makes 3-pt shot from 24 ft
6:41.0,Shooting foul by E. Davis (drawn by K. Seraphin),,30-49,,
6:41.0,K. Seraphin misses free throw 1 of 2,,30-49,,
6:41.0,Offensive rebound by Team,,30-49,,
6:41.0,N. Hilario enters the game for K. Humphries,,30-49,,
6:41.0,,,30-49,,J. Clarkson enters the game for J. Lin
6:41.0,K. Seraphin makes free throw 2 of 2,1,31-49,,
6:21.0,,,31-49,,W. Johnson misses 2-pt shot from 10 ft
6:19.0,,,31-49,,Offensive rebound by E. Davis
6:19.0,,,31-49,,E. Davis misses 2-pt shot at rim
6:14.0,Defensive rebound by R. Butler,,31-49,,
6:13.0,K. Seraphin makes 2-pt shot at rim (assist by J. Wall),2,33-49,,
5:58.0,Personal foul by J. Wall (drawn by J. Clarkson),,33-49,,
5:58.0,Official timeout,,33-49,,
5:58.0,,,33-49,,R. Sacre enters the game for C. Boozer
5:58.0,,,33-49,,J. Hill enters the game for E. Davis
5:58.0,M. Gortat enters the game for R. Butler,,33-49,,
5:58.0,O. Porter enters the game for K. Seraphin,,33-49,,
5:52.0,,,33-49,,W. Ellington misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by J. Wall,,33-49,,
5:36.0,Turnover by J. Wall (lost ball; steal by R. Sacre),,33-49,,
5:32.0,,,33-51,2,W. Ellington makes 2-pt shot at rim (assist by J. Hill)
5:23.0,B. Beal misses 3-pt shot from 24 ft,,33-51,,
5:16.0,,,33-51,,Defensive rebound by J. Hill
5:02.0,,,33-51,,R. Sacre misses 2-pt shot from 14 ft
5:01.0,Defensive rebound by N. Hilario,,33-51,,
4:43.0,B. Beal misses 3-pt shot from 24 ft,,33-51,,
4:42.0,Offensive rebound by B. Beal,,33-51,,
4:41.0,B. Beal makes 2-pt shot from 2 ft,2,35-51,,
4:19.0,,,35-51,,Turnover by W. Ellington (bad pass; steal by J. Wall)
4:17.0,J. Wall makes 2-pt shot at rim,2,37-51,,
3:53.0,,,37-51,,Turnover by J. Clarkson (lost ball; steal by M. Gortat)
3:44.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,39-51,,
3:44.0,Shooting foul by R. Sacre (drawn by M. Gortat),,39-51,,
3:44.0,,,39-51,,R. Kelly enters the game for W. Johnson
3:44.0,M. Gortat makes free throw 1 of 1,1,40-51,,
3:21.0,,,40-53,2,J. Hill makes 2-pt shot from 14 ft
3:14.0,Shooting foul by R. Sacre (drawn by J. Wall),,40-53,,
3:14.0,J. Wall misses free throw 1 of 2,,40-53,,
3:14.0,Offensive rebound by Team,,40-53,,
3:14.0,J. Wall misses free throw 2 of 2,,40-53,,
3:12.0,,,40-53,,Defensive rebound by J. Hill
2:48.0,,,40-55,2,J. Clarkson makes 2-pt shot from 10 ft
2:39.0,Turnover by N. Hilario (lost ball; steal by W. Ellington),,40-55,,
2:35.0,,,40-57,2,W. Ellington makes 2-pt shot at rim
2:17.0,Turnover by O. Porter (bad pass; steal by R. Sacre),,40-57,,
2:00.0,,,40-57,,J. Hill misses 2-pt shot from 18 ft
1:59.0,Defensive rebound by J. Wall,,40-57,,
1:53.0,J. Wall makes 2-pt shot at rim,2,42-57,,
1:36.0,,,42-57,,J. Clarkson misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by M. Gortat,,42-57,,
1:23.0,M. Gortat makes 2-pt shot from 1 ft (assist by N. Hilario),2,44-57,,
1:01.0,,,44-57,,LA Lakers full timeout
1:01.0,R. Butler enters the game for O. Porter,,44-57,,
0:57.0,,,44-57,,R. Sacre misses 2-pt shot from 14 ft
0:56.0,Defensive rebound by B. Beal,,44-57,,
0:41.0,N. Hilario misses 2-pt shot from 1 ft,,44-57,,
0:40.0,,,44-57,,Defensive rebound by R. Sacre
0:38.0,,,44-57,,Turnover by R. Sacre (bad pass; steal by J. Wall)
0:33.0,J. Wall makes 2-pt shot at rim,2,46-57,,
0:09.0,,,46-57,,W. Ellington misses 3-pt shot from 24 ft
0:07.0,,,46-57,,Offensive rebound by Team
0:06.0,G. Temple enters the game for R. Butler,,46-57,,
0:01.0,,,46-57,,J. Hill misses 2-pt shot from 11 ft
0:00.0,Defensive rebound by J. Wall,,46-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,N. Hilario misses 2-pt shot from 5 ft,,46-57,,
11:39.0,,,46-57,,Defensive rebound by J. Clarkson
11:20.0,,,46-59,2,R. Sacre makes 2-pt shot from 11 ft (assist by W. Ellington)
11:11.0,Offensive foul by O. Porter,,46-59,,
11:11.0,Turnover by O. Porter (offensive foul),,46-59,,
10:52.0,,,46-59,,W. Ellington misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by M. Gortat,,46-59,,
10:48.0,Shooting foul by R. Kelly (drawn by J. Wall),,46-59,,
10:48.0,J. Wall misses free throw 1 of 2,,46-59,,
10:48.0,Offensive rebound by Team,,46-59,,
10:48.0,J. Wall makes free throw 2 of 2,1,47-59,,
10:33.0,,,47-61,2,W. Ellington makes 2-pt shot from 16 ft
10:19.0,B. Beal misses 2-pt shot from 13 ft,,47-61,,
10:15.0,Offensive rebound by M. Gortat,,47-61,,
10:15.0,M. Gortat misses 2-pt shot at rim,,47-61,,
10:12.0,,,47-61,,Defensive rebound by J. Clarkson
10:10.0,,,47-63,2,J. Hill makes 2-pt shot at rim (assist by J. Clarkson)
9:44.0,M. Gortat makes 2-pt shot from 17 ft (assist by J. Wall),2,49-63,,
9:22.0,,,49-63,,J. Clarkson misses 2-pt shot from 9 ft (block by M. Gortat)
9:20.0,Defensive rebound by O. Porter,,49-63,,
9:14.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,52-63,,
8:55.0,,,52-65,2,W. Ellington makes 2-pt shot from 21 ft
8:38.0,B. Beal misses 3-pt shot from 22 ft,,52-65,,
8:37.0,,,52-65,,Defensive rebound by R. Sacre
8:23.0,,,52-65,,R. Kelly misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by N. Hilario,,52-65,,
8:11.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,54-65,,
7:49.0,,,54-65,,R. Sacre misses 2-pt shot from 8 ft (block by M. Gortat)
7:47.0,Defensive rebound by B. Beal,,54-65,,
7:34.0,J. Wall misses 2-pt shot from 1 ft,,54-65,,
7:32.0,,,54-65,,Defensive rebound by J. Hill
7:28.0,,,54-65,,Shooting foul by M. Gortat (drawn by J. Clarkson)
7:28.0,,,54-67,2,J. Clarkson makes 2-pt shot from 1 ft
7:28.0,,,54-68,1,J. Clarkson makes free throw 1 of 1
7:17.0,,,54-68,,Personal foul by J. Clarkson (drawn by O. Porter)
7:04.0,J. Wall misses 2-pt shot from 16 ft,,54-68,,
7:02.0,,,54-68,,Defensive rebound by J. Hill
6:49.0,,,54-68,,Turnover by W. Ellington (lost ball; steal by N. Hilario)
6:45.0,B. Beal makes 2-pt shot from 1 ft,2,56-68,,
6:16.0,,,56-68,,R. Sacre misses 2-pt shot from 11 ft
6:15.0,Defensive rebound by O. Porter,,56-68,,
6:05.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,58-68,,
6:04.0,,,58-68,,LA Lakers full timeout
6:04.0,,,58-68,,C. Boozer enters the game for J. Hill
6:04.0,,,58-68,,E. Davis enters the game for R. Sacre
6:04.0,,,58-68,,J. Lin enters the game for W. Ellington
5:51.0,,,58-68,,Turnover by J. Lin (bad pass; steal by J. Wall)
5:50.0,Shooting foul by J. Clarkson (drawn by J. Wall),,58-68,,
5:50.0,J. Wall misses free throw 1 of 2,,58-68,,
5:50.0,Offensive rebound by Team,,58-68,,
5:50.0,J. Wall makes free throw 2 of 2,1,59-68,,
5:32.0,,,59-68,,J. Clarkson misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by N. Hilario,,59-68,,
5:24.0,J. Wall makes 2-pt shot from 1 ft,2,61-68,,
4:59.0,,,61-68,,J. Clarkson misses 2-pt shot from 19 ft
4:58.0,Defensive rebound by J. Wall,,61-68,,
4:51.0,B. Beal misses 2-pt shot from 5 ft,,61-68,,
4:49.0,,,61-68,,Defensive rebound by Team
4:49.0,,,61-68,,W. Johnson enters the game for R. Kelly
4:49.0,K. Humphries enters the game for N. Hilario,,61-68,,
4:30.0,,,61-68,,C. Boozer misses 2-pt shot from 16 ft
4:29.0,Defensive rebound by Team,,61-68,,
4:12.0,Turnover by B. Beal (bad pass; steal by E. Davis),,61-68,,
4:07.0,,,61-68,,J. Lin misses 2-pt shot at rim
4:04.0,,,61-68,,Offensive rebound by E. Davis
3:59.0,,,61-68,,W. Johnson misses 2-pt shot from 12 ft
3:58.0,Defensive rebound by K. Humphries,,61-68,,
3:44.0,B. Beal misses 2-pt shot from 17 ft,,61-68,,
3:44.0,Offensive rebound by Team,,61-68,,
3:44.0,R. Butler enters the game for B. Beal,,61-68,,
3:37.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,63-68,,
3:13.0,,,63-68,,J. Lin misses 2-pt shot from 13 ft
3:12.0,Defensive rebound by K. Humphries,,63-68,,
3:07.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,65-68,,
2:46.0,Personal foul by J. Wall (drawn by J. Clarkson),,65-68,,
2:46.0,Washington full timeout,,65-68,,
2:35.0,,,65-68,,Turnover by J. Lin (bad pass; steal by O. Porter)
2:32.0,O. Porter makes 2-pt shot at rim,2,67-68,,
2:32.0,Shooting foul by W. Johnson (drawn by O. Porter),,67-68,,
2:32.0,O. Porter makes free throw 1 of 1,1,68-68,,
2:14.0,,,68-70,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
1:57.0,R. Butler misses 3-pt shot from 24 ft,,68-70,,
1:56.0,,,68-70,,Defensive rebound by W. Johnson
1:44.0,,,68-70,,Shooting foul by O. Porter (drawn by E. Davis)
1:44.0,,,68-71,1,E. Davis makes free throw 1 of 2
1:44.0,M. Webster enters the game for O. Porter,,68-71,,
1:44.0,,,68-72,1,E. Davis makes free throw 2 of 2
1:29.0,M. Webster makes 3-pt shot from 25 ft,3,71-72,,
1:13.0,,,71-72,,Turnover by W. Johnson (bad pass; steal by K. Humphries)
1:04.0,M. Webster misses 3-pt shot from 22 ft,,71-72,,
1:02.0,,,71-72,,Defensive rebound by C. Boozer
1:02.0,Personal foul by M. Webster (drawn by J. Lin),,71-72,,
1:02.0,G. Temple enters the game for M. Webster,,71-72,,
1:02.0,,,71-73,1,J. Lin makes free throw 1 of 2
1:02.0,,,71-74,1,J. Lin makes free throw 2 of 2
0:52.0,J. Wall makes 2-pt shot from 18 ft,2,73-74,,
0:31.0,,,73-76,2,E. Davis makes 2-pt shot from 7 ft (assist by J. Lin)
0:08.0,Shooting foul by E. Davis (drawn by K. Humphries),,73-76,,
0:08.0,K. Humphries makes free throw 1 of 2,1,74-76,,
0:08.0,K. Humphries makes free throw 2 of 2,1,75-76,,
0:02.0,,,75-76,,W. Johnson misses 3-pt shot from 25 ft
0:00.0,,,75-76,,Offensive rebound by E. Davis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,75-76,,Turnover by W. Johnson (bad pass)
11:30.0,K. Humphries misses 2-pt shot from 18 ft,,75-76,,
11:29.0,,,75-76,,Defensive rebound by W. Johnson
11:15.0,,,75-76,,Turnover by J. Lin (bad pass)
11:02.0,,,75-76,,Personal foul by C. Boozer (drawn by K. Seraphin)
10:48.0,K. Seraphin misses 2-pt shot from 18 ft,,75-76,,
10:47.0,Offensive rebound by K. Humphries,,75-76,,
10:30.0,R. Butler makes 3-pt shot from 24 ft (assist by B. Beal),3,78-76,,
10:18.0,,,78-76,,J. Lin misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by K. Seraphin,,78-76,,
10:10.0,Turnover by B. Beal (bad pass),,78-76,,
10:10.0,Loose ball foul by B. Beal (drawn by W. Ellington),,78-76,,
9:53.0,,,78-76,,Shooting foul by R. Butler (drawn by W. Johnson)
9:53.0,,,78-77,1,W. Johnson makes free throw 1 of 2
9:53.0,,,78-78,1,W. Johnson makes free throw 2 of 2
9:38.0,K. Seraphin misses 2-pt shot from 8 ft,,78-78,,
9:34.0,Offensive rebound by K. Humphries,,78-78,,
9:34.0,K. Humphries makes 2-pt shot at rim,2,80-78,,
9:20.0,,,80-80,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin)
9:02.0,A. Miller misses 2-pt shot from 1 ft (block by J. Lin),,80-80,,
9:00.0,Offensive rebound by K. Seraphin,,80-80,,
8:59.0,A. Miller makes 2-pt shot from 2 ft (assist by K. Seraphin),2,82-80,,
8:50.0,,,82-80,,W. Ellington misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by K. Humphries,,82-80,,
8:45.0,Shooting foul by W. Ellington (drawn by K. Seraphin),,82-80,,
8:45.0,Official timeout,,82-80,,
8:45.0,,,82-80,,J. Hill enters the game for C. Boozer
8:45.0,,,82-80,,R. Sacre enters the game for E. Davis
8:45.0,K. Seraphin makes free throw 1 of 2,1,83-80,,
8:45.0,K. Seraphin makes free throw 2 of 2,1,84-80,,
8:26.0,,,84-80,,J. Hill misses 2-pt shot from 7 ft
8:23.0,Defensive rebound by K. Humphries,,84-80,,
8:13.0,K. Seraphin makes 2-pt shot from 8 ft,2,86-80,,
8:04.0,Personal foul by R. Butler (drawn by W. Johnson),,86-80,,
7:59.0,,,86-80,,Shooting foul by K. Seraphin (drawn by W. Johnson)
7:59.0,,,86-81,1,W. Johnson makes free throw 1 of 2
7:59.0,,,86-81,,W. Johnson misses free throw 2 of 2
7:57.0,Defensive rebound by K. Humphries,,86-81,,
7:43.0,Turnover by B. Beal (bad pass),,86-81,,
7:29.0,,,86-81,,J. Lin misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by R. Butler,,86-81,,
7:16.0,R. Butler misses 3-pt shot from 23 ft,,86-81,,
7:15.0,,,86-81,,Defensive rebound by W. Ellington
7:11.0,,,86-83,2,W. Johnson makes 2-pt shot at rim (assist by W. Ellington)
6:52.0,R. Butler misses 3-pt shot from 24 ft,,86-83,,
6:51.0,,,86-83,,Defensive rebound by J. Hill
6:38.0,,,86-83,,J. Hill misses 2-pt shot from 20 ft
6:36.0,Defensive rebound by K. Humphries,,86-83,,
6:22.0,R. Butler misses 3-pt shot from 24 ft,,86-83,,
6:21.0,,,86-83,,Defensive rebound by R. Sacre
6:12.0,,,86-83,,W. Ellington misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by A. Miller,,86-83,,
6:05.0,Washington full timeout,,86-83,,
6:05.0,J. Wall enters the game for R. Butler,,86-83,,
6:05.0,O. Porter enters the game for A. Miller,,86-83,,
6:05.0,,,86-83,,J. Clarkson enters the game for J. Lin
5:53.0,O. Porter misses 2-pt shot from 2 ft (block by R. Sacre),,86-83,,
5:50.0,,,86-83,,Defensive rebound by R. Sacre
5:36.0,,,86-83,,W. Johnson misses 2-pt shot from 20 ft
5:35.0,Defensive rebound by B. Beal,,86-83,,
5:22.0,O. Porter misses 2-pt shot from 14 ft,,86-83,,
5:21.0,Offensive rebound by K. Humphries,,86-83,,
5:21.0,K. Humphries misses 2-pt shot from 1 ft,,86-83,,
5:17.0,,,86-83,,Defensive rebound by W. Ellington
5:11.0,,,86-83,,W. Ellington misses 2-pt shot from 2 ft
5:10.0,,,86-83,,Offensive rebound by J. Hill
5:09.0,,,86-85,2,J. Hill makes 2-pt shot from 1 ft
4:53.0,J. Wall makes 2-pt shot from 16 ft,2,88-85,,
4:26.0,,,88-85,,J. Clarkson misses 2-pt shot from 14 ft
4:25.0,Defensive rebound by K. Seraphin,,88-85,,
4:11.0,J. Wall makes 2-pt shot from 17 ft,2,90-85,,
3:53.0,,,90-87,2,J. Clarkson makes 2-pt shot from 16 ft
3:36.0,Turnover by J. Wall (lost ball; steal by J. Hill),,90-87,,
3:30.0,,,90-87,,Shooting foul by O. Porter (drawn by W. Johnson)
3:30.0,,,90-88,1,W. Johnson makes free throw 1 of 2
3:30.0,N. Hilario enters the game for K. Seraphin,,90-88,,
3:30.0,,,90-88,,W. Johnson misses free throw 2 of 2
3:29.0,Defensive rebound by K. Humphries,,90-88,,
3:10.0,N. Hilario makes 2-pt shot from 1 ft,2,92-88,,
3:10.0,Shooting foul by R. Sacre (drawn by N. Hilario),,92-88,,
3:10.0,N. Hilario makes free throw 1 of 1,1,93-88,,
2:44.0,,,93-88,,J. Clarkson misses 2-pt shot from 16 ft
2:41.0,Defensive rebound by J. Wall,,93-88,,
2:27.0,Turnover by N. Hilario (bad pass; steal by W. Ellington),,93-88,,
2:21.0,,,93-90,2,W. Ellington makes 2-pt shot from 2 ft
1:59.0,N. Hilario misses 2-pt shot from 19 ft,,93-90,,
1:58.0,Offensive rebound by O. Porter,,93-90,,
1:56.0,O. Porter makes 2-pt shot from 1 ft,2,95-90,,
1:56.0,,,95-90,,LA Lakers full timeout
1:38.0,,,95-90,,J. Clarkson misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by N. Hilario,,95-90,,
1:17.0,B. Beal misses 3-pt shot from 24 ft,,95-90,,
1:15.0,,,95-90,,Defensive rebound by J. Hill
1:02.0,,,95-90,,W. Ellington misses 2-pt shot from 20 ft
1:01.0,Defensive rebound by N. Hilario,,95-90,,
0:43.0,B. Beal makes 2-pt shot from 15 ft,2,97-90,,
0:43.0,,,97-90,,LA Lakers full timeout
0:37.0,,,97-90,,J. Hill misses 3-pt shot from 23 ft
