time,Denver,pts.away,score,pts.home,Miami
4:26.0,J. Hickson enters the game for J. Nurkic,,23-14,,
4:16.0,,,23-16,2,D. Wade makes 2-pt shot at rim
3:59.0,Turnover by T. Lawson (bad pass; steal by M. Beasley),,23-16,,
3:54.0,,,23-18,2,L. Deng makes 2-pt shot at rim (assist by M. Beasley)
3:38.0,Turnover by R. Foye (bad pass; steal by M. Beasley),,23-18,,
3:32.0,,,23-18,,M. Beasley misses 2-pt shot from 2 ft
3:31.0,Defensive rebound by J. Hickson,,23-18,,
3:16.0,K. Faried misses 2-pt shot from 7 ft,,23-18,,
3:15.0,,,23-18,,Defensive rebound by C. Andersen
3:00.0,,,23-18,,M. Beasley misses 2-pt shot from 4 ft (block by K. Faried)
2:59.0,Defensive rebound by W. Chandler,,23-18,,
2:50.0,R. Foye misses 3-pt shot from 22 ft,,23-18,,
2:49.0,,,23-18,,Defensive rebound by M. Beasley
2:38.0,,,23-18,,D. Wade misses 2-pt shot from 1 ft (block by K. Faried)
2:37.0,Defensive rebound by K. Faried,,23-18,,
2:30.0,T. Lawson misses 3-pt shot from 24 ft,,23-18,,
2:29.0,,,23-18,,Defensive rebound by M. Beasley
2:14.0,,,23-18,,M. Beasley misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by W. Chandler,,23-18,,
2:11.0,Denver full timeout,,23-18,,
2:11.0,,,23-18,,G. Dragic enters the game for D. Wade
2:11.0,W. Barton enters the game for K. Faried,,23-18,,
2:11.0,D. Arthur enters the game for T. Lawson,,23-18,,
2:03.0,Turnover by W. Barton (bad pass; steal by G. Dragic),,23-18,,
1:51.0,Personal foul by R. Foye (drawn by M. Chalmers),,23-18,,
1:51.0,E. Green enters the game for R. Foye,,23-18,,
1:46.0,,,23-18,,G. Dragic misses 2-pt shot from 17 ft
1:45.0,,,23-18,,Offensive rebound by C. Andersen
1:41.0,,,23-20,2,C. Andersen makes 2-pt shot from 3 ft
1:26.0,Offensive charge foul by J. Hickson,,23-20,,
1:26.0,Turnover by J. Hickson (offensive foul),,23-20,,
1:10.0,,,23-20,,L. Deng misses 2-pt shot from 17 ft
1:09.0,,,23-20,,Offensive rebound by G. Dragic
1:03.0,,,23-22,2,M. Chalmers makes 2-pt shot from 9 ft (assist by G. Dragic)
0:43.0,W. Chandler misses 2-pt shot from 13 ft,,23-22,,
0:42.0,,,23-22,,Defensive rebound by C. Andersen
0:31.0,,,23-22,,Turnover by G. Dragic (bad pass)
0:18.0,W. Barton misses 2-pt shot from 1 ft,,23-22,,
0:17.0,,,23-22,,Defensive rebound by C. Andersen
0:01.0,,,23-22,,G. Dragic misses 2-pt shot from 16 ft
0:00.0,,,23-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-24,2,M. Beasley makes 2-pt shot at rim (assist by G. Dragic)
11:05.0,E. Green misses 3-pt shot from 24 ft,,23-24,,
11:04.0,,,23-24,,Defensive rebound by M. Beasley
10:50.0,,,23-27,3,H. Walker makes 3-pt shot from 25 ft (assist by G. Dragic)
10:35.0,E. Green makes 3-pt shot from 23 ft (assist by W. Barton),3,26-27,,
10:17.0,,,26-27,,H. Walker misses 3-pt shot from 23 ft
10:16.0,,,26-27,,Offensive rebound by C. Andersen
10:16.0,,,26-27,,Shooting foul by J. Hickson (drawn by C. Andersen)
10:16.0,,,26-28,1,C. Andersen makes free throw 1 of 2
10:16.0,,,26-28,,C. Andersen misses free throw 2 of 2
10:15.0,Defensive rebound by J. Hickson,,26-28,,
9:58.0,G. Harris misses 2-pt shot from 1 ft (block by M. Beasley),,26-28,,
9:57.0,,,26-28,,Defensive rebound by M. Chalmers
9:53.0,,,26-28,,Shooting foul by D. Arthur (drawn by M. Chalmers)
9:53.0,,,26-29,1,M. Chalmers makes free throw 1 of 2
9:53.0,K. Faried enters the game for J. Hickson,,26-29,,
9:53.0,,,26-30,1,M. Chalmers makes free throw 2 of 2
9:37.0,D. Arthur misses 2-pt shot from 16 ft,,26-30,,
9:36.0,Offensive rebound by W. Barton,,26-30,,
9:29.0,Denver full timeout,,26-30,,
9:20.0,G. Harris misses 3-pt shot from 24 ft,,26-30,,
9:19.0,,,26-30,,Defensive rebound by H. Walker
9:10.0,,,26-32,2,M. Beasley makes 2-pt shot from 18 ft
8:55.0,K. Faried misses 2-pt shot from 5 ft,,26-32,,
8:54.0,,,26-32,,Defensive rebound by C. Andersen
8:37.0,,,26-32,,M. Beasley misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by K. Faried,,26-32,,
8:31.0,Shooting foul by H. Walker (drawn by K. Faried),,26-32,,
8:31.0,K. Faried misses free throw 1 of 2,,26-32,,
8:31.0,Offensive rebound by Team,,26-32,,
8:31.0,,,26-32,,H. Whiteside enters the game for C. Andersen
8:31.0,T. Lawson enters the game for G. Harris,,26-32,,
8:31.0,K. Faried misses free throw 2 of 2,,26-32,,
8:30.0,,,26-32,,Defensive rebound by H. Walker
8:13.0,,,26-34,2,G. Dragic makes 2-pt shot from 6 ft
7:58.0,K. Faried makes 2-pt shot from 5 ft (assist by D. Arthur),2,28-34,,
7:43.0,,,28-34,,Shooting foul by K. Faried (drawn by M. Chalmers)
7:43.0,,,28-35,1,M. Chalmers makes free throw 1 of 2
7:43.0,W. Chandler enters the game for D. Arthur,,28-35,,
7:43.0,,,28-36,1,M. Chalmers makes free throw 2 of 2
7:27.0,K. Faried misses 2-pt shot from 6 ft,,28-36,,
7:26.0,,,28-36,,Defensive rebound by H. Whiteside
7:16.0,,,28-38,2,G. Dragic makes 2-pt shot from 1 ft (assist by M. Beasley)
7:03.0,Shooting foul by M. Beasley (drawn by W. Barton),,28-38,,
7:03.0,W. Barton makes free throw 1 of 2,1,29-38,,
7:03.0,G. Harris enters the game for E. Green,,29-38,,
7:03.0,W. Barton makes free throw 2 of 2,1,30-38,,
6:54.0,,,30-38,,Turnover by M. Beasley (bad pass; steal by W. Barton)
6:50.0,W. Barton makes 2-pt shot from 1 ft,2,32-38,,
6:50.0,,,32-38,,Miami full timeout
6:50.0,,,32-38,,D. Wade enters the game for G. Dragic
6:33.0,,,32-40,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
6:15.0,Turnover by W. Barton (lost ball),,32-40,,
6:03.0,,,32-40,,D. Wade misses 2-pt shot from 12 ft
6:02.0,,,32-40,,Offensive rebound by Team
6:02.0,J. Nurkic enters the game for G. Harris,,32-40,,
5:54.0,,,32-40,,Turnover by D. Wade (lost ball; steal by K. Faried)
5:48.0,K. Faried makes 2-pt shot at rim (assist by W. Chandler),2,34-40,,
5:17.0,,,34-42,2,M. Chalmers makes 2-pt shot from 2 ft
5:04.0,W. Barton misses 2-pt shot from 5 ft (block by H. Whiteside),,34-42,,
5:03.0,,,34-42,,Defensive rebound by M. Beasley
4:57.0,,,34-44,2,D. Wade makes 2-pt shot from 15 ft (assist by H. Walker)
4:45.0,,,34-44,,Personal foul by M. Chalmers (drawn by T. Lawson)
4:45.0,,,34-44,,L. Deng enters the game for H. Walker
4:45.0,R. Foye enters the game for W. Barton,,34-44,,
4:38.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,36-44,,
4:18.0,,,36-47,3,M. Beasley makes 3-pt shot from 25 ft (assist by M. Chalmers)
4:06.0,R. Foye misses 3-pt shot from 24 ft,,36-47,,
4:05.0,Offensive rebound by R. Foye,,36-47,,
4:04.0,Turnover by J. Nurkic (lost ball),,36-47,,
3:50.0,,,36-47,,Shooting foul by R. Foye (drawn by D. Wade)
3:50.0,,,36-48,1,D. Wade makes free throw 1 of 2
3:50.0,,,36-49,1,D. Wade makes free throw 2 of 2
3:37.0,Turnover by T. Lawson (bad pass; steal by M. Beasley),,36-49,,
3:33.0,,,36-51,2,D. Wade makes 2-pt shot at rim (assist by L. Deng)
3:32.0,,,36-51,,Violation by Team (delay of game)
3:18.0,R. Foye misses 3-pt shot from 25 ft,,36-51,,
3:17.0,Offensive rebound by J. Nurkic,,36-51,,
3:13.0,J. Nurkic makes 2-pt shot from 6 ft,2,38-51,,
2:54.0,,,38-51,,Turnover by L. Deng (bad pass; steal by J. Nurkic)
2:51.0,Shooting foul by M. Chalmers (drawn by R. Foye),,38-51,,
2:51.0,Official timeout,,38-51,,
2:51.0,,,38-51,,G. Dragic enters the game for M. Chalmers
2:51.0,R. Foye makes free throw 1 of 2,1,39-51,,
2:51.0,R. Foye makes free throw 2 of 2,1,40-51,,
2:30.0,,,40-51,,D. Wade misses 2-pt shot from 9 ft
2:29.0,Defensive rebound by W. Chandler,,40-51,,
2:21.0,T. Lawson misses 3-pt shot from 24 ft,,40-51,,
2:20.0,,,40-51,,Defensive rebound by M. Beasley
2:08.0,,,40-53,2,M. Beasley makes 2-pt shot from 13 ft
1:36.0,J. Nurkic makes 2-pt shot from 1 ft (assist by W. Chandler),2,42-53,,
1:24.0,,,42-55,2,H. Whiteside makes 2-pt shot at rim (assist by L. Deng)
1:17.0,Denver full timeout,,42-55,,
1:17.0,G. Harris enters the game for R. Foye,,42-55,,
1:00.0,G. Harris misses 3-pt shot from 23 ft,,42-55,,
0:59.0,,,42-55,,Defensive rebound by H. Whiteside
0:45.0,,,42-57,2,D. Wade makes 2-pt shot from 11 ft
0:35.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,44-57,,
0:22.0,,,44-59,2,G. Dragic makes 2-pt shot from 1 ft
0:04.0,J. Nurkic misses 2-pt shot at rim,,44-59,,
0:03.0,Offensive rebound by J. Nurkic,,44-59,,
0:03.0,J. Nurkic makes 2-pt shot from 1 ft,2,46-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,46-61,2,U. Haslem makes 2-pt shot from 16 ft (assist by D. Wade)
11:21.0,Shooting foul by H. Whiteside (drawn by J. Nurkic),,46-61,,
11:21.0,J. Nurkic makes free throw 1 of 2,1,47-61,,
11:21.0,J. Nurkic makes free throw 2 of 2,1,48-61,,
11:08.0,Personal foul by J. Nurkic (drawn by H. Whiteside),,48-61,,
10:58.0,,,48-61,,L. Deng misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by T. Lawson,,48-61,,
10:48.0,T. Lawson makes 2-pt shot from 2 ft,2,50-61,,
10:22.0,,,50-61,,D. Wade misses 2-pt shot from 17 ft
10:21.0,Defensive rebound by T. Lawson,,50-61,,
10:09.0,W. Chandler misses 3-pt shot from 24 ft,,50-61,,
10:08.0,,,50-61,,Defensive rebound by H. Whiteside
10:00.0,,,50-63,2,G. Dragic makes 2-pt shot at rim
9:40.0,R. Foye makes 3-pt shot from 24 ft,3,53-63,,
9:23.0,,,53-63,,H. Whiteside misses 2-pt shot from 8 ft
9:22.0,Defensive rebound by K. Faried,,53-63,,
9:16.0,R. Foye makes 3-pt shot from 24 ft (assist by K. Faried),3,56-63,,
8:54.0,,,56-65,2,L. Deng makes 2-pt shot from 2 ft
8:42.0,T. Lawson misses 2-pt shot from 15 ft,,56-65,,
8:41.0,Offensive rebound by K. Faried,,56-65,,
8:40.0,K. Faried makes 2-pt shot at rim,2,58-65,,
8:26.0,,,58-67,2,U. Haslem makes 2-pt shot at rim (assist by D. Wade)
8:03.0,R. Foye misses 3-pt shot from 24 ft,,58-67,,
8:02.0,,,58-67,,Defensive rebound by U. Haslem
7:54.0,,,58-67,,Turnover by U. Haslem (traveling)
7:54.0,J. Hickson enters the game for J. Nurkic,,58-67,,
7:31.0,J. Hickson makes 2-pt shot from 12 ft (assist by T. Lawson),2,60-67,,
7:11.0,,,60-69,2,D. Wade makes 2-pt shot from 11 ft
7:01.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,62-69,,
6:44.0,,,62-71,2,U. Haslem makes 2-pt shot from 16 ft (assist by G. Dragic)
6:33.0,Turnover by R. Foye (bad pass; steal by H. Whiteside),,62-71,,
6:30.0,,,62-73,2,H. Whiteside makes 2-pt shot at rim
6:26.0,Denver full timeout,,62-73,,
6:18.0,R. Foye misses 2-pt shot from 2 ft,,62-73,,
6:17.0,Offensive rebound by Team,,62-73,,
6:16.0,,,62-73,,Loose ball foul by D. Wade (drawn by J. Hickson)
6:00.0,W. Chandler makes 3-pt shot from 24 ft,3,65-73,,
5:40.0,,,65-73,,Miami full timeout
5:36.0,Personal foul by J. Hickson (drawn by G. Dragic),,65-73,,
5:36.0,,,65-73,,M. Chalmers enters the game for G. Dragic
5:28.0,,,65-73,,D. Wade misses 2-pt shot from 2 ft (block by J. Hickson)
5:27.0,,,65-73,,Offensive rebound by Team
5:22.0,,,65-73,,D. Wade misses 2-pt shot from 19 ft
5:21.0,Defensive rebound by T. Lawson,,65-73,,
5:18.0,Turnover by R. Foye (lost ball),,65-73,,
5:06.0,,,65-73,,Turnover by U. Haslem (bad pass; steal by T. Lawson)
5:04.0,,,65-73,,Personal foul by L. Deng (drawn by T. Lawson)
5:04.0,,,65-73,,M. Beasley enters the game for U. Haslem
4:45.0,W. Chandler makes 2-pt shot from 2 ft,2,67-73,,
4:27.0,,,67-75,2,D. Wade makes 2-pt shot from 20 ft (assist by M. Beasley)
4:20.0,R. Foye makes 3-pt shot from 24 ft (assist by T. Lawson),3,70-75,,
3:59.0,,,70-77,2,L. Deng makes 2-pt shot from 21 ft
3:45.0,K. Faried makes 2-pt shot from 4 ft (assist by T. Lawson),2,72-77,,
3:27.0,Personal foul by K. Faried (drawn by D. Wade),,72-77,,
3:27.0,,,72-77,,H. Walker enters the game for L. Deng
3:27.0,,,72-77,,G. Dragic enters the game for D. Wade
3:21.0,,,72-77,,Turnover by M. Chalmers (lost ball)
3:14.0,Turnover by J. Hickson (offensive foul),,72-77,,
3:14.0,Offensive foul by J. Hickson,,72-77,,
2:59.0,,,72-79,2,G. Dragic makes 2-pt shot from 15 ft (assist by M. Beasley)
2:43.0,R. Foye misses 3-pt shot from 23 ft,,72-79,,
2:42.0,,,72-79,,Defensive rebound by M. Beasley
2:33.0,,,72-79,,Turnover by H. Whiteside (lost ball; steal by J. Hickson)
2:31.0,Turnover by J. Hickson (bad pass; steal by G. Dragic),,72-79,,
2:29.0,,,72-79,,H. Whiteside misses 2-pt shot at rim
2:27.0,,,72-79,,Offensive rebound by G. Dragic
2:26.0,,,72-79,,G. Dragic misses 2-pt shot from 1 ft (block by T. Lawson)
2:26.0,,,72-79,,Offensive rebound by G. Dragic
2:25.0,,,72-81,2,G. Dragic makes 2-pt shot from 1 ft
2:17.0,K. Faried misses 2-pt shot at rim,,72-81,,
2:15.0,,,72-81,,Defensive rebound by G. Dragic
2:02.0,,,72-83,2,H. Whiteside makes 2-pt shot from 1 ft (assist by M. Beasley)
1:55.0,Denver full timeout,,72-83,,
1:55.0,,,72-83,,C. Andersen enters the game for H. Whiteside
1:55.0,D. Arthur enters the game for W. Chandler,,72-83,,
1:55.0,W. Barton enters the game for K. Faried,,72-83,,
1:39.0,Turnover by W. Barton (bad pass),,72-83,,
1:22.0,,,72-83,,M. Beasley misses 2-pt shot from 2 ft (block by J. Hickson)
1:21.0,Defensive rebound by J. Hickson,,72-83,,
1:15.0,T. Lawson makes 2-pt shot from 1 ft,2,74-83,,
0:53.0,,,74-86,3,H. Walker makes 3-pt shot from 24 ft (assist by M. Beasley)
0:40.0,T. Lawson makes 2-pt shot from 19 ft,2,76-86,,
0:20.0,,,76-86,,Shooting foul by T. Lawson (drawn by M. Chalmers)
0:20.0,,,76-87,1,M. Chalmers makes free throw 1 of 2
0:20.0,J. Nurkic enters the game for J. Hickson,,76-87,,
0:20.0,,,76-87,,M. Chalmers misses free throw 2 of 2
0:19.0,Defensive rebound by J. Nurkic,,76-87,,
0:03.0,T. Lawson makes 2-pt shot from 2 ft,2,78-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Arthur misses 3-pt shot from 25 ft,,78-87,,
11:43.0,,,78-87,,Defensive rebound by G. Dragic
11:28.0,,,78-87,,H. Walker misses 2-pt shot from 3 ft (block by J. Nurkic)
11:27.0,,,78-87,,Offensive rebound by Team
11:23.0,,,78-87,,M. Chalmers misses 2-pt shot from 20 ft
11:22.0,,,78-87,,Offensive rebound by G. Dragic
11:05.0,,,78-87,,H. Walker misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by G. Harris,,78-87,,
10:51.0,Shooting foul by M. Chalmers (drawn by T. Lawson),,78-87,,
10:51.0,T. Lawson misses free throw 1 of 2,,78-87,,
10:51.0,Offensive rebound by Team,,78-87,,
10:51.0,T. Lawson misses free throw 2 of 2,,78-87,,
10:50.0,,,78-87,,Defensive rebound by M. Chalmers
10:38.0,,,78-89,2,C. Andersen makes 2-pt shot from 1 ft (assist by H. Walker)
10:18.0,W. Barton makes 3-pt shot from 24 ft (assist by G. Harris),3,81-89,,
9:59.0,,,81-89,,G. Dragic misses 2-pt shot from 1 ft (block by W. Barton)
9:58.0,Defensive rebound by W. Barton,,81-89,,
9:53.0,W. Barton misses 2-pt shot from 1 ft,,81-89,,
9:52.0,,,81-89,,Defensive rebound by M. Chalmers
9:48.0,Personal foul by W. Barton (drawn by M. Chalmers),,81-89,,
9:37.0,,,81-89,,Turnover by M. Beasley (bad pass; steal by W. Barton)
9:29.0,D. Arthur misses 3-pt shot from 24 ft,,81-89,,
9:28.0,,,81-89,,Defensive rebound by G. Dragic
9:24.0,,,81-89,,Turnover by G. Dragic (bad pass; steal by G. Harris)
9:08.0,G. Harris misses 3-pt shot from 24 ft,,81-89,,
9:07.0,,,81-89,,Defensive rebound by M. Beasley
8:53.0,Official timeout,,81-89,,
8:53.0,E. Green enters the game for T. Lawson,,81-89,,
8:45.0,,,81-89,,M. Beasley misses 2-pt shot from 15 ft
8:44.0,Defensive rebound by G. Harris,,81-89,,
8:26.0,D. Arthur misses 3-pt shot from 25 ft,,81-89,,
8:25.0,,,81-89,,Defensive rebound by C. Andersen
8:05.0,,,81-89,,M. Chalmers misses 2-pt shot from 2 ft
8:04.0,Defensive rebound by E. Green,,81-89,,
7:55.0,G. Harris misses 2-pt shot from 1 ft (block by H. Walker),,81-89,,
7:54.0,,,81-89,,Offensive rebound by Team
7:54.0,Jump ball: G. Harris vs. H. Walker (C. Andersen gains possession),,,,Jump ball: G. Harris vs. H. Walker (C. Andersen gains possession)
7:37.0,Def 3 sec tech foul by W. Barton,,81-89,,
7:37.0,,,81-90,1,M. Chalmers makes technical free throw
7:23.0,,,81-90,,M. Beasley misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by G. Harris,,81-90,,
7:07.0,D. Arthur misses 3-pt shot from 24 ft,,81-90,,
7:06.0,Offensive rebound by J. Nurkic,,81-90,,
7:06.0,,,81-90,,Personal foul by H. Walker (drawn by J. Nurkic)
7:06.0,,,81-90,,D. Wade enters the game for G. Dragic
7:06.0,K. Faried enters the game for D. Arthur,,81-90,,
6:57.0,E. Green misses 2-pt shot from 8 ft,,81-90,,
6:56.0,Offensive rebound by K. Faried,,81-90,,
6:50.0,Turnover by K. Faried (lost ball),,81-90,,
6:33.0,Personal foul by W. Barton (drawn by D. Wade),,81-90,,
6:33.0,W. Chandler enters the game for G. Harris,,81-90,,
6:33.0,,,81-90,,H. Whiteside enters the game for C. Andersen
6:24.0,Personal foul by J. Nurkic (drawn by M. Chalmers),,81-90,,
6:11.0,,,81-93,3,H. Walker makes 3-pt shot from 24 ft (assist by D. Wade)
5:59.0,,,81-93,,Personal foul by H. Walker (drawn by K. Faried)
5:59.0,,,81-93,,Miami full timeout
5:59.0,R. Foye enters the game for W. Barton,,81-93,,
5:59.0,T. Lawson enters the game for E. Green,,81-93,,
5:47.0,R. Foye misses 3-pt shot from 25 ft,,81-93,,
5:46.0,,,81-93,,Defensive rebound by M. Chalmers
5:42.0,,,81-95,2,D. Wade makes 2-pt shot at rim (assist by M. Chalmers)
5:19.0,Shooting foul by M. Chalmers (drawn by T. Lawson),,81-95,,
5:19.0,T. Lawson misses free throw 1 of 2,,81-95,,
5:19.0,Offensive rebound by Team,,81-95,,
5:19.0,T. Lawson misses free throw 2 of 2,,81-95,,
5:18.0,,,81-95,,Defensive rebound by H. Whiteside
4:59.0,,,81-95,,M. Beasley misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by W. Chandler,,81-95,,
4:45.0,T. Lawson misses 2-pt shot from 18 ft,,81-95,,
4:44.0,Offensive rebound by T. Lawson,,81-95,,
4:36.0,K. Faried misses 2-pt shot from 1 ft (block by H. Walker),,81-95,,
4:35.0,,,81-95,,Defensive rebound by H. Walker
4:27.0,,,81-95,,Turnover by D. Wade (offensive foul)
4:27.0,,,81-95,,Offensive charge foul by D. Wade
4:27.0,,,81-95,,L. Deng enters the game for H. Walker
4:15.0,R. Foye misses 3-pt shot from 24 ft,,81-95,,
4:14.0,,,81-95,,Defensive rebound by H. Whiteside
4:04.0,,,81-95,,D. Wade misses 2-pt shot at rim
4:03.0,,,81-95,,Offensive rebound by H. Whiteside
4:02.0,,,81-97,2,H. Whiteside makes 2-pt shot at rim
3:52.0,,,81-97,,Personal foul by M. Chalmers (drawn by K. Faried)
3:52.0,K. Faried misses free throw 1 of 2,,81-97,,
3:52.0,Offensive rebound by Team,,81-97,,
3:52.0,,,81-97,,G. Dragic enters the game for M. Chalmers
3:52.0,K. Faried misses free throw 2 of 2,,81-97,,
3:51.0,,,81-97,,Defensive rebound by D. Wade
3:38.0,,,81-97,,Turnover by D. Wade (lost ball; steal by K. Faried)
3:36.0,,,81-97,,Personal foul by D. Wade (drawn by R. Foye)
3:36.0,R. Foye makes free throw 1 of 2,1,82-97,,
3:36.0,R. Foye makes free throw 2 of 2,1,83-97,,
3:21.0,,,83-97,,Turnover by M. Beasley (bad pass; steal by J. Nurkic)
3:08.0,J. Nurkic makes 2-pt shot from 1 ft (assist by T. Lawson),2,85-97,,
3:08.0,,,85-97,,Miami full timeout
2:52.0,,,85-99,2,D. Wade makes 2-pt shot from 1 ft
2:41.0,W. Chandler misses 3-pt shot from 24 ft,,85-99,,
2:40.0,,,85-99,,Defensive rebound by M. Beasley
2:27.0,Personal foul by K. Faried (drawn by D. Wade),,85-99,,
2:14.0,,,85-101,2,G. Dragic makes 2-pt shot from 1 ft
2:05.0,T. Lawson misses 2-pt shot from 11 ft (block by L. Deng),,85-101,,
2:04.0,Offensive rebound by T. Lawson,,85-101,,
1:58.0,T. Lawson makes 2-pt shot from 9 ft (assist by K. Faried),2,87-101,,
1:46.0,,,87-104,3,L. Deng makes 3-pt shot from 23 ft (assist by M. Beasley)
1:36.0,T. Lawson misses 2-pt shot from 5 ft,,87-104,,
1:35.0,,,87-104,,Defensive rebound by H. Whiteside
1:24.0,,,87-104,,Shooting foul by W. Chandler (drawn by H. Whiteside)
1:24.0,,,87-105,1,H. Whiteside makes free throw 1 of 2
1:24.0,,,87-105,,T. Johnson enters the game for D. Wade
1:24.0,E. Green enters the game for T. Lawson,,87-105,,
1:24.0,G. Harris enters the game for R. Foye,,87-105,,
1:24.0,,,87-105,,H. Walker enters the game for L. Deng
1:24.0,J. Lauvergne enters the game for K. Faried,,87-105,,
1:24.0,,,87-105,,H. Whiteside misses free throw 2 of 2
1:23.0,Defensive rebound by J. Nurkic,,87-105,,
1:15.0,Turnover by J. Nurkic (bad pass; steal by H. Whiteside),,87-105,,
