time,Portland,pts.away,score,pts.home,Toronto
8:26.0,C. Kaman makes 2-pt shot from 8 ft,2,42-39,,
8:13.0,,,42-41,2,P. Patterson makes 2-pt shot from 18 ft (assist by K. Lowry)
7:51.0,M. Leonard misses 3-pt shot from 24 ft,,42-41,,
7:50.0,,,42-41,,Defensive rebound by D. DeRozan
7:41.0,,,42-43,2,D. DeRozan makes 2-pt shot from 7 ft
7:29.0,,,42-43,,Personal block foul by P. Patterson (drawn by S. Blake)
7:29.0,C. McCollum enters the game for S. Blake,,42-43,,
7:15.0,A. Afflalo misses 2-pt shot from 2 ft,,42-43,,
7:14.0,,,42-43,,Defensive rebound by T. Hansbrough
7:06.0,,,42-43,,Turnover by T. Hansbrough (traveling)
6:52.0,C. McCollum makes 2-pt shot from 4 ft,2,44-43,,
6:30.0,,,44-43,,Shooting foul by C. Kaman (drawn by T. Hansbrough)
6:30.0,,,44-44,1,T. Hansbrough makes free throw 1 of 2
6:30.0,R. Lopez enters the game for C. Kaman,,44-44,,
6:30.0,,,44-44,,T. Hansbrough misses free throw 2 of 2
6:28.0,Defensive rebound by A. Afflalo,,44-44,,
6:20.0,D. Lillard misses 2-pt shot from 3 ft,,44-44,,
6:19.0,,,44-44,,Defensive rebound by D. DeRozan
6:17.0,Personal foul by C. McCollum (drawn by D. DeRozan),,44-44,,
6:17.0,,,44-44,,J. Valanciunas enters the game for T. Hansbrough
6:07.0,,,44-44,,L. Williams misses 2-pt shot from 16 ft
6:06.0,Defensive rebound by D. Lillard,,44-44,,
5:59.0,A. Afflalo makes 3-pt shot from 24 ft (assist by C. McCollum),3,47-44,,
5:51.0,,,47-44,,Toronto full timeout
5:51.0,N. Batum enters the game for D. Lillard,,47-44,,
5:51.0,S. Blake enters the game for C. McCollum,,47-44,,
5:51.0,L. Aldridge enters the game for M. Leonard,,47-44,,
5:51.0,,,47-44,,T. Ross enters the game for L. Williams
5:38.0,,,47-44,,Turnover by K. Lowry (traveling)
5:25.0,A. Afflalo misses 2-pt shot from 8 ft,,47-44,,
5:22.0,,,47-44,,Defensive rebound by K. Lowry
5:12.0,,,47-44,,K. Lowry misses 2-pt shot from 13 ft
5:11.0,Defensive rebound by Team,,47-44,,
4:58.0,S. Blake misses 3-pt shot from 23 ft,,47-44,,
4:56.0,Offensive rebound by R. Lopez,,47-44,,
4:56.0,Shooting foul by P. Patterson (drawn by R. Lopez),,47-44,,
4:56.0,R. Lopez misses free throw 1 of 2,,47-44,,
4:56.0,Offensive rebound by Team,,47-44,,
4:56.0,,,47-44,,A. Johnson enters the game for P. Patterson
4:56.0,R. Lopez misses free throw 2 of 2,,47-44,,
4:55.0,,,47-44,,Defensive rebound by J. Valanciunas
4:37.0,,,47-47,3,T. Ross makes 3-pt shot from 22 ft (assist by K. Lowry)
4:21.0,R. Lopez makes 2-pt shot from 2 ft (assist by N. Batum),2,49-47,,
4:10.0,,,49-47,,Turnover by K. Lowry (bad pass)
4:10.0,,,49-47,,Technical foul by K. Lowry
4:10.0,L. Aldridge makes technical free throw,1,50-47,,
3:58.0,A. Afflalo makes 3-pt shot from 24 ft (assist by L. Aldridge),3,53-47,,
3:43.0,,,53-47,,Turnover by D. DeRozan (lost ball; steal by N. Batum)
3:34.0,R. Lopez misses 2-pt shot from 4 ft (block by J. Valanciunas),,53-47,,
3:34.0,Offensive rebound by Team,,53-47,,
3:27.0,N. Batum makes 3-pt shot from 24 ft (assist by R. Lopez),3,56-47,,
3:08.0,,,56-49,2,D. DeRozan makes 2-pt shot from 7 ft
2:53.0,S. Blake makes 3-pt shot from 24 ft (assist by N. Batum),3,59-49,,
2:29.0,,,59-51,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry)
2:19.0,Portland full timeout,,59-51,,
2:19.0,D. Lillard enters the game for S. Blake,,59-51,,
2:19.0,,,59-51,,G. Vasquez enters the game for K. Lowry
2:14.0,Turnover by N. Batum (bad pass),,59-51,,
2:03.0,,,59-53,2,A. Johnson makes 2-pt shot from 9 ft (assist by G. Vasquez)
1:38.0,D. Lillard makes 2-pt shot from 2 ft,2,61-53,,
1:22.0,,,61-53,,D. DeRozan misses 2-pt shot from 15 ft
1:20.0,Defensive rebound by D. Lillard,,61-53,,
1:10.0,L. Aldridge makes 2-pt shot from 19 ft (assist by N. Batum),2,63-53,,
0:53.0,,,63-53,,A. Johnson misses 2-pt shot from 5 ft (block by R. Lopez)
0:51.0,,,63-53,,Offensive rebound by A. Johnson
0:49.0,,,63-53,,A. Johnson misses 2-pt shot at rim
0:47.0,Defensive rebound by R. Lopez,,63-53,,
0:31.0,D. Lillard misses 2-pt shot from 7 ft,,63-53,,
