time,Indiana,pts.away,score,pts.home,Dallas
7:44.0,Personal foul by D. Sloan (drawn by M. Ellis),,9-10,,
7:41.0,,,9-10,,M. Ellis misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by I. Mahinmi,,9-10,,
7:32.0,L. Scola misses 2-pt shot from 7 ft,,9-10,,
7:31.0,,,9-10,,Defensive rebound by M. Ellis
7:17.0,,,9-10,,C. Parsons misses 2-pt shot from 5 ft
7:16.0,Defensive rebound by L. Scola,,9-10,,
7:11.0,D. Sloan makes 2-pt shot from 6 ft,2,11-10,,
7:11.0,Shooting foul by J. Nelson (drawn by D. Sloan),,11-10,,
7:11.0,D. Sloan misses free throw 1 of 1,,11-10,,
7:09.0,,,11-10,,Defensive rebound by D. Nowitzki
6:55.0,,,11-12,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by T. Chandler)
6:27.0,L. Scola misses 3-pt shot from 28 ft,,11-12,,
6:27.0,Offensive rebound by Team,,11-12,,
6:27.0,Turnover by Team (shot clock),,11-12,,
6:13.0,,,11-12,,M. Ellis misses 2-pt shot from 20 ft
6:12.0,Defensive rebound by I. Mahinmi,,11-12,,
6:04.0,Offensive foul by I. Mahinmi,,11-12,,
6:04.0,Turnover by I. Mahinmi (offensive foul),,11-12,,
6:00.0,Personal foul by R. Stuckey (drawn by D. Nowitzki),,11-12,,
6:00.0,,,11-12,,A. Aminu enters the game for D. Nowitzki
5:50.0,,,11-12,,J. Nelson misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by R. Stuckey,,11-12,,
5:32.0,D. Sloan makes 2-pt shot from 17 ft,2,13-12,,
5:20.0,,,13-12,,C. Parsons misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by L. Scola,,13-12,,
5:07.0,L. Scola makes 2-pt shot from 17 ft (assist by D. Sloan),2,15-12,,
5:06.0,,,15-12,,Dallas full timeout
5:06.0,C. Copeland enters the game for L. Scola,,15-12,,
4:48.0,,,15-14,2,M. Ellis makes 2-pt shot from 10 ft
4:22.0,Turnover by Team (shot clock),,15-14,,
4:06.0,,,15-16,2,M. Ellis makes 2-pt shot from 16 ft
3:47.0,C. Copeland makes 3-pt shot from 22 ft (assist by R. Stuckey),3,18-16,,
3:34.0,,,18-18,2,C. Parsons makes 2-pt shot at rim (assist by J. Nelson)
3:16.0,R. Stuckey misses 2-pt shot from 7 ft,,18-18,,
3:16.0,Offensive rebound by Team,,18-18,,
3:16.0,,,18-18,,B. Wright enters the game for T. Chandler
3:16.0,,,18-18,,D. Harris enters the game for J. Nelson
3:16.0,C. Miles enters the game for S. Hill,,18-18,,
3:09.0,C. Copeland makes 3-pt shot from 24 ft (assist by D. Sloan),3,21-18,,
2:54.0,,,21-18,,Turnover by B. Wright (traveling)
2:54.0,Indiana full timeout,,21-18,,
2:54.0,D. Rudez enters the game for R. Stuckey,,21-18,,
2:36.0,D. Sloan makes 2-pt shot from 19 ft,2,23-18,,
2:16.0,,,23-18,,M. Ellis misses 2-pt shot from 16 ft
2:16.0,Defensive rebound by Team,,23-18,,
1:53.0,C. Miles misses 2-pt shot from 12 ft,,23-18,,
1:52.0,,,23-18,,Defensive rebound by C. Parsons
1:45.0,,,23-20,2,C. Parsons makes 2-pt shot at rim
1:33.0,Offensive foul by I. Mahinmi,,23-20,,
1:33.0,Turnover by I. Mahinmi (offensive foul),,23-20,,
1:33.0,,,23-20,,J. Barea enters the game for M. Ellis
1:33.0,,,23-20,,D. Nowitzki enters the game for C. Parsons
1:33.0,L. Allen enters the game for I. Mahinmi,,23-20,,
1:16.0,,,23-22,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
1:00.0,C. Miles misses 3-pt shot from 22 ft,,23-22,,
0:59.0,,,23-22,,Defensive rebound by B. Wright
0:53.0,Personal foul by C. Copeland (drawn by D. Harris),,23-22,,
0:40.0,,,23-22,,J. Barea misses 2-pt shot at rim
0:38.0,Defensive rebound by L. Allen,,23-22,,
0:28.0,,,23-22,,Personal foul by A. Aminu (drawn by C. Copeland)
0:18.0,D. Sloan makes 2-pt shot from 2 ft,2,25-22,,
0:18.0,Shooting foul by J. Barea (drawn by D. Sloan),,25-22,,
0:18.0,L. Scola enters the game for C. Copeland,,25-22,,
0:18.0,D. Sloan misses free throw 1 of 1,,25-22,,
0:18.0,,,25-22,,Defensive rebound by A. Aminu
0:06.0,,,25-24,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by J. Barea)
0:02.0,D. Sloan misses 3-pt shot from 25 ft,,25-24,,
0:01.0,,,25-24,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by D. Rudez (bad pass; steal by A. Aminu),,25-24,,
11:38.0,,,25-26,2,A. Aminu makes 2-pt shot from 5 ft (assist by J. Barea)
11:38.0,,,25-26,,Shooting foul by D. Rudez (drawn by A. Aminu)
11:38.0,,,25-27,1,A. Aminu makes free throw 1 of 1
11:27.0,,,25-27,,Personal foul by D. Harris (drawn by C. Miles)
11:14.0,L. Scola misses 2-pt shot from 6 ft,,25-27,,
11:13.0,,,25-27,,Defensive rebound by D. Nowitzki
11:04.0,,,25-29,2,B. Wright makes 2-pt shot at rim (assist by D. Harris)
10:49.0,D. Rudez makes 2-pt shot from 22 ft (assist by A. Price),2,27-29,,
10:29.0,,,27-29,,J. Barea misses 2-pt shot from 5 ft (block by L. Allen)
10:29.0,,,27-29,,Offensive rebound by Team
10:25.0,,,27-29,,D. Harris misses 2-pt shot from 4 ft
10:24.0,Defensive rebound by L. Scola,,27-29,,
10:19.0,,,27-29,,Shooting block foul by J. Barea (drawn by C. Miles)
10:19.0,C. Miles misses free throw 1 of 2,,27-29,,
10:19.0,Offensive rebound by Team,,27-29,,
10:19.0,C. Miles makes free throw 2 of 2,1,28-29,,
10:04.0,,,28-31,2,J. Barea makes 2-pt shot from 11 ft
9:47.0,D. Rudez makes 2-pt shot from 19 ft (assist by C. Miles),2,30-31,,
9:36.0,,,30-34,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
9:27.0,Shooting foul by D. Harris (drawn by L. Scola),,30-34,,
9:27.0,L. Scola makes free throw 1 of 2,1,31-34,,
9:27.0,,,31-34,,J. Crowder enters the game for A. Aminu
9:27.0,L. Scola makes free throw 2 of 2,1,32-34,,
9:16.0,,,32-34,,D. Harris misses 2-pt shot from 12 ft
9:15.0,Defensive rebound by C. Miles,,32-34,,
9:09.0,C. Miles makes 2-pt shot from 10 ft,2,34-34,,
8:56.0,,,34-34,,Turnover by J. Crowder (bad pass; steal by L. Scola)
8:47.0,L. Scola misses 2-pt shot from 3 ft (block by B. Wright),,34-34,,
8:45.0,,,34-34,,Defensive rebound by D. Nowitzki
8:35.0,,,34-34,,Shooting foul by A. Price (drawn by J. Barea)
8:35.0,Official timeout,,34-34,,
8:35.0,,,34-34,,J. Barea misses free throw 1 of 2
8:35.0,,,34-34,,Offensive rebound by Team
8:35.0,,,34-34,,J. Barea misses free throw 2 of 2
8:35.0,Defensive rebound by L. Scola,,34-34,,
8:13.0,D. Rudez misses 3-pt shot from 25 ft,,34-34,,
8:12.0,,,34-34,,Defensive rebound by D. Nowitzki
7:59.0,,,34-34,,J. Barea misses 2-pt shot from 4 ft (block by C. Miles)
7:58.0,Defensive rebound by L. Allen,,34-34,,
7:51.0,C. Miles misses 2-pt shot at rim,,34-34,,
7:50.0,Offensive rebound by L. Allen,,34-34,,
7:50.0,L. Allen makes 2-pt shot from 1 ft,2,36-34,,
7:31.0,,,36-34,,D. Nowitzki misses 2-pt shot from 11 ft
7:31.0,Defensive rebound by L. Allen,,36-34,,
7:17.0,L. Scola makes 3-pt shot from 22 ft (assist by D. Rudez),3,39-34,,
7:16.0,,,39-34,,Dallas full timeout
7:16.0,,,39-34,,T. Chandler enters the game for B. Wright
7:16.0,,,39-34,,M. Ellis enters the game for D. Harris
7:16.0,,,39-34,,J. Nelson enters the game for J. Barea
7:16.0,S. Hill enters the game for C. Miles,,39-34,,
7:08.0,,,39-36,2,M. Ellis makes 2-pt shot at rim
6:44.0,S. Hill makes 2-pt shot from 3 ft (assist by L. Scola),2,41-36,,
6:28.0,,,41-36,,D. Nowitzki misses 2-pt shot from 10 ft
6:27.0,,,41-36,,Offensive rebound by T. Chandler
6:23.0,,,41-36,,M. Ellis misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by L. Scola,,41-36,,
6:08.0,A. Price misses 3-pt shot from 25 ft,,41-36,,
6:07.0,,,41-36,,Defensive rebound by M. Ellis
5:56.0,,,41-36,,M. Ellis misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by A. Price,,41-36,,
5:54.0,,,41-36,,Personal foul by J. Crowder (drawn by A. Price)
5:54.0,,,41-36,,C. Parsons enters the game for D. Nowitzki
5:54.0,R. Stuckey enters the game for D. Rudez,,41-36,,
5:39.0,A. Price misses 2-pt shot from 9 ft,,41-36,,
5:38.0,Offensive rebound by A. Price,,41-36,,
5:36.0,Turnover by A. Price (lost ball; steal by J. Nelson),,41-36,,
5:32.0,,,41-36,,Offensive charge foul by J. Crowder
5:32.0,,,41-36,,Turnover by J. Crowder (offensive foul)
5:32.0,D. Sloan enters the game for A. Price,,41-36,,
5:16.0,Shooting foul by C. Parsons (drawn by L. Scola),,41-36,,
5:16.0,L. Scola makes free throw 1 of 2,1,42-36,,
5:16.0,,,42-36,,B. Wright enters the game for J. Crowder
5:16.0,L. Scola misses free throw 2 of 2,,42-36,,
5:15.0,,,42-36,,Defensive rebound by T. Chandler
4:54.0,,,42-39,3,C. Parsons makes 3-pt shot from 23 ft (assist by J. Nelson)
4:36.0,Shooting foul by T. Chandler (drawn by L. Scola),,42-39,,
4:36.0,L. Scola makes free throw 1 of 2,1,43-39,,
4:36.0,L. Scola makes free throw 2 of 2,1,44-39,,
4:27.0,,,44-41,2,J. Nelson makes 2-pt shot from 1 ft
4:11.0,,,44-41,,Loose ball foul by T. Chandler (drawn by R. Stuckey)
4:11.0,R. Stuckey makes free throw 1 of 2,1,45-41,,
4:11.0,R. Stuckey makes free throw 2 of 2,1,46-41,,
3:57.0,,,46-43,2,B. Wright makes 2-pt shot at rim (assist by M. Ellis)
3:40.0,Turnover by D. Sloan (bad pass; steal by C. Parsons),,46-43,,
3:37.0,,,46-43,,Offensive charge foul by C. Parsons
3:37.0,,,46-43,,Turnover by C. Parsons (offensive foul)
3:20.0,R. Stuckey misses 2-pt shot from 11 ft,,46-43,,
3:19.0,,,46-43,,Defensive rebound by T. Chandler
2:54.0,,,46-43,,C. Parsons misses 2-pt shot from 22 ft
2:53.0,Defensive rebound by L. Allen,,46-43,,
2:48.0,L. Scola misses 2-pt shot from 1 ft,,46-43,,
2:47.0,,,46-43,,Defensive rebound by T. Chandler
2:40.0,,,46-45,2,C. Parsons makes 2-pt shot from 2 ft (assist by J. Nelson)
2:39.0,Indiana full timeout,,46-45,,
2:39.0,,,46-45,,D. Nowitzki enters the game for T. Chandler
2:39.0,C. Copeland enters the game for L. Scola,,46-45,,
2:39.0,I. Mahinmi enters the game for L. Allen,,46-45,,
2:14.0,S. Hill misses 3-pt shot from 24 ft,,46-45,,
2:14.0,Offensive rebound by Team,,46-45,,
2:14.0,Turnover by Team (shot clock),,46-45,,
2:03.0,,,46-45,,C. Parsons misses 2-pt shot from 1 ft
2:01.0,,,46-45,,Offensive rebound by B. Wright
2:01.0,,,46-47,2,B. Wright makes 2-pt shot from 1 ft
1:44.0,D. Sloan makes 3-pt shot from 24 ft (assist by R. Stuckey),3,49-47,,
1:28.0,,,49-47,,Shooting foul by S. Hill (drawn by C. Parsons)
1:28.0,,,49-48,1,C. Parsons makes free throw 1 of 2
1:28.0,C. Miles enters the game for S. Hill,,49-48,,
1:28.0,,,49-48,,C. Parsons misses free throw 2 of 2
1:27.0,Defensive rebound by I. Mahinmi,,49-48,,
1:09.0,C. Copeland makes 3-pt shot from 22 ft (assist by R. Stuckey),3,52-48,,
1:00.0,,,52-48,,D. Nowitzki misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by I. Mahinmi,,52-48,,
0:53.0,C. Copeland misses 2-pt shot from 1 ft (block by D. Nowitzki),,52-48,,
0:53.0,Offensive rebound by Team,,52-48,,
0:53.0,,,52-48,,T. Chandler enters the game for B. Wright
0:40.0,R. Stuckey makes 3-pt shot from 22 ft (assist by C. Miles),3,55-48,,
0:22.0,,,55-48,,D. Nowitzki misses 2-pt shot from 8 ft
0:21.0,,,55-48,,Offensive rebound by T. Chandler
0:21.0,Loose ball foul by R. Stuckey (drawn by T. Chandler),,55-48,,
0:21.0,,,55-49,1,T. Chandler makes free throw 1 of 2
0:21.0,,,55-50,1,T. Chandler makes free throw 2 of 2
0:17.0,Indiana full timeout,,55-50,,
0:17.0,,,55-50,,A. Aminu enters the game for D. Nowitzki
0:17.0,L. Scola enters the game for I. Mahinmi,,55-50,,
0:01.0,R. Stuckey misses 2-pt shot from 7 ft,,55-50,,
0:00.0,,,55-50,,Defensive rebound by J. Nelson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,I. Mahinmi makes 2-pt shot from 7 ft (assist by D. Sloan),2,57-50,,
11:22.0,,,57-53,3,J. Nelson makes 3-pt shot from 24 ft (assist by M. Ellis)
11:05.0,Turnover by L. Scola (bad pass; steal by M. Ellis),,57-53,,
10:56.0,,,57-55,2,M. Ellis makes 2-pt shot from 20 ft
10:36.0,I. Mahinmi makes 2-pt shot from 6 ft (assist by L. Scola),2,59-55,,
10:23.0,,,59-57,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
10:07.0,,,59-57,,Personal foul by J. Nelson (drawn by D. Sloan)
9:54.0,R. Stuckey misses 2-pt shot from 18 ft,,59-57,,
9:53.0,,,59-57,,Defensive rebound by D. Nowitzki
9:45.0,,,59-57,,Turnover by M. Ellis (traveling)
9:26.0,R. Stuckey misses 3-pt shot from 24 ft,,59-57,,
9:25.0,,,59-57,,Defensive rebound by T. Chandler
9:16.0,Personal block foul by S. Hill (drawn by J. Nelson),,59-57,,
9:04.0,,,59-57,,C. Parsons misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by D. Sloan,,59-57,,
8:56.0,D. Sloan makes 2-pt shot from 7 ft,2,61-57,,
8:32.0,,,61-59,2,D. Nowitzki makes 2-pt shot from 10 ft
8:16.0,S. Hill makes 2-pt shot from 17 ft,2,63-59,,
7:54.0,,,63-61,2,M. Ellis makes 2-pt shot from 6 ft
7:54.0,,,63-61,,Shooting foul by R. Stuckey (drawn by M. Ellis)
7:54.0,,,63-62,1,M. Ellis makes free throw 1 of 1
7:42.0,S. Hill makes 2-pt shot at rim,2,65-62,,
7:24.0,,,65-62,,M. Ellis misses 2-pt shot from 20 ft
7:23.0,,,65-62,,Offensive rebound by T. Chandler
7:19.0,,,65-62,,J. Nelson misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by S. Hill,,65-62,,
7:08.0,,,65-62,,Personal foul by J. Nelson (drawn by D. Sloan)
7:08.0,,,65-62,,D. Harris enters the game for J. Nelson
6:53.0,I. Mahinmi misses 2-pt shot from 18 ft,,65-62,,
6:53.0,Offensive rebound by Team,,65-62,,
6:53.0,Turnover by Team (shot clock),,65-62,,
6:43.0,,,65-64,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by M. Ellis)
6:25.0,L. Scola makes 2-pt shot from 7 ft,2,67-64,,
6:13.0,Personal foul by L. Scola (drawn by D. Nowitzki),,67-64,,
6:04.0,,,67-66,2,M. Ellis makes 2-pt shot from 8 ft
5:41.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by R. Stuckey),2,69-66,,
5:25.0,Personal foul by L. Scola (drawn by D. Nowitzki),,69-66,,
5:25.0,,,69-66,,Dallas full timeout
5:25.0,,,69-66,,B. Wright enters the game for D. Nowitzki
5:18.0,,,69-66,,Offensive charge foul by B. Wright
5:18.0,,,69-66,,Turnover by B. Wright (offensive foul)
5:05.0,Shooting foul by D. Harris (drawn by D. Sloan),,69-66,,
5:05.0,C. Copeland enters the game for L. Scola,,69-66,,
5:05.0,D. Sloan misses free throw 1 of 3,,69-66,,
5:05.0,Offensive rebound by Team,,69-66,,
5:05.0,D. Sloan makes free throw 2 of 3,1,70-66,,
5:05.0,D. Sloan makes free throw 3 of 3,1,71-66,,
4:56.0,,,71-66,,Turnover by M. Ellis (lost ball; steal by R. Stuckey)
4:52.0,Shooting foul by M. Ellis (drawn by D. Sloan),,71-66,,
4:52.0,D. Sloan makes free throw 1 of 2,1,72-66,,
4:52.0,D. Sloan makes free throw 2 of 2,1,73-66,,
4:38.0,,,73-66,,Turnover by D. Harris (bad pass)
4:27.0,R. Stuckey misses 2-pt shot from 3 ft (block by B. Wright),,73-66,,
4:24.0,Offensive rebound by S. Hill,,73-66,,
4:24.0,Turnover by S. Hill (traveling),,73-66,,
4:18.0,Shooting block foul by C. Copeland (drawn by B. Wright),,73-66,,
4:18.0,,,73-67,1,B. Wright makes free throw 1 of 2
4:18.0,,,73-67,,B. Wright misses free throw 2 of 2
4:16.0,,,73-67,,Offensive rebound by Team
4:10.0,,,73-70,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Harris)
3:48.0,C. Copeland makes 2-pt shot from 6 ft,2,75-70,,
3:35.0,,,75-70,,Shooting foul by C. Copeland (drawn by M. Ellis)
3:35.0,,,75-70,,M. Ellis misses free throw 1 of 2
3:35.0,,,75-70,,Offensive rebound by Team
3:35.0,,,75-71,1,M. Ellis makes free throw 2 of 2
3:15.0,I. Mahinmi makes 2-pt shot from 5 ft,2,77-71,,
3:01.0,,,77-73,2,M. Ellis makes 2-pt shot from 1 ft
2:50.0,Indiana full timeout,,77-73,,
2:50.0,,,77-73,,D. Nowitzki enters the game for T. Chandler
2:41.0,Turnover by I. Mahinmi (bad pass),,77-73,,
2:26.0,,,77-73,,M. Ellis misses 2-pt shot from 15 ft
2:25.0,Defensive rebound by S. Hill,,77-73,,
2:06.0,C. Copeland misses 2-pt shot from 3 ft,,77-73,,
2:05.0,Offensive rebound by S. Hill,,77-73,,
2:05.0,S. Hill makes 2-pt shot at rim,2,79-73,,
1:48.0,,,79-76,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis)
1:28.0,,,79-76,,Shooting block foul by C. Parsons (drawn by S. Hill)
1:28.0,S. Hill makes free throw 1 of 2,1,80-76,,
1:28.0,C. Miles enters the game for R. Stuckey,,80-76,,
1:28.0,L. Scola enters the game for C. Copeland,,80-76,,
1:28.0,S. Hill makes free throw 2 of 2,1,81-76,,
1:17.0,,,81-76,,Turnover by M. Ellis (lost ball; steal by D. Sloan)
1:12.0,D. Sloan makes 2-pt shot at rim,2,83-76,,
0:52.0,,,83-76,,Turnover by M. Ellis (bad pass; steal by C. Miles)
0:49.0,,,83-76,,Shooting block foul by D. Harris (drawn by D. Sloan)
0:49.0,D. Sloan makes free throw 1 of 2,1,84-76,,
0:49.0,,,84-76,,J. Barea enters the game for M. Ellis
0:49.0,,,84-76,,A. Aminu enters the game for C. Parsons
0:49.0,L. Allen enters the game for I. Mahinmi,,84-76,,
0:49.0,D. Sloan makes free throw 2 of 2,1,85-76,,
0:36.0,,,85-76,,D. Harris misses 2-pt shot from 5 ft
0:34.0,Defensive rebound by L. Scola,,85-76,,
0:29.0,S. Hill misses 2-pt shot from 4 ft,,85-76,,
0:28.0,,,85-76,,Defensive rebound by A. Aminu
0:09.0,,,85-78,2,D. Nowitzki makes 2-pt shot at rim (assist by J. Barea)
0:01.0,D. Sloan misses 2-pt shot from 4 ft (block by A. Aminu),,85-78,,
0:00.0,,,85-78,,Defensive rebound by A. Aminu
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,85-78,,D. Harris misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by L. Allen,,85-78,,
11:13.0,C. Miles misses 3-pt shot from 23 ft,,85-78,,
11:12.0,,,85-78,,Defensive rebound by B. Wright
11:06.0,,,85-80,2,D. Harris makes 2-pt shot at rim
10:45.0,D. Rudez makes 3-pt shot from 24 ft (assist by D. Sloan),3,88-80,,
10:25.0,,,88-82,2,B. Wright makes 2-pt shot at rim (assist by D. Nowitzki)
10:01.0,C. Miles makes 3-pt shot from 25 ft (assist by D. Sloan),3,91-82,,
9:52.0,,,91-84,2,J. Barea makes 2-pt shot from 1 ft
9:43.0,,,91-84,,Technical foul by Team
9:43.0,D. Rudez makes technical free throw,1,92-84,,
9:43.0,A. Price enters the game for D. Sloan,,92-84,,
9:33.0,L. Scola misses 3-pt shot from 22 ft,,92-84,,
9:32.0,,,92-84,,Defensive rebound by J. Barea
9:17.0,,,92-86,2,B. Wright makes 2-pt shot from 1 ft
9:11.0,Indiana full timeout,,92-86,,
8:57.0,A. Price makes 3-pt shot from 24 ft,3,95-86,,
8:39.0,,,95-86,,Turnover by D. Nowitzki (lost ball; steal by L. Scola)
8:33.0,L. Allen misses 2-pt shot from 15 ft,,95-86,,
8:32.0,Offensive rebound by L. Allen,,95-86,,
8:28.0,D. Rudez makes 3-pt shot from 25 ft (assist by L. Allen),3,98-86,,
8:27.0,,,98-86,,Dallas full timeout
8:27.0,,,98-86,,T. Chandler enters the game for D. Nowitzki
8:27.0,,,98-86,,M. Ellis enters the game for A. Aminu
8:27.0,,,98-86,,J. Nelson enters the game for D. Harris
8:27.0,,,98-86,,C. Parsons enters the game for J. Barea
8:13.0,,,98-88,2,M. Ellis makes 2-pt shot from 16 ft
7:53.0,C. Miles misses 2-pt shot from 13 ft,,98-88,,
7:52.0,Offensive rebound by L. Scola,,98-88,,
7:52.0,,,98-88,,Loose ball foul by C. Parsons (drawn by L. Scola)
7:52.0,C. Copeland enters the game for L. Scola,,98-88,,
7:36.0,C. Copeland misses 2-pt shot from 16 ft,,98-88,,
7:35.0,,,98-88,,Defensive rebound by J. Nelson
7:18.0,,,98-90,2,B. Wright makes 2-pt shot at rim (assist by J. Nelson)
6:57.0,A. Price misses 3-pt shot from 24 ft,,98-90,,
6:54.0,,,98-90,,Defensive rebound by B. Wright
6:46.0,,,98-90,,M. Ellis misses 2-pt shot from 17 ft
6:45.0,Defensive rebound by C. Copeland,,98-90,,
6:27.0,,,98-90,,Personal foul by T. Chandler (drawn by C. Copeland)
6:27.0,S. Hill enters the game for C. Miles,,98-90,,
6:27.0,D. Sloan enters the game for A. Price,,98-90,,
6:27.0,Technical foul by Team,,98-90,,
6:27.0,,,98-90,,M. Ellis misses technical free throw
6:27.0,Offensive rebound by Team,,98-90,,
6:17.0,C. Copeland misses 2-pt shot from 7 ft,,98-90,,
6:16.0,Offensive rebound by L. Allen,,98-90,,
6:14.0,Turnover by L. Allen (bad pass),,98-90,,
6:06.0,,,98-90,,Shooting foul by L. Allen (drawn by M. Ellis)
6:06.0,,,98-91,1,M. Ellis makes free throw 1 of 2
6:06.0,R. Stuckey enters the game for D. Rudez,,98-91,,
6:06.0,,,98-91,,M. Ellis misses free throw 2 of 2
6:05.0,Defensive rebound by L. Allen,,98-91,,
5:49.0,C. Copeland misses 3-pt shot from 22 ft,,98-91,,
5:47.0,,,98-91,,Defensive rebound by C. Parsons
5:40.0,,,98-91,,C. Parsons misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by D. Sloan,,98-91,,
5:17.0,C. Copeland misses 2-pt shot from 2 ft (block by T. Chandler),,98-91,,
5:16.0,,,98-91,,Defensive rebound by T. Chandler
5:05.0,,,98-91,,Shooting foul by C. Copeland (drawn by M. Ellis)
5:05.0,,,98-92,1,M. Ellis makes free throw 1 of 2
5:05.0,,,98-92,,D. Nowitzki enters the game for B. Wright
5:05.0,L. Scola enters the game for C. Copeland,,98-92,,
5:05.0,I. Mahinmi enters the game for L. Allen,,98-92,,
5:05.0,,,98-93,1,M. Ellis makes free throw 2 of 2
4:52.0,Shooting foul by C. Parsons (drawn by I. Mahinmi),,98-93,,
4:52.0,I. Mahinmi misses free throw 1 of 2,,98-93,,
4:52.0,Offensive rebound by Team,,98-93,,
4:52.0,I. Mahinmi misses free throw 2 of 2,,98-93,,
4:51.0,,,98-93,,Defensive rebound by D. Nowitzki
4:37.0,Personal block foul by R. Stuckey (drawn by M. Ellis),,98-93,,
4:29.0,,,98-93,,Shooting foul by S. Hill (drawn by T. Chandler)
4:29.0,,,98-93,,T. Chandler misses free throw 1 of 2
4:29.0,,,98-93,,Offensive rebound by Team
4:29.0,,,98-93,,T. Chandler misses free throw 2 of 2
4:29.0,Defensive rebound by I. Mahinmi,,98-93,,
4:05.0,D. Sloan misses 2-pt shot from 17 ft,,98-93,,
4:04.0,,,98-93,,Defensive rebound by M. Ellis
3:57.0,,,98-93,,Turnover by M. Ellis (bad pass; steal by S. Hill)
3:54.0,,,98-93,,Shooting block foul by J. Nelson (drawn by S. Hill)
3:54.0,S. Hill makes free throw 1 of 2,1,99-93,,
3:54.0,S. Hill makes free throw 2 of 2,1,100-93,,
3:40.0,,,100-93,,J. Nelson misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by L. Scola,,100-93,,
3:17.0,D. Sloan makes 3-pt shot from 24 ft (assist by S. Hill),3,103-93,,
3:16.0,,,103-93,,Dallas full timeout
3:07.0,Personal foul by L. Scola (drawn by D. Nowitzki),,103-93,,
3:07.0,,,103-94,1,D. Nowitzki makes free throw 1 of 2
3:07.0,,,103-95,1,D. Nowitzki makes free throw 2 of 2
