time,Phoenix,pts.away,score,pts.home,Oklahoma City
11:41.0,M. Morris makes 2-pt shot from 14 ft,2,64-64,,
11:22.0,,,64-66,2,S. Adams makes 2-pt shot from 3 ft
11:06.0,Shooting foul by S. Ibaka (drawn by M. Morris),,64-66,,
11:06.0,M. Morris makes free throw 1 of 2,1,65-66,,
11:06.0,M. Morris misses free throw 2 of 2,,65-66,,
11:05.0,,,65-66,,Defensive rebound by Team
11:05.0,Loose ball foul by A. Len (drawn by S. Adams),,65-66,,
11:05.0,Technical foul by Team,,65-66,,
11:05.0,,,65-67,1,K. Durant makes technical free throw
10:55.0,Jump ball: S. Adams vs. P. Tucker (G. Dragic gains possession),,,,Jump ball: S. Adams vs. P. Tucker (G. Dragic gains possession)
10:55.0,,,65-67,,Turnover by K. Durant (bad pass; steal by P. Tucker)
10:49.0,G. Dragic makes 2-pt shot at rim,2,67-67,,
10:41.0,,,67-67,,Shooting foul by P. Tucker (drawn by K. Durant)
10:41.0,,,67-68,1,K. Durant makes free throw 1 of 2
10:41.0,Technical foul by P. Tucker (drawn by K. Durant),,67-68,,
10:41.0,Phoenix full timeout,,67-68,,
10:41.0,,,67-69,1,K. Durant makes technical free throw
10:41.0,,,67-70,1,K. Durant makes free throw 2 of 2
10:20.0,E. Bledsoe misses 3-pt shot from 25 ft,,67-70,,
10:19.0,,,67-70,,Defensive rebound by K. Durant
10:09.0,,,67-70,,Turnover by S. Ibaka (lost ball; steal by M. Morris)
9:54.0,E. Bledsoe misses 2-pt shot from 1 ft,,67-70,,
9:53.0,,,67-70,,Defensive rebound by K. Durant
9:47.0,,,67-70,,R. Jackson misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by M. Morris,,67-70,,
9:26.0,M. Morris misses 2-pt shot from 8 ft,,67-70,,
9:25.0,,,67-70,,Defensive rebound by S. Adams
9:14.0,,,67-70,,R. Jackson misses 2-pt shot from 2 ft (block by E. Bledsoe)
9:14.0,,,67-70,,Offensive rebound by Team
9:07.0,,,67-70,,S. Ibaka misses 2-pt shot from 4 ft
9:05.0,Defensive rebound by G. Dragic,,67-70,,
9:04.0,Turnover by M. Morris (bad pass; steal by A. Roberson),,67-70,,
8:50.0,,,67-72,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
8:50.0,,,67-72,,Shooting foul by A. Len (drawn by S. Adams)
8:50.0,M. Plumlee enters the game for A. Len,,67-72,,
8:50.0,,,67-73,1,S. Adams makes free throw 1 of 1
8:31.0,,,67-73,,Def 3 sec tech foul by S. Ibaka
8:31.0,G. Dragic misses technical free throw,,67-73,,
8:31.0,Offensive rebound by Team,,67-73,,
8:23.0,M. Morris makes 2-pt shot from 14 ft,2,69-73,,
8:23.0,Shooting foul by S. Ibaka (drawn by M. Morris),,69-73,,
8:23.0,M. Morris makes free throw 1 of 1,1,70-73,,
8:05.0,,,70-73,,A. Roberson misses 2-pt shot from 1 ft
8:03.0,Defensive rebound by M. Plumlee,,70-73,,
7:58.0,Turnover by E. Bledsoe (lost ball),,70-73,,
7:51.0,Personal foul by M. Plumlee (drawn by S. Adams),,70-73,,
7:42.0,,,70-73,,K. Durant misses 3-pt shot from 24 ft
7:42.0,,,70-73,,Offensive rebound by A. Roberson
7:29.0,,,70-73,,R. Jackson misses 3-pt shot from 24 ft
7:29.0,,,70-73,,Offensive rebound by Team
7:29.0,Loose ball foul by M. Morris (drawn by S. Ibaka),,70-73,,
7:29.0,,,70-74,1,S. Ibaka makes free throw 1 of 2
7:29.0,,,70-75,1,S. Ibaka makes free throw 2 of 2
7:18.0,E. Bledsoe makes 2-pt shot from 1 ft,2,72-75,,
7:18.0,Shooting foul by S. Adams (drawn by E. Bledsoe),,72-75,,
7:18.0,,,72-75,,K. Perkins enters the game for S. Adams
7:18.0,E. Bledsoe makes free throw 1 of 1,1,73-75,,
7:11.0,,,73-75,,Turnover by K. Perkins (bad pass; steal by P. Tucker)
7:08.0,Shooting foul by K. Durant (drawn by P. Tucker),,73-75,,
7:08.0,P. Tucker makes free throw 1 of 2,1,74-75,,
7:08.0,P. Tucker makes free throw 2 of 2,1,75-75,,
7:00.0,Personal foul by P. Tucker (drawn by K. Perkins),,75-75,,
7:00.0,,,75-76,1,K. Perkins makes free throw 1 of 2
7:00.0,,,75-77,1,K. Perkins makes free throw 2 of 2
6:51.0,P. Tucker misses 2-pt shot at rim,,75-77,,
6:50.0,,,75-77,,Defensive rebound by S. Ibaka
6:40.0,,,75-77,,R. Jackson misses 2-pt shot at rim
6:39.0,Defensive rebound by M. Plumlee,,75-77,,
6:35.0,Shooting foul by A. Roberson (drawn by G. Dragic),,75-77,,
6:35.0,G. Dragic makes free throw 1 of 2,1,76-77,,
6:35.0,G. Dragic makes free throw 2 of 2,1,77-77,,
6:33.0,,,77-77,,Oklahoma City full timeout
6:19.0,,,77-77,,K. Durant misses 2-pt shot from 12 ft
6:18.0,,,77-77,,Offensive rebound by S. Ibaka
6:07.0,,,77-77,,A. Roberson misses 3-pt shot from 23 ft
6:06.0,Defensive rebound by Team,,77-77,,
5:53.0,,,77-77,,Personal foul by R. Jackson (drawn by E. Bledsoe)
5:53.0,E. Bledsoe makes free throw 1 of 2,1,78-77,,
5:53.0,E. Bledsoe makes free throw 2 of 2,1,79-77,,
5:37.0,,,79-79,2,K. Perkins makes 2-pt shot from 1 ft (assist by K. Durant)
5:14.0,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Dragic),2,81-79,,
5:14.0,,,81-79,,Violation by S. Ibaka (def goaltending)
5:02.0,,,81-81,2,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Jackson)
4:53.0,,,81-81,,Personal foul by A. Roberson (drawn by G. Dragic)
4:53.0,G. Dragic makes free throw 1 of 2,1,82-81,,
4:53.0,,,82-81,,I. Smith enters the game for A. Roberson
4:53.0,G. Dragic makes free throw 2 of 2,1,83-81,,
4:41.0,,,83-83,2,S. Ibaka makes 2-pt shot from 16 ft (assist by I. Smith)
4:24.0,M. Morris misses 2-pt shot at rim (block by K. Perkins),,83-83,,
4:22.0,,,83-83,,Defensive rebound by K. Durant
4:18.0,,,83-83,,Turnover by K. Durant (lost ball; steal by P. Tucker)
4:15.0,M. Morris makes 2-pt shot at rim (assist by P. Tucker),2,85-83,,
3:49.0,,,85-86,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Ibaka)
3:30.0,G. Dragic misses 2-pt shot from 1 ft,,85-86,,
3:29.0,,,85-86,,Defensive rebound by K. Durant
3:23.0,,,85-89,3,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Durant)
3:21.0,Phoenix full timeout,,85-89,,
3:21.0,G. Green enters the game for M. Morris,,85-89,,
3:21.0,M. Morris enters the game for G. Dragic,,85-89,,
3:21.0,,,85-89,,P. Jones enters the game for K. Durant
3:06.0,Shooting foul by P. Jones (drawn by G. Green),,85-89,,
3:06.0,G. Green misses free throw 1 of 2,,85-89,,
3:06.0,Offensive rebound by Team,,85-89,,
3:06.0,I. Thomas enters the game for P. Tucker,,85-89,,
3:06.0,G. Green makes free throw 2 of 2,1,86-89,,
2:50.0,,,86-91,2,R. Jackson makes 2-pt shot from 16 ft
2:36.0,M. Morris misses 2-pt shot from 10 ft,,86-91,,
2:35.0,,,86-91,,Defensive rebound by S. Ibaka
2:19.0,,,86-91,,Offensive foul by S. Ibaka
2:19.0,,,86-91,,Turnover by S. Ibaka (offensive foul)
2:19.0,,,86-91,,A. Morrow enters the game for S. Ibaka
2:16.0,Turnover by I. Thomas (bad pass),,86-91,,
1:58.0,,,86-93,2,R. Jackson makes 2-pt shot from 10 ft
1:44.0,,,86-93,,Personal foul by A. Morrow (drawn by G. Green)
1:44.0,G. Green makes free throw 1 of 2,1,87-93,,
1:44.0,G. Green makes free throw 2 of 2,1,88-93,,
1:38.0,Personal foul by G. Green (drawn by A. Morrow),,88-93,,
1:38.0,,,88-94,1,A. Morrow makes free throw 1 of 2
1:38.0,,,88-95,1,A. Morrow makes free throw 2 of 2
1:24.0,G. Green misses 2-pt shot from 1 ft,,88-95,,
1:23.0,Offensive rebound by M. Plumlee,,88-95,,
1:23.0,M. Plumlee makes 2-pt shot at rim,2,90-95,,
1:08.0,,,90-95,,R. Jackson misses 2-pt shot from 18 ft
1:07.0,Defensive rebound by M. Morris,,90-95,,
1:00.0,E. Bledsoe makes 2-pt shot from 1 ft,2,92-95,,
0:46.0,,,92-95,,Shooting foul by G. Green (drawn by A. Morrow)
0:46.0,,,92-96,1,A. Morrow makes free throw 1 of 2
0:46.0,,,92-96,,A. Roberson enters the game for R. Jackson
0:46.0,,,92-97,1,A. Morrow makes free throw 2 of 2
0:34.0,,,92-97,,Personal foul by K. Perkins (drawn by I. Thomas)
0:34.0,I. Thomas makes free throw 1 of 2,1,93-97,,
0:34.0,,,93-97,,K. Durant enters the game for A. Roberson
0:34.0,P. Tucker enters the game for M. Plumlee,,93-97,,
0:34.0,I. Thomas makes free throw 2 of 2,1,94-97,,
0:28.0,,,94-97,,A. Morrow misses 3-pt shot from 24 ft
0:27.0,,,94-97,,Offensive rebound by I. Smith
0:04.0,,,94-100,3,K. Durant makes 3-pt shot from 25 ft
0:00.0,E. Bledsoe misses 3-pt shot from 27 ft,,94-100,,
0:00.0,,,94-100,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,94-100,,Shooting foul by I. Thomas (drawn by I. Smith)
11:46.0,,,94-101,1,I. Smith makes free throw 1 of 2
11:46.0,,,94-102,1,I. Smith makes free throw 2 of 2
11:27.0,Shooting foul by P. Jones (drawn by I. Thomas),,94-102,,
11:27.0,I. Thomas makes free throw 1 of 2,1,95-102,,
11:27.0,I. Thomas makes free throw 2 of 2,1,96-102,,
11:06.0,,,96-102,,R. Jackson misses 3-pt shot from 22 ft
11:05.0,Defensive rebound by I. Thomas,,96-102,,
11:00.0,,,96-102,,Violation by I. Smith (def goaltending)
11:00.0,I. Thomas makes 2-pt shot from 1 ft,2,98-102,,
10:48.0,,,98-104,2,I. Smith makes 2-pt shot from 4 ft
10:27.0,Turnover by I. Thomas (bad pass; steal by P. Jones),,98-104,,
10:22.0,,,98-106,2,P. Jones makes 2-pt shot from 1 ft
10:05.0,G. Dragic makes 2-pt shot from 8 ft,2,100-106,,
10:05.0,Shooting foul by P. Jones (drawn by G. Dragic),,100-106,,
10:05.0,M. Morris enters the game for A. Len,,100-106,,
10:05.0,G. Dragic makes free throw 1 of 1,1,101-106,,
9:45.0,,,101-106,,K. Perkins misses 2-pt shot from 5 ft
9:44.0,Defensive rebound by G. Green,,101-106,,
9:35.0,I. Thomas misses 2-pt shot from 2 ft,,101-106,,
9:34.0,,,101-106,,Defensive rebound by K. Perkins
9:29.0,,,101-108,2,I. Smith makes 2-pt shot at rim
9:09.0,G. Green misses 2-pt shot from 1 ft,,101-108,,
9:08.0,Offensive rebound by G. Green,,101-108,,
8:53.0,G. Green misses 3-pt shot from 23 ft,,101-108,,
8:51.0,,,101-108,,Defensive rebound by P. Jones
8:35.0,,,101-110,2,I. Smith makes 2-pt shot from 1 ft
8:31.0,Phoenix full timeout,,101-110,,
8:31.0,,,101-110,,K. Durant enters the game for P. Jones
8:31.0,E. Bledsoe enters the game for I. Thomas,,101-110,,
8:23.0,M. Morris makes 2-pt shot from 2 ft (assist by G. Dragic),2,103-110,,
8:00.0,,,103-110,,I. Smith misses 3-pt shot from 25 ft
7:59.0,,,103-110,,Offensive rebound by K. Perkins
7:54.0,,,103-110,,A. Morrow misses 3-pt shot from 24 ft
7:53.0,,,103-110,,Offensive rebound by I. Smith
7:49.0,,,103-110,,S. Ibaka enters the game for K. Perkins
7:41.0,,,103-110,,Shooting foul by M. Morris (drawn by K. Durant)
7:41.0,,,103-111,1,K. Durant makes free throw 1 of 2
7:41.0,,,103-112,1,K. Durant makes free throw 2 of 2
7:28.0,Shooting foul by R. Jackson (drawn by G. Green),,103-112,,
