time,Boston,pts.away,score,pts.home,LA Clippers
2:21.0,,,12-19,,S. Hawes misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by M. Thornton,,12-19,,
2:07.0,B. Bass misses 2-pt shot from 1 ft (block by G. Davis),,12-19,,
2:04.0,,,12-19,,Defensive rebound by S. Hawes
1:50.0,,,12-21,2,C. Paul makes 2-pt shot from 2 ft (assist by S. Hawes)
1:34.0,M. Smart makes 3-pt shot from 24 ft (assist by M. Thornton),3,15-21,,
1:18.0,,,15-21,,S. Hawes misses 2-pt shot from 2 ft
1:17.0,Defensive rebound by K. Olynyk,,15-21,,
1:15.0,,,15-21,,M. Barnes enters the game for C. Paul
1:11.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,17-21,,
0:46.0,,,17-23,2,G. Davis makes 2-pt shot from 1 ft
0:35.0,K. Olynyk misses 2-pt shot from 1 ft,,17-23,,
0:34.0,,,17-23,,Defensive rebound by S. Hawes
0:21.0,,,17-23,,J. Crawford misses 2-pt shot from 17 ft
0:19.0,Defensive rebound by E. Turner,,17-23,,
0:04.0,B. Bass misses 2-pt shot at rim (block by S. Hawes),,17-23,,
0:02.0,,,17-23,,Defensive rebound by J. Crawford
0:00.0,,,17-23,,J. Crawford misses 3-pt shot from 37 ft
0:00.0,,,17-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,M. Thornton misses 3-pt shot from 27 ft,,17-23,,
11:33.0,,,17-23,,Defensive rebound by G. Davis
11:21.0,,,17-23,,Turnover by A. Rivers (bad pass)
10:58.0,K. Olynyk makes 2-pt shot from 13 ft (assist by T. Prince),2,19-23,,
10:46.0,,,19-26,3,M. Barnes makes 3-pt shot from 23 ft (assist by A. Rivers)
10:30.0,B. Bass misses 2-pt shot from 13 ft,,19-26,,
10:28.0,,,19-26,,Defensive rebound by G. Davis
10:18.0,,,19-26,,Shooting foul by M. Smart (drawn by J. Crawford)
10:18.0,,,19-27,1,J. Crawford makes free throw 1 of 2
10:18.0,,,19-28,1,J. Crawford makes free throw 2 of 2
9:57.0,K. Olynyk misses 2-pt shot from 19 ft,,19-28,,
9:56.0,Offensive rebound by T. Prince,,19-28,,
9:51.0,Turnover by K. Olynyk (traveling),,19-28,,
9:45.0,,,19-28,,Offensive foul by G. Davis
9:45.0,,,19-28,,Turnover by G. Davis (offensive foul)
9:29.0,Shooting foul by J. Crawford (drawn by M. Smart),,19-28,,
9:29.0,M. Smart makes free throw 1 of 2,1,20-28,,
9:29.0,J. Sullinger enters the game for B. Bass,,20-28,,
9:29.0,M. Smart makes free throw 2 of 2,1,21-28,,
9:16.0,,,21-30,2,J. Crawford makes 2-pt shot from 18 ft
9:01.0,J. Sullinger misses 2-pt shot from 21 ft,,21-30,,
9:00.0,,,21-30,,Defensive rebound by M. Barnes
8:57.0,,,21-30,,Turnover by J. Crawford (bad pass; steal by M. Smart)
8:52.0,K. Olynyk makes 2-pt shot at rim (assist by M. Smart),2,23-30,,
8:36.0,,,23-30,,S. Hawes misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by J. Sullinger,,23-30,,
8:28.0,M. Thornton misses 2-pt shot from 20 ft,,23-30,,
8:27.0,,,23-30,,Defensive rebound by G. Davis
8:16.0,,,23-32,2,A. Rivers makes 2-pt shot from 1 ft
7:55.0,M. Smart misses 3-pt shot from 26 ft,,23-32,,
7:54.0,,,23-32,,Defensive rebound by J. Crawford
7:49.0,,,23-34,2,J. Crawford makes 2-pt shot from 20 ft
7:48.0,Boston full timeout,,23-34,,
7:48.0,,,23-34,,B. Griffin enters the game for G. Davis
7:29.0,J. Sullinger misses 2-pt shot from 2 ft (block by S. Hawes),,23-34,,
7:27.0,,,23-34,,Defensive rebound by A. Rivers
7:10.0,,,23-34,,A. Rivers misses 2-pt shot from 1 ft
7:09.0,,,23-34,,Offensive rebound by B. Griffin
7:06.0,,,23-34,,B. Griffin misses 2-pt shot from 1 ft
7:03.0,,,23-34,,Offensive rebound by B. Griffin
6:59.0,,,23-34,,A. Rivers misses 2-pt shot from 18 ft
6:58.0,Defensive rebound by T. Prince,,23-34,,
6:51.0,T. Prince misses 2-pt shot from 4 ft,,23-34,,
6:50.0,,,23-34,,Defensive rebound by S. Hawes
6:43.0,,,23-34,,Turnover by A. Rivers (bad pass; steal by K. Olynyk)
6:37.0,M. Thornton misses 3-pt shot from 25 ft,,23-34,,
6:35.0,Offensive rebound by K. Olynyk,,23-34,,
6:18.0,M. Smart misses 3-pt shot from 25 ft,,23-34,,
6:16.0,,,23-34,,Defensive rebound by S. Hawes
6:16.0,,,23-34,,LA Clippers full timeout
6:16.0,,,23-34,,D. Jordan enters the game for S. Hawes
6:16.0,,,23-34,,C. Paul enters the game for M. Barnes
6:16.0,,,23-34,,J. Redick enters the game for A. Rivers
6:16.0,A. Bradley enters the game for M. Thornton,,23-34,,
6:16.0,T. Zeller enters the game for K. Olynyk,,23-34,,
5:59.0,,,23-37,3,J. Crawford makes 3-pt shot from 25 ft
5:36.0,A. Bradley makes 3-pt shot from 25 ft (assist by M. Smart),3,26-37,,
5:21.0,,,26-37,,J. Crawford misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by J. Sullinger,,26-37,,
5:08.0,J. Sullinger makes 2-pt shot from 22 ft (assist by M. Smart),2,28-37,,
4:56.0,,,28-37,,J. Redick misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by J. Sullinger,,28-37,,
4:42.0,A. Bradley misses 2-pt shot from 4 ft (block by D. Jordan),,28-37,,
4:40.0,,,28-37,,Defensive rebound by B. Griffin
4:31.0,,,28-37,,J. Crawford misses 2-pt shot from 6 ft (block by M. Smart)
4:29.0,,,28-37,,Offensive rebound by D. Jordan
4:20.0,,,28-39,2,B. Griffin makes 2-pt shot from 20 ft (assist by J. Crawford)
3:59.0,J. Sullinger makes 3-pt shot from 24 ft (assist by T. Zeller),3,31-39,,
3:43.0,,,31-39,,J. Redick misses 2-pt shot from 16 ft
3:42.0,Defensive rebound by J. Sullinger,,31-39,,
3:27.0,J. Sullinger misses 2-pt shot from 17 ft,,31-39,,
3:26.0,Offensive rebound by T. Zeller,,31-39,,
3:24.0,T. Zeller misses 2-pt shot from 2 ft (block by D. Jordan),,31-39,,
3:24.0,Offensive rebound by Team,,31-39,,
3:24.0,,,31-39,,M. Barnes enters the game for J. Crawford
3:24.0,E. Turner enters the game for T. Prince,,31-39,,
3:07.0,T. Zeller makes 2-pt shot from 4 ft (assist by M. Smart),2,33-39,,
2:51.0,,,33-41,2,B. Griffin makes 2-pt shot from 18 ft (assist by M. Barnes)
2:35.0,J. Sullinger makes 2-pt shot from 16 ft (assist by E. Turner),2,35-41,,
2:34.0,,,35-41,,Personal foul by M. Barnes (drawn by T. Zeller)
2:34.0,Personal foul by T. Zeller,,35-41,,
2:34.0,Official timeout,,35-41,,
2:34.0,B. Bass enters the game for T. Zeller,,35-41,,
2:14.0,,,35-44,3,C. Paul makes 3-pt shot from 22 ft (assist by B. Griffin)
1:53.0,E. Turner misses 3-pt shot from 22 ft,,35-44,,
1:52.0,,,35-44,,Defensive rebound by B. Griffin
1:33.0,,,35-44,,Turnover by C. Paul (bad pass; steal by J. Sullinger)
1:24.0,A. Bradley misses 2-pt shot from 17 ft,,35-44,,
1:22.0,,,35-44,,Defensive rebound by C. Paul
1:15.0,,,35-44,,Turnover by M. Barnes (bad pass)
0:56.0,B. Bass misses 2-pt shot from 12 ft,,35-44,,
0:55.0,Offensive rebound by J. Sullinger,,35-44,,
0:55.0,J. Sullinger makes 2-pt shot at rim,2,37-44,,
0:39.0,,,37-44,,B. Griffin misses 2-pt shot from 20 ft
0:37.0,Defensive rebound by J. Sullinger,,37-44,,
0:27.0,Turnover by B. Bass (traveling),,37-44,,
0:27.0,,,37-44,,LA Clippers full timeout
0:27.0,,,37-44,,J. Crawford enters the game for D. Jordan
0:06.0,,,37-47,3,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul)
0:06.0,Boston full timeout,,37-47,,
0:06.0,,,37-47,,A. Rivers enters the game for M. Barnes
0:06.0,,,37-47,,D. Jones enters the game for J. Redick
0:06.0,,,37-47,,D. Jordan enters the game for J. Crawford
0:06.0,M. Thornton enters the game for A. Bradley,,37-47,,
0:06.0,K. Olynyk enters the game for B. Bass,,37-47,,
0:03.0,,,37-47,,Personal take foul by D. Jones (drawn by E. Turner)
0:01.0,J. Sullinger misses 3-pt shot from 25 ft,,37-47,,
0:00.0,Offensive rebound by Team,,37-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,A. Bradley misses 3-pt shot from 33 ft,,37-47,,
11:36.0,Offensive rebound by Team,,37-47,,
11:36.0,Turnover by Team (shot clock),,37-47,,
11:25.0,,,37-49,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
11:02.0,Turnover by A. Bradley (back court),,37-49,,
10:49.0,,,37-49,,M. Barnes misses 3-pt shot from 23 ft
10:48.0,Defensive rebound by J. Sullinger,,37-49,,
10:32.0,T. Zeller makes 2-pt shot from 5 ft (assist by E. Turner),2,39-49,,
10:12.0,,,39-49,,J. Redick misses 2-pt shot from 20 ft
10:11.0,Defensive rebound by E. Turner,,39-49,,
10:00.0,T. Zeller misses 2-pt shot from 17 ft,,39-49,,
9:58.0,,,39-49,,Defensive rebound by B. Griffin
9:50.0,,,39-51,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
9:27.0,E. Turner makes 3-pt shot from 25 ft,3,42-51,,
9:07.0,,,42-53,2,B. Griffin makes 2-pt shot from 7 ft
8:51.0,Turnover by T. Zeller (bad pass; steal by D. Jordan),,42-53,,
8:45.0,,,42-56,3,J. Redick makes 3-pt shot from 24 ft (assist by D. Jordan)
8:26.0,Shooting foul by C. Paul (drawn by E. Turner),,42-56,,
8:26.0,E. Turner makes free throw 1 of 2,1,43-56,,
8:26.0,E. Turner makes free throw 2 of 2,1,44-56,,
8:18.0,,,44-56,,J. Redick misses 2-pt shot from 2 ft (block by T. Zeller)
8:16.0,,,44-56,,Offensive rebound by D. Jordan
8:16.0,,,44-58,2,D. Jordan makes 2-pt shot at rim
7:58.0,J. Sullinger misses 2-pt shot from 13 ft,,44-58,,
7:56.0,Offensive rebound by J. Crowder,,44-58,,
7:56.0,J. Crowder misses 2-pt shot from 1 ft,,44-58,,
7:55.0,Offensive rebound by T. Zeller,,44-58,,
7:55.0,Shooting foul by B. Griffin (drawn by T. Zeller),,44-58,,
7:55.0,T. Zeller makes free throw 1 of 2,1,45-58,,
7:55.0,T. Zeller misses free throw 2 of 2,,45-58,,
7:54.0,,,45-58,,Defensive rebound by B. Griffin
7:34.0,,,45-60,2,D. Jordan makes 2-pt shot from 1 ft (assist by M. Barnes)
7:14.0,J. Sullinger misses 2-pt shot from 1 ft (block by D. Jordan),,45-60,,
7:14.0,,,45-60,,Defensive rebound by Team
7:05.0,,,45-62,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
7:02.0,Boston full timeout,,45-62,,
6:41.0,E. Turner misses 3-pt shot from 24 ft,,45-62,,
6:40.0,,,45-62,,Defensive rebound by C. Paul
6:32.0,,,45-62,,C. Paul misses 2-pt shot from 15 ft
6:30.0,,,45-62,,Offensive rebound by D. Jordan
6:30.0,,,45-64,2,D. Jordan makes 2-pt shot from 1 ft
6:14.0,J. Crowder misses 3-pt shot from 23 ft (block by M. Barnes),,45-64,,
6:14.0,Offensive rebound by Team,,45-64,,
6:14.0,K. Olynyk enters the game for T. Zeller,,45-64,,
6:14.0,M. Thornton enters the game for J. Crowder,,45-64,,
6:10.0,J. Sullinger makes 3-pt shot from 24 ft (assist by E. Turner),3,48-64,,
5:45.0,,,48-66,2,B. Griffin makes 2-pt shot from 19 ft
5:23.0,Turnover by K. Olynyk (bad pass; steal by C. Paul),,48-66,,
5:17.0,,,48-69,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
4:56.0,,,48-69,,Def 3 sec tech foul by M. Barnes
4:56.0,M. Thornton misses technical free throw,,48-69,,
4:56.0,Offensive rebound by Team,,48-69,,
4:56.0,M. Smart enters the game for A. Bradley,,48-69,,
4:50.0,M. Thornton misses 2-pt shot from 2 ft (block by D. Jordan),,48-69,,
4:48.0,,,48-69,,Defensive rebound by C. Paul
4:32.0,,,48-69,,Turnover by C. Paul (bad pass; steal by K. Olynyk)
4:26.0,M. Smart misses 2-pt shot from 4 ft,,48-69,,
4:21.0,,,48-69,,Defensive rebound by B. Griffin
4:14.0,,,48-71,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
4:04.0,K. Olynyk misses 3-pt shot from 25 ft,,48-71,,
4:01.0,,,48-71,,Defensive rebound by B. Griffin
3:55.0,,,48-71,,D. Jordan misses 2-pt shot from 1 ft
3:51.0,Defensive rebound by K. Olynyk,,48-71,,
3:45.0,M. Smart makes 3-pt shot from 25 ft (assist by E. Turner),3,51-71,,
3:44.0,,,51-71,,LA Clippers full timeout
3:44.0,B. Bass enters the game for J. Sullinger,,51-71,,
3:26.0,,,51-71,,B. Griffin misses 2-pt shot from 18 ft
3:25.0,Defensive rebound by E. Turner,,51-71,,
3:10.0,Shooting foul by J. Redick (drawn by B. Bass),,51-71,,
3:10.0,B. Bass misses free throw 1 of 2,,51-71,,
3:10.0,Offensive rebound by Team,,51-71,,
3:10.0,,,51-71,,J. Crawford enters the game for M. Barnes
3:10.0,B. Bass makes free throw 2 of 2,1,52-71,,
2:47.0,,,52-71,,B. Griffin misses 2-pt shot from 19 ft
2:45.0,,,52-71,,Offensive rebound by D. Jordan
2:40.0,,,52-71,,C. Paul misses 2-pt shot from 14 ft
2:39.0,Defensive rebound by E. Turner,,52-71,,
2:26.0,M. Thornton makes 3-pt shot from 24 ft (assist by K. Olynyk),3,55-71,,
2:11.0,,,55-74,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
1:51.0,B. Bass makes 2-pt shot from 14 ft (assist by M. Smart),2,57-74,,
1:32.0,,,57-74,,Turnover by D. Jordan (3 sec)
1:32.0,,,57-74,,A. Rivers enters the game for C. Paul
1:32.0,,,57-74,,S. Hawes enters the game for D. Jordan
1:22.0,K. Olynyk misses 3-pt shot from 25 ft,,57-74,,
1:21.0,Offensive rebound by Team,,57-74,,
1:15.0,Turnover by M. Smart (bad pass),,57-74,,
1:15.0,,,57-74,,D. Jones enters the game for J. Redick
0:51.0,,,57-74,,S. Hawes misses 2-pt shot from 18 ft
0:49.0,Defensive rebound by K. Olynyk,,57-74,,
0:43.0,B. Bass makes 2-pt shot at rim (assist by M. Thornton),2,59-74,,
0:43.0,Shooting foul by S. Hawes (drawn by B. Bass),,59-74,,
0:43.0,T. Prince enters the game for E. Turner,,59-74,,
0:43.0,B. Bass makes free throw 1 of 1,1,60-74,,
0:30.0,,,60-74,,J. Crawford misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by K. Olynyk,,60-74,,
0:06.0,M. Thornton misses 2-pt shot from 15 ft,,60-74,,
0:04.0,Offensive rebound by B. Bass,,60-74,,
0:04.0,B. Bass makes 2-pt shot at rim,2,62-74,,
0:01.0,,,62-74,,J. Crawford misses 3-pt shot from 30 ft
0:00.0,,,62-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,62-74,,J. Crawford misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by K. Olynyk,,62-74,,
11:37.0,Turnover by M. Thornton (bad pass; steal by A. Rivers),,62-74,,
11:25.0,,,62-76,2,D. Jones makes 2-pt shot from 1 ft (assist by S. Hawes)
11:01.0,M. Smart makes 3-pt shot from 24 ft (assist by K. Olynyk),3,65-76,,
10:46.0,,,65-79,3,S. Hawes makes 3-pt shot from 25 ft (assist by A. Rivers)
10:29.0,K. Olynyk makes 2-pt shot from 19 ft (assist by M. Thornton),2,67-79,,
10:04.0,,,67-81,2,S. Hawes makes 2-pt shot from 1 ft (assist by J. Crawford)
9:52.0,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart),3,70-81,,
9:36.0,,,70-81,,S. Hawes misses 3-pt shot from 22 ft
9:35.0,Defensive rebound by M. Smart,,70-81,,
9:10.0,K. Olynyk makes 2-pt shot at rim (assist by B. Bass),2,72-81,,
8:45.0,,,72-83,2,G. Davis makes 2-pt shot from 12 ft (assist by A. Rivers)
8:20.0,M. Smart makes 3-pt shot from 24 ft,3,75-83,,
8:05.0,,,75-83,,Shooting foul by K. Olynyk (drawn by J. Crawford)
8:05.0,Official timeout,,75-83,,
8:05.0,,,75-83,,D. Jordan enters the game for G. Davis
8:05.0,,,75-83,,M. Barnes enters the game for D. Jones
8:05.0,,,75-84,1,J. Crawford makes free throw 1 of 2
8:05.0,,,75-85,1,J. Crawford makes free throw 2 of 2
7:52.0,Turnover by M. Thornton (bad pass; steal by M. Barnes),,75-85,,
7:31.0,,,75-85,,S. Hawes misses 2-pt shot from 18 ft
7:25.0,,,75-85,,Offensive rebound by D. Jordan
7:17.0,,,75-85,,M. Barnes misses 2-pt shot from 2 ft
7:16.0,,,75-85,,Offensive rebound by S. Hawes
7:16.0,,,75-87,2,S. Hawes makes 2-pt shot at rim
6:57.0,M. Thornton makes 3-pt shot from 25 ft,3,78-87,,
6:30.0,,,78-89,2,J. Crawford makes 2-pt shot from 1 ft
6:24.0,K. Olynyk misses 2-pt shot at rim,,78-89,,
6:20.0,,,78-89,,Defensive rebound by M. Barnes
6:11.0,Personal foul by T. Prince (drawn by J. Crawford),,78-89,,
6:11.0,,,78-89,,B. Griffin enters the game for S. Hawes
6:11.0,,,78-89,,C. Paul enters the game for A. Rivers
6:00.0,,,78-89,,J. Crawford misses 2-pt shot from 3 ft
5:59.0,Defensive rebound by M. Smart,,78-89,,
5:56.0,Shooting foul by M. Barnes (drawn by K. Olynyk),,78-89,,
5:56.0,,,78-89,,LA Clippers full timeout
5:56.0,K. Olynyk misses free throw 1 of 2,,78-89,,
5:56.0,Offensive rebound by Team,,78-89,,
5:56.0,K. Olynyk misses free throw 2 of 2,,78-89,,
5:55.0,,,78-89,,Defensive rebound by C. Paul
5:55.0,Personal foul by K. Olynyk (drawn by C. Paul),,78-89,,
5:41.0,,,78-89,,C. Paul misses 2-pt shot from 14 ft
5:39.0,Defensive rebound by M. Thornton,,78-89,,
5:33.0,M. Thornton makes 2-pt shot at rim,2,80-89,,
5:18.0,,,80-89,,Turnover by J. Crawford (bad pass; steal by K. Olynyk)
5:10.0,B. Bass makes 2-pt shot at rim (assist by M. Thornton),2,82-89,,
5:10.0,Shooting foul by J. Crawford (drawn by B. Bass),,82-89,,
5:10.0,,,82-89,,J. Redick enters the game for J. Crawford
5:10.0,B. Bass makes free throw 1 of 1,1,83-89,,
4:58.0,,,83-91,2,B. Griffin makes 2-pt shot from 4 ft (assist by J. Redick)
4:38.0,M. Thornton makes 2-pt shot from 18 ft (assist by M. Smart),2,85-91,,
4:18.0,Personal foul by B. Bass (drawn by B. Griffin),,85-91,,
4:05.0,,,85-91,,J. Redick misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by Team,,85-91,,
3:50.0,M. Thornton makes 3-pt shot from 26 ft,3,88-91,,
3:23.0,,,88-91,,M. Barnes misses 3-pt shot from 24 ft
3:22.0,,,88-91,,Offensive rebound by D. Jordan
3:16.0,Personal foul by M. Smart (drawn by B. Griffin),,88-91,,
3:16.0,,,88-92,1,B. Griffin makes free throw 1 of 2
3:16.0,E. Turner enters the game for T. Prince,,88-92,,
3:16.0,,,88-93,1,B. Griffin makes free throw 2 of 2
3:02.0,B. Bass misses 2-pt shot from 15 ft,,88-93,,
3:01.0,,,88-93,,Defensive rebound by C. Paul
2:59.0,Personal take foul by B. Bass (drawn by D. Jordan),,88-93,,
2:59.0,Boston full timeout,,88-93,,
2:59.0,,,88-93,,D. Jordan misses free throw 1 of 2
2:59.0,,,88-93,,Offensive rebound by Team
2:59.0,,,88-93,,D. Jordan misses free throw 2 of 2
2:57.0,Defensive rebound by K. Olynyk,,88-93,,
2:39.0,M. Thornton misses 3-pt shot from 25 ft,,88-93,,
2:38.0,,,88-93,,Defensive rebound by C. Paul
2:34.0,Personal take foul by K. Olynyk (drawn by D. Jordan),,88-93,,
2:34.0,,,88-93,,D. Jordan misses free throw 1 of 2
2:34.0,,,88-93,,Offensive rebound by Team
2:34.0,J. Sullinger enters the game for B. Bass,,88-93,,
2:34.0,,,88-94,1,D. Jordan makes free throw 2 of 2
2:26.0,K. Olynyk misses 3-pt shot from 24 ft,,88-94,,
2:25.0,,,88-94,,Defensive rebound by D. Jordan
2:20.0,,,88-94,,S. Hawes enters the game for D. Jordan
2:08.0,,,88-96,2,S. Hawes makes 2-pt shot at rim (assist by J. Redick)
1:50.0,Shooting foul by J. Redick (drawn by E. Turner),,88-96,,
1:50.0,E. Turner misses free throw 1 of 2,,88-96,,
1:50.0,Offensive rebound by Team,,88-96,,
1:50.0,,,88-96,,D. Jordan enters the game for S. Hawes
1:50.0,B. Bass enters the game for K. Olynyk,,88-96,,
1:50.0,T. Prince enters the game for M. Thornton,,88-96,,
1:50.0,E. Turner makes free throw 2 of 2,1,89-96,,
1:35.0,,,89-96,,Shooting foul by J. Sullinger (drawn by B. Griffin)
1:35.0,,,89-97,1,B. Griffin makes free throw 1 of 2
1:35.0,,,89-98,1,B. Griffin makes free throw 2 of 2
1:35.0,Boston full timeout,,89-98,,
