time,Washington,pts.away,score,pts.home,Toronto
11:10.0,,,47-51,,Turnover by J. Valanciunas (bad pass; steal by N. Hilario)
11:07.0,N. Hilario makes 2-pt shot at rim,2,49-51,,
10:40.0,,,49-51,,K. Lowry misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by O. Porter,,49-51,,
10:31.0,Turnover by O. Porter (bad pass),,49-51,,
10:12.0,,,49-51,,D. DeRozan misses 2-pt shot from 16 ft
10:11.0,,,49-51,,Offensive rebound by J. Valanciunas
10:09.0,,,49-53,2,J. Valanciunas makes 2-pt shot from 2 ft
9:59.0,J. Wall makes 2-pt shot from 17 ft (assist by N. Hilario),2,51-53,,
9:40.0,Shooting block foul by N. Hilario (drawn by D. DeRozan),,51-53,,
9:40.0,,,51-54,1,D. DeRozan makes free throw 1 of 2
9:40.0,,,51-55,1,D. DeRozan makes free throw 2 of 2
9:18.0,O. Porter misses 3-pt shot from 24 ft,,51-55,,
9:17.0,Offensive rebound by N. Hilario,,51-55,,
9:08.0,M. Gortat makes 2-pt shot from 15 ft (assist by N. Hilario),2,53-55,,
8:45.0,,,53-55,,J. Johnson misses 2-pt shot from 2 ft
8:44.0,Defensive rebound by M. Gortat,,53-55,,
8:36.0,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall),2,55-55,,
8:15.0,,,55-55,,Turnover by K. Lowry (bad pass)
8:07.0,Shooting foul by A. Johnson (drawn by J. Wall),,55-55,,
8:07.0,J. Wall makes free throw 1 of 2,1,56-55,,
8:07.0,J. Wall makes free throw 2 of 2,1,57-55,,
7:53.0,,,57-58,3,K. Lowry makes 3-pt shot from 25 ft (assist by A. Johnson)
7:36.0,M. Gortat misses 2-pt shot from 9 ft,,57-58,,
7:35.0,Offensive rebound by Team,,57-58,,
7:27.0,Turnover by O. Porter (bad pass),,57-58,,
7:08.0,,,57-58,,J. Valanciunas misses 2-pt shot from 4 ft
7:07.0,Defensive rebound by P. Pierce,,57-58,,
6:56.0,N. Hilario makes 2-pt shot from 19 ft (assist by P. Pierce),2,59-58,,
6:47.0,,,59-58,,Toronto full timeout
6:47.0,,,59-58,,P. Patterson enters the game for J. Valanciunas
6:41.0,,,59-58,,K. Lowry misses 3-pt shot from 26 ft
6:40.0,Defensive rebound by Team,,59-58,,
6:26.0,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall),3,62-58,,
6:10.0,Jump ball: A. Johnson vs. J. Wall (D. DeRozan gains possession),,,,Jump ball: A. Johnson vs. J. Wall (D. DeRozan gains possession)
6:04.0,,,62-58,,D. DeRozan misses 2-pt shot from 16 ft
6:04.0,Defensive rebound by Team,,62-58,,
6:04.0,,,62-58,,L. Williams enters the game for J. Johnson
5:52.0,P. Pierce misses 2-pt shot from 2 ft,,62-58,,
5:50.0,Offensive rebound by P. Pierce,,62-58,,
5:48.0,P. Pierce makes 2-pt shot from 1 ft,2,64-58,,
5:33.0,,,64-58,,Turnover by D. DeRozan (lost ball; steal by N. Hilario)
5:26.0,J. Wall misses 3-pt shot from 25 ft,,64-58,,
5:25.0,Offensive rebound by M. Gortat,,64-58,,
5:21.0,P. Pierce makes 3-pt shot from 25 ft (assist by N. Hilario),3,67-58,,
4:51.0,,,67-61,3,D. DeRozan makes 3-pt shot from 23 ft (assist by K. Lowry)
4:27.0,N. Hilario makes 2-pt shot from 10 ft,2,69-61,,
4:12.0,,,69-63,2,P. Patterson makes 2-pt shot from 6 ft
3:44.0,N. Hilario makes 2-pt shot from 2 ft,2,71-63,,
3:24.0,,,71-63,,L. Williams misses 3-pt shot from 23 ft
3:23.0,Defensive rebound by M. Gortat,,71-63,,
3:18.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,73-63,,
2:53.0,,,73-63,,Shooting foul by O. Porter (drawn by D. DeRozan)
2:53.0,Washington full timeout,,73-63,,
2:53.0,D. Gooden enters the game for N. Hilario,,73-63,,
2:53.0,G. Temple enters the game for O. Porter,,73-63,,
2:53.0,,,73-63,,G. Vasquez enters the game for K. Lowry
2:53.0,,,73-64,1,D. DeRozan makes free throw 1 of 2
2:53.0,,,73-65,1,D. DeRozan makes free throw 2 of 2
2:39.0,J. Wall misses 3-pt shot from 23 ft,,73-65,,
2:38.0,,,73-65,,Defensive rebound by D. DeRozan
2:29.0,,,73-68,3,G. Vasquez makes 3-pt shot from 25 ft (assist by D. DeRozan)
2:04.0,Turnover by J. Wall (bad pass; steal by L. Williams),,73-68,,
1:59.0,,,73-68,,G. Vasquez misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by J. Wall,,73-68,,
1:49.0,P. Pierce misses 3-pt shot from 26 ft (block by A. Johnson),,73-68,,
1:47.0,Offensive rebound by M. Gortat,,73-68,,
1:44.0,M. Gortat misses 2-pt shot at rim (block by P. Patterson),,73-68,,
1:42.0,,,73-68,,Defensive rebound by G. Vasquez
1:37.0,,,73-70,2,L. Williams makes 2-pt shot at rim (assist by A. Johnson)
1:12.0,M. Gortat makes 2-pt shot from 12 ft (assist by D. Gooden),2,75-70,,
0:52.0,,,75-72,2,G. Vasquez makes 2-pt shot from 2 ft
0:44.0,Turnover by G. Temple (bad pass; steal by L. Williams),,75-72,,
0:37.0,,,75-72,,P. Patterson misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by M. Gortat,,75-72,,
0:15.0,Shooting foul by D. DeRozan (drawn by J. Wall),,75-72,,
0:15.0,J. Wall misses free throw 1 of 2,,75-72,,
0:15.0,Offensive rebound by Team,,75-72,,
0:15.0,K. Seraphin enters the game for M. Gortat,,75-72,,
0:15.0,R. Butler enters the game for P. Pierce,,75-72,,
0:15.0,J. Wall makes free throw 2 of 2,1,76-72,,
0:05.0,,,76-72,,Shooting foul by G. Temple (drawn by L. Williams)
0:05.0,,,76-73,1,L. Williams makes free throw 1 of 3
0:05.0,,,76-74,1,L. Williams makes free throw 2 of 3
0:05.0,,,76-75,1,L. Williams makes free throw 3 of 3
0:01.0,Turnover by J. Wall (lost ball; steal by D. DeRozan),,76-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,K. Seraphin misses 2-pt shot from 14 ft,,76-75,,
11:35.0,,,76-75,,Defensive rebound by J. Johnson
11:18.0,,,76-78,3,G. Vasquez makes 3-pt shot from 24 ft (assist by J. Johnson)
10:53.0,G. Temple makes 3-pt shot from 26 ft (assist by R. Butler),3,79-78,,
10:32.0,,,79-78,,L. Williams misses 2-pt shot from 4 ft
10:31.0,Defensive rebound by K. Seraphin,,79-78,,
10:08.0,A. Miller misses 2-pt shot from 12 ft,,79-78,,
10:08.0,,,79-78,,Defensive rebound by P. Patterson
10:03.0,Personal foul by A. Miller (drawn by G. Vasquez),,79-78,,
9:51.0,,,79-78,,Offensive charge foul by J. Johnson
9:51.0,,,79-78,,Turnover by J. Johnson (offensive foul)
9:26.0,K. Seraphin misses 2-pt shot from 17 ft,,79-78,,
9:25.0,Offensive rebound by D. Gooden,,79-78,,
9:23.0,D. Gooden makes 2-pt shot from 1 ft,2,81-78,,
9:00.0,,,81-80,2,J. Johnson makes 2-pt shot from 18 ft
8:37.0,R. Butler makes 2-pt shot from 16 ft,2,83-80,,
8:17.0,,,83-80,,Offensive foul by G. Vasquez
8:17.0,,,83-80,,Turnover by G. Vasquez (offensive foul)
8:17.0,Official timeout,,83-80,,
8:02.0,R. Butler misses 2-pt shot from 18 ft,,83-80,,
8:00.0,Offensive rebound by D. Gooden,,83-80,,
7:59.0,D. Gooden misses 2-pt shot from 1 ft,,83-80,,
7:58.0,,,83-80,,Defensive rebound by P. Patterson
7:43.0,,,83-80,,P. Patterson misses 2-pt shot from 14 ft
7:42.0,Defensive rebound by R. Butler,,83-80,,
7:24.0,A. Miller misses 3-pt shot from 25 ft,,83-80,,
7:23.0,,,83-80,,Defensive rebound by G. Vasquez
7:18.0,,,83-80,,Turnover by G. Vasquez (bad pass)
6:55.0,,,83-80,,Personal foul by J. Johnson (drawn by D. Gooden)
6:55.0,J. Wall enters the game for A. Miller,,83-80,,
6:55.0,,,83-80,,D. DeRozan enters the game for T. Ross
6:55.0,,,83-80,,K. Lowry enters the game for G. Vasquez
6:55.0,,,83-80,,A. Johnson enters the game for J. Johnson
6:44.0,R. Butler misses 2-pt shot from 21 ft,,83-80,,
6:43.0,,,83-80,,Defensive rebound by A. Johnson
6:33.0,,,83-80,,L. Williams misses 2-pt shot from 15 ft
6:32.0,Defensive rebound by J. Wall,,83-80,,
6:19.0,D. Gooden makes 2-pt shot from 20 ft (assist by J. Wall),2,85-80,,
6:05.0,,,85-80,,Shooting foul by D. Gooden (drawn by A. Johnson)
6:05.0,,,85-80,,A. Johnson misses free throw 1 of 2
6:05.0,,,85-80,,Offensive rebound by Team
6:05.0,N. Hilario enters the game for K. Seraphin,,85-80,,
6:05.0,,,85-81,1,A. Johnson makes free throw 2 of 2
5:54.0,R. Butler misses 2-pt shot from 2 ft,,85-81,,
5:53.0,,,85-81,,Defensive rebound by D. DeRozan
5:47.0,,,85-84,3,K. Lowry makes 3-pt shot from 24 ft (assist by L. Williams)
5:28.0,D. Gooden makes 2-pt shot from 16 ft (assist by R. Butler),2,87-84,,
5:18.0,,,87-86,2,L. Williams makes 2-pt shot from 12 ft (assist by K. Lowry)
4:58.0,R. Butler misses 3-pt shot from 25 ft,,87-86,,
4:57.0,,,87-86,,Defensive rebound by P. Patterson
4:45.0,,,87-89,3,L. Williams makes 3-pt shot from 26 ft
4:45.0,Washington full timeout,,87-89,,
4:45.0,P. Pierce enters the game for R. Butler,,87-89,,
4:33.0,P. Pierce makes 2-pt shot from 20 ft (assist by D. Gooden),2,89-89,,
4:16.0,,,89-89,,K. Lowry misses 2-pt shot from 4 ft
4:15.0,,,89-89,,Offensive rebound by Team
4:07.0,,,89-89,,L. Williams misses 2-pt shot from 6 ft
4:06.0,Defensive rebound by D. Gooden,,89-89,,
3:58.0,Turnover by N. Hilario (lost ball),,89-89,,
3:37.0,,,89-92,3,L. Williams makes 3-pt shot from 23 ft (assist by P. Patterson)
3:19.0,Turnover by D. Gooden (bad pass; steal by D. DeRozan),,89-92,,
3:13.0,,,89-92,,Shooting foul by J. Wall (drawn by A. Johnson)
3:13.0,,,89-92,,A. Johnson misses free throw 1 of 2
3:13.0,,,89-92,,Offensive rebound by Team
3:13.0,,,89-93,1,A. Johnson makes free throw 2 of 2
3:00.0,G. Temple misses 3-pt shot from 23 ft,,89-93,,
2:55.0,Offensive rebound by G. Temple,,89-93,,
2:46.0,,,89-93,,Shooting block foul by A. Johnson (drawn by P. Pierce)
2:46.0,,,89-93,,Toronto full timeout
2:46.0,P. Pierce misses free throw 1 of 2,,89-93,,
2:46.0,Offensive rebound by Team,,89-93,,
2:46.0,P. Pierce makes free throw 2 of 2,1,90-93,,
2:22.0,,,90-93,,K. Lowry misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by D. Gooden,,90-93,,
2:10.0,J. Wall makes 3-pt shot from 25 ft,3,93-93,,
1:46.0,,,93-93,,P. Patterson misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by P. Pierce,,93-93,,
1:38.0,D. Gooden misses 3-pt shot from 23 ft,,93-93,,
1:37.0,,,93-93,,Defensive rebound by Team
1:24.0,,,93-93,,D. DeRozan misses 2-pt shot from 14 ft (block by P. Pierce)
1:22.0,Defensive rebound by D. Gooden,,93-93,,
1:07.0,J. Wall misses 2-pt shot from 5 ft,,93-93,,
1:06.0,,,93-93,,Defensive rebound by L. Williams
0:59.0,,,93-93,,L. Williams misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by G. Temple,,93-93,,
0:36.0,D. Gooden misses 2-pt shot from 6 ft,,93-93,,
0:35.0,,,93-93,,Defensive rebound by P. Patterson
0:13.0,,,93-95,2,D. DeRozan makes 2-pt shot from 16 ft
0:13.0,Washington full timeout,,93-95,,
