time,Charlotte,pts.away,score,pts.home,Minnesota
11:24.0,M. Williams makes 2-pt shot from 15 ft,2,20-27,,
11:02.0,,,20-27,,L. Brown misses 2-pt shot from 14 ft
11:01.0,Defensive rebound by M. Kidd-Gilchrist,,20-27,,
10:56.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,22-27,,
10:38.0,Personal foul by L. Stephenson (drawn by G. Neal),,22-27,,
10:38.0,,,22-27,,A. Payne enters the game for G. Dieng
10:34.0,,,22-27,,K. Martin misses 2-pt shot from 6 ft
10:33.0,Defensive rebound by M. Williams,,22-27,,
10:29.0,Turnover by M. Williams (bad pass),,22-27,,
10:13.0,Personal foul by B. Biyombo (drawn by G. Neal),,22-27,,
10:00.0,,,22-27,,Shooting foul by G. Henderson (drawn by A. Payne)
10:00.0,,,22-28,1,A. Payne makes free throw 1 of 2
10:00.0,,,22-28,,A. Payne misses free throw 2 of 2
10:00.0,Defensive rebound by B. Biyombo,,22-28,,
9:46.0,G. Henderson makes 3-pt shot from 22 ft (assist by L. Stephenson),3,25-28,,
9:30.0,,,25-30,2,G. Neal makes 2-pt shot from 13 ft (assist by L. Brown)
9:09.0,,,25-30,,Personal foul by A. Payne (drawn by M. Kidd-Gilchrist)
9:02.0,M. Williams makes 3-pt shot from 25 ft (assist by L. Stephenson),3,28-30,,
8:44.0,,,28-30,,K. Martin misses 2-pt shot from 11 ft
8:43.0,Defensive rebound by L. Stephenson,,28-30,,
8:35.0,L. Stephenson misses 2-pt shot from 11 ft,,28-30,,
8:35.0,,,28-30,,Defensive rebound by Team
8:35.0,Loose ball foul by B. Biyombo (drawn by A. Payne),,28-30,,
8:35.0,,,28-30,,Minnesota full timeout
8:35.0,A. Jefferson enters the game for B. Biyombo,,28-30,,
8:35.0,M. Williams enters the game for M. Kidd-Gilchrist,,28-30,,
8:25.0,,,28-32,2,L. Brown makes 2-pt shot at rim
8:10.0,M. Williams makes 3-pt shot from 25 ft (assist by A. Jefferson),3,31-32,,
7:44.0,,,31-34,2,A. Payne makes 2-pt shot from 18 ft (assist by K. Martin)
7:24.0,L. Stephenson misses 2-pt shot from 1 ft,,31-34,,
7:24.0,,,31-34,,Defensive rebound by K. Martin
7:07.0,,,31-37,3,G. Neal makes 3-pt shot from 25 ft
6:50.0,A. Jefferson misses 2-pt shot from 8 ft,,31-37,,
6:49.0,,,31-37,,Defensive rebound by A. Payne
6:42.0,,,31-39,2,C. Budinger makes 2-pt shot from 10 ft (assist by L. Brown)
6:38.0,Offensive foul by M. Williams,,31-39,,
6:38.0,Turnover by M. Williams (offensive foul),,31-39,,
6:30.0,,,31-42,3,L. Brown makes 3-pt shot from 25 ft (assist by A. Payne)
6:23.0,Charlotte full timeout,,31-42,,
6:11.0,G. Henderson makes 2-pt shot from 2 ft (assist by M. Williams),2,33-42,,
6:11.0,Shooting foul by C. Budinger (drawn by G. Henderson),,33-42,,
6:11.0,G. Henderson misses free throw 1 of 1,,33-42,,
6:09.0,,,33-42,,Defensive rebound by A. Payne
5:53.0,,,33-45,3,C. Budinger makes 3-pt shot from 23 ft (assist by K. Martin)
5:35.0,A. Jefferson makes 2-pt shot from 1 ft (assist by M. Williams),2,35-45,,
5:21.0,,,35-47,2,G. Neal makes 2-pt shot from 1 ft
5:01.0,L. Stephenson makes 2-pt shot from 13 ft (assist by G. Henderson),2,37-47,,
4:45.0,,,37-49,2,L. Brown makes 2-pt shot from 15 ft
4:21.0,,,37-49,,Personal foul by A. Payne (drawn by A. Jefferson)
4:21.0,,,37-49,,G. Dieng enters the game for A. Payne
4:21.0,K. Walker enters the game for M. Williams,,37-49,,
4:09.0,L. Stephenson makes 2-pt shot from 17 ft,2,39-49,,
3:47.0,,,39-49,,Turnover by G. Neal (lost ball; steal by K. Walker)
3:47.0,,,39-49,,Technical foul by G. Neal
3:47.0,G. Henderson misses technical free throw,,39-49,,
3:47.0,Offensive rebound by Team,,39-49,,
3:47.0,,,39-49,,A. Wiggins enters the game for G. Neal
3:40.0,K. Walker makes 2-pt shot from 1 ft,2,41-49,,
3:40.0,Shooting foul by G. Dieng (drawn by K. Walker),,41-49,,
3:40.0,,,41-49,,Z. LaVine enters the game for L. Brown
3:40.0,K. Walker makes free throw 1 of 1,1,42-49,,
3:20.0,,,42-51,2,A. Wiggins makes 2-pt shot from 20 ft
3:05.0,Shooting foul by C. Budinger (drawn by K. Walker),,42-51,,
3:05.0,K. Walker makes free throw 1 of 2,1,43-51,,
3:05.0,,,43-51,,A. Payne enters the game for C. Budinger
3:05.0,M. Kidd-Gilchrist enters the game for M. Williams,,43-51,,
3:05.0,K. Walker makes free throw 2 of 2,1,44-51,,
2:53.0,Personal foul by L. Stephenson (drawn by A. Wiggins),,44-51,,
2:53.0,,,44-51,,Minnesota full timeout
2:53.0,,,44-51,,C. Budinger enters the game for A. Payne
2:53.0,M. Williams enters the game for L. Stephenson,,44-51,,
2:53.0,,,44-51,,A. Wiggins misses free throw 1 of 2
2:53.0,,,44-51,,Offensive rebound by Team
2:53.0,,,44-52,1,A. Wiggins makes free throw 2 of 2
2:41.0,A. Jefferson misses 2-pt shot from 10 ft,,44-52,,
2:40.0,,,44-52,,Defensive rebound by G. Dieng
2:19.0,,,44-54,2,K. Martin makes 2-pt shot from 19 ft
2:00.0,G. Henderson misses 2-pt shot from 14 ft,,44-54,,
1:58.0,,,44-54,,Defensive rebound by K. Martin
1:53.0,,,44-54,,Shooting foul by K. Walker (drawn by C. Budinger)
1:53.0,,,44-56,2,C. Budinger makes 2-pt shot from 1 ft (assist by K. Martin)
1:53.0,,,44-57,1,C. Budinger makes free throw 1 of 1
1:40.0,G. Henderson makes 2-pt shot from 1 ft (assist by K. Walker),2,46-57,,
1:18.0,,,46-57,,Z. LaVine misses 2-pt shot from 20 ft
1:17.0,Defensive rebound by A. Jefferson,,46-57,,
1:08.0,,,46-57,,Personal foul by Z. LaVine (drawn by K. Walker)
1:08.0,K. Walker makes free throw 1 of 2,1,47-57,,
1:08.0,K. Walker makes free throw 2 of 2,1,48-57,,
1:02.0,,,48-57,,Turnover by K. Martin (lost ball; steal by K. Walker)
0:58.0,Shooting foul by K. Martin (drawn by M. Kidd-Gilchrist),,48-57,,
0:58.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,49-57,,
0:58.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,50-57,,
0:49.0,,,50-57,,K. Martin misses 2-pt shot from 16 ft
0:44.0,Defensive rebound by A. Jefferson,,50-57,,
0:37.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,52-57,,
0:19.0,,,52-57,,Shooting foul by A. Jefferson (drawn by G. Dieng)
0:19.0,,,52-58,1,G. Dieng makes free throw 1 of 2
0:19.0,,,52-58,,G. Neal enters the game for K. Martin
0:19.0,,,52-58,,L. Brown enters the game for Z. LaVine
0:19.0,M. Williams enters the game for M. Kidd-Gilchrist,,52-58,,
0:19.0,,,52-59,1,G. Dieng makes free throw 2 of 2
0:03.0,A. Jefferson makes 2-pt shot at rim (assist by K. Walker),2,54-59,,
0:01.0,,,54-59,,G. Dieng misses 3-pt shot from 48 ft
0:00.0,,,54-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Jefferson misses 2-pt shot from 13 ft,,54-59,,
11:42.0,,,54-59,,Defensive rebound by G. Dieng
11:25.0,,,54-61,2,K. Martin makes 2-pt shot from 17 ft
11:07.0,Shooting foul by Z. LaVine (drawn by G. Henderson),,54-61,,
11:07.0,G. Henderson makes free throw 1 of 2,1,55-61,,
11:07.0,G. Henderson makes free throw 2 of 2,1,56-61,,
10:54.0,,,56-61,,Turnover by G. Dieng (lost ball; steal by K. Walker)
10:51.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,58-61,,
10:41.0,,,58-61,,Turnover by Z. LaVine (back court)
10:30.0,G. Henderson makes 2-pt shot from 15 ft (assist by K. Walker),2,60-61,,
10:13.0,,,60-63,2,A. Payne makes 2-pt shot from 17 ft (assist by K. Martin)
10:01.0,Shooting foul by Z. LaVine (drawn by K. Walker),,60-63,,
10:01.0,K. Walker makes free throw 1 of 2,1,61-63,,
10:01.0,K. Walker makes free throw 2 of 2,1,62-63,,
9:47.0,,,62-63,,Turnover by A. Wiggins (bad pass; steal by K. Walker)
9:37.0,K. Walker misses 2-pt shot from 1 ft,,62-63,,
9:35.0,Offensive rebound by K. Walker,,62-63,,
9:32.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker),2,64-63,,
9:31.0,,,64-63,,Minnesota full timeout
9:20.0,,,64-63,,K. Martin misses 2-pt shot from 9 ft
9:19.0,Defensive rebound by M. Kidd-Gilchrist,,64-63,,
8:57.0,K. Walker makes 2-pt shot from 20 ft,2,66-63,,
8:32.0,,,66-63,,Turnover by Z. LaVine (traveling)
8:17.0,G. Henderson makes 2-pt shot from 20 ft,2,68-63,,
8:03.0,Def 3 sec tech foul by A. Jefferson,,68-63,,
8:03.0,,,68-64,1,K. Martin makes technical free throw
7:56.0,,,68-66,2,A. Wiggins makes 2-pt shot from 5 ft
7:29.0,A. Jefferson makes 2-pt shot from 1 ft,2,70-66,,
7:09.0,,,70-68,2,A. Payne makes 2-pt shot from 18 ft (assist by K. Martin)
6:49.0,Turnover by A. Jefferson (bad pass; steal by Z. LaVine),,70-68,,
6:42.0,,,70-68,,Shooting foul by G. Henderson (drawn by A. Wiggins)
6:42.0,,,70-68,,A. Wiggins misses free throw 1 of 2
6:42.0,,,70-68,,Offensive rebound by Team
6:42.0,,,70-69,1,A. Wiggins makes free throw 2 of 2
6:28.0,M. Williams misses 3-pt shot from 24 ft,,70-69,,
6:27.0,Offensive rebound by A. Jefferson,,70-69,,
6:24.0,A. Jefferson makes 2-pt shot from 4 ft,2,72-69,,
6:02.0,,,72-69,,Z. LaVine misses 2-pt shot from 22 ft
6:01.0,Defensive rebound by A. Jefferson,,72-69,,
5:46.0,A. Jefferson misses 2-pt shot from 9 ft,,72-69,,
5:45.0,,,72-69,,Defensive rebound by G. Dieng
5:34.0,Personal foul by G. Henderson (drawn by A. Wiggins),,72-69,,
5:34.0,,,72-69,,G. Neal enters the game for K. Martin
5:34.0,M. Williams enters the game for G. Henderson,,72-69,,
5:25.0,,,72-69,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Wiggins)
5:25.0,,,72-70,1,A. Wiggins makes free throw 1 of 2
5:25.0,,,72-70,,A. Wiggins misses free throw 2 of 2
5:24.0,Defensive rebound by M. Kidd-Gilchrist,,72-70,,
5:07.0,M. Kidd-Gilchrist makes 2-pt shot from 20 ft,2,74-70,,
4:44.0,,,74-70,,Turnover by G. Dieng (lost ball; steal by A. Jefferson)
4:30.0,Shooting foul by G. Dieng (drawn by M. Williams),,74-70,,
4:30.0,M. Williams makes free throw 1 of 2,1,75-70,,
4:30.0,,,75-70,,C. Budinger enters the game for G. Dieng
4:30.0,,,75-70,,L. Brown enters the game for Z. LaVine
4:30.0,M. Williams misses free throw 2 of 2,,75-70,,
4:30.0,,,75-70,,Defensive rebound by C. Budinger
4:17.0,,,75-72,2,L. Brown makes 2-pt shot from 20 ft (assist by G. Neal)
3:51.0,A. Jefferson misses 2-pt shot from 12 ft,,75-72,,
3:50.0,,,75-72,,Defensive rebound by C. Budinger
3:42.0,,,75-74,2,A. Payne makes 2-pt shot from 17 ft (assist by L. Brown)
3:42.0,Charlotte full timeout,,75-74,,
3:42.0,B. Biyombo enters the game for A. Jefferson,,75-74,,
3:20.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,75-74,,
3:19.0,,,75-74,,Defensive rebound by L. Brown
2:55.0,,,75-74,,Turnover by G. Neal (lost ball; steal by K. Walker)
2:48.0,K. Walker misses 2-pt shot from 10 ft,,75-74,,
2:47.0,Offensive rebound by M. Kidd-Gilchrist,,75-74,,
2:41.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams),2,77-74,,
2:19.0,,,77-76,2,A. Wiggins makes 2-pt shot from 12 ft
2:06.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,80-76,,
1:47.0,,,80-78,2,A. Payne makes 2-pt shot from 13 ft (assist by A. Wiggins)
1:29.0,Turnover by M. Williams (bad pass; steal by G. Neal),,80-78,,
1:23.0,,,80-78,,Turnover by G. Neal (bad pass)
1:23.0,L. Stephenson enters the game for K. Walker,,80-78,,
1:08.0,M. Williams misses 3-pt shot from 25 ft,,80-78,,
1:07.0,,,80-78,,Defensive rebound by A. Payne
0:57.0,,,80-78,,A. Wiggins misses 2-pt shot from 11 ft
0:56.0,Defensive rebound by M. Williams,,80-78,,
0:50.0,M. Williams misses 2-pt shot from 14 ft,,80-78,,
0:49.0,,,80-78,,Defensive rebound by A. Payne
0:42.0,,,80-78,,G. Neal misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by M. Williams,,80-78,,
0:33.0,L. Stephenson makes 2-pt shot from 7 ft,2,82-78,,
0:22.0,,,82-78,,G. Neal misses 2-pt shot from 14 ft
0:21.0,Defensive rebound by M. Williams,,82-78,,
0:06.0,,,82-78,,Personal take foul by L. Brown (drawn by M. Williams)
0:01.0,M. Williams misses 3-pt shot from 29 ft,,82-78,,
0:00.0,,,82-78,,Defensive rebound by A. Payne
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,82-80,2,K. Martin makes 2-pt shot from 20 ft (assist by G. Neal)
11:26.0,M. Williams makes 2-pt shot from 19 ft,2,84-80,,
11:03.0,,,84-80,,K. Martin misses 2-pt shot from 5 ft
11:02.0,Defensive rebound by M. Williams,,84-80,,
10:57.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams),2,86-80,,
10:49.0,Personal foul by B. Biyombo (drawn by K. Martin),,86-80,,
10:33.0,,,86-80,,Turnover by G. Neal (traveling)
10:33.0,,,86-80,,Minnesota full timeout
10:33.0,,,86-80,,G. Dieng enters the game for A. Payne
10:33.0,,,86-80,,A. Wiggins enters the game for G. Neal
10:15.0,G. Henderson misses 2-pt shot from 21 ft,,86-80,,
10:14.0,,,86-80,,Defensive rebound by K. Martin
9:57.0,,,86-80,,K. Martin misses 2-pt shot from 9 ft (block by B. Biyombo)
9:56.0,,,86-80,,Offensive rebound by Team
9:52.0,,,86-80,,G. Dieng misses 2-pt shot from 10 ft
9:51.0,Defensive rebound by L. Stephenson,,86-80,,
9:42.0,M. Williams makes 3-pt shot from 25 ft (assist by L. Stephenson),3,89-80,,
9:27.0,,,89-82,2,A. Wiggins makes 2-pt shot from 16 ft (assist by L. Brown)
9:13.0,M. Williams misses 3-pt shot from 25 ft,,89-82,,
9:12.0,,,89-82,,Defensive rebound by C. Budinger
8:54.0,,,89-84,2,C. Budinger makes 2-pt shot at rim (assist by K. Martin)
8:29.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by L. Brown),,89-84,,
8:29.0,Jump ball: L. Brown vs. M. Kidd-Gilchrist (C. Budinger gains possession),,,,Jump ball: L. Brown vs. M. Kidd-Gilchrist (C. Budinger gains possession)
8:14.0,,,89-84,,A. Wiggins misses 2-pt shot from 12 ft
8:13.0,,,89-84,,Offensive rebound by G. Dieng
8:10.0,,,89-84,,K. Martin misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by L. Stephenson,,89-84,,
7:59.0,,,89-84,,Z. LaVine enters the game for L. Brown
7:59.0,M. Williams enters the game for M. Kidd-Gilchrist,,89-84,,
7:57.0,M. Williams misses 2-pt shot from 15 ft,,89-84,,
7:55.0,Offensive rebound by M. Williams,,89-84,,
7:55.0,M. Williams makes 2-pt shot at rim,2,91-84,,
7:36.0,Personal foul by B. Biyombo (drawn by A. Wiggins),,91-84,,
7:36.0,A. Jefferson enters the game for B. Biyombo,,91-84,,
7:21.0,,,91-84,,C. Budinger misses 3-pt shot from 23 ft
7:20.0,Defensive rebound by M. Williams,,91-84,,
7:12.0,L. Stephenson misses 2-pt shot at rim,,91-84,,
7:11.0,,,91-84,,Defensive rebound by C. Budinger
7:02.0,,,91-84,,Turnover by Z. LaVine (bad pass; steal by A. Jefferson)
6:47.0,L. Stephenson misses 2-pt shot from 3 ft,,91-84,,
6:46.0,,,91-84,,Defensive rebound by C. Budinger
6:38.0,,,91-84,,Minnesota full timeout
6:38.0,K. Walker enters the game for G. Henderson,,91-84,,
6:38.0,,,91-84,,A. Payne enters the game for C. Budinger
6:28.0,,,91-86,2,K. Martin makes 2-pt shot from 16 ft
6:14.0,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson),2,93-86,,
5:59.0,,,93-88,2,Z. LaVine makes 2-pt shot from 1 ft
5:33.0,K. Walker makes 2-pt shot at rim,2,95-88,,
5:33.0,Shooting foul by A. Payne (drawn by K. Walker),,95-88,,
5:33.0,K. Walker makes free throw 1 of 1,1,96-88,,
5:15.0,,,96-88,,K. Martin misses 2-pt shot from 14 ft
5:14.0,,,96-88,,Offensive rebound by G. Dieng
5:14.0,,,96-90,2,G. Dieng makes 2-pt shot at rim
5:14.0,,,96-90,,Shooting foul by M. Williams (drawn by G. Dieng)
5:14.0,,,96-91,1,G. Dieng makes free throw 1 of 1
4:55.0,M. Williams misses 2-pt shot from 11 ft,,96-91,,
4:54.0,Offensive rebound by A. Jefferson,,96-91,,
4:42.0,M. Williams makes 2-pt shot at rim,2,98-91,,
4:27.0,,,98-93,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
4:27.0,,,98-93,,Shooting foul by K. Walker (drawn by G. Dieng)
4:27.0,M. Kidd-Gilchrist enters the game for L. Stephenson,,98-93,,
4:27.0,,,98-94,1,G. Dieng makes free throw 1 of 1
4:04.0,A. Jefferson misses 2-pt shot from 18 ft,,98-94,,
4:02.0,,,98-94,,Defensive rebound by A. Payne
3:45.0,,,98-94,,A. Wiggins misses 2-pt shot from 20 ft
3:44.0,Defensive rebound by A. Jefferson,,98-94,,
3:36.0,M. Williams makes 2-pt shot from 17 ft (assist by K. Walker),2,100-94,,
3:23.0,,,100-94,,Z. LaVine misses 2-pt shot from 2 ft (block by M. Williams)
3:23.0,,,100-94,,Offensive rebound by Team
3:20.0,,,100-96,2,K. Martin makes 2-pt shot from 11 ft (assist by G. Dieng)
3:06.0,,,100-96,,Personal foul by K. Martin (drawn by M. Williams)
2:58.0,,,100-96,,Personal foul by A. Wiggins (drawn by M. Williams)
2:58.0,Charlotte full timeout,,100-96,,
2:52.0,M. Williams misses 3-pt shot from 26 ft,,100-96,,
2:51.0,Offensive rebound by M. Kidd-Gilchrist,,100-96,,
2:33.0,K. Walker misses 2-pt shot from 7 ft,,100-96,,
2:32.0,Offensive rebound by A. Jefferson,,100-96,,
2:30.0,A. Jefferson makes 2-pt shot at rim,2,102-96,,
2:15.0,,,102-96,,K. Martin misses 2-pt shot from 15 ft
2:14.0,Defensive rebound by K. Walker,,102-96,,
1:53.0,M. Williams makes 2-pt shot from 21 ft (assist by M. Williams),2,104-96,,
1:53.0,,,104-96,,Minnesota full timeout
1:43.0,,,104-98,2,K. Martin makes 2-pt shot from 15 ft (assist by A. Wiggins)
1:19.0,M. Williams misses 2-pt shot from 20 ft,,104-98,,
1:17.0,Offensive rebound by M. Kidd-Gilchrist,,104-98,,
1:03.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,107-98,,
0:57.0,,,107-98,,Z. LaVine misses 2-pt shot from 6 ft
0:56.0,Defensive rebound by K. Walker,,107-98,,
0:39.0,,,107-98,,Personal foul by G. Dieng (drawn by K. Walker)
0:26.0,A. Jefferson makes 2-pt shot from 2 ft (assist by K. Walker),2,109-98,,
0:20.0,,,109-98,,K. Martin misses 2-pt shot from 15 ft
0:19.0,Defensive rebound by A. Jefferson,,109-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
