time,Boston,pts.away,score,pts.home,Denver
2:29.0,Shooting foul by K. Faried (drawn by B. Bass),,14-22,,
2:29.0,B. Bass makes free throw 1 of 2,1,15-22,,
2:29.0,B. Bass makes free throw 2 of 2,1,16-22,,
2:14.0,,,16-22,,K. Faried misses 2-pt shot from 1 ft
2:13.0,Defensive rebound by B. Bass,,16-22,,
2:00.0,Turnover by T. Prince (bad pass; steal by J. Hickson),,16-22,,
1:53.0,,,16-22,,Shooting foul by M. Smart (drawn by J. Hickson)
1:53.0,,,16-23,1,J. Hickson makes free throw 1 of 2
1:53.0,G. Wallace enters the game for B. Bass,,16-23,,
1:53.0,,,16-23,,R. Foye enters the game for J. Nelson
1:53.0,,,16-23,,J. Hickson misses free throw 2 of 2
1:52.0,,,16-23,,Offensive rebound by K. Faried
1:45.0,,,16-23,,D. Gallinari misses 3-pt shot from 25 ft
1:43.0,,,16-23,,Offensive rebound by J. Hickson
1:39.0,,,16-26,3,A. Afflalo makes 3-pt shot from 25 ft (assist by J. Hickson)
1:17.0,T. Prince misses 2-pt shot from 15 ft,,16-26,,
1:16.0,,,16-26,,Defensive rebound by J. Hickson
1:11.0,,,16-26,,Shooting foul by T. Zeller (drawn by K. Faried)
1:11.0,,,16-26,,K. Faried misses free throw 1 of 2
1:11.0,,,16-26,,Offensive rebound by Team
1:11.0,J. Sullinger enters the game for T. Zeller,,16-26,,
1:11.0,,,16-26,,K. Faried misses free throw 2 of 2
1:10.0,Defensive rebound by J. Sullinger,,16-26,,
0:50.0,J. Sullinger makes 2-pt shot from 9 ft,2,18-26,,
0:41.0,Personal foul by M. Smart (drawn by K. Faried),,18-26,,
0:41.0,,,18-27,1,K. Faried makes free throw 1 of 2
0:41.0,P. Pressey enters the game for M. Smart,,18-27,,
0:41.0,,,18-28,1,K. Faried makes free throw 2 of 2
0:34.0,Shooting foul by R. Foye (drawn by P. Pressey),,18-28,,
0:34.0,P. Pressey makes free throw 1 of 2,1,19-28,,
0:34.0,P. Pressey makes free throw 2 of 2,1,20-28,,
0:20.0,,,20-28,,D. Gallinari misses 2-pt shot from 1 ft (block by T. Prince)
0:18.0,Defensive rebound by J. Sullinger,,20-28,,
0:02.0,M. Thornton misses 2-pt shot from 2 ft (block by K. Faried),,20-28,,
0:01.0,Offensive rebound by T. Prince,,20-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,20-28,,D. Gallinari misses 2-pt shot from 17 ft
11:40.0,,,20-28,,Offensive rebound by J. Hickson
11:37.0,,,20-28,,Turnover by J. Hickson (lost ball; steal by G. Wallace)
11:31.0,T. Prince makes 2-pt shot from 19 ft (assist by P. Pressey),2,22-28,,
11:13.0,,,22-28,,Turnover by R. Foye (lost ball)
10:59.0,T. Prince misses 3-pt shot from 23 ft,,22-28,,
10:58.0,Offensive rebound by J. Sullinger,,22-28,,
10:46.0,J. Sullinger misses 2-pt shot from 5 ft,,22-28,,
10:45.0,,,22-28,,Defensive rebound by D. Arthur
10:41.0,Personal foul by P. Pressey (drawn by W. Chandler),,22-28,,
10:37.0,,,22-28,,Turnover by D. Arthur (bad pass; steal by J. Sullinger)
10:19.0,J. Sullinger makes 2-pt shot from 18 ft,2,24-28,,
9:57.0,,,24-30,2,W. Chandler makes 2-pt shot from 5 ft
9:44.0,J. Sullinger misses 3-pt shot from 25 ft,,24-30,,
9:43.0,,,24-30,,Defensive rebound by D. Arthur
9:36.0,,,24-30,,Turnover by R. Foye (bad pass; steal by J. Sullinger)
9:30.0,Turnover by P. Pressey (bad pass; steal by D. Arthur),,24-30,,
9:20.0,,,24-32,2,W. Chandler makes 2-pt shot from 19 ft
8:58.0,Offensive foul by T. Prince,,24-32,,
8:58.0,Turnover by T. Prince (offensive foul),,24-32,,
8:58.0,Official timeout,,24-32,,
8:58.0,A. Bradley enters the game for M. Thornton,,24-32,,
8:38.0,,,24-32,,R. Foye misses 3-pt shot from 26 ft
8:37.0,,,24-32,,Offensive rebound by W. Chandler
8:32.0,,,24-32,,D. Gallinari misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by Team,,24-32,,
8:18.0,A. Bradley makes 3-pt shot from 22 ft (assist by P. Pressey),3,27-32,,
8:05.0,,,27-32,,Shooting foul by J. Sullinger (drawn by J. Hickson)
8:05.0,,,27-33,1,J. Hickson makes free throw 1 of 2
8:05.0,,,27-33,,J. Hickson misses free throw 2 of 2
8:03.0,Defensive rebound by T. Prince,,27-33,,
7:43.0,J. Sullinger misses 2-pt shot from 18 ft,,27-33,,
7:42.0,Offensive rebound by Team,,27-33,,
7:42.0,,,27-33,,J. Nelson enters the game for J. Hickson
7:35.0,P. Pressey makes 3-pt shot from 25 ft (assist by J. Sullinger),3,30-33,,
7:19.0,,,30-33,,R. Foye misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by Team,,30-33,,
7:05.0,Turnover by J. Sullinger (lost ball; steal by W. Chandler),,30-33,,
7:00.0,,,30-33,,D. Gallinari misses 2-pt shot at rim (block by T. Prince)
6:59.0,,,30-33,,Offensive rebound by Team
6:59.0,,,30-33,,A. Afflalo enters the game for R. Foye
6:59.0,,,30-33,,K. Faried enters the game for D. Gallinari
6:52.0,,,30-35,2,J. Nelson makes 2-pt shot from 18 ft (assist by A. Afflalo)
6:38.0,J. Sullinger makes 2-pt shot from 2 ft,2,32-35,,
6:23.0,,,32-37,2,D. Arthur makes 2-pt shot from 14 ft (assist by J. Nelson)
6:05.0,T. Prince makes 2-pt shot from 21 ft (assist by P. Pressey),2,34-37,,
5:47.0,,,34-39,2,A. Afflalo makes 2-pt shot from 7 ft (assist by J. Nelson)
5:27.0,Shooting foul by K. Faried (drawn by J. Sullinger),,34-39,,
5:27.0,,,34-39,,Denver full timeout
5:27.0,E. Turner enters the game for T. Prince,,34-39,,
5:27.0,B. Bass enters the game for G. Wallace,,34-39,,
5:27.0,J. Sullinger makes free throw 1 of 2,1,35-39,,
5:27.0,J. Sullinger makes free throw 2 of 2,1,36-39,,
5:14.0,,,36-41,2,D. Arthur makes 2-pt shot from 15 ft (assist by J. Nelson)
4:47.0,P. Pressey misses 3-pt shot from 28 ft,,36-41,,
4:45.0,,,36-41,,Defensive rebound by K. Faried
4:35.0,,,36-41,,W. Chandler misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by B. Bass,,36-41,,
4:24.0,P. Pressey misses 3-pt shot from 25 ft,,36-41,,
4:22.0,,,36-41,,Defensive rebound by W. Chandler
4:13.0,,,36-41,,Turnover by J. Nelson (bad pass; steal by B. Bass)
4:07.0,J. Sullinger misses 3-pt shot from 25 ft,,36-41,,
4:05.0,,,36-41,,Defensive rebound by K. Faried
3:53.0,,,36-41,,Turnover by J. Nelson (lost ball; steal by E. Turner)
3:52.0,,,36-41,,Personal foul by J. Nelson (drawn by E. Turner)
3:52.0,M. Smart enters the game for P. Pressey,,36-41,,
3:52.0,T. Zeller enters the game for J. Sullinger,,36-41,,
3:52.0,,,36-41,,J. Nurkic enters the game for D. Arthur
3:32.0,E. Turner makes 2-pt shot from 7 ft,2,38-41,,
3:18.0,,,38-41,,K. Faried misses 2-pt shot from 5 ft
3:16.0,Defensive rebound by T. Zeller,,38-41,,
3:08.0,E. Turner makes 2-pt shot at rim,2,40-41,,
2:50.0,,,40-41,,J. Nelson misses 2-pt shot from 15 ft
2:47.0,,,40-41,,Offensive rebound by J. Nurkic
2:43.0,,,40-41,,W. Chandler misses 3-pt shot from 26 ft
2:41.0,Defensive rebound by A. Bradley,,40-41,,
2:32.0,E. Turner makes 2-pt shot from 2 ft,2,42-41,,
2:32.0,,,42-41,,Denver full timeout
2:19.0,,,42-43,2,J. Nelson makes 2-pt shot from 2 ft
1:57.0,T. Zeller misses 2-pt shot from 7 ft,,42-43,,
1:56.0,,,42-43,,Defensive rebound by K. Faried
1:43.0,,,42-43,,J. Nurkic misses 2-pt shot from 2 ft
1:41.0,Defensive rebound by E. Turner,,42-43,,
1:28.0,B. Bass misses 2-pt shot from 18 ft,,42-43,,
1:27.0,,,42-43,,Defensive rebound by J. Nurkic
1:18.0,,,42-43,,J. Nelson misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by A. Bradley,,42-43,,
0:57.0,T. Zeller misses 2-pt shot from 2 ft,,42-43,,
0:56.0,,,42-43,,Defensive rebound by K. Faried
0:48.0,,,42-45,2,A. Afflalo makes 2-pt shot from 9 ft
0:48.0,,,42-45,,Shooting foul by E. Turner (drawn by A. Afflalo)
0:48.0,J. Sullinger enters the game for T. Zeller,,42-45,,
0:48.0,,,42-46,1,A. Afflalo makes free throw 1 of 1
0:37.0,Offensive foul by A. Bradley,,42-46,,
0:37.0,Turnover by A. Bradley (offensive foul),,42-46,,
0:27.0,,,42-46,,W. Chandler misses 2-pt shot from 11 ft
0:26.0,,,42-46,,Offensive rebound by W. Chandler
0:25.0,,,42-46,,W. Chandler misses 2-pt shot from 1 ft
0:25.0,,,42-46,,Offensive rebound by K. Faried
0:25.0,,,42-48,2,K. Faried makes 2-pt shot at rim
0:20.0,Boston full timeout,,42-48,,
0:20.0,,,42-48,,D. Gallinari enters the game for K. Faried
0:20.0,P. Pressey enters the game for M. Smart,,42-48,,
0:00.0,Turnover by P. Pressey (lost ball; steal by W. Chandler),,42-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Personal foul by E. Turner (drawn by A. Afflalo),,42-48,,
11:35.0,,,42-48,,W. Chandler misses 2-pt shot from 5 ft (block by B. Bass)
11:33.0,Defensive rebound by J. Crowder,,42-48,,
11:09.0,J. Sullinger misses 3-pt shot from 24 ft,,42-48,,
11:08.0,,,42-48,,Defensive rebound by J. Hickson
11:00.0,,,42-50,2,J. Hickson makes 2-pt shot at rim (assist by J. Nelson)
10:40.0,A. Bradley misses 3-pt shot from 25 ft,,42-50,,
10:39.0,,,42-50,,Defensive rebound by A. Afflalo
10:27.0,,,42-50,,W. Chandler misses 3-pt shot from 23 ft
10:26.0,Defensive rebound by A. Bradley,,42-50,,
10:15.0,B. Bass misses 2-pt shot from 14 ft,,42-50,,
10:14.0,,,42-50,,Defensive rebound by A. Afflalo
10:09.0,,,42-52,2,K. Faried makes 2-pt shot at rim (assist by A. Afflalo)
10:09.0,Boston full timeout,,42-52,,
9:55.0,B. Bass makes 2-pt shot from 16 ft (assist by E. Turner),2,44-52,,
9:32.0,,,44-52,,A. Afflalo misses 2-pt shot from 14 ft
9:31.0,Defensive rebound by J. Crowder,,44-52,,
9:20.0,E. Turner misses 2-pt shot from 9 ft,,44-52,,
9:19.0,,,44-52,,Defensive rebound by K. Faried
9:17.0,,,44-54,2,W. Chandler makes 2-pt shot from 1 ft (assist by K. Faried)
9:17.0,Violation by B. Bass (def goaltending),,44-54,,
9:01.0,A. Bradley makes 2-pt shot from 17 ft (assist by B. Bass),2,46-54,,
8:48.0,,,46-56,2,K. Faried makes 2-pt shot from 2 ft (assist by W. Chandler)
8:48.0,,,46-56,,Shooting foul by J. Sullinger (drawn by K. Faried)
8:48.0,,,46-57,1,K. Faried makes free throw 1 of 1
8:38.0,A. Bradley makes 3-pt shot from 22 ft (assist by E. Turner),3,49-57,,
8:27.0,Personal foul by B. Bass (drawn by J. Nelson),,49-57,,
8:19.0,,,49-59,2,J. Hickson makes 2-pt shot from 2 ft (assist by J. Nelson)
8:04.0,B. Bass misses 2-pt shot from 16 ft,,49-59,,
8:03.0,,,49-59,,Defensive rebound by K. Faried
7:57.0,,,49-59,,K. Faried misses 2-pt shot from 2 ft
7:54.0,,,49-59,,Offensive rebound by J. Hickson
7:54.0,,,49-59,,J. Hickson misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by J. Sullinger,,49-59,,
7:38.0,E. Turner misses 3-pt shot from 23 ft,,49-59,,
7:37.0,,,49-59,,Defensive rebound by J. Hickson
7:34.0,,,49-59,,K. Faried misses 2-pt shot from 1 ft (block by J. Crowder)
7:34.0,,,49-59,,Offensive rebound by Team
7:34.0,T. Zeller enters the game for J. Sullinger,,49-59,,
7:32.0,,,49-61,2,A. Afflalo makes 2-pt shot from 16 ft (assist by W. Chandler)
7:16.0,T. Zeller makes 2-pt shot from 1 ft,2,51-61,,
6:57.0,,,51-61,,A. Afflalo misses 2-pt shot from 17 ft
6:56.0,Defensive rebound by T. Zeller,,51-61,,
6:45.0,A. Bradley makes 2-pt shot from 19 ft,2,53-61,,
6:33.0,,,53-61,,A. Afflalo misses 3-pt shot from 23 ft
6:31.0,Defensive rebound by T. Zeller,,53-61,,
6:27.0,Turnover by A. Bradley (bad pass; steal by W. Chandler),,53-61,,
6:15.0,,,53-61,,W. Chandler misses 2-pt shot at rim
6:13.0,Defensive rebound by B. Bass,,53-61,,
6:09.0,J. Crowder makes 2-pt shot from 1 ft (assist by B. Bass),2,55-61,,
6:09.0,Shooting foul by A. Afflalo (drawn by J. Crowder),,55-61,,
6:09.0,,,55-61,,Denver full timeout
6:09.0,J. Crowder makes free throw 1 of 1,1,56-61,,
5:48.0,,,56-61,,K. Faried misses 2-pt shot from 16 ft
5:47.0,Defensive rebound by A. Bradley,,56-61,,
5:35.0,Turnover by T. Zeller (bad pass; steal by J. Hickson),,56-61,,
5:29.0,,,56-61,,A. Afflalo misses 2-pt shot from 18 ft
5:28.0,,,56-61,,Offensive rebound by A. Afflalo
5:23.0,,,56-61,,Shooting foul by E. Turner (drawn by W. Chandler)
5:23.0,,,56-62,1,W. Chandler makes free throw 1 of 2
5:23.0,M. Smart enters the game for E. Turner,,56-62,,
5:23.0,,,56-63,1,W. Chandler makes free throw 2 of 2
5:07.0,T. Zeller misses 2-pt shot from 1 ft,,56-63,,
5:06.0,Offensive rebound by T. Zeller,,56-63,,
5:03.0,T. Zeller makes 2-pt shot at rim,2,58-63,,
4:53.0,,,58-65,2,J. Nelson makes 2-pt shot from 1 ft
4:38.0,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart),3,61-65,,
4:23.0,,,61-65,,J. Nelson misses 2-pt shot at rim
4:23.0,Defensive rebound by Team,,61-65,,
4:02.0,Shooting foul by K. Faried (drawn by B. Bass),,61-65,,
4:02.0,B. Bass misses free throw 1 of 2,,61-65,,
4:02.0,Offensive rebound by Team,,61-65,,
4:02.0,,,61-65,,D. Gallinari enters the game for W. Chandler
4:02.0,B. Bass makes free throw 2 of 2,1,62-65,,
3:55.0,Personal foul by M. Smart (drawn by A. Afflalo),,62-65,,
3:55.0,,,62-66,1,A. Afflalo makes free throw 1 of 2
3:55.0,,,62-66,,J. Nurkic enters the game for J. Hickson
3:55.0,,,62-67,1,A. Afflalo makes free throw 2 of 2
3:42.0,T. Zeller makes 2-pt shot at rim (assist by M. Smart),2,64-67,,
3:22.0,,,64-67,,J. Nurkic misses 2-pt shot from 1 ft
3:21.0,Defensive rebound by T. Zeller,,64-67,,
3:09.0,,,64-67,,Personal foul by J. Nurkic (drawn by T. Zeller)
3:09.0,M. Thornton enters the game for A. Bradley,,64-67,,
3:03.0,M. Smart makes 3-pt shot from 25 ft (assist by B. Bass),3,67-67,,
2:48.0,,,67-67,,J. Nelson misses 3-pt shot from 25 ft
2:47.0,,,67-67,,Offensive rebound by J. Nurkic
2:44.0,,,67-69,2,J. Nurkic makes 2-pt shot from 2 ft
2:31.0,,,67-69,,Violation by J. Nurkic (def goaltending)
2:31.0,T. Zeller makes 2-pt shot from 1 ft,2,69-69,,
2:14.0,,,69-69,,D. Gallinari misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by Team,,69-69,,
2:06.0,Shooting foul by J. Nurkic (drawn by M. Smart),,69-69,,
2:06.0,M. Smart misses free throw 1 of 2,,69-69,,
2:06.0,Offensive rebound by Team,,69-69,,
2:06.0,M. Smart makes free throw 2 of 2,1,70-69,,
1:59.0,Personal foul by M. Thornton (drawn by A. Afflalo),,70-69,,
1:59.0,,,70-70,1,A. Afflalo makes free throw 1 of 2
1:59.0,J. Sullinger enters the game for B. Bass,,70-70,,
1:59.0,,,70-71,1,A. Afflalo makes free throw 2 of 2
1:35.0,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart),3,73-71,,
1:13.0,,,73-71,,Shooting foul by M. Smart (drawn by J. Nelson)
1:13.0,,,73-72,1,J. Nelson makes free throw 1 of 2
1:13.0,,,73-72,,J. Nelson misses free throw 2 of 2
1:11.0,Defensive rebound by J. Sullinger,,73-72,,
1:03.0,Turnover by M. Smart (lost ball; steal by D. Gallinari),,73-72,,
1:03.0,Personal foul by M. Smart (drawn by D. Gallinari),,73-72,,
1:03.0,,,73-73,1,D. Gallinari makes free throw 1 of 2
1:03.0,P. Pressey enters the game for M. Smart,,73-73,,
1:03.0,,,73-74,1,D. Gallinari makes free throw 2 of 2
0:50.0,Shooting foul by J. Nurkic (drawn by J. Sullinger),,73-74,,
0:50.0,J. Sullinger misses free throw 1 of 2,,73-74,,
0:50.0,Offensive rebound by Team,,73-74,,
0:50.0,J. Sullinger misses free throw 2 of 2,,73-74,,
0:49.0,,,73-74,,Defensive rebound by K. Faried
0:30.0,,,73-74,,A. Afflalo misses 2-pt shot from 6 ft
0:29.0,Defensive rebound by J. Sullinger,,73-74,,
0:10.0,M. Thornton makes 2-pt shot from 6 ft,2,75-74,,
0:02.0,,,75-74,,J. Nelson misses 2-pt shot from 9 ft
0:01.0,,,75-74,,Offensive rebound by J. Nurkic
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,M. Thornton misses 2-pt shot from 19 ft,,75-74,,
11:39.0,,,75-74,,Defensive rebound by J. Nurkic
11:25.0,,,75-74,,Turnover by D. Arthur (bad pass; steal by M. Thornton)
11:21.0,,,75-74,,Shooting block foul by D. Arthur (drawn by T. Zeller)
11:21.0,T. Zeller makes free throw 1 of 2,1,76-74,,
11:21.0,T. Zeller misses free throw 2 of 2,,76-74,,
11:20.0,,,76-74,,Defensive rebound by J. Nurkic
11:04.0,,,76-76,2,D. Arthur makes 2-pt shot from 16 ft (assist by J. Nelson)
10:45.0,M. Thornton misses 2-pt shot from 13 ft,,76-76,,
10:45.0,,,76-76,,Defensive rebound by Team
10:45.0,Loose ball foul by J. Sullinger (drawn by D. Arthur),,76-76,,
10:33.0,,,76-76,,D. Arthur misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by P. Pressey,,76-76,,
10:17.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Sullinger),3,79-76,,
10:03.0,,,79-76,,J. Nurkic misses 2-pt shot from 3 ft
10:01.0,Defensive rebound by M. Thornton,,79-76,,
9:54.0,Shooting foul by D. Arthur (drawn by J. Sullinger),,79-76,,
9:54.0,J. Sullinger misses free throw 1 of 2,,79-76,,
9:54.0,Offensive rebound by Team,,79-76,,
9:54.0,,,79-76,,J. Hickson enters the game for J. Nurkic
9:54.0,B. Bass enters the game for T. Zeller,,79-76,,
9:54.0,J. Sullinger makes free throw 2 of 2,1,80-76,,
9:40.0,,,80-78,2,J. Hickson makes 2-pt shot from 8 ft (assist by R. Foye)
9:22.0,J. Sullinger misses 2-pt shot from 11 ft,,80-78,,
9:21.0,Offensive rebound by J. Sullinger,,80-78,,
9:20.0,Shooting foul by J. Hickson (drawn by J. Sullinger),,80-78,,
9:20.0,J. Sullinger misses free throw 1 of 2,,80-78,,
9:20.0,Offensive rebound by Team,,80-78,,
9:20.0,J. Sullinger makes free throw 2 of 2,1,81-78,,
9:06.0,,,81-78,,Turnover by J. Nelson (lost ball; steal by B. Bass)
9:03.0,Shooting foul by D. Arthur (drawn by B. Bass),,81-78,,
9:03.0,B. Bass makes free throw 1 of 2,1,82-78,,
9:03.0,B. Bass makes free throw 2 of 2,1,83-78,,
8:45.0,,,83-78,,D. Arthur misses 2-pt shot from 18 ft
8:43.0,Defensive rebound by M. Thornton,,83-78,,
8:33.0,J. Sullinger misses 3-pt shot from 25 ft,,83-78,,
8:32.0,,,83-78,,Defensive rebound by J. Hickson
8:20.0,,,83-80,2,D. Gallinari makes 2-pt shot from 2 ft
8:08.0,,,83-80,,Personal block foul by J. Nelson (drawn by P. Pressey)
8:08.0,Official timeout,,83-80,,
8:08.0,T. Zeller enters the game for J. Sullinger,,83-80,,
8:08.0,P. Pressey misses free throw 1 of 2,,83-80,,
8:08.0,Offensive rebound by Team,,83-80,,
8:08.0,P. Pressey makes free throw 2 of 2,1,84-80,,
7:56.0,,,84-80,,J. Hickson misses 2-pt shot from 11 ft
7:54.0,Defensive rebound by B. Bass,,84-80,,
7:34.0,,,84-80,,Personal foul by D. Arthur (drawn by B. Bass)
7:34.0,B. Bass makes free throw 1 of 2,1,85-80,,
7:34.0,,,85-80,,A. Afflalo enters the game for R. Foye
7:34.0,,,85-80,,W. Chandler enters the game for D. Arthur
7:34.0,,,85-80,,K. Faried enters the game for D. Gallinari
7:34.0,B. Bass makes free throw 2 of 2,1,86-80,,
7:18.0,,,86-80,,K. Faried misses 2-pt shot from 3 ft
7:16.0,,,86-80,,Offensive rebound by J. Hickson
7:16.0,,,86-82,2,J. Hickson makes 2-pt shot from 2 ft
7:02.0,T. Prince misses 2-pt shot from 9 ft,,86-82,,
7:00.0,,,86-82,,Defensive rebound by J. Hickson
6:56.0,,,86-84,2,A. Afflalo makes 2-pt shot from 1 ft (assist by J. Hickson)
6:33.0,P. Pressey misses 2-pt shot from 15 ft,,86-84,,
6:31.0,,,86-84,,Defensive rebound by J. Hickson
6:25.0,,,86-87,3,J. Nelson makes 3-pt shot from 26 ft
6:23.0,Boston full timeout,,86-87,,
6:23.0,E. Turner enters the game for M. Thornton,,86-87,,
6:23.0,A. Bradley enters the game for P. Pressey,,86-87,,
6:08.0,T. Zeller makes 2-pt shot from 4 ft (assist by A. Bradley),2,88-87,,
5:42.0,,,88-89,2,A. Afflalo makes 2-pt shot from 15 ft (assist by K. Faried)
5:26.0,Turnover by A. Bradley (bad pass),,88-89,,
5:10.0,,,88-89,,Offensive foul by K. Faried
5:10.0,,,88-89,,Turnover by K. Faried (offensive foul)
5:10.0,M. Smart enters the game for T. Prince,,88-89,,
4:45.0,B. Bass makes 2-pt shot from 16 ft,2,90-89,,
4:27.0,,,90-89,,Shooting foul by B. Bass (drawn by A. Afflalo)
4:27.0,,,90-90,1,A. Afflalo makes free throw 1 of 2
4:27.0,,,90-91,1,A. Afflalo makes free throw 2 of 2
4:03.0,Turnover by Team (shot clock),,90-91,,
3:54.0,,,90-91,,Offensive foul by A. Afflalo
3:54.0,,,90-91,,Turnover by A. Afflalo (offensive foul)
3:54.0,J. Crowder enters the game for M. Smart,,90-91,,
3:54.0,J. Sullinger enters the game for T. Zeller,,90-91,,
3:41.0,B. Bass misses 2-pt shot from 18 ft,,90-91,,
3:40.0,Offensive rebound by J. Crowder,,90-91,,
