time,Oklahoma City,pts.away,score,pts.home,Portland
8:19.0,Defensive rebound by D. Waiters,,36-32,,
8:07.0,K. Singler misses 2-pt shot from 12 ft (block by M. Leonard),,36-32,,
8:05.0,Offensive rebound by M. McGary,,36-32,,
8:03.0,A. Morrow makes 2-pt shot from 2 ft (assist by M. McGary),2,38-32,,
7:47.0,,,38-34,2,C. Kaman makes 2-pt shot from 12 ft (assist by D. Lillard)
7:33.0,M. McGary misses 2-pt shot from 1 ft,,38-34,,
7:32.0,,,38-34,,Defensive rebound by C. Kaman
7:16.0,,,38-34,,W. Matthews misses 2-pt shot from 9 ft
7:15.0,Defensive rebound by K. Singler,,38-34,,
7:15.0,,,38-34,,Technical foul by C. Kaman
7:15.0,A. Morrow misses technical free throw,,38-34,,
7:15.0,Offensive rebound by Team,,38-34,,
7:15.0,R. Westbrook enters the game for D. Augustin,,38-34,,
7:15.0,,,38-34,,R. Lopez enters the game for C. Kaman
6:59.0,A. Morrow makes 3-pt shot from 25 ft (assist by R. Westbrook),3,41-34,,
6:41.0,,,41-37,3,M. Leonard makes 3-pt shot from 23 ft (assist by A. Afflalo)
6:24.0,R. Westbrook makes 2-pt shot from 6 ft,2,43-37,,
6:24.0,Shooting foul by M. Leonard (drawn by R. Westbrook),,43-37,,
6:24.0,,,43-37,,N. Batum enters the game for M. Leonard
6:24.0,,,43-37,,L. Aldridge enters the game for W. Matthews
6:24.0,S. Ibaka enters the game for K. Singler,,43-37,,
6:24.0,R. Westbrook makes free throw 1 of 1,1,44-37,,
6:06.0,,,44-37,,R. Lopez misses 2-pt shot at rim
6:05.0,,,44-37,,Offensive rebound by R. Lopez
6:05.0,,,44-37,,R. Lopez misses 2-pt shot at rim
6:04.0,Defensive rebound by R. Westbrook,,44-37,,
5:46.0,M. McGary misses 2-pt shot from 9 ft,,44-37,,
5:43.0,Offensive rebound by S. Ibaka,,44-37,,
5:41.0,S. Ibaka misses 3-pt shot from 26 ft,,44-37,,
5:40.0,Offensive rebound by R. Westbrook,,44-37,,
5:33.0,D. Waiters misses 2-pt shot from 4 ft,,44-37,,
5:32.0,,,44-37,,Defensive rebound by R. Lopez
5:25.0,,,44-37,,N. Batum misses 2-pt shot from 20 ft
5:24.0,Defensive rebound by R. Westbrook,,44-37,,
5:20.0,Shooting foul by A. Afflalo (drawn by D. Waiters),,44-37,,
5:20.0,Official timeout,,44-37,,
5:20.0,,,44-37,,W. Matthews enters the game for A. Afflalo
5:20.0,D. Waiters misses free throw 1 of 2,,44-37,,
5:20.0,Offensive rebound by Team,,44-37,,
5:20.0,D. Waiters makes free throw 2 of 2,1,45-37,,
5:10.0,,,45-37,,Turnover by L. Aldridge (bad pass; steal by R. Westbrook)
4:56.0,M. McGary makes 2-pt shot from 13 ft (assist by D. Waiters),2,47-37,,
4:36.0,,,47-37,,Shooting foul by S. Ibaka (drawn by L. Aldridge)
4:36.0,,,47-38,1,L. Aldridge makes free throw 1 of 2
4:36.0,,,47-39,1,L. Aldridge makes free throw 2 of 2
4:22.0,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook),2,49-39,,
4:11.0,,,49-41,2,D. Lillard makes 2-pt shot from 1 ft
4:01.0,R. Westbrook misses 2-pt shot from 15 ft,,49-41,,
3:59.0,,,49-41,,Defensive rebound by L. Aldridge
3:54.0,,,49-41,,D. Lillard misses 2-pt shot from 4 ft
3:52.0,,,49-41,,Offensive rebound by R. Lopez
3:52.0,,,49-41,,R. Lopez misses 2-pt shot from 3 ft
3:51.0,,,49-41,,Offensive rebound by L. Aldridge
3:49.0,,,49-41,,L. Aldridge misses 2-pt shot from 3 ft (block by S. Ibaka)
3:48.0,Defensive rebound by D. Waiters,,49-41,,
3:46.0,N. Collison enters the game for M. McGary,,49-41,,
3:38.0,N. Collison makes 2-pt shot from 1 ft (assist by R. Westbrook),2,51-41,,
3:13.0,,,51-41,,N. Batum misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by R. Westbrook,,51-41,,
3:07.0,Turnover by R. Westbrook (bad pass),,51-41,,
2:50.0,,,51-43,2,L. Aldridge makes 2-pt shot from 6 ft
2:44.0,Oklahoma City full timeout,,51-43,,
2:44.0,A. Roberson enters the game for A. Morrow,,51-43,,
2:36.0,D. Waiters misses 2-pt shot from 15 ft,,51-43,,
2:36.0,,,51-43,,Defensive rebound by W. Matthews
2:27.0,,,51-43,,W. Matthews misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by A. Roberson,,51-43,,
2:22.0,Turnover by R. Westbrook (lost ball),,51-43,,
2:02.0,,,51-43,,W. Matthews misses 2-pt shot from 1 ft
2:01.0,Defensive rebound by N. Collison,,51-43,,
1:51.0,D. Waiters misses 2-pt shot from 17 ft,,51-43,,
1:50.0,Offensive rebound by D. Waiters,,51-43,,
1:38.0,N. Collison makes 2-pt shot from 2 ft,2,53-43,,
1:19.0,,,53-43,,Shooting foul by N. Collison (drawn by D. Lillard)
1:19.0,,,53-44,1,D. Lillard makes free throw 1 of 2
1:19.0,D. Augustin enters the game for D. Waiters,,53-44,,
1:19.0,,,53-45,1,D. Lillard makes free throw 2 of 2
1:00.0,R. Westbrook makes 2-pt shot from 17 ft,2,55-45,,
0:49.0,,,55-45,,D. Lillard misses 2-pt shot from 17 ft
0:47.0,Defensive rebound by R. Westbrook,,55-45,,
0:43.0,D. Augustin makes 2-pt shot from 21 ft (assist by R. Westbrook),2,57-45,,
0:31.0,,,57-45,,R. Lopez misses 2-pt shot from 4 ft (block by S. Ibaka)
0:29.0,Defensive rebound by A. Roberson,,57-45,,
0:12.0,Shooting foul by N. Batum (drawn by R. Westbrook),,57-45,,
0:12.0,R. Westbrook makes free throw 1 of 2,1,58-45,,
0:12.0,K. Singler enters the game for D. Augustin,,58-45,,
0:12.0,R. Westbrook makes free throw 2 of 2,1,59-45,,
0:12.0,,,59-45,,Portland full timeout
0:12.0,,,59-45,,A. Afflalo enters the game for R. Lopez
0:01.0,,,59-45,,Shooting foul by N. Collison (drawn by D. Lillard)
0:01.0,,,59-46,1,D. Lillard makes free throw 1 of 2
0:01.0,Oklahoma City full timeout,,59-46,,
0:01.0,M. McGary enters the game for N. Collison,,59-46,,
0:01.0,,,59-47,1,D. Lillard makes free throw 2 of 2
0:01.0,Turnover by M. McGary (bad pass; steal by W. Matthews),,59-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,59-47,,W. Matthews misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by R. Westbrook,,59-47,,
11:30.0,Turnover by N. Collison (bad pass; steal by N. Batum),,59-47,,
11:23.0,,,59-50,3,W. Matthews makes 3-pt shot from 24 ft (assist by N. Batum)
11:04.0,N. Collison misses 2-pt shot from 14 ft,,59-50,,
11:03.0,,,59-50,,Defensive rebound by L. Aldridge
10:52.0,Personal block foul by A. Roberson (drawn by W. Matthews),,59-50,,
10:45.0,Shooting block foul by N. Collison (drawn by L. Aldridge),,59-50,,
10:45.0,,,59-51,1,L. Aldridge makes free throw 1 of 2
10:45.0,M. McGary enters the game for N. Collison,,59-51,,
10:45.0,,,59-52,1,L. Aldridge makes free throw 2 of 2
10:36.0,R. Westbrook misses 2-pt shot from 1 ft,,59-52,,
10:35.0,,,59-52,,Defensive rebound by N. Batum
10:28.0,,,59-54,2,D. Lillard makes 2-pt shot at rim (assist by L. Aldridge)
10:25.0,Oklahoma City full timeout,,59-54,,
10:14.0,R. Westbrook makes 2-pt shot from 16 ft,2,61-54,,
10:00.0,,,61-54,,W. Matthews misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by S. Ibaka,,61-54,,
9:53.0,M. McGary makes 2-pt shot at rim (assist by R. Westbrook),2,63-54,,
9:32.0,,,63-54,,Turnover by N. Batum (bad pass; steal by M. McGary)
9:27.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,65-54,,
9:08.0,,,65-54,,L. Aldridge misses 2-pt shot from 13 ft
9:06.0,,,65-54,,Offensive rebound by L. Aldridge
8:59.0,,,65-54,,W. Matthews misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by K. Singler,,65-54,,
8:52.0,M. McGary makes 2-pt shot at rim (assist by R. Westbrook),2,67-54,,
8:52.0,,,67-54,,Portland full timeout
8:33.0,,,67-54,,D. Lillard misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by A. Roberson,,67-54,,
8:17.0,S. Ibaka makes 2-pt shot at rim,2,69-54,,
8:01.0,,,69-56,2,R. Lopez makes 2-pt shot from 17 ft (assist by N. Batum)
7:40.0,R. Westbrook misses 2-pt shot from 17 ft,,69-56,,
7:39.0,,,69-56,,Defensive rebound by N. Batum
7:25.0,,,69-56,,Turnover by R. Lopez (lost ball; steal by K. Singler)
7:18.0,Turnover by R. Westbrook (lost ball; steal by D. Lillard),,69-56,,
7:14.0,,,69-58,2,D. Lillard makes 2-pt shot from 1 ft
7:01.0,Turnover by R. Westbrook (lost ball; steal by W. Matthews),,69-58,,
6:58.0,Violation by R. Westbrook (kicked ball),,69-58,,
6:50.0,,,69-61,3,D. Lillard makes 3-pt shot from 25 ft
6:31.0,R. Westbrook misses 2-pt shot from 12 ft,,69-61,,
6:30.0,,,69-61,,Defensive rebound by L. Aldridge
6:13.0,,,69-64,3,N. Batum makes 3-pt shot from 25 ft (assist by L. Aldridge)
6:11.0,Oklahoma City full timeout,,69-64,,
6:11.0,D. Waiters enters the game for A. Roberson,,69-64,,
5:54.0,R. Westbrook misses 2-pt shot from 1 ft,,69-64,,
5:53.0,,,69-64,,Defensive rebound by D. Lillard
5:49.0,,,69-64,,Turnover by D. Lillard (bad pass)
5:47.0,,,69-64,,Personal foul by N. Batum (drawn by R. Westbrook)
5:47.0,,,69-64,,A. Afflalo enters the game for W. Matthews
5:37.0,D. Waiters makes 2-pt shot from 14 ft,2,71-64,,
5:18.0,,,71-66,2,A. Afflalo makes 2-pt shot from 5 ft
5:18.0,,,71-66,,Shooting foul by D. Waiters (drawn by A. Afflalo)
5:18.0,,,71-67,1,A. Afflalo makes free throw 1 of 1
5:06.0,D. Waiters misses 2-pt shot from 1 ft,,71-67,,
5:05.0,,,71-67,,Defensive rebound by R. Lopez
4:58.0,,,71-67,,D. Lillard misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by Team,,71-67,,
4:56.0,A. Morrow enters the game for K. Singler,,71-67,,
4:36.0,M. McGary makes 2-pt shot at rim (assist by A. Morrow),2,73-67,,
4:15.0,,,73-67,,L. Aldridge misses 2-pt shot from 11 ft
4:14.0,Defensive rebound by R. Westbrook,,73-67,,
4:11.0,R. Westbrook makes 2-pt shot from 2 ft,2,75-67,,
3:56.0,,,75-69,2,L. Aldridge makes 2-pt shot from 1 ft
3:34.0,M. McGary makes 2-pt shot from 4 ft,2,77-69,,
3:12.0,,,77-71,2,L. Aldridge makes 2-pt shot from 15 ft (assist by R. Lopez)
2:51.0,M. McGary makes 2-pt shot from 1 ft (assist by R. Westbrook),2,79-71,,
2:40.0,,,79-71,,D. Lillard misses 2-pt shot from 2 ft
2:39.0,Defensive rebound by M. McGary,,79-71,,
2:36.0,Shooting foul by L. Aldridge (drawn by R. Westbrook),,79-71,,
2:36.0,,,79-71,,Technical foul by Team
2:36.0,R. Westbrook misses technical free throw,,79-71,,
2:36.0,Offensive rebound by Team,,79-71,,
2:36.0,R. Westbrook makes free throw 1 of 2,1,80-71,,
2:36.0,,,80-71,,C. Kaman enters the game for R. Lopez
2:36.0,,,80-71,,S. Blake enters the game for D. Lillard
2:36.0,R. Westbrook makes free throw 2 of 2,1,81-71,,
2:12.0,Violation by S. Ibaka (def goaltending),,81-71,,
2:12.0,,,81-73,2,C. Kaman makes 2-pt shot from 2 ft (assist by S. Blake)
2:06.0,R. Westbrook misses 2-pt shot from 1 ft,,81-73,,
2:05.0,,,81-73,,Defensive rebound by C. Kaman
1:57.0,,,81-73,,L. Aldridge misses 3-pt shot from 26 ft
1:56.0,Defensive rebound by R. Westbrook,,81-73,,
1:42.0,R. Westbrook makes 2-pt shot from 1 ft (assist by M. McGary),2,83-73,,
1:28.0,Personal foul by A. Morrow (drawn by N. Batum),,83-73,,
1:28.0,D. Augustin enters the game for R. Westbrook,,83-73,,
1:17.0,,,83-73,,L. Aldridge misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by D. Augustin,,83-73,,
1:06.0,S. Ibaka makes 2-pt shot from 20 ft (assist by D. Augustin),2,85-73,,
0:52.0,,,85-73,,Turnover by S. Blake (bad pass; steal by D. Augustin)
0:48.0,D. Waiters makes 2-pt shot from 2 ft (assist by D. Augustin),2,87-73,,
0:35.0,,,87-76,3,N. Batum makes 3-pt shot from 26 ft (assist by L. Aldridge)
0:19.0,M. McGary makes 2-pt shot from 8 ft (assist by D. Augustin),2,89-76,,
0:01.0,,,89-78,2,A. Afflalo makes 2-pt shot from 7 ft
0:00.0,D. Augustin misses 3-pt shot from 50 ft,,89-78,,
0:00.0,,,89-78,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,D. Waiters misses 2-pt shot from 2 ft,,89-78,,
11:38.0,,,89-78,,Defensive rebound by C. Kaman
11:25.0,,,89-78,,W. Matthews misses 2-pt shot from 12 ft
11:24.0,,,89-78,,Offensive rebound by C. Kaman
11:24.0,,,89-80,2,C. Kaman makes 2-pt shot at rim
11:10.0,,,89-80,,Personal foul by S. Blake (drawn by D. Augustin)
11:03.0,Shooting foul by S. Blake (drawn by D. Augustin),,89-80,,
11:03.0,D. Augustin makes free throw 1 of 2,1,90-80,,
11:03.0,D. Augustin makes free throw 2 of 2,1,91-80,,
10:45.0,Personal foul by A. Morrow (drawn by C. Kaman),,91-80,,
10:37.0,,,91-80,,Shooting foul by D. Waiters (drawn by W. Matthews)
10:37.0,,,91-81,1,W. Matthews makes free throw 1 of 2
10:37.0,,,91-82,1,W. Matthews makes free throw 2 of 2
10:17.0,D. Augustin misses 2-pt shot from 2 ft,,91-82,,
10:16.0,Offensive rebound by M. McGary,,91-82,,
10:15.0,M. McGary makes 2-pt shot at rim,2,93-82,,
9:56.0,,,93-82,,D. Wright misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by M. McGary,,93-82,,
9:40.0,M. McGary makes 2-pt shot from 1 ft (assist by D. Augustin),2,95-82,,
9:40.0,,,95-82,,Portland full timeout
9:40.0,,,95-82,,D. Lillard enters the game for S. Blake
9:28.0,,,95-85,3,A. Afflalo makes 3-pt shot from 26 ft (assist by D. Lillard)
9:14.0,Offensive foul by M. McGary,,95-85,,
9:14.0,Turnover by M. McGary (offensive foul),,95-85,,
9:05.0,,,95-85,,Turnover by W. Matthews (bad pass; steal by D. Augustin)
9:00.0,D. Augustin misses 2-pt shot from 2 ft (block by W. Matthews),,95-85,,
8:58.0,,,95-85,,Defensive rebound by C. Kaman
8:56.0,,,95-85,,Shooting foul by A. Morrow (drawn by A. Afflalo)
8:56.0,,,95-85,,A. Afflalo misses free throw 1 of 2
8:56.0,,,95-85,,Offensive rebound by Team
8:56.0,,,95-85,,N. Batum enters the game for W. Matthews
8:56.0,,,95-86,1,A. Afflalo makes free throw 2 of 2
8:38.0,D. Waiters makes 2-pt shot from 19 ft (assist by K. Singler),2,97-86,,
8:21.0,,,97-86,,Shooting foul by K. Singler (drawn by D. Lillard)
8:21.0,,,97-86,,D. Lillard misses free throw 1 of 2
8:21.0,,,97-86,,Offensive rebound by Team
8:21.0,R. Westbrook enters the game for A. Morrow,,97-86,,
8:21.0,,,97-86,,L. Aldridge enters the game for C. Kaman
8:21.0,,,97-87,1,D. Lillard makes free throw 2 of 2
8:10.0,R. Westbrook misses 2-pt shot from 11 ft,,97-87,,
8:09.0,,,97-87,,Defensive rebound by Team
7:56.0,,,97-89,2,D. Lillard makes 2-pt shot from 1 ft
7:38.0,D. Waiters misses 2-pt shot from 2 ft (block by L. Aldridge),,97-89,,
7:38.0,Offensive rebound by Team,,97-89,,
7:38.0,S. Ibaka enters the game for M. McGary,,97-89,,
7:30.0,S. Ibaka misses 2-pt shot from 9 ft (block by N. Batum),,97-89,,
7:30.0,Offensive rebound by S. Ibaka,,97-89,,
7:30.0,Turnover by Team (shot clock),,97-89,,
7:20.0,,,97-91,2,D. Lillard makes 2-pt shot at rim
7:19.0,Oklahoma City full timeout,,97-91,,
7:10.0,R. Westbrook makes 2-pt shot from 1 ft,2,99-91,,
6:56.0,,,99-91,,Shooting foul by K. Singler (drawn by N. Batum)
6:56.0,,,99-92,1,N. Batum makes free throw 1 of 3
6:56.0,,,99-93,1,N. Batum makes free throw 2 of 3
6:56.0,,,99-94,1,N. Batum makes free throw 3 of 3
6:47.0,R. Westbrook makes 2-pt shot from 1 ft,2,101-94,,
6:31.0,,,101-94,,D. Lillard misses 2-pt shot from 4 ft
6:30.0,,,101-94,,Offensive rebound by L. Aldridge
6:30.0,,,101-96,2,L. Aldridge makes 2-pt shot from 1 ft
6:11.0,D. Augustin misses 3-pt shot from 25 ft,,101-96,,
6:10.0,Offensive rebound by R. Westbrook,,101-96,,
5:57.0,S. Ibaka misses 2-pt shot from 17 ft,,101-96,,
5:56.0,,,101-96,,Defensive rebound by Team
5:55.0,,,101-96,,W. Matthews enters the game for D. Wright
5:44.0,,,101-96,,Shooting foul by D. Waiters (drawn by A. Afflalo)
5:44.0,,,101-96,,A. Afflalo misses free throw 1 of 3
5:44.0,,,101-96,,Offensive rebound by Team
5:44.0,,,101-97,1,A. Afflalo makes free throw 2 of 3
5:44.0,A. Roberson enters the game for D. Waiters,,101-97,,
5:44.0,,,101-98,1,A. Afflalo makes free throw 3 of 3
5:33.0,R. Westbrook misses 2-pt shot from 16 ft,,101-98,,
5:32.0,Offensive rebound by R. Westbrook,,101-98,,
5:30.0,R. Westbrook misses 2-pt shot from 11 ft,,101-98,,
5:28.0,Offensive rebound by S. Ibaka,,101-98,,
5:25.0,S. Ibaka makes 2-pt shot from 2 ft,2,103-98,,
5:06.0,,,103-101,3,W. Matthews makes 3-pt shot from 23 ft (assist by L. Aldridge)
4:47.0,R. Westbrook misses 2-pt shot from 12 ft,,103-101,,
4:45.0,,,103-101,,Defensive rebound by L. Aldridge
4:34.0,,,103-101,,L. Aldridge misses 2-pt shot from 1 ft
4:33.0,,,103-101,,Offensive rebound by L. Aldridge
4:33.0,,,103-103,2,L. Aldridge makes 2-pt shot from 1 ft
4:32.0,Oklahoma City full timeout,,103-103,,
4:15.0,A. Roberson misses 3-pt shot from 23 ft,,103-103,,
4:15.0,Offensive rebound by Team,,103-103,,
