time,Boston,pts.away,score,pts.home,Portland
6:40.0,,,8-10,,Turnover by T. Robinson (bad pass; steal by T. Zeller)
6:29.0,Turnover by A. Bradley (bad pass; steal by T. Robinson),,8-10,,
6:29.0,Personal foul by A. Bradley (drawn by C. Kaman),,8-10,,
6:29.0,M. Smart enters the game for J. Crowder,,8-10,,
6:22.0,,,8-10,,W. Matthews misses 3-pt shot from 24 ft
6:20.0,,,8-10,,Offensive rebound by T. Robinson
6:17.0,,,8-12,2,C. Kaman makes 2-pt shot from 3 ft (assist by T. Robinson)
6:05.0,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner),2,10-12,,
6:05.0,Shooting foul by C. Kaman (drawn by T. Zeller),,10-12,,
6:05.0,T. Zeller makes free throw 1 of 1,1,11-12,,
5:47.0,,,11-12,,N. Batum misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by T. Zeller,,11-12,,
5:36.0,Turnover by E. Turner (bad pass; steal by W. Matthews),,11-12,,
5:24.0,,,11-12,,Turnover by C. Kaman (traveling)
5:24.0,,,11-12,,Portland full timeout
5:24.0,,,11-12,,M. Leonard enters the game for C. Kaman
5:24.0,,,11-12,,S. Blake enters the game for W. Matthews
5:24.0,,,11-12,,V. Claver enters the game for T. Robinson
5:08.0,J. Sullinger makes 2-pt shot from 19 ft (assist by A. Bradley),2,13-12,,
4:53.0,,,13-12,,N. Batum misses 2-pt shot from 8 ft
4:52.0,Defensive rebound by E. Turner,,13-12,,
4:45.0,Shooting foul by D. Lillard (drawn by A. Bradley),,13-12,,
4:45.0,A. Bradley misses free throw 1 of 2,,13-12,,
4:45.0,Offensive rebound by Team,,13-12,,
4:45.0,K. Olynyk enters the game for J. Sullinger,,13-12,,
4:45.0,,,13-12,,C. McCollum enters the game for D. Lillard
4:45.0,A. Bradley makes free throw 2 of 2,1,14-12,,
4:31.0,,,14-12,,N. Batum misses 2-pt shot from 19 ft
4:29.0,Defensive rebound by M. Smart,,14-12,,
4:17.0,M. Smart misses 3-pt shot from 24 ft,,14-12,,
4:15.0,,,14-12,,Defensive rebound by M. Leonard
3:52.0,,,14-15,3,V. Claver makes 3-pt shot from 24 ft (assist by N. Batum)
3:28.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,17-15,,
3:07.0,,,17-15,,N. Batum misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by K. Olynyk,,17-15,,
2:59.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,19-15,,
2:34.0,,,19-17,2,M. Leonard makes 2-pt shot from 14 ft (assist by S. Blake)
2:21.0,K. Olynyk makes 2-pt shot from 21 ft (assist by A. Bradley),2,21-17,,
2:08.0,,,21-17,,Turnover by V. Claver (lost ball; steal by A. Bradley)
2:02.0,T. Zeller misses 2-pt shot at rim (block by M. Leonard),,21-17,,
1:59.0,Offensive rebound by T. Zeller,,21-17,,
1:59.0,T. Zeller misses 2-pt shot from 1 ft,,21-17,,
1:58.0,,,21-17,,Defensive rebound by V. Claver
1:49.0,,,21-17,,N. Batum misses 2-pt shot from 7 ft
1:49.0,Defensive rebound by Team,,21-17,,
1:49.0,,,21-17,,Loose ball foul by V. Claver (drawn by K. Olynyk)
1:49.0,Boston full timeout,,21-17,,
1:49.0,,,21-17,,W. Matthews enters the game for N. Batum
1:49.0,T. Prince enters the game for E. Turner,,21-17,,
1:49.0,B. Bass enters the game for T. Zeller,,21-17,,
1:31.0,M. Smart misses 2-pt shot from 21 ft,,21-17,,
1:30.0,,,21-17,,Defensive rebound by M. Leonard
1:17.0,,,21-17,,C. McCollum misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by A. Bradley,,21-17,,
1:02.0,T. Prince makes 2-pt shot from 20 ft,2,23-17,,
0:51.0,,,23-17,,Turnover by S. Blake (bad pass; steal by B. Bass)
0:26.0,T. Prince misses 2-pt shot from 11 ft,,23-17,,
0:25.0,,,23-17,,Defensive rebound by V. Claver
0:05.0,,,23-19,2,C. McCollum makes 2-pt shot from 4 ft
0:00.0,M. Smart misses 2-pt shot from 6 ft,,23-19,,
0:00.0,Offensive rebound by Team,,23-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-21,2,C. McCollum makes 2-pt shot from 14 ft
11:31.0,K. Olynyk misses 2-pt shot from 1 ft (block by V. Claver),,23-21,,
11:30.0,,,23-21,,Defensive rebound by M. Leonard
11:23.0,,,23-21,,C. McCollum misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by B. Bass,,23-21,,
11:05.0,M. Thornton makes 2-pt shot from 19 ft (assist by B. Bass),2,25-21,,
10:51.0,,,25-21,,W. Matthews misses 2-pt shot from 2 ft
10:50.0,,,25-21,,Offensive rebound by M. Leonard
10:50.0,,,25-23,2,M. Leonard makes 2-pt shot at rim
10:30.0,,,25-23,,Personal foul by W. Barton (drawn by B. Bass)
10:30.0,,,25-23,,C. Kaman enters the game for V. Claver
10:16.0,M. Thornton misses 3-pt shot from 29 ft,,25-23,,
10:15.0,Offensive rebound by B. Bass,,25-23,,
10:03.0,M. Smart misses 2-pt shot from 6 ft,,25-23,,
10:02.0,,,25-23,,Defensive rebound by W. Matthews
9:52.0,,,25-23,,C. McCollum misses 2-pt shot from 1 ft
9:51.0,Defensive rebound by K. Olynyk,,25-23,,
9:43.0,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart),3,28-23,,
9:21.0,Personal foul by K. Olynyk (drawn by M. Leonard),,28-23,,
9:14.0,,,28-25,2,C. Kaman makes 2-pt shot from 1 ft (assist by W. Barton)
9:00.0,K. Olynyk misses 3-pt shot from 24 ft,,28-25,,
8:58.0,,,28-25,,Defensive rebound by M. Leonard
8:50.0,,,28-25,,M. Leonard misses 3-pt shot from 24 ft
8:49.0,,,28-25,,Offensive rebound by C. Kaman
8:41.0,,,28-25,,W. Barton misses 2-pt shot from 5 ft
8:40.0,,,28-25,,Offensive rebound by C. Kaman
8:40.0,,,28-27,2,C. Kaman makes 2-pt shot at rim
8:12.0,B. Bass makes 2-pt shot from 14 ft,2,30-27,,
7:58.0,,,30-27,,Turnover by W. Matthews (bad pass)
7:58.0,Official timeout,,30-27,,
7:58.0,,,30-27,,D. Lillard enters the game for C. McCollum
7:58.0,,,30-27,,T. Robinson enters the game for W. Matthews
7:58.0,,,30-27,,N. Batum enters the game for M. Leonard
7:47.0,Offensive foul by B. Bass,,30-27,,
7:47.0,Turnover by B. Bass (offensive foul),,30-27,,
7:33.0,,,30-27,,D. Lillard misses 2-pt shot from 8 ft
7:30.0,Defensive rebound by T. Prince,,30-27,,
7:19.0,M. Thornton misses 2-pt shot from 5 ft,,30-27,,
7:18.0,Offensive rebound by K. Olynyk,,30-27,,
7:14.0,M. Thornton makes 3-pt shot from 23 ft (assist by M. Smart),3,33-27,,
7:01.0,,,33-27,,Shooting foul by K. Olynyk (drawn by W. Barton)
7:01.0,,,33-28,1,W. Barton makes free throw 1 of 2
7:01.0,,,33-29,1,W. Barton makes free throw 2 of 2
6:52.0,,,33-29,,Personal foul by T. Robinson (drawn by K. Olynyk)
6:45.0,Offensive foul by K. Olynyk,,33-29,,
6:45.0,Turnover by K. Olynyk (offensive foul),,33-29,,
6:30.0,,,33-31,2,C. Kaman makes 2-pt shot from 18 ft (assist by N. Batum)
6:14.0,K. Olynyk misses 2-pt shot from 5 ft,,33-31,,
6:13.0,Offensive rebound by B. Bass,,33-31,,
6:12.0,B. Bass misses 2-pt shot from 1 ft (block by T. Robinson),,33-31,,
6:07.0,,,33-31,,Defensive rebound by N. Batum
6:05.0,,,33-31,,W. Barton misses 2-pt shot from 2 ft
6:05.0,,,33-31,,Offensive rebound by T. Robinson
6:05.0,,,33-33,2,T. Robinson makes 2-pt shot at rim
6:05.0,Boston full timeout,,33-33,,
6:05.0,J. Sullinger enters the game for K. Olynyk,,33-33,,
6:05.0,E. Turner enters the game for M. Smart,,33-33,,
5:52.0,B. Bass misses 2-pt shot from 16 ft,,33-33,,
5:51.0,,,33-33,,Defensive rebound by T. Robinson
5:43.0,,,33-33,,D. Lillard misses 2-pt shot from 16 ft
5:42.0,Defensive rebound by E. Turner,,33-33,,
5:32.0,M. Thornton misses 2-pt shot from 20 ft,,33-33,,
5:30.0,,,33-33,,Defensive rebound by N. Batum
5:15.0,,,33-33,,D. Lillard misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by B. Bass,,33-33,,
5:00.0,J. Sullinger misses 2-pt shot from 16 ft,,33-33,,
4:58.0,,,33-33,,Defensive rebound by C. Kaman
4:41.0,,,33-33,,T. Robinson misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by E. Turner,,33-33,,
4:32.0,J. Sullinger makes 2-pt shot at rim (assist by B. Bass),2,35-33,,
4:14.0,,,35-33,,Turnover by W. Barton (lost ball; steal by J. Sullinger)
3:54.0,T. Prince makes 3-pt shot from 23 ft (assist by E. Turner),3,38-33,,
3:54.0,,,38-33,,Portland full timeout
3:54.0,,,38-33,,D. Wright enters the game for C. Kaman
3:54.0,J. Crowder enters the game for T. Prince,,38-33,,
3:54.0,A. Bradley enters the game for M. Thornton,,38-33,,
3:54.0,,,38-33,,W. Matthews enters the game for W. Barton
3:40.0,,,38-35,2,D. Lillard makes 2-pt shot from 8 ft
3:26.0,B. Bass misses 2-pt shot from 6 ft,,38-35,,
3:25.0,Offensive rebound by B. Bass,,38-35,,
3:22.0,E. Turner misses 3-pt shot from 25 ft,,38-35,,
3:21.0,,,38-35,,Defensive rebound by T. Robinson
2:58.0,,,38-37,2,D. Lillard makes 2-pt shot from 1 ft (assist by N. Batum)
2:43.0,Turnover by J. Crowder (bad pass; steal by D. Wright),,38-37,,
2:39.0,,,38-39,2,W. Matthews makes 2-pt shot from 1 ft
2:19.0,E. Turner misses 2-pt shot from 17 ft,,38-39,,
2:18.0,Offensive rebound by Team,,38-39,,
2:11.0,Shooting foul by T. Robinson (drawn by B. Bass),,38-39,,
2:11.0,B. Bass misses free throw 1 of 2,,38-39,,
2:11.0,Offensive rebound by Team,,38-39,,
2:11.0,B. Bass makes free throw 2 of 2,1,39-39,,
1:59.0,,,39-39,,Shooting foul by A. Bradley (drawn by D. Lillard)
1:59.0,,,39-40,1,D. Lillard makes free throw 1 of 3
1:59.0,,,39-41,1,D. Lillard makes free throw 2 of 3
1:59.0,,,39-42,1,D. Lillard makes free throw 3 of 3
1:44.0,E. Turner makes 3-pt shot from 24 ft (assist by J. Crowder),3,42-42,,
1:33.0,,,42-42,,D. Lillard misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by J. Crowder,,42-42,,
1:23.0,Turnover by J. Sullinger (bad pass; steal by D. Wright),,42-42,,
1:15.0,,,42-42,,D. Wright misses 3-pt shot from 22 ft
1:14.0,Defensive rebound by B. Bass,,42-42,,
1:03.0,Turnover by E. Turner (bad pass),,42-42,,
1:03.0,M. Smart enters the game for J. Crowder,,42-42,,
1:03.0,,,42-42,,M. Leonard enters the game for T. Robinson
0:46.0,,,42-42,,N. Batum misses 2-pt shot from 16 ft
0:45.0,Defensive rebound by A. Bradley,,42-42,,
0:31.0,A. Bradley makes 2-pt shot from 20 ft (assist by B. Bass),2,44-42,,
0:15.0,,,44-42,,D. Lillard misses 2-pt shot from 13 ft
0:14.0,Defensive rebound by J. Sullinger,,44-42,,
0:02.0,,,44-42,,Personal foul by M. Leonard (drawn by M. Smart)
0:02.0,,,44-42,,C. McCollum enters the game for D. Lillard
0:02.0,K. Olynyk enters the game for B. Bass,,44-42,,
0:02.0,,,44-42,,W. Barton enters the game for N. Batum
0:00.0,J. Sullinger misses 3-pt shot from 24 ft,,44-42,,
0:00.0,Offensive rebound by Team,,44-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,44-45,3,W. Matthews makes 3-pt shot from 24 ft (assist by C. Kaman)
11:32.0,E. Turner misses 2-pt shot from 5 ft,,44-45,,
11:32.0,Offensive rebound by B. Bass,,44-45,,
11:32.0,B. Bass makes 2-pt shot at rim,2,46-45,,
11:10.0,,,46-45,,C. Kaman misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by Team,,46-45,,
11:09.0,,,46-45,,Loose ball foul by T. Robinson (drawn by B. Bass)
10:53.0,J. Sullinger makes 2-pt shot from 21 ft (assist by E. Turner),2,48-45,,
10:35.0,,,48-45,,D. Lillard misses 2-pt shot from 12 ft
10:34.0,Defensive rebound by J. Sullinger,,48-45,,
10:24.0,J. Crowder misses 2-pt shot from 16 ft,,48-45,,
10:23.0,,,48-45,,Defensive rebound by D. Lillard
10:19.0,,,48-45,,D. Lillard misses 2-pt shot from 4 ft (block by J. Crowder)
10:17.0,,,48-45,,Offensive rebound by D. Lillard
10:17.0,Personal foul by J. Crowder (drawn by D. Lillard),,48-45,,
10:07.0,,,48-47,2,T. Robinson makes 2-pt shot from 2 ft
9:49.0,J. Sullinger misses 3-pt shot from 24 ft,,48-47,,
9:49.0,,,48-47,,Defensive rebound by N. Batum
9:36.0,,,48-47,,T. Robinson misses 2-pt shot from 17 ft
9:34.0,Defensive rebound by B. Bass,,48-47,,
9:21.0,A. Bradley misses 2-pt shot from 22 ft,,48-47,,
9:20.0,Offensive rebound by J. Sullinger,,48-47,,
9:13.0,A. Bradley misses 3-pt shot from 23 ft,,48-47,,
9:13.0,,,48-47,,Defensive rebound by C. Kaman
9:00.0,,,48-47,,W. Matthews misses 2-pt shot from 3 ft
8:59.0,Defensive rebound by J. Sullinger,,48-47,,
8:55.0,Turnover by E. Turner (palming),,48-47,,
8:44.0,Personal foul by E. Turner (drawn by W. Matthews),,48-47,,
8:35.0,,,48-47,,D. Wright enters the game for N. Batum
8:30.0,,,48-50,3,W. Matthews makes 3-pt shot from 24 ft
8:19.0,B. Bass makes 2-pt shot from 16 ft,2,50-50,,
8:03.0,,,50-53,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard)
7:39.0,J. Crowder misses 2-pt shot at rim (block by T. Robinson),,50-53,,
7:38.0,Offensive rebound by Team,,50-53,,
7:33.0,E. Turner misses 2-pt shot from 16 ft,,50-53,,
7:32.0,,,50-53,,Defensive rebound by D. Lillard
7:22.0,,,50-53,,Turnover by D. Lillard (bad pass; steal by E. Turner)
7:19.0,J. Crowder makes 2-pt shot at rim (assist by E. Turner),2,52-53,,
6:57.0,,,52-56,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard)
6:55.0,Boston full timeout,,52-56,,
6:55.0,T. Zeller enters the game for B. Bass,,52-56,,
6:55.0,,,52-56,,M. Leonard enters the game for C. Kaman
6:39.0,J. Sullinger makes 2-pt shot from 4 ft,2,54-56,,
6:14.0,,,54-56,,M. Leonard misses 2-pt shot from 7 ft
6:14.0,Defensive rebound by J. Crowder,,54-56,,
6:01.0,E. Turner misses 3-pt shot from 22 ft,,54-56,,
6:00.0,,,54-56,,Defensive rebound by D. Wright
5:51.0,,,54-56,,D. Lillard misses 2-pt shot from 17 ft
5:50.0,,,54-56,,Offensive rebound by D. Lillard
5:48.0,,,54-56,,D. Lillard misses 2-pt shot from 5 ft (block by T. Zeller)
5:47.0,Defensive rebound by T. Zeller,,54-56,,
5:33.0,Turnover by T. Zeller (lost ball; steal by T. Robinson),,54-56,,
5:33.0,,,54-56,,V. Claver enters the game for T. Robinson
5:33.0,M. Smart enters the game for J. Crowder,,54-56,,
5:21.0,,,54-59,3,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard)
5:07.0,J. Sullinger makes 3-pt shot from 24 ft,3,57-59,,
4:53.0,,,57-59,,Shooting foul by M. Smart (drawn by D. Wright)
4:53.0,,,57-59,,D. Wright misses free throw 1 of 2
4:53.0,,,57-59,,Offensive rebound by Team
4:53.0,,,57-60,1,D. Wright makes free throw 2 of 2
4:41.0,Turnover by J. Sullinger (traveling),,57-60,,
4:27.0,,,57-60,,D. Wright misses 3-pt shot from 23 ft
4:27.0,Defensive rebound by E. Turner,,57-60,,
4:21.0,A. Bradley makes 2-pt shot from 17 ft,2,59-60,,
4:13.0,Personal foul by T. Zeller (drawn by M. Leonard),,59-60,,
4:13.0,T. Prince enters the game for J. Sullinger,,59-60,,
4:13.0,K. Olynyk enters the game for E. Turner,,59-60,,
4:05.0,,,59-62,2,V. Claver makes 2-pt shot from 20 ft (assist by D. Lillard)
3:43.0,Turnover by T. Prince (bad pass; steal by D. Lillard),,59-62,,
3:38.0,,,59-62,,D. Wright misses 2-pt shot from 2 ft
3:37.0,Defensive rebound by Team,,59-62,,
3:37.0,,,59-62,,Loose ball foul by M. Leonard (drawn by T. Prince)
3:29.0,A. Bradley makes 2-pt shot from 19 ft,2,61-62,,
3:20.0,,,61-62,,Portland full timeout
3:20.0,,,61-62,,C. McCollum enters the game for W. Matthews
3:10.0,,,61-62,,D. Lillard misses 2-pt shot from 7 ft (block by K. Olynyk)
3:09.0,Defensive rebound by M. Smart,,61-62,,
2:51.0,Turnover by K. Olynyk (traveling),,61-62,,
2:51.0,,,61-62,,C. Kaman enters the game for D. Wright
2:36.0,,,61-64,2,D. Lillard makes 2-pt shot from 21 ft
2:20.0,A. Bradley makes 2-pt shot from 21 ft (assist by T. Zeller),2,63-64,,
1:54.0,,,63-64,,V. Claver misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by T. Zeller,,63-64,,
1:42.0,A. Bradley makes 2-pt shot from 2 ft,2,65-64,,
1:23.0,,,65-67,3,D. Lillard makes 3-pt shot from 26 ft
1:06.0,A. Bradley misses 2-pt shot from 19 ft,,65-67,,
1:04.0,,,65-67,,Defensive rebound by C. Kaman
0:59.0,,,65-67,,Turnover by C. McCollum (bad pass; steal by T. Prince)
0:49.0,T. Zeller makes 2-pt shot from 1 ft (assist by T. Prince),2,67-67,,
0:30.0,,,67-70,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Leonard)
0:09.0,Turnover by K. Olynyk (lost ball),,67-70,,
0:09.0,,,67-70,,D. Wright enters the game for C. Kaman
0:02.0,,,67-72,2,D. Lillard makes 2-pt shot at rim
0:00.0,Turnover by K. Olynyk (bad pass; steal by M. Leonard),,67-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Prince makes 2-pt shot from 6 ft,2,69-72,,
11:27.0,,,69-72,,C. McCollum misses 2-pt shot from 15 ft
11:27.0,Defensive rebound by T. Prince,,69-72,,
11:18.0,M. Thornton makes 2-pt shot from 3 ft (assist by B. Bass),2,71-72,,
10:59.0,,,71-72,,C. McCollum misses 2-pt shot from 2 ft (block by K. Olynyk)
10:57.0,,,71-72,,Offensive rebound by T. Robinson
10:51.0,,,71-72,,M. Leonard misses 3-pt shot from 25 ft
10:51.0,,,71-72,,Offensive rebound by Team
10:51.0,,,71-72,,Turnover by Team (shot clock)
10:39.0,B. Bass misses 2-pt shot from 15 ft,,71-72,,
10:39.0,,,71-72,,Defensive rebound by S. Blake
10:29.0,,,71-74,2,W. Matthews makes 2-pt shot from 20 ft
10:07.0,Shooting foul by M. Leonard (drawn by B. Bass),,71-74,,
10:07.0,B. Bass makes free throw 1 of 2,1,72-74,,
10:07.0,B. Bass makes free throw 2 of 2,1,73-74,,
9:52.0,,,73-74,,C. McCollum misses 2-pt shot from 1 ft
9:51.0,Defensive rebound by M. Thornton,,73-74,,
9:42.0,Turnover by M. Thornton (lost ball; steal by C. McCollum),,73-74,,
9:36.0,,,73-74,,Turnover by C. McCollum (bad pass; steal by M. Smart)
9:30.0,B. Bass misses 2-pt shot from 2 ft (block by W. Matthews),,73-74,,
9:28.0,,,73-74,,Defensive rebound by T. Robinson
9:25.0,,,73-74,,Shooting foul by K. Olynyk (drawn by C. McCollum)
9:25.0,,,73-76,2,C. McCollum makes 2-pt shot from 1 ft
9:25.0,Technical foul by Team,,73-76,,
9:25.0,,,73-77,1,W. Matthews makes technical free throw
9:25.0,,,73-78,1,C. McCollum makes free throw 1 of 1
9:16.0,,,73-78,,Personal foul by S. Blake (drawn by M. Smart)
9:09.0,M. Thornton makes 2-pt shot from 23 ft (assist by B. Bass),2,75-78,,
8:43.0,,,75-78,,W. Matthews misses 3-pt shot from 28 ft
8:39.0,Defensive rebound by Team,,75-78,,
8:28.0,M. Smart misses 2-pt shot from 10 ft,,75-78,,
8:28.0,,,75-78,,Defensive rebound by M. Leonard
8:14.0,,,75-78,,W. Matthews misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by M. Smart,,75-78,,
8:04.0,,,75-78,,Personal foul by W. Matthews (drawn by K. Olynyk)
8:04.0,Official timeout,,75-78,,
8:04.0,,,75-78,,D. Lillard enters the game for C. McCollum
8:04.0,,,75-78,,C. Kaman enters the game for M. Leonard
7:53.0,K. Olynyk misses 3-pt shot from 25 ft,,75-78,,
7:52.0,,,75-78,,Defensive rebound by Team
7:36.0,,,75-78,,C. Kaman misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by B. Bass,,75-78,,
7:23.0,M. Thornton misses 2-pt shot from 22 ft,,75-78,,
7:23.0,,,75-78,,Defensive rebound by S. Blake
7:06.0,,,75-78,,T. Robinson misses 2-pt shot from 6 ft
7:05.0,,,75-78,,Offensive rebound by T. Robinson
7:04.0,,,75-78,,Shooting foul by B. Bass (drawn by C. Kaman)
7:04.0,,,75-79,1,C. Kaman makes free throw 1 of 2
7:04.0,E. Turner enters the game for M. Smart,,75-79,,
7:04.0,J. Sullinger enters the game for B. Bass,,75-79,,
7:04.0,,,75-79,,C. Kaman misses free throw 2 of 2
7:03.0,Defensive rebound by T. Prince,,75-79,,
6:51.0,Boston full timeout,,75-79,,
6:51.0,T. Zeller enters the game for K. Olynyk,,75-79,,
6:43.0,M. Thornton misses 2-pt shot from 22 ft,,75-79,,
6:43.0,,,75-79,,Defensive rebound by T. Robinson
6:34.0,,,75-79,,Shooting foul by M. Thornton (drawn by S. Blake)
6:34.0,,,75-80,1,S. Blake makes free throw 1 of 3
6:34.0,,,75-81,1,S. Blake makes free throw 2 of 3
6:34.0,A. Bradley enters the game for M. Thornton,,75-81,,
6:34.0,,,75-82,1,S. Blake makes free throw 3 of 3
6:18.0,T. Zeller misses 2-pt shot from 16 ft,,75-82,,
6:18.0,Offensive rebound by J. Sullinger,,75-82,,
6:18.0,Jump ball: T. Robinson vs. J. Sullinger (E. Turner gains possession),,,,Jump ball: T. Robinson vs. J. Sullinger (E. Turner gains possession)
6:08.0,E. Turner makes 2-pt shot from 1 ft,2,77-82,,
5:45.0,,,77-84,2,D. Lillard makes 2-pt shot from 18 ft
5:26.0,A. Bradley makes 2-pt shot from 19 ft,2,79-84,,
5:02.0,,,79-84,,S. Blake misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by A. Bradley,,79-84,,
4:57.0,T. Prince makes 2-pt shot at rim (assist by A. Bradley),2,81-84,,
4:55.0,,,81-84,,Portland full timeout
4:55.0,,,81-84,,M. Leonard enters the game for T. Robinson
4:44.0,,,81-87,3,D. Lillard makes 3-pt shot from 26 ft
4:21.0,Turnover by E. Turner (bad pass; steal by W. Matthews),,81-87,,
4:02.0,,,81-87,,W. Matthews misses 3-pt shot from 23 ft
4:01.0,,,81-87,,Offensive rebound by Team
4:01.0,B. Bass enters the game for T. Zeller,,81-87,,
3:55.0,,,81-87,,W. Matthews misses 2-pt shot from 2 ft
3:54.0,Defensive rebound by J. Sullinger,,81-87,,
3:48.0,A. Bradley misses 3-pt shot from 23 ft,,81-87,,
3:47.0,,,81-87,,Defensive rebound by C. Kaman
3:40.0,,,81-87,,D. Lillard misses 3-pt shot from 24 ft
3:38.0,,,81-87,,Offensive rebound by S. Blake
3:20.0,,,81-87,,M. Leonard misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by Team,,81-87,,
3:18.0,M. Smart enters the game for T. Prince,,81-87,,
3:05.0,J. Sullinger makes 2-pt shot from 3 ft (assist by E. Turner),2,83-87,,
2:43.0,,,83-87,,W. Matthews misses 2-pt shot from 9 ft
2:43.0,Defensive rebound by J. Sullinger,,83-87,,
2:27.0,A. Bradley makes 2-pt shot from 19 ft,2,85-87,,
2:11.0,Personal foul by A. Bradley (drawn by D. Lillard),,85-87,,
2:04.0,,,85-87,,Turnover by C. Kaman (lost ball; steal by M. Smart)
1:58.0,J. Sullinger misses 2-pt shot from 1 ft,,85-87,,
1:56.0,Offensive rebound by J. Sullinger,,85-87,,
1:56.0,J. Sullinger makes 2-pt shot from 1 ft,2,87-87,,
1:41.0,,,87-87,,D. Lillard misses 2-pt shot from 2 ft (block by B. Bass)
1:40.0,Defensive rebound by E. Turner,,87-87,,
1:26.0,J. Sullinger misses 2-pt shot from 19 ft,,87-87,,
1:25.0,,,87-87,,Defensive rebound by C. Kaman
1:15.0,,,87-87,,Shooting foul by M. Smart (drawn by W. Matthews)
1:15.0,,,87-87,,W. Matthews misses free throw 1 of 2
1:15.0,,,87-87,,Offensive rebound by Team
1:15.0,,,87-87,,T. Robinson enters the game for M. Leonard
