time,Denver,pts.away,score,pts.home,Toronto
10:44.0,,,52-62,,T. Ross misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by J. Hickson,,52-62,,
10:27.0,W. Chandler misses 3-pt shot from 26 ft,,52-62,,
10:26.0,,,52-62,,Defensive rebound by J. Valanciunas
10:13.0,,,52-65,3,P. Patterson makes 3-pt shot from 25 ft (assist by G. Vasquez)
9:51.0,J. Hickson misses 2-pt shot from 3 ft (block by J. Valanciunas),,52-65,,
9:49.0,Offensive rebound by A. Afflalo,,52-65,,
9:47.0,A. Afflalo makes 3-pt shot from 24 ft,3,55-65,,
9:29.0,,,55-67,2,T. Ross makes 2-pt shot from 6 ft (assist by K. Lowry)
9:21.0,W. Chandler misses 2-pt shot from 17 ft,,55-67,,
9:20.0,,,55-67,,Defensive rebound by J. Valanciunas
9:08.0,,,55-69,2,T. Ross makes 2-pt shot from 21 ft
8:45.0,T. Lawson misses 2-pt shot from 19 ft,,55-69,,
8:44.0,,,55-69,,Defensive rebound by P. Patterson
8:31.0,,,55-69,,P. Patterson misses 3-pt shot from 25 ft
8:30.0,,,55-69,,Offensive rebound by Team
8:30.0,Loose ball foul by T. Mozgov (drawn by J. Valanciunas),,55-69,,
8:22.0,,,55-71,2,J. Valanciunas makes 2-pt shot from 4 ft
8:02.0,T. Mozgov makes 2-pt shot from 12 ft (assist by T. Lawson),2,57-71,,
7:52.0,,,57-71,,Offensive foul by J. Valanciunas
7:52.0,,,57-71,,Turnover by J. Valanciunas (offensive foul)
7:42.0,T. Mozgov misses 2-pt shot at rim (block by P. Patterson),,57-71,,
7:40.0,,,57-71,,Defensive rebound by K. Lowry
7:34.0,,,57-71,,T. Ross misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by A. Afflalo,,57-71,,
7:28.0,Shooting foul by P. Patterson (drawn by J. Hickson),,57-71,,
7:28.0,J. Hickson makes free throw 1 of 2,1,58-71,,
7:28.0,J. Hickson misses free throw 2 of 2,,58-71,,
7:27.0,,,58-71,,Defensive rebound by P. Patterson
7:11.0,,,58-71,,K. Lowry misses 2-pt shot from 20 ft
7:10.0,Defensive rebound by J. Hickson,,58-71,,
6:57.0,J. Hickson makes 2-pt shot from 2 ft,2,60-71,,
6:40.0,,,60-73,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
6:16.0,W. Chandler misses 2-pt shot from 16 ft,,60-73,,
6:15.0,Offensive rebound by T. Mozgov,,60-73,,
6:09.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,63-73,,
5:54.0,,,63-73,,G. Vasquez misses 2-pt shot from 4 ft
5:53.0,,,63-73,,Offensive rebound by K. Lowry
5:52.0,,,63-73,,Toronto full timeout
5:52.0,,,63-73,,L. Williams enters the game for J. Valanciunas
5:52.0,,,63-73,,A. Johnson enters the game for G. Vasquez
5:52.0,Jump ball: W. Chandler vs. K. Lowry (T. Mozgov gains possession),,,,Jump ball: W. Chandler vs. K. Lowry (T. Mozgov gains possession)
5:52.0,,,63-73,,Turnover by K. Lowry (lost ball; steal by W. Chandler)
5:36.0,Shooting foul by L. Williams (drawn by A. Afflalo),,63-73,,
5:36.0,A. Afflalo makes free throw 1 of 2,1,64-73,,
5:36.0,A. Afflalo makes free throw 2 of 2,1,65-73,,
5:12.0,,,65-73,,Turnover by Team (shot clock)
4:56.0,A. Afflalo makes 2-pt shot from 2 ft,2,67-73,,
4:40.0,,,67-73,,K. Lowry misses 2-pt shot from 18 ft
4:39.0,Defensive rebound by W. Chandler,,67-73,,
4:27.0,Turnover by A. Afflalo (offensive foul),,67-73,,
4:27.0,Offensive foul by A. Afflalo,,67-73,,
4:27.0,,,67-73,,J. Johnson enters the game for T. Ross
4:14.0,,,67-76,3,P. Patterson makes 3-pt shot from 24 ft (assist by L. Williams)
3:54.0,T. Mozgov makes 2-pt shot at rim (assist by T. Lawson),2,69-76,,
3:41.0,Personal foul by T. Lawson (drawn by K. Lowry),,69-76,,
3:41.0,D. Arthur enters the game for J. Hickson,,69-76,,
3:34.0,,,69-78,2,P. Patterson makes 2-pt shot from 14 ft (assist by K. Lowry)
3:19.0,T. Lawson makes 3-pt shot from 26 ft,3,72-78,,
3:05.0,Personal foul by A. Afflalo (drawn by P. Patterson),,72-78,,
2:56.0,Denver full timeout,,72-78,,
2:52.0,,,72-78,,K. Lowry misses 2-pt shot from 2 ft
2:51.0,Defensive rebound by D. Arthur,,72-78,,
2:44.0,W. Chandler misses 3-pt shot from 25 ft,,72-78,,
2:43.0,Offensive rebound by D. Arthur,,72-78,,
2:41.0,T. Mozgov makes 2-pt shot from 3 ft (assist by D. Arthur),2,74-78,,
2:41.0,Shooting foul by L. Williams (drawn by T. Mozgov),,74-78,,
2:41.0,T. Mozgov makes free throw 1 of 1,1,75-78,,
2:27.0,,,75-78,,Offensive foul by A. Johnson
2:27.0,,,75-78,,Turnover by A. Johnson (offensive foul)
2:14.0,T. Mozgov misses 2-pt shot from 7 ft,,75-78,,
2:14.0,Offensive rebound by Team,,75-78,,
2:09.0,A. Afflalo makes 2-pt shot from 15 ft (assist by W. Chandler),2,77-78,,
2:00.0,Personal foul by A. Afflalo (drawn by L. Williams),,77-78,,
2:00.0,,,77-78,,G. Vasquez enters the game for K. Lowry
1:45.0,,,77-78,,P. Patterson misses 2-pt shot from 15 ft
1:44.0,,,77-78,,Offensive rebound by A. Johnson
1:27.0,,,77-80,2,P. Patterson makes 2-pt shot from 1 ft (assist by G. Vasquez)
1:14.0,D. Arthur misses 3-pt shot from 26 ft,,77-80,,
1:13.0,,,77-80,,Defensive rebound by Team
1:00.0,,,77-82,2,G. Vasquez makes 2-pt shot from 18 ft
0:46.0,T. Lawson misses 2-pt shot from 12 ft,,77-82,,
0:45.0,Offensive rebound by T. Mozgov,,77-82,,
0:45.0,T. Mozgov makes 2-pt shot at rim,2,79-82,,
0:33.0,,,79-82,,G. Vasquez misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by T. Lawson,,79-82,,
0:28.0,W. Chandler misses 2-pt shot from 2 ft,,79-82,,
0:27.0,Offensive rebound by D. Arthur,,79-82,,
0:27.0,D. Arthur makes 2-pt shot at rim,2,81-82,,
0:03.0,,,81-82,,L. Williams misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by T. Mozgov,,81-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,81-82,,Def 3 sec tech foul by A. Johnson
11:48.0,A. Afflalo makes technical free throw,1,82-82,,
11:40.0,D. Arthur misses 3-pt shot from 25 ft,,82-82,,
11:39.0,,,82-82,,Defensive rebound by G. Vasquez
11:31.0,,,82-82,,L. Williams misses 2-pt shot from 9 ft
11:30.0,,,82-82,,Offensive rebound by L. Williams
11:27.0,,,82-84,2,L. Williams makes 2-pt shot from 9 ft
11:21.0,A. Afflalo misses 3-pt shot from 26 ft,,82-84,,
11:19.0,Offensive rebound by T. Mozgov,,82-84,,
11:11.0,T. Lawson misses 3-pt shot from 24 ft,,82-84,,
11:10.0,,,82-84,,Defensive rebound by A. Johnson
11:02.0,,,82-84,,L. Williams misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by Team,,82-84,,
11:02.0,,,82-84,,Loose ball foul by J. Valanciunas (drawn by T. Mozgov)
10:45.0,W. Chandler makes 2-pt shot from 3 ft,2,84-84,,
10:26.0,,,84-84,,Turnover by J. Johnson (bad pass; steal by D. Arthur)
10:19.0,W. Chandler misses 3-pt shot from 25 ft,,84-84,,
10:18.0,Offensive rebound by D. Arthur,,84-84,,
10:15.0,D. Arthur makes 2-pt shot at rim,2,86-84,,
9:53.0,,,86-84,,G. Vasquez misses 2-pt shot from 20 ft
9:53.0,,,86-84,,Offensive rebound by J. Valanciunas
9:47.0,,,86-84,,L. Williams misses 3-pt shot from 26 ft
9:46.0,Defensive rebound by T. Lawson,,86-84,,
9:39.0,Turnover by T. Lawson (bad pass; steal by G. Vasquez),,86-84,,
9:39.0,Personal foul by A. Afflalo (drawn by G. Vasquez),,86-84,,
9:39.0,Denver full timeout,,86-84,,
9:39.0,,,86-84,,K. Lowry enters the game for A. Johnson
9:39.0,,,86-84,,T. Ross enters the game for L. Williams
9:39.0,,,86-84,,P. Patterson enters the game for J. Johnson
9:29.0,,,86-84,,K. Lowry misses 2-pt shot from 3 ft (block by T. Mozgov)
9:27.0,Defensive rebound by D. Arthur,,86-84,,
9:21.0,T. Lawson misses 2-pt shot from 3 ft (block by G. Vasquez),,86-84,,
9:20.0,Offensive rebound by D. Arthur,,86-84,,
9:18.0,D. Arthur makes 2-pt shot from 4 ft,2,88-84,,
8:57.0,,,88-86,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
8:57.0,,,88-86,,Shooting foul by A. Afflalo (drawn by J. Valanciunas)
8:57.0,A. Gee enters the game for A. Afflalo,,88-86,,
8:57.0,,,88-86,,J. Valanciunas misses free throw 1 of 1
8:57.0,Defensive rebound by T. Mozgov,,88-86,,
8:41.0,A. Gee misses 2-pt shot from 21 ft,,88-86,,
8:40.0,,,88-86,,Defensive rebound by T. Ross
8:30.0,,,88-86,,T. Ross misses 3-pt shot from 26 ft
8:29.0,Defensive rebound by T. Mozgov,,88-86,,
8:28.0,,,88-86,,Personal foul by J. Valanciunas (drawn by T. Mozgov)
8:10.0,T. Mozgov misses 2-pt shot from 4 ft (block by J. Valanciunas),,88-86,,
8:08.0,,,88-86,,Defensive rebound by J. Valanciunas
7:59.0,,,88-86,,Turnover by K. Lowry (traveling)
7:46.0,W. Chandler misses 2-pt shot from 2 ft,,88-86,,
7:45.0,,,88-86,,Defensive rebound by G. Vasquez
7:33.0,,,88-86,,K. Lowry misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by W. Chandler,,88-86,,
7:25.0,T. Lawson makes 2-pt shot from 13 ft,2,90-86,,
7:07.0,,,90-86,,G. Vasquez misses 3-pt shot from 26 ft
7:06.0,Defensive rebound by T. Lawson,,90-86,,
6:59.0,D. Arthur misses 2-pt shot from 16 ft,,90-86,,
6:58.0,,,90-86,,Defensive rebound by G. Vasquez
6:51.0,,,90-86,,Shooting foul by W. Chandler (drawn by K. Lowry)
6:51.0,,,90-87,1,K. Lowry makes free throw 1 of 2
6:51.0,,,90-87,,K. Lowry misses free throw 2 of 2
6:51.0,Defensive rebound by W. Chandler,,90-87,,
6:27.0,Turnover by Team (shot clock),,90-87,,
6:27.0,,,90-87,,Toronto full timeout
6:16.0,,,90-89,2,K. Lowry makes 2-pt shot from 5 ft
6:00.0,Shooting foul by J. Valanciunas (drawn by T. Lawson),,90-89,,
6:00.0,T. Lawson makes free throw 1 of 2,1,91-89,,
6:00.0,,,91-89,,A. Johnson enters the game for J. Valanciunas
6:00.0,T. Lawson makes free throw 2 of 2,1,92-89,,
5:45.0,,,92-89,,T. Ross misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by T. Lawson,,92-89,,
5:38.0,T. Lawson misses 2-pt shot from 18 ft,,92-89,,
5:37.0,,,92-89,,Defensive rebound by Team
5:37.0,Loose ball foul by D. Arthur (drawn by A. Johnson),,92-89,,
5:37.0,A. Afflalo enters the game for A. Gee,,92-89,,
5:19.0,,,92-91,2,T. Ross makes 2-pt shot from 9 ft (assist by K. Lowry)
5:03.0,,,92-91,,Personal foul by G. Vasquez (drawn by T. Lawson)
4:50.0,D. Arthur misses 2-pt shot from 20 ft,,92-91,,
4:49.0,,,92-91,,Defensive rebound by A. Johnson
4:41.0,,,92-91,,K. Lowry misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by D. Arthur,,92-91,,
4:19.0,A. Afflalo misses 2-pt shot from 13 ft,,92-91,,
4:18.0,Offensive rebound by D. Arthur,,92-91,,
4:15.0,D. Arthur misses 2-pt shot from 2 ft,,92-91,,
4:14.0,Offensive rebound by T. Mozgov,,92-91,,
4:11.0,T. Lawson misses 3-pt shot from 25 ft,,92-91,,
4:10.0,Offensive rebound by D. Arthur,,92-91,,
4:00.0,T. Lawson makes 2-pt shot from 2 ft,2,94-91,,
3:39.0,,,94-91,,T. Ross misses 3-pt shot from 23 ft
3:39.0,Defensive rebound by A. Afflalo,,94-91,,
3:28.0,W. Chandler misses 3-pt shot from 24 ft,,94-91,,
3:27.0,,,94-91,,Defensive rebound by P. Patterson
3:18.0,,,94-91,,T. Ross misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by T. Lawson,,94-91,,
3:11.0,T. Lawson makes 2-pt shot from 1 ft,2,96-91,,
