time,Chicago,pts.away,score,pts.home,Minnesota
3:18.0,P. Gasol makes 2-pt shot at rim (assist by A. Brooks),2,21-17,,
2:53.0,,,21-17,,R. Rubio misses 2-pt shot from 14 ft
2:51.0,,,21-17,,Offensive rebound by G. Dieng
2:46.0,,,21-19,2,C. Brewer makes 2-pt shot from 17 ft (assist by R. Rubio)
2:32.0,M. Dunleavy misses 2-pt shot at rim,,21-19,,
2:31.0,Offensive rebound by J. Butler,,21-19,,
2:31.0,J. Butler makes 2-pt shot at rim,2,23-19,,
2:31.0,Technical foul by M. Dunleavy,,23-19,,
2:31.0,,,23-20,1,K. Martin makes technical free throw
2:31.0,Chicago full timeout,,23-20,,
2:18.0,,,23-20,,T. Young misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by N. Mirotic,,23-20,,
2:04.0,,,23-20,,M. Williams enters the game for K. Martin
1:57.0,Turnover by P. Gasol (lost ball; steal by R. Rubio),,23-20,,
1:51.0,,,23-20,,C. Brewer misses 2-pt shot at rim (block by P. Gasol)
1:49.0,,,23-20,,Offensive rebound by Team
1:39.0,,,23-22,2,T. Young makes 2-pt shot from 9 ft (assist by R. Rubio)
1:21.0,Turnover by P. Gasol (lost ball; steal by R. Rubio),,23-22,,
1:16.0,,,23-24,2,C. Brewer makes 2-pt shot at rim (assist by R. Rubio)
1:01.0,A. Brooks makes 3-pt shot from 25 ft,3,26-24,,
0:44.0,,,26-24,,T. Young misses 2-pt shot from 5 ft
0:43.0,,,26-24,,Offensive rebound by G. Dieng
0:42.0,,,26-24,,Shooting foul by P. Gasol (drawn by G. Dieng)
0:42.0,,,26-25,1,G. Dieng makes free throw 1 of 2
0:42.0,,,26-25,,A. Bennett enters the game for T. Young
0:42.0,,,26-25,,G. Dieng misses free throw 2 of 2
0:41.0,Defensive rebound by M. Dunleavy,,26-25,,
0:29.0,Turnover by J. Butler (lost ball; steal by C. Brewer),,26-25,,
0:24.0,,,26-25,,C. Brewer misses 2-pt shot from 1 ft
0:22.0,Defensive rebound by A. Brooks,,26-25,,
0:18.0,Shooting foul by M. Williams (drawn by J. Butler),,26-25,,
0:18.0,J. Butler misses free throw 1 of 2,,26-25,,
0:18.0,Offensive rebound by Team,,26-25,,
0:18.0,E. Moore enters the game for A. Brooks,,26-25,,
0:18.0,J. Butler makes free throw 2 of 2,1,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,27-27,2,G. Dieng makes 2-pt shot at rim
11:32.0,J. Noah makes 2-pt shot at rim (assist by N. Mirotic),2,29-27,,
11:16.0,,,29-27,,M. Williams misses 2-pt shot from 5 ft
11:15.0,Defensive rebound by J. Noah,,29-27,,
11:11.0,A. Brooks makes 2-pt shot at rim (assist by J. Noah),2,31-27,,
10:49.0,,,31-29,2,A. Bennett makes 2-pt shot from 19 ft (assist by M. Williams)
10:34.0,T. Snell misses 2-pt shot from 20 ft,,31-29,,
10:33.0,,,31-29,,Defensive rebound by A. Bennett
10:23.0,,,31-29,,S. Muhammad misses 2-pt shot from 12 ft
10:22.0,,,31-29,,Offensive rebound by G. Dieng
10:18.0,,,31-29,,G. Dieng misses 2-pt shot from 5 ft
10:17.0,Defensive rebound by J. Noah,,31-29,,
10:02.0,D. McDermott misses 3-pt shot from 23 ft,,31-29,,
10:02.0,,,31-29,,Defensive rebound by A. Bennett
9:51.0,,,31-29,,M. Williams misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by T. Snell,,31-29,,
9:34.0,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Brooks),3,34-29,,
9:12.0,,,34-29,,A. Bennett misses 2-pt shot from 1 ft (block by J. Noah)
9:11.0,,,34-29,,Offensive rebound by G. Dieng
9:11.0,,,34-31,2,G. Dieng makes 2-pt shot at rim
9:11.0,,,34-31,,Shooting foul by J. Noah (drawn by G. Dieng)
9:11.0,,,34-32,1,G. Dieng makes free throw 1 of 1
9:00.0,A. Brooks makes 3-pt shot from 26 ft,3,37-32,,
8:42.0,,,37-34,2,A. Bennett makes 2-pt shot from 20 ft
8:28.0,A. Brooks makes 2-pt shot from 20 ft,2,39-34,,
8:11.0,,,39-34,,S. Muhammad misses 2-pt shot from 9 ft
8:10.0,Defensive rebound by N. Mirotic,,39-34,,
8:02.0,N. Mirotic misses 3-pt shot from 24 ft,,39-34,,
8:01.0,,,39-34,,Defensive rebound by G. Dieng
7:56.0,,,39-34,,Shooting foul by T. Snell (drawn by S. Muhammad)
7:56.0,,,39-34,,Minnesota full timeout
7:56.0,,,39-34,,N. Pekovic enters the game for G. Dieng
7:56.0,,,39-34,,S. Muhammad misses free throw 1 of 2
7:56.0,,,39-34,,Offensive rebound by Team
7:56.0,,,39-35,1,S. Muhammad makes free throw 2 of 2
7:37.0,N. Mirotic makes 2-pt shot from 11 ft,2,41-35,,
7:16.0,,,41-35,,Turnover by S. Muhammad (bad pass)
7:16.0,,,41-35,,A. Wiggins enters the game for C. Brewer
7:08.0,Turnover by A. Brooks (bad pass; steal by A. Bennett),,41-35,,
7:06.0,Personal foul by N. Mirotic (drawn by M. Williams),,41-35,,
7:00.0,Personal foul by N. Mirotic (drawn by A. Bennett),,41-35,,
6:49.0,,,41-35,,N. Pekovic misses 2-pt shot from 5 ft
6:48.0,Defensive rebound by T. Snell,,41-35,,
6:41.0,Shooting foul by A. Bennett (drawn by N. Mirotic),,41-35,,
6:41.0,N. Mirotic makes free throw 1 of 2,1,42-35,,
6:41.0,N. Mirotic makes free throw 2 of 2,1,43-35,,
6:29.0,,,43-35,,Shooting foul by D. McDermott (drawn by A. Wiggins)
6:29.0,,,43-36,1,A. Wiggins makes free throw 1 of 2
6:29.0,,,43-36,,T. Young enters the game for A. Bennett
6:29.0,,,43-36,,K. Martin enters the game for S. Muhammad
6:29.0,,,43-37,1,A. Wiggins makes free throw 2 of 2
6:17.0,A. Brooks misses 2-pt shot from 6 ft,,43-37,,
6:16.0,,,43-37,,Defensive rebound by K. Martin
6:15.0,Personal foul by A. Brooks (drawn by K. Martin),,43-37,,
6:15.0,,,43-38,1,K. Martin makes free throw 1 of 2
6:15.0,,,43-39,1,K. Martin makes free throw 2 of 2
6:02.0,Shooting foul by T. Young (drawn by N. Mirotic),,43-39,,
6:02.0,N. Mirotic makes free throw 1 of 2,1,44-39,,
6:02.0,K. Hinrich enters the game for T. Snell,,44-39,,
6:02.0,N. Mirotic makes free throw 2 of 2,1,45-39,,
5:47.0,,,45-39,,A. Wiggins misses 2-pt shot from 19 ft
5:46.0,Defensive rebound by N. Mirotic,,45-39,,
5:35.0,J. Noah makes 2-pt shot from 15 ft (assist by A. Brooks),2,47-39,,
5:34.0,Violation by Team (delay of game),,47-39,,
5:34.0,,,47-39,,Minnesota full timeout
5:34.0,,,47-39,,R. Rubio enters the game for M. Williams
5:26.0,,,47-39,,Turnover by R. Rubio (lost ball)
5:03.0,A. Brooks makes 3-pt shot from 23 ft,3,50-39,,
4:41.0,,,50-39,,Turnover by A. Wiggins (lost ball)
4:41.0,P. Gasol enters the game for J. Noah,,50-39,,
4:41.0,J. Butler enters the game for D. McDermott,,50-39,,
4:31.0,A. Brooks misses 2-pt shot from 15 ft,,50-39,,
4:30.0,,,50-39,,Defensive rebound by A. Wiggins
4:19.0,,,50-39,,A. Wiggins misses 2-pt shot from 19 ft
4:17.0,Defensive rebound by N. Mirotic,,50-39,,
3:59.0,Shooting foul by K. Martin (drawn by K. Hinrich),,50-39,,
3:59.0,,,50-39,,Minnesota full timeout
3:59.0,K. Hinrich makes free throw 1 of 2,1,51-39,,
3:59.0,K. Hinrich makes free throw 2 of 2,1,52-39,,
3:40.0,,,52-41,2,T. Young makes 2-pt shot from 6 ft
3:27.0,N. Mirotic misses 3-pt shot from 26 ft,,52-41,,
3:26.0,,,52-41,,Defensive rebound by R. Rubio
3:12.0,,,52-43,2,N. Pekovic makes 2-pt shot at rim (assist by T. Young)
2:58.0,Turnover by P. Gasol (bad pass; steal by N. Pekovic),,52-43,,
2:54.0,,,52-43,,Shooting foul by P. Gasol (drawn by K. Martin)
2:54.0,Chicago full timeout,,52-43,,
2:54.0,M. Dunleavy enters the game for A. Brooks,,52-43,,
2:54.0,,,52-44,1,K. Martin makes free throw 1 of 2
2:54.0,,,52-45,1,K. Martin makes free throw 2 of 2
2:36.0,P. Gasol makes 2-pt shot from 6 ft,2,54-45,,
2:17.0,,,54-47,2,N. Pekovic makes 2-pt shot from 4 ft (assist by T. Young)
1:56.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,56-47,,
1:38.0,,,56-47,,Turnover by R. Rubio (bad pass; steal by J. Butler)
1:33.0,J. Butler makes 2-pt shot at rim,2,58-47,,
1:09.0,,,58-47,,N. Pekovic misses 2-pt shot from 4 ft (block by P. Gasol)
1:08.0,,,58-47,,Offensive rebound by N. Pekovic
1:07.0,,,58-47,,Turnover by Team (shot clock)
0:51.0,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler),2,60-47,,
0:37.0,,,60-47,,T. Young misses 2-pt shot from 4 ft
0:35.0,Defensive rebound by J. Butler,,60-47,,
0:35.0,,,60-47,,Personal foul by T. Young (drawn by J. Butler)
0:35.0,,,60-47,,A. Bennett enters the game for T. Young
0:23.0,N. Mirotic makes 3-pt shot from 24 ft (assist by K. Hinrich),3,63-47,,
0:00.0,,,63-49,2,K. Martin makes 2-pt shot from 12 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,63-51,2,A. Bennett makes 2-pt shot from 11 ft (assist by K. Martin)
11:29.0,Shooting foul by R. Rubio (drawn by P. Gasol),,63-51,,
11:29.0,P. Gasol makes free throw 1 of 2,1,64-51,,
11:29.0,P. Gasol makes free throw 2 of 2,1,65-51,,
11:12.0,,,65-53,2,A. Bennett makes 2-pt shot from 21 ft (assist by R. Rubio)
10:44.0,K. Hinrich makes 2-pt shot from 19 ft (assist by J. Noah),2,67-53,,
10:31.0,,,67-55,2,N. Pekovic makes 2-pt shot from 1 ft (assist by R. Rubio)
10:16.0,Offensive charge foul by J. Butler,,67-55,,
10:16.0,Turnover by J. Butler (offensive foul),,67-55,,
10:05.0,,,67-57,2,R. Rubio makes 2-pt shot from 1 ft
9:55.0,M. Dunleavy misses 3-pt shot from 24 ft,,67-57,,
9:54.0,,,67-57,,Defensive rebound by R. Rubio
9:47.0,,,67-59,2,A. Wiggins makes 2-pt shot from 17 ft (assist by R. Rubio)
9:45.0,Chicago full timeout,,67-59,,
9:27.0,Turnover by P. Gasol (lost ball; steal by A. Wiggins),,67-59,,
9:23.0,,,67-59,,K. Martin misses 3-pt shot from 24 ft
9:18.0,,,67-59,,Offensive rebound by A. Wiggins
9:10.0,,,67-59,,R. Rubio misses 2-pt shot from 20 ft
9:08.0,,,67-59,,Offensive rebound by K. Martin
9:08.0,,,67-61,2,K. Martin makes 2-pt shot at rim
8:51.0,P. Gasol makes 2-pt shot from 12 ft,2,69-61,,
8:32.0,,,69-61,,N. Pekovic misses 2-pt shot from 13 ft
8:30.0,Defensive rebound by J. Noah,,69-61,,
8:15.0,M. Dunleavy misses 3-pt shot from 25 ft,,69-61,,
8:13.0,,,69-61,,Defensive rebound by A. Bennett
8:06.0,,,69-61,,R. Rubio misses 2-pt shot at rim
8:05.0,Defensive rebound by J. Noah,,69-61,,
7:51.0,,,69-61,,Personal foul by A. Bennett (drawn by J. Butler)
7:42.0,K. Hinrich misses 2-pt shot from 21 ft (block by A. Wiggins),,69-61,,
7:41.0,,,69-61,,Defensive rebound by Team
7:41.0,Loose ball foul by K. Hinrich (drawn by A. Wiggins),,69-61,,
7:31.0,,,69-63,2,K. Martin makes 2-pt shot from 17 ft (assist by R. Rubio)
7:12.0,J. Noah misses 2-pt shot from 1 ft (block by A. Wiggins),,69-63,,
7:11.0,,,69-63,,Defensive rebound by A. Wiggins
7:02.0,,,69-65,2,A. Bennett makes 2-pt shot from 20 ft (assist by K. Martin)
6:39.0,Turnover by J. Noah (bad pass; steal by A. Bennett),,69-65,,
6:33.0,,,69-65,,Shooting foul by M. Dunleavy (drawn by N. Pekovic)
6:33.0,,,69-66,1,N. Pekovic makes free throw 1 of 2
6:33.0,,,69-67,1,N. Pekovic makes free throw 2 of 2
6:23.0,K. Hinrich misses 2-pt shot from 19 ft,,69-67,,
6:22.0,Offensive rebound by J. Noah,,69-67,,
6:17.0,,,69-67,,Personal foul by R. Rubio (drawn by P. Gasol)
6:05.0,Shooting foul by A. Wiggins (drawn by J. Butler),,69-67,,
6:05.0,J. Butler misses free throw 1 of 2,,69-67,,
6:05.0,Offensive rebound by Team,,69-67,,
6:05.0,J. Butler makes free throw 2 of 2,1,70-67,,
5:52.0,,,70-69,2,A. Wiggins makes 2-pt shot from 18 ft (assist by R. Rubio)
5:31.0,K. Hinrich makes 2-pt shot at rim,2,72-69,,
5:16.0,,,72-69,,N. Pekovic misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by K. Hinrich,,72-69,,
5:13.0,,,72-69,,Personal foul by A. Bennett (drawn by K. Hinrich)
5:13.0,K. Hinrich makes free throw 1 of 2,1,73-69,,
5:13.0,,,73-69,,Minnesota full timeout
5:13.0,K. Hinrich misses free throw 2 of 2,,73-69,,
5:12.0,,,73-69,,Defensive rebound by A. Bennett
5:02.0,Personal foul by K. Hinrich (drawn by R. Rubio),,73-69,,
4:56.0,,,73-69,,Turnover by R. Rubio (lost ball; steal by K. Hinrich)
4:49.0,Offensive foul by K. Hinrich,,73-69,,
4:49.0,Turnover by K. Hinrich (offensive foul),,73-69,,
4:35.0,,,73-69,,A. Wiggins misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by J. Butler,,73-69,,
4:30.0,,,73-69,,Personal block foul by K. Martin (drawn by J. Butler)
4:30.0,J. Butler makes free throw 1 of 2,1,74-69,,
4:30.0,J. Butler misses free throw 2 of 2,,74-69,,
4:27.0,Offensive rebound by Team,,74-69,,
4:27.0,Jump ball: A. Bennett vs. J. Noah (J. Butler gains possession),,,,Jump ball: A. Bennett vs. J. Noah (J. Butler gains possession)
4:15.0,Shooting foul by A. Bennett (drawn by M. Dunleavy),,74-69,,
4:15.0,M. Dunleavy makes free throw 1 of 2,1,75-69,,
4:15.0,,,75-69,,R. Hummel enters the game for A. Bennett
4:15.0,A. Brooks enters the game for K. Hinrich,,75-69,,
4:15.0,N. Mirotic enters the game for J. Noah,,75-69,,
4:15.0,M. Dunleavy makes free throw 2 of 2,1,76-69,,
4:01.0,,,76-72,3,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio)
3:39.0,Turnover by A. Brooks (bad pass; steal by A. Wiggins),,76-72,,
3:33.0,,,76-74,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
3:12.0,P. Gasol misses 2-pt shot from 20 ft,,76-74,,
3:10.0,,,76-74,,Defensive rebound by R. Rubio
2:58.0,,,76-76,2,R. Rubio makes 2-pt shot from 13 ft
2:43.0,J. Butler makes 3-pt shot from 24 ft (assist by A. Brooks),3,79-76,,
2:16.0,,,79-76,,A. Wiggins misses 2-pt shot from 2 ft (block by N. Mirotic)
2:15.0,Defensive rebound by N. Mirotic,,79-76,,
2:11.0,A. Brooks makes 2-pt shot from 1 ft,2,81-76,,
2:11.0,Shooting foul by R. Rubio (drawn by A. Brooks),,81-76,,
2:11.0,,,81-76,,G. Dieng enters the game for N. Pekovic
2:11.0,,,81-76,,C. Brewer enters the game for A. Wiggins
2:11.0,,,81-76,,M. Williams enters the game for R. Rubio
2:11.0,A. Brooks makes free throw 1 of 1,1,82-76,,
1:52.0,,,82-76,,Shooting foul by N. Mirotic (drawn by M. Williams)
1:52.0,,,82-77,1,M. Williams makes free throw 1 of 2
1:52.0,,,82-77,,M. Williams misses free throw 2 of 2
1:52.0,Defensive rebound by N. Mirotic,,82-77,,
1:38.0,Shooting foul by G. Dieng (drawn by J. Butler),,82-77,,
1:38.0,J. Butler makes free throw 1 of 2,1,83-77,,
1:38.0,J. Butler makes free throw 2 of 2,1,84-77,,
1:19.0,,,84-77,,Turnover by C. Brewer (bad pass)
1:08.0,A. Brooks misses 2-pt shot from 10 ft,,84-77,,
1:07.0,Offensive rebound by P. Gasol,,84-77,,
1:06.0,Shooting foul by G. Dieng (drawn by P. Gasol),,84-77,,
1:06.0,P. Gasol makes free throw 1 of 2,1,85-77,,
1:06.0,P. Gasol misses free throw 2 of 2,,85-77,,
1:05.0,,,85-77,,Defensive rebound by R. Hummel
0:52.0,,,85-79,2,G. Dieng makes 2-pt shot at rim (assist by R. Hummel)
0:36.0,A. Brooks misses 2-pt shot at rim,,85-79,,
0:35.0,Offensive rebound by Team,,85-79,,
0:35.0,,,85-79,,Loose ball foul by R. Hummel (drawn by P. Gasol)
0:35.0,P. Gasol misses free throw 1 of 2,,85-79,,
0:35.0,Offensive rebound by Team,,85-79,,
0:35.0,P. Gasol misses free throw 2 of 2,,85-79,,
0:35.0,,,85-79,,Defensive rebound by G. Dieng
0:30.0,,,85-79,,Offensive charge foul by M. Williams
0:30.0,,,85-79,,Turnover by M. Williams (offensive foul)
0:10.0,Turnover by P. Gasol (bad pass; steal by R. Hummel),,85-79,,
0:01.0,,,85-79,,Shooting foul by J. Butler (drawn by K. Martin)
0:01.0,,,85-80,1,K. Martin makes free throw 1 of 2
0:01.0,,,85-81,1,K. Martin makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,85-81,,Personal foul by C. Brewer (drawn by J. Butler)
11:36.0,J. Noah makes 2-pt shot from 1 ft,2,87-81,,
11:16.0,,,87-83,2,M. Williams makes 2-pt shot from 7 ft
11:01.0,D. McDermott makes 2-pt shot from 1 ft (assist by J. Noah),2,89-83,,
10:53.0,,,89-83,,C. Brewer misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by J. Noah,,89-83,,
10:45.0,D. McDermott misses 3-pt shot from 25 ft,,89-83,,
10:44.0,,,89-83,,Defensive rebound by R. Hummel
10:28.0,,,89-83,,M. Williams misses 2-pt shot from 17 ft
10:27.0,,,89-83,,Offensive rebound by R. Hummel
10:27.0,,,89-85,2,R. Hummel makes 2-pt shot from 1 ft
10:07.0,Turnover by A. Brooks (bad pass),,89-85,,
9:52.0,,,89-85,,M. Williams misses 2-pt shot from 19 ft
9:51.0,Defensive rebound by D. McDermott,,89-85,,
9:40.0,A. Brooks misses 3-pt shot from 25 ft,,89-85,,
9:39.0,,,89-85,,Defensive rebound by G. Dieng
9:35.0,,,89-85,,Turnover by C. Brewer (lost ball)
9:18.0,D. McDermott misses 2-pt shot at rim,,89-85,,
9:17.0,,,89-85,,Defensive rebound by G. Dieng
9:09.0,,,89-85,,Shooting foul by J. Butler (drawn by G. Dieng)
9:09.0,,,89-86,1,G. Dieng makes free throw 1 of 2
9:09.0,T. Snell enters the game for J. Butler,,89-86,,
9:09.0,,,89-87,1,G. Dieng makes free throw 2 of 2
8:56.0,Chicago full timeout,,89-87,,
8:48.0,N. Mirotic misses 3-pt shot from 24 ft,,89-87,,
8:47.0,,,89-87,,Defensive rebound by C. Budinger
8:42.0,Personal foul by A. Brooks (drawn by G. Dieng),,89-87,,
8:37.0,,,89-87,,C. Budinger misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by T. Snell,,89-87,,
8:12.0,Turnover by Team (shot clock),,89-87,,
7:56.0,,,89-87,,Shooting foul by D. McDermott (drawn by C. Budinger)
7:56.0,,,89-87,,C. Budinger misses free throw 1 of 2
7:56.0,,,89-87,,Offensive rebound by Team
7:56.0,M. Dunleavy enters the game for D. McDermott,,89-87,,
7:56.0,J. Butler enters the game for T. Snell,,89-87,,
7:56.0,,,89-88,1,C. Budinger makes free throw 2 of 2
7:35.0,J. Butler misses 2-pt shot from 21 ft,,89-88,,
7:33.0,,,89-88,,Defensive rebound by R. Hummel
7:27.0,,,89-88,,C. Budinger misses 2-pt shot at rim
7:25.0,Defensive rebound by A. Brooks,,89-88,,
7:19.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by A. Brooks),3,92-88,,
7:08.0,,,92-88,,Minnesota full timeout
7:08.0,,,92-88,,N. Pekovic enters the game for G. Dieng
7:08.0,,,92-88,,A. Wiggins enters the game for C. Brewer
7:08.0,,,92-88,,K. Martin enters the game for C. Budinger
7:08.0,P. Gasol enters the game for J. Noah,,92-88,,
7:08.0,K. Hinrich enters the game for A. Brooks,,92-88,,
6:53.0,,,92-88,,N. Pekovic misses 2-pt shot from 7 ft
6:52.0,Defensive rebound by N. Mirotic,,92-88,,
6:37.0,J. Butler misses 2-pt shot at rim,,92-88,,
6:36.0,,,92-88,,Defensive rebound by R. Hummel
6:19.0,,,92-88,,M. Williams misses 3-pt shot from 26 ft
6:15.0,Defensive rebound by K. Hinrich,,92-88,,
5:53.0,P. Gasol makes 2-pt shot from 13 ft,2,94-88,,
5:33.0,,,94-88,,K. Martin misses 2-pt shot from 10 ft (block by J. Butler)
5:32.0,,,94-88,,Offensive rebound by Team
5:32.0,,,94-88,,A. Bennett enters the game for R. Hummel
5:32.0,,,94-88,,R. Rubio enters the game for M. Williams
5:26.0,,,94-88,,N. Pekovic misses 2-pt shot from 6 ft
5:25.0,,,94-88,,Offensive rebound by A. Wiggins
5:25.0,,,94-88,,A. Wiggins misses 2-pt shot at rim
5:24.0,,,94-88,,Offensive rebound by A. Wiggins
5:22.0,,,94-88,,Shooting foul by K. Hinrich (drawn by N. Pekovic)
5:22.0,,,94-89,1,N. Pekovic makes free throw 1 of 2
5:22.0,,,94-90,1,N. Pekovic makes free throw 2 of 2
5:05.0,Turnover by N. Mirotic (lost ball),,94-90,,
4:52.0,Personal foul by P. Gasol (drawn by N. Pekovic),,94-90,,
4:52.0,,,94-91,1,N. Pekovic makes free throw 1 of 2
4:52.0,J. Noah enters the game for N. Mirotic,,94-91,,
4:52.0,,,94-91,,N. Pekovic misses free throw 2 of 2
4:51.0,Defensive rebound by J. Noah,,94-91,,
4:42.0,K. Hinrich misses 3-pt shot from 24 ft,,94-91,,
4:40.0,,,94-91,,Defensive rebound by K. Martin
4:24.0,,,94-93,2,K. Martin makes 2-pt shot from 21 ft (assist by A. Bennett)
4:04.0,J. Butler misses 3-pt shot from 24 ft,,94-93,,
4:03.0,,,94-93,,Defensive rebound by K. Martin
3:58.0,Shooting block foul by M. Dunleavy (drawn by K. Martin),,94-93,,
3:58.0,,,94-94,1,K. Martin makes free throw 1 of 2
3:58.0,,,94-95,1,K. Martin makes free throw 2 of 2
3:49.0,Shooting foul by R. Rubio (drawn by K. Hinrich),,94-95,,
3:49.0,K. Hinrich makes free throw 1 of 2,1,95-95,,
3:49.0,K. Hinrich makes free throw 2 of 2,1,96-95,,
