time,New Orleans,pts.away,score,pts.home,Toronto
0:05.0,,,19-14,2,L. Williams makes 2-pt shot from 7 ft (assist by G. Vasquez)
0:00.0,J. Fredette makes 2-pt shot from 19 ft (assist by N. Wolters),2,21-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Anderson misses 2-pt shot from 21 ft,,21-14,,
11:43.0,,,21-14,,Defensive rebound by T. Hansbrough
11:38.0,Shooting block foul by N. Wolters (drawn by L. Williams),,21-14,,
11:38.0,,,21-15,1,L. Williams makes free throw 1 of 2
11:38.0,T. Evans enters the game for N. Wolters,,21-15,,
11:38.0,,,21-16,1,L. Williams makes free throw 2 of 2
11:21.0,Offensive charge foul by T. Evans,,21-16,,
11:21.0,Turnover by T. Evans (offensive foul),,21-16,,
11:10.0,,,21-19,3,P. Patterson makes 3-pt shot from 24 ft (assist by G. Vasquez)
10:52.0,R. Anderson makes 3-pt shot from 24 ft,3,24-19,,
10:44.0,,,24-19,,L. Williams misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by A. Ajinca,,24-19,,
10:32.0,R. Anderson misses 3-pt shot from 25 ft,,24-19,,
10:32.0,,,24-19,,Defensive rebound by Team
10:14.0,,,24-19,,G. Vasquez misses 2-pt shot from 2 ft
10:13.0,Defensive rebound by T. Evans,,24-19,,
10:06.0,J. Fredette misses 2-pt shot from 1 ft,,24-19,,
10:05.0,,,24-19,,Defensive rebound by J. Johnson
9:58.0,,,24-21,2,G. Vasquez makes 2-pt shot from 1 ft (assist by J. Johnson)
9:43.0,A. Ajinca misses 2-pt shot from 17 ft,,24-21,,
9:42.0,Offensive rebound by R. Anderson,,24-21,,
9:39.0,R. Anderson makes 2-pt shot at rim,2,26-21,,
9:23.0,,,26-23,2,P. Patterson makes 2-pt shot from 8 ft
9:05.0,R. Anderson misses 3-pt shot from 23 ft,,26-23,,
9:03.0,Offensive rebound by R. Anderson,,26-23,,
9:01.0,R. Anderson misses 2-pt shot from 2 ft,,26-23,,
9:00.0,,,26-23,,Defensive rebound by J. Johnson
8:57.0,,,26-23,,Offensive charge foul by J. Johnson
8:57.0,,,26-23,,Turnover by J. Johnson (offensive foul)
8:57.0,Official timeout,,26-23,,
8:57.0,,,26-23,,A. Johnson enters the game for T. Hansbrough
8:57.0,D. Cunningham enters the game for Q. Pondexter,,26-23,,
8:33.0,T. Evans makes 2-pt shot from 1 ft,2,28-23,,
8:15.0,,,28-25,2,A. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
7:57.0,R. Anderson misses 3-pt shot from 27 ft,,28-25,,
7:55.0,,,28-25,,Defensive rebound by J. Johnson
7:47.0,,,28-25,,G. Vasquez misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by D. Cunningham,,28-25,,
7:39.0,T. Evans makes 2-pt shot from 1 ft,2,30-25,,
7:14.0,,,30-25,,J. Johnson misses 2-pt shot from 4 ft
7:13.0,Defensive rebound by A. Ajinca,,30-25,,
7:02.0,A. Ajinca makes 2-pt shot from 3 ft (assist by J. Fredette),2,32-25,,
6:47.0,,,32-28,3,G. Vasquez makes 3-pt shot from 23 ft (assist by L. Williams)
6:29.0,A. Ajinca makes 2-pt shot at rim,2,34-28,,
6:21.0,,,34-28,,Toronto full timeout
6:21.0,,,34-28,,D. DeRozan enters the game for L. Williams
6:21.0,,,34-28,,K. Lowry enters the game for P. Patterson
6:21.0,,,34-28,,J. Valanciunas enters the game for J. Johnson
6:21.0,E. Gordon enters the game for J. Fredette,,34-28,,
6:12.0,,,34-30,2,A. Johnson makes 2-pt shot from 1 ft (assist by G. Vasquez)
5:50.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans),3,37-30,,
5:26.0,,,37-30,,Turnover by G. Vasquez (bad pass; steal by D. Cunningham)
5:21.0,D. Cunningham misses 2-pt shot from 1 ft (block by A. Johnson),,37-30,,
5:19.0,Offensive rebound by T. Evans,,37-30,,
5:16.0,T. Evans makes 2-pt shot from 1 ft,2,39-30,,
4:52.0,,,39-32,2,K. Lowry makes 2-pt shot from 19 ft (assist by G. Vasquez)
4:23.0,T. Evans misses 3-pt shot from 25 ft,,39-32,,
4:23.0,Offensive rebound by Team,,39-32,,
4:23.0,Turnover by Team (shot clock),,39-32,,
4:10.0,,,39-32,,Turnover by K. Lowry (bad pass; steal by E. Gordon)
4:05.0,,,39-32,,Personal foul by D. DeRozan (drawn by T. Evans)
4:05.0,O. Asik enters the game for R. Anderson,,39-32,,
3:54.0,E. Gordon misses 3-pt shot from 22 ft,,39-32,,
3:53.0,,,39-32,,Defensive rebound by J. Valanciunas
3:40.0,,,39-32,,D. DeRozan misses 2-pt shot from 19 ft
3:38.0,,,39-32,,Offensive rebound by A. Johnson
3:20.0,,,39-32,,G. Vasquez misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by Team,,39-32,,
3:10.0,Shooting foul by G. Vasquez (drawn by T. Evans),,39-32,,
3:10.0,T. Evans makes free throw 1 of 2,1,40-32,,
3:10.0,T. Evans makes free throw 2 of 2,1,41-32,,
2:52.0,,,41-32,,Shooting foul by O. Asik (drawn by J. Valanciunas)
2:52.0,New Orleans full timeout,,41-32,,
2:52.0,,,41-33,1,J. Valanciunas makes free throw 1 of 2
2:52.0,,,41-34,1,J. Valanciunas makes free throw 2 of 2
2:38.0,D. Cunningham misses 2-pt shot from 21 ft,,41-34,,
2:37.0,,,41-34,,Defensive rebound by K. Lowry
2:23.0,,,41-34,,J. Valanciunas misses 2-pt shot from 6 ft
2:21.0,Defensive rebound by O. Asik,,41-34,,
2:16.0,A. Ajinca misses 2-pt shot from 2 ft (block by A. Johnson),,41-34,,
2:16.0,Offensive rebound by Team,,41-34,,
2:16.0,,,41-34,,T. Ross enters the game for G. Vasquez
2:09.0,O. Asik misses 2-pt shot from 2 ft,,41-34,,
2:08.0,Offensive rebound by A. Ajinca,,41-34,,
2:05.0,A. Ajinca makes 2-pt shot from 1 ft,2,43-34,,
1:46.0,,,43-36,2,A. Johnson makes 2-pt shot from 1 ft (assist by D. DeRozan)
1:30.0,T. Evans makes 2-pt shot from 2 ft,2,45-36,,
1:09.0,,,45-36,,K. Lowry misses 2-pt shot from 1 ft
1:08.0,Defensive rebound by O. Asik,,45-36,,
0:50.0,E. Gordon makes 2-pt shot from 6 ft,2,47-36,,
0:36.0,,,47-36,,T. Ross misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by Team,,47-36,,
0:34.0,Q. Pondexter enters the game for D. Cunningham,,47-36,,
0:18.0,T. Evans makes 3-pt shot from 24 ft,3,50-36,,
0:01.0,,,50-36,,Turnover by K. Lowry (lost ball)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,O. Asik makes 2-pt shot from 2 ft (assist by R. Anderson),2,52-36,,
11:23.0,,,52-36,,D. DeRozan misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by T. Evans,,52-36,,
11:07.0,T. Evans misses 3-pt shot from 24 ft,,52-36,,
11:06.0,,,52-36,,Defensive rebound by J. Valanciunas
10:54.0,,,52-36,,Turnover by D. DeRozan (lost ball)
10:54.0,,,52-36,,Personal foul by D. DeRozan (drawn by E. Gordon)
10:42.0,Turnover by E. Gordon (bad pass; steal by G. Vasquez),,52-36,,
10:38.0,,,52-36,,G. Vasquez misses 2-pt shot from 2 ft
10:35.0,,,52-36,,Offensive rebound by A. Johnson
10:33.0,,,52-38,2,A. Johnson makes 2-pt shot from 1 ft
10:13.0,E. Gordon misses 3-pt shot from 24 ft,,52-38,,
10:12.0,,,52-38,,Defensive rebound by J. Valanciunas
10:03.0,,,52-40,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
9:41.0,R. Anderson misses 3-pt shot from 23 ft,,52-40,,
9:40.0,,,52-40,,Defensive rebound by J. Valanciunas
9:29.0,,,52-40,,K. Lowry misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by T. Evans,,52-40,,
9:20.0,D. Cunningham misses 2-pt shot from 18 ft,,52-40,,
9:19.0,,,52-40,,Defensive rebound by A. Johnson
9:10.0,,,52-40,,Turnover by K. Lowry (bad pass; steal by D. Cunningham)
9:05.0,Shooting foul by G. Vasquez (drawn by D. Cunningham),,52-40,,
9:05.0,D. Cunningham misses free throw 1 of 2,,52-40,,
9:05.0,Offensive rebound by Team,,52-40,,
9:05.0,D. Cunningham misses free throw 2 of 2,,52-40,,
9:02.0,Offensive rebound by Team,,52-40,,
8:51.0,E. Gordon makes 2-pt shot from 7 ft,2,54-40,,
8:37.0,,,54-42,2,D. DeRozan makes 2-pt shot from 16 ft (assist by G. Vasquez)
8:23.0,E. Gordon misses 3-pt shot from 24 ft,,54-42,,
8:22.0,,,54-42,,Defensive rebound by Team
8:21.0,Loose ball foul by R. Anderson (drawn by J. Valanciunas),,54-42,,
8:08.0,,,54-44,2,K. Lowry makes 2-pt shot from 2 ft (assist by G. Vasquez)
7:50.0,R. Anderson misses 2-pt shot from 16 ft,,54-44,,
7:47.0,,,54-44,,Defensive rebound by D. DeRozan
7:37.0,,,54-46,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by G. Vasquez)
7:34.0,New Orleans full timeout,,54-46,,
7:28.0,,,54-46,,Personal foul by K. Lowry (drawn by E. Gordon)
7:19.0,Turnover by T. Evans (traveling),,54-46,,
7:10.0,,,54-46,,Turnover by G. Vasquez (bad pass; steal by D. Cunningham)
7:05.0,T. Evans makes 2-pt shot from 2 ft (assist by D. Cunningham),2,56-46,,
6:43.0,,,56-46,,Shooting foul by E. Gordon (drawn by G. Vasquez)
6:43.0,,,56-47,1,G. Vasquez makes free throw 1 of 2
6:43.0,,,56-47,,P. Patterson enters the game for A. Johnson
6:43.0,,,56-48,1,G. Vasquez makes free throw 2 of 2
6:28.0,T. Evans misses 2-pt shot from 4 ft (block by J. Valanciunas),,56-48,,
6:26.0,,,56-48,,Defensive rebound by G. Vasquez
6:16.0,,,56-50,2,K. Lowry makes 2-pt shot from 2 ft
5:56.0,O. Asik misses 2-pt shot at rim (block by P. Patterson),,56-50,,
5:54.0,,,56-50,,Defensive rebound by K. Lowry
5:48.0,,,56-53,3,D. DeRozan makes 3-pt shot from 23 ft (assist by K. Lowry)
5:29.0,Shooting foul by G. Vasquez (drawn by T. Evans),,56-53,,
5:29.0,T. Evans misses free throw 1 of 2,,56-53,,
5:29.0,Offensive rebound by Team,,56-53,,
5:29.0,Q. Pondexter enters the game for D. Cunningham,,56-53,,
5:29.0,T. Evans makes free throw 2 of 2,1,57-53,,
5:11.0,,,57-53,,D. DeRozan misses 3-pt shot from 22 ft
5:11.0,Defensive rebound by Team,,57-53,,
5:11.0,,,57-53,,Loose ball foul by J. Valanciunas (drawn by O. Asik)
5:11.0,O. Asik makes free throw 1 of 2,1,58-53,,
5:11.0,O. Asik misses free throw 2 of 2,,58-53,,
5:10.0,,,58-53,,Defensive rebound by J. Valanciunas
4:57.0,,,58-55,2,D. DeRozan makes 2-pt shot from 18 ft
4:50.0,Turnover by O. Asik (bad pass; steal by P. Patterson),,58-55,,
4:44.0,,,58-58,3,G. Vasquez makes 3-pt shot from 25 ft (assist by K. Lowry)
4:31.0,Turnover by R. Anderson (lost ball; steal by K. Lowry),,58-58,,
4:25.0,,,58-60,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
4:25.0,New Orleans full timeout,,58-60,,
4:05.0,Turnover by E. Gordon (lost ball; steal by G. Vasquez),,58-60,,
4:00.0,,,58-62,2,D. DeRozan makes 2-pt shot from 2 ft (assist by G. Vasquez)
3:41.0,Shooting foul by J. Valanciunas (drawn by T. Evans),,58-62,,
3:41.0,T. Evans makes free throw 1 of 2,1,59-62,,
3:41.0,A. Ajinca enters the game for R. Anderson,,59-62,,
3:41.0,T. Evans makes free throw 2 of 2,1,60-62,,
3:18.0,,,60-65,3,G. Vasquez makes 3-pt shot from 23 ft
3:05.0,Turnover by T. Evans (traveling),,60-65,,
3:05.0,N. Wolters enters the game for T. Evans,,60-65,,
3:05.0,,,60-65,,L. Williams enters the game for K. Lowry
2:53.0,,,60-65,,D. DeRozan misses 2-pt shot from 15 ft (block by A. Ajinca)
2:51.0,,,60-65,,Offensive rebound by J. Valanciunas
2:49.0,,,60-65,,J. Valanciunas misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by E. Gordon,,60-65,,
2:43.0,Turnover by N. Wolters (bad pass; steal by J. Valanciunas),,60-65,,
2:38.0,,,60-65,,Turnover by G. Vasquez (bad pass; steal by N. Wolters)
2:31.0,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon),2,62-65,,
2:22.0,,,62-65,,Toronto full timeout
2:22.0,J. Fredette enters the game for E. Gordon,,62-65,,
2:13.0,,,62-65,,G. Vasquez misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by O. Asik,,62-65,,
1:57.0,N. Wolters misses 2-pt shot from 5 ft,,62-65,,
1:56.0,Offensive rebound by N. Wolters,,62-65,,
1:51.0,J. Fredette makes 2-pt shot from 7 ft (assist by A. Ajinca),2,64-65,,
1:35.0,,,64-65,,Shooting foul by Q. Pondexter (drawn by D. DeRozan)
1:35.0,,,64-66,1,D. DeRozan makes free throw 1 of 3
1:35.0,,,64-66,,D. DeRozan misses free throw 2 of 3
1:35.0,,,64-66,,Offensive rebound by Team
1:35.0,,,64-66,,K. Lowry enters the game for G. Vasquez
1:35.0,,,64-66,,T. Hansbrough enters the game for J. Valanciunas
1:35.0,R. Anderson enters the game for O. Asik,,64-66,,
1:35.0,,,64-67,1,D. DeRozan makes free throw 3 of 3
1:16.0,Turnover by J. Fredette (lost ball; steal by L. Williams),,64-67,,
1:11.0,,,64-69,2,L. Williams makes 2-pt shot from 7 ft
0:48.0,Q. Pondexter misses 2-pt shot from 9 ft,,64-69,,
0:45.0,,,64-69,,Defensive rebound by P. Patterson
0:39.0,,,64-71,2,L. Williams makes 2-pt shot from 8 ft
0:29.0,Turnover by N. Wolters (traveling),,64-71,,
0:29.0,,,64-71,,J. Johnson enters the game for D. DeRozan
0:05.0,,,64-71,,L. Williams misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by Team,,64-71,,
0:04.0,Jump ball: J. Fredette vs. K. Lowry (Q. Pondexter gains possession),,,,Jump ball: J. Fredette vs. K. Lowry (Q. Pondexter gains possession)
0:00.0,Q. Pondexter misses 2-pt shot from 18 ft,,64-71,,
0:00.0,Offensive rebound by Team,,64-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,64-73,2,L. Williams makes 2-pt shot from 11 ft
11:33.0,Offensive foul by R. Anderson,,64-73,,
11:33.0,Turnover by R. Anderson (offensive foul),,64-73,,
11:21.0,,,64-76,3,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry)
11:08.0,,,64-76,,Personal foul by P. Patterson (drawn by R. Anderson)
10:56.0,J. Fredette makes 3-pt shot from 25 ft (assist by R. Anderson),3,67-76,,
10:34.0,,,67-76,,Turnover by J. Johnson (lost ball)
10:33.0,,,67-76,,Technical foul by J. Johnson
10:33.0,J. Fredette misses technical free throw,,67-76,,
10:33.0,Offensive rebound by Team,,67-76,,
10:33.0,E. Gordon enters the game for Q. Pondexter,,67-76,,
10:16.0,J. Fredette misses 2-pt shot from 1 ft,,67-76,,
10:15.0,,,67-76,,Defensive rebound by J. Johnson
10:03.0,,,67-76,,K. Lowry misses 2-pt shot from 18 ft
10:02.0,Defensive rebound by R. Anderson,,67-76,,
9:51.0,A. Ajinca makes 2-pt shot from 11 ft,2,69-76,,
9:26.0,,,69-76,,Shooting foul by E. Gordon (drawn by L. Williams)
9:26.0,,,69-76,,L. Williams misses free throw 1 of 3
9:26.0,,,69-76,,Offensive rebound by Team
9:26.0,,,69-77,1,L. Williams makes free throw 2 of 3
9:26.0,,,69-78,1,L. Williams makes free throw 3 of 3
9:15.0,R. Anderson misses 3-pt shot from 24 ft,,69-78,,
9:13.0,Offensive rebound by D. Cunningham,,69-78,,
9:10.0,D. Cunningham makes 2-pt shot from 4 ft,2,71-78,,
8:51.0,,,71-78,,Turnover by J. Johnson (bad pass; steal by A. Ajinca)
8:35.0,A. Ajinca makes 2-pt shot at rim (assist by E. Gordon),2,73-78,,
8:21.0,,,73-78,,Toronto full timeout
8:21.0,,,73-78,,A. Johnson enters the game for T. Hansbrough
8:21.0,,,73-78,,D. DeRozan enters the game for J. Johnson
8:11.0,,,73-78,,Shooting foul by A. Ajinca (drawn by A. Johnson)
8:11.0,,,73-78,,A. Johnson misses free throw 1 of 2
8:11.0,,,73-78,,Offensive rebound by Team
8:11.0,,,73-78,,A. Johnson misses free throw 2 of 2
8:10.0,Defensive rebound by A. Ajinca,,73-78,,
7:54.0,E. Gordon misses 3-pt shot from 24 ft,,73-78,,
7:53.0,,,73-78,,Defensive rebound by A. Johnson
7:46.0,,,73-78,,L. Williams misses 2-pt shot from 1 ft
7:45.0,,,73-78,,Offensive rebound by A. Johnson
7:43.0,,,73-80,2,A. Johnson makes 2-pt shot at rim
7:28.0,D. Cunningham misses 2-pt shot at rim,,73-80,,
7:26.0,,,73-80,,Defensive rebound by A. Johnson
7:17.0,,,73-80,,Shooting foul by A. Ajinca (drawn by A. Johnson)
7:17.0,,,73-81,1,A. Johnson makes free throw 1 of 2
7:17.0,,,73-81,,G. Vasquez enters the game for K. Lowry
7:17.0,T. Evans enters the game for J. Fredette,,73-81,,
7:17.0,,,73-82,1,A. Johnson makes free throw 2 of 2
6:52.0,E. Gordon misses 2-pt shot from 21 ft,,73-82,,
6:51.0,,,73-82,,Defensive rebound by A. Johnson
6:39.0,Shooting block foul by E. Gordon (drawn by L. Williams),,73-82,,
6:39.0,,,73-83,1,L. Williams makes free throw 1 of 3
6:39.0,,,73-84,1,L. Williams makes free throw 2 of 3
6:39.0,,,73-85,1,L. Williams makes free throw 3 of 3
6:21.0,Shooting foul by P. Patterson (drawn by R. Anderson),,73-85,,
6:21.0,R. Anderson makes free throw 1 of 2,1,74-85,,
6:21.0,R. Anderson misses free throw 2 of 2,,74-85,,
6:20.0,,,74-85,,Defensive rebound by P. Patterson
6:05.0,,,74-85,,A. Johnson misses 2-pt shot from 2 ft
6:03.0,Defensive rebound by E. Gordon,,74-85,,
5:57.0,E. Gordon makes 2-pt shot from 2 ft,2,76-85,,
5:41.0,,,76-85,,L. Williams misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by R. Anderson,,76-85,,
5:35.0,Turnover by E. Gordon (lost ball; steal by L. Williams),,76-85,,
5:34.0,Personal foul by A. Ajinca (drawn by L. Williams),,76-85,,
5:34.0,Official timeout,,76-85,,
5:34.0,,,76-86,1,L. Williams makes free throw 1 of 2
5:34.0,,,76-87,1,L. Williams makes free throw 2 of 2
5:16.0,Shooting foul by P. Patterson (drawn by T. Evans),,76-87,,
5:16.0,T. Evans makes free throw 1 of 2,1,77-87,,
5:16.0,,,77-87,,K. Lowry enters the game for L. Williams
5:16.0,,,77-87,,J. Valanciunas enters the game for P. Patterson
5:16.0,O. Asik enters the game for R. Anderson,,77-87,,
5:16.0,T. Evans makes free throw 2 of 2,1,78-87,,
4:57.0,,,78-87,,G. Vasquez misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by D. Cunningham,,78-87,,
4:44.0,A. Ajinca makes 2-pt shot from 8 ft (assist by E. Gordon),2,80-87,,
4:25.0,J. Fredette enters the game for D. Cunningham,,80-87,,
4:20.0,,,80-87,,G. Vasquez misses 2-pt shot from 8 ft
4:19.0,Defensive rebound by E. Gordon,,80-87,,
4:08.0,J. Fredette misses 2-pt shot from 20 ft,,80-87,,
4:07.0,,,80-87,,Defensive rebound by D. DeRozan
3:46.0,,,80-87,,G. Vasquez misses 2-pt shot from 15 ft
3:45.0,Defensive rebound by J. Fredette,,80-87,,
3:40.0,Shooting foul by D. DeRozan (drawn by E. Gordon),,80-87,,
3:40.0,E. Gordon makes 2-pt shot from 2 ft (assist by J. Fredette),2,82-87,,
3:40.0,E. Gordon makes free throw 1 of 1,1,83-87,,
3:28.0,,,83-87,,Turnover by A. Johnson (bad pass)
3:13.0,Shooting foul by A. Johnson (drawn by A. Ajinca),,83-87,,
3:13.0,A. Ajinca makes free throw 1 of 2,1,84-87,,
3:13.0,,,84-87,,L. Williams enters the game for G. Vasquez
3:13.0,,,84-87,,P. Patterson enters the game for J. Valanciunas
3:13.0,Q. Pondexter enters the game for J. Fredette,,84-87,,
3:13.0,A. Ajinca makes free throw 2 of 2,1,85-87,,
2:56.0,Personal foul by O. Asik (drawn by P. Patterson),,85-87,,
2:56.0,New Orleans full timeout,,85-87,,
