time,Golden State,pts.away,score,pts.home,Miami
4:13.0,,,21-21,2,L. Deng makes 2-pt shot at rim
4:13.0,,,21-21,,Shooting foul by A. Iguodala (drawn by L. Deng)
4:13.0,,,21-21,,S. Napier enters the game for N. Cole
4:13.0,,,21-21,,U. Haslem enters the game for C. Bosh
4:13.0,M. Speights enters the game for A. Bogut,,21-21,,
4:13.0,,,21-22,1,L. Deng makes free throw 1 of 1
4:02.0,,,21-22,,Shooting block foul by U. Haslem (drawn by D. Green)
4:02.0,D. Green misses free throw 1 of 2,,21-22,,
4:02.0,Offensive rebound by Team,,21-22,,
4:02.0,L. Barbosa enters the game for K. Thompson,,21-22,,
4:02.0,D. Green makes free throw 2 of 2,1,22-22,,
3:51.0,,,22-22,,S. Napier misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by A. Iguodala,,22-22,,
3:43.0,L. Barbosa misses 2-pt shot from 1 ft (block by J. Ennis),,22-22,,
3:42.0,,,22-22,,Defensive rebound by J. Ennis
3:26.0,,,22-22,,J. Ennis misses 2-pt shot from 21 ft
3:25.0,Defensive rebound by M. Speights,,22-22,,
3:19.0,Offensive foul by D. Green,,22-22,,
3:19.0,Turnover by D. Green (offensive foul),,22-22,,
3:19.0,,,22-22,,J. McRoberts enters the game for S. Williams
3:19.0,,,22-22,,M. Chalmers enters the game for L. Deng
2:58.0,,,22-24,2,J. Ennis makes 2-pt shot from 1 ft
2:58.0,,,22-24,,Shooting foul by A. Iguodala (drawn by J. Ennis)
2:58.0,Golden State full timeout,,22-24,,
2:58.0,H. Barnes enters the game for A. Iguodala,,22-24,,
2:58.0,,,22-25,1,J. Ennis makes free throw 1 of 1
2:43.0,M. Speights misses 2-pt shot from 18 ft,,22-25,,
2:42.0,,,22-25,,Defensive rebound by J. Ennis
2:30.0,,,22-27,2,M. Chalmers makes 2-pt shot from 7 ft
2:30.0,,,22-27,,Shooting foul by L. Barbosa (drawn by M. Chalmers)
2:30.0,,,22-28,1,M. Chalmers makes free throw 1 of 1
2:22.0,,,22-28,,Shooting block foul by U. Haslem (drawn by L. Barbosa)
2:22.0,L. Barbosa misses free throw 1 of 2,,22-28,,
2:22.0,Offensive rebound by Team,,22-28,,
2:22.0,L. Barbosa misses free throw 2 of 2,,22-28,,
2:21.0,,,22-28,,Defensive rebound by J. Ennis
1:58.0,,,22-28,,J. McRoberts misses 2-pt shot from 20 ft (block by D. Green)
1:57.0,,,22-28,,Offensive rebound by M. Chalmers
1:56.0,,,22-31,3,M. Chalmers makes 3-pt shot from 23 ft (assist by J. Ennis)
1:50.0,,,22-31,,Personal foul by S. Napier (drawn by S. Curry)
1:47.0,,,22-31,,Personal foul by M. Chalmers (drawn by D. Green)
1:47.0,D. Green misses free throw 1 of 2,,22-31,,
1:47.0,Offensive rebound by Team,,22-31,,
1:47.0,D. Green misses free throw 2 of 2,,22-31,,
1:46.0,,,22-31,,Defensive rebound by U. Haslem
1:32.0,,,22-31,,Turnover by S. Napier (bad pass; steal by L. Barbosa)
1:27.0,H. Barnes makes 2-pt shot at rim (assist by D. Green),2,24-31,,
1:13.0,,,24-33,2,M. Chalmers makes 2-pt shot from 1 ft (assist by J. McRoberts)
1:02.0,S. Curry misses 2-pt shot from 13 ft,,24-33,,
1:01.0,Offensive rebound by M. Speights,,24-33,,
1:00.0,M. Speights makes 2-pt shot at rim,2,26-33,,
0:42.0,,,26-33,,Miami full timeout
0:39.0,,,26-36,3,M. Chalmers makes 3-pt shot from 24 ft (assist by J. Ennis)
0:29.0,S. Curry makes 2-pt shot from 3 ft,2,28-36,,
0:07.0,,,28-36,,M. Chalmers misses 3-pt shot from 23 ft
0:06.0,Defensive rebound by L. Barbosa,,28-36,,
0:02.0,H. Barnes misses 2-pt shot from 2 ft,,28-36,,
0:01.0,Offensive rebound by L. Barbosa,,28-36,,
0:00.0,L. Barbosa makes 2-pt shot from 1 ft,2,30-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,S. Livingston makes 2-pt shot from 14 ft,2,32-36,,
11:10.0,,,32-38,2,S. Napier makes 2-pt shot from 11 ft
10:49.0,H. Barnes misses 2-pt shot from 18 ft,,32-38,,
10:48.0,,,32-38,,Defensive rebound by U. Haslem
10:24.0,,,32-38,,J. Ennis misses 2-pt shot from 18 ft (block by K. Thompson)
10:23.0,Defensive rebound by A. Bogut,,32-38,,
10:08.0,H. Barnes makes 2-pt shot from 20 ft,2,34-38,,
9:50.0,,,34-38,,U. Haslem misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by H. Barnes,,34-38,,
9:37.0,H. Barnes misses 3-pt shot from 24 ft,,34-38,,
9:36.0,,,34-38,,Defensive rebound by U. Haslem
9:28.0,,,34-38,,J. Ennis misses 2-pt shot from 2 ft (block by A. Bogut)
9:27.0,Defensive rebound by H. Barnes,,34-38,,
9:20.0,Turnover by K. Thompson (lost ball; steal by J. Ennis),,34-38,,
9:15.0,,,34-40,2,U. Haslem makes 2-pt shot at rim (assist by J. Ennis)
8:56.0,B. Rush misses 3-pt shot from 24 ft,,34-40,,
8:55.0,,,34-40,,Defensive rebound by U. Haslem
8:43.0,,,34-40,,Shooting foul by H. Barnes (drawn by M. Chalmers)
8:43.0,Official timeout,,34-40,,
8:43.0,,,34-40,,C. Bosh enters the game for J. Ennis
8:43.0,,,34-40,,L. Deng enters the game for U. Haslem
8:43.0,,,34-41,1,M. Chalmers makes free throw 1 of 2
8:43.0,,,34-41,,M. Chalmers misses free throw 2 of 2
8:42.0,Defensive rebound by A. Bogut,,34-41,,
8:27.0,A. Bogut misses 2-pt shot at rim,,34-41,,
8:26.0,,,34-41,,Defensive rebound by S. Napier
8:15.0,,,34-43,2,J. McRoberts makes 2-pt shot from 1 ft
7:59.0,H. Barnes makes 2-pt shot from 1 ft,2,36-43,,
7:35.0,,,36-43,,L. Deng misses 3-pt shot from 22 ft
7:34.0,,,36-43,,Offensive rebound by C. Bosh
7:33.0,,,36-43,,Shooting foul by K. Thompson (drawn by C. Bosh)
7:33.0,,,36-44,1,C. Bosh makes free throw 1 of 2
7:33.0,A. Iguodala enters the game for H. Barnes,,36-44,,
7:33.0,,,36-44,,N. Cole enters the game for M. Chalmers
7:33.0,,,36-45,1,C. Bosh makes free throw 2 of 2
7:16.0,K. Thompson misses 2-pt shot from 22 ft,,36-45,,
7:15.0,,,36-45,,Defensive rebound by J. McRoberts
6:54.0,,,36-48,3,S. Napier makes 3-pt shot from 23 ft
6:50.0,Golden State full timeout,,36-48,,
6:50.0,D. Green enters the game for B. Rush,,36-48,,
6:50.0,S. Curry enters the game for S. Livingston,,36-48,,
6:41.0,K. Thompson misses 3-pt shot from 25 ft,,36-48,,
6:40.0,,,36-48,,Defensive rebound by J. McRoberts
6:32.0,,,36-51,3,C. Bosh makes 3-pt shot from 24 ft (assist by J. McRoberts)
6:21.0,Shooting foul by S. Napier (drawn by S. Curry),,36-51,,
6:21.0,S. Curry makes free throw 1 of 2,1,37-51,,
6:21.0,S. Curry makes free throw 2 of 2,1,38-51,,
6:06.0,Def 3 sec tech foul by D. Green,,38-51,,
6:06.0,,,38-52,1,C. Bosh makes technical free throw
5:57.0,,,38-54,2,L. Deng makes 2-pt shot from 8 ft
5:50.0,,,38-54,,Personal foul by J. McRoberts (drawn by S. Curry)
5:50.0,,,38-54,,S. Williams enters the game for J. McRoberts
5:44.0,,,38-54,,Personal foul by N. Cole (drawn by A. Iguodala)
5:33.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut),3,41-54,,
5:07.0,,,41-54,,C. Bosh misses 2-pt shot from 20 ft
5:06.0,Defensive rebound by S. Curry,,41-54,,
4:59.0,S. Curry makes 3-pt shot from 24 ft,3,44-54,,
4:58.0,,,44-54,,Miami full timeout
4:58.0,,,44-54,,M. Chalmers enters the game for S. Napier
4:40.0,Personal foul by S. Curry (drawn by L. Deng),,44-54,,
4:27.0,,,44-54,,C. Bosh misses 2-pt shot from 19 ft
4:26.0,,,44-54,,Offensive rebound by Team
4:26.0,,,44-54,,Turnover by Team (shot clock)
4:15.0,S. Curry makes 2-pt shot from 2 ft,2,46-54,,
3:58.0,,,46-54,,M. Chalmers misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by S. Curry,,46-54,,
3:50.0,Turnover by K. Thompson (bad pass; steal by M. Chalmers),,46-54,,
3:46.0,,,46-56,2,L. Deng makes 2-pt shot from 1 ft (assist by M. Chalmers)
3:36.0,Shooting foul by S. Williams (drawn by K. Thompson),,46-56,,
3:36.0,K. Thompson misses free throw 1 of 2,,46-56,,
3:36.0,Offensive rebound by Team,,46-56,,
3:36.0,M. Speights enters the game for A. Bogut,,46-56,,
3:36.0,K. Thompson makes free throw 2 of 2,1,47-56,,
3:21.0,,,47-56,,N. Cole misses 2-pt shot from 2 ft (block by S. Curry)
3:20.0,Defensive rebound by M. Speights,,47-56,,
3:09.0,M. Speights makes 2-pt shot at rim (assist by K. Thompson),2,49-56,,
2:54.0,,,49-58,2,C. Bosh makes 2-pt shot from 1 ft
2:40.0,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry),3,52-58,,
2:20.0,,,52-58,,L. Deng misses 2-pt shot from 19 ft
2:19.0,Defensive rebound by S. Curry,,52-58,,
2:12.0,S. Curry misses 2-pt shot from 21 ft,,52-58,,
2:11.0,,,52-58,,Defensive rebound by C. Bosh
1:59.0,,,52-58,,Shooting foul by K. Thompson (drawn by N. Cole)
1:59.0,,,52-59,1,N. Cole makes free throw 1 of 2
1:59.0,,,52-60,1,N. Cole makes free throw 2 of 2
1:44.0,K. Thompson makes 2-pt shot from 19 ft,2,54-60,,
1:34.0,,,54-60,,Offensive foul by S. Williams
1:34.0,,,54-60,,Turnover by S. Williams (offensive foul)
1:23.0,S. Curry makes 3-pt shot from 24 ft,3,57-60,,
1:10.0,Violation by K. Thompson (kicked ball),,57-60,,
1:10.0,,,57-60,,J. McRoberts enters the game for S. Williams
1:10.0,S. Livingston enters the game for S. Curry,,57-60,,
1:02.0,,,57-62,2,C. Bosh makes 2-pt shot from 1 ft
0:45.0,K. Thompson makes 2-pt shot from 12 ft,2,59-62,,
0:26.0,Violation by D. Green (kicked ball),,59-62,,
0:12.0,,,59-62,,M. Chalmers misses 2-pt shot from 9 ft
0:11.0,Defensive rebound by D. Green,,59-62,,
0:10.0,,,59-62,,Personal foul by J. McRoberts (drawn by D. Green)
0:10.0,D. Green makes free throw 1 of 2,1,60-62,,
0:10.0,J. Holiday enters the game for K. Thompson,,60-62,,
0:10.0,B. Rush enters the game for A. Iguodala,,60-62,,
0:10.0,D. Green makes free throw 2 of 2,1,61-62,,
0:02.0,,,61-62,,L. Deng misses 2-pt shot at rim (block by B. Rush)
0:01.0,Defensive rebound by M. Speights,,61-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Thompson misses 2-pt shot from 18 ft,,61-62,,
11:42.0,,,61-62,,Defensive rebound by C. Bosh
11:26.0,,,61-62,,N. Cole misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by K. Thompson,,61-62,,
11:15.0,D. Green makes 2-pt shot from 20 ft (assist by K. Thompson),2,63-62,,
10:54.0,,,63-62,,M. Chalmers misses 2-pt shot from 7 ft
10:53.0,Defensive rebound by D. Green,,63-62,,
10:45.0,K. Thompson misses 3-pt shot from 23 ft (block by M. Chalmers),,63-62,,
10:44.0,,,63-62,,Defensive rebound by C. Bosh
10:33.0,Personal foul by K. Thompson (drawn by M. Chalmers),,63-62,,
10:33.0,A. Bogut enters the game for M. Speights,,63-62,,
10:21.0,,,63-62,,C. Bosh misses 2-pt shot from 18 ft
10:20.0,Defensive rebound by D. Green,,63-62,,
10:04.0,K. Thompson misses 2-pt shot from 2 ft,,63-62,,
10:03.0,,,63-62,,Defensive rebound by C. Bosh
9:43.0,,,63-65,3,L. Deng makes 3-pt shot from 24 ft (assist by M. Chalmers)
9:36.0,,,63-65,,Personal foul by S. Williams (drawn by S. Curry)
9:29.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,65-65,,
9:07.0,,,65-67,2,C. Bosh makes 2-pt shot from 12 ft
8:58.0,Turnover by S. Curry (bad pass; steal by L. Deng),,65-67,,
8:52.0,,,65-67,,N. Cole misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by A. Bogut,,65-67,,
8:31.0,K. Thompson makes 2-pt shot from 1 ft,2,67-67,,
8:11.0,,,67-67,,N. Cole misses 2-pt shot from 1 ft
8:10.0,Defensive rebound by A. Bogut,,67-67,,
8:01.0,K. Thompson makes 2-pt shot from 1 ft,2,69-67,,
7:39.0,,,69-69,2,C. Bosh makes 2-pt shot from 17 ft
7:30.0,S. Curry makes 3-pt shot from 25 ft,3,72-69,,
7:30.0,,,72-69,,Miami full timeout
7:30.0,A. Iguodala enters the game for K. Thompson,,72-69,,
7:06.0,,,72-69,,S. Williams misses 2-pt shot from 2 ft
7:05.0,,,72-69,,Offensive rebound by S. Williams
7:04.0,,,72-71,2,S. Williams makes 2-pt shot at rim
6:47.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,75-71,,
6:29.0,Personal foul by D. Green (drawn by C. Bosh),,75-71,,
6:29.0,,,75-71,,J. Ennis enters the game for M. Chalmers
6:17.0,,,75-71,,L. Deng misses 2-pt shot from 19 ft
6:16.0,Defensive rebound by H. Barnes,,75-71,,
6:09.0,S. Curry misses 2-pt shot at rim (block by J. Ennis),,75-71,,
6:08.0,,,75-71,,Defensive rebound by L. Deng
6:05.0,,,75-71,,Turnover by C. Bosh (traveling)
6:05.0,,,75-71,,S. Napier enters the game for N. Cole
5:55.0,,,75-71,,Personal foul by J. Ennis (drawn by S. Curry)
5:44.0,D. Green misses 3-pt shot from 23 ft,,75-71,,
5:43.0,,,75-71,,Defensive rebound by J. Ennis
5:33.0,,,75-74,3,S. Williams makes 3-pt shot from 24 ft (assist by S. Napier)
5:12.0,A. Bogut makes 2-pt shot from 9 ft,2,77-74,,
4:46.0,Personal foul by A. Iguodala (drawn by J. Ennis),,77-74,,
4:32.0,,,77-77,3,S. Williams makes 3-pt shot from 24 ft (assist by C. Bosh)
4:32.0,,,77-77,,Violation by Team (delay of game)
4:16.0,A. Iguodala makes 2-pt shot from 15 ft,2,79-77,,
3:51.0,,,79-77,,C. Bosh misses 3-pt shot from 24 ft
3:50.0,,,79-77,,Offensive rebound by J. Ennis
3:50.0,,,79-77,,Shooting foul by D. Green (drawn by J. Ennis)
3:50.0,,,79-78,1,J. Ennis makes free throw 1 of 2
3:50.0,B. Rush enters the game for H. Barnes,,79-78,,
3:50.0,,,79-78,,J. McRoberts enters the game for S. Williams
3:50.0,,,79-78,,U. Haslem enters the game for C. Bosh
3:50.0,,,79-78,,M. Chalmers enters the game for L. Deng
3:50.0,,,79-78,,J. Ennis misses free throw 2 of 2
3:49.0,Defensive rebound by A. Bogut,,79-78,,
3:36.0,S. Curry misses 3-pt shot from 24 ft,,79-78,,
3:35.0,,,79-78,,Defensive rebound by M. Chalmers
3:27.0,,,79-78,,Shooting foul by A. Iguodala (drawn by J. Ennis)
3:27.0,,,79-79,1,J. Ennis makes free throw 1 of 2
3:27.0,M. Speights enters the game for A. Bogut,,79-79,,
3:27.0,H. Barnes enters the game for A. Iguodala,,79-79,,
3:27.0,,,79-80,1,J. Ennis makes free throw 2 of 2
3:18.0,M. Speights makes 2-pt shot from 1 ft (assist by S. Curry),2,81-80,,
2:58.0,,,81-80,,M. Chalmers misses 2-pt shot from 4 ft
2:57.0,Defensive rebound by D. Green,,81-80,,
2:52.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,83-80,,
2:26.0,,,83-80,,U. Haslem misses 2-pt shot from 16 ft
2:25.0,Defensive rebound by M. Speights,,83-80,,
2:19.0,S. Curry makes 3-pt shot from 25 ft (assist by M. Speights),3,86-80,,
1:46.0,,,86-80,,S. Napier misses 2-pt shot from 18 ft
1:45.0,,,86-80,,Offensive rebound by S. Napier
1:42.0,,,86-80,,M. Chalmers misses 3-pt shot from 24 ft
1:41.0,,,86-80,,Offensive rebound by Team
1:41.0,Loose ball foul by M. Speights (drawn by J. McRoberts),,86-80,,
1:41.0,Golden State full timeout,,86-80,,
1:41.0,K. Thompson enters the game for D. Green,,86-80,,
1:41.0,,,86-81,1,J. McRoberts makes free throw 1 of 2
1:41.0,,,86-82,1,J. McRoberts makes free throw 2 of 2
1:26.0,S. Curry misses 3-pt shot from 24 ft,,86-82,,
1:26.0,Offensive rebound by Team,,86-82,,
1:26.0,,,86-82,,Loose ball foul by J. Ennis (drawn by H. Barnes)
1:19.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,88-82,,
1:04.0,,,88-82,,Turnover by S. Napier (bad pass; steal by S. Curry)
0:58.0,Shooting foul by S. Napier (drawn by S. Curry),,88-82,,
0:58.0,S. Curry makes free throw 1 of 2,1,89-82,,
0:58.0,S. Curry misses free throw 2 of 2,,89-82,,
0:58.0,,,89-82,,Defensive rebound by J. Ennis
0:45.0,,,89-82,,U. Haslem misses 2-pt shot from 5 ft (block by B. Rush)
0:44.0,,,89-82,,Offensive rebound by U. Haslem
0:42.0,,,89-84,2,U. Haslem makes 2-pt shot from 3 ft
0:34.0,M. Speights makes 2-pt shot from 1 ft (assist by S. Curry),2,91-84,,
0:21.0,,,91-84,,M. Chalmers misses 2-pt shot from 1 ft
0:19.0,Defensive rebound by S. Curry,,91-84,,
0:05.0,Turnover by S. Curry (bad pass; steal by M. Chalmers),,91-84,,
0:02.0,,,91-86,2,S. Napier makes 2-pt shot from 1 ft (assist by M. Chalmers)
0:01.0,Turnover by M. Speights (traveling),,91-86,,
0:01.0,S. Livingston enters the game for K. Thompson,,91-86,,
0:01.0,J. Holiday enters the game for H. Barnes,,91-86,,
0:00.0,,,91-86,,S. Napier misses 3-pt shot from 23 ft
0:00.0,,,91-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,91-88,2,C. Bosh makes 2-pt shot from 14 ft
11:17.0,,,91-88,,Violation by C. Bosh (def goaltending)
11:17.0,S. Livingston makes 2-pt shot from 3 ft (assist by K. Thompson),2,93-88,,
10:56.0,,,93-90,2,C. Bosh makes 2-pt shot from 10 ft
10:41.0,,,93-90,,Personal foul by M. Chalmers (drawn by M. Speights)
10:26.0,S. Livingston misses 2-pt shot from 11 ft,,93-90,,
10:25.0,,,93-90,,Defensive rebound by J. McRoberts
10:14.0,,,93-90,,J. Ennis misses 2-pt shot from 2 ft (block by B. Rush)
10:13.0,Defensive rebound by H. Barnes,,93-90,,
10:12.0,,,93-90,,Personal foul by J. Ennis (drawn by H. Barnes)
9:54.0,H. Barnes misses 3-pt shot from 25 ft,,93-90,,
9:53.0,,,93-90,,Defensive rebound by Team
9:53.0,Loose ball foul by M. Speights (drawn by M. Chalmers),,93-90,,
9:53.0,A. Bogut enters the game for M. Speights,,93-90,,
9:36.0,,,93-90,,C. Bosh misses 2-pt shot from 18 ft
9:34.0,,,93-90,,Offensive rebound by J. Ennis
9:33.0,,,93-90,,J. Ennis misses 2-pt shot from 1 ft
9:32.0,,,93-90,,Offensive rebound by J. Ennis
9:31.0,,,93-90,,J. Ennis misses 2-pt shot from 1 ft
9:30.0,Defensive rebound by B. Rush,,93-90,,
9:15.0,K. Thompson misses 3-pt shot from 24 ft,,93-90,,
9:14.0,,,93-90,,Defensive rebound by S. Napier
9:11.0,,,93-92,2,J. Ennis makes 2-pt shot at rim (assist by S. Napier)
9:00.0,Golden State full timeout,,93-92,,
9:00.0,,,93-92,,N. Cole enters the game for M. Chalmers
9:00.0,A. Iguodala enters the game for B. Rush,,93-92,,
8:52.0,K. Thompson misses 2-pt shot from 15 ft,,93-92,,
8:51.0,,,93-92,,Defensive rebound by J. McRoberts
8:28.0,,,93-92,,C. Bosh misses 2-pt shot from 14 ft
8:27.0,Defensive rebound by H. Barnes,,93-92,,
8:05.0,A. Iguodala misses 3-pt shot from 24 ft,,93-92,,
8:04.0,Offensive rebound by K. Thompson,,93-92,,
8:00.0,K. Thompson misses 3-pt shot from 24 ft,,93-92,,
7:59.0,Offensive rebound by H. Barnes,,93-92,,
7:37.0,Turnover by Team (shot clock),,93-92,,
7:25.0,,,93-92,,Shooting foul by S. Livingston (drawn by S. Napier)
7:25.0,,,93-93,1,S. Napier makes free throw 1 of 3
7:25.0,,,93-94,1,S. Napier makes free throw 2 of 3
7:25.0,,,93-94,,M. Chalmers enters the game for J. Ennis
7:25.0,,,93-94,,U. Haslem enters the game for C. Bosh
7:25.0,D. Green enters the game for H. Barnes,,93-94,,
7:25.0,S. Curry enters the game for S. Livingston,,93-94,,
7:25.0,,,93-95,1,S. Napier makes free throw 3 of 3
7:08.0,Turnover by A. Bogut (bad pass; steal by N. Cole),,93-95,,
6:53.0,,,93-95,,Shooting foul by A. Bogut (drawn by J. McRoberts)
6:53.0,,,93-95,,J. McRoberts misses free throw 1 of 2
6:53.0,,,93-95,,Offensive rebound by Team
6:53.0,,,93-95,,J. McRoberts misses free throw 2 of 2
6:52.0,Defensive rebound by D. Green,,93-95,,
6:45.0,Shooting foul by S. Napier (drawn by D. Green),,93-95,,
6:45.0,D. Green makes free throw 1 of 2,1,94-95,,
6:45.0,D. Green makes free throw 2 of 2,1,95-95,,
6:38.0,Personal foul by D. Green (drawn by J. McRoberts),,95-95,,
6:27.0,,,95-95,,N. Cole misses 3-pt shot from 24 ft
6:26.0,,,95-95,,Offensive rebound by U. Haslem
6:25.0,,,95-95,,U. Haslem misses 2-pt shot at rim
6:24.0,Defensive rebound by A. Bogut,,95-95,,
6:11.0,Offensive charge foul by K. Thompson,,95-95,,
6:11.0,Turnover by K. Thompson (offensive foul),,95-95,,
6:11.0,,,95-95,,L. Deng enters the game for N. Cole
5:47.0,,,95-95,,M. Chalmers misses 3-pt shot from 27 ft
5:46.0,Defensive rebound by K. Thompson,,95-95,,
5:42.0,Offensive foul by A. Iguodala,,95-95,,
5:42.0,Turnover by A. Iguodala (offensive foul),,95-95,,
5:42.0,Official timeout,,95-95,,
5:42.0,H. Barnes enters the game for A. Iguodala,,95-95,,
5:42.0,,,95-95,,S. Williams enters the game for U. Haslem
5:42.0,,,95-95,,C. Bosh enters the game for J. McRoberts
5:24.0,,,95-95,,Turnover by S. Napier (bad pass)
5:11.0,Shooting foul by M. Chalmers (drawn by H. Barnes),,95-95,,
5:11.0,H. Barnes makes free throw 1 of 2,1,96-95,,
5:11.0,H. Barnes misses free throw 2 of 2,,96-95,,
5:10.0,,,96-95,,Defensive rebound by C. Bosh
4:48.0,,,96-95,,C. Bosh misses 2-pt shot from 20 ft
4:47.0,Defensive rebound by S. Curry,,96-95,,
4:30.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut),3,99-95,,
4:11.0,,,99-95,,Turnover by S. Napier (lost ball; steal by D. Green)
4:11.0,Jump ball: C. Bosh vs. D. Green (S. Curry gains possession),,,,Jump ball: C. Bosh vs. D. Green (S. Curry gains possession)
4:09.0,,,99-95,,Personal foul by S. Napier (drawn by S. Curry)
4:09.0,S. Curry makes free throw 1 of 2,1,100-95,,
4:09.0,S. Curry makes free throw 2 of 2,1,101-95,,
3:47.0,,,101-95,,M. Chalmers misses 3-pt shot from 25 ft
3:46.0,,,101-95,,Offensive rebound by Team
3:46.0,,,101-95,,Turnover by Team (shot clock)
3:29.0,S. Curry makes 3-pt shot from 24 ft,3,104-95,,
3:29.0,,,104-95,,Miami full timeout
3:29.0,,,104-95,,N. Cole enters the game for S. Napier
3:09.0,,,104-95,,M. Chalmers misses 2-pt shot from 2 ft
3:08.0,Defensive rebound by A. Bogut,,104-95,,
