time,Oklahoma City,pts.away,score,pts.home,Houston
7:24.0,,,4-16,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
7:12.0,Shooting foul by P. Beverley (drawn by R. Westbrook),,4-16,,
7:12.0,R. Westbrook makes free throw 1 of 2,1,5-16,,
7:12.0,D. Waiters enters the game for A. Roberson,,5-16,,
7:12.0,R. Westbrook makes free throw 2 of 2,1,6-16,,
6:54.0,,,6-18,2,J. Harden makes 2-pt shot at rim
6:42.0,S. Adams misses 2-pt shot from 11 ft,,6-18,,
6:41.0,,,6-18,,Defensive rebound by J. Harden
6:34.0,,,6-21,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
6:27.0,Oklahoma City full timeout,,6-21,,
6:16.0,D. Waiters misses 3-pt shot from 24 ft,,6-21,,
6:15.0,,,6-21,,Defensive rebound by D. Motiejunas
6:00.0,,,6-21,,D. Howard misses 2-pt shot from 1 ft (block by S. Adams)
5:59.0,,,6-21,,Offensive rebound by D. Howard
5:58.0,,,6-23,2,D. Howard makes 2-pt shot at rim
5:42.0,,,6-23,,Def 3 sec tech foul by D. Howard
5:42.0,K. Perkins enters the game for S. Adams,,6-23,,
5:42.0,K. Durant makes technical free throw,1,7-23,,
5:33.0,R. Westbrook misses 2-pt shot from 11 ft (block by P. Beverley),,7-23,,
5:32.0,Jump ball: P. Beverley vs. R. Westbrook (S. Ibaka gains possession),,,,Jump ball: P. Beverley vs. R. Westbrook (S. Ibaka gains possession)
5:32.0,Offensive rebound by Team,,7-23,,
5:29.0,S. Ibaka misses 3-pt shot from 24 ft,,7-23,,
5:27.0,Offensive rebound by Team,,7-23,,
5:20.0,D. Waiters makes 2-pt shot from 8 ft,2,9-23,,
5:02.0,,,9-23,,D. Howard misses 2-pt shot from 8 ft
5:01.0,Defensive rebound by K. Durant,,9-23,,
5:00.0,,,9-23,,Personal foul by J. Harden (drawn by K. Durant)
5:00.0,,,9-23,,J. Smith enters the game for D. Howard
4:44.0,R. Westbrook makes 3-pt shot from 24 ft,3,12-23,,
4:31.0,,,12-23,,P. Beverley misses 3-pt shot from 24 ft
4:31.0,,,12-23,,Offensive rebound by J. Smith
4:29.0,,,12-25,2,J. Smith makes 2-pt shot from 1 ft
4:11.0,R. Westbrook makes 2-pt shot at rim,2,14-25,,
3:56.0,,,14-27,2,D. Motiejunas makes 2-pt shot from 2 ft
3:44.0,Turnover by R. Westbrook (bad pass; steal by J. Harden),,14-27,,
3:40.0,Shooting block foul by D. Waiters (drawn by T. Ariza),,14-27,,
3:40.0,,,14-28,1,T. Ariza makes free throw 1 of 2
3:40.0,,,14-28,,J. Terry enters the game for P. Beverley
3:40.0,R. Jackson enters the game for S. Ibaka,,14-28,,
3:40.0,,,14-29,1,T. Ariza makes free throw 2 of 2
3:23.0,Turnover by K. Durant (lost ball; steal by T. Ariza),,14-29,,
3:19.0,,,14-31,2,T. Ariza makes 2-pt shot at rim
3:03.0,K. Perkins makes 2-pt shot at rim (assist by R. Westbrook),2,16-31,,
2:52.0,,,16-31,,Shooting foul by K. Perkins (drawn by J. Harden)
2:52.0,,,16-31,,Houston full timeout
2:52.0,N. Collison enters the game for K. Durant,,16-31,,
2:52.0,,,16-31,,D. Howard enters the game for T. Ariza
2:52.0,,,16-31,,C. Brewer enters the game for D. Motiejunas
2:52.0,,,16-32,1,J. Harden makes free throw 1 of 3
2:52.0,,,16-33,1,J. Harden makes free throw 2 of 3
2:52.0,,,16-34,1,J. Harden makes free throw 3 of 3
2:41.0,R. Westbrook misses 2-pt shot from 18 ft,,16-34,,
2:40.0,,,16-34,,Defensive rebound by J. Harden
2:33.0,,,16-34,,C. Brewer misses 3-pt shot from 22 ft
2:32.0,,,16-34,,Offensive rebound by J. Smith
2:24.0,,,16-37,3,J. Harden makes 3-pt shot from 24 ft
2:06.0,R. Westbrook misses 2-pt shot from 18 ft,,16-37,,
2:04.0,Offensive rebound by K. Perkins,,16-37,,
2:04.0,Turnover by K. Perkins (bad pass; steal by D. Howard),,16-37,,
1:55.0,,,16-37,,D. Howard misses 2-pt shot from 3 ft
1:54.0,,,16-37,,Offensive rebound by J. Smith
1:51.0,A. Morrow enters the game for R. Westbrook,,16-37,,
1:51.0,Jump ball: N. Collison vs. J. Smith (J. Harden gains possession),,,,Jump ball: N. Collison vs. J. Smith (J. Harden gains possession)
1:47.0,Personal foul by D. Waiters (drawn by J. Harden),,16-37,,
1:35.0,,,16-37,,C. Brewer misses 3-pt shot from 22 ft
1:33.0,Defensive rebound by R. Jackson,,16-37,,
1:28.0,,,16-37,,Personal foul by D. Howard (drawn by K. Perkins)
1:28.0,,,16-37,,K. Papanikolaou enters the game for J. Harden
1:16.0,Turnover by N. Collison (bad pass; steal by J. Smith),,16-37,,
1:08.0,,,16-40,3,K. Papanikolaou makes 3-pt shot from 22 ft (assist by J. Smith)
0:55.0,Shooting foul by K. Papanikolaou (drawn by K. Perkins),,16-40,,
0:55.0,K. Perkins misses free throw 1 of 2,,16-40,,
0:55.0,Offensive rebound by Team,,16-40,,
0:55.0,K. Perkins makes free throw 2 of 2,1,17-40,,
0:39.0,,,17-40,,J. Terry misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by Team,,17-40,,
0:38.0,,,17-40,,Loose ball foul by K. Papanikolaou (drawn by A. Morrow)
0:38.0,A. Morrow misses free throw 1 of 2,,17-40,,
0:38.0,Offensive rebound by Team,,17-40,,
0:38.0,A. Morrow makes free throw 2 of 2,1,18-40,,
0:24.0,,,18-40,,D. Howard misses 2-pt shot from 9 ft
0:23.0,Defensive rebound by R. Jackson,,18-40,,
0:01.0,R. Jackson misses 2-pt shot from 19 ft,,18-40,,
0:00.0,Offensive rebound by Team,,18-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,18-42,2,D. Howard makes 2-pt shot from 4 ft
11:23.0,Turnover by K. Durant (lost ball; steal by J. Terry),,18-42,,
11:17.0,,,18-44,2,K. Papanikolaou makes 2-pt shot at rim (assist by J. Smith)
11:04.0,D. Waiters misses 2-pt shot from 19 ft,,18-44,,
11:03.0,,,18-44,,Defensive rebound by D. Howard
10:55.0,,,18-44,,Turnover by J. Smith (bad pass)
10:39.0,R. Jackson makes 2-pt shot from 4 ft,2,20-44,,
10:25.0,,,20-44,,Shooting foul by K. Durant (drawn by J. Smith)
10:25.0,,,20-45,1,J. Smith makes free throw 1 of 2
10:25.0,,,20-45,,J. Smith misses free throw 2 of 2
10:25.0,Defensive rebound by K. Perkins,,20-45,,
10:16.0,K. Perkins makes 2-pt shot from 3 ft (assist by R. Jackson),2,22-45,,
10:16.0,Shooting foul by K. Papanikolaou (drawn by K. Perkins),,22-45,,
10:16.0,K. Perkins makes free throw 1 of 1,1,23-45,,
9:53.0,,,23-45,,D. Howard misses 2-pt shot from 6 ft
9:52.0,Defensive rebound by K. Durant,,23-45,,
9:45.0,K. Durant makes 3-pt shot from 24 ft,3,26-45,,
9:31.0,Violation by K. Durant (kicked ball),,26-45,,
9:31.0,,,26-45,,T. Ariza enters the game for K. Papanikolaou
9:31.0,,,26-45,,P. Beverley enters the game for J. Terry
9:22.0,,,26-47,2,P. Beverley makes 2-pt shot from 19 ft
9:06.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Jackson),3,29-47,,
8:43.0,,,29-47,,J. Smith misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by K. Perkins,,29-47,,
8:35.0,Shooting foul by P. Beverley (drawn by R. Jackson),,29-47,,
8:35.0,Official timeout,,29-47,,
8:35.0,,,29-47,,J. Harden enters the game for D. Howard
8:35.0,,,29-47,,D. Motiejunas enters the game for J. Smith
8:35.0,R. Jackson misses free throw 1 of 2,,29-47,,
8:35.0,Offensive rebound by Team,,29-47,,
8:35.0,R. Westbrook enters the game for D. Waiters,,29-47,,
8:35.0,R. Jackson misses free throw 2 of 2,,29-47,,
8:35.0,,,29-47,,Defensive rebound by J. Harden
8:23.0,,,29-47,,Turnover by J. Harden (bad pass; steal by K. Perkins)
8:19.0,R. Jackson makes 2-pt shot at rim (assist by R. Westbrook),2,31-47,,
8:09.0,,,31-47,,D. Motiejunas misses 2-pt shot from 5 ft
8:08.0,Defensive rebound by K. Durant,,31-47,,
8:04.0,R. Westbrook misses 3-pt shot from 24 ft,,31-47,,
8:02.0,,,31-47,,Defensive rebound by T. Ariza
7:52.0,,,31-47,,P. Beverley misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by R. Westbrook,,31-47,,
7:42.0,R. Westbrook misses 2-pt shot from 2 ft,,31-47,,
7:41.0,,,31-47,,Defensive rebound by J. Harden
7:29.0,,,31-50,3,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza)
7:15.0,R. Jackson makes 3-pt shot from 24 ft (assist by K. Perkins),3,34-50,,
6:56.0,,,34-50,,Turnover by J. Harden (lost ball; steal by R. Westbrook)
6:51.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,36-50,,
6:45.0,,,36-50,,Houston full timeout
6:45.0,S. Ibaka enters the game for K. Perkins,,36-50,,
6:32.0,,,36-52,2,D. Motiejunas makes 2-pt shot from 9 ft (assist by C. Brewer)
6:16.0,A. Morrow misses 3-pt shot from 23 ft,,36-52,,
6:15.0,Offensive rebound by Team,,36-52,,
6:15.0,,,36-52,,Loose ball foul by D. Motiejunas (drawn by S. Ibaka)
6:05.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Jackson),3,39-52,,
5:54.0,Personal foul by R. Westbrook (drawn by J. Harden),,39-52,,
5:48.0,,,39-52,,J. Harden misses 3-pt shot from 23 ft
5:47.0,,,39-52,,Offensive rebound by C. Brewer
5:34.0,,,39-52,,T. Ariza misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by S. Ibaka,,39-52,,
5:24.0,A. Morrow misses 3-pt shot from 24 ft,,39-52,,
5:22.0,,,39-52,,Defensive rebound by T. Ariza
5:15.0,Personal foul by A. Morrow (drawn by C. Brewer),,39-52,,
5:03.0,,,39-52,,Turnover by T. Ariza (traveling)
4:56.0,Turnover by R. Westbrook (bad pass),,39-52,,
4:48.0,,,39-54,2,J. Harden makes 2-pt shot at rim
4:33.0,Turnover by R. Westbrook (lost ball; steal by P. Beverley),,39-54,,
4:18.0,Personal foul by R. Jackson (drawn by J. Harden),,39-54,,
4:14.0,Violation by S. Ibaka (kicked ball),,39-54,,
4:09.0,,,39-54,,T. Ariza misses 2-pt shot from 1 ft (block by K. Durant)
4:07.0,Defensive rebound by R. Westbrook,,39-54,,
4:04.0,R. Jackson misses 2-pt shot from 2 ft (block by C. Brewer),,39-54,,
4:03.0,Offensive rebound by K. Durant,,39-54,,
3:59.0,,,39-54,,Shooting block foul by D. Motiejunas (drawn by S. Ibaka)
3:59.0,S. Ibaka makes free throw 1 of 2,1,40-54,,
3:59.0,,,40-54,,D. Howard enters the game for D. Motiejunas
3:59.0,S. Ibaka makes free throw 2 of 2,1,41-54,,
3:35.0,,,41-54,,P. Beverley misses 2-pt shot from 10 ft (block by K. Durant)
3:34.0,Defensive rebound by R. Westbrook,,41-54,,
3:34.0,,,41-54,,Personal foul by J. Harden (drawn by K. Durant)
3:34.0,K. Durant makes free throw 1 of 2,1,42-54,,
3:34.0,K. Durant makes free throw 2 of 2,1,43-54,,
3:13.0,,,43-57,3,P. Beverley makes 3-pt shot from 23 ft (assist by D. Howard)
3:09.0,,,43-57,,Personal foul by C. Brewer (drawn by R. Westbrook)
3:09.0,R. Westbrook misses free throw 1 of 2,,43-57,,
3:09.0,Offensive rebound by Team,,43-57,,
3:09.0,R. Westbrook makes free throw 2 of 2,1,44-57,,
2:49.0,,,44-57,,C. Brewer misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by S. Ibaka,,44-57,,
2:40.0,R. Jackson makes 2-pt shot from 5 ft (assist by S. Ibaka),2,46-57,,
2:19.0,,,46-59,2,J. Harden makes 2-pt shot at rim
1:59.0,A. Morrow misses 3-pt shot from 24 ft,,46-59,,
1:58.0,,,46-59,,Defensive rebound by P. Beverley
1:51.0,,,46-59,,P. Beverley misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by R. Jackson,,46-59,,
1:45.0,R. Westbrook makes 2-pt shot at rim (assist by R. Jackson),2,48-59,,
1:32.0,Personal foul by S. Ibaka (drawn by D. Howard),,48-59,,
1:32.0,Oklahoma City full timeout,,48-59,,
1:32.0,D. Waiters enters the game for A. Morrow,,48-59,,
1:32.0,,,48-60,1,D. Howard makes free throw 1 of 2
1:32.0,,,48-61,1,D. Howard makes free throw 2 of 2
1:20.0,Turnover by R. Westbrook (bad pass; steal by T. Ariza),,48-61,,
1:16.0,,,48-63,2,C. Brewer makes 2-pt shot at rim (assist by T. Ariza)
1:01.0,,,48-63,,Personal foul by J. Harden (drawn by D. Waiters)
1:01.0,D. Waiters misses free throw 1 of 2,,48-63,,
1:01.0,Offensive rebound by Team,,48-63,,
1:01.0,,,48-63,,J. Terry enters the game for J. Harden
1:01.0,D. Waiters misses free throw 2 of 2,,48-63,,
1:00.0,Offensive rebound by Team,,48-63,,
1:00.0,R. Jackson makes 2-pt shot from 1 ft (assist by D. Waiters),2,50-63,,
1:00.0,Shooting foul by P. Beverley (drawn by R. Jackson),,50-63,,
1:00.0,,,50-63,,K. Papanikolaou enters the game for P. Beverley
1:00.0,R. Jackson makes free throw 1 of 1,1,51-63,,
0:48.0,,,51-63,,Turnover by C. Brewer (bad pass; steal by R. Westbrook)
0:43.0,K. Durant makes 2-pt shot at rim (assist by R. Jackson),2,53-63,,
0:29.0,,,53-63,,Shooting foul by S. Ibaka (drawn by D. Howard)
0:29.0,,,53-64,1,D. Howard makes free throw 1 of 2
0:29.0,,,53-64,,D. Howard misses free throw 2 of 2
0:29.0,Defensive rebound by S. Ibaka,,53-64,,
0:03.0,R. Jackson misses 3-pt shot from 24 ft,,53-64,,
0:02.0,,,53-64,,Defensive rebound by Team
0:00.0,,,53-64,,T. Ariza misses 3-pt shot from 26 ft
0:00.0,,,53-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,53-67,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
11:29.0,R. Westbrook makes 2-pt shot from 16 ft (assist by S. Ibaka),2,55-67,,
11:23.0,,,55-67,,Turnover by P. Beverley (bad pass; steal by R. Westbrook)
11:22.0,Turnover by R. Westbrook (bad pass),,55-67,,
11:22.0,Violation by K. Durant (kicked ball),,55-67,,
11:05.0,,,55-67,,D. Motiejunas misses 2-pt shot from 6 ft
11:04.0,Defensive rebound by A. Roberson,,55-67,,
10:53.0,S. Ibaka misses 2-pt shot from 14 ft,,55-67,,
10:52.0,,,55-67,,Defensive rebound by D. Howard
10:37.0,,,55-67,,T. Ariza misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by S. Ibaka,,55-67,,
10:27.0,R. Westbrook misses 2-pt shot from 17 ft,,55-67,,
10:26.0,Offensive rebound by S. Adams,,55-67,,
10:20.0,S. Ibaka misses 2-pt shot from 13 ft,,55-67,,
10:19.0,Offensive rebound by S. Adams,,55-67,,
10:19.0,Shooting foul by D. Motiejunas (drawn by S. Adams),,55-67,,
10:19.0,S. Adams misses free throw 1 of 2,,55-67,,
10:19.0,Offensive rebound by Team,,55-67,,
10:19.0,S. Adams makes free throw 2 of 2,1,56-67,,
10:05.0,,,56-67,,T. Ariza misses 2-pt shot from 2 ft (block by S. Ibaka)
10:03.0,,,56-67,,Offensive rebound by D. Howard
9:54.0,,,56-67,,T. Ariza misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by A. Roberson,,56-67,,
9:38.0,S. Ibaka misses 2-pt shot from 16 ft,,56-67,,
9:37.0,Offensive rebound by A. Roberson,,56-67,,
9:27.0,A. Roberson misses 2-pt shot from 1 ft,,56-67,,
9:26.0,,,56-67,,Defensive rebound by J. Harden
9:23.0,Personal foul by S. Adams (drawn by J. Harden),,56-67,,
9:09.0,,,56-69,2,D. Howard makes 2-pt shot from 5 ft (assist by T. Ariza)
8:57.0,A. Roberson misses 2-pt shot from 1 ft (block by D. Howard),,56-69,,
8:56.0,,,56-69,,Defensive rebound by J. Harden
8:47.0,Personal foul by A. Roberson (drawn by J. Harden),,56-69,,
8:47.0,D. Waiters enters the game for A. Roberson,,56-69,,
8:32.0,,,56-72,3,J. Harden makes 3-pt shot from 26 ft
8:05.0,S. Ibaka misses 2-pt shot from 18 ft,,56-72,,
8:04.0,,,56-72,,Defensive rebound by P. Beverley
7:52.0,,,56-72,,Turnover by P. Beverley (bad pass; steal by R. Westbrook)
7:44.0,Shooting foul by D. Howard (drawn by D. Waiters),,56-72,,
7:44.0,D. Waiters makes free throw 1 of 2,1,57-72,,
7:44.0,D. Waiters makes free throw 2 of 2,1,58-72,,
7:21.0,,,58-75,3,D. Motiejunas makes 3-pt shot from 23 ft (assist by J. Harden)
7:05.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,61-75,,
6:52.0,,,61-75,,Turnover by D. Howard (bad pass; steal by R. Westbrook)
6:49.0,R. Westbrook makes 2-pt shot at rim,2,63-75,,
6:20.0,,,63-75,,Shooting foul by D. Waiters (drawn by J. Harden)
6:20.0,,,63-75,,J. Harden misses free throw 1 of 2
6:20.0,,,63-75,,Offensive rebound by Team
6:20.0,,,63-75,,J. Harden misses free throw 2 of 2
6:20.0,Defensive rebound by R. Westbrook,,63-75,,
6:05.0,Shooting foul by D. Howard (drawn by S. Adams),,63-75,,
6:05.0,S. Adams makes free throw 1 of 2,1,64-75,,
6:05.0,S. Adams makes free throw 2 of 2,1,65-75,,
5:49.0,,,65-75,,D. Howard misses 2-pt shot from 6 ft
5:48.0,Defensive rebound by K. Durant,,65-75,,
5:43.0,Turnover by K. Durant (lost ball),,65-75,,
5:27.0,,,65-77,2,T. Ariza makes 2-pt shot from 1 ft (assist by D. Motiejunas)
5:04.0,S. Ibaka misses 2-pt shot from 18 ft,,65-77,,
5:02.0,,,65-77,,Defensive rebound by D. Motiejunas
4:48.0,,,65-79,2,P. Beverley makes 2-pt shot from 5 ft
4:48.0,Oklahoma City full timeout,,65-79,,
4:48.0,,,65-79,,J. Smith enters the game for D. Motiejunas
4:36.0,Turnover by R. Westbrook (bad pass; steal by T. Ariza),,65-79,,
4:14.0,,,65-82,3,J. Harden makes 3-pt shot from 25 ft
4:07.0,D. Waiters misses 2-pt shot from 18 ft,,65-82,,
4:06.0,Offensive rebound by K. Durant,,65-82,,
3:52.0,D. Waiters misses 2-pt shot from 20 ft,,65-82,,
3:51.0,Offensive rebound by R. Westbrook,,65-82,,
3:46.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook),3,68-82,,
3:18.0,,,68-82,,Turnover by Team (shot clock)
3:18.0,K. Perkins enters the game for S. Adams,,68-82,,
3:03.0,K. Perkins misses 2-pt shot from 7 ft,,68-82,,
3:02.0,Offensive rebound by R. Westbrook,,68-82,,
2:53.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook),3,71-82,,
2:32.0,,,71-84,2,J. Smith makes 2-pt shot from 6 ft (assist by J. Harden)
2:15.0,Turnover by R. Westbrook (bad pass; steal by D. Howard),,71-84,,
2:06.0,,,71-84,,J. Harden misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by S. Ibaka,,71-84,,
1:58.0,D. Waiters makes 2-pt shot from 1 ft (assist by S. Ibaka),2,73-84,,
1:39.0,,,73-86,2,J. Smith makes 2-pt shot from 17 ft (assist by J. Harden)
1:21.0,K. Durant makes 2-pt shot from 19 ft (assist by D. Waiters),2,75-86,,
1:05.0,,,75-88,2,J. Smith makes 2-pt shot at rim (assist by J. Harden)
0:48.0,K. Perkins misses 2-pt shot from 1 ft,,75-88,,
0:46.0,Offensive rebound by K. Durant,,75-88,,
0:45.0,Turnover by K. Durant (lost ball; steal by D. Howard),,75-88,,
0:40.0,,,75-88,,P. Beverley misses 2-pt shot from 1 ft (block by D. Waiters)
0:40.0,,,75-88,,Offensive rebound by Team
0:40.0,,,75-88,,Houston full timeout
0:40.0,,,75-88,,D. Motiejunas enters the game for D. Howard
0:34.0,,,75-88,,J. Harden misses 3-pt shot from 25 ft
0:33.0,,,75-88,,Offensive rebound by Team
0:33.0,Loose ball foul by D. Waiters (drawn by P. Beverley),,75-88,,
0:33.0,R. Jackson enters the game for D. Waiters,,75-88,,
0:09.0,,,75-88,,T. Ariza misses 2-pt shot from 11 ft
0:08.0,Defensive rebound by R. Jackson,,75-88,,
0:00.0,R. Jackson misses 2-pt shot from 5 ft,,75-88,,
0:00.0,Offensive rebound by Team,,75-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,75-88,,Violation by J. Terry (kicked ball)
11:39.0,S. Ibaka misses 3-pt shot from 24 ft,,75-88,,
11:38.0,,,75-88,,Defensive rebound by J. Smith
11:37.0,Personal foul by R. Westbrook (drawn by J. Smith),,75-88,,
11:28.0,,,75-88,,Turnover by J. Terry (traveling)
11:28.0,,,75-88,,Technical foul by J. Terry
11:28.0,A. Morrow makes technical free throw,1,76-88,,
11:20.0,R. Westbrook makes 2-pt shot from 18 ft (assist by K. Perkins),2,78-88,,
11:05.0,,,78-88,,Turnover by J. Smith (bad pass)
11:05.0,D. Waiters enters the game for R. Westbrook,,78-88,,
10:55.0,D. Waiters misses 2-pt shot from 20 ft,,78-88,,
10:53.0,,,78-88,,Defensive rebound by J. Smith
10:48.0,,,78-88,,J. Smith misses 2-pt shot from 2 ft (block by R. Jackson)
10:48.0,,,78-88,,Offensive rebound by Team
10:40.0,,,78-91,3,J. Harden makes 3-pt shot from 23 ft
10:25.0,Turnover by K. Perkins (bad pass),,78-91,,
10:18.0,Personal foul by K. Perkins (drawn by J. Harden),,78-91,,
10:01.0,,,78-93,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
10:01.0,Oklahoma City full timeout,,78-93,,
10:01.0,K. Durant enters the game for S. Ibaka,,78-93,,
9:44.0,R. Jackson misses 3-pt shot from 24 ft,,78-93,,
9:42.0,,,78-93,,Defensive rebound by C. Brewer
9:37.0,,,78-93,,J. Harden misses 2-pt shot from 2 ft (block by D. Waiters)
9:35.0,,,78-93,,Offensive rebound by J. Terry
9:29.0,,,78-95,2,J. Smith makes 2-pt shot at rim (assist by C. Brewer)
9:16.0,D. Waiters misses 2-pt shot from 1 ft,,78-95,,
9:15.0,,,78-95,,Defensive rebound by J. Smith
9:07.0,,,78-97,2,J. Smith makes 2-pt shot from 8 ft
9:06.0,Oklahoma City full timeout,,78-97,,
9:06.0,R. Westbrook enters the game for A. Morrow,,78-97,,
9:06.0,,,78-97,,T. Ariza enters the game for J. Harden
8:56.0,Turnover by R. Jackson (bad pass),,78-97,,
8:37.0,,,78-97,,D. Motiejunas misses 2-pt shot from 8 ft
8:36.0,Defensive rebound by K. Durant,,78-97,,
8:27.0,K. Durant misses 2-pt shot from 13 ft,,78-97,,
8:26.0,,,78-97,,Defensive rebound by J. Terry
8:17.0,,,78-100,3,D. Motiejunas makes 3-pt shot from 24 ft (assist by J. Terry)
8:02.0,D. Waiters misses 3-pt shot from 23 ft,,78-100,,
8:01.0,Offensive rebound by R. Westbrook,,78-100,,
7:44.0,R. Jackson makes 2-pt shot from 6 ft,2,80-100,,
7:15.0,,,80-100,,D. Motiejunas misses 2-pt shot from 8 ft
7:15.0,Defensive rebound by R. Westbrook,,80-100,,
7:07.0,Turnover by R. Westbrook (bad pass; steal by D. Motiejunas),,80-100,,
6:58.0,,,80-100,,J. Terry misses 3-pt shot from 22 ft
6:57.0,Defensive rebound by K. Durant,,80-100,,
6:40.0,K. Durant makes 2-pt shot at rim,2,82-100,,
6:40.0,Shooting foul by C. Brewer (drawn by K. Durant),,82-100,,
6:40.0,S. Ibaka enters the game for K. Perkins,,82-100,,
6:40.0,,,82-100,,D. Howard enters the game for D. Motiejunas
6:40.0,K. Durant makes free throw 1 of 1,1,83-100,,
6:30.0,,,83-100,,Turnover by J. Smith (bad pass; steal by R. Jackson)
6:24.0,R. Jackson makes 2-pt shot at rim,2,85-100,,
6:11.0,,,85-100,,J. Smith misses 2-pt shot from 3 ft (block by K. Durant)
6:09.0,,,85-100,,Offensive rebound by J. Smith
6:09.0,,,85-100,,J. Smith misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by S. Ibaka,,85-100,,
6:02.0,R. Westbrook misses 3-pt shot from 24 ft,,85-100,,
6:01.0,,,85-100,,Defensive rebound by D. Howard
6:01.0,,,85-100,,Houston full timeout
6:01.0,,,85-100,,J. Harden enters the game for J. Smith
5:52.0,,,85-100,,C. Brewer misses 2-pt shot from 1 ft
5:51.0,Defensive rebound by R. Jackson,,85-100,,
5:39.0,D. Waiters misses 2-pt shot from 1 ft,,85-100,,
5:38.0,,,85-100,,Defensive rebound by D. Howard
5:32.0,,,85-102,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
5:14.0,K. Durant misses 3-pt shot from 24 ft,,85-102,,
5:13.0,,,85-102,,Defensive rebound by D. Howard
4:52.0,,,85-102,,J. Harden misses 2-pt shot from 15 ft
4:51.0,Defensive rebound by R. Jackson,,85-102,,
4:41.0,,,85-102,,Personal foul by T. Ariza (drawn by R. Jackson)
