time,Portland,pts.away,score,pts.home,New York
3:46.0,Offensive rebound by L. Aldridge,,70-67,,
3:45.0,Shooting foul by J. Smith (drawn by L. Aldridge),,70-67,,
3:45.0,L. Aldridge makes free throw 1 of 2,1,71-67,,
3:45.0,L. Aldridge makes free throw 2 of 2,1,72-67,,
3:28.0,,,72-69,2,C. Anthony makes 2-pt shot from 14 ft
3:11.0,N. Batum makes 3-pt shot from 25 ft (assist by C. Kaman),3,75-69,,
2:58.0,,,75-71,2,J. Smith makes 2-pt shot from 16 ft
2:57.0,Portland full timeout,,75-71,,
2:57.0,A. Crabbe enters the game for D. Lillard,,75-71,,
2:57.0,,,75-71,,P. Prigioni enters the game for J. Calderon
2:57.0,,,75-71,,J. Smith enters the game for I. Shumpert
2:36.0,Shooting foul by S. Dalembert (drawn by L. Aldridge),,75-71,,
2:36.0,L. Aldridge makes free throw 1 of 2,1,76-71,,
2:36.0,,,76-71,,A. Stoudemire enters the game for S. Dalembert
2:36.0,L. Aldridge misses free throw 2 of 2,,76-71,,
2:35.0,,,76-71,,Defensive rebound by C. Anthony
2:15.0,Personal foul by C. Kaman (drawn by A. Stoudemire),,76-71,,
2:02.0,,,76-71,,C. Anthony misses 2-pt shot from 15 ft
2:00.0,Defensive rebound by S. Blake,,76-71,,
1:57.0,Turnover by L. Aldridge (lost ball; steal by J. Smith),,76-71,,
1:35.0,,,76-71,,P. Prigioni misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by Team,,76-71,,
1:34.0,,,76-71,,T. Hardaway enters the game for C. Anthony
1:22.0,N. Batum makes 2-pt shot at rim (assist by L. Aldridge),2,78-71,,
1:22.0,Shooting foul by T. Hardaway (drawn by N. Batum),,78-71,,
1:22.0,N. Batum makes free throw 1 of 1,1,79-71,,
1:04.0,,,79-73,2,J. Smith makes 2-pt shot from 16 ft (assist by T. Hardaway)
0:43.0,C. Kaman makes 2-pt shot from 5 ft (assist by N. Batum),2,81-73,,
0:25.0,,,81-73,,T. Hardaway misses 3-pt shot from 24 ft (block by A. Crabbe)
0:24.0,Defensive rebound by S. Blake,,81-73,,
0:21.0,A. Crabbe makes 2-pt shot from 2 ft (assist by S. Blake),2,83-73,,
0:01.0,,,83-75,2,A. Stoudemire makes 2-pt shot from 1 ft
0:00.0,S. Blake misses 3-pt shot from 78 ft,,83-75,,
0:00.0,Offensive rebound by Team,,83-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,D. Lillard misses 2-pt shot from 19 ft,,83-75,,
11:35.0,,,83-75,,Defensive rebound by J. Smith
11:19.0,,,83-75,,J. Smith misses 2-pt shot from 17 ft
11:18.0,Defensive rebound by C. Kaman,,83-75,,
11:07.0,A. Crabbe misses 3-pt shot from 23 ft,,83-75,,
11:06.0,Offensive rebound by J. Freeland,,83-75,,
10:54.0,S. Blake misses 2-pt shot from 19 ft,,83-75,,
10:53.0,,,83-75,,Defensive rebound by A. Stoudemire
10:47.0,Personal foul by J. Freeland (drawn by J. Smith),,83-75,,
10:30.0,,,83-77,2,T. Hardaway makes 2-pt shot from 1 ft
10:07.0,A. Crabbe misses 3-pt shot from 24 ft,,83-77,,
10:06.0,Offensive rebound by C. Kaman,,83-77,,
10:06.0,C. Kaman misses 2-pt shot from 2 ft,,83-77,,
10:05.0,,,83-77,,Defensive rebound by A. Stoudemire
9:45.0,,,83-79,2,J. Smith makes 2-pt shot from 1 ft
9:34.0,,,83-79,,Personal foul by A. Stoudemire (drawn by C. Kaman)
9:34.0,W. Matthews enters the game for A. Crabbe,,83-79,,
9:34.0,R. Lopez enters the game for J. Freeland,,83-79,,
9:28.0,Turnover by S. Blake (bad pass),,83-79,,
9:19.0,Personal foul by R. Lopez (drawn by A. Stoudemire),,83-79,,
9:14.0,,,83-79,,J. Smith misses 2-pt shot from 12 ft
9:13.0,Defensive rebound by S. Blake,,83-79,,
8:57.0,Shooting foul by A. Stoudemire (drawn by W. Matthews),,83-79,,
8:57.0,Official timeout,,83-79,,
8:57.0,W. Matthews makes free throw 1 of 3,1,84-79,,
8:57.0,W. Matthews makes free throw 2 of 3,1,85-79,,
8:57.0,W. Matthews makes free throw 3 of 3,1,86-79,,
8:46.0,,,86-79,,J. Smith misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by S. Blake,,86-79,,
8:33.0,R. Lopez misses 2-pt shot from 5 ft,,86-79,,
8:32.0,,,86-79,,Defensive rebound by A. Stoudemire
8:28.0,Personal foul by C. Kaman (drawn by J. Smith),,86-79,,
8:16.0,,,86-79,,A. Stoudemire misses 2-pt shot from 2 ft
8:15.0,Defensive rebound by S. Blake,,86-79,,
8:04.0,W. Matthews makes 3-pt shot from 23 ft (assist by S. Blake),3,89-79,,
7:50.0,,,89-81,2,J. Smith makes 2-pt shot from 1 ft
7:35.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,92-81,,
7:25.0,,,92-83,2,J. Smith makes 2-pt shot from 1 ft (assist by T. Hardaway)
7:25.0,,,92-83,,Shooting foul by R. Lopez (drawn by J. Smith)
7:25.0,,,92-83,,C. Anthony enters the game for T. Hardaway
7:25.0,N. Batum enters the game for D. Lillard,,92-83,,
7:25.0,,,92-84,1,J. Smith makes free throw 1 of 1
7:13.0,C. Kaman misses 2-pt shot from 14 ft,,92-84,,
7:12.0,,,92-84,,Defensive rebound by A. Stoudemire
7:04.0,,,92-86,2,J. Smith makes 2-pt shot from 1 ft
7:03.0,Portland full timeout,,92-86,,
7:03.0,L. Aldridge enters the game for C. Kaman,,92-86,,
6:49.0,Offensive charge foul by R. Lopez,,92-86,,
6:49.0,Turnover by R. Lopez (offensive foul),,92-86,,
6:28.0,,,92-88,2,J. Smith makes 2-pt shot from 18 ft
6:14.0,S. Blake makes 3-pt shot from 25 ft (assist by W. Matthews),3,95-88,,
5:56.0,,,95-91,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Smith)
5:40.0,W. Matthews misses 3-pt shot from 23 ft,,95-91,,
5:39.0,,,95-91,,Defensive rebound by C. Anthony
5:17.0,,,95-93,2,C. Anthony makes 2-pt shot from 18 ft
5:00.0,D. Lillard enters the game for S. Blake,,95-93,,
4:53.0,D. Lillard misses 3-pt shot from 25 ft,,95-93,,
4:52.0,,,95-93,,Defensive rebound by C. Anthony
4:29.0,,,95-95,2,A. Stoudemire makes 2-pt shot from 16 ft
4:04.0,L. Aldridge misses 2-pt shot from 19 ft,,95-95,,
4:03.0,,,95-95,,Defensive rebound by A. Stoudemire
3:42.0,,,95-95,,C. Anthony misses 2-pt shot from 19 ft
3:41.0,,,95-95,,Offensive rebound by J. Smith
3:33.0,,,95-97,2,C. Anthony makes 2-pt shot from 1 ft (assist by J. Smith)
3:19.0,Shooting foul by P. Prigioni (drawn by D. Lillard),,95-97,,
3:19.0,D. Lillard misses free throw 1 of 2,,95-97,,
3:19.0,Offensive rebound by Team,,95-97,,
3:19.0,D. Lillard makes free throw 2 of 2,1,96-97,,
3:19.0,,,96-97,,New York full timeout
2:58.0,,,96-97,,Turnover by J. Smith (bad pass; steal by W. Matthews)
2:46.0,Shooting foul by J. Smith (drawn by L. Aldridge),,96-97,,
2:46.0,L. Aldridge makes free throw 1 of 2,1,97-97,,
2:46.0,L. Aldridge makes free throw 2 of 2,1,98-97,,
2:34.0,,,98-97,,C. Anthony misses 3-pt shot from 25 ft
