time,Charlotte,pts.away,score,pts.home,Oklahoma City
0:53.0,,,21-31,,R. Jackson misses 2-pt shot from 16 ft
0:52.0,Defensive rebound by B. Biyombo,,21-31,,
0:43.0,B. Roberts makes 3-pt shot from 24 ft,3,24-31,,
0:20.0,,,24-33,2,R. Jackson makes 2-pt shot from 16 ft
0:01.0,G. Neal misses 2-pt shot from 7 ft,,24-33,,
0:00.0,,,24-33,,Defensive rebound by J. Lamb
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Williams misses 3-pt shot from 25 ft,,24-33,,
11:41.0,Offensive rebound by P. Hairston,,24-33,,
11:41.0,P. Hairston misses 2-pt shot at rim,,24-33,,
11:38.0,,,24-33,,Defensive rebound by J. Lamb
11:28.0,,,24-33,,Shooting foul by P. Hairston (drawn by J. Lamb)
11:28.0,,,24-34,1,J. Lamb makes free throw 1 of 2
11:28.0,,,24-35,1,J. Lamb makes free throw 2 of 2
11:16.0,G. Neal misses 2-pt shot from 22 ft,,24-35,,
11:15.0,Offensive rebound by B. Biyombo,,24-35,,
11:12.0,Turnover by B. Biyombo (bad pass; steal by R. Jackson),,24-35,,
11:06.0,,,24-38,3,A. Morrow makes 3-pt shot from 23 ft (assist by R. Jackson)
10:46.0,G. Neal misses 2-pt shot from 14 ft,,24-38,,
10:45.0,,,24-38,,Defensive rebound by K. Perkins
10:29.0,,,24-38,,Shooting foul by B. Biyombo (drawn by K. Perkins)
10:29.0,,,24-38,,K. Perkins misses free throw 1 of 2
10:29.0,,,24-38,,Offensive rebound by Team
10:29.0,,,24-39,1,K. Perkins makes free throw 2 of 2
10:09.0,Turnover by B. Biyombo (lost ball; steal by A. Morrow),,24-39,,
10:05.0,,,24-41,2,J. Lamb makes 2-pt shot at rim
9:56.0,Charlotte full timeout,,24-41,,
9:49.0,B. Roberts makes 3-pt shot from 24 ft,3,27-41,,
9:21.0,,,27-41,,R. Jackson misses 2-pt shot from 16 ft
9:21.0,Defensive rebound by Team,,27-41,,
9:21.0,,,27-41,,Loose ball foul by K. Perkins (drawn by B. Biyombo)
9:09.0,P. Hairston misses 3-pt shot from 24 ft,,27-41,,
9:08.0,,,27-41,,Defensive rebound by R. Jackson
9:03.0,,,27-41,,Shooting foul by B. Roberts (drawn by R. Jackson)
9:03.0,,,27-42,1,R. Jackson makes free throw 1 of 2
9:03.0,,,27-43,1,R. Jackson makes free throw 2 of 2
8:44.0,M. Williams makes 3-pt shot from 24 ft (assist by G. Neal),3,30-43,,
8:27.0,,,30-45,2,K. Perkins makes 2-pt shot from 8 ft (assist by J. Lamb)
8:10.0,G. Neal misses 2-pt shot from 9 ft,,30-45,,
8:09.0,,,30-45,,Defensive rebound by A. Morrow
8:03.0,,,30-45,,R. Jackson misses 2-pt shot from 11 ft
8:01.0,,,30-45,,Offensive rebound by R. Jackson
8:01.0,,,30-45,,Shooting foul by B. Biyombo (drawn by R. Jackson)
8:01.0,,,30-46,1,R. Jackson makes free throw 1 of 2
8:01.0,A. Jefferson enters the game for M. Williams,,30-46,,
8:01.0,C. Zeller enters the game for B. Biyombo,,30-46,,
8:01.0,,,30-47,1,R. Jackson makes free throw 2 of 2
7:40.0,A. Jefferson misses 2-pt shot from 5 ft,,30-47,,
7:39.0,,,30-47,,Defensive rebound by K. Perkins
7:33.0,,,30-47,,Turnover by K. Perkins (bad pass; steal by C. Zeller)
7:19.0,B. Roberts misses 2-pt shot from 11 ft,,30-47,,
7:18.0,Offensive rebound by C. Zeller,,30-47,,
7:16.0,C. Zeller makes 2-pt shot from 1 ft,2,32-47,,
6:55.0,,,32-47,,Offensive foul by K. Perkins
6:55.0,,,32-47,,Turnover by K. Perkins (offensive foul)
6:55.0,,,32-47,,R. Westbrook enters the game for R. Jackson
6:55.0,K. Walker enters the game for P. Hairston,,32-47,,
6:55.0,M. Kidd-Gilchrist enters the game for B. Roberts,,32-47,,
6:32.0,C. Zeller misses 2-pt shot from 20 ft,,32-47,,
6:31.0,,,32-47,,Defensive rebound by J. Lamb
6:21.0,,,32-49,2,R. Westbrook makes 2-pt shot from 1 ft (assist by J. Lamb)
6:04.0,G. Henderson enters the game for G. Neal,,32-49,,
6:03.0,G. Henderson makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,34-49,,
5:37.0,,,34-49,,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook)
5:37.0,Official timeout,,34-49,,
5:37.0,,,34-49,,S. Ibaka enters the game for N. Collison
5:37.0,,,34-50,1,R. Westbrook makes free throw 1 of 2
5:37.0,,,34-51,1,R. Westbrook makes free throw 2 of 2
5:16.0,A. Jefferson misses 2-pt shot from 2 ft,,34-51,,
5:15.0,,,34-51,,Defensive rebound by S. Ibaka
5:14.0,,,34-51,,Offensive charge foul by R. Westbrook
5:14.0,,,34-51,,Turnover by R. Westbrook (offensive foul)
5:05.0,G. Henderson misses 2-pt shot from 18 ft,,34-51,,
5:04.0,,,34-51,,Defensive rebound by K. Perkins
4:50.0,,,34-51,,A. Morrow misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by A. Jefferson,,34-51,,
4:41.0,,,34-51,,Personal foul by S. Ibaka (drawn by K. Walker)
4:41.0,,,34-51,,S. Adams enters the game for K. Perkins
4:41.0,,,34-51,,A. Roberson enters the game for J. Lamb
4:31.0,K. Walker misses 2-pt shot from 11 ft,,34-51,,
4:30.0,,,34-51,,Defensive rebound by A. Roberson
4:24.0,,,34-53,2,R. Westbrook makes 2-pt shot from 18 ft
4:05.0,,,34-53,,Personal foul by A. Roberson (drawn by G. Henderson)
4:01.0,A. Jefferson makes 2-pt shot from 6 ft (assist by G. Henderson),2,36-53,,
3:54.0,,,36-53,,Turnover by R. Westbrook (bad pass)
3:45.0,K. Walker misses 2-pt shot from 3 ft (block by S. Ibaka),,36-53,,
3:44.0,,,36-53,,Defensive rebound by A. Roberson
3:28.0,,,36-53,,R. Westbrook misses 2-pt shot from 10 ft
3:27.0,Defensive rebound by A. Jefferson,,36-53,,
3:03.0,Turnover by Team (shot clock),,36-53,,
3:03.0,,,36-53,,Oklahoma City full timeout
3:03.0,M. Williams enters the game for C. Zeller,,36-53,,
3:03.0,,,36-53,,P. Jones enters the game for A. Morrow
2:48.0,,,36-53,,R. Westbrook misses 2-pt shot from 10 ft (block by M. Kidd-Gilchrist)
2:47.0,Defensive rebound by A. Jefferson,,36-53,,
2:43.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by S. Ibaka),,36-53,,
2:43.0,Offensive rebound by Team,,36-53,,
2:33.0,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker),2,38-53,,
2:11.0,,,38-53,,A. Roberson misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by G. Henderson,,38-53,,
2:02.0,K. Walker misses 2-pt shot from 1 ft,,38-53,,
2:01.0,,,38-53,,Defensive rebound by S. Adams
1:56.0,,,38-55,2,P. Jones makes 2-pt shot from 1 ft (assist by R. Westbrook)
1:36.0,A. Jefferson makes 2-pt shot from 16 ft (assist by M. Williams),2,40-55,,
1:23.0,Personal foul by G. Henderson (drawn by P. Jones),,40-55,,
1:23.0,,,40-56,1,P. Jones makes free throw 1 of 2
1:23.0,G. Neal enters the game for M. Kidd-Gilchrist,,40-56,,
1:23.0,B. Biyombo enters the game for A. Jefferson,,40-56,,
1:23.0,,,40-57,1,P. Jones makes free throw 2 of 2
1:02.0,Turnover by M. Williams (bad pass),,40-57,,
0:51.0,,,40-59,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
0:30.0,G. Neal misses 3-pt shot from 24 ft,,40-59,,
0:29.0,,,40-59,,Defensive rebound by S. Ibaka
0:09.0,,,40-59,,A. Roberson misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by Team,,40-59,,
0:06.0,,,40-59,,Oklahoma City full timeout
0:06.0,,,40-59,,N. Collison enters the game for S. Ibaka
0:06.0,B. Roberts enters the game for B. Biyombo,,40-59,,
0:06.0,,,40-59,,R. Jackson enters the game for S. Adams
0:00.0,K. Walker misses 3-pt shot from 25 ft,,40-59,,
0:00.0,,,40-59,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Offensive foul by C. Zeller,,40-59,,
11:51.0,Turnover by C. Zeller (offensive foul),,40-59,,
11:36.0,Jump ball: S. Adams vs. C. Zeller (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. C. Zeller (S. Ibaka gains possession)
11:29.0,,,40-59,,Turnover by R. Westbrook (bad pass; steal by K. Walker)
11:29.0,,,40-59,,Personal take foul by R. Westbrook (drawn by K. Walker)
11:19.0,C. Zeller misses 2-pt shot from 20 ft,,40-59,,
11:18.0,,,40-59,,Defensive rebound by P. Jones
11:12.0,,,40-59,,R. Westbrook misses 2-pt shot from 17 ft
11:10.0,Defensive rebound by A. Jefferson,,40-59,,
10:51.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by S. Ibaka),,40-59,,
10:50.0,Offensive rebound by G. Henderson,,40-59,,
10:48.0,G. Henderson misses 2-pt shot from 4 ft,,40-59,,
10:47.0,,,40-59,,Defensive rebound by S. Ibaka
10:42.0,,,40-59,,R. Westbrook misses 2-pt shot from 3 ft
10:41.0,Defensive rebound by A. Jefferson,,40-59,,
10:35.0,G. Henderson misses 3-pt shot from 24 ft,,40-59,,
10:34.0,,,40-59,,Defensive rebound by S. Ibaka
10:18.0,,,40-59,,Turnover by R. Westbrook (lost ball; steal by M. Kidd-Gilchrist)
10:16.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by R. Westbrook),,40-59,,
10:15.0,Offensive rebound by C. Zeller,,40-59,,
10:14.0,C. Zeller makes 2-pt shot from 1 ft,2,42-59,,
10:14.0,Shooting foul by P. Jones (drawn by C. Zeller),,42-59,,
10:14.0,C. Zeller makes free throw 1 of 1,1,43-59,,
9:59.0,,,43-59,,P. Jones misses 2-pt shot from 17 ft
9:58.0,Defensive rebound by K. Walker,,43-59,,
9:51.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,43-59,,
9:50.0,Offensive rebound by M. Kidd-Gilchrist,,43-59,,
9:40.0,K. Walker misses 2-pt shot from 1 ft (block by S. Adams),,43-59,,
9:39.0,Offensive rebound by Team,,43-59,,
9:39.0,,,43-59,,Technical foul by A. Roberson
9:39.0,Technical foul by G. Henderson,,43-59,,
9:37.0,,,43-59,,Personal foul by A. Roberson
9:37.0,,,43-59,,A. Morrow enters the game for A. Roberson
9:29.0,G. Henderson misses 2-pt shot from 18 ft,,43-59,,
9:28.0,Offensive rebound by C. Zeller,,43-59,,
9:26.0,Offensive charge foul by M. Kidd-Gilchrist,,43-59,,
9:26.0,Turnover by M. Kidd-Gilchrist (offensive foul),,43-59,,
9:07.0,,,43-59,,R. Westbrook misses 2-pt shot from 12 ft
9:06.0,Defensive rebound by C. Zeller,,43-59,,
8:54.0,A. Jefferson misses 2-pt shot from 16 ft,,43-59,,
8:53.0,,,43-59,,Defensive rebound by S. Ibaka
8:42.0,Personal foul by C. Zeller (drawn by R. Westbrook),,43-59,,
8:35.0,,,43-59,,R. Westbrook misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by C. Zeller,,43-59,,
8:26.0,,,43-59,,Personal foul by A. Morrow (drawn by M. Kidd-Gilchrist)
8:26.0,,,43-59,,A. Roberson enters the game for A. Morrow
8:22.0,C. Zeller makes 2-pt shot at rim (assist by G. Henderson),2,45-59,,
8:21.0,,,45-59,,Oklahoma City full timeout
8:09.0,,,45-61,2,S. Ibaka makes 2-pt shot from 15 ft (assist by A. Roberson)
7:53.0,K. Walker misses 3-pt shot from 24 ft,,45-61,,
7:52.0,,,45-61,,Defensive rebound by R. Westbrook
7:43.0,,,45-63,2,R. Westbrook makes 2-pt shot from 4 ft
7:29.0,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by G. Henderson),2,47-63,,
7:13.0,Personal foul by M. Kidd-Gilchrist (drawn by R. Westbrook),,47-63,,
7:13.0,P. Hairston enters the game for M. Kidd-Gilchrist,,47-63,,
7:03.0,,,47-65,2,R. Westbrook makes 2-pt shot from 12 ft
6:42.0,G. Henderson misses 2-pt shot from 11 ft,,47-65,,
6:41.0,,,47-65,,Defensive rebound by S. Ibaka
6:34.0,,,47-65,,P. Jones misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by C. Zeller,,47-65,,
6:26.0,Turnover by K. Walker (bad pass; steal by R. Westbrook),,47-65,,
6:21.0,,,47-65,,Turnover by R. Westbrook (bad pass; steal by K. Walker)
6:16.0,P. Hairston misses 3-pt shot from 25 ft,,47-65,,
6:14.0,Offensive rebound by C. Zeller,,47-65,,
6:14.0,C. Zeller misses 2-pt shot from 1 ft,,47-65,,
6:13.0,,,47-65,,Defensive rebound by S. Adams
5:57.0,Personal foul by C. Zeller (drawn by S. Ibaka),,47-65,,
5:57.0,M. Williams enters the game for C. Zeller,,47-65,,
5:50.0,,,47-67,2,R. Westbrook makes 2-pt shot from 13 ft
5:27.0,P. Hairston misses 2-pt shot from 18 ft,,47-67,,
5:26.0,,,47-67,,Defensive rebound by A. Roberson
5:08.0,,,47-67,,P. Jones misses 2-pt shot from 15 ft
5:07.0,,,47-67,,Offensive rebound by A. Roberson
5:02.0,,,47-70,3,S. Ibaka makes 3-pt shot from 24 ft (assist by A. Roberson)
5:02.0,Charlotte full timeout,,47-70,,
4:46.0,P. Hairston makes 2-pt shot from 9 ft,2,49-70,,
4:23.0,,,49-70,,S. Ibaka misses 3-pt shot from 24 ft
4:22.0,,,49-70,,Offensive rebound by S. Adams
4:18.0,,,49-70,,S. Ibaka misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by K. Walker,,49-70,,
4:10.0,K. Walker misses 2-pt shot from 15 ft,,49-70,,
4:10.0,,,49-70,,Defensive rebound by A. Roberson
4:01.0,,,49-72,2,R. Westbrook makes 2-pt shot from 8 ft
3:45.0,P. Hairston misses 3-pt shot from 22 ft,,49-72,,
3:44.0,,,49-72,,Defensive rebound by S. Ibaka
3:27.0,,,49-72,,R. Westbrook misses 2-pt shot from 17 ft
3:26.0,,,49-72,,Offensive rebound by S. Adams
3:23.0,,,49-74,2,S. Adams makes 2-pt shot from 4 ft
3:23.0,,,49-74,,Shooting foul by A. Jefferson (drawn by S. Adams)
3:23.0,B. Biyombo enters the game for A. Jefferson,,49-74,,
3:23.0,,,49-74,,A. Morrow enters the game for P. Jones
3:23.0,,,49-74,,N. Collison enters the game for S. Ibaka
3:23.0,G. Neal enters the game for G. Henderson,,49-74,,
3:23.0,,,49-74,,S. Adams misses free throw 1 of 1
3:23.0,Defensive rebound by B. Biyombo,,49-74,,
3:06.0,Shooting foul by S. Adams (drawn by P. Hairston),,49-74,,
3:06.0,P. Hairston misses free throw 1 of 2,,49-74,,
3:06.0,Offensive rebound by Team,,49-74,,
3:06.0,P. Hairston misses free throw 2 of 2,,49-74,,
3:06.0,,,49-74,,Defensive rebound by A. Morrow
2:50.0,,,49-74,,A. Morrow misses 3-pt shot from 22 ft
2:49.0,,,49-74,,Offensive rebound by N. Collison
2:42.0,,,49-74,,R. Westbrook misses 2-pt shot from 14 ft
2:42.0,,,49-74,,Offensive rebound by R. Westbrook
2:40.0,,,49-74,,Shooting foul by M. Williams (drawn by R. Westbrook)
2:40.0,,,49-75,1,R. Westbrook makes free throw 1 of 2
2:40.0,,,49-76,1,R. Westbrook makes free throw 2 of 2
2:32.0,,,49-76,,Personal foul by S. Adams (drawn by G. Neal)
2:32.0,G. Neal makes free throw 1 of 2,1,50-76,,
2:32.0,,,50-76,,R. Jackson enters the game for R. Westbrook
2:32.0,G. Neal makes free throw 2 of 2,1,51-76,,
2:21.0,,,51-76,,A. Roberson misses 2-pt shot from 1 ft
2:19.0,,,51-76,,Offensive rebound by N. Collison
2:19.0,,,51-78,2,N. Collison makes 2-pt shot from 2 ft
1:56.0,G. Neal misses 2-pt shot from 13 ft,,51-78,,
1:55.0,,,51-78,,Defensive rebound by S. Adams
1:32.0,,,51-78,,R. Jackson misses 2-pt shot from 17 ft
1:31.0,Defensive rebound by M. Williams,,51-78,,
1:22.0,M. Williams misses 3-pt shot from 24 ft,,51-78,,
1:21.0,,,51-78,,Defensive rebound by N. Collison
1:09.0,,,51-78,,Turnover by S. Adams (lost ball; steal by M. Williams)
0:49.0,P. Hairston makes 3-pt shot from 24 ft (assist by K. Walker),3,54-78,,
0:36.0,,,54-78,,N. Collison misses 3-pt shot from 22 ft
0:35.0,Defensive rebound by G. Neal,,54-78,,
0:28.0,G. Neal makes 2-pt shot from 17 ft,2,56-78,,
0:10.0,,,56-81,3,A. Morrow makes 3-pt shot from 23 ft (assist by N. Collison)
0:00.0,M. Williams misses 3-pt shot from 26 ft,,56-81,,
0:00.0,,,56-81,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by B. Biyombo (drawn by K. Perkins),,56-81,,
11:37.0,,,56-81,,K. Perkins misses 2-pt shot from 2 ft
11:36.0,,,56-81,,Offensive rebound by N. Collison
11:36.0,,,56-83,2,N. Collison makes 2-pt shot from 1 ft
11:21.0,,,56-83,,Personal foul by R. Jackson (drawn by B. Roberts)
11:15.0,B. Roberts makes 2-pt shot from 13 ft,2,58-83,,
10:57.0,,,58-83,,K. Perkins misses 2-pt shot from 4 ft (block by B. Biyombo)
10:55.0,Defensive rebound by B. Biyombo,,58-83,,
10:51.0,Shooting foul by J. Lamb (drawn by G. Neal),,58-83,,
10:51.0,G. Neal makes free throw 1 of 2,1,59-83,,
10:51.0,G. Neal makes free throw 2 of 2,1,60-83,,
10:36.0,,,60-85,2,N. Collison makes 2-pt shot from 1 ft (assist by K. Perkins)
10:16.0,B. Roberts misses 2-pt shot from 21 ft,,60-85,,
10:15.0,,,60-85,,Defensive rebound by K. Perkins
10:05.0,,,60-85,,R. Jackson misses 2-pt shot from 8 ft
10:05.0,Defensive rebound by P. Hairston,,60-85,,
9:59.0,B. Roberts makes 3-pt shot from 24 ft (assist by P. Hairston),3,63-85,,
9:58.0,,,63-85,,Oklahoma City full timeout
9:39.0,,,63-87,2,A. Morrow makes 2-pt shot from 7 ft (assist by R. Jackson)
9:23.0,G. Neal misses 2-pt shot from 6 ft,,63-87,,
9:22.0,,,63-87,,Defensive rebound by K. Perkins
9:12.0,,,63-87,,K. Perkins misses 2-pt shot from 5 ft
9:11.0,Defensive rebound by B. Roberts,,63-87,,
9:05.0,Offensive foul by M. Williams,,63-87,,
9:05.0,Turnover by M. Williams (offensive foul),,63-87,,
9:05.0,J. Taylor enters the game for G. Neal,,63-87,,
8:44.0,,,63-87,,R. Jackson misses 2-pt shot from 16 ft
8:43.0,Defensive rebound by M. Williams,,63-87,,
8:32.0,P. Hairston misses 3-pt shot from 25 ft,,63-87,,
8:31.0,Offensive rebound by J. Taylor,,63-87,,
8:27.0,B. Roberts misses 3-pt shot from 25 ft,,63-87,,
8:26.0,,,63-87,,Defensive rebound by A. Morrow
8:15.0,,,63-87,,N. Collison misses 3-pt shot from 22 ft
8:14.0,Defensive rebound by B. Biyombo,,63-87,,
8:07.0,J. Maxiell enters the game for M. Williams,,63-87,,
8:07.0,Jump ball: N. Collison vs. B. Roberts (K. Perkins gains possession),,,,Jump ball: N. Collison vs. B. Roberts (K. Perkins gains possession)
8:07.0,Turnover by B. Roberts (lost ball; steal by N. Collison),,63-87,,
7:57.0,,,63-90,3,A. Morrow makes 3-pt shot from 24 ft (assist by J. Lamb)
7:56.0,Charlotte full timeout,,63-90,,
