time,Minnesota,pts.away,score,pts.home,Charlotte
6:12.0,,,6-12,,Defensive rebound by C. Zeller
5:51.0,,,6-12,,M. Kidd-Gilchrist misses 2-pt shot from 8 ft
5:50.0,Defensive rebound by G. Dieng,,6-12,,
5:42.0,T. Young misses 2-pt shot from 1 ft,,6-12,,
5:41.0,Offensive rebound by T. Young,,6-12,,
5:41.0,,,6-12,,Personal foul by C. Zeller (drawn by T. Young)
5:25.0,Shooting foul by B. Biyombo (drawn by G. Dieng),,6-12,,
5:25.0,G. Dieng makes free throw 1 of 2,1,7-12,,
5:25.0,,,7-12,,M. Williams enters the game for C. Zeller
5:25.0,,,7-12,,L. Stephenson enters the game for G. Henderson
5:25.0,G. Dieng makes free throw 2 of 2,1,8-12,,
5:03.0,,,8-14,2,B. Biyombo makes 2-pt shot at rim (assist by L. Stephenson)
4:46.0,Shooting foul by M. Williams (drawn by M. Williams),,8-14,,
4:46.0,M. Williams makes free throw 1 of 2,1,9-14,,
4:46.0,M. Williams makes free throw 2 of 2,1,10-14,,
4:20.0,,,10-14,,B. Roberts misses 2-pt shot at rim
4:18.0,Defensive rebound by R. Hummel,,10-14,,
4:12.0,T. Young misses 2-pt shot from 2 ft (block by L. Stephenson),,10-14,,
4:10.0,,,10-14,,Defensive rebound by M. Williams
4:01.0,,,10-16,2,M. Williams makes 2-pt shot from 20 ft (assist by L. Stephenson)
3:50.0,,,10-16,,Personal foul by M. Kidd-Gilchrist (drawn by A. Wiggins)
3:50.0,,,10-16,,A. Jefferson enters the game for B. Biyombo
3:44.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Wiggins),,10-16,,
3:44.0,A. Wiggins misses free throw 1 of 2,,10-16,,
3:44.0,Offensive rebound by Team,,10-16,,
3:44.0,C. Budinger enters the game for R. Hummel,,10-16,,
3:44.0,,,10-16,,P. Hairston enters the game for M. Kidd-Gilchrist
3:44.0,A. Wiggins makes free throw 2 of 2,1,11-16,,
3:20.0,,,11-16,,L. Stephenson misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by G. Dieng,,11-16,,
3:14.0,Turnover by G. Dieng (traveling),,11-16,,
3:01.0,,,11-16,,B. Roberts misses 2-pt shot from 19 ft
3:00.0,Defensive rebound by G. Dieng,,11-16,,
2:50.0,T. Young makes 2-pt shot from 1 ft (assist by M. Williams),2,13-16,,
2:33.0,,,13-16,,A. Jefferson misses 2-pt shot from 2 ft
2:32.0,Defensive rebound by G. Dieng,,13-16,,
2:19.0,M. Williams misses 2-pt shot from 14 ft,,13-16,,
2:18.0,Offensive rebound by G. Dieng,,13-16,,
2:18.0,G. Dieng misses 2-pt shot at rim,,13-16,,
2:18.0,,,13-16,,Defensive rebound by A. Jefferson
2:18.0,Personal foul by A. Wiggins (drawn by L. Stephenson),,13-16,,
2:18.0,,,13-16,,Charlotte full timeout
2:18.0,A. Bennett enters the game for G. Dieng,,13-16,,
2:18.0,,,13-16,,G. Neal enters the game for B. Roberts
2:01.0,,,13-16,,L. Stephenson misses 2-pt shot from 7 ft
1:59.0,,,13-16,,Offensive rebound by A. Jefferson
1:59.0,,,13-16,,A. Jefferson misses 2-pt shot from 8 ft
1:56.0,Defensive rebound by A. Bennett,,13-16,,
1:40.0,A. Wiggins misses 2-pt shot from 6 ft,,13-16,,
1:39.0,,,13-16,,Defensive rebound by M. Williams
1:30.0,,,13-16,,Turnover by G. Neal (bad pass)
1:20.0,Shooting foul by L. Stephenson (drawn by A. Wiggins),,13-16,,
1:20.0,A. Wiggins makes free throw 1 of 2,1,14-16,,
1:20.0,Z. LaVine enters the game for M. Williams,,14-16,,
1:20.0,A. Wiggins makes free throw 2 of 2,1,15-16,,
1:06.0,,,15-16,,P. Hairston misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by C. Budinger,,15-16,,
0:56.0,Shooting foul by P. Hairston (drawn by A. Wiggins),,15-16,,
0:56.0,A. Wiggins makes free throw 1 of 2,1,16-16,,
0:56.0,A. Wiggins makes free throw 2 of 2,1,17-16,,
0:43.0,,,17-18,2,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson)
0:28.0,Z. LaVine makes 2-pt shot from 19 ft,2,19-18,,
0:09.0,,,19-18,,Shooting foul by A. Bennett (drawn by L. Stephenson)
0:09.0,,,19-19,1,L. Stephenson makes free throw 1 of 2
0:09.0,,,19-20,1,L. Stephenson makes free throw 2 of 2
0:05.0,,,19-20,,Personal foul by L. Stephenson (drawn by Z. LaVine)
0:05.0,Z. LaVine makes free throw 1 of 2,1,20-20,,
0:05.0,Z. LaVine misses free throw 2 of 2,,20-20,,
0:05.0,,,20-20,,Defensive rebound by M. Williams
0:01.0,,,20-23,3,P. Hairston makes 3-pt shot from 25 ft (assist by G. Neal)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by T. Young (lost ball; steal by G. Neal),,20-23,,
11:32.0,,,20-25,2,G. Neal makes 2-pt shot from 18 ft
11:08.0,T. Young misses 2-pt shot from 2 ft,,20-25,,
11:06.0,,,20-25,,Defensive rebound by L. Stephenson
11:02.0,,,20-25,,Turnover by L. Stephenson (bad pass; steal by T. Young)
11:00.0,,,20-25,,Personal foul by P. Hairston (drawn by T. Young)
10:54.0,C. Budinger misses 2-pt shot from 20 ft,,20-25,,
10:53.0,,,20-25,,Defensive rebound by M. Williams
10:47.0,,,20-28,3,G. Neal makes 3-pt shot from 24 ft
10:46.0,Minnesota full timeout,,20-28,,
10:46.0,M. Williams enters the game for T. Young,,20-28,,
10:46.0,G. Dieng enters the game for Z. LaVine,,20-28,,
10:30.0,R. Hummel misses 2-pt shot from 14 ft,,20-28,,
10:28.0,,,20-28,,Defensive rebound by M. Williams
10:17.0,,,20-28,,G. Neal misses 2-pt shot at rim
10:16.0,Defensive rebound by A. Bennett,,20-28,,
10:09.0,M. Williams misses 2-pt shot from 1 ft,,20-28,,
10:08.0,,,20-28,,Defensive rebound by M. Williams
10:02.0,,,20-28,,L. Stephenson misses 2-pt shot from 1 ft (block by G. Dieng)
9:57.0,,,20-28,,Offensive rebound by A. Jefferson
9:57.0,,,20-28,,A. Jefferson misses 2-pt shot from 1 ft (block by G. Dieng)
9:54.0,,,20-28,,Offensive rebound by M. Williams
9:39.0,,,20-28,,L. Stephenson misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by M. Williams,,20-28,,
9:24.0,M. Williams misses 3-pt shot from 25 ft,,20-28,,
9:23.0,,,20-28,,Defensive rebound by L. Stephenson
9:08.0,,,20-30,2,P. Hairston makes 2-pt shot at rim (assist by M. Williams)
8:54.0,M. Williams misses 3-pt shot from 25 ft,,20-30,,
8:53.0,,,20-30,,Defensive rebound by L. Stephenson
8:42.0,,,20-33,3,P. Hairston makes 3-pt shot from 29 ft (assist by L. Stephenson)
8:41.0,Minnesota full timeout,,20-33,,
8:29.0,Turnover by A. Bennett (bad pass; steal by M. Williams),,20-33,,
8:17.0,,,20-35,2,A. Jefferson makes 2-pt shot from 7 ft
8:03.0,M. Williams makes 2-pt shot from 16 ft,2,22-35,,
7:40.0,,,22-38,3,G. Neal makes 3-pt shot from 25 ft
7:23.0,,,22-38,,M. Kidd-Gilchrist enters the game for P. Hairston
7:23.0,A. Wiggins enters the game for C. Budinger,,22-38,,
7:22.0,,,22-38,,C. Zeller enters the game for M. Williams
7:13.0,A. Wiggins misses 2-pt shot from 20 ft,,22-38,,
7:13.0,,,22-38,,Defensive rebound by Team
6:55.0,,,22-38,,A. Jefferson misses 2-pt shot from 9 ft
6:55.0,,,22-38,,Offensive rebound by Team
6:55.0,Loose ball foul by A. Bennett (drawn by C. Zeller),,22-38,,
6:55.0,,,22-38,,G. Henderson enters the game for L. Stephenson
6:55.0,,,22-38,,B. Biyombo enters the game for A. Jefferson
6:55.0,T. Young enters the game for A. Bennett,,22-38,,
6:49.0,,,22-40,2,G. Neal makes 2-pt shot from 15 ft
6:28.0,M. Williams misses 2-pt shot from 20 ft,,22-40,,
6:26.0,,,22-40,,Defensive rebound by C. Zeller
6:18.0,,,22-40,,G. Neal misses 2-pt shot from 20 ft
6:16.0,Defensive rebound by G. Dieng,,22-40,,
6:08.0,A. Wiggins misses 2-pt shot from 4 ft,,22-40,,
6:07.0,,,22-40,,Defensive rebound by G. Neal
6:00.0,,,22-40,,C. Zeller misses 2-pt shot from 1 ft
5:59.0,Defensive rebound by A. Wiggins,,22-40,,
5:55.0,T. Young makes 2-pt shot at rim (assist by A. Wiggins),2,24-40,,
5:35.0,,,24-40,,Shooting foul by T. Young (drawn by B. Biyombo)
5:35.0,Official timeout,,24-40,,
5:35.0,,,24-40,,B. Roberts enters the game for G. Neal
5:35.0,,,24-40,,B. Biyombo misses free throw 1 of 2
5:35.0,,,24-40,,Offensive rebound by Team
5:35.0,,,24-40,,B. Biyombo misses free throw 2 of 2
5:34.0,Defensive rebound by T. Young,,24-40,,
5:12.0,G. Dieng misses 2-pt shot from 6 ft,,24-40,,
5:11.0,,,24-40,,Defensive rebound by M. Kidd-Gilchrist
5:03.0,,,24-40,,G. Henderson misses 2-pt shot from 14 ft
5:02.0,Defensive rebound by R. Hummel,,24-40,,
4:53.0,,,24-40,,Personal foul by G. Henderson (drawn by A. Wiggins)
4:45.0,Turnover by A. Wiggins (bad pass; steal by B. Roberts),,24-40,,
4:35.0,,,24-40,,Shooting foul by R. Hummel (drawn by G. Henderson)
4:35.0,,,24-41,1,G. Henderson makes free throw 1 of 2
4:35.0,,,24-42,1,G. Henderson makes free throw 2 of 2
4:27.0,,,24-42,,Personal foul by B. Biyombo (drawn by T. Young)
4:16.0,A. Wiggins misses 2-pt shot from 2 ft,,24-42,,
4:16.0,,,24-42,,Defensive rebound by Team
4:16.0,Loose ball foul by A. Wiggins (drawn by B. Biyombo),,24-42,,
3:55.0,,,24-42,,B. Roberts misses 3-pt shot from 23 ft
3:55.0,,,24-42,,Offensive rebound by Team
3:55.0,M. Raduljica enters the game for G. Dieng,,24-42,,
3:52.0,Personal foul by M. Raduljica (drawn by B. Biyombo),,24-42,,
3:52.0,,,24-42,,B. Biyombo misses free throw 1 of 2
3:52.0,,,24-42,,Offensive rebound by Team
3:52.0,G. Dieng enters the game for M. Raduljica,,24-42,,
3:52.0,,,24-42,,M. Williams enters the game for C. Zeller
3:52.0,,,24-43,1,B. Biyombo makes free throw 2 of 2
3:32.0,T. Young makes 2-pt shot from 7 ft,2,26-43,,
3:19.0,,,26-43,,M. Williams misses 3-pt shot from 26 ft
3:17.0,,,26-43,,Offensive rebound by B. Biyombo
3:14.0,,,26-45,2,B. Biyombo makes 2-pt shot at rim
3:02.0,Turnover by G. Dieng (offensive foul),,26-45,,
3:02.0,Offensive foul by G. Dieng,,26-45,,
2:49.0,,,26-45,,G. Henderson misses 2-pt shot from 11 ft
2:46.0,Defensive rebound by R. Hummel,,26-45,,
2:36.0,M. Williams misses 3-pt shot from 25 ft,,26-45,,
2:34.0,,,26-45,,Defensive rebound by B. Biyombo
2:26.0,,,26-45,,B. Roberts misses 3-pt shot from 26 ft
2:24.0,,,26-45,,Offensive rebound by M. Kidd-Gilchrist
2:20.0,,,26-45,,G. Henderson misses 3-pt shot from 25 ft
2:19.0,,,26-45,,Offensive rebound by Team
2:19.0,,,26-45,,Charlotte full timeout
2:19.0,,,26-45,,A. Jefferson enters the game for M. Kidd-Gilchrist
2:19.0,,,26-45,,P. Hairston enters the game for B. Biyombo
2:10.0,,,26-45,,P. Hairston misses 3-pt shot from 27 ft
2:09.0,Defensive rebound by M. Williams,,26-45,,
1:50.0,G. Dieng misses 2-pt shot from 15 ft,,26-45,,
1:49.0,,,26-45,,Defensive rebound by M. Williams
1:33.0,,,26-47,2,M. Williams makes 2-pt shot at rim (assist by A. Jefferson)
1:17.0,,,26-47,,Violation by G. Henderson (def goaltending)
1:17.0,A. Wiggins makes 2-pt shot from 2 ft,2,28-47,,
1:01.0,,,28-47,,A. Jefferson misses 2-pt shot from 8 ft
1:00.0,Defensive rebound by R. Hummel,,28-47,,
0:51.0,A. Wiggins misses 3-pt shot from 25 ft,,28-47,,
0:49.0,,,28-47,,Defensive rebound by Team
0:42.0,,,28-50,3,G. Henderson makes 3-pt shot from 23 ft (assist by B. Roberts)
0:31.0,M. Williams misses 2-pt shot from 13 ft,,28-50,,
0:31.0,Offensive rebound by Team,,28-50,,
0:07.0,G. Dieng makes 2-pt shot from 2 ft (assist by M. Williams),2,30-50,,
0:01.0,,,30-50,,B. Roberts misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by Team,,30-50,,
0:01.0,,,30-50,,Loose ball foul by A. Jefferson (drawn by G. Dieng)
0:00.0,G. Dieng makes 3-pt shot from 33 ft (assist by T. Young),3,33-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,T. Young misses 2-pt shot from 11 ft,,33-50,,
11:42.0,Offensive rebound by G. Dieng,,33-50,,
11:35.0,A. Wiggins misses 3-pt shot from 25 ft,,33-50,,
11:34.0,Jump ball: B. Biyombo vs. R. Hummel (M. Kidd-Gilchrist gains possession),,,,Jump ball: B. Biyombo vs. R. Hummel (M. Kidd-Gilchrist gains possession)
11:34.0,,,33-50,,Defensive rebound by Team
11:14.0,,,33-50,,Shooting foul by M. Williams (drawn by B. Roberts)
11:14.0,,,33-51,1,B. Roberts makes free throw 1 of 2
11:14.0,,,33-52,1,B. Roberts makes free throw 2 of 2
10:52.0,G. Dieng misses 2-pt shot from 6 ft,,33-52,,
10:51.0,,,33-52,,Defensive rebound by C. Zeller
10:44.0,,,33-52,,G. Henderson misses 2-pt shot from 15 ft
10:42.0,Defensive rebound by A. Wiggins,,33-52,,
10:38.0,T. Young misses 2-pt shot from 1 ft,,33-52,,
10:35.0,,,33-52,,Defensive rebound by B. Biyombo
10:22.0,Violation by G. Dieng (kicked ball),,33-52,,
10:14.0,,,33-52,,C. Zeller misses 2-pt shot from 20 ft
10:13.0,Defensive rebound by G. Dieng,,33-52,,
9:58.0,T. Young makes 2-pt shot from 1 ft (assist by R. Hummel),2,35-52,,
9:53.0,Personal foul by R. Hummel (drawn by G. Henderson),,35-52,,
9:46.0,,,35-52,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft
9:45.0,,,35-52,,Offensive rebound by B. Biyombo
9:45.0,,,35-54,2,B. Biyombo makes 2-pt shot from 1 ft
9:45.0,,,35-54,,Shooting foul by R. Hummel (drawn by B. Biyombo)
9:45.0,,,35-55,1,B. Biyombo makes free throw 1 of 1
9:33.0,T. Young makes 2-pt shot from 1 ft,2,37-55,,
9:20.0,,,37-57,2,G. Henderson makes 2-pt shot from 13 ft (assist by C. Zeller)
9:02.0,T. Young misses 2-pt shot from 17 ft,,37-57,,
9:01.0,,,37-57,,Defensive rebound by G. Henderson
8:44.0,,,37-59,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller)
8:20.0,M. Williams makes 2-pt shot from 11 ft (assist by T. Young),2,39-59,,
8:07.0,,,39-61,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by B. Roberts)
8:06.0,Minnesota full timeout,,39-61,,
8:06.0,Z. LaVine enters the game for R. Hummel,,39-61,,
8:06.0,A. Bennett enters the game for G. Dieng,,39-61,,
7:56.0,A. Bennett misses 2-pt shot from 20 ft,,39-61,,
7:55.0,,,39-61,,Defensive rebound by C. Zeller
7:44.0,,,39-64,3,B. Roberts makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
7:24.0,Turnover by T. Young (lost ball; steal by C. Zeller),,39-64,,
7:21.0,,,39-64,,Shooting foul by M. Williams (drawn by G. Henderson)
7:21.0,,,39-65,1,G. Henderson makes free throw 1 of 2
7:21.0,,,39-66,1,G. Henderson makes free throw 2 of 2
7:01.0,A. Bennett makes 2-pt shot from 8 ft (assist by M. Williams),2,41-66,,
6:41.0,,,41-69,3,G. Henderson makes 3-pt shot from 23 ft (assist by B. Roberts)
6:18.0,Shooting foul by C. Zeller (drawn by T. Young),,41-69,,
6:18.0,T. Young makes free throw 1 of 2,1,42-69,,
6:18.0,T. Young makes free throw 2 of 2,1,43-69,,
6:05.0,,,43-69,,Turnover by G. Henderson (lost ball; steal by T. Young)
6:00.0,Z. LaVine misses 2-pt shot from 2 ft (block by B. Biyombo),,43-69,,
6:00.0,Offensive rebound by Team,,43-69,,
5:53.0,,,43-69,,Inbound foul by B. Roberts
5:53.0,M. Williams makes free throw 1 of 2,1,44-69,,
5:53.0,M. Williams makes free throw 2 of 2,1,45-69,,
5:33.0,,,45-72,3,G. Henderson makes 3-pt shot from 25 ft (assist by C. Zeller)
5:06.0,A. Wiggins misses 2-pt shot from 16 ft,,45-72,,
5:04.0,,,45-72,,Defensive rebound by G. Henderson
4:47.0,,,45-72,,Turnover by C. Zeller (lost ball; steal by T. Young)
4:43.0,Turnover by T. Young (lost ball; steal by C. Zeller),,45-72,,
4:24.0,,,45-72,,C. Zeller misses 2-pt shot from 19 ft
4:23.0,Defensive rebound by A. Bennett,,45-72,,
4:16.0,Offensive foul by A. Bennett,,45-72,,
4:16.0,Turnover by A. Bennett (offensive foul),,45-72,,
4:16.0,,,45-72,,M. Williams enters the game for C. Zeller
4:16.0,,,45-72,,L. Stephenson enters the game for G. Henderson
4:16.0,T. Daniels enters the game for M. Williams,,45-72,,
3:57.0,,,45-74,2,B. Roberts makes 2-pt shot from 2 ft
3:37.0,Z. LaVine misses 3-pt shot from 25 ft,,45-74,,
3:35.0,,,45-74,,Defensive rebound by M. Williams
3:26.0,,,45-74,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft (block by A. Wiggins)
3:24.0,,,45-74,,Offensive rebound by M. Kidd-Gilchrist
3:19.0,,,45-76,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by B. Roberts)
3:01.0,A. Wiggins makes 3-pt shot from 24 ft (assist by A. Bennett),3,48-76,,
2:42.0,,,48-76,,Turnover by L. Stephenson (lost ball; steal by Z. LaVine)
2:36.0,T. Young misses 2-pt shot at rim,,48-76,,
2:34.0,,,48-76,,Defensive rebound by M. Williams
2:25.0,,,48-78,2,B. Roberts makes 2-pt shot from 19 ft
1:57.0,T. Young misses 2-pt shot from 16 ft,,48-78,,
1:56.0,Offensive rebound by A. Bennett,,48-78,,
1:50.0,Shooting foul by L. Stephenson (drawn by T. Young),,48-78,,
1:50.0,,,48-78,,Charlotte full timeout
1:50.0,,,48-78,,A. Jefferson enters the game for M. Kidd-Gilchrist
1:50.0,,,48-78,,P. Hairston enters the game for B. Biyombo
1:50.0,T. Young makes free throw 1 of 2,1,49-78,,
1:50.0,T. Young makes free throw 2 of 2,1,50-78,,
1:34.0,,,50-80,2,A. Jefferson makes 2-pt shot from 5 ft (assist by L. Stephenson)
1:21.0,A. Wiggins misses 3-pt shot from 26 ft,,50-80,,
1:19.0,Offensive rebound by T. Young,,50-80,,
1:19.0,T. Young makes 2-pt shot at rim,2,52-80,,
1:00.0,,,52-80,,P. Hairston misses 2-pt shot from 22 ft
0:56.0,Defensive rebound by T. Young,,52-80,,
0:46.0,A. Wiggins misses 2-pt shot from 1 ft,,52-80,,
0:44.0,,,52-80,,Defensive rebound by P. Hairston
0:34.0,,,52-83,3,B. Roberts makes 3-pt shot from 26 ft (assist by L. Stephenson)
0:24.0,Turnover by T. Daniels (bad pass),,52-83,,
0:24.0,G. Dieng enters the game for T. Young,,52-83,,
0:24.0,C. Budinger enters the game for A. Wiggins,,52-83,,
0:05.0,,,52-83,,L. Stephenson misses 2-pt shot from 1 ft (block by G. Dieng)
0:05.0,,,52-83,,Offensive rebound by Team
0:01.0,,,52-83,,B. Roberts misses 2-pt shot from 17 ft
0:00.0,,,52-83,,Offensive rebound by P. Hairston
0:00.0,,,52-83,,P. Hairston misses 2-pt shot from 6 ft
0:00.0,,,52-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,52-85,2,A. Jefferson makes 2-pt shot from 16 ft (assist by L. Stephenson)
11:29.0,C. Budinger misses 2-pt shot from 17 ft,,52-85,,
11:25.0,Offensive rebound by T. Daniels,,52-85,,
11:25.0,T. Daniels makes 2-pt shot from 5 ft,2,54-85,,
11:03.0,,,54-87,2,L. Stephenson makes 2-pt shot at rim
10:46.0,G. Dieng misses 2-pt shot from 6 ft,,54-87,,
10:44.0,,,54-87,,Defensive rebound by P. Hairston
10:22.0,,,54-87,,G. Neal misses 2-pt shot from 6 ft (block by Z. LaVine)
10:22.0,,,54-87,,Offensive rebound by Team
10:22.0,,,54-87,,Turnover by Team (shot clock)
10:07.0,T. Daniels misses 3-pt shot from 26 ft,,54-87,,
10:05.0,Offensive rebound by A. Bennett,,54-87,,
10:05.0,A. Bennett makes 2-pt shot at rim,2,56-87,,
9:52.0,,,56-87,,Offensive foul by P. Hairston
9:52.0,,,56-87,,Turnover by P. Hairston (offensive foul)
9:39.0,A. Bennett makes 3-pt shot from 23 ft (assist by T. Daniels),3,59-87,,
9:39.0,,,59-87,,Charlotte full timeout
9:14.0,,,59-87,,L. Stephenson misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by Team,,59-87,,
8:56.0,G. Dieng misses 2-pt shot from 11 ft,,59-87,,
8:52.0,,,59-87,,Defensive rebound by M. Williams
8:44.0,,,59-90,3,P. Hairston makes 3-pt shot from 23 ft (assist by L. Stephenson)
8:26.0,A. Bennett misses 3-pt shot from 26 ft,,59-90,,
8:25.0,,,59-90,,Defensive rebound by P. Hairston
8:08.0,,,59-90,,M. Williams misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by C. Budinger,,59-90,,
8:01.0,Turnover by Z. LaVine (bad pass),,59-90,,
7:53.0,Personal foul by A. Bennett (drawn by L. Stephenson),,59-90,,
7:51.0,Personal foul by T. Daniels (drawn by L. Stephenson),,59-90,,
7:46.0,,,59-90,,Shooting foul by T. Daniels (drawn by L. Stephenson)
7:46.0,,,59-91,1,L. Stephenson makes free throw 1 of 2
7:46.0,Minnesota full timeout,,59-91,,
7:46.0,A. Wiggins enters the game for T. Daniels,,59-91,,
7:46.0,,,59-92,1,L. Stephenson makes free throw 2 of 2
7:34.0,C. Budinger makes 3-pt shot from 23 ft (assist by Z. LaVine),3,62-92,,
7:18.0,Violation by G. Dieng (def goaltending),,62-92,,
7:18.0,,,62-94,2,L. Stephenson makes 2-pt shot from 1 ft
7:09.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,64-94,,
7:02.0,,,64-94,,Turnover by M. Williams (bad pass; steal by A. Wiggins)
6:56.0,A. Wiggins misses 3-pt shot from 23 ft,,64-94,,
6:55.0,Offensive rebound by A. Bennett,,64-94,,
6:55.0,A. Bennett makes 2-pt shot at rim,2,66-94,,
6:55.0,Shooting foul by M. Williams (drawn by A. Bennett),,66-94,,
6:55.0,,,66-94,,J. Taylor enters the game for P. Hairston
6:55.0,T. Daniels enters the game for A. Wiggins,,66-94,,
6:55.0,A. Bennett misses free throw 1 of 1,,66-94,,
6:54.0,,,66-94,,Defensive rebound by A. Jefferson
6:46.0,,,66-96,2,J. Taylor makes 2-pt shot from 21 ft (assist by G. Neal)
6:35.0,Turnover by Z. LaVine (bad pass; steal by M. Williams),,66-96,,
6:34.0,Personal foul by A. Bennett (drawn by M. Williams),,66-96,,
6:29.0,,,66-98,2,G. Neal makes 2-pt shot from 18 ft
6:17.0,Turnover by G. Dieng (lost ball; steal by M. Williams),,66-98,,
6:03.0,,,66-98,,N. Vonleh enters the game for M. Williams
5:59.0,,,66-98,,G. Neal misses 2-pt shot from 1 ft (block by G. Dieng)
5:57.0,Defensive rebound by Z. LaVine,,66-98,,
5:52.0,Turnover by C. Budinger (bad pass; steal by A. Jefferson),,66-98,,
5:46.0,,,66-98,,G. Neal misses 2-pt shot from 17 ft
5:43.0,Defensive rebound by A. Bennett,,66-98,,
5:32.0,A. Bennett misses 2-pt shot from 18 ft,,66-98,,
5:31.0,,,66-98,,Defensive rebound by A. Jefferson
5:21.0,,,66-98,,A. Jefferson misses 2-pt shot from 14 ft
5:20.0,Defensive rebound by G. Dieng,,66-98,,
5:08.0,Z. LaVine makes 2-pt shot from 20 ft,2,68-98,,
4:47.0,,,68-98,,G. Neal misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by G. Dieng,,68-98,,
4:39.0,Z. LaVine misses 3-pt shot from 26 ft,,68-98,,
4:38.0,,,68-98,,Defensive rebound by N. Vonleh
4:25.0,,,68-98,,N. Vonleh misses 2-pt shot from 7 ft
4:22.0,Defensive rebound by A. Bennett,,68-98,,
4:14.0,T. Daniels makes 3-pt shot from 26 ft,3,71-98,,
3:55.0,,,71-101,3,J. Taylor makes 3-pt shot from 25 ft (assist by L. Stephenson)
3:35.0,A. Bennett misses 2-pt shot from 14 ft,,71-101,,
3:33.0,,,71-101,,Defensive rebound by J. Taylor
3:30.0,Personal foul by Z. LaVine (drawn by J. Taylor),,71-101,,
3:30.0,Minnesota full timeout,,71-101,,
3:30.0,G. Robinson enters the game for G. Dieng,,71-101,,
