time,Boston,pts.away,score,pts.home,Milwaukee
0:04.0,,,23-23,,E. Ilyasova misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by E. Turner,,23-23,,
0:00.0,E. Turner misses 3-pt shot from 25 ft,,23-23,,
0:00.0,Offensive rebound by Team,,23-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-23,,Personal foul by J. Gutierrez (drawn by M. Smart)
11:37.0,T. Prince makes 2-pt shot from 1 ft,2,25-23,,
11:23.0,,,25-23,,O. Mayo misses 2-pt shot from 15 ft
11:22.0,Defensive rebound by T. Prince,,25-23,,
11:00.0,T. Zeller misses 2-pt shot from 6 ft,,25-23,,
10:58.0,,,25-23,,Defensive rebound by E. Ilyasova
10:47.0,Shooting block foul by J. Crowder (drawn by O. Mayo),,25-23,,
10:47.0,,,25-24,1,O. Mayo makes free throw 1 of 2
10:47.0,,,25-25,1,O. Mayo makes free throw 2 of 2
10:27.0,T. Prince misses 2-pt shot from 20 ft,,25-25,,
10:26.0,,,25-25,,Defensive rebound by O. Mayo
10:19.0,,,25-25,,Turnover by E. Ilyasova (bad pass)
10:08.0,M. Smart misses 2-pt shot from 16 ft,,25-25,,
10:06.0,,,25-25,,Defensive rebound by O. Mayo
10:00.0,,,25-28,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by O. Mayo)
9:35.0,M. Smart makes 3-pt shot from 26 ft (assist by J. Crowder),3,28-28,,
9:26.0,,,28-30,2,J. Bayless makes 2-pt shot at rim
9:26.0,,,28-30,,Shooting foul by M. Smart (drawn by J. Bayless)
9:26.0,J. Sullinger enters the game for T. Zeller,,28-30,,
9:26.0,,,28-31,1,J. Bayless makes free throw 1 of 1
9:07.0,T. Prince makes 2-pt shot from 18 ft (assist by J. Crowder),2,30-31,,
8:41.0,,,30-31,,Turnover by J. Bayless (bad pass; steal by M. Thornton)
8:31.0,M. Thornton misses 3-pt shot from 26 ft,,30-31,,
8:28.0,,,30-31,,Defensive rebound by J. Bayless
8:17.0,,,30-33,2,J. Dudley makes 2-pt shot from 17 ft (assist by J. Bayless)
7:59.0,M. Smart misses 3-pt shot from 26 ft,,30-33,,
7:59.0,Offensive rebound by M. Thornton,,30-33,,
7:59.0,M. Thornton makes 2-pt shot at rim,2,32-33,,
7:59.0,Shooting foul by J. Bayless (drawn by M. Thornton),,32-33,,
7:59.0,Official timeout,,32-33,,
7:59.0,,,32-33,,B. Knight enters the game for O. Mayo
7:59.0,,,32-33,,K. Middleton enters the game for J. Gutierrez
7:59.0,M. Thornton misses free throw 1 of 1,,32-33,,
7:57.0,,,32-33,,Defensive rebound by E. Ilyasova
7:50.0,,,32-33,,Offensive foul by E. Ilyasova
7:50.0,,,32-33,,Turnover by E. Ilyasova (offensive foul)
7:50.0,A. Bradley enters the game for M. Thornton,,32-33,,
7:31.0,T. Prince makes 2-pt shot from 15 ft,2,34-33,,
7:18.0,,,34-33,,J. Dudley misses 3-pt shot from 26 ft
7:16.0,Defensive rebound by T. Prince,,34-33,,
7:01.0,J. Sullinger makes 2-pt shot from 6 ft,2,36-33,,
6:37.0,,,36-35,2,J. Bayless makes 2-pt shot at rim
6:26.0,J. Crowder misses 2-pt shot at rim,,36-35,,
6:24.0,Offensive rebound by J. Sullinger,,36-35,,
6:24.0,J. Sullinger makes 2-pt shot at rim,2,38-35,,
6:13.0,,,38-37,2,B. Knight makes 2-pt shot at rim
5:46.0,A. Bradley misses 3-pt shot from 24 ft,,38-37,,
5:44.0,,,38-37,,Defensive rebound by B. Knight
5:35.0,,,38-39,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by B. Knight)
5:35.0,Boston full timeout,,38-39,,
5:35.0,,,38-39,,G. Antetokounmpo enters the game for J. Dudley
5:35.0,,,38-39,,J. Henson enters the game for E. Ilyasova
5:13.0,A. Bradley makes 2-pt shot from 6 ft (assist by M. Smart),2,40-39,,
4:54.0,,,40-39,,B. Knight misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by J. Crowder,,40-39,,
4:37.0,T. Prince misses 2-pt shot from 14 ft,,40-39,,
4:36.0,,,40-39,,Defensive rebound by G. Antetokounmpo
4:29.0,,,40-41,2,J. Bayless makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:17.0,,,40-41,,Personal foul by J. Henson (drawn by J. Sullinger)
4:17.0,B. Bass enters the game for J. Crowder,,40-41,,
4:08.0,J. Sullinger makes 2-pt shot from 4 ft (assist by T. Prince),2,42-41,,
3:44.0,,,42-44,3,K. Middleton makes 3-pt shot from 24 ft (assist by B. Knight)
3:25.0,J. Sullinger makes 2-pt shot from 16 ft (assist by T. Prince),2,44-44,,
3:13.0,,,44-46,2,B. Knight makes 2-pt shot at rim
2:58.0,J. Sullinger misses 3-pt shot from 26 ft,,44-46,,
2:57.0,,,44-46,,Defensive rebound by G. Antetokounmpo
2:45.0,,,44-46,,J. Henson misses 2-pt shot from 1 ft
2:42.0,Defensive rebound by J. Sullinger,,44-46,,
2:22.0,T. Prince misses 2-pt shot from 20 ft,,44-46,,
2:21.0,,,44-46,,Defensive rebound by B. Knight
2:00.0,,,44-46,,J. Bayless misses 2-pt shot from 3 ft
1:59.0,Defensive rebound by J. Sullinger,,44-46,,
1:58.0,Boston full timeout,,44-46,,
1:58.0,,,44-46,,Milwaukee full timeout
1:58.0,E. Turner enters the game for T. Prince,,44-46,,
1:58.0,,,44-46,,E. Ilyasova enters the game for J. Henson
1:44.0,A. Bradley misses 3-pt shot from 26 ft,,44-46,,
1:43.0,,,44-46,,Defensive rebound by J. Bayless
1:31.0,,,44-46,,E. Ilyasova misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by E. Turner,,44-46,,
1:18.0,B. Bass makes 2-pt shot at rim,2,46-46,,
1:06.0,,,46-49,3,B. Knight makes 3-pt shot from 24 ft
0:47.0,Turnover by B. Bass (step out of bounds),,46-49,,
0:39.0,,,46-51,2,B. Knight makes 2-pt shot at rim
0:21.0,T. Zeller enters the game for J. Sullinger,,46-51,,
0:20.0,Jump ball: A. Bradley vs. B. Knight (M. Smart gains possession),,,,Jump ball: A. Bradley vs. B. Knight (M. Smart gains possession)
0:16.0,Offensive foul by M. Smart,,46-51,,
0:16.0,Turnover by M. Smart (offensive foul),,46-51,,
0:16.0,J. Crowder enters the game for M. Smart,,46-51,,
0:03.0,,,46-53,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by B. Knight)
0:00.0,J. Crowder misses 3-pt shot from 33 ft,,46-53,,
0:00.0,Offensive rebound by Team,,46-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by J. Dudley (drawn by M. Smart),,46-53,,
11:48.0,M. Smart misses free throw 1 of 2,,46-53,,
11:48.0,Offensive rebound by Team,,46-53,,
11:48.0,M. Smart misses free throw 2 of 2,,46-53,,
11:44.0,Offensive rebound by B. Bass,,46-53,,
11:40.0,M. Smart misses 3-pt shot from 26 ft,,46-53,,
11:38.0,,,46-53,,Defensive rebound by J. Dudley
11:16.0,,,46-56,3,J. Dudley makes 3-pt shot from 23 ft (assist by B. Knight)
10:59.0,B. Bass misses 2-pt shot from 15 ft,,46-56,,
10:57.0,,,46-56,,Defensive rebound by K. Middleton
10:51.0,,,46-58,2,K. Middleton makes 2-pt shot from 5 ft
10:32.0,A. Bradley makes 3-pt shot from 22 ft (assist by E. Turner),3,49-58,,
10:24.0,,,49-58,,Shooting foul by A. Bradley (drawn by B. Knight)
10:24.0,,,49-59,1,B. Knight makes free throw 1 of 2
10:24.0,,,49-60,1,B. Knight makes free throw 2 of 2
10:09.0,A. Bradley misses 2-pt shot from 18 ft,,49-60,,
10:08.0,,,49-60,,Defensive rebound by J. Henson
10:05.0,,,49-60,,Shooting foul by J. Sullinger (drawn by G. Antetokounmpo)
10:05.0,,,49-61,1,G. Antetokounmpo makes free throw 1 of 2
10:05.0,,,49-62,1,G. Antetokounmpo makes free throw 2 of 2
9:53.0,Turnover by B. Bass (lost ball; steal by K. Middleton),,49-62,,
9:42.0,,,49-62,,J. Henson misses 2-pt shot from 3 ft
9:40.0,Defensive rebound by E. Turner,,49-62,,
9:35.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,52-62,,
9:18.0,,,52-62,,Shooting foul by J. Sullinger (drawn by J. Henson)
9:18.0,,,52-63,1,J. Henson makes free throw 1 of 2
9:18.0,,,52-64,1,J. Henson makes free throw 2 of 2
8:56.0,J. Sullinger misses 2-pt shot from 14 ft,,52-64,,
8:55.0,,,52-64,,Defensive rebound by K. Middleton
8:35.0,,,52-64,,K. Middleton misses 3-pt shot from 26 ft
8:34.0,,,52-64,,Offensive rebound by J. Dudley
8:31.0,,,52-66,2,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
8:30.0,Boston full timeout,,52-66,,
8:30.0,J. Crowder enters the game for J. Sullinger,,52-66,,
8:30.0,T. Zeller enters the game for B. Bass,,52-66,,
8:17.0,J. Crowder makes 2-pt shot at rim (assist by E. Turner),2,54-66,,
8:07.0,Personal block foul by M. Smart (drawn by B. Knight),,54-66,,
8:04.0,Personal foul by A. Bradley (drawn by B. Knight),,54-66,,
8:04.0,,,54-66,,B. Knight misses free throw 1 of 2
8:04.0,,,54-66,,Offensive rebound by Team
8:04.0,,,54-67,1,B. Knight makes free throw 2 of 2
7:53.0,A. Bradley misses 2-pt shot at rim (block by J. Henson),,54-67,,
7:50.0,Offensive rebound by M. Smart,,54-67,,
7:45.0,A. Bradley misses 3-pt shot from 22 ft,,54-67,,
7:45.0,Offensive rebound by Team,,54-67,,
7:30.0,E. Turner makes 2-pt shot from 9 ft,2,56-67,,
7:20.0,,,56-67,,Offensive foul by G. Antetokounmpo
7:20.0,,,56-67,,Turnover by G. Antetokounmpo (offensive foul)
7:12.0,Shooting foul by G. Antetokounmpo (drawn by J. Crowder),,56-67,,
7:12.0,J. Crowder makes free throw 1 of 2,1,57-67,,
7:12.0,J. Crowder makes free throw 2 of 2,1,58-67,,
6:56.0,,,58-69,2,K. Middleton makes 2-pt shot from 15 ft (assist by J. Dudley)
6:41.0,J. Crowder misses 3-pt shot from 26 ft,,58-69,,
6:40.0,,,58-69,,Defensive rebound by G. Antetokounmpo
6:40.0,Loose ball foul by T. Zeller (drawn by G. Antetokounmpo),,58-69,,
6:40.0,,,58-69,,G. Antetokounmpo misses free throw 1 of 2
6:40.0,,,58-69,,Offensive rebound by Team
6:40.0,,,58-69,,G. Antetokounmpo misses free throw 2 of 2
6:39.0,Defensive rebound by E. Turner,,58-69,,
6:27.0,,,58-69,,Shooting block foul by J. Dudley (drawn by T. Zeller)
6:27.0,T. Zeller makes free throw 1 of 2,1,59-69,,
6:27.0,T. Zeller makes free throw 2 of 2,1,60-69,,
6:14.0,,,60-69,,K. Middleton misses 3-pt shot from 23 ft
6:13.0,Defensive rebound by J. Crowder,,60-69,,
5:59.0,E. Turner misses 2-pt shot from 14 ft,,60-69,,
5:56.0,Offensive rebound by T. Zeller,,60-69,,
5:55.0,T. Zeller makes 2-pt shot at rim,2,62-69,,
5:37.0,Personal foul by J. Crowder (drawn by J. Henson),,62-69,,
5:37.0,,,62-70,1,J. Henson makes free throw 1 of 2
5:37.0,,,62-70,,O. Mayo enters the game for K. Middleton
5:37.0,M. Thornton enters the game for M. Smart,,62-70,,
5:37.0,,,62-70,,J. Henson misses free throw 2 of 2
5:35.0,,,62-70,,Offensive rebound by G. Antetokounmpo
5:21.0,,,62-70,,Turnover by G. Antetokounmpo (lost ball; steal by E. Turner)
5:14.0,A. Bradley misses 3-pt shot from 26 ft,,62-70,,
5:13.0,,,62-70,,Defensive rebound by G. Antetokounmpo
5:09.0,,,62-70,,Turnover by G. Antetokounmpo (lost ball)
4:49.0,Turnover by E. Turner (lost ball; steal by G. Antetokounmpo),,62-70,,
4:45.0,,,62-72,2,G. Antetokounmpo makes 2-pt shot at rim
4:24.0,,,62-72,,Personal foul by J. Henson (drawn by T. Zeller)
4:24.0,,,62-72,,E. Ilyasova enters the game for J. Henson
4:10.0,Turnover by T. Zeller (lost ball; steal by O. Mayo),,62-72,,
4:07.0,,,62-72,,Shooting foul by E. Turner (drawn by B. Knight)
4:07.0,,,62-73,1,B. Knight makes free throw 1 of 2
4:07.0,,,62-73,,B. Knight misses free throw 2 of 2
4:06.0,Defensive rebound by E. Turner,,62-73,,
3:54.0,Shooting foul by J. Dudley (drawn by T. Zeller),,62-73,,
3:54.0,T. Zeller makes free throw 1 of 2,1,63-73,,
3:54.0,T. Prince enters the game for A. Bradley,,63-73,,
3:54.0,T. Zeller makes free throw 2 of 2,1,64-73,,
3:39.0,,,64-73,,Turnover by B. Knight (bad pass; steal by M. Thornton)
3:34.0,M. Thornton misses 2-pt shot from 15 ft,,64-73,,
3:33.0,Offensive rebound by T. Prince,,64-73,,
3:32.0,T. Prince makes 2-pt shot at rim,2,66-73,,
3:14.0,,,66-73,,O. Mayo misses 2-pt shot from 1 ft
3:11.0,,,66-73,,Offensive rebound by G. Antetokounmpo
3:11.0,,,66-75,2,G. Antetokounmpo makes 2-pt shot at rim
3:04.0,Turnover by T. Zeller (offensive foul),,66-75,,
3:04.0,Offensive foul by T. Zeller,,66-75,,
2:53.0,,,66-75,,B. Knight misses 3-pt shot from 26 ft
2:52.0,Defensive rebound by T. Prince,,66-75,,
2:41.0,T. Zeller makes 2-pt shot at rim (assist by J. Crowder),2,68-75,,
2:33.0,,,68-75,,Milwaukee full timeout
2:33.0,,,68-75,,J. Bayless enters the game for G. Antetokounmpo
2:25.0,,,68-75,,E. Ilyasova misses 2-pt shot from 1 ft
2:23.0,Defensive rebound by M. Thornton,,68-75,,
2:07.0,Turnover by E. Turner (bad pass; steal by O. Mayo),,68-75,,
2:03.0,,,68-77,2,B. Knight makes 2-pt shot at rim (assist by O. Mayo)
1:50.0,J. Crowder makes 2-pt shot at rim (assist by E. Turner),2,70-77,,
1:36.0,,,70-80,3,J. Dudley makes 3-pt shot from 23 ft (assist by O. Mayo)
1:15.0,M. Thornton makes 2-pt shot from 13 ft (assist by E. Turner),2,72-80,,
0:51.0,,,72-80,,B. Knight misses 2-pt shot from 18 ft
0:50.0,Defensive rebound by J. Crowder,,72-80,,
0:35.0,M. Thornton misses 3-pt shot from 24 ft,,72-80,,
0:33.0,Offensive rebound by T. Prince,,72-80,,
0:32.0,T. Prince misses 2-pt shot at rim,,72-80,,
0:27.0,Offensive rebound by J. Crowder,,72-80,,
0:24.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Crowder),3,75-80,,
0:01.0,,,75-80,,Turnover by B. Knight (bad pass; steal by T. Prince)
0:00.0,T. Prince misses 3-pt shot from 28 ft,,75-80,,
0:00.0,Offensive rebound by Team,,75-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,75-82,2,O. Mayo makes 2-pt shot at rim (assist by J. Gutierrez)
11:28.0,J. Crowder misses 2-pt shot from 12 ft,,75-82,,
11:26.0,,,75-82,,Defensive rebound by J. Gutierrez
11:17.0,,,75-82,,Shooting foul by J. Crowder (drawn by O. Mayo)
11:17.0,,,75-83,1,O. Mayo makes free throw 1 of 2
11:17.0,,,75-84,1,O. Mayo makes free throw 2 of 2
11:01.0,M. Smart makes 2-pt shot at rim,2,77-84,,
10:41.0,,,77-84,,O. Mayo misses 2-pt shot from 12 ft
10:39.0,Defensive rebound by T. Zeller,,77-84,,
10:24.0,M. Thornton makes 3-pt shot from 26 ft (assist by T. Prince),3,80-84,,
10:13.0,,,80-84,,Offensive foul by E. Ilyasova
10:13.0,,,80-84,,Turnover by E. Ilyasova (offensive foul)
10:13.0,A. Bradley enters the game for J. Crowder,,80-84,,
10:02.0,Shooting foul by E. Ilyasova (drawn by M. Thornton),,80-84,,
10:02.0,M. Thornton misses free throw 1 of 2,,80-84,,
10:02.0,Offensive rebound by Team,,80-84,,
10:02.0,,,80-84,,G. Antetokounmpo enters the game for E. Ilyasova
10:02.0,J. Sullinger enters the game for T. Zeller,,80-84,,
10:02.0,M. Thornton makes free throw 2 of 2,1,81-84,,
9:46.0,,,81-86,2,O. Mayo makes 2-pt shot at rim
9:25.0,M. Thornton misses 3-pt shot from 26 ft,,81-86,,
9:23.0,,,81-86,,Defensive rebound by J. Bayless
9:17.0,,,81-88,2,J. Bayless makes 2-pt shot at rim
9:00.0,Turnover by M. Smart (lost ball; steal by J. Bayless),,81-88,,
8:57.0,,,81-90,2,O. Mayo makes 2-pt shot at rim (assist by J. Gutierrez)
8:56.0,Boston full timeout,,81-90,,
8:47.0,,,81-90,,Personal foul by O. Mayo (drawn by M. Smart)
8:40.0,M. Smart makes 2-pt shot from 7 ft,2,83-90,,
8:40.0,Shooting foul by J. Bayless (drawn by M. Smart),,83-90,,
8:40.0,M. Smart makes free throw 1 of 1,1,84-90,,
8:27.0,,,84-90,,J. Gutierrez misses 2-pt shot from 17 ft
8:25.0,Defensive rebound by J. Sullinger,,84-90,,
8:11.0,M. Smart misses 3-pt shot from 25 ft,,84-90,,
8:11.0,Offensive rebound by Team,,84-90,,
8:11.0,,,84-90,,Loose ball foul by G. Antetokounmpo (drawn by J. Sullinger)
8:11.0,E. Turner enters the game for T. Prince,,84-90,,
7:51.0,M. Thornton misses 2-pt shot from 17 ft,,84-90,,
7:49.0,,,84-90,,Defensive rebound by K. Middleton
7:38.0,Personal foul by A. Bradley (drawn by O. Mayo),,84-90,,
7:22.0,,,84-90,,J. Bayless misses 2-pt shot from 5 ft
7:21.0,Defensive rebound by E. Turner,,84-90,,
7:13.0,M. Thornton misses 3-pt shot from 23 ft,,84-90,,
7:12.0,,,84-90,,Defensive rebound by K. Middleton
6:53.0,,,84-90,,O. Mayo misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by M. Thornton,,84-90,,
6:38.0,J. Sullinger makes 2-pt shot at rim (assist by A. Bradley),2,86-90,,
6:14.0,,,86-90,,G. Antetokounmpo misses 2-pt shot from 20 ft
6:12.0,,,86-90,,Offensive rebound by J. Gutierrez
5:59.0,,,86-92,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by J. Bayless)
5:46.0,Offensive foul by M. Smart,,86-92,,
5:46.0,Turnover by M. Smart (offensive foul),,86-92,,
5:46.0,Official timeout,,86-92,,
5:46.0,,,86-92,,B. Knight enters the game for K. Middleton
5:46.0,,,86-92,,J. Henson enters the game for J. Gutierrez
5:46.0,J. Crowder enters the game for M. Thornton,,86-92,,
5:35.0,,,86-92,,G. Antetokounmpo misses 2-pt shot from 5 ft
5:35.0,Defensive rebound by Team,,86-92,,
5:16.0,J. Sullinger makes 2-pt shot from 4 ft,2,88-92,,
4:52.0,,,88-92,,J. Henson misses 2-pt shot from 3 ft
4:51.0,Defensive rebound by J. Crowder,,88-92,,
4:34.0,E. Turner misses 2-pt shot from 16 ft,,88-92,,
4:33.0,,,88-92,,Defensive rebound by J. Bayless
4:25.0,,,88-92,,O. Mayo misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by M. Smart,,88-92,,
4:13.0,,,88-92,,Personal foul by J. Bayless (drawn by M. Smart)
4:13.0,M. Smart makes free throw 1 of 2,1,89-92,,
4:13.0,M. Smart makes free throw 2 of 2,1,90-92,,
3:51.0,,,90-92,,J. Bayless misses 2-pt shot from 11 ft
3:50.0,Defensive rebound by J. Crowder,,90-92,,
3:35.0,J. Sullinger misses 2-pt shot from 6 ft,,90-92,,
3:34.0,,,90-92,,Defensive rebound by G. Antetokounmpo
3:29.0,,,90-92,,O. Mayo misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by M. Smart,,90-92,,
3:19.0,J. Crowder misses 2-pt shot at rim (block by J. Henson),,90-92,,
3:16.0,,,90-92,,Defensive rebound by J. Henson
3:04.0,,,90-92,,B. Knight misses 2-pt shot from 16 ft
3:04.0,Defensive rebound by Team,,90-92,,
3:04.0,,,90-92,,Loose ball foul by J. Henson (drawn by J. Sullinger)
3:04.0,J. Sullinger misses free throw 1 of 2,,90-92,,
3:04.0,Offensive rebound by Team,,90-92,,
3:04.0,,,90-92,,K. Middleton enters the game for J. Bayless
3:04.0,J. Sullinger makes free throw 2 of 2,1,91-92,,
2:49.0,,,91-92,,G. Antetokounmpo misses 2-pt shot from 16 ft
2:48.0,Defensive rebound by A. Bradley,,91-92,,
2:34.0,A. Bradley misses 3-pt shot from 24 ft,,91-92,,
2:33.0,,,91-92,,Defensive rebound by K. Middleton
2:19.0,,,91-92,,B. Knight misses 2-pt shot from 15 ft
2:18.0,,,91-92,,Offensive rebound by J. Henson
2:17.0,,,91-92,,Milwaukee full timeout
2:04.0,,,91-94,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
1:43.0,A. Bradley misses 3-pt shot from 23 ft,,91-94,,
1:42.0,,,91-94,,Defensive rebound by G. Antetokounmpo
1:20.0,,,91-94,,Turnover by K. Middleton (bad pass; steal by J. Sullinger)
1:08.0,J. Sullinger misses 3-pt shot from 28 ft,,91-94,,
1:07.0,,,91-94,,Defensive rebound by K. Middleton
0:48.0,,,91-94,,K. Middleton misses 2-pt shot from 13 ft
