time,Detroit,pts.away,score,pts.home,Cleveland
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,17-30,2,K. Love makes 2-pt shot from 12 ft (assist by D. Waiters)
11:26.0,J. Meeks misses 2-pt shot from 7 ft,,17-30,,
11:25.0,,,17-30,,Defensive rebound by K. Love
11:16.0,,,17-32,2,K. Love makes 2-pt shot at rim (assist by A. Price)
11:10.0,Detroit full timeout,,17-32,,
10:49.0,C. Butler misses 3-pt shot from 29 ft,,17-32,,
10:48.0,,,17-32,,Defensive rebound by B. Haywood
10:41.0,,,17-32,,Turnover by D. Waiters (bad pass)
10:14.0,D. Augustin misses 3-pt shot from 28 ft,,17-32,,
10:13.0,,,17-32,,Defensive rebound by D. Waiters
10:06.0,,,17-32,,Turnover by D. Waiters (lost ball; steal by J. Jerebko)
10:00.0,A. Drummond makes 2-pt shot at rim (assist by J. Jerebko),2,19-32,,
9:43.0,,,19-32,,Turnover by K. Love (bad pass; steal by A. Drummond)
9:37.0,D. Augustin misses 2-pt shot from 1 ft,,19-32,,
9:34.0,,,19-32,,Defensive rebound by S. Marion
9:27.0,,,19-32,,K. Love misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by C. Butler,,19-32,,
9:19.0,J. Meeks makes 3-pt shot from 26 ft,3,22-32,,
9:11.0,,,22-32,,Cleveland full timeout
9:11.0,,,22-32,,M. Miller enters the game for K. Love
9:03.0,,,22-32,,D. Waiters misses 2-pt shot from 4 ft
9:00.0,Defensive rebound by A. Drummond,,22-32,,
8:55.0,J. Jerebko makes 2-pt shot at rim (assist by J. Meeks),2,24-32,,
8:31.0,,,24-32,,S. Marion misses 2-pt shot from 9 ft
8:31.0,,,24-32,,Offensive rebound by Team
8:31.0,,,24-32,,M. Dellavedova enters the game for A. Price
8:31.0,,,24-32,,T. Thompson enters the game for B. Haywood
8:26.0,Personal block foul by J. Meeks (drawn by D. Waiters),,24-32,,
8:21.0,,,24-34,2,T. Thompson makes 2-pt shot from 11 ft (assist by M. Miller)
7:56.0,J. Jerebko makes 3-pt shot from 24 ft (assist by C. Butler),3,27-34,,
7:42.0,,,27-36,2,D. Waiters makes 2-pt shot at rim
7:33.0,J. Meeks makes 2-pt shot at rim,2,29-36,,
7:33.0,Shooting foul by D. Waiters (drawn by J. Meeks),,29-36,,
7:33.0,,,29-36,,L. James enters the game for D. Waiters
7:33.0,J. Meeks makes free throw 1 of 1,1,30-36,,
7:25.0,,,30-36,,Turnover by S. Marion (bad pass)
7:07.0,,,30-36,,Personal foul by L. James (drawn by C. Butler)
7:02.0,D. Augustin misses 2-pt shot from 22 ft,,30-36,,
7:01.0,,,30-36,,Defensive rebound by L. James
6:50.0,,,30-39,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James)
6:36.0,Turnover by D. Augustin (lost ball; steal by S. Marion),,30-39,,
6:30.0,,,30-39,,S. Marion misses 2-pt shot from 1 ft
6:26.0,,,30-39,,Offensive rebound by T. Thompson
6:26.0,,,30-41,2,T. Thompson makes 2-pt shot at rim
6:25.0,,,30-41,,Personal foul by M. Dellavedova (drawn by D. Augustin)
6:25.0,,,30-41,,Cleveland full timeout
6:25.0,,,30-41,,D. Waiters enters the game for M. Dellavedova
6:25.0,,,30-41,,K. Love enters the game for S. Marion
6:03.0,J. Jerebko misses 2-pt shot from 10 ft,,30-41,,
6:01.0,Offensive rebound by A. Drummond,,30-41,,
5:59.0,A. Drummond makes 2-pt shot at rim,2,32-41,,
5:41.0,,,32-43,2,L. James makes 2-pt shot from 16 ft
5:30.0,J. Jerebko makes 3-pt shot from 25 ft (assist by D. Augustin),3,35-43,,
5:10.0,,,35-43,,K. Love misses 3-pt shot from 25 ft
5:09.0,,,35-43,,Offensive rebound by T. Thompson
5:04.0,,,35-43,,L. James misses 3-pt shot from 26 ft
5:02.0,,,35-43,,Offensive rebound by K. Love
4:59.0,,,35-43,,K. Love misses 2-pt shot from 1 ft (block by A. Drummond)
4:59.0,Defensive rebound by J. Meeks,,35-43,,
4:59.0,,,35-43,,Personal foul by M. Miller (drawn by J. Meeks)
4:59.0,B. Jennings enters the game for D. Augustin,,35-43,,
4:48.0,A. Drummond misses 2-pt shot from 5 ft,,35-43,,
4:46.0,,,35-43,,Defensive rebound by L. James
4:43.0,Personal foul by J. Meeks (drawn by L. James),,35-43,,
4:43.0,G. Monroe enters the game for J. Jerebko,,35-43,,
4:24.0,,,35-43,,L. James misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by A. Drummond,,35-43,,
4:11.0,G. Monroe makes 2-pt shot from 6 ft (assist by B. Jennings),2,37-43,,
3:54.0,,,37-43,,D. Waiters misses 2-pt shot from 1 ft
3:51.0,Defensive rebound by A. Drummond,,37-43,,
3:44.0,B. Jennings makes 3-pt shot from 25 ft (assist by C. Butler),3,40-43,,
3:35.0,,,40-43,,Cleveland full timeout
3:18.0,,,40-43,,L. James misses 2-pt shot from 17 ft
3:17.0,Defensive rebound by C. Butler,,40-43,,
3:06.0,,,40-43,,Personal foul by T. Thompson (drawn by A. Drummond)
3:06.0,A. Drummond misses free throw 1 of 2,,40-43,,
3:06.0,Offensive rebound by Team,,40-43,,
3:06.0,K. Caldwell-Pope enters the game for J. Meeks,,40-43,,
3:06.0,A. Drummond misses free throw 2 of 2,,40-43,,
3:06.0,,,40-43,,Defensive rebound by K. Love
2:52.0,,,40-43,,M. Miller misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by A. Drummond,,40-43,,
2:39.0,G. Monroe misses 2-pt shot from 3 ft,,40-43,,
2:37.0,Offensive rebound by A. Drummond,,40-43,,
2:37.0,A. Drummond makes 2-pt shot at rim,2,42-43,,
2:20.0,,,42-43,,L. James misses 2-pt shot from 1 ft
2:17.0,Defensive rebound by B. Jennings,,42-43,,
2:12.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,42-43,,
2:11.0,Offensive rebound by A. Drummond,,42-43,,
2:08.0,A. Drummond misses 2-pt shot at rim (block by D. Waiters),,42-43,,
2:08.0,Offensive rebound by Team,,42-43,,
1:52.0,B. Jennings makes 2-pt shot from 11 ft,2,44-43,,
1:36.0,,,44-43,,Turnover by L. James (lost ball; steal by C. Butler)
1:30.0,B. Jennings makes 3-pt shot from 25 ft (assist by C. Butler),3,47-43,,
1:02.0,,,47-43,,L. James misses 3-pt shot from 38 ft
1:02.0,,,47-43,,Offensive rebound by Team
1:02.0,,,47-43,,Turnover by Team (shot clock)
1:02.0,J. Jerebko enters the game for A. Drummond,,47-43,,
0:50.0,C. Butler makes 3-pt shot from 25 ft (assist by B. Jennings),3,50-43,,
0:32.0,,,50-43,,L. James misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by B. Jennings,,50-43,,
0:26.0,B. Jennings misses 2-pt shot from 6 ft,,50-43,,
0:25.0,Offensive rebound by G. Monroe,,50-43,,
0:24.0,G. Monroe misses 2-pt shot at rim (block by D. Waiters),,50-43,,
0:23.0,,,50-43,,Defensive rebound by M. Miller
0:03.0,,,50-46,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
0:03.0,Technical foul by G. Monroe,,50-46,,
0:03.0,,,50-47,1,L. James makes technical free throw
0:03.0,,,50-47,,A. Price enters the game for L. James
0:00.0,K. Caldwell-Pope misses 3-pt shot from 34 ft,,50-47,,
0:00.0,Offensive rebound by Team,,50-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,50-47,,Turnover by L. James (bad pass; steal by B. Jennings)
11:39.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Jennings),2,52-47,,
11:18.0,,,52-47,,L. James misses 2-pt shot from 13 ft
11:17.0,Defensive rebound by A. Drummond,,52-47,,
11:05.0,B. Jennings makes 2-pt shot from 22 ft,2,54-47,,
10:56.0,,,54-47,,Turnover by T. Thompson (lost ball; steal by K. Singler)
10:48.0,B. Jennings makes 3-pt shot from 24 ft,3,57-47,,
10:35.0,Personal foul by B. Jennings (drawn by M. Dellavedova),,57-47,,
10:29.0,Personal foul by K. Singler (drawn by K. Love),,57-47,,
10:14.0,,,57-47,,L. James misses 2-pt shot from 20 ft
10:11.0,,,57-47,,Offensive rebound by T. Thompson
10:10.0,,,57-49,2,T. Thompson makes 2-pt shot from 1 ft
9:49.0,G. Monroe misses 2-pt shot from 8 ft,,57-49,,
9:48.0,Offensive rebound by A. Drummond,,57-49,,
9:48.0,A. Drummond misses 2-pt shot at rim,,57-49,,
9:48.0,,,57-49,,Defensive rebound by K. Love
9:48.0,Personal foul by G. Monroe (drawn by K. Love),,57-49,,
9:31.0,,,57-49,,M. Miller misses 3-pt shot from 25 ft
9:31.0,,,57-49,,Offensive rebound by T. Thompson
9:27.0,,,57-49,,K. Love misses 2-pt shot from 22 ft
9:26.0,Defensive rebound by A. Drummond,,57-49,,
9:16.0,,,57-49,,Personal block foul by K. Love (drawn by B. Jennings)
9:08.0,Offensive charge foul by G. Monroe,,57-49,,
9:08.0,Turnover by G. Monroe (offensive foul),,57-49,,
8:55.0,,,57-49,,K. Love misses 3-pt shot from 23 ft
8:53.0,Defensive rebound by B. Jennings,,57-49,,
8:48.0,B. Jennings misses 3-pt shot from 25 ft,,57-49,,
8:47.0,Offensive rebound by A. Drummond,,57-49,,
8:43.0,A. Drummond misses 2-pt shot from 12 ft,,57-49,,
8:42.0,,,57-49,,Defensive rebound by M. Miller
8:37.0,,,57-49,,Turnover by M. Dellavedova (bad pass; steal by K. Caldwell-Pope)
8:30.0,K. Caldwell-Pope makes 3-pt shot from 24 ft,3,60-49,,
8:06.0,,,60-51,2,K. Love makes 2-pt shot at rim (assist by M. Miller)
7:53.0,K. Singler makes 3-pt shot from 25 ft (assist by G. Monroe),3,63-51,,
7:29.0,,,63-53,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
7:16.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by K. Singler),3,66-53,,
6:57.0,,,66-53,,M. Dellavedova misses 2-pt shot from 7 ft
6:55.0,Defensive rebound by A. Drummond,,66-53,,
6:42.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,66-53,,
6:41.0,Offensive rebound by A. Drummond,,66-53,,
6:38.0,A. Drummond makes 2-pt shot at rim,2,68-53,,
6:37.0,,,68-53,,Cleveland full timeout
6:11.0,,,68-55,2,K. Love makes 2-pt shot from 18 ft (assist by M. Miller)
5:53.0,,,68-55,,Violation by K. Love (kicked ball)
5:41.0,B. Jennings misses 3-pt shot from 25 ft,,68-55,,
5:41.0,,,68-55,,Defensive rebound by M. Miller
5:24.0,,,68-55,,L. James misses 2-pt shot from 11 ft
5:24.0,,,68-55,,Offensive rebound by Team
5:24.0,Personal foul by K. Singler (drawn by T. Thompson),,68-55,,
5:12.0,,,68-55,,L. James misses 2-pt shot from 8 ft
5:10.0,Defensive rebound by K. Singler,,68-55,,
5:01.0,G. Monroe misses 2-pt shot from 13 ft,,68-55,,
4:57.0,,,68-55,,Defensive rebound by K. Love
4:53.0,,,68-55,,M. Miller misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by Team,,68-55,,
4:37.0,,,68-55,,Personal foul by L. James (drawn by K. Singler)
4:37.0,,,68-55,,D. Waiters enters the game for M. Miller
4:27.0,A. Drummond makes 2-pt shot at rim (assist by G. Monroe),2,70-55,,
4:08.0,,,70-55,,Turnover by M. Dellavedova (bad pass; steal by K. Singler)
4:05.0,,,70-55,,Personal foul by K. Love (drawn by B. Jennings)
3:57.0,B. Jennings makes 2-pt shot from 17 ft,2,72-55,,
3:33.0,,,72-57,2,K. Love makes 2-pt shot from 19 ft (assist by M. Dellavedova)
3:20.0,B. Jennings makes 3-pt shot from 25 ft,3,75-57,,
3:04.0,,,75-57,,L. James misses 2-pt shot from 1 ft (block by A. Drummond)
3:02.0,,,75-57,,Offensive rebound by Team
3:02.0,,,75-57,,S. Marion enters the game for K. Love
3:02.0,J. Jerebko enters the game for G. Monroe,,75-57,,
2:56.0,,,75-57,,D. Waiters misses 2-pt shot from 1 ft
2:56.0,,,75-57,,Offensive rebound by Team
2:56.0,Loose ball foul by K. Singler (drawn by T. Thompson),,75-57,,
2:56.0,Detroit full timeout,,75-57,,
2:56.0,,,75-57,,A. Price enters the game for M. Dellavedova
2:56.0,C. Butler enters the game for K. Singler,,75-57,,
2:56.0,J. Meeks enters the game for K. Caldwell-Pope,,75-57,,
2:56.0,,,75-58,1,T. Thompson makes free throw 1 of 2
2:56.0,,,75-59,1,T. Thompson makes free throw 2 of 2
2:43.0,B. Jennings misses 3-pt shot from 26 ft,,75-59,,
2:41.0,,,75-59,,Defensive rebound by L. James
2:20.0,,,75-59,,T. Thompson misses 2-pt shot from 13 ft
2:19.0,Defensive rebound by J. Jerebko,,75-59,,
2:11.0,C. Butler misses 3-pt shot from 25 ft,,75-59,,
2:09.0,,,75-59,,Defensive rebound by S. Marion
2:00.0,,,75-59,,A. Price misses 2-pt shot from 11 ft
1:58.0,Defensive rebound by J. Meeks,,75-59,,
1:41.0,B. Jennings makes 2-pt shot from 19 ft,2,77-59,,
1:25.0,,,77-59,,S. Marion misses 2-pt shot from 5 ft
1:21.0,Defensive rebound by J. Jerebko,,77-59,,
1:10.0,Turnover by A. Drummond (traveling),,77-59,,
1:10.0,,,77-59,,K. Love enters the game for L. James
1:10.0,D. Augustin enters the game for B. Jennings,,77-59,,
0:57.0,,,77-59,,D. Waiters misses 2-pt shot from 18 ft
0:56.0,,,77-59,,Offensive rebound by T. Thompson
0:55.0,,,77-59,,Turnover by T. Thompson (step out of bounds)
0:36.0,J. Meeks misses 3-pt shot from 26 ft,,77-59,,
0:35.0,,,77-59,,Defensive rebound by A. Price
0:18.0,,,77-59,,D. Waiters misses 2-pt shot from 3 ft (block by A. Drummond)
0:16.0,Defensive rebound by A. Drummond,,77-59,,
0:04.0,J. Jerebko misses 3-pt shot from 25 ft,,77-59,,
0:02.0,,,77-59,,Defensive rebound by A. Price
0:01.0,Personal foul by J. Meeks (drawn by A. Price),,77-59,,
0:01.0,,,77-60,1,A. Price makes free throw 1 of 2
0:01.0,,,77-61,1,A. Price makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Meeks makes 3-pt shot from 27 ft (assist by D. Augustin),3,80-61,,
11:25.0,,,80-61,,J. Jones misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by J. Jerebko,,80-61,,
11:07.0,G. Monroe misses 2-pt shot from 5 ft (block by K. Love),,80-61,,
11:07.0,Offensive rebound by Team,,80-61,,
11:02.0,G. Monroe misses 2-pt shot from 8 ft,,80-61,,
10:59.0,,,80-61,,Defensive rebound by A. Price
10:54.0,,,80-61,,A. Price misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by J. Jerebko,,80-61,,
10:44.0,G. Monroe misses 2-pt shot from 1 ft,,80-61,,
10:42.0,Offensive rebound by G. Monroe,,80-61,,
10:40.0,G. Monroe makes 2-pt shot from 1 ft,2,82-61,,
10:22.0,,,82-63,2,S. Marion makes 2-pt shot at rim (assist by A. Price)
10:04.0,J. Meeks makes 2-pt shot from 6 ft (assist by J. Jerebko),2,84-63,,
9:48.0,,,84-63,,K. Love misses 2-pt shot from 21 ft
9:47.0,Defensive rebound by J. Meeks,,84-63,,
9:40.0,C. Butler makes 2-pt shot from 22 ft (assist by J. Meeks),2,86-63,,
9:24.0,,,86-63,,S. Marion misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by G. Monroe,,86-63,,
9:08.0,C. Butler makes 3-pt shot from 25 ft (assist by G. Monroe),3,89-63,,
8:57.0,Personal foul by C. Butler (drawn by J. Jones),,89-63,,
8:57.0,Official timeout,,89-63,,
8:57.0,,,89-63,,L. James enters the game for S. Marion
8:57.0,,,89-63,,M. Dellavedova enters the game for A. Price
8:57.0,,,89-63,,T. Thompson enters the game for J. Jones
8:40.0,,,89-63,,Turnover by L. James (lost ball)
8:27.0,C. Butler misses 2-pt shot from 17 ft,,89-63,,
8:26.0,,,89-63,,Defensive rebound by L. James
8:18.0,,,89-63,,Turnover by L. James (lost ball; steal by D. Augustin)
8:14.0,Shooting foul by T. Thompson (drawn by G. Monroe),,89-63,,
8:14.0,G. Monroe makes free throw 1 of 2,1,90-63,,
8:14.0,G. Monroe misses free throw 2 of 2,,90-63,,
8:13.0,,,90-63,,Defensive rebound by L. James
7:54.0,,,90-63,,M. Dellavedova misses 3-pt shot from 22 ft
7:53.0,,,90-63,,Offensive rebound by K. Love
7:53.0,,,90-63,,Shooting foul by C. Butler (drawn by K. Love)
7:53.0,,,90-63,,K. Love misses free throw 1 of 2
7:53.0,,,90-63,,Offensive rebound by Team
7:53.0,,,90-64,1,K. Love makes free throw 2 of 2
7:35.0,C. Butler misses 2-pt shot from 1 ft,,90-64,,
7:33.0,Offensive rebound by G. Monroe,,90-64,,
7:30.0,G. Monroe misses 2-pt shot from 3 ft,,90-64,,
7:29.0,,,90-64,,Defensive rebound by L. James
7:27.0,,,90-64,,Shooting foul by C. Butler (drawn by L. James)
7:27.0,,,90-65,1,L. James makes free throw 1 of 2
7:27.0,,,90-65,,J. Harris enters the game for D. Waiters
7:27.0,,,90-65,,J. Jones enters the game for K. Love
7:27.0,,,90-66,1,L. James makes free throw 2 of 2
7:15.0,J. Meeks makes 3-pt shot from 25 ft (assist by D. Augustin),3,93-66,,
7:03.0,,,93-66,,L. James misses 2-pt shot from 7 ft (block by J. Jerebko)
7:01.0,,,93-66,,Offensive rebound by L. James
7:00.0,,,93-66,,Turnover by L. James (lost ball; steal by J. Meeks)
6:58.0,,,93-66,,Personal block foul by M. Dellavedova (drawn by J. Meeks)
6:49.0,G. Monroe misses 2-pt shot from 5 ft (block by J. Jones),,93-66,,
6:47.0,,,93-66,,Defensive rebound by T. Thompson
6:33.0,,,93-68,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
6:09.0,G. Monroe makes 2-pt shot at rim,2,95-68,,
5:53.0,,,95-71,3,L. James makes 3-pt shot from 25 ft (assist by M. Dellavedova)
5:34.0,Turnover by C. Butler (lost ball),,95-71,,
5:34.0,,,95-71,,Cleveland full timeout
5:34.0,B. Jennings enters the game for D. Augustin,,95-71,,
5:34.0,K. Singler enters the game for C. Butler,,95-71,,
5:34.0,,,95-71,,A. Price enters the game for L. James
5:14.0,,,95-71,,A. Price misses 3-pt shot from 23 ft
5:14.0,Defensive rebound by Team,,95-71,,
5:14.0,,,95-71,,Personal foul by T. Thompson (drawn by G. Monroe)
4:53.0,K. Singler misses 3-pt shot from 24 ft,,95-71,,
4:52.0,,,95-71,,Defensive rebound by T. Thompson
4:42.0,,,95-73,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
4:20.0,Shooting foul by J. Jones (drawn by G. Monroe),,95-73,,
4:20.0,G. Monroe makes free throw 1 of 2,1,96-73,,
4:20.0,,,96-73,,B. Haywood enters the game for T. Thompson
4:20.0,G. Monroe misses free throw 2 of 2,,96-73,,
4:20.0,,,96-73,,Defensive rebound by B. Haywood
4:07.0,,,96-73,,Turnover by B. Haywood (lost ball; steal by G. Monroe)
3:43.0,J. Jerebko misses 2-pt shot from 9 ft,,96-73,,
3:41.0,,,96-73,,Defensive rebound by B. Haywood
3:28.0,,,96-73,,A. Price misses 2-pt shot from 14 ft
3:28.0,,,96-73,,Offensive rebound by Team
3:28.0,Loose ball foul by K. Singler (drawn by B. Haywood),,96-73,,
3:28.0,A. Drummond enters the game for G. Monroe,,96-73,,
3:28.0,,,96-73,,L. Amundson enters the game for M. Dellavedova
3:17.0,,,96-73,,J. Harris misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by J. Jerebko,,96-73,,
3:01.0,B. Jennings misses 2-pt shot from 11 ft,,96-73,,
3:00.0,Offensive rebound by A. Drummond,,96-73,,
2:59.0,A. Drummond makes 2-pt shot at rim,2,98-73,,
2:36.0,,,98-75,2,B. Haywood makes 2-pt shot from 4 ft (assist by J. Jones)
2:21.0,B. Jennings misses 2-pt shot from 2 ft,,98-75,,
2:21.0,,,98-75,,Defensive rebound by Team
2:21.0,Loose ball foul by A. Drummond (drawn by B. Haywood),,98-75,,
2:21.0,Detroit full timeout,,98-75,,
2:21.0,,,98-75,,B. Haywood misses free throw 1 of 2
2:21.0,,,98-75,,Offensive rebound by Team
2:21.0,,,98-76,1,B. Haywood makes free throw 2 of 2
2:04.0,J. Meeks misses 2-pt shot from 14 ft,,98-76,,
2:01.0,,,98-76,,Defensive rebound by A. Price
1:49.0,,,98-78,2,B. Haywood makes 2-pt shot from 6 ft (assist by A. Price)
1:36.0,Turnover by B. Jennings (lost ball; steal by A. Price),,98-78,,
1:26.0,,,98-80,2,B. Haywood makes 2-pt shot from 8 ft (assist by L. Amundson)
1:08.0,J. Jerebko misses 2-pt shot from 16 ft,,98-80,,
