time,LA Clippers,pts.away,score,pts.home,Phoenix
3:45.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,86-57,,
3:19.0,,,86-59,2,P. Tucker makes 2-pt shot from 20 ft
3:03.0,H. Turkoglu enters the game for J. Redick,,86-59,,
3:03.0,L. Hudson enters the game for C. Paul,,86-59,,
3:03.0,,,86-59,,G. Green enters the game for M. Morris
3:03.0,,,86-59,,E. Barron enters the game for A. Goodwin
2:53.0,B. Griffin misses 2-pt shot from 16 ft,,86-59,,
2:52.0,Offensive rebound by Team,,86-59,,
2:52.0,Turnover by Team (shot clock),,86-59,,
2:52.0,LA Clippers full timeout,,86-59,,
2:40.0,,,86-59,,Turnover by P. Tucker (step out of bounds)
2:25.0,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin),3,89-59,,
2:07.0,,,89-59,,Turnover by G. Green (bad pass)
1:52.0,Turnover by D. Jordan (bad pass; steal by E. Barron),,89-59,,
1:45.0,,,89-62,3,G. Green makes 3-pt shot from 25 ft (assist by E. Bledsoe)
1:30.0,J. Crawford misses 3-pt shot from 24 ft,,89-62,,
1:30.0,Offensive rebound by Team,,89-62,,
1:30.0,,,89-62,,Loose ball foul by E. Barron (drawn by D. Jordan)
1:30.0,G. Davis enters the game for D. Jordan,,89-62,,
1:30.0,S. Hawes enters the game for B. Griffin,,89-62,,
1:19.0,S. Hawes misses 3-pt shot from 25 ft,,89-62,,
1:16.0,,,89-62,,Defensive rebound by P. Tucker
1:08.0,,,89-62,,E. Barron misses 2-pt shot from 3 ft (block by S. Hawes)
1:06.0,,,89-62,,Offensive rebound by E. Barron
1:03.0,,,89-65,3,G. Green makes 3-pt shot from 23 ft (assist by E. Barron)
0:46.0,S. Hawes makes 2-pt shot from 5 ft,2,91-65,,
0:32.0,,,91-67,2,E. Bledsoe makes 2-pt shot from 14 ft
0:12.0,Turnover by G. Davis (lost ball; steal by P. Tucker),,91-67,,
0:05.0,,,91-70,3,E. Barron makes 3-pt shot from 23 ft (assist by T. Warren)
0:00.0,J. Crawford misses 3-pt shot from 44 ft,,91-70,,
0:00.0,Offensive rebound by Team,,91-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,G. Davis misses 2-pt shot from 4 ft (block by E. Barron),,91-70,,
11:42.0,,,91-70,,Defensive rebound by G. Green
11:29.0,,,91-73,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
11:13.0,J. Crawford misses 2-pt shot from 19 ft,,91-73,,
11:11.0,,,91-73,,Defensive rebound by P. Tucker
11:07.0,,,91-73,,G. Green misses 3-pt shot from 25 ft
11:04.0,,,91-73,,Offensive rebound by P. Tucker
10:55.0,,,91-75,2,G. Green makes 2-pt shot from 20 ft
10:39.0,L. Hudson makes 3-pt shot from 24 ft,3,94-75,,
10:21.0,,,94-75,,T. Warren misses 2-pt shot from 12 ft
10:19.0,Defensive rebound by H. Turkoglu,,94-75,,
10:13.0,J. Crawford misses 3-pt shot from 24 ft,,94-75,,
10:10.0,,,94-75,,Defensive rebound by P. Tucker
10:06.0,,,94-77,2,P. Tucker makes 2-pt shot at rim (assist by E. Bledsoe)
9:35.0,H. Turkoglu misses 3-pt shot from 27 ft,,94-77,,
9:33.0,,,94-77,,Defensive rebound by E. Bledsoe
9:28.0,,,94-77,,E. Bledsoe misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by S. Hawes,,94-77,,
9:21.0,,,94-77,,Shooting block foul by T. Warren (drawn by H. Turkoglu)
