time,Washington,pts.away,score,pts.home,Orlando
2:26.0,,,22-19,2,D. Dedmon makes 2-pt shot at rim
2:20.0,Washington full timeout,,22-19,,
2:20.0,N. Hilario enters the game for K. Humphries,,22-19,,
2:20.0,,,22-19,,A. Nicholson enters the game for C. Frye
2:20.0,,,22-19,,B. Gordon enters the game for V. Oladipo
2:06.0,B. Beal makes 2-pt shot from 1 ft,2,24-19,,
1:52.0,,,24-19,,T. Harris misses 2-pt shot from 14 ft
1:51.0,Defensive rebound by N. Hilario,,24-19,,
1:44.0,J. Wall misses 2-pt shot at rim,,24-19,,
1:43.0,,,24-19,,Defensive rebound by D. Dedmon
1:34.0,,,24-19,,A. Nicholson misses 2-pt shot from 20 ft
1:30.0,Defensive rebound by B. Beal,,24-19,,
1:24.0,Turnover by N. Hilario (traveling),,24-19,,
1:24.0,A. Miller enters the game for J. Wall,,24-19,,
1:05.0,,,24-21,2,T. Harris makes 2-pt shot from 8 ft
0:51.0,Shooting foul by E. Payton (drawn by A. Miller),,24-21,,
0:51.0,A. Miller misses free throw 1 of 2,,24-21,,
0:51.0,Offensive rebound by Team,,24-21,,
0:51.0,,,24-21,,W. Green enters the game for T. Harris
0:51.0,O. Porter enters the game for B. Beal,,24-21,,
0:51.0,A. Miller makes free throw 2 of 2,1,25-21,,
0:39.0,,,25-21,,Turnover by E. Payton (bad pass; steal by A. Miller)
0:29.0,,,25-21,,Personal foul by B. Gordon (drawn by O. Porter)
0:29.0,O. Porter misses free throw 1 of 2,,25-21,,
0:29.0,Offensive rebound by Team,,25-21,,
0:29.0,O. Porter makes free throw 2 of 2,1,26-21,,
0:11.0,Personal take foul by A. Miller (drawn by E. Payton),,26-21,,
0:01.0,,,26-21,,E. Payton misses 2-pt shot from 9 ft
0:00.0,Defensive rebound by O. Porter,,26-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,26-21,,B. Gordon misses 2-pt shot from 20 ft
11:45.0,Defensive rebound by K. Seraphin,,26-21,,
11:32.0,N. Hilario makes 2-pt shot from 17 ft (assist by R. Butler),2,28-21,,
11:18.0,Personal foul by K. Seraphin (drawn by D. Dedmon),,28-21,,
11:10.0,,,28-21,,K. O'Quinn misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by N. Hilario,,28-21,,
10:51.0,N. Hilario misses 2-pt shot from 18 ft,,28-21,,
10:50.0,,,28-21,,Defensive rebound by E. Payton
10:43.0,,,28-21,,Shooting foul by N. Hilario (drawn by D. Dedmon)
10:43.0,,,28-22,1,D. Dedmon makes free throw 1 of 2
10:43.0,,,28-23,1,D. Dedmon makes free throw 2 of 2
10:32.0,,,28-23,,Personal foul by K. O'Quinn (drawn by K. Seraphin)
10:24.0,K. Seraphin makes 2-pt shot from 10 ft (assist by A. Miller),2,30-23,,
9:56.0,,,30-23,,K. O'Quinn misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by N. Hilario,,30-23,,
9:34.0,K. Seraphin makes 2-pt shot from 6 ft (assist by N. Hilario),2,32-23,,
9:27.0,,,32-23,,Orlando full timeout
9:21.0,,,32-23,,B. Gordon misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by N. Hilario,,32-23,,
9:13.0,K. Seraphin misses 2-pt shot at rim,,32-23,,
9:11.0,Offensive rebound by R. Butler,,32-23,,
9:07.0,R. Butler misses 2-pt shot from 14 ft,,32-23,,
9:07.0,,,32-23,,Defensive rebound by D. Dedmon
8:58.0,,,32-25,2,E. Payton makes 2-pt shot from 1 ft
8:40.0,K. Seraphin misses 2-pt shot from 1 ft (block by D. Dedmon),,32-25,,
8:39.0,,,32-25,,Defensive rebound by D. Dedmon
8:28.0,,,32-25,,K. O'Quinn misses 2-pt shot from 17 ft
8:27.0,Defensive rebound by K. Seraphin,,32-25,,
8:19.0,Turnover by A. Miller (bad pass; steal by K. O'Quinn),,32-25,,
8:10.0,,,32-25,,W. Green misses 2-pt shot from 3 ft
8:09.0,,,32-25,,Offensive rebound by E. Payton
8:09.0,,,32-27,2,E. Payton makes 2-pt shot at rim
7:52.0,O. Porter makes 2-pt shot from 1 ft (assist by A. Miller),2,34-27,,
7:36.0,,,34-29,2,E. Payton makes 2-pt shot from 8 ft
7:16.0,,,34-29,,Personal foul by D. Dedmon (drawn by N. Hilario)
7:16.0,,,34-29,,C. Frye enters the game for D. Dedmon
7:16.0,,,34-29,,T. Harris enters the game for K. O'Quinn
7:03.0,K. Seraphin makes 2-pt shot from 8 ft,2,36-29,,
6:51.0,,,36-31,2,E. Payton makes 2-pt shot at rim
6:27.0,N. Hilario makes 2-pt shot from 1 ft,2,38-31,,
6:05.0,,,38-31,,E. Payton misses 2-pt shot from 2 ft
6:04.0,,,38-31,,Offensive rebound by W. Green
6:04.0,,,38-33,2,W. Green makes 2-pt shot at rim
5:51.0,O. Porter misses 2-pt shot from 20 ft,,38-33,,
5:50.0,,,38-33,,Defensive rebound by B. Gordon
5:42.0,,,38-35,2,B. Gordon makes 2-pt shot from 2 ft
5:34.0,Washington full timeout,,38-35,,
5:34.0,J. Wall enters the game for A. Miller,,38-35,,
5:34.0,B. Beal enters the game for O. Porter,,38-35,,
5:16.0,Turnover by Team (shot clock),,38-35,,
5:16.0,K. Humphries enters the game for K. Seraphin,,38-35,,
4:58.0,,,38-35,,B. Gordon misses 3-pt shot from 23 ft
4:57.0,,,38-35,,Offensive rebound by C. Frye
4:54.0,,,38-35,,B. Gordon misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by N. Hilario,,38-35,,
4:43.0,Turnover by K. Humphries (bad pass; steal by W. Green),,38-35,,
4:32.0,,,38-35,,B. Gordon misses 2-pt shot from 4 ft
4:31.0,Defensive rebound by R. Butler,,38-35,,
4:25.0,P. Pierce enters the game for R. Butler,,38-35,,
4:25.0,,,38-35,,E. Fournier enters the game for B. Gordon
4:25.0,,,38-35,,V. Oladipo enters the game for W. Green
4:10.0,P. Pierce misses 2-pt shot from 17 ft,,38-35,,
4:08.0,Offensive rebound by P. Pierce,,38-35,,
3:48.0,J. Wall makes 2-pt shot from 20 ft (assist by P. Pierce),2,40-35,,
3:32.0,M. Gortat enters the game for N. Hilario,,40-35,,
3:32.0,,,40-35,,K. O'Quinn enters the game for E. Payton
3:18.0,,,40-38,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Fournier)
2:59.0,Turnover by J. Wall (bad pass; steal by V. Oladipo),,40-38,,
2:53.0,,,40-40,2,T. Harris makes 2-pt shot at rim (assist by K. O'Quinn)
2:45.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,43-40,,
2:35.0,Personal foul by K. Humphries (drawn by C. Frye),,43-40,,
2:35.0,Official timeout,,43-40,,
2:19.0,,,43-40,,V. Oladipo misses 2-pt shot from 1 ft
2:18.0,Defensive rebound by J. Wall,,43-40,,
2:05.0,Turnover by J. Wall (bad pass; steal by T. Harris),,43-40,,
1:49.0,,,43-40,,V. Oladipo misses 2-pt shot from 9 ft
1:48.0,Defensive rebound by P. Pierce,,43-40,,
1:40.0,J. Wall makes 2-pt shot from 19 ft,2,45-40,,
1:31.0,,,45-40,,Orlando full timeout
1:19.0,,,45-42,2,T. Harris makes 2-pt shot from 20 ft
0:58.0,P. Pierce misses 2-pt shot from 11 ft,,45-42,,
0:57.0,,,45-42,,Defensive rebound by V. Oladipo
0:44.0,Personal foul by J. Wall (drawn by T. Harris),,45-42,,
0:44.0,R. Butler enters the game for K. Humphries,,45-42,,
0:34.0,,,45-44,2,C. Frye makes 2-pt shot from 19 ft
0:09.0,P. Pierce misses 3-pt shot from 24 ft,,45-44,,
0:08.0,Offensive rebound by R. Butler,,45-44,,
0:03.0,,,45-44,,Personal foul by E. Fournier (drawn by J. Wall)
0:03.0,Washington full timeout,,45-44,,
0:03.0,,,45-44,,W. Green enters the game for C. Frye
0:00.0,J. Wall misses 2-pt shot from 20 ft,,45-44,,
0:00.0,Offensive rebound by Team,,45-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,45-44,,T. Harris misses 2-pt shot from 18 ft
11:35.0,Defensive rebound by M. Gortat,,45-44,,
11:16.0,B. Beal misses 2-pt shot from 14 ft,,45-44,,
11:16.0,,,45-44,,Defensive rebound by V. Oladipo
11:07.0,,,45-47,3,T. Harris makes 3-pt shot from 24 ft (assist by V. Oladipo)
10:45.0,K. Humphries makes 2-pt shot from 19 ft (assist by J. Wall),2,47-47,,
10:25.0,,,47-50,3,V. Oladipo makes 3-pt shot from 26 ft
10:10.0,K. Humphries misses 2-pt shot at rim (block by C. Frye),,47-50,,
10:10.0,Offensive rebound by Team,,47-50,,
10:04.0,Shooting foul by K. O'Quinn (drawn by K. Humphries),,47-50,,
10:04.0,K. Humphries misses free throw 1 of 2,,47-50,,
10:04.0,Offensive rebound by Team,,47-50,,
10:04.0,K. Humphries makes free throw 2 of 2,1,48-50,,
9:40.0,,,48-50,,V. Oladipo misses 3-pt shot from 27 ft
9:40.0,,,48-50,,Offensive rebound by Team
9:40.0,,,48-50,,Turnover by Team (shot clock)
9:24.0,P. Pierce makes 2-pt shot from 1 ft,2,50-50,,
8:55.0,,,50-52,2,K. O'Quinn makes 2-pt shot from 2 ft
8:24.0,J. Wall misses 2-pt shot from 16 ft,,50-52,,
8:23.0,,,50-52,,Defensive rebound by T. Harris
8:15.0,,,50-55,3,C. Frye makes 3-pt shot from 25 ft (assist by V. Oladipo)
7:55.0,K. Humphries misses 2-pt shot from 10 ft,,50-55,,
7:55.0,,,50-55,,Defensive rebound by V. Oladipo
7:48.0,,,50-55,,Shooting foul by M. Gortat (drawn by V. Oladipo)
7:48.0,Technical foul by M. Gortat (drawn by V. Oladipo),,50-55,,
7:48.0,,,50-55,,T. Harris misses technical free throw
7:48.0,,,50-55,,Offensive rebound by Team
7:48.0,,,50-56,1,V. Oladipo makes free throw 1 of 2
7:48.0,,,50-56,,D. Dedmon enters the game for K. O'Quinn
7:48.0,,,50-57,1,V. Oladipo makes free throw 2 of 2
7:32.0,M. Gortat makes 2-pt shot from 14 ft (assist by P. Pierce),2,52-57,,
7:14.0,,,52-59,2,V. Oladipo makes 2-pt shot from 19 ft
6:52.0,K. Humphries makes 2-pt shot from 10 ft (assist by B. Beal),2,54-59,,
6:36.0,,,54-61,2,V. Oladipo makes 2-pt shot at rim
6:17.0,J. Wall makes 3-pt shot from 23 ft (assist by P. Pierce),3,57-61,,
6:03.0,,,57-63,2,E. Fournier makes 2-pt shot from 21 ft
5:56.0,,,57-63,,Personal foul by E. Fournier (drawn by J. Wall)
5:56.0,,,57-63,,Orlando full timeout
5:40.0,K. Humphries misses 2-pt shot from 6 ft,,57-63,,
5:40.0,,,57-63,,Defensive rebound by D. Dedmon
5:22.0,,,57-63,,Turnover by V. Oladipo (lost ball; steal by K. Humphries)
5:18.0,J. Wall makes 2-pt shot at rim (assist by K. Humphries),2,59-63,,
4:56.0,,,59-63,,V. Oladipo misses 2-pt shot from 12 ft
4:55.0,Defensive rebound by P. Pierce,,59-63,,
4:37.0,M. Gortat makes 2-pt shot from 19 ft (assist by J. Wall),2,61-63,,
4:20.0,,,61-63,,Offensive charge foul by T. Harris
4:20.0,,,61-63,,Turnover by T. Harris (offensive foul)
4:20.0,,,61-63,,K. O'Quinn enters the game for C. Frye
4:20.0,,,61-63,,E. Payton enters the game for V. Oladipo
4:01.0,K. Humphries misses 2-pt shot from 16 ft,,61-63,,
4:00.0,,,61-63,,Defensive rebound by E. Payton
3:50.0,,,61-65,2,T. Harris makes 2-pt shot at rim (assist by K. O'Quinn)
3:31.0,M. Gortat misses 2-pt shot from 2 ft (block by K. O'Quinn),,61-65,,
3:30.0,,,61-65,,Defensive rebound by T. Harris
3:12.0,,,61-65,,K. O'Quinn misses 2-pt shot from 14 ft (block by M. Gortat)
3:11.0,Defensive rebound by J. Wall,,61-65,,
3:06.0,B. Beal misses 3-pt shot from 23 ft,,61-65,,
3:05.0,,,61-65,,Defensive rebound by E. Payton
2:58.0,Washington full timeout,,61-65,,
2:58.0,R. Butler enters the game for P. Pierce,,61-65,,
2:58.0,N. Hilario enters the game for K. Humphries,,61-65,,
2:58.0,,,61-65,,B. Gordon enters the game for E. Fournier
2:44.0,,,61-65,,K. O'Quinn misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by J. Wall,,61-65,,
2:25.0,B. Beal misses 3-pt shot from 25 ft,,61-65,,
2:25.0,,,61-65,,Defensive rebound by K. O'Quinn
2:00.0,,,61-67,2,E. Payton makes 2-pt shot from 4 ft
1:41.0,N. Hilario makes 2-pt shot from 15 ft (assist by J. Wall),2,63-67,,
1:29.0,Personal foul by J. Wall (drawn by E. Payton),,63-67,,
1:29.0,,,63-67,,W. Green enters the game for T. Harris
1:29.0,O. Porter enters the game for B. Beal,,63-67,,
1:21.0,,,63-70,3,K. O'Quinn makes 3-pt shot from 25 ft (assist by W. Green)
1:02.0,M. Gortat misses 2-pt shot from 10 ft (block by D. Dedmon),,63-70,,
1:01.0,,,63-70,,Defensive rebound by K. O'Quinn
0:58.0,,,63-72,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
0:45.0,N. Hilario makes 2-pt shot from 17 ft (assist by J. Wall),2,65-72,,
0:29.0,,,65-74,2,W. Green makes 2-pt shot from 17 ft (assist by E. Payton)
0:06.0,J. Wall makes 2-pt shot from 15 ft,2,67-74,,
0:00.0,,,67-74,,Shooting foul by J. Wall (drawn by W. Green)
0:00.0,,,67-74,,W. Green misses free throw 1 of 2
0:00.0,,,67-74,,Offensive rebound by Team
0:00.0,K. Seraphin enters the game for M. Gortat,,67-74,,
0:00.0,,,67-75,1,W. Green makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,R. Butler makes 2-pt shot from 16 ft,2,69-75,,
11:24.0,,,69-75,,E. Payton misses 2-pt shot from 2 ft (block by N. Hilario)
11:24.0,,,69-75,,Offensive rebound by Team
11:17.0,,,69-75,,Shooting foul by K. Seraphin (drawn by K. O'Quinn)
11:17.0,,,69-75,,K. O'Quinn misses free throw 1 of 2
11:17.0,,,69-75,,Offensive rebound by Team
11:17.0,,,69-76,1,K. O'Quinn makes free throw 2 of 2
10:58.0,K. Seraphin misses 2-pt shot from 18 ft,,69-76,,
10:56.0,Offensive rebound by O. Porter,,69-76,,
10:56.0,O. Porter makes 2-pt shot from 2 ft,2,71-76,,
10:32.0,,,71-76,,K. O'Quinn misses 2-pt shot from 4 ft
10:30.0,Defensive rebound by O. Porter,,71-76,,
10:19.0,K. Seraphin makes 2-pt shot from 7 ft,2,73-76,,
10:03.0,Personal foul by A. Miller (drawn by B. Gordon),,73-76,,
9:47.0,,,73-76,,W. Green misses 2-pt shot from 8 ft
9:46.0,Defensive rebound by A. Miller,,73-76,,
9:33.0,N. Hilario misses 2-pt shot from 16 ft,,73-76,,
9:32.0,,,73-76,,Defensive rebound by E. Payton
9:21.0,Personal foul by N. Hilario (drawn by B. Gordon),,73-76,,
9:21.0,,,73-76,,C. Frye enters the game for D. Dedmon
9:15.0,,,73-78,2,B. Gordon makes 2-pt shot from 18 ft
8:54.0,K. Seraphin misses 2-pt shot from 15 ft,,73-78,,
8:54.0,,,73-78,,Defensive rebound by E. Payton
8:47.0,,,73-81,3,W. Green makes 3-pt shot from 22 ft (assist by E. Payton)
8:47.0,Washington full timeout,,73-81,,
8:31.0,R. Butler misses 2-pt shot from 19 ft,,73-81,,
8:29.0,,,73-81,,Defensive rebound by B. Gordon
8:21.0,,,73-81,,B. Gordon misses 2-pt shot from 2 ft
8:20.0,,,73-81,,Offensive rebound by K. O'Quinn
8:19.0,,,73-81,,K. O'Quinn misses 2-pt shot from 3 ft
8:18.0,Defensive rebound by K. Seraphin,,73-81,,
8:11.0,R. Butler misses 3-pt shot from 25 ft,,73-81,,
8:10.0,,,73-81,,Defensive rebound by W. Green
7:51.0,,,73-81,,B. Gordon misses 2-pt shot from 21 ft
7:51.0,Defensive rebound by O. Porter,,73-81,,
7:37.0,N. Hilario makes 2-pt shot from 19 ft (assist by K. Seraphin),2,75-81,,
7:10.0,,,75-81,,K. O'Quinn misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by N. Hilario,,75-81,,
6:44.0,R. Butler misses 3-pt shot from 25 ft,,75-81,,
6:44.0,,,75-81,,Defensive rebound by B. Gordon
6:40.0,,,75-81,,E. Payton misses 2-pt shot from 1 ft (block by R. Butler)
6:40.0,,,75-81,,Offensive rebound by Team
6:40.0,J. Wall enters the game for A. Miller,,75-81,,
6:40.0,P. Pierce enters the game for O. Porter,,75-81,,
6:40.0,B. Beal enters the game for K. Seraphin,,75-81,,
6:40.0,,,75-81,,T. Harris enters the game for K. O'Quinn
6:40.0,,,75-81,,V. Oladipo enters the game for B. Gordon
6:26.0,,,75-83,2,V. Oladipo makes 2-pt shot from 14 ft
6:11.0,P. Pierce misses 3-pt shot from 24 ft,,75-83,,
6:10.0,,,75-83,,Defensive rebound by V. Oladipo
5:50.0,,,75-83,,V. Oladipo misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by J. Wall,,75-83,,
5:31.0,N. Hilario makes 2-pt shot at rim,2,77-83,,
5:07.0,,,77-83,,Turnover by V. Oladipo (lost ball; steal by J. Wall)
5:03.0,J. Wall makes 2-pt shot at rim,2,79-83,,
5:03.0,,,79-83,,Orlando full timeout
5:03.0,K. Humphries enters the game for N. Hilario,,79-83,,
4:41.0,,,79-83,,E. Payton misses 2-pt shot from 15 ft
4:41.0,Defensive rebound by R. Butler,,79-83,,
4:23.0,J. Wall misses 2-pt shot from 17 ft,,79-83,,
4:23.0,,,79-83,,Defensive rebound by T. Harris
4:00.0,,,79-85,2,V. Oladipo makes 2-pt shot at rim
3:44.0,B. Beal misses 2-pt shot from 13 ft,,79-85,,
3:44.0,,,79-85,,Defensive rebound by T. Harris
3:35.0,,,79-85,,Turnover by V. Oladipo (bad pass; steal by K. Humphries)
3:35.0,,,79-85,,Personal foul by C. Frye (drawn by P. Pierce)
3:20.0,P. Pierce misses 2-pt shot from 2 ft (block by C. Frye),,79-85,,
3:18.0,Offensive rebound by K. Humphries,,79-85,,
3:18.0,K. Humphries misses 2-pt shot from 1 ft,,79-85,,
3:17.0,,,79-85,,Defensive rebound by T. Harris
2:55.0,,,79-85,,T. Harris misses 2-pt shot from 13 ft
2:55.0,Defensive rebound by J. Wall,,79-85,,
2:48.0,R. Butler makes 3-pt shot from 25 ft (assist by J. Wall),3,82-85,,
2:46.0,,,82-85,,Orlando full timeout
2:46.0,Official timeout,,82-85,,
2:23.0,,,82-85,,E. Payton misses 3-pt shot from 26 ft
2:23.0,Defensive rebound by B. Beal,,82-85,,
2:18.0,Turnover by B. Beal (step out of bounds),,82-85,,
2:05.0,,,82-87,2,E. Payton makes 2-pt shot at rim
1:51.0,J. Wall makes 2-pt shot from 1 ft,2,84-87,,
1:38.0,,,84-87,,C. Frye misses 3-pt shot from 26 ft
1:38.0,,,84-87,,Offensive rebound by T. Harris
1:38.0,,,84-89,2,T. Harris makes 2-pt shot at rim
1:21.0,P. Pierce misses 3-pt shot from 22 ft,,84-89,,
1:21.0,,,84-89,,Defensive rebound by W. Green
1:21.0,Personal foul by J. Wall (drawn by W. Green),,84-89,,
1:02.0,,,84-89,,E. Payton misses 2-pt shot from 4 ft
1:02.0,Defensive rebound by K. Humphries,,84-89,,
0:56.0,J. Wall makes 2-pt shot from 1 ft,2,86-89,,
0:56.0,Shooting foul by E. Payton (drawn by J. Wall),,86-89,,
0:56.0,J. Wall misses free throw 1 of 1,,86-89,,
0:55.0,Offensive rebound by P. Pierce,,86-89,,
0:41.0,Turnover by P. Pierce (lost ball; steal by E. Payton),,86-89,,
0:37.0,,,86-89,,Offensive charge foul by T. Harris
0:37.0,,,86-89,,Turnover by T. Harris (offensive foul)
0:37.0,Washington full timeout,,86-89,,
0:32.0,J. Wall makes 2-pt shot from 8 ft,2,88-89,,
0:32.0,,,88-89,,Orlando full timeout
0:16.0,,,88-89,,V. Oladipo misses 2-pt shot from 2 ft
0:16.0,Defensive rebound by Team,,88-89,,
0:16.0,,,88-89,,Loose ball foul by W. Green (drawn by R. Butler)
0:16.0,R. Butler misses free throw 1 of 2,,88-89,,
0:16.0,Offensive rebound by Team,,88-89,,
0:16.0,,,88-89,,D. Dedmon enters the game for W. Green
0:16.0,,,88-89,,K. O'Quinn enters the game for C. Frye
0:16.0,R. Butler makes free throw 2 of 2,1,89-89,,
0:16.0,,,89-89,,Orlando full timeout
0:16.0,,,89-89,,W. Green enters the game for K. O'Quinn
0:16.0,,,89-89,,C. Frye enters the game for D. Dedmon
0:01.0,,,89-89,,V. Oladipo misses 2-pt shot from 22 ft
0:01.0,Defensive rebound by K. Humphries,,89-89,,
0:01.0,Washington full timeout,,89-89,,
0:01.0,A. Miller enters the game for K. Humphries,,89-89,,
0:01.0,,,89-89,,D. Dedmon enters the game for C. Frye
0:00.0,B. Beal makes 2-pt shot from 1 ft (assist by A. Miller),2,91-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
