time,Sacramento,pts.away,score,pts.home,Philadelphia
8:34.0,Defensive rebound by D. Cousins,,31-33,,
8:26.0,D. Cousins makes 2-pt shot from 2 ft (assist by A. Miller),2,33-33,,
8:26.0,Shooting foul by F. Aldemir (drawn by D. Cousins),,33-33,,
8:26.0,,,33-33,,R. Covington enters the game for J. Grant
8:26.0,D. Cousins misses free throw 1 of 1,,33-33,,
8:22.0,,,33-33,,Defensive rebound by T. Robinson
8:10.0,,,33-33,,R. Covington misses 3-pt shot from 29 ft
8:08.0,Defensive rebound by D. Cousins,,33-33,,
8:06.0,Shooting foul by I. Smith (drawn by D. Williams),,33-33,,
8:06.0,D. Williams makes free throw 1 of 2,1,34-33,,
8:06.0,D. Williams misses free throw 2 of 2,,34-33,,
8:04.0,Offensive rebound by D. Cousins,,34-33,,
8:03.0,D. Cousins makes 2-pt shot at rim,2,36-33,,
7:49.0,,,36-33,,R. Covington misses 2-pt shot from 5 ft (block by J. Thompson)
7:47.0,Defensive rebound by J. Thompson,,36-33,,
7:42.0,Shooting foul by F. Aldemir (drawn by D. Cousins),,36-33,,
7:42.0,D. Cousins makes free throw 1 of 2,1,37-33,,
7:42.0,,,37-33,,L. Mbah a Moute enters the game for F. Aldemir
7:42.0,D. Cousins misses free throw 2 of 2,,37-33,,
7:39.0,,,37-33,,Defensive rebound by T. Robinson
7:29.0,,,37-33,,H. Thompson misses 3-pt shot from 23 ft
7:29.0,,,37-33,,Offensive rebound by Team
7:29.0,Loose ball foul by J. Thompson (drawn by T. Robinson),,37-33,,
7:16.0,,,37-36,3,R. Covington makes 3-pt shot from 23 ft (assist by H. Thompson)
6:56.0,D. Cousins misses 2-pt shot from 1 ft,,37-36,,
6:52.0,Offensive rebound by D. Cousins,,37-36,,
6:52.0,D. Cousins misses 2-pt shot at rim (block by T. Robinson),,37-36,,
6:50.0,,,37-36,,Defensive rebound by T. Robinson
6:48.0,,,37-38,2,L. Mbah a Moute makes 2-pt shot at rim (assist by I. Smith)
6:34.0,A. Miller makes 2-pt shot from 3 ft,2,39-38,,
6:28.0,Personal foul by A. Miller (drawn by I. Smith),,39-38,,
6:19.0,,,39-38,,R. Covington misses 3-pt shot from 27 ft
6:17.0,Defensive rebound by D. Cousins,,39-38,,
6:07.0,R. Gay makes 2-pt shot at rim (assist by A. Miller),2,41-38,,
5:44.0,,,41-38,,T. Robinson misses 2-pt shot from 2 ft
5:42.0,,,41-38,,Offensive rebound by T. Robinson
5:35.0,,,41-38,,H. Thompson misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by A. Miller,,41-38,,
5:29.0,Shooting foul by H. Thompson (drawn by J. Thompson),,41-38,,
5:29.0,Official timeout,,41-38,,
5:29.0,,,41-38,,I. Canaan enters the game for H. Thompson
5:29.0,,,41-38,,J. Sampson enters the game for I. Smith
5:29.0,,,41-38,,N. Noel enters the game for T. Robinson
5:29.0,J. Thompson makes free throw 1 of 2,1,42-38,,
5:29.0,J. Thompson makes free throw 2 of 2,1,43-38,,
5:14.0,,,43-41,3,R. Covington makes 3-pt shot from 23 ft (assist by J. Sampson)
4:51.0,Shooting foul by R. Covington (drawn by R. Gay),,43-41,,
4:51.0,R. Gay makes free throw 1 of 2,1,44-41,,
4:51.0,B. McLemore enters the game for D. Williams,,44-41,,
4:51.0,R. Gay makes free throw 2 of 2,1,45-41,,
4:42.0,,,45-41,,I. Canaan misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by D. Cousins,,45-41,,
4:34.0,A. Miller misses 2-pt shot from 3 ft,,45-41,,
4:31.0,,,45-41,,Defensive rebound by J. Sampson
4:28.0,,,45-41,,R. Covington misses 3-pt shot from 23 ft
4:25.0,Defensive rebound by J. Thompson,,45-41,,
4:20.0,R. Gay makes 2-pt shot from 2 ft (assist by J. Thompson),2,47-41,,
4:15.0,R. McCallum enters the game for A. Miller,,47-41,,
4:02.0,,,47-43,2,N. Noel makes 2-pt shot at rim (assist by J. Sampson)
3:47.0,J. Thompson makes 2-pt shot at rim (assist by D. Cousins),2,49-43,,
3:47.0,Technical foul by J. Thompson,,49-43,,
3:47.0,,,49-43,,R. Covington misses technical free throw
3:47.0,,,49-43,,Offensive rebound by Team
3:36.0,,,49-43,,L. Mbah a Moute misses 3-pt shot from 26 ft
3:34.0,,,49-43,,Offensive rebound by N. Noel
3:34.0,,,49-45,2,N. Noel makes 2-pt shot from 1 ft
3:16.0,Turnover by R. Gay (lost ball; steal by R. Covington),,49-45,,
3:10.0,,,49-47,2,J. Sampson makes 2-pt shot at rim (assist by R. Covington)
2:52.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. McCallum),2,51-47,,
2:40.0,,,51-47,,L. Mbah a Moute misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by D. Cousins,,51-47,,
2:30.0,,,51-47,,Violation by R. Covington (kicked ball)
2:30.0,Sacramento full timeout,,51-47,,
2:30.0,D. Williams enters the game for J. Thompson,,51-47,,
2:21.0,R. Gay makes 2-pt shot from 6 ft (assist by R. McCallum),2,53-47,,
2:12.0,,,53-49,2,N. Noel makes 2-pt shot from 4 ft (assist by I. Canaan)
1:55.0,D. Cousins makes 2-pt shot from 17 ft,2,55-49,,
1:40.0,,,55-49,,Turnover by R. Covington (lost ball; steal by B. McLemore)
1:36.0,B. McLemore makes 2-pt shot at rim (assist by R. Gay),2,57-49,,
1:35.0,Violation by Team (jump ball),,57-49,,
1:23.0,,,57-49,,Turnover by L. Mbah a Moute (bad pass; steal by R. Gay)
1:20.0,,,57-49,,Personal foul by J. Sampson (drawn by R. Gay)
1:20.0,R. Gay misses free throw 1 of 2,,57-49,,
