time,Oklahoma City,pts.away,score,pts.home,Philadelphia
7:25.0,,,9-7,,Shooting foul by A. Roberson (drawn by K. McDaniels)
7:25.0,,,9-7,,K. McDaniels misses free throw 1 of 2
7:25.0,,,9-7,,Offensive rebound by Team
7:25.0,,,9-8,1,K. McDaniels makes free throw 2 of 2
7:21.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,11-8,,
7:12.0,Personal foul by S. Adams (drawn by H. Sims),,11-8,,
7:12.0,,,11-8,,B. Davies enters the game for H. Sims
7:02.0,,,11-8,,N. Noel misses 2-pt shot from 19 ft
7:00.0,Defensive rebound by K. Durant,,11-8,,
6:54.0,Jump ball: N. Noel vs. R. Westbrook (S. Adams gains possession),,,,Jump ball: N. Noel vs. R. Westbrook (S. Adams gains possession)
6:42.0,R. Westbrook makes 2-pt shot from 17 ft,2,13-8,,
6:28.0,,,13-10,2,M. Carter-Williams makes 2-pt shot from 16 ft
6:06.0,S. Adams makes 2-pt shot from 2 ft,2,15-10,,
5:54.0,,,15-10,,Shooting foul by S. Adams (drawn by B. Davies)
5:54.0,K. Perkins enters the game for S. Adams,,15-10,,
5:54.0,,,15-11,1,B. Davies makes free throw 1 of 2
5:54.0,A. Morrow enters the game for A. Roberson,,15-11,,
5:54.0,,,15-11,,B. Davies misses free throw 2 of 2
5:53.0,,,15-11,,Offensive rebound by Team
5:44.0,,,15-11,,N. Noel misses 2-pt shot from 7 ft (block by K. Durant)
5:42.0,,,15-11,,Offensive rebound by B. Davies
5:37.0,,,15-11,,L. Mbah a Moute misses 2-pt shot from 14 ft
5:36.0,Defensive rebound by K. Durant,,15-11,,
5:25.0,R. Westbrook makes 2-pt shot from 1 ft,2,17-11,,
5:16.0,,,17-11,,Offensive foul by B. Davies
5:16.0,,,17-11,,Turnover by B. Davies (offensive foul)
5:05.0,A. Morrow misses 3-pt shot from 25 ft,,17-11,,
5:02.0,Offensive rebound by A. Morrow,,17-11,,
4:59.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Durant),3,20-11,,
4:45.0,,,20-11,,Shooting foul by K. Perkins (drawn by N. Noel)
4:45.0,,,20-11,,N. Noel misses free throw 1 of 2
4:45.0,,,20-11,,Offensive rebound by Team
4:45.0,R. Jackson enters the game for K. Durant,,20-11,,
4:45.0,,,20-11,,R. Covington enters the game for L. Mbah a Moute
4:45.0,,,20-12,1,N. Noel makes free throw 2 of 2
4:29.0,K. Perkins misses 2-pt shot from 3 ft,,20-12,,
4:28.0,,,20-12,,Defensive rebound by K. McDaniels
4:19.0,,,20-12,,M. Carter-Williams misses 3-pt shot from 27 ft
4:17.0,,,20-12,,Offensive rebound by N. Noel
4:05.0,,,20-12,,J. Grant enters the game for N. Noel
4:05.0,N. Collison enters the game for S. Ibaka,,20-12,,
3:54.0,,,20-12,,B. Davies misses 2-pt shot from 13 ft (block by K. Perkins)
3:52.0,,,20-12,,Offensive rebound by R. Covington
3:52.0,,,20-14,2,R. Covington makes 2-pt shot from 1 ft
3:44.0,Shooting foul by M. Carter-Williams (drawn by R. Westbrook),,20-14,,
3:44.0,R. Westbrook makes free throw 1 of 2,1,21-14,,
3:44.0,R. Westbrook makes free throw 2 of 2,1,22-14,,
3:34.0,,,22-14,,R. Covington misses 2-pt shot from 3 ft
3:33.0,,,22-14,,Offensive rebound by R. Covington
3:33.0,,,22-14,,Shooting foul by A. Morrow (drawn by R. Covington)
3:33.0,,,22-15,1,R. Covington makes free throw 1 of 2
3:33.0,,,22-15,,J. Sampson enters the game for M. Carter-Williams
3:33.0,,,22-16,1,R. Covington makes free throw 2 of 2
3:17.0,R. Westbrook makes 2-pt shot from 18 ft,2,24-16,,
2:57.0,,,24-19,3,R. Covington makes 3-pt shot from 22 ft (assist by J. Sampson)
2:47.0,Oklahoma City full timeout,,24-19,,
2:47.0,J. Lamb enters the game for R. Westbrook,,24-19,,
2:43.0,A. Morrow misses 2-pt shot from 15 ft,,24-19,,
2:41.0,Offensive rebound by N. Collison,,24-19,,
2:39.0,R. Jackson misses 3-pt shot from 25 ft,,24-19,,
2:38.0,,,24-19,,Defensive rebound by Team
2:25.0,,,24-21,2,J. Sampson makes 2-pt shot at rim
2:13.0,N. Collison makes 2-pt shot from 2 ft (assist by A. Morrow),2,26-21,,
2:13.0,Shooting foul by B. Davies (drawn by N. Collison),,26-21,,
2:13.0,,,26-21,,N. Noel enters the game for B. Davies
2:13.0,N. Collison makes free throw 1 of 1,1,27-21,,
2:00.0,,,27-21,,N. Noel misses 2-pt shot from 11 ft
1:57.0,,,27-21,,Offensive rebound by K. McDaniels
1:57.0,,,27-21,,K. McDaniels misses 2-pt shot at rim (block by K. Perkins)
1:56.0,,,27-21,,Offensive rebound by J. Sampson
1:56.0,,,27-21,,Shooting foul by N. Collison (drawn by J. Sampson)
1:56.0,,,27-22,1,J. Sampson makes free throw 1 of 2
1:56.0,,,27-22,,J. Sampson misses free throw 2 of 2
1:55.0,Defensive rebound by N. Collison,,27-22,,
1:40.0,N. Collison misses 3-pt shot from 26 ft,,27-22,,
1:38.0,,,27-22,,Defensive rebound by R. Covington
1:26.0,,,27-22,,J. Grant misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by R. Jackson,,27-22,,
1:19.0,A. Morrow misses 3-pt shot from 25 ft,,27-22,,
1:15.0,,,27-22,,Defensive rebound by R. Covington
1:06.0,Shooting block foul by N. Collison (drawn by K. McDaniels),,27-22,,
1:06.0,,,27-23,1,K. McDaniels makes free throw 1 of 2
1:06.0,,,27-24,1,K. McDaniels makes free throw 2 of 2
0:57.0,R. Jackson makes 2-pt shot at rim,2,29-24,,
0:40.0,,,29-24,,Turnover by N. Noel (bad pass; steal by N. Collison)
0:24.0,,,29-24,,Personal foul by J. Grant (drawn by R. Jackson)
0:14.0,J. Lamb makes 2-pt shot from 21 ft (assist by K. Perkins),2,31-24,,
0:03.0,,,31-24,,J. Sampson misses 2-pt shot from 12 ft
0:01.0,,,31-24,,Offensive rebound by J. Grant
0:00.0,,,31-24,,J. Sampson misses 3-pt shot from 26 ft
0:00.0,,,31-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by R. Jackson (drawn by J. Grant),,31-24,,
11:37.0,,,31-24,,J. Grant misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by K. Perkins,,31-24,,
11:16.0,R. Jackson misses 2-pt shot from 7 ft,,31-24,,
11:14.0,,,31-24,,Defensive rebound by J. Grant
11:08.0,,,31-24,,M. Carter-Williams misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by K. Perkins,,31-24,,
10:53.0,A. Morrow makes 3-pt shot from 24 ft (assist by R. Jackson),3,34-24,,
10:35.0,,,34-24,,M. Carter-Williams misses 2-pt shot from 17 ft
10:33.0,Defensive rebound by K. Perkins,,34-24,,
10:20.0,A. Morrow makes 2-pt shot from 9 ft (assist by N. Collison),2,36-24,,
10:20.0,,,36-24,,Philadelphia full timeout
10:20.0,,,36-24,,L. Mbah a Moute enters the game for R. Covington
10:20.0,,,36-24,,H. Thompson enters the game for J. Grant
10:20.0,,,36-24,,H. Sims enters the game for J. Sampson
10:02.0,,,36-24,,Turnover by M. Carter-Williams (bad pass; steal by R. Jackson)
9:58.0,A. Morrow misses 3-pt shot from 27 ft,,36-24,,
9:55.0,,,36-24,,Defensive rebound by M. Carter-Williams
9:49.0,,,36-24,,H. Sims misses 2-pt shot from 5 ft (block by N. Collison)
9:47.0,Defensive rebound by N. Collison,,36-24,,
9:37.0,R. Jackson misses 2-pt shot from 18 ft,,36-24,,
9:35.0,Offensive rebound by Team,,36-24,,
9:31.0,J. Lamb makes 3-pt shot from 26 ft (assist by A. Morrow),3,39-24,,
9:14.0,,,39-26,2,H. Sims makes 2-pt shot at rim (assist by M. Carter-Williams)
9:14.0,,,39-26,,Shooting foul by K. Perkins (drawn by H. Sims)
9:14.0,,,39-26,,H. Sims misses free throw 1 of 1
9:13.0,Defensive rebound by K. Perkins,,39-26,,
8:50.0,R. Jackson makes 3-pt shot from 25 ft (assist by A. Morrow),3,42-26,,
8:30.0,,,42-28,2,H. Sims makes 2-pt shot from 15 ft (assist by N. Noel)
8:12.0,R. Jackson makes 2-pt shot at rim (assist by K. Perkins),2,44-28,,
8:00.0,,,44-28,,K. McDaniels enters the game for N. Noel
8:00.0,K. Durant enters the game for N. Collison,,44-28,,
7:48.0,,,44-28,,M. Carter-Williams misses 2-pt shot from 18 ft
7:46.0,,,44-28,,Offensive rebound by L. Mbah a Moute
7:36.0,,,44-30,2,M. Carter-Williams makes 2-pt shot from 19 ft (assist by K. McDaniels)
7:10.0,S. Ibaka enters the game for K. Perkins,,44-30,,
7:10.0,R. Westbrook enters the game for J. Lamb,,44-30,,
7:09.0,R. Westbrook misses 3-pt shot from 49 ft,,44-30,,
7:09.0,Offensive rebound by Team,,44-30,,
7:09.0,Turnover by Team (shot clock),,44-30,,
6:54.0,,,44-30,,Shooting foul by K. Durant (drawn by M. Carter-Williams)
6:54.0,,,44-30,,M. Carter-Williams misses free throw 1 of 2
6:54.0,,,44-30,,Offensive rebound by Team
6:54.0,,,44-31,1,M. Carter-Williams makes free throw 2 of 2
6:42.0,Turnover by K. Durant (bad pass; steal by M. Carter-Williams),,44-31,,
6:37.0,,,44-31,,Shooting foul by A. Morrow (drawn by L. Mbah a Moute)
6:37.0,,,44-32,1,L. Mbah a Moute makes free throw 1 of 2
6:37.0,Technical foul by R. Westbrook,,44-32,,
6:37.0,,,44-33,1,H. Sims makes technical free throw
6:37.0,,,44-33,,L. Mbah a Moute misses free throw 2 of 2
6:36.0,Defensive rebound by S. Ibaka,,44-33,,
6:30.0,,,44-33,,Personal foul by H. Thompson (drawn by R. Jackson)
6:12.0,A. Morrow misses 3-pt shot from 23 ft,,44-33,,
6:10.0,,,44-33,,Defensive rebound by M. Carter-Williams
6:02.0,,,44-33,,Shooting foul by A. Morrow (drawn by K. McDaniels)
6:02.0,,,44-33,,K. McDaniels misses free throw 1 of 2
6:02.0,,,44-33,,Offensive rebound by Team
6:02.0,J. Lamb enters the game for A. Morrow,,44-33,,
6:02.0,,,44-34,1,K. McDaniels makes free throw 2 of 2
5:50.0,K. Durant misses 3-pt shot from 25 ft,,44-34,,
5:49.0,,,44-34,,Defensive rebound by M. Carter-Williams
5:43.0,,,44-37,3,H. Thompson makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
5:35.0,Oklahoma City full timeout,,44-37,,
5:35.0,A. Roberson enters the game for R. Jackson,,44-37,,
5:28.0,Turnover by R. Westbrook (bad pass; steal by H. Thompson),,44-37,,
5:20.0,,,44-37,,M. Carter-Williams misses 2-pt shot from 5 ft
5:20.0,,,44-37,,Offensive rebound by Team
5:08.0,,,44-37,,Turnover by M. Carter-Williams (lost ball; steal by R. Westbrook)
5:03.0,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Ibaka),2,46-37,,
4:46.0,,,46-37,,H. Sims misses 2-pt shot from 18 ft
4:45.0,Defensive rebound by K. Durant,,46-37,,
4:36.0,Shooting foul by H. Thompson (drawn by S. Ibaka),,46-37,,
4:36.0,S. Ibaka makes free throw 1 of 2,1,47-37,,
4:36.0,S. Ibaka makes free throw 2 of 2,1,48-37,,
4:23.0,,,48-37,,H. Thompson misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by R. Westbrook,,48-37,,
4:17.0,,,48-37,,R. Covington enters the game for H. Thompson
4:14.0,J. Lamb makes 2-pt shot from 15 ft (assist by A. Roberson),2,50-37,,
3:52.0,,,50-40,3,K. McDaniels makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
3:36.0,S. Ibaka misses 2-pt shot from 6 ft (block by M. Carter-Williams),,50-40,,
3:34.0,,,50-40,,Defensive rebound by K. McDaniels
3:23.0,,,50-40,,K. McDaniels misses 3-pt shot from 26 ft
3:22.0,Defensive rebound by Team,,50-40,,
3:07.0,K. Durant misses 2-pt shot from 19 ft,,50-40,,
3:05.0,Offensive rebound by Team,,50-40,,
2:52.0,R. Westbrook makes 2-pt shot from 14 ft (assist by K. Durant),2,52-40,,
2:39.0,,,52-40,,R. Covington misses 3-pt shot from 25 ft
2:35.0,,,52-40,,Offensive rebound by H. Sims
2:32.0,,,52-40,,Turnover by H. Sims (bad pass)
2:32.0,Official timeout,,52-40,,
2:32.0,,,52-40,,N. Noel enters the game for L. Mbah a Moute
2:32.0,,,52-40,,J. Grant enters the game for H. Sims
2:28.0,Shooting foul by J. Grant (drawn by K. Durant),,52-40,,
2:28.0,K. Durant makes free throw 1 of 2,1,53-40,,
2:28.0,K. Durant makes free throw 2 of 2,1,54-40,,
2:09.0,,,54-40,,K. McDaniels misses 2-pt shot from 1 ft
2:07.0,,,54-40,,Offensive rebound by N. Noel
2:07.0,,,54-40,,N. Noel misses 2-pt shot from 1 ft (block by S. Ibaka)
2:03.0,,,54-40,,Offensive rebound by J. Grant
2:03.0,,,54-40,,J. Grant misses 2-pt shot from 2 ft (block by S. Ibaka)
2:03.0,,,54-40,,Offensive rebound by Team
2:03.0,,,54-40,,Turnover by Team (shot clock)
1:49.0,Turnover by R. Westbrook (bad pass; steal by K. McDaniels),,54-40,,
1:39.0,,,54-42,2,M. Carter-Williams makes 2-pt shot from 2 ft
1:27.0,Turnover by S. Ibaka (bad pass; steal by J. Grant),,54-42,,
1:21.0,,,54-45,3,R. Covington makes 3-pt shot from 27 ft (assist by M. Carter-Williams)
1:03.0,Turnover by J. Lamb (lost ball; steal by M. Carter-Williams),,54-45,,
0:59.0,,,54-47,2,K. McDaniels makes 2-pt shot at rim (assist by M. Carter-Williams)
0:56.0,Oklahoma City full timeout,,54-47,,
0:56.0,P. Jones enters the game for S. Ibaka,,54-47,,
0:56.0,S. Adams enters the game for J. Lamb,,54-47,,
0:51.0,R. Westbrook makes 2-pt shot at rim,2,56-47,,
0:45.0,,,56-47,,Philadelphia full timeout
0:41.0,,,56-47,,M. Carter-Williams misses 2-pt shot from 13 ft
0:39.0,Defensive rebound by R. Westbrook,,56-47,,
0:38.0,,,56-47,,Personal foul by M. Carter-Williams (drawn by R. Westbrook)
0:38.0,,,56-47,,J. Sampson enters the game for M. Carter-Williams
0:32.0,R. Westbrook misses 2-pt shot from 16 ft,,56-47,,
0:31.0,Offensive rebound by A. Roberson,,56-47,,
0:28.0,,,56-47,,Shooting block foul by N. Noel (drawn by R. Westbrook)
0:28.0,R. Westbrook misses free throw 1 of 2,,56-47,,
0:28.0,Offensive rebound by Team,,56-47,,
0:28.0,,,56-47,,M. Carter-Williams enters the game for J. Sampson
0:28.0,,,56-47,,H. Thompson enters the game for J. Grant
0:28.0,R. Westbrook misses free throw 2 of 2,,56-47,,
0:28.0,Offensive rebound by Team,,56-47,,
0:28.0,,,56-47,,Loose ball foul by R. Covington (drawn by S. Adams)
0:28.0,S. Adams misses free throw 1 of 2,,56-47,,
0:28.0,Offensive rebound by Team,,56-47,,
0:28.0,S. Adams makes free throw 2 of 2,1,57-47,,
0:04.0,,,57-47,,Turnover by Team (shot clock)
0:04.0,,,57-47,,J. Sampson enters the game for M. Carter-Williams
0:01.0,R. Westbrook misses 2-pt shot from 1 ft,,57-47,,
0:00.0,,,57-47,,Defensive rebound by J. Sampson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,57-47,,H. Sims misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by R. Westbrook,,57-47,,
11:26.0,Turnover by S. Adams (lost ball; steal by L. Mbah a Moute),,57-47,,
11:07.0,,,57-47,,Turnover by H. Sims (traveling)
10:56.0,K. Durant makes 2-pt shot from 19 ft (assist by S. Adams),2,59-47,,
10:36.0,,,59-50,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
10:20.0,Shooting foul by N. Noel (drawn by K. Durant),,59-50,,
10:20.0,K. Durant makes free throw 1 of 2,1,60-50,,
10:20.0,K. Durant misses free throw 2 of 2,,60-50,,
10:19.0,,,60-50,,Defensive rebound by N. Noel
10:10.0,,,60-50,,M. Carter-Williams misses 2-pt shot at rim
10:08.0,,,60-50,,Offensive rebound by H. Thompson
10:05.0,,,60-50,,H. Thompson misses 2-pt shot from 1 ft
10:05.0,Defensive rebound by A. Roberson,,60-50,,
10:01.0,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson),2,62-50,,
9:42.0,Personal foul by R. Westbrook (drawn by M. Carter-Williams),,62-50,,
9:40.0,Personal foul by S. Ibaka (drawn by H. Thompson),,62-50,,
9:30.0,,,62-50,,Turnover by M. Carter-Williams (bad pass; steal by R. Westbrook)
9:26.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,64-50,,
9:05.0,,,64-50,,L. Mbah a Moute misses 2-pt shot from 3 ft (block by S. Adams)
9:03.0,Defensive rebound by A. Roberson,,64-50,,
8:56.0,R. Westbrook makes 3-pt shot from 26 ft,3,67-50,,
8:54.0,,,67-50,,Philadelphia full timeout
8:36.0,,,67-50,,L. Mbah a Moute misses 2-pt shot from 18 ft
8:34.0,Defensive rebound by R. Westbrook,,67-50,,
8:18.0,S. Ibaka makes 3-pt shot from 24 ft (assist by A. Roberson),3,70-50,,
7:57.0,,,70-53,3,M. Carter-Williams makes 3-pt shot from 26 ft (assist by H. Sims)
7:41.0,Turnover by K. Durant (bad pass),,70-53,,
7:41.0,,,70-53,,K. McDaniels enters the game for H. Sims
7:33.0,,,70-53,,Offensive foul by N. Noel
7:33.0,,,70-53,,Turnover by N. Noel (offensive foul)
7:16.0,K. Durant misses 2-pt shot from 14 ft,,70-53,,
7:15.0,,,70-53,,Defensive rebound by N. Noel
7:05.0,,,70-53,,L. Mbah a Moute misses 2-pt shot from 2 ft
7:03.0,Defensive rebound by K. Durant,,70-53,,
7:00.0,Shooting foul by K. McDaniels (drawn by R. Westbrook),,70-53,,
7:00.0,R. Westbrook makes free throw 1 of 2,1,71-53,,
7:00.0,R. Westbrook makes free throw 2 of 2,1,72-53,,
6:51.0,,,72-53,,M. Carter-Williams misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by A. Roberson,,72-53,,
6:46.0,Turnover by R. Westbrook (bad pass; steal by H. Thompson),,72-53,,
6:29.0,,,72-55,2,N. Noel makes 2-pt shot from 13 ft (assist by M. Carter-Williams)
6:16.0,K. Durant misses 2-pt shot from 17 ft,,72-55,,
6:14.0,,,72-55,,Defensive rebound by H. Thompson
6:09.0,Personal foul by S. Adams (drawn by N. Noel),,72-55,,
6:02.0,,,72-57,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
5:50.0,,,72-57,,Personal foul by M. Carter-Williams (drawn by S. Adams)
5:50.0,,,72-57,,J. Grant enters the game for L. Mbah a Moute
5:50.0,K. Perkins enters the game for S. Adams,,72-57,,
5:50.0,R. Jackson enters the game for A. Roberson,,72-57,,
5:49.0,Turnover by R. Westbrook (bad pass; steal by N. Noel),,72-57,,
5:47.0,,,72-58,1,N. Noel makes flagrant free throw 1 of 2
5:47.0,,,72-59,1,N. Noel makes flagrant free throw 2 of 2
5:47.0,,,72-59,,R. Covington enters the game for H. Thompson
5:37.0,,,72-59,,R. Covington misses 2-pt shot from 4 ft
5:36.0,Defensive rebound by K. Perkins,,72-59,,
5:21.0,K. Durant misses 2-pt shot from 4 ft,,72-59,,
5:20.0,,,72-59,,Defensive rebound by N. Noel
5:13.0,,,72-59,,R. Covington misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by K. Perkins,,72-59,,
4:51.0,R. Westbrook misses 3-pt shot from 27 ft,,72-59,,
4:51.0,,,72-59,,Defensive rebound by Team
4:51.0,J. Lamb enters the game for K. Durant,,72-59,,
4:44.0,Personal foul by R. Westbrook (drawn by M. Carter-Williams),,72-59,,
4:44.0,,,72-60,1,M. Carter-Williams makes free throw 1 of 2
4:44.0,,,72-60,,M. Carter-Williams misses free throw 2 of 2
4:43.0,,,72-60,,Offensive rebound by N. Noel
4:38.0,,,72-60,,K. McDaniels misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by R. Westbrook,,72-60,,
4:18.0,K. Perkins misses 2-pt shot from 3 ft,,72-60,,
4:16.0,,,72-60,,Defensive rebound by M. Carter-Williams
4:10.0,,,72-60,,K. McDaniels misses 3-pt shot from 23 ft
4:08.0,Defensive rebound by K. Perkins,,72-60,,
3:56.0,Shooting foul by J. Grant (drawn by R. Westbrook),,72-60,,
3:56.0,R. Westbrook makes free throw 1 of 2,1,73-60,,
3:56.0,R. Westbrook makes free throw 2 of 2,1,74-60,,
3:41.0,,,74-62,2,J. Grant makes 2-pt shot from 1 ft (assist by K. McDaniels)
3:22.0,,,74-62,,Personal foul by N. Noel (drawn by R. Westbrook)
3:22.0,R. Westbrook makes free throw 1 of 2,1,75-62,,
3:22.0,,,75-62,,H. Sims enters the game for N. Noel
3:22.0,R. Westbrook makes free throw 2 of 2,1,76-62,,
3:06.0,A. Morrow enters the game for R. Westbrook,,76-62,,
3:03.0,,,76-64,2,H. Sims makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
3:00.0,Oklahoma City full timeout,,76-64,,
2:50.0,R. Jackson makes 2-pt shot from 8 ft,2,78-64,,
2:32.0,,,78-64,,M. Carter-Williams misses 2-pt shot from 9 ft
2:29.0,Defensive rebound by K. Perkins,,78-64,,
2:26.0,Shooting foul by J. Grant (drawn by S. Ibaka),,78-64,,
2:26.0,S. Ibaka makes free throw 1 of 2,1,79-64,,
2:26.0,S. Ibaka makes free throw 2 of 2,1,80-64,,
2:15.0,,,80-64,,Turnover by R. Covington (lost ball)
2:15.0,,,80-64,,J. Sampson enters the game for M. Carter-Williams
1:56.0,S. Ibaka misses 2-pt shot from 3 ft,,80-64,,
1:55.0,,,80-64,,Defensive rebound by J. Sampson
1:39.0,,,80-64,,Offensive foul by K. McDaniels
1:39.0,,,80-64,,Turnover by K. McDaniels (offensive foul)
1:25.0,,,80-64,,Personal foul by J. Grant (drawn by S. Ibaka)
1:25.0,S. Ibaka makes free throw 1 of 2,1,81-64,,
1:25.0,,,81-64,,H. Thompson enters the game for J. Grant
1:25.0,S. Ibaka makes free throw 2 of 2,1,82-64,,
1:06.0,Personal foul by J. Lamb (drawn by H. Sims),,82-64,,
1:06.0,,,82-65,1,H. Sims makes free throw 1 of 2
1:06.0,,,82-65,,H. Sims misses free throw 2 of 2
1:06.0,,,82-65,,Offensive rebound by R. Covington
1:03.0,,,82-65,,R. Covington misses 3-pt shot from 22 ft
1:01.0,Defensive rebound by J. Lamb,,82-65,,
0:49.0,Turnover by K. Perkins (lost ball; steal by H. Thompson),,82-65,,
0:45.0,,,82-65,,Shooting foul by J. Lamb (drawn by H. Thompson)
0:45.0,,,82-66,1,H. Thompson makes free throw 1 of 2
0:45.0,,,82-67,1,H. Thompson makes free throw 2 of 2
0:37.0,A. Morrow misses 3-pt shot from 26 ft,,82-67,,
0:35.0,Offensive rebound by S. Ibaka,,82-67,,
0:29.0,R. Jackson misses 3-pt shot from 26 ft,,82-67,,
0:28.0,,,82-67,,Defensive rebound by Team
0:05.0,,,82-67,,H. Thompson misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by K. Perkins,,82-67,,
0:00.0,Turnover by K. Perkins (bad pass; steal by R. Covington),,82-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Morrow makes 2-pt shot from 17 ft (assist by R. Jackson),2,84-67,,
11:31.0,,,84-67,,Turnover by N. Noel (bad pass)
11:17.0,A. Morrow misses 2-pt shot from 13 ft,,84-67,,
11:15.0,,,84-67,,Defensive rebound by R. Covington
11:08.0,,,84-69,2,R. Covington makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
10:55.0,P. Jones misses 3-pt shot from 24 ft,,84-69,,
10:53.0,,,84-69,,Defensive rebound by M. Carter-Williams
10:40.0,,,84-71,2,K. McDaniels makes 2-pt shot from 2 ft (assist by R. Covington)
10:27.0,Shooting foul by M. Carter-Williams (drawn by R. Jackson),,84-71,,
10:27.0,R. Jackson makes free throw 1 of 2,1,85-71,,
10:27.0,R. Jackson makes free throw 2 of 2,1,86-71,,
10:12.0,,,86-71,,M. Carter-Williams misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by Team,,86-71,,
9:54.0,J. Lamb misses 2-pt shot from 16 ft,,86-71,,
9:52.0,,,86-71,,Defensive rebound by M. Carter-Williams
9:45.0,,,86-73,2,M. Carter-Williams makes 2-pt shot from 1 ft
9:34.0,Turnover by R. Jackson (lost ball; steal by M. Carter-Williams),,86-73,,
9:30.0,,,86-75,2,R. Covington makes 2-pt shot at rim (assist by H. Thompson)
9:28.0,Oklahoma City full timeout,,86-75,,
9:19.0,J. Lamb makes 2-pt shot at rim (assist by R. Jackson),2,88-75,,
9:17.0,Violation by Team (delay of game),,88-75,,
8:56.0,,,88-75,,Turnover by M. Carter-Williams (lost ball; steal by P. Jones)
8:31.0,A. Morrow misses 2-pt shot from 19 ft,,88-75,,
8:29.0,,,88-75,,Defensive rebound by K. McDaniels
8:20.0,,,88-75,,H. Thompson misses 3-pt shot from 25 ft
8:15.0,,,88-75,,Offensive rebound by N. Noel
8:15.0,,,88-75,,N. Noel misses 2-pt shot from 2 ft
8:15.0,,,88-75,,Offensive rebound by K. McDaniels
8:15.0,K. Durant enters the game for P. Jones,,88-75,,
8:01.0,,,88-75,,M. Carter-Williams misses 2-pt shot from 21 ft
7:59.0,,,88-75,,Offensive rebound by H. Thompson
