time,Detroit,pts.away,score,pts.home,Denver
3:41.0,Defensive rebound by D. Augustin,,38-35,,
3:39.0,,,38-35,,Personal foul by T. Mozgov (drawn by D. Augustin)
3:25.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,38-35,,
3:24.0,,,38-35,,Defensive rebound by D. Gallinari
3:21.0,Personal foul by A. Drummond (drawn by T. Mozgov),,38-35,,
3:14.0,,,38-35,,K. Faried misses 2-pt shot from 17 ft
3:12.0,Defensive rebound by A. Drummond,,38-35,,
3:05.0,D. Augustin misses 3-pt shot from 24 ft,,38-35,,
3:05.0,,,38-35,,Defensive rebound by Team
3:05.0,Personal foul by A. Drummond (drawn by T. Mozgov),,38-35,,
3:05.0,J. Anthony enters the game for A. Drummond,,38-35,,
2:50.0,,,38-37,2,T. Mozgov makes 2-pt shot at rim (assist by K. Faried)
2:41.0,,,38-37,,Personal foul by A. Afflalo (drawn by D. Augustin)
2:41.0,Detroit full timeout,,38-37,,
2:34.0,K. Caldwell-Pope misses 2-pt shot from 9 ft,,38-37,,
2:31.0,Offensive rebound by Team,,38-37,,
2:18.0,Offensive foul by J. Anthony,,38-37,,
2:18.0,Turnover by J. Anthony (offensive foul),,38-37,,
2:07.0,,,38-37,,Turnover by T. Mozgov (illegal assist)
1:55.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,38-37,,
1:53.0,,,38-37,,Defensive rebound by K. Faried
1:49.0,,,38-37,,A. Afflalo misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by J. Anthony,,38-37,,
1:41.0,K. Singler misses 3-pt shot from 24 ft,,38-37,,
1:39.0,Offensive rebound by K. Caldwell-Pope,,38-37,,
1:31.0,Turnover by D. Augustin (bad pass),,38-37,,
1:31.0,J. Jerebko enters the game for J. Smith,,38-37,,
1:13.0,Def 3 sec tech foul by J. Jerebko,,38-37,,
1:13.0,,,38-38,1,T. Mozgov makes technical free throw
1:00.0,,,38-40,2,K. Faried makes 2-pt shot from 18 ft
0:45.0,Turnover by K. Singler (offensive foul),,38-40,,
0:45.0,Offensive foul by K. Singler,,38-40,,
0:45.0,C. Butler enters the game for K. Singler,,38-40,,
0:31.0,,,38-40,,D. Gallinari misses 2-pt shot from 18 ft
0:29.0,Defensive rebound by K. Caldwell-Pope,,38-40,,
0:27.0,K. Caldwell-Pope makes 2-pt shot at rim,2,40-40,,
0:07.0,,,40-42,2,T. Lawson makes 2-pt shot from 17 ft
0:01.0,J. Jerebko misses 3-pt shot from 26 ft,,40-42,,
0:00.0,Offensive rebound by Team,,40-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,40-42,,D. Gallinari misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by B. Jennings,,40-42,,
11:33.0,A. Drummond misses 2-pt shot from 8 ft,,40-42,,
11:32.0,,,40-42,,Defensive rebound by T. Mozgov
11:19.0,,,40-42,,K. Faried misses 2-pt shot from 5 ft
11:17.0,Defensive rebound by B. Jennings,,40-42,,
10:59.0,A. Drummond misses 2-pt shot from 11 ft,,40-42,,
10:58.0,,,40-42,,Defensive rebound by K. Faried
10:58.0,Personal foul by J. Smith (drawn by K. Faried),,40-42,,
10:41.0,,,40-44,2,A. Afflalo makes 2-pt shot from 12 ft
10:23.0,J. Smith misses 2-pt shot from 1 ft,,40-44,,
10:22.0,Offensive rebound by A. Drummond,,40-44,,
10:20.0,A. Drummond misses 2-pt shot from 3 ft,,40-44,,
10:20.0,Offensive rebound by Team,,40-44,,
10:20.0,,,40-44,,Loose ball foul by T. Mozgov (drawn by J. Smith)
10:07.0,K. Singler makes 2-pt shot from 19 ft,2,42-44,,
9:53.0,,,42-44,,T. Mozgov misses 2-pt shot from 15 ft
9:52.0,Defensive rebound by J. Smith,,42-44,,
9:40.0,K. Singler misses 3-pt shot from 23 ft,,42-44,,
9:39.0,Offensive rebound by A. Drummond,,42-44,,
9:35.0,A. Drummond makes 2-pt shot at rim,2,44-44,,
9:27.0,,,44-44,,T. Lawson misses 2-pt shot from 2 ft
9:26.0,,,44-44,,Offensive rebound by K. Faried
9:26.0,,,44-46,2,K. Faried makes 2-pt shot at rim
9:04.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,44-46,,
9:02.0,,,44-46,,Defensive rebound by D. Gallinari
8:52.0,,,44-46,,D. Gallinari misses 2-pt shot from 4 ft
8:51.0,,,44-46,,Offensive rebound by T. Mozgov
8:45.0,,,44-46,,D. Gallinari misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by J. Smith,,44-46,,
8:36.0,J. Smith misses 3-pt shot from 24 ft,,44-46,,
8:35.0,,,44-46,,Defensive rebound by K. Faried
8:21.0,,,44-49,3,D. Gallinari makes 3-pt shot from 24 ft (assist by K. Faried)
8:21.0,Detroit full timeout,,44-49,,
8:06.0,A. Drummond makes 2-pt shot at rim (assist by J. Smith),2,46-49,,
7:51.0,,,46-49,,Shooting foul by A. Drummond (drawn by T. Mozgov)
7:51.0,,,46-50,1,T. Mozgov makes free throw 1 of 2
7:51.0,,,46-50,,T. Mozgov misses free throw 2 of 2
7:49.0,Defensive rebound by A. Drummond,,46-50,,
7:31.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by K. Singler),3,49-50,,
7:15.0,,,49-52,2,K. Faried makes 2-pt shot from 14 ft (assist by T. Lawson)
6:51.0,J. Smith makes 2-pt shot from 9 ft,2,51-52,,
6:42.0,,,51-52,,D. Gallinari misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by A. Drummond,,51-52,,
6:31.0,Shooting foul by K. Faried (drawn by J. Smith),,51-52,,
6:31.0,J. Smith makes free throw 1 of 2,1,52-52,,
6:31.0,J. Anthony enters the game for A. Drummond,,52-52,,
6:31.0,,,52-52,,W. Chandler enters the game for D. Gallinari
6:31.0,,,52-52,,J. Nurkic enters the game for T. Mozgov
6:31.0,J. Smith makes free throw 2 of 2,1,53-52,,
6:22.0,,,53-52,,Offensive foul by K. Faried
6:22.0,,,53-52,,Turnover by K. Faried (offensive foul)
6:22.0,,,53-52,,D. Arthur enters the game for K. Faried
6:05.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,53-52,,
6:03.0,,,53-52,,Defensive rebound by J. Nurkic
5:53.0,,,53-55,3,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Arthur)
5:37.0,,,53-55,,Personal block foul by D. Arthur (drawn by B. Jennings)
5:24.0,J. Smith misses 2-pt shot from 2 ft,,53-55,,
5:23.0,Offensive rebound by Team,,53-55,,
5:23.0,Turnover by Team (shot clock),,53-55,,
5:13.0,,,53-55,,D. Arthur misses 2-pt shot from 18 ft
5:11.0,Defensive rebound by K. Caldwell-Pope,,53-55,,
4:57.0,J. Smith makes 2-pt shot from 1 ft,2,55-55,,
4:57.0,Shooting foul by J. Nurkic (drawn by J. Smith),,55-55,,
4:57.0,J. Smith makes free throw 1 of 1,1,56-55,,
4:41.0,,,56-55,,W. Chandler misses 2-pt shot at rim
4:41.0,,,56-55,,Offensive rebound by Team
4:41.0,C. Butler enters the game for K. Caldwell-Pope,,56-55,,
4:39.0,,,56-55,,Turnover by J. Nurkic (offensive foul)
4:39.0,,,56-55,,Offensive foul by J. Nurkic
4:20.0,K. Singler makes 3-pt shot from 23 ft (assist by J. Smith),3,59-55,,
4:09.0,,,59-55,,J. Nurkic misses 2-pt shot from 2 ft
4:07.0,,,59-55,,Offensive rebound by J. Nurkic
4:06.0,,,59-57,2,J. Nurkic makes 2-pt shot at rim
3:49.0,Turnover by B. Jennings (bad pass; steal by W. Chandler),,59-57,,
3:49.0,Personal foul by C. Butler (drawn by W. Chandler),,59-57,,
3:38.0,,,59-60,3,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson)
3:10.0,C. Butler misses 3-pt shot from 23 ft,,59-60,,
3:08.0,Offensive rebound by J. Anthony,,59-60,,
2:52.0,Turnover by B. Jennings (lost ball; steal by W. Chandler),,59-60,,
2:46.0,,,59-62,2,A. Afflalo makes 2-pt shot from 20 ft (assist by T. Lawson)
2:27.0,B. Jennings misses 2-pt shot from 7 ft,,59-62,,
2:26.0,,,59-62,,Defensive rebound by J. Nurkic
2:23.0,,,59-62,,Shooting foul by C. Butler (drawn by W. Chandler)
2:23.0,,,59-62,,Denver full timeout
2:23.0,D. Augustin enters the game for B. Jennings,,59-62,,
2:23.0,,,59-63,1,W. Chandler makes free throw 1 of 2
2:23.0,,,59-64,1,W. Chandler makes free throw 2 of 2
2:05.0,J. Smith misses 2-pt shot from 1 ft,,59-64,,
2:04.0,,,59-64,,Defensive rebound by J. Nurkic
1:59.0,,,59-64,,Turnover by T. Lawson (offensive foul)
1:59.0,,,59-64,,Offensive foul by T. Lawson
1:43.0,J. Smith misses 2-pt shot from 20 ft,,59-64,,
1:42.0,,,59-64,,Defensive rebound by J. Nurkic
1:31.0,,,59-64,,T. Lawson misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by K. Singler,,59-64,,
1:20.0,,,59-64,,Personal foul by J. Nurkic (drawn by D. Augustin)
1:20.0,D. Augustin makes free throw 1 of 2,1,60-64,,
1:20.0,J. Jerebko enters the game for J. Smith,,60-64,,
1:20.0,D. Augustin makes free throw 2 of 2,1,61-64,,
1:08.0,,,61-64,,A. Afflalo misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by J. Anthony,,61-64,,
0:57.0,Turnover by K. Singler (bad pass; steal by A. Afflalo),,61-64,,
0:52.0,,,61-64,,A. Afflalo misses 2-pt shot from 3 ft (block by J. Anthony)
0:51.0,,,61-64,,Offensive rebound by Team
0:42.0,,,61-64,,Turnover by A. Afflalo (bad pass)
0:20.0,J. Jerebko makes 2-pt shot from 2 ft (assist by D. Augustin),2,63-64,,
0:02.0,,,63-64,,D. Arthur misses 2-pt shot from 18 ft
0:02.0,,,63-64,,Offensive rebound by Team
0:02.0,Loose ball foul by J. Anthony (drawn by J. Nurkic),,63-64,,
0:02.0,,,63-65,1,J. Nurkic makes free throw 1 of 2
0:02.0,,,63-65,,J. Nurkic misses free throw 2 of 2
0:01.0,Defensive rebound by C. Butler,,63-65,,
0:00.0,C. Butler misses 3-pt shot from 68 ft,,63-65,,
0:00.0,Offensive rebound by Team,,63-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:58.0,Turnover by D. Augustin (step out of bounds),,63-65,,
11:52.0,,,63-65,,D. Arthur misses 2-pt shot from 20 ft
11:50.0,Defensive rebound by C. Butler,,63-65,,
11:45.0,,,63-65,,Personal foul by A. Gee (drawn by D. Augustin)
11:25.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,63-65,,
11:23.0,,,63-65,,Defensive rebound by W. Chandler
11:17.0,,,63-65,,R. Foye misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by D. Augustin,,63-65,,
10:59.0,D. Augustin misses 3-pt shot from 25 ft,,63-65,,
10:57.0,,,63-65,,Defensive rebound by W. Chandler
10:54.0,Personal foul by J. Jerebko (drawn by J. McGee),,63-65,,
10:54.0,A. Drummond enters the game for J. Anthony,,63-65,,
10:47.0,,,63-65,,R. Foye misses 2-pt shot from 12 ft
10:46.0,Defensive rebound by A. Drummond,,63-65,,
10:38.0,D. Augustin makes 3-pt shot from 25 ft,3,66-65,,
10:21.0,,,66-65,,J. McGee misses 2-pt shot from 12 ft
10:19.0,,,66-65,,Offensive rebound by D. Arthur
10:11.0,,,66-65,,Turnover by R. Foye (bad pass; steal by A. Drummond)
10:04.0,Turnover by K. Caldwell-Pope (bad pass),,66-65,,
9:56.0,,,66-65,,Shooting foul by J. Jerebko (drawn by R. Foye)
9:56.0,,,66-66,1,R. Foye makes free throw 1 of 2
9:56.0,,,66-66,,A. Afflalo enters the game for D. Arthur
9:56.0,,,66-67,1,R. Foye makes free throw 2 of 2
9:35.0,J. Jerebko makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,68-67,,
9:16.0,,,68-70,3,R. Foye makes 3-pt shot from 24 ft (assist by W. Chandler)
8:56.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,68-70,,
8:55.0,,,68-70,,Defensive rebound by J. McGee
8:49.0,,,68-73,3,A. Gee makes 3-pt shot from 22 ft (assist by A. Afflalo)
8:48.0,Detroit full timeout,,68-73,,
8:48.0,J. Smith enters the game for J. Jerebko,,68-73,,
8:23.0,A. Drummond makes 2-pt shot from 1 ft,2,70-73,,
8:09.0,,,70-73,,R. Foye misses 2-pt shot from 15 ft
8:08.0,Defensive rebound by C. Butler,,70-73,,
7:56.0,J. Smith makes 2-pt shot from 7 ft,2,72-73,,
7:37.0,,,72-73,,W. Chandler misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by K. Caldwell-Pope,,72-73,,
7:27.0,,,72-73,,Violation by W. Chandler (kicked ball)
7:16.0,Turnover by D. Augustin (lost ball; steal by A. Gee),,72-73,,
7:13.0,,,72-73,,Shooting foul by K. Caldwell-Pope (drawn by W. Chandler)
7:13.0,,,72-74,1,W. Chandler makes free throw 1 of 2
7:13.0,,,72-74,,T. Mozgov enters the game for J. McGee
7:13.0,,,72-75,1,W. Chandler makes free throw 2 of 2
6:56.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,72-75,,
6:55.0,,,72-75,,Defensive rebound by T. Mozgov
6:45.0,,,72-75,,W. Chandler misses 2-pt shot from 17 ft
6:44.0,,,72-75,,Offensive rebound by Team
6:44.0,,,72-75,,T. Lawson enters the game for R. Foye
6:36.0,,,72-75,,A. Afflalo misses 2-pt shot from 9 ft
6:34.0,,,72-75,,Offensive rebound by T. Mozgov
6:34.0,,,72-77,2,T. Mozgov makes 2-pt shot at rim
6:19.0,Shooting foul by W. Chandler (drawn by J. Smith),,72-77,,
6:19.0,J. Smith misses free throw 1 of 2,,72-77,,
6:19.0,Offensive rebound by Team,,72-77,,
6:19.0,J. Smith makes free throw 2 of 2,1,73-77,,
6:04.0,,,73-77,,T. Mozgov misses 2-pt shot from 4 ft
6:03.0,,,73-77,,Offensive rebound by T. Mozgov
6:00.0,,,73-77,,T. Lawson misses 3-pt shot from 25 ft
6:00.0,,,73-77,,Offensive rebound by Team
6:00.0,Loose ball foul by A. Drummond (drawn by A. Gee),,73-77,,
6:00.0,,,73-77,,K. Faried enters the game for W. Chandler
5:48.0,,,73-79,2,K. Faried makes 2-pt shot from 17 ft
5:30.0,Official timeout,,73-79,,
5:25.0,A. Drummond makes 2-pt shot from 2 ft (assist by C. Butler),2,75-79,,
5:13.0,,,75-79,,T. Mozgov misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by D. Augustin,,75-79,,
4:59.0,J. Smith misses 2-pt shot from 16 ft,,75-79,,
4:57.0,Offensive rebound by A. Drummond,,75-79,,
4:52.0,C. Butler misses 2-pt shot from 17 ft,,75-79,,
