time,Portland,pts.away,score,pts.home,Memphis
1:41.0,D. Lillard misses 3-pt shot from 23 ft,,17-20,,
1:39.0,,,17-20,,Defensive rebound by B. Udrih
1:34.0,,,17-20,,J. Green misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by N. Batum,,17-20,,
1:27.0,N. Batum misses 3-pt shot from 26 ft,,17-20,,
1:25.0,,,17-20,,Defensive rebound by J. Green
1:22.0,,,17-20,,Offensive charge foul by J. Green
1:22.0,,,17-20,,Turnover by J. Green (offensive foul)
1:22.0,,,17-20,,V. Carter enters the game for Z. Randolph
1:09.0,Shooting foul by B. Udrih (drawn by C. McCollum),,17-20,,
1:09.0,C. McCollum misses free throw 1 of 2,,17-20,,
1:09.0,Offensive rebound by Team,,17-20,,
1:09.0,S. Blake enters the game for D. Lillard,,17-20,,
1:09.0,C. McCollum makes free throw 2 of 2,1,18-20,,
0:51.0,,,18-20,,M. Gasol misses 2-pt shot from 8 ft (block by R. Lopez)
0:49.0,Defensive rebound by R. Lopez,,18-20,,
0:32.0,C. McCollum makes 2-pt shot from 22 ft,2,20-20,,
0:13.0,,,20-20,,J. Green misses 2-pt shot from 17 ft
0:12.0,Defensive rebound by C. McCollum,,20-20,,
0:01.0,C. McCollum misses 2-pt shot from 20 ft,,20-20,,
0:00.0,Offensive rebound by Team,,20-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,S. Blake misses 3-pt shot from 26 ft,,20-20,,
11:42.0,,,20-20,,Defensive rebound by J. Green
11:27.0,,,20-20,,K. Koufos misses 2-pt shot from 8 ft
11:25.0,Defensive rebound by C. Kaman,,20-20,,
11:16.0,L. Aldridge misses 2-pt shot from 15 ft,,20-20,,
11:15.0,,,20-20,,Defensive rebound by K. Koufos
11:06.0,,,20-20,,Shooting foul by C. McCollum (drawn by B. Udrih)
11:06.0,,,20-21,1,B. Udrih makes free throw 1 of 2
11:06.0,,,20-22,1,B. Udrih makes free throw 2 of 2
10:46.0,L. Aldridge makes 2-pt shot from 1 ft,2,22-22,,
10:26.0,,,22-22,,V. Carter misses 2-pt shot from 18 ft
10:24.0,Defensive rebound by L. Aldridge,,22-22,,
10:17.0,S. Blake makes 2-pt shot from 16 ft,2,24-22,,
9:58.0,,,24-24,2,B. Udrih makes 2-pt shot from 19 ft
9:51.0,C. McCollum misses flagrant free throw 1 of 2,,24-24,,
9:51.0,Offensive rebound by Team,,24-24,,
9:51.0,,,24-24,,N. Calathes enters the game for B. Udrih
9:51.0,,,24-24,,Z. Randolph enters the game for J. Green
9:51.0,C. McCollum makes flagrant free throw 2 of 2,1,25-24,,
9:42.0,A. Afflalo misses 2-pt shot from 1 ft (block by V. Carter),,25-24,,
9:40.0,,,25-24,,Defensive rebound by N. Calathes
9:19.0,,,25-24,,Turnover by Team (shot clock)
9:00.0,C. McCollum makes 3-pt shot from 25 ft (assist by S. Blake),3,28-24,,
8:47.0,,,28-24,,Memphis full timeout
8:36.0,,,28-26,2,Z. Randolph makes 2-pt shot from 4 ft (assist by N. Calathes)
8:20.0,Turnover by C. Kaman (bad pass; steal by Z. Randolph),,28-26,,
8:06.0,,,28-26,,Z. Randolph misses 2-pt shot from 17 ft
8:06.0,,,28-26,,Offensive rebound by K. Koufos
7:53.0,,,28-26,,N. Calathes misses 2-pt shot from 1 ft
7:51.0,,,28-26,,Offensive rebound by K. Koufos
7:51.0,,,28-26,,K. Koufos misses 2-pt shot from 1 ft
7:50.0,,,28-26,,Offensive rebound by K. Koufos
7:45.0,,,28-26,,N. Calathes misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by C. Kaman,,28-26,,
7:34.0,S. Blake misses 2-pt shot from 21 ft,,28-26,,
7:32.0,,,28-26,,Defensive rebound by K. Koufos
7:18.0,,,28-28,2,V. Carter makes 2-pt shot from 2 ft
7:18.0,,,28-28,,Shooting foul by C. Kaman (drawn by V. Carter)
7:18.0,N. Batum enters the game for S. Blake,,28-28,,
7:18.0,D. Lillard enters the game for C. McCollum,,28-28,,
7:18.0,,,28-29,1,V. Carter makes free throw 1 of 1
6:59.0,L. Aldridge makes 2-pt shot from 11 ft,2,30-29,,
6:46.0,,,30-29,,V. Carter misses 3-pt shot from 26 ft
6:45.0,,,30-29,,Offensive rebound by K. Koufos
6:40.0,,,30-29,,N. Calathes misses 2-pt shot from 7 ft
6:37.0,Defensive rebound by L. Aldridge,,30-29,,
6:33.0,,,30-29,,Personal take foul by N. Calathes (drawn by D. Lillard)
6:33.0,M. Leonard enters the game for C. Kaman,,30-29,,
6:28.0,Turnover by D. Lillard (lost ball; steal by K. Koufos),,30-29,,
6:20.0,,,30-29,,V. Carter misses 3-pt shot from 26 ft
6:18.0,,,30-29,,Offensive rebound by V. Carter
6:15.0,,,30-31,2,T. Allen makes 2-pt shot from 1 ft (assist by V. Carter)
6:13.0,Portland full timeout,,30-31,,
6:13.0,,,30-31,,C. Lee enters the game for T. Allen
5:55.0,M. Leonard makes 3-pt shot from 25 ft (assist by N. Batum),3,33-31,,
5:29.0,,,33-31,,V. Carter misses 2-pt shot from 20 ft
5:28.0,Defensive rebound by N. Batum,,33-31,,
5:16.0,L. Aldridge misses 2-pt shot from 12 ft,,33-31,,
5:14.0,,,33-31,,Defensive rebound by N. Calathes
5:03.0,,,33-31,,N. Calathes misses 2-pt shot from 13 ft
5:02.0,,,33-31,,Offensive rebound by Z. Randolph
4:59.0,,,33-31,,Shooting foul by L. Aldridge (drawn by Z. Randolph)
4:59.0,,,33-32,1,Z. Randolph makes free throw 1 of 2
4:59.0,,,33-32,,M. Gasol enters the game for K. Koufos
4:59.0,C. McCollum enters the game for A. Afflalo,,33-32,,
4:59.0,,,33-32,,Z. Randolph misses free throw 2 of 2
4:58.0,,,33-32,,Offensive rebound by M. Gasol
4:48.0,,,33-32,,Z. Randolph misses 2-pt shot from 4 ft
4:47.0,,,33-32,,Offensive rebound by V. Carter
4:47.0,,,33-34,2,V. Carter makes 2-pt shot at rim
4:34.0,Turnover by C. McCollum (lost ball),,33-34,,
4:19.0,,,33-34,,M. Gasol misses 2-pt shot from 21 ft
4:18.0,Defensive rebound by L. Aldridge,,33-34,,
4:10.0,N. Batum makes 2-pt shot from 1 ft,2,35-34,,
3:59.0,,,35-34,,N. Calathes misses 2-pt shot from 1 ft (block by N. Batum)
3:56.0,,,35-34,,Offensive rebound by N. Calathes
3:52.0,,,35-34,,C. Lee misses 2-pt shot from 21 ft
3:51.0,Defensive rebound by N. Batum,,35-34,,
3:43.0,L. Aldridge misses 2-pt shot at rim,,35-34,,
3:39.0,,,35-34,,Defensive rebound by M. Gasol
3:32.0,,,35-36,2,C. Lee makes 2-pt shot from 13 ft
3:06.0,N. Batum misses 3-pt shot from 23 ft,,35-36,,
3:05.0,,,35-36,,Defensive rebound by Z. Randolph
2:49.0,,,35-38,2,M. Gasol makes 2-pt shot from 8 ft
2:48.0,Portland full timeout,,35-38,,
2:48.0,Portland full timeout,,35-38,,
2:48.0,,,35-38,,J. Green enters the game for N. Calathes
2:34.0,M. Leonard misses 3-pt shot from 25 ft,,35-38,,
2:33.0,,,35-38,,Defensive rebound by J. Green
2:12.0,,,35-38,,Z. Randolph misses 2-pt shot from 6 ft
2:09.0,Defensive rebound by M. Leonard,,35-38,,
1:59.0,L. Aldridge misses 2-pt shot from 16 ft,,35-38,,
1:58.0,Offensive rebound by D. Lillard,,35-38,,
1:55.0,D. Lillard makes 2-pt shot from 2 ft,2,37-38,,
1:34.0,,,37-40,2,C. Lee makes 2-pt shot from 6 ft (assist by Z. Randolph)
1:24.0,N. Batum misses 2-pt shot from 1 ft,,37-40,,
1:23.0,,,37-40,,Defensive rebound by V. Carter
1:03.0,,,37-42,2,V. Carter makes 2-pt shot at rim
0:43.0,D. Lillard makes 2-pt shot from 1 ft,2,39-42,,
0:31.0,,,39-44,2,C. Lee makes 2-pt shot from 17 ft (assist by M. Gasol)
0:11.0,N. Batum misses 3-pt shot from 22 ft,,39-44,,
0:10.0,,,39-44,,Defensive rebound by Z. Randolph
0:05.0,Personal take foul by D. Lillard (drawn by C. Lee),,39-44,,
0:05.0,R. Lopez enters the game for M. Leonard,,39-44,,
0:05.0,,,39-44,,Memphis full timeout
0:04.0,Personal foul by R. Lopez (drawn by M. Gasol),,39-44,,
0:04.0,,,39-45,1,M. Gasol makes free throw 1 of 2
0:04.0,M. Leonard enters the game for R. Lopez,,39-45,,
0:04.0,,,39-45,,T. Allen enters the game for Z. Randolph
0:04.0,,,39-46,1,M. Gasol makes free throw 2 of 2
0:01.0,C. McCollum misses 3-pt shot from 23 ft,,39-46,,
0:00.0,Offensive rebound by Team,,39-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Lillard misses 3-pt shot from 27 ft,,39-46,,
11:45.0,,,39-46,,Defensive rebound by C. Lee
11:22.0,,,39-48,2,M. Gasol makes 2-pt shot from 21 ft
11:16.0,Turnover by D. Lillard (lost ball; steal by C. Lee),,39-48,,
11:14.0,,,39-48,,Shooting foul by L. Aldridge (drawn by C. Lee)
11:14.0,,,39-49,1,C. Lee makes free throw 1 of 2
11:14.0,,,39-50,1,C. Lee makes free throw 2 of 2
11:05.0,D. Lillard misses 2-pt shot from 2 ft,,39-50,,
11:04.0,,,39-50,,Defensive rebound by M. Gasol
10:58.0,,,39-50,,Offensive charge foul by C. Lee
10:58.0,,,39-50,,Turnover by C. Lee (offensive foul)
10:38.0,L. Aldridge misses 2-pt shot from 2 ft,,39-50,,
10:37.0,,,39-50,,Defensive rebound by T. Allen
10:31.0,Personal foul by R. Lopez (drawn by Z. Randolph),,39-50,,
10:23.0,Personal foul by R. Lopez (drawn by M. Gasol),,39-50,,
10:13.0,,,39-52,2,M. Gasol makes 2-pt shot from 1 ft
10:11.0,Portland full timeout,,39-52,,
10:11.0,M. Leonard enters the game for R. Lopez,,39-52,,
10:11.0,C. McCollum enters the game for A. Afflalo,,39-52,,
9:50.0,L. Aldridge makes 2-pt shot from 14 ft,2,41-52,,
9:29.0,,,41-54,2,M. Gasol makes 2-pt shot at rim
9:13.0,L. Aldridge makes flagrant free throw 1 of 2,1,42-54,,
9:13.0,L. Aldridge makes flagrant free throw 2 of 2,1,43-54,,
9:07.0,M. Leonard makes 3-pt shot from 26 ft (assist by D. Lillard),3,46-54,,
8:40.0,,,46-54,,M. Gasol misses 2-pt shot from 8 ft
8:39.0,Defensive rebound by D. Lillard,,46-54,,
8:29.0,C. McCollum makes 3-pt shot from 27 ft (assist by D. Lillard),3,49-54,,
8:28.0,,,49-54,,Memphis full timeout
8:04.0,,,49-56,2,N. Calathes makes 2-pt shot from 13 ft (assist by T. Allen)
7:51.0,Turnover by D. Lillard (bad pass; steal by T. Allen),,49-56,,
7:41.0,,,49-58,2,C. Lee makes 2-pt shot from 15 ft (assist by T. Allen)
7:20.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,51-58,,
7:01.0,,,51-58,,C. Lee misses 2-pt shot from 1 ft (block by L. Aldridge)
7:01.0,,,51-58,,Offensive rebound by Team
6:54.0,,,51-58,,M. Gasol misses 2-pt shot from 21 ft
6:53.0,,,51-58,,Offensive rebound by Team
6:53.0,Loose ball foul by L. Aldridge (drawn by Z. Randolph),,51-58,,
6:41.0,,,51-58,,T. Allen misses 2-pt shot from 8 ft
6:40.0,Defensive rebound by N. Batum,,51-58,,
6:29.0,M. Leonard misses 2-pt shot from 5 ft (block by T. Allen),,51-58,,
6:29.0,,,51-58,,Defensive rebound by Team
6:12.0,,,51-58,,Turnover by T. Allen (bad pass)
6:05.0,C. McCollum makes 3-pt shot from 23 ft (assist by N. Batum),3,54-58,,
5:40.0,,,54-58,,Turnover by M. Gasol (lost ball; steal by D. Lillard)
5:39.0,,,54-58,,Personal take foul by N. Calathes (drawn by D. Lillard)
5:39.0,,,54-58,,B. Udrih enters the game for N. Calathes
5:30.0,D. Lillard misses 2-pt shot from 2 ft,,54-58,,
5:27.0,,,54-58,,Defensive rebound by M. Gasol
5:12.0,,,54-58,,C. Lee misses 2-pt shot from 2 ft
5:11.0,,,54-58,,Offensive rebound by M. Gasol
4:56.0,,,54-58,,T. Allen misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by C. McCollum,,54-58,,
4:48.0,C. McCollum makes 3-pt shot from 25 ft,3,57-58,,
4:29.0,,,57-58,,Z. Randolph misses 2-pt shot from 21 ft
4:27.0,Defensive rebound by D. Lillard,,57-58,,
4:14.0,Shooting foul by Z. Randolph (drawn by L. Aldridge),,57-58,,
4:14.0,L. Aldridge makes free throw 1 of 2,1,58-58,,
4:14.0,L. Aldridge misses free throw 2 of 2,,58-58,,
4:13.0,,,58-58,,Defensive rebound by T. Allen
3:54.0,,,58-58,,B. Udrih misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by N. Batum,,58-58,,
3:51.0,Turnover by N. Batum (lost ball; steal by T. Allen),,58-58,,
3:51.0,,,58-58,,Offensive foul by M. Gasol
3:51.0,,,58-58,,Turnover by M. Gasol (offensive foul)
3:39.0,C. McCollum makes 3-pt shot from 26 ft (assist by N. Batum),3,61-58,,
3:36.0,,,61-58,,Memphis full timeout
3:19.0,,,61-58,,Z. Randolph misses 2-pt shot from 4 ft
3:18.0,,,61-58,,Offensive rebound by T. Allen
3:18.0,,,61-60,2,T. Allen makes 2-pt shot from 1 ft
3:09.0,L. Aldridge misses 2-pt shot from 1 ft,,61-60,,
3:08.0,Offensive rebound by N. Batum,,61-60,,
3:08.0,N. Batum misses 2-pt shot from 1 ft,,61-60,,
3:05.0,,,61-60,,Defensive rebound by M. Gasol
2:56.0,,,61-62,2,M. Gasol makes 2-pt shot from 18 ft (assist by T. Allen)
2:35.0,,,61-62,,Personal foul by B. Udrih (drawn by C. McCollum)
2:33.0,Turnover by D. Lillard (lost ball; steal by T. Allen),,61-62,,
2:29.0,,,61-62,,B. Udrih misses 2-pt shot from 1 ft
2:26.0,,,61-62,,Offensive rebound by T. Allen
2:14.0,,,61-62,,Offensive foul by Z. Randolph
2:14.0,,,61-62,,Turnover by Z. Randolph (offensive foul)
2:14.0,,,61-62,,Technical foul by Z. Randolph
2:14.0,D. Lillard makes technical free throw,1,62-62,,
2:14.0,,,62-62,,J. Green enters the game for Z. Randolph
2:03.0,D. Lillard misses 3-pt shot from 28 ft,,62-62,,
2:02.0,,,62-62,,Defensive rebound by M. Gasol
1:50.0,,,62-62,,Turnover by C. Lee (traveling)
1:38.0,,,62-62,,Violation by T. Allen (kicked ball)
1:28.0,L. Aldridge misses 2-pt shot at rim,,62-62,,
1:27.0,,,62-62,,Defensive rebound by B. Udrih
1:13.0,,,62-62,,Shooting foul by L. Aldridge (drawn by J. Green)
1:13.0,,,62-63,1,J. Green makes free throw 1 of 2
1:13.0,R. Lopez enters the game for L. Aldridge,,62-63,,
1:13.0,,,62-64,1,J. Green makes free throw 2 of 2
0:55.0,C. McCollum misses 3-pt shot from 26 ft,,62-64,,
0:54.0,,,62-64,,Defensive rebound by J. Green
0:45.0,,,62-66,2,C. Lee makes 2-pt shot from 1 ft
0:37.0,C. McCollum makes 2-pt shot from 1 ft,2,64-66,,
0:25.0,,,64-68,2,M. Gasol makes 2-pt shot from 13 ft (assist by B. Udrih)
0:03.0,C. McCollum makes 2-pt shot from 20 ft,2,66-68,,
0:01.0,,,66-68,,J. Green misses 3-pt shot from 41 ft
0:00.0,,,66-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,66-70,2,M. Gasol makes 2-pt shot from 5 ft
11:20.0,R. Lopez makes 2-pt shot from 6 ft (assist by N. Batum),2,68-70,,
10:53.0,,,68-70,,M. Gasol misses 2-pt shot from 19 ft
10:51.0,,,68-70,,Offensive rebound by B. Udrih
10:44.0,,,68-70,,B. Udrih misses 2-pt shot from 20 ft
10:42.0,Defensive rebound by D. Lillard,,68-70,,
10:26.0,C. McCollum misses 2-pt shot from 2 ft,,68-70,,
10:24.0,,,68-70,,Defensive rebound by M. Gasol
10:21.0,,,68-70,,Shooting foul by M. Leonard (drawn by J. Green)
10:21.0,,,68-71,1,J. Green makes free throw 1 of 2
10:21.0,,,68-72,1,J. Green makes free throw 2 of 2
10:05.0,D. Lillard makes 2-pt shot from 1 ft,2,70-72,,
9:41.0,,,70-72,,J. Green misses 2-pt shot at rim
9:40.0,Defensive rebound by M. Leonard,,70-72,,
9:28.0,C. McCollum misses 2-pt shot from 2 ft,,70-72,,
9:27.0,,,70-72,,Defensive rebound by J. Green
9:10.0,,,70-72,,B. Udrih misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by N. Batum,,70-72,,
9:00.0,Shooting foul by M. Gasol (drawn by R. Lopez),,70-72,,
9:00.0,R. Lopez makes free throw 1 of 2,1,71-72,,
9:00.0,,,71-72,,N. Calathes enters the game for B. Udrih
9:00.0,,,71-72,,Z. Randolph enters the game for M. Gasol
9:00.0,L. Aldridge enters the game for M. Leonard,,71-72,,
9:00.0,R. Lopez makes free throw 2 of 2,1,72-72,,
8:45.0,,,72-72,,V. Carter misses 2-pt shot from 3 ft (block by R. Lopez)
8:42.0,Defensive rebound by N. Batum,,72-72,,
8:41.0,Turnover by N. Batum (lost ball; steal by V. Carter),,72-72,,
8:39.0,,,72-74,2,V. Carter makes 2-pt shot from 6 ft (assist by T. Allen)
8:14.0,N. Batum misses 3-pt shot from 28 ft,,72-74,,
8:13.0,,,72-74,,Defensive rebound by T. Allen
7:59.0,,,72-74,,Z. Randolph misses 2-pt shot from 2 ft (block by R. Lopez)
7:58.0,,,72-74,,Offensive rebound by Team
7:58.0,,,72-74,,Memphis full timeout
7:58.0,,,72-74,,K. Koufos enters the game for T. Allen
7:52.0,,,72-74,,J. Green misses 2-pt shot from 1 ft
7:50.0,,,72-74,,Offensive rebound by Z. Randolph
7:49.0,,,72-76,2,Z. Randolph makes 2-pt shot from 6 ft
7:28.0,L. Aldridge makes 2-pt shot from 2 ft,2,74-76,,
7:28.0,Shooting foul by N. Calathes (drawn by L. Aldridge),,74-76,,
7:28.0,L. Aldridge makes free throw 1 of 1,1,75-76,,
7:11.0,,,75-76,,Z. Randolph misses 2-pt shot from 4 ft
7:09.0,Defensive rebound by L. Aldridge,,75-76,,
6:56.0,L. Aldridge misses 2-pt shot from 8 ft,,75-76,,
6:54.0,,,75-76,,Defensive rebound by Z. Randolph
6:40.0,,,75-76,,N. Calathes misses 2-pt shot from 3 ft
6:39.0,Defensive rebound by R. Lopez,,75-76,,
6:23.0,D. Lillard misses 3-pt shot from 25 ft,,75-76,,
6:23.0,,,75-76,,Defensive rebound by K. Koufos
6:03.0,,,75-76,,V. Carter misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by L. Aldridge,,75-76,,
5:53.0,N. Batum misses 2-pt shot from 20 ft,,75-76,,
5:52.0,,,75-76,,Defensive rebound by V. Carter
5:37.0,,,75-78,2,N. Calathes makes 2-pt shot from 2 ft (assist by Z. Randolph)
5:36.0,Portland full timeout,,75-78,,
5:36.0,M. Leonard enters the game for R. Lopez,,75-78,,
5:36.0,,,75-78,,M. Gasol enters the game for K. Koufos
5:13.0,Turnover by C. McCollum (bad pass),,75-78,,
5:00.0,,,75-80,2,J. Green makes 2-pt shot from 16 ft (assist by M. Gasol)
4:48.0,C. McCollum misses 3-pt shot from 26 ft,,75-80,,
4:47.0,,,75-80,,Defensive rebound by V. Carter
4:30.0,,,75-80,,M. Gasol misses 2-pt shot from 18 ft
4:27.0,Defensive rebound by D. Lillard,,75-80,,
4:21.0,,,75-80,,Personal foul by N. Calathes (drawn by D. Lillard)
4:21.0,,,75-80,,C. Lee enters the game for V. Carter
4:14.0,L. Aldridge misses 2-pt shot from 1 ft (block by J. Green),,75-80,,
4:12.0,,,75-80,,Defensive rebound by M. Gasol
3:54.0,,,75-82,2,J. Green makes 2-pt shot from 1 ft
3:54.0,,,75-82,,Shooting foul by M. Leonard (drawn by J. Green)
3:54.0,,,75-83,1,J. Green makes free throw 1 of 1
3:44.0,D. Lillard misses 3-pt shot from 26 ft,,75-83,,
3:41.0,,,75-83,,Defensive rebound by N. Calathes
3:27.0,,,75-85,2,Z. Randolph makes 2-pt shot from 13 ft
3:26.0,Portland full timeout,,75-85,,
3:16.0,M. Leonard makes 3-pt shot from 25 ft (assist by N. Batum),3,78-85,,
2:51.0,,,78-87,2,C. Lee makes 2-pt shot from 15 ft (assist by J. Green)
2:39.0,L. Aldridge misses 2-pt shot at rim,,78-87,,
2:36.0,,,78-87,,Defensive rebound by M. Gasol
2:21.0,,,78-87,,Z. Randolph misses 2-pt shot from 2 ft
2:18.0,Defensive rebound by M. Leonard,,78-87,,
2:10.0,M. Leonard misses 3-pt shot from 27 ft,,78-87,,
2:09.0,Offensive rebound by L. Aldridge,,78-87,,
2:06.0,L. Aldridge misses 2-pt shot from 5 ft,,78-87,,
2:04.0,,,78-87,,Defensive rebound by M. Gasol
1:43.0,,,78-89,2,N. Calathes makes 2-pt shot from 19 ft
1:36.0,,,78-89,,Personal foul by Z. Randolph (drawn by D. Lillard)
1:31.0,C. McCollum makes 3-pt shot from 30 ft (assist by N. Batum),3,81-89,,
1:27.0,Personal take foul by N. Batum (drawn by Z. Randolph),,81-89,,
1:16.0,,,81-89,,J. Green misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by Team,,81-89,,
1:08.0,C. McCollum misses 2-pt shot from 14 ft,,81-89,,
1:08.0,Offensive rebound by Team,,81-89,,
1:08.0,,,81-89,,T. Allen enters the game for N. Calathes
1:04.0,N. Batum misses 3-pt shot from 23 ft,,81-89,,
1:04.0,,,81-89,,Defensive rebound by J. Green
1:04.0,Personal take foul by C. McCollum (drawn by J. Green),,81-89,,
1:04.0,,,81-89,,J. Green misses free throw 1 of 2
1:04.0,,,81-89,,Offensive rebound by Team
1:04.0,,,81-90,1,J. Green makes free throw 2 of 2
1:04.0,Portland full timeout,,81-90,,
1:00.0,C. McCollum misses 3-pt shot from 26 ft,,81-90,,
