time,Charlotte,pts.away,score,pts.home,Golden State
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,G. Neal misses 2-pt shot from 21 ft,,23-28,,
11:44.0,,,23-28,,Defensive rebound by M. Speights
11:30.0,,,23-30,2,M. Speights makes 2-pt shot from 19 ft (assist by H. Barnes)
11:07.0,Shooting foul by H. Barnes (drawn by B. Biyombo),,23-30,,
11:07.0,B. Biyombo makes free throw 1 of 2,1,24-30,,
11:07.0,B. Biyombo makes free throw 2 of 2,1,25-30,,
10:54.0,,,25-30,,H. Barnes misses 2-pt shot from 20 ft
10:53.0,Defensive rebound by G. Neal,,25-30,,
10:45.0,G. Neal misses 2-pt shot from 1 ft (block by S. Livingston),,25-30,,
10:41.0,,,25-30,,Defensive rebound by M. Speights
10:35.0,,,25-30,,M. Speights misses 2-pt shot from 3 ft (block by B. Biyombo)
10:33.0,Defensive rebound by B. Roberts,,25-30,,
10:30.0,Shooting foul by L. Barbosa (drawn by B. Roberts),,25-30,,
10:30.0,B. Roberts makes free throw 1 of 2,1,26-30,,
10:30.0,B. Roberts makes free throw 2 of 2,1,27-30,,
10:23.0,,,27-30,,A. Iguodala misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by C. Zeller,,27-30,,
10:14.0,B. Roberts misses 2-pt shot from 3 ft,,27-30,,
10:12.0,,,27-30,,Defensive rebound by M. Speights
9:57.0,,,27-32,2,M. Speights makes 2-pt shot from 17 ft (assist by A. Iguodala)
9:45.0,L. Stephenson misses 2-pt shot from 16 ft,,27-32,,
9:44.0,,,27-32,,Defensive rebound by A. Iguodala
9:30.0,,,27-32,,M. Speights misses 2-pt shot from 19 ft
9:29.0,,,27-32,,Offensive rebound by L. Barbosa
9:17.0,,,27-34,2,H. Barnes makes 2-pt shot from 14 ft (assist by M. Speights)
8:57.0,Shooting foul by M. Speights (drawn by G. Neal),,27-34,,
8:57.0,Official timeout,,27-34,,
8:57.0,M. Williams enters the game for C. Zeller,,27-34,,
8:57.0,,,27-34,,K. Thompson enters the game for L. Barbosa
8:57.0,G. Neal makes free throw 1 of 2,1,28-34,,
8:57.0,G. Neal makes free throw 2 of 2,1,29-34,,
8:39.0,,,29-36,2,S. Livingston makes 2-pt shot from 10 ft (assist by M. Speights)
8:24.0,,,29-36,,Personal foul by M. Speights (drawn by B. Biyombo)
8:16.0,L. Stephenson misses 2-pt shot from 17 ft,,29-36,,
8:15.0,Offensive rebound by B. Biyombo,,29-36,,
8:07.0,L. Stephenson makes 2-pt shot from 2 ft,2,31-36,,
7:51.0,,,31-36,,Offensive charge foul by K. Thompson
7:51.0,,,31-36,,Turnover by K. Thompson (offensive foul)
7:29.0,Offensive charge foul by L. Stephenson,,31-36,,
7:29.0,Turnover by L. Stephenson (offensive foul),,31-36,,
7:18.0,,,31-38,2,K. Thompson makes 2-pt shot from 2 ft
7:18.0,,,31-38,,Shooting foul by L. Stephenson (drawn by K. Thompson)
7:18.0,,,31-39,1,K. Thompson makes free throw 1 of 1
7:09.0,B. Roberts makes 3-pt shot from 25 ft,3,34-39,,
6:50.0,,,34-41,2,S. Livingston makes 2-pt shot from 11 ft (assist by A. Iguodala)
6:36.0,Turnover by M. Williams (lost ball),,34-41,,
6:29.0,,,34-44,3,K. Thompson makes 3-pt shot from 27 ft (assist by S. Livingston)
6:21.0,Charlotte full timeout,,34-44,,
6:21.0,A. Jefferson enters the game for G. Neal,,34-44,,
6:21.0,P. Hairston enters the game for B. Biyombo,,34-44,,
6:21.0,,,34-44,,D. Green enters the game for H. Barnes
6:21.0,,,34-44,,A. Bogut enters the game for M. Speights
6:18.0,Offensive foul by A. Jefferson,,34-44,,
6:18.0,Turnover by A. Jefferson (offensive foul),,34-44,,
6:01.0,,,34-44,,A. Iguodala misses 2-pt shot from 12 ft
6:00.0,Defensive rebound by M. Williams,,34-44,,
5:42.0,B. Roberts misses 2-pt shot from 19 ft,,34-44,,
5:41.0,,,34-44,,Defensive rebound by A. Bogut
5:32.0,,,34-46,2,K. Thompson makes 2-pt shot from 1 ft
5:22.0,,,34-46,,Personal foul by A. Bogut (drawn by A. Jefferson)
5:22.0,A. Jefferson misses free throw 1 of 2,,34-46,,
5:22.0,Offensive rebound by Team,,34-46,,
5:22.0,G. Neal enters the game for L. Stephenson,,34-46,,
5:22.0,K. Walker enters the game for B. Roberts,,34-46,,
5:22.0,,,34-46,,S. Curry enters the game for S. Livingston
5:22.0,A. Jefferson makes free throw 2 of 2,1,35-46,,
5:13.0,,,35-46,,K. Thompson misses 2-pt shot from 9 ft
5:12.0,Defensive rebound by M. Williams,,35-46,,
4:59.0,Turnover by A. Jefferson (lost ball; steal by K. Thompson),,35-46,,
4:53.0,,,35-49,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
4:32.0,G. Neal makes 2-pt shot from 12 ft,2,37-49,,
4:24.0,,,37-51,2,S. Curry makes 2-pt shot from 1 ft
4:16.0,Charlotte full timeout,,37-51,,
4:16.0,,,37-51,,H. Barnes enters the game for A. Iguodala
4:11.0,K. Walker makes 2-pt shot from 16 ft,2,39-51,,
3:53.0,,,39-51,,A. Bogut misses 2-pt shot from 6 ft
3:51.0,,,39-51,,Offensive rebound by S. Curry
3:48.0,,,39-53,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
3:23.0,G. Neal misses 2-pt shot from 6 ft (block by K. Thompson),,39-53,,
3:22.0,,,39-53,,Defensive rebound by A. Bogut
3:15.0,,,39-53,,D. Green misses 3-pt shot from 26 ft
3:14.0,,,39-53,,Offensive rebound by K. Thompson
3:12.0,,,39-55,2,H. Barnes makes 2-pt shot at rim (assist by K. Thompson)
3:10.0,Charlotte full timeout,,39-55,,
3:10.0,C. Zeller enters the game for M. Williams,,39-55,,
3:10.0,G. Henderson enters the game for G. Neal,,39-55,,
2:56.0,K. Walker misses 2-pt shot from 10 ft,,39-55,,
2:48.0,Offensive rebound by C. Zeller,,39-55,,
2:48.0,C. Zeller misses 2-pt shot at rim,,39-55,,
2:46.0,,,39-55,,Defensive rebound by A. Bogut
2:42.0,,,39-58,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Bogut)
2:20.0,A. Jefferson misses 2-pt shot from 16 ft,,39-58,,
2:19.0,,,39-58,,Defensive rebound by D. Green
2:07.0,,,39-61,3,H. Barnes makes 3-pt shot from 23 ft (assist by K. Thompson)
1:46.0,K. Walker misses 2-pt shot from 20 ft,,39-61,,
1:45.0,,,39-61,,Defensive rebound by K. Thompson
1:37.0,,,39-61,,Turnover by K. Thompson (bad pass; steal by K. Walker)
1:29.0,K. Walker misses 2-pt shot from 5 ft,,39-61,,
1:28.0,,,39-61,,Defensive rebound by A. Bogut
1:23.0,,,39-64,3,S. Curry makes 3-pt shot from 28 ft
1:00.0,K. Walker makes 2-pt shot from 1 ft (assist by P. Hairston),2,41-64,,
1:00.0,Shooting foul by A. Bogut (drawn by K. Walker),,41-64,,
1:00.0,,,41-64,,M. Speights enters the game for A. Bogut
1:00.0,,,41-64,,A. Iguodala enters the game for H. Barnes
1:00.0,B. Biyombo enters the game for A. Jefferson,,41-64,,
1:00.0,K. Walker misses free throw 1 of 1,,41-64,,
0:59.0,,,41-64,,Defensive rebound by M. Speights
0:47.0,,,41-64,,M. Speights misses 2-pt shot from 8 ft
0:45.0,Defensive rebound by B. Biyombo,,41-64,,
0:32.0,K. Walker makes 2-pt shot from 1 ft,2,43-64,,
0:14.0,,,43-67,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
0:01.0,G. Henderson makes 3-pt shot from 25 ft (assist by K. Walker),3,46-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Walker misses 2-pt shot from 11 ft,,46-67,,
11:38.0,,,46-67,,Defensive rebound by A. Bogut
11:33.0,,,46-67,,S. Curry misses 2-pt shot from 18 ft
11:32.0,Defensive rebound by A. Jefferson,,46-67,,
11:25.0,Shooting foul by H. Barnes (drawn by A. Jefferson),,46-67,,
11:25.0,A. Jefferson misses free throw 1 of 2,,46-67,,
11:25.0,Offensive rebound by Team,,46-67,,
11:25.0,A. Jefferson makes free throw 2 of 2,1,47-67,,
11:07.0,,,47-69,2,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry)
10:42.0,K. Walker misses 2-pt shot from 19 ft,,47-69,,
10:40.0,Offensive rebound by A. Jefferson,,47-69,,
10:39.0,Turnover by Team (shot clock),,47-69,,
10:16.0,,,47-72,3,H. Barnes makes 3-pt shot from 23 ft (assist by K. Thompson)
9:50.0,M. Williams misses 3-pt shot from 26 ft,,47-72,,
9:49.0,,,47-72,,Defensive rebound by S. Curry
9:37.0,,,47-72,,Shooting foul by L. Stephenson (drawn by K. Thompson)
9:37.0,,,47-73,1,K. Thompson makes free throw 1 of 2
9:37.0,C. Zeller enters the game for M. Williams,,47-73,,
9:37.0,,,47-74,1,K. Thompson makes free throw 2 of 2
9:26.0,K. Walker misses 2-pt shot at rim,,47-74,,
9:25.0,Offensive rebound by C. Zeller,,47-74,,
9:24.0,Shooting foul by H. Barnes (drawn by C. Zeller),,47-74,,
9:24.0,C. Zeller misses free throw 1 of 2,,47-74,,
9:24.0,Offensive rebound by Team,,47-74,,
9:24.0,,,47-74,,A. Iguodala enters the game for H. Barnes
9:24.0,C. Zeller makes free throw 2 of 2,1,48-74,,
9:13.0,,,48-76,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
8:59.0,L. Stephenson makes 2-pt shot from 10 ft,2,50-76,,
8:50.0,,,50-76,,Offensive charge foul by A. Bogut
8:50.0,,,50-76,,Turnover by A. Bogut (offensive foul)
8:33.0,Turnover by K. Walker (bad pass; steal by A. Bogut),,50-76,,
8:25.0,,,50-76,,Turnover by S. Curry (lost ball)
8:25.0,,,50-76,,M. Speights enters the game for A. Bogut
8:13.0,A. Jefferson makes 2-pt shot from 10 ft (assist by K. Walker),2,52-76,,
7:54.0,,,52-76,,D. Green misses 3-pt shot from 26 ft
7:53.0,,,52-76,,Offensive rebound by S. Curry
7:46.0,,,52-76,,Shooting foul by A. Jefferson (drawn by M. Speights)
7:46.0,,,52-77,1,M. Speights makes free throw 1 of 2
7:46.0,,,52-78,1,M. Speights makes free throw 2 of 2
7:27.0,K. Walker misses 2-pt shot from 3 ft,,52-78,,
7:25.0,Offensive rebound by A. Jefferson,,52-78,,
7:24.0,A. Jefferson misses 2-pt shot from 3 ft,,52-78,,
7:22.0,,,52-78,,Defensive rebound by M. Speights
7:14.0,,,52-78,,K. Thompson misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by K. Walker,,52-78,,
6:52.0,K. Walker misses 3-pt shot from 22 ft,,52-78,,
6:51.0,Offensive rebound by C. Zeller,,52-78,,
6:46.0,L. Stephenson makes 3-pt shot from 26 ft (assist by K. Walker),3,55-78,,
6:30.0,,,55-78,,S. Curry misses 2-pt shot from 19 ft
6:29.0,Defensive rebound by C. Zeller,,55-78,,
6:20.0,Turnover by P. Hairston (bad pass; steal by S. Curry),,55-78,,
6:16.0,,,55-80,2,M. Speights makes 2-pt shot from 1 ft (assist by A. Iguodala)
6:16.0,,,55-80,,Shooting foul by K. Walker (drawn by M. Speights)
6:16.0,G. Henderson enters the game for P. Hairston,,55-80,,
6:16.0,,,55-81,1,M. Speights makes free throw 1 of 1
6:07.0,,,55-81,,Personal foul by S. Curry (drawn by K. Walker)
6:02.0,Turnover by L. Stephenson (bad pass; steal by K. Thompson),,55-81,,
5:58.0,,,55-81,,Turnover by D. Green (bad pass; steal by L. Stephenson)
5:51.0,G. Henderson misses 2-pt shot from 6 ft,,55-81,,
5:50.0,,,55-81,,Defensive rebound by A. Iguodala
5:44.0,,,55-84,3,K. Thompson makes 3-pt shot from 23 ft (assist by A. Iguodala)
5:32.0,K. Walker misses 2-pt shot from 17 ft,,55-84,,
5:31.0,,,55-84,,Defensive rebound by K. Thompson
5:21.0,,,55-84,,M. Speights misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by C. Zeller,,55-84,,
5:14.0,,,55-84,,Personal foul by D. Green (drawn by C. Zeller)
5:14.0,,,55-84,,Golden State full timeout
5:14.0,C. Zeller misses free throw 1 of 2,,55-84,,
5:14.0,Offensive rebound by Team,,55-84,,
5:14.0,C. Zeller makes free throw 2 of 2,1,56-84,,
4:59.0,,,56-84,,Shooting foul by A. Jefferson (drawn by S. Curry)
4:59.0,,,56-86,2,S. Curry makes 2-pt shot from 2 ft
4:59.0,,,56-86,,S. Curry misses free throw 1 of 1
4:57.0,Defensive rebound by C. Zeller,,56-86,,
4:43.0,A. Jefferson makes 2-pt shot from 15 ft,2,58-86,,
4:43.0,Shooting foul by M. Speights (drawn by A. Jefferson),,58-86,,
4:43.0,A. Jefferson makes free throw 1 of 1,1,59-86,,
4:23.0,,,59-86,,S. Curry misses 2-pt shot from 21 ft
4:22.0,Defensive rebound by A. Jefferson,,59-86,,
4:10.0,A. Jefferson makes 2-pt shot from 3 ft (assist by L. Stephenson),2,61-86,,
4:03.0,,,61-86,,K. Thompson misses 2-pt shot from 16 ft
4:01.0,Defensive rebound by K. Walker,,61-86,,
3:53.0,Turnover by L. Stephenson (bad pass; steal by M. Speights),,61-86,,
3:30.0,,,61-86,,D. Green misses 3-pt shot from 27 ft
3:29.0,Defensive rebound by C. Zeller,,61-86,,
3:07.0,A. Jefferson misses 2-pt shot from 18 ft,,61-86,,
3:06.0,,,61-86,,Defensive rebound by D. Green
3:02.0,,,61-86,,Shooting foul by C. Zeller (drawn by M. Speights)
3:02.0,,,61-87,1,M. Speights makes free throw 1 of 2
3:02.0,,,61-87,,L. Barbosa enters the game for K. Thompson
3:02.0,B. Biyombo enters the game for A. Jefferson,,61-87,,
3:02.0,,,61-88,1,M. Speights makes free throw 2 of 2
2:51.0,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker),2,63-88,,
2:51.0,Shooting foul by D. Green (drawn by C. Zeller),,63-88,,
2:51.0,Charlotte full timeout,,63-88,,
2:51.0,J. Pargo enters the game for L. Stephenson,,63-88,,
2:51.0,C. Zeller misses free throw 1 of 1,,63-88,,
2:49.0,Offensive rebound by G. Henderson,,63-88,,
2:39.0,C. Zeller misses 2-pt shot from 20 ft,,63-88,,
2:39.0,Offensive rebound by Team,,63-88,,
2:39.0,,,63-88,,Loose ball foul by M. Speights (drawn by B. Biyombo)
2:39.0,B. Biyombo misses free throw 1 of 2,,63-88,,
2:39.0,Offensive rebound by Team,,63-88,,
2:39.0,,,63-88,,A. Bogut enters the game for M. Speights
2:39.0,B. Biyombo makes free throw 2 of 2,1,64-88,,
2:21.0,,,64-88,,Turnover by D. Green (traveling)
2:04.0,Shooting foul by S. Curry (drawn by K. Walker),,64-88,,
2:04.0,K. Walker makes free throw 1 of 2,1,65-88,,
2:04.0,J. Maxiell enters the game for C. Zeller,,65-88,,
2:04.0,K. Walker misses free throw 2 of 2,,65-88,,
2:01.0,,,65-88,,Defensive rebound by S. Curry
1:48.0,,,65-88,,L. Barbosa misses 2-pt shot from 13 ft
1:47.0,Defensive rebound by J. Maxiell,,65-88,,
1:36.0,J. Pargo makes 2-pt shot from 16 ft,2,67-88,,
1:24.0,,,67-91,3,D. Green makes 3-pt shot from 25 ft (assist by L. Barbosa)
1:05.0,K. Walker misses 3-pt shot from 24 ft,,67-91,,
1:04.0,,,67-91,,Defensive rebound by D. Green
0:45.0,,,67-93,2,L. Barbosa makes 2-pt shot from 3 ft (assist by S. Curry)
0:35.0,J. Pargo misses 3-pt shot from 25 ft,,67-93,,
0:34.0,,,67-93,,Defensive rebound by Team
0:17.0,,,67-93,,D. Green misses 3-pt shot from 26 ft
0:16.0,Defensive rebound by Team,,67-93,,
0:04.0,Shooting foul by A. Iguodala (drawn by K. Walker),,67-93,,
0:04.0,K. Walker misses free throw 1 of 2,,67-93,,
0:04.0,Offensive rebound by Team,,67-93,,
0:04.0,K. Walker makes free throw 2 of 2,1,68-93,,
0:01.0,,,68-96,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Bogut)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,68-96,,A. Iguodala misses 2-pt shot from 21 ft
11:39.0,Defensive rebound by J. Pargo,,68-96,,
11:33.0,,,68-96,,Violation by A. Iguodala (kicked ball)
11:28.0,G. Henderson misses 2-pt shot from 20 ft,,68-96,,
11:27.0,,,68-96,,Defensive rebound by L. Barbosa
11:15.0,,,68-98,2,H. Barnes makes 2-pt shot from 18 ft (assist by L. Barbosa)
10:52.0,J. Pargo misses 3-pt shot from 25 ft,,68-98,,
10:51.0,,,68-98,,Defensive rebound by H. Barnes
10:35.0,,,68-100,2,F. Ezeli makes 2-pt shot from 11 ft
10:35.0,,,68-100,,Shooting foul by B. Biyombo (drawn by F. Ezeli)
10:35.0,,,68-101,1,F. Ezeli makes free throw 1 of 1
10:24.0,B. Roberts makes 3-pt shot from 25 ft,3,71-101,,
10:02.0,,,71-101,,H. Barnes misses 3-pt shot from 22 ft
10:00.0,,,71-101,,Offensive rebound by A. Iguodala
9:57.0,,,71-101,,L. Barbosa misses 3-pt shot from 27 ft
9:54.0,Defensive rebound by G. Henderson,,71-101,,
9:48.0,Shooting foul by A. Iguodala (drawn by J. Maxiell),,71-101,,
9:48.0,J. Maxiell misses free throw 1 of 2,,71-101,,
9:48.0,Offensive rebound by Team,,71-101,,
9:48.0,,,71-101,,J. Holiday enters the game for A. Iguodala
9:48.0,J. Maxiell misses free throw 2 of 2,,71-101,,
9:46.0,,,71-101,,Defensive rebound by F. Ezeli
9:34.0,,,71-101,,S. Livingston misses 2-pt shot from 3 ft (block by B. Biyombo)
9:30.0,,,71-101,,Offensive rebound by L. Barbosa
9:26.0,,,71-101,,Shooting foul by J. Maxiell (drawn by F. Ezeli)
9:26.0,,,71-102,1,F. Ezeli makes free throw 1 of 2
9:26.0,,,71-102,,F. Ezeli misses free throw 2 of 2
9:25.0,Defensive rebound by G. Henderson,,71-102,,
9:07.0,B. Roberts misses 2-pt shot from 18 ft,,71-102,,
9:06.0,Offensive rebound by B. Roberts,,71-102,,
9:06.0,,,71-102,,Personal foul by H. Barnes (drawn by B. Roberts)
9:01.0,G. Henderson misses 2-pt shot from 16 ft,,71-102,,
8:59.0,,,71-102,,Defensive rebound by H. Barnes
8:39.0,,,71-102,,S. Livingston misses 2-pt shot from 12 ft
8:38.0,,,71-102,,Offensive rebound by F. Ezeli
8:38.0,,,71-104,2,F. Ezeli makes 2-pt shot at rim
8:15.0,,,71-104,,Personal foul by F. Ezeli (drawn by B. Biyombo)
8:15.0,Official timeout,,71-104,,
8:15.0,,,71-104,,B. Rush enters the game for H. Barnes
8:10.0,B. Roberts misses 3-pt shot from 25 ft,,71-104,,
8:09.0,Offensive rebound by J. Maxiell,,71-104,,
8:03.0,B. Roberts misses 3-pt shot from 24 ft,,71-104,,
8:02.0,,,71-104,,Defensive rebound by Team
7:52.0,,,71-104,,L. Barbosa misses 2-pt shot from 22 ft
7:51.0,Defensive rebound by G. Henderson,,71-104,,
7:39.0,G. Henderson misses 3-pt shot from 25 ft,,71-104,,
7:39.0,Offensive rebound by Team,,71-104,,
7:39.0,,,71-104,,Loose ball foul by F. Ezeli (drawn by B. Biyombo)
7:34.0,Turnover by B. Biyombo (traveling),,71-104,,
7:23.0,,,71-104,,F. Ezeli misses 2-pt shot from 7 ft
7:22.0,Defensive rebound by B. Biyombo,,71-104,,
7:12.0,J. Maxiell misses 2-pt shot from 12 ft,,71-104,,
7:11.0,,,71-104,,Defensive rebound by F. Ezeli
6:59.0,,,71-104,,J. Holiday misses 2-pt shot from 22 ft
6:59.0,Defensive rebound by Team,,71-104,,
6:37.0,J. Pargo makes 3-pt shot from 24 ft (assist by B. Roberts),3,74-104,,
6:17.0,,,74-106,2,S. Livingston makes 2-pt shot from 7 ft (assist by J. Holiday)
5:57.0,J. Pargo misses 2-pt shot from 17 ft (block by L. Barbosa),,74-106,,
5:57.0,Offensive rebound by Team,,74-106,,
5:57.0,,,74-106,,Golden State full timeout
5:57.0,N. Vonleh enters the game for B. Biyombo,,74-106,,
5:57.0,,,74-106,,O. Kuzmic enters the game for L. Barbosa
5:52.0,G. Henderson misses 2-pt shot from 18 ft,,74-106,,
5:50.0,,,74-106,,Defensive rebound by O. Kuzmic
5:38.0,,,74-106,,Turnover by S. Livingston (bad pass)
5:23.0,J. Pargo misses 3-pt shot from 27 ft,,74-106,,
5:22.0,,,74-106,,Defensive rebound by F. Ezeli
