time,Memphis,pts.away,score,pts.home,Milwaukee
10:52.0,Shooting foul by K. Middleton (drawn by Z. Randolph),,51-46,,
10:52.0,Z. Randolph makes 2-pt shot at rim,2,53-46,,
10:52.0,Z. Randolph makes free throw 1 of 1,1,54-46,,
10:41.0,,,54-46,,B. Knight misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by T. Allen,,54-46,,
10:35.0,T. Allen makes 2-pt shot at rim,2,56-46,,
10:11.0,,,56-48,2,K. Middleton makes 2-pt shot from 7 ft
9:51.0,T. Allen misses 2-pt shot at rim,,56-48,,
9:51.0,,,56-48,,Defensive rebound by Team
9:51.0,Loose ball foul by Z. Randolph (drawn by E. Ilyasova),,56-48,,
9:51.0,Technical foul by T. Allen,,56-48,,
9:51.0,,,56-48,,B. Knight misses technical free throw
9:51.0,,,56-48,,Offensive rebound by Team
9:41.0,,,56-48,,B. Knight misses 2-pt shot from 1 ft
9:39.0,,,56-48,,Offensive rebound by L. Sanders
9:39.0,,,56-48,,L. Sanders misses 2-pt shot at rim
9:37.0,,,56-48,,Offensive rebound by J. Parker
9:35.0,,,56-50,2,J. Parker makes 2-pt shot at rim
9:19.0,Shooting foul by K. Middleton (drawn by C. Lee),,56-50,,
9:19.0,C. Lee makes free throw 1 of 2,1,57-50,,
9:19.0,C. Lee makes free throw 2 of 2,1,58-50,,
9:05.0,,,58-50,,J. Parker misses 2-pt shot from 17 ft
9:04.0,Defensive rebound by T. Allen,,58-50,,
8:59.0,T. Allen misses 2-pt shot at rim,,58-50,,
8:57.0,Offensive rebound by Z. Randolph,,58-50,,
8:57.0,Z. Randolph misses 2-pt shot at rim (block by L. Sanders),,58-50,,
8:57.0,Offensive rebound by Team,,58-50,,
8:51.0,C. Lee misses 2-pt shot from 19 ft,,58-50,,
8:50.0,,,58-50,,Defensive rebound by E. Ilyasova
8:43.0,,,58-50,,Turnover by E. Ilyasova (offensive foul)
8:43.0,,,58-50,,Offensive foul by E. Ilyasova
8:26.0,Z. Randolph makes 2-pt shot from 9 ft,2,60-50,,
8:08.0,,,60-50,,B. Knight misses 2-pt shot from 2 ft
8:06.0,,,60-50,,Offensive rebound by L. Sanders
8:06.0,,,60-50,,L. Sanders misses 2-pt shot at rim
8:03.0,,,60-50,,Offensive rebound by L. Sanders
8:03.0,,,60-52,2,L. Sanders makes 2-pt shot at rim
7:47.0,Turnover by M. Conley (bad pass; steal by L. Sanders),,60-52,,
7:43.0,,,60-54,2,K. Middleton makes 2-pt shot at rim (assist by B. Knight)
7:20.0,M. Gasol makes 2-pt shot from 14 ft (assist by C. Lee),2,62-54,,
7:06.0,Personal foul by T. Allen (drawn by J. Parker),,62-54,,
6:58.0,,,62-54,,B. Knight misses 2-pt shot from 18 ft
6:57.0,Defensive rebound by Z. Randolph,,62-54,,
6:47.0,Z. Randolph misses 2-pt shot from 19 ft,,62-54,,
6:46.0,,,62-54,,Defensive rebound by K. Middleton
6:34.0,,,62-54,,K. Middleton misses 3-pt shot from 23 ft
6:33.0,Defensive rebound by Z. Randolph,,62-54,,
6:26.0,,,62-54,,Personal foul by L. Sanders (drawn by M. Gasol)
6:26.0,,,62-54,,Z. Pachulia enters the game for L. Sanders
6:14.0,M. Conley misses 2-pt shot from 19 ft,,62-54,,
6:13.0,,,62-54,,Defensive rebound by B. Knight
6:09.0,,,62-56,2,B. Knight makes 2-pt shot at rim
6:03.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Conley),2,64-56,,
6:03.0,Shooting foul by Z. Pachulia (drawn by T. Allen),,64-56,,
6:03.0,T. Allen makes free throw 1 of 1,1,65-56,,
5:44.0,,,65-58,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by B. Knight)
5:29.0,T. Allen misses 2-pt shot at rim,,65-58,,
5:27.0,,,65-58,,Defensive rebound by Z. Pachulia
5:21.0,,,65-58,,Milwaukee full timeout
5:21.0,T. Prince enters the game for C. Lee,,65-58,,
5:21.0,,,65-58,,Turnover by B. Knight (lost ball)
5:21.0,Jump ball: T. Allen vs. Z. Pachulia (Z. Randolph gains possession),,,,Jump ball: T. Allen vs. Z. Pachulia (Z. Randolph gains possession)
5:06.0,Shooting foul by E. Ilyasova (drawn by M. Gasol),,65-58,,
5:06.0,M. Gasol makes free throw 1 of 2,1,66-58,,
5:06.0,M. Gasol makes free throw 2 of 2,1,67-58,,
4:54.0,,,67-60,2,B. Knight makes 2-pt shot from 19 ft
4:32.0,Offensive charge foul by M. Conley,,67-60,,
4:32.0,Turnover by M. Conley (offensive foul),,67-60,,
4:10.0,,,67-60,,Turnover by B. Knight (bad pass; steal by T. Prince)
4:07.0,T. Prince misses 2-pt shot at rim,,67-60,,
4:07.0,,,67-60,,Defensive rebound by Team
3:55.0,,,67-62,2,B. Knight makes 2-pt shot from 19 ft
3:41.0,Z. Randolph misses 2-pt shot at rim,,67-62,,
3:41.0,Offensive rebound by Team,,67-62,,
3:41.0,B. Udrih enters the game for M. Conley,,67-62,,
3:41.0,,,67-62,,J. Bayless enters the game for B. Knight
3:19.0,Z. Randolph misses 2-pt shot from 7 ft,,67-62,,
3:17.0,,,67-62,,Defensive rebound by E. Ilyasova
3:08.0,,,67-64,2,J. Parker makes 2-pt shot from 13 ft
2:53.0,Memphis full timeout,,67-64,,
2:53.0,Q. Pondexter enters the game for T. Allen,,67-64,,
2:53.0,,,67-64,,O. Mayo enters the game for K. Middleton
2:43.0,M. Gasol misses 2-pt shot from 14 ft,,67-64,,
2:41.0,Offensive rebound by Team,,67-64,,
2:29.0,M. Gasol makes 2-pt shot at rim (assist by B. Udrih),2,69-64,,
2:10.0,,,69-64,,J. Bayless misses 3-pt shot from 26 ft
2:09.0,Defensive rebound by Team,,69-64,,
1:50.0,Q. Pondexter misses 3-pt shot from 25 ft,,69-64,,
1:49.0,,,69-64,,Defensive rebound by Team
1:49.0,Loose ball foul by Z. Randolph (drawn by Z. Pachulia),,69-64,,
1:49.0,J. Leuer enters the game for Z. Randolph,,69-64,,
1:49.0,,,69-64,,G. Antetokounmpo enters the game for J. Parker
1:36.0,,,69-64,,O. Mayo misses 3-pt shot from 26 ft
1:35.0,,,69-64,,Offensive rebound by Z. Pachulia
1:33.0,,,69-64,,Z. Pachulia misses 2-pt shot from 1 ft
1:31.0,,,69-64,,Offensive rebound by E. Ilyasova
1:31.0,,,69-64,,E. Ilyasova misses 2-pt shot at rim
1:30.0,,,69-64,,Offensive rebound by E. Ilyasova
1:30.0,,,69-64,,E. Ilyasova misses 2-pt shot at rim
1:30.0,,,69-64,,Offensive rebound by Team
1:30.0,,,69-64,,J. Dudley enters the game for E. Ilyasova
1:14.0,,,69-64,,Z. Pachulia misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by M. Gasol,,69-64,,
1:14.0,,,69-64,,Personal foul by Z. Pachulia (drawn by M. Gasol)
1:14.0,M. Gasol misses free throw 1 of 2,,69-64,,
1:14.0,Offensive rebound by Team,,69-64,,
1:14.0,,,69-64,,J. Henson enters the game for Z. Pachulia
1:14.0,M. Gasol makes free throw 2 of 2,1,70-64,,
0:50.0,,,70-64,,J. Henson misses 2-pt shot from 6 ft (block by M. Gasol)
0:48.0,Defensive rebound by M. Gasol,,70-64,,
0:29.0,T. Prince misses 2-pt shot from 6 ft,,70-64,,
0:28.0,Offensive rebound by Q. Pondexter,,70-64,,
0:28.0,Shooting foul by J. Henson (drawn by Q. Pondexter),,70-64,,
0:28.0,Q. Pondexter makes free throw 1 of 2,1,71-64,,
0:28.0,K. Koufos enters the game for M. Gasol,,71-64,,
0:28.0,T. Allen enters the game for B. Udrih,,71-64,,
0:28.0,Q. Pondexter makes free throw 2 of 2,1,72-64,,
0:02.0,,,72-64,,J. Dudley misses 2-pt shot from 15 ft
0:01.0,,,72-64,,Offensive rebound by J. Dudley
0:00.0,,,72-66,2,J. Dudley makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,72-66,,G. Antetokounmpo misses 2-pt shot at rim
11:46.0,,,72-66,,Offensive rebound by J. Henson
11:35.0,,,72-68,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
11:20.0,B. Udrih misses 2-pt shot from 18 ft,,72-68,,
11:18.0,,,72-68,,Defensive rebound by O. Mayo
11:13.0,,,72-68,,O. Mayo misses 3-pt shot from 25 ft
11:12.0,,,72-68,,Offensive rebound by J. Bayless
11:08.0,,,72-71,3,O. Mayo makes 3-pt shot from 23 ft (assist by J. Bayless)
11:07.0,Memphis full timeout,,72-71,,
11:07.0,C. Lee enters the game for Q. Pondexter,,72-71,,
11:07.0,Z. Randolph enters the game for K. Koufos,,72-71,,
10:42.0,J. Leuer misses 2-pt shot from 5 ft,,72-71,,
10:40.0,,,72-71,,Defensive rebound by J. Henson
10:31.0,,,72-71,,Shooting foul by J. Leuer (drawn by G. Antetokounmpo)
10:31.0,,,72-72,1,G. Antetokounmpo makes free throw 1 of 2
10:31.0,,,72-73,1,G. Antetokounmpo makes free throw 2 of 2
10:13.0,T. Prince misses 2-pt shot at rim,,72-73,,
10:11.0,Offensive rebound by T. Prince,,72-73,,
10:11.0,T. Prince makes 2-pt shot at rim,2,74-73,,
9:59.0,,,74-73,,Shooting foul by T. Prince (drawn by G. Antetokounmpo)
9:59.0,,,74-74,1,G. Antetokounmpo makes free throw 1 of 2
9:59.0,,,74-75,1,G. Antetokounmpo makes free throw 2 of 2
9:47.0,C. Lee misses 3-pt shot from 23 ft,,74-75,,
9:46.0,,,74-75,,Defensive rebound by J. Henson
9:42.0,,,74-77,2,O. Mayo makes 2-pt shot at rim (assist by J. Bayless)
9:21.0,Z. Randolph misses 2-pt shot from 2 ft,,74-77,,
9:19.0,Offensive rebound by J. Leuer,,74-77,,
9:19.0,J. Leuer makes 2-pt shot at rim,2,76-77,,
9:11.0,,,76-77,,O. Mayo misses 3-pt shot from 23 ft
9:10.0,Defensive rebound by Z. Randolph,,76-77,,
8:55.0,B. Udrih makes 2-pt shot at rim,2,78-77,,
8:36.0,,,78-79,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
8:14.0,Shooting foul by J. Bayless (drawn by B. Udrih),,78-79,,
8:14.0,B. Udrih makes free throw 1 of 2,1,79-79,,
8:14.0,B. Udrih makes free throw 2 of 2,1,80-79,,
8:00.0,,,80-79,,J. Bayless misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by J. Leuer,,80-79,,
7:44.0,J. Leuer misses 2-pt shot from 19 ft,,80-79,,
7:42.0,Offensive rebound by C. Lee,,80-79,,
7:32.0,Z. Randolph misses 2-pt shot from 14 ft,,80-79,,
7:30.0,Offensive rebound by Z. Randolph,,80-79,,
7:12.0,Turnover by B. Udrih (lost ball; steal by J. Bayless),,80-79,,
7:09.0,,,80-81,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
6:58.0,Memphis full timeout,,80-81,,
6:58.0,,,80-81,,L. Sanders enters the game for J. Henson
6:58.0,M. Gasol enters the game for J. Leuer,,80-81,,
6:58.0,M. Conley enters the game for B. Udrih,,80-81,,
6:43.0,M. Conley misses 3-pt shot from 27 ft,,80-81,,
6:41.0,Offensive rebound by Z. Randolph,,80-81,,
6:34.0,C. Lee makes 3-pt shot from 25 ft (assist by Z. Randolph),3,83-81,,
6:12.0,,,83-81,,J. Dudley misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by Z. Randolph,,83-81,,
6:04.0,C. Lee misses 2-pt shot at rim,,83-81,,
6:02.0,Offensive rebound by C. Lee,,83-81,,
5:58.0,T. Prince misses 3-pt shot from 23 ft,,83-81,,
5:57.0,,,83-81,,Defensive rebound by J. Bayless
5:47.0,,,83-81,,O. Mayo misses 2-pt shot from 20 ft
5:46.0,,,83-81,,Offensive rebound by J. Dudley
5:38.0,,,83-81,,O. Mayo misses 2-pt shot at rim
5:35.0,Defensive rebound by T. Prince,,83-81,,
5:16.0,M. Gasol misses 2-pt shot at rim,,83-81,,
5:14.0,,,83-81,,Defensive rebound by L. Sanders
5:08.0,,,83-81,,Turnover by O. Mayo (bad pass; steal by C. Lee)
5:04.0,M. Conley makes 2-pt shot at rim (assist by T. Prince),2,85-81,,
4:40.0,,,85-83,2,G. Antetokounmpo makes 2-pt shot at rim
4:24.0,M. Conley misses 2-pt shot from 4 ft,,85-83,,
