time,LA Lakers,pts.away,score,pts.home,Milwaukee
4:05.0,Defensive rebound by C. Boozer,,14-19,,
4:03.0,Turnover by C. Boozer (bad pass; steal by K. Middleton),,14-19,,
3:58.0,,,14-19,,B. Knight misses 2-pt shot from 15 ft
3:57.0,,,14-19,,Offensive rebound by J. Henson
3:53.0,,,14-21,2,J. Dudley makes 2-pt shot from 15 ft (assist by J. Henson)
3:33.0,C. Boozer makes 2-pt shot from 15 ft (assist by W. Ellington),2,16-21,,
3:13.0,,,16-21,,Turnover by J. Henson (bad pass)
3:13.0,W. Johnson enters the game for R. Kelly,,16-21,,
2:52.0,C. Boozer misses 2-pt shot from 16 ft,,16-21,,
2:51.0,Offensive rebound by W. Johnson,,16-21,,
2:48.0,W. Johnson makes 2-pt shot from 18 ft,2,18-21,,
2:35.0,,,18-21,,Turnover by B. Knight (lost ball)
2:35.0,LA Lakers full timeout,,18-21,,
2:35.0,,,18-21,,J. O'Bryant enters the game for J. Dudley
2:35.0,,,18-21,,J. Bayless enters the game for J. Henson
2:35.0,,,18-21,,G. Antetokounmpo enters the game for B. Knight
2:18.0,J. Lin misses 2-pt shot from 11 ft,,18-21,,
2:16.0,Offensive rebound by E. Davis,,18-21,,
2:11.0,W. Ellington makes 3-pt shot from 25 ft (assist by E. Davis),3,21-21,,
1:56.0,,,21-23,2,K. Middleton makes 2-pt shot from 17 ft (assist by J. Bayless)
1:37.0,Turnover by W. Johnson (bad pass; steal by G. Antetokounmpo),,21-23,,
1:31.0,,,21-26,3,O. Mayo makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
1:03.0,W. Johnson misses 2-pt shot from 17 ft (block by O. Mayo),,21-26,,
1:03.0,Offensive rebound by Team,,21-26,,
1:03.0,Turnover by Team (shot clock),,21-26,,
1:03.0,N. Young enters the game for W. Ellington,,21-26,,
0:47.0,,,21-26,,J. O'Bryant misses 2-pt shot at rim
0:45.0,Defensive rebound by C. Boozer,,21-26,,
0:40.0,,,21-26,,Personal foul by G. Antetokounmpo (drawn by E. Davis)
0:34.0,N. Young makes 3-pt shot from 26 ft (assist by J. Lin),3,24-26,,
0:26.0,,,24-26,,G. Antetokounmpo misses 2-pt shot from 17 ft
0:25.0,Defensive rebound by E. Davis,,24-26,,
0:05.0,J. Lin misses 3-pt shot from 28 ft,,24-26,,
0:04.0,,,24-26,,Defensive rebound by J. O'Bryant
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by J. Lin (bad pass; steal by J. O'Bryant),,24-26,,
11:38.0,,,24-28,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
11:21.0,,,24-28,,Personal foul by O. Mayo (drawn by J. Lin)
11:13.0,C. Boozer misses 2-pt shot from 18 ft,,24-28,,
11:12.0,,,24-28,,Defensive rebound by J. Bayless
11:03.0,Personal foul by J. Lin (drawn by J. Bayless),,24-28,,
10:49.0,,,24-28,,J. Bayless misses 2-pt shot from 19 ft
10:48.0,Defensive rebound by E. Davis,,24-28,,
10:32.0,W. Johnson misses 2-pt shot from 19 ft,,24-28,,
10:31.0,,,24-28,,Defensive rebound by O. Mayo
10:24.0,,,24-30,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
10:02.0,E. Davis misses 2-pt shot from 6 ft (block by G. Antetokounmpo),,24-30,,
10:01.0,,,24-30,,Defensive rebound by J. Bayless
9:58.0,,,24-30,,Turnover by G. Antetokounmpo (lost ball)
9:46.0,J. Lin makes 2-pt shot at rim,2,26-30,,
9:21.0,,,26-30,,O. Mayo misses 2-pt shot at rim
9:19.0,Defensive rebound by E. Davis,,26-30,,
9:15.0,,,26-30,,Personal foul by J. Bayless (drawn by E. Davis)
9:07.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,28-30,,
8:47.0,,,28-30,,J. Dudley misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by E. Davis,,28-30,,
8:38.0,C. Boozer makes 2-pt shot from 8 ft,2,30-30,,
8:25.0,,,30-33,3,O. Mayo makes 3-pt shot from 24 ft (assist by J. Bayless)
8:05.0,Shooting foul by O. Mayo (drawn by N. Young),,30-33,,
8:05.0,Official timeout,,30-33,,
8:05.0,J. Clarkson enters the game for J. Lin,,30-33,,
8:05.0,N. Young makes free throw 1 of 3,1,31-33,,
8:05.0,N. Young makes free throw 2 of 3,1,32-33,,
8:05.0,N. Young makes free throw 3 of 3,1,33-33,,
7:53.0,,,33-33,,J. Dudley misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by W. Johnson,,33-33,,
7:36.0,C. Boozer makes 2-pt shot from 16 ft (assist by W. Johnson),2,35-33,,
7:20.0,,,35-33,,J. Dudley misses 2-pt shot from 17 ft
7:19.0,Defensive rebound by E. Davis,,35-33,,
6:59.0,W. Johnson misses 2-pt shot at rim,,35-33,,
6:57.0,,,35-33,,Defensive rebound by J. O'Bryant
6:49.0,,,35-33,,J. O'Bryant misses 2-pt shot from 15 ft
6:48.0,Defensive rebound by E. Davis,,35-33,,
6:27.0,W. Johnson makes 3-pt shot from 26 ft (assist by C. Boozer),3,38-33,,
6:16.0,Personal foul by W. Johnson (drawn by G. Antetokounmpo),,38-33,,
6:16.0,,,38-33,,K. Middleton enters the game for J. Dudley
6:16.0,,,38-33,,J. Henson enters the game for J. O'Bryant
6:16.0,W. Ellington enters the game for E. Davis,,38-33,,
6:16.0,R. Sacre enters the game for W. Johnson,,38-33,,
6:04.0,,,38-33,,O. Mayo misses 2-pt shot from 14 ft
6:03.0,Defensive rebound by C. Boozer,,38-33,,
5:48.0,C. Boozer makes 2-pt shot from 17 ft (assist by J. Clarkson),2,40-33,,
5:41.0,,,40-33,,Milwaukee full timeout
5:41.0,,,40-33,,B. Knight enters the game for O. Mayo
5:25.0,,,40-33,,K. Middleton misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by C. Boozer,,40-33,,
5:09.0,N. Young misses 2-pt shot from 3 ft,,40-33,,
5:08.0,Offensive rebound by W. Ellington,,40-33,,
5:07.0,W. Ellington misses 2-pt shot from 1 ft,,40-33,,
5:06.0,Offensive rebound by N. Young,,40-33,,
5:04.0,N. Young makes 2-pt shot at rim,2,42-33,,
4:55.0,Violation by N. Young (kicked ball),,42-33,,
4:55.0,T. Black enters the game for C. Boozer,,42-33,,
4:44.0,,,42-33,,Turnover by G. Antetokounmpo (lost ball)
4:33.0,,,42-33,,Personal foul by G. Antetokounmpo (drawn by R. Sacre)
4:25.0,,,42-33,,Def 3 sec tech foul by J. Henson
4:25.0,N. Young makes technical free throw,1,43-33,,
4:14.0,W. Ellington misses 3-pt shot from 26 ft,,43-33,,
4:11.0,Offensive rebound by R. Sacre,,43-33,,
3:59.0,Shooting foul by J. Bayless (drawn by N. Young),,43-33,,
3:59.0,N. Young misses free throw 1 of 3,,43-33,,
3:59.0,Offensive rebound by Team,,43-33,,
3:59.0,N. Young misses free throw 2 of 3,,43-33,,
3:59.0,Offensive rebound by Team,,43-33,,
3:59.0,N. Young misses free throw 3 of 3,,43-33,,
3:57.0,,,43-33,,Defensive rebound by G. Antetokounmpo
3:44.0,,,43-33,,Shooting foul by T. Black (drawn by G. Antetokounmpo)
3:44.0,,,43-34,1,G. Antetokounmpo makes free throw 1 of 2
3:44.0,C. Boozer enters the game for T. Black,,43-34,,
3:44.0,,,43-35,1,G. Antetokounmpo makes free throw 2 of 2
3:26.0,,,43-35,,Personal foul by J. Henson (drawn by C. Boozer)
3:26.0,C. Boozer makes free throw 1 of 2,1,44-35,,
3:26.0,C. Boozer makes free throw 2 of 2,1,45-35,,
3:04.0,,,45-35,,J. Bayless misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by J. Clarkson,,45-35,,
2:55.0,LA Lakers full timeout,,45-35,,
2:55.0,,,45-35,,J. Dudley enters the game for J. Bayless
2:41.0,N. Young makes 3-pt shot from 23 ft (assist by J. Clarkson),3,48-35,,
2:28.0,,,48-35,,Shooting foul by R. Sacre (drawn by K. Middleton)
2:28.0,,,48-37,2,K. Middleton makes 2-pt shot at rim (assist by B. Knight)
2:28.0,,,48-38,1,K. Middleton makes free throw 1 of 1
2:14.0,R. Sacre makes 2-pt shot from 6 ft (assist by C. Boozer),2,50-38,,
2:01.0,,,50-38,,B. Knight misses 2-pt shot from 18 ft
2:00.0,Defensive rebound by W. Ellington,,50-38,,
1:53.0,R. Sacre makes 2-pt shot at rim (assist by W. Ellington),2,52-38,,
1:38.0,,,52-40,2,J. Henson makes 2-pt shot from 6 ft (assist by K. Middleton)
1:17.0,J. Clarkson misses 2-pt shot at rim (block by G. Antetokounmpo),,52-40,,
1:15.0,,,52-40,,Defensive rebound by G. Antetokounmpo
1:04.0,Shooting block foul by J. Clarkson (drawn by B. Knight),,52-40,,
1:04.0,,,52-41,1,B. Knight makes free throw 1 of 2
1:04.0,,,52-41,,J. Bayless enters the game for G. Antetokounmpo
1:04.0,E. Davis enters the game for R. Sacre,,52-41,,
1:04.0,,,52-42,1,B. Knight makes free throw 2 of 2
0:46.0,Turnover by J. Clarkson (lost ball; steal by K. Middleton),,52-42,,
0:42.0,,,52-44,2,J. Henson makes 2-pt shot at rim (assist by B. Knight)
0:24.0,Turnover by J. Clarkson (offensive foul),,52-44,,
0:24.0,Offensive foul by J. Clarkson,,52-44,,
0:07.0,,,52-46,2,J. Henson makes 2-pt shot at rim (assist by B. Knight)
0:03.0,C. Boozer makes 2-pt shot from 1 ft,2,54-46,,
0:00.0,,,54-46,,J. Bayless misses 3-pt shot from 30 ft
0:00.0,,,54-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,W. Ellington makes 2-pt shot from 18 ft,2,56-46,,
11:26.0,,,56-46,,Turnover by J. Dudley (bad pass)
11:08.0,,,56-46,,Shooting block foul by J. Henson (drawn by T. Black)
11:08.0,T. Black misses free throw 1 of 2,,56-46,,
11:08.0,Offensive rebound by Team,,56-46,,
11:08.0,T. Black makes free throw 2 of 2,1,57-46,,
10:48.0,,,57-48,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Dudley)
10:21.0,J. Clarkson misses 3-pt shot from 29 ft,,57-48,,
10:20.0,,,57-48,,Defensive rebound by K. Middleton
10:09.0,,,57-50,2,K. Middleton makes 2-pt shot from 5 ft
9:47.0,R. Sacre makes 2-pt shot from 6 ft,2,59-50,,
9:31.0,,,59-52,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by B. Knight)
9:06.0,T. Black makes 2-pt shot from 1 ft,2,61-52,,
8:53.0,,,61-54,2,B. Knight makes 2-pt shot from 17 ft
8:29.0,W. Ellington misses 3-pt shot from 25 ft,,61-54,,
8:28.0,,,61-54,,Defensive rebound by G. Antetokounmpo
8:22.0,Personal block foul by R. Kelly (drawn by J. Dudley),,61-54,,
8:12.0,,,61-54,,J. Henson misses 2-pt shot from 1 ft
8:09.0,Defensive rebound by R. Sacre,,61-54,,
7:50.0,W. Ellington misses 3-pt shot from 27 ft,,61-54,,
7:49.0,,,61-54,,Defensive rebound by J. Henson
7:41.0,,,61-54,,Shooting foul by R. Kelly (drawn by J. Henson)
7:41.0,,,61-55,1,J. Henson makes free throw 1 of 2
7:41.0,,,61-55,,J. Henson misses free throw 2 of 2
7:40.0,Defensive rebound by T. Black,,61-55,,
7:36.0,Turnover by J. Clarkson (dbl dribble),,61-55,,
7:26.0,,,61-55,,K. Middleton misses 3-pt shot from 22 ft
7:25.0,Defensive rebound by T. Black,,61-55,,
7:15.0,W. Ellington misses 2-pt shot from 17 ft,,61-55,,
7:14.0,,,61-55,,Defensive rebound by G. Antetokounmpo
6:58.0,,,61-55,,B. Knight misses 3-pt shot from 26 ft
6:57.0,Defensive rebound by T. Black,,61-55,,
6:52.0,,,61-55,,Shooting block foul by B. Knight (drawn by J. Clarkson)
6:52.0,J. Clarkson makes free throw 1 of 2,1,62-55,,
6:52.0,J. Clarkson makes free throw 2 of 2,1,63-55,,
6:40.0,Personal block foul by W. Ellington (drawn by K. Middleton),,63-55,,
6:32.0,,,63-55,,B. Knight misses 2-pt shot from 17 ft
6:31.0,Defensive rebound by R. Kelly,,63-55,,
6:17.0,Shooting foul by J. Dudley (drawn by T. Black),,63-55,,
6:17.0,T. Black misses free throw 1 of 2,,63-55,,
6:17.0,Offensive rebound by Team,,63-55,,
6:17.0,T. Black misses free throw 2 of 2,,63-55,,
6:16.0,Offensive rebound by Team,,63-55,,
6:03.0,Turnover by R. Kelly (lost ball; steal by J. Henson),,63-55,,
5:36.0,,,63-57,2,G. Antetokounmpo makes 2-pt shot from 17 ft
5:28.0,,,63-57,,Personal foul by B. Knight (drawn by W. Ellington)
5:28.0,,,63-57,,Milwaukee full timeout
5:28.0,,,63-57,,O. Mayo enters the game for J. Dudley
5:15.0,W. Ellington makes 3-pt shot from 29 ft,3,66-57,,
5:01.0,,,66-59,2,K. Middleton makes 2-pt shot from 18 ft
4:53.0,Turnover by T. Black (lost ball; steal by K. Middleton),,66-59,,
4:40.0,,,66-59,,B. Knight misses 3-pt shot from 25 ft
4:39.0,,,66-59,,Offensive rebound by K. Middleton
4:38.0,,,66-61,2,K. Middleton makes 2-pt shot from 1 ft
4:08.0,R. Sacre misses 2-pt shot from 2 ft (block by J. Henson),,66-61,,
4:06.0,,,66-61,,Defensive rebound by J. Henson
4:03.0,,,66-63,2,O. Mayo makes 2-pt shot at rim
3:38.0,J. Clarkson misses 2-pt shot from 19 ft,,66-63,,
3:37.0,,,66-63,,Defensive rebound by Team
3:37.0,C. Boozer enters the game for R. Kelly,,66-63,,
3:37.0,N. Young enters the game for T. Black,,66-63,,
3:37.0,W. Johnson enters the game for R. Sacre,,66-63,,
3:37.0,J. Lin enters the game for W. Ellington,,66-63,,
3:37.0,E. Davis enters the game for J. Clarkson,,66-63,,
3:26.0,,,66-65,2,K. Middleton makes 2-pt shot from 18 ft
3:03.0,J. Lin misses 2-pt shot from 19 ft,,66-65,,
3:01.0,,,66-65,,Defensive rebound by G. Antetokounmpo
2:48.0,,,66-67,2,G. Antetokounmpo makes 2-pt shot at rim
2:32.0,C. Boozer misses 2-pt shot from 1 ft,,66-67,,
2:30.0,Offensive rebound by E. Davis,,66-67,,
2:25.0,Turnover by E. Davis (lost ball; steal by O. Mayo),,66-67,,
2:23.0,Shooting block foul by W. Johnson (drawn by K. Middleton),,66-67,,
2:23.0,LA Lakers full timeout,,66-67,,
2:23.0,,,66-68,1,K. Middleton makes free throw 1 of 2
2:23.0,,,66-69,1,K. Middleton makes free throw 2 of 2
2:10.0,Turnover by C. Boozer (bad pass),,66-69,,
1:55.0,,,66-71,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by B. Knight)
1:31.0,C. Boozer misses 2-pt shot from 18 ft,,66-71,,
1:30.0,Offensive rebound by E. Davis,,66-71,,
1:28.0,E. Davis misses 2-pt shot from 1 ft,,66-71,,
1:27.0,Offensive rebound by E. Davis,,66-71,,
1:17.0,N. Young misses 3-pt shot from 25 ft,,66-71,,
1:14.0,,,66-71,,Defensive rebound by B. Knight
1:08.0,,,66-74,3,B. Knight makes 3-pt shot from 25 ft (assist by O. Mayo)
0:55.0,E. Davis misses 2-pt shot from 2 ft,,66-74,,
0:53.0,,,66-74,,Defensive rebound by J. Henson
0:48.0,,,66-74,,B. Knight misses 2-pt shot from 1 ft (block by J. Lin)
0:48.0,Defensive rebound by Team,,66-74,,
0:48.0,,,66-74,,J. Dudley enters the game for J. Henson
0:48.0,,,66-74,,J. Bayless enters the game for B. Knight
0:31.0,N. Young makes 2-pt shot at rim,2,68-74,,
0:10.0,,,68-74,,G. Antetokounmpo misses 2-pt shot from 19 ft
0:09.0,Defensive rebound by J. Lin,,68-74,,
0:01.0,E. Davis misses 2-pt shot from 2 ft,,68-74,,
0:01.0,Offensive rebound by C. Boozer,,68-74,,
0:00.0,C. Boozer misses 2-pt shot at rim,,68-74,,
0:00.0,Offensive rebound by Team,,68-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,68-76,2,O. Mayo makes 2-pt shot from 1 ft (assist by J. Dudley)
11:18.0,J. Lin misses 2-pt shot from 18 ft,,68-76,,
11:17.0,Offensive rebound by W. Johnson,,68-76,,
11:16.0,W. Johnson makes 2-pt shot at rim,2,70-76,,
10:54.0,,,70-78,2,G. Antetokounmpo makes 2-pt shot at rim
10:38.0,,,70-78,,Shooting block foul by J. O'Bryant (drawn by E. Davis)
10:38.0,E. Davis misses free throw 1 of 2,,70-78,,
10:38.0,Offensive rebound by Team,,70-78,,
10:38.0,E. Davis makes free throw 2 of 2,1,71-78,,
10:25.0,,,71-78,,G. Antetokounmpo misses 2-pt shot at rim (block by E. Davis)
10:22.0,Defensive rebound by C. Boozer,,71-78,,
10:12.0,Turnover by N. Young (lost ball; steal by O. Mayo),,71-78,,
10:06.0,,,71-78,,J. Bayless misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by C. Boozer,,71-78,,
9:55.0,,,71-78,,Shooting block foul by G. Antetokounmpo (drawn by J. Lin)
9:55.0,J. Lin makes free throw 1 of 2,1,72-78,,
9:55.0,J. Lin makes free throw 2 of 2,1,73-78,,
9:49.0,,,73-78,,Offensive foul by G. Antetokounmpo
9:49.0,,,73-78,,Turnover by G. Antetokounmpo (offensive foul)
9:49.0,,,73-78,,K. Middleton enters the game for G. Antetokounmpo
9:35.0,N. Young makes 2-pt shot from 17 ft,2,75-78,,
9:19.0,,,75-78,,O. Mayo misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by J. Lin,,75-78,,
9:02.0,,,75-78,,Personal foul by J. O'Bryant (drawn by C. Boozer)
8:52.0,W. Johnson misses 3-pt shot from 25 ft,,75-78,,
8:51.0,Offensive rebound by E. Davis,,75-78,,
8:50.0,E. Davis misses 2-pt shot at rim,,75-78,,
8:50.0,,,75-78,,Defensive rebound by Team
8:50.0,Official timeout,,75-78,,
8:32.0,,,75-78,,K. Middleton misses 2-pt shot from 15 ft
8:31.0,Defensive rebound by E. Davis,,75-78,,
8:15.0,N. Young misses 3-pt shot from 26 ft,,75-78,,
8:13.0,,,75-78,,Defensive rebound by K. Middleton
8:05.0,Personal foul by E. Davis (drawn by J. Dudley),,75-78,,
7:58.0,Personal foul by J. Lin (drawn by O. Mayo),,75-78,,
7:46.0,,,75-78,,O. Mayo misses 2-pt shot from 10 ft
7:45.0,Defensive rebound by E. Davis,,75-78,,
7:29.0,N. Young misses 3-pt shot from 25 ft,,75-78,,
7:27.0,,,75-78,,Defensive rebound by J. O'Bryant
7:25.0,,,75-78,,Turnover by J. O'Bryant (bad pass; steal by W. Johnson)
7:21.0,C. Boozer misses 2-pt shot from 1 ft,,75-78,,
7:20.0,Offensive rebound by W. Johnson,,75-78,,
7:20.0,,,75-78,,Personal foul by K. Middleton (drawn by W. Johnson)
7:15.0,,,75-78,,Shooting block foul by J. O'Bryant (drawn by J. Lin)
7:15.0,J. Lin makes free throw 1 of 2,1,76-78,,
7:15.0,J. Lin makes free throw 2 of 2,1,77-78,,
7:06.0,Shooting block foul by J. Lin (drawn by J. Bayless),,77-78,,
7:06.0,,,77-79,1,J. Bayless makes free throw 1 of 2
7:06.0,,,77-80,1,J. Bayless makes free throw 2 of 2
7:01.0,LA Lakers full timeout,,77-80,,
7:01.0,W. Ellington enters the game for W. Johnson,,77-80,,
6:57.0,C. Boozer makes 2-pt shot at rim,2,79-80,,
6:35.0,,,79-80,,J. Dudley misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by N. Young,,79-80,,
6:26.0,Turnover by C. Boozer (lost ball; steal by J. O'Bryant),,79-80,,
6:21.0,,,79-82,2,J. Bayless makes 2-pt shot from 1 ft
6:04.0,C. Boozer makes 2-pt shot at rim (assist by E. Davis),2,81-82,,
5:51.0,,,81-82,,Offensive foul by J. O'Bryant
5:51.0,,,81-82,,Turnover by J. O'Bryant (offensive foul)
5:51.0,,,81-82,,J. Henson enters the game for J. O'Bryant
5:29.0,E. Davis misses 2-pt shot at rim (block by J. Henson),,81-82,,
5:27.0,,,81-82,,Defensive rebound by J. Bayless
5:23.0,,,81-82,,O. Mayo misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by J. Lin,,81-82,,
5:05.0,C. Boozer misses 2-pt shot from 8 ft (block by J. Henson),,81-82,,
5:05.0,Offensive rebound by Team,,81-82,,
5:05.0,,,81-82,,B. Knight enters the game for J. Bayless
5:00.0,N. Young misses 3-pt shot from 22 ft,,81-82,,
4:59.0,,,81-82,,Defensive rebound by B. Knight
4:50.0,,,81-82,,J. Henson misses 2-pt shot at rim
4:48.0,,,81-82,,Offensive rebound by J. Henson
4:48.0,,,81-82,,J. Henson misses 2-pt shot at rim
4:48.0,,,81-82,,Offensive rebound by B. Knight
4:44.0,,,81-82,,Turnover by O. Mayo (lost ball)
4:26.0,W. Ellington makes 2-pt shot from 19 ft (assist by C. Boozer),2,83-82,,
4:11.0,,,83-82,,Turnover by B. Knight (bad pass; steal by J. Lin)
3:56.0,W. Ellington misses 3-pt shot from 25 ft,,83-82,,
3:54.0,Offensive rebound by E. Davis,,83-82,,
3:50.0,Offensive foul by N. Young,,83-82,,
3:50.0,Turnover by N. Young (offensive foul),,83-82,,
3:33.0,,,83-82,,B. Knight misses 3-pt shot from 26 ft
3:32.0,,,83-82,,Offensive rebound by K. Middleton
3:32.0,Personal foul by W. Ellington (drawn by K. Middleton),,83-82,,
3:32.0,,,83-82,,G. Antetokounmpo enters the game for J. Dudley
3:27.0,,,83-82,,O. Mayo misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by C. Boozer,,83-82,,
3:11.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,85-82,,
2:52.0,,,85-82,,O. Mayo misses 2-pt shot from 9 ft
2:51.0,Defensive rebound by E. Davis,,85-82,,
2:37.0,J. Lin misses 2-pt shot at rim,,85-82,,
2:37.0,Offensive rebound by E. Davis,,85-82,,
2:37.0,E. Davis makes 2-pt shot at rim,2,87-82,,
2:37.0,,,87-82,,Milwaukee full timeout
2:37.0,,,87-82,,J. Bayless enters the game for O. Mayo
2:13.0,,,87-84,2,B. Knight makes 2-pt shot from 18 ft
1:52.0,C. Boozer misses 2-pt shot from 8 ft,,87-84,,
1:52.0,,,87-84,,Defensive rebound by K. Middleton
1:52.0,Loose ball foul by E. Davis (drawn by K. Middleton),,87-84,,
1:52.0,,,87-84,,K. Middleton misses free throw 1 of 2
1:52.0,,,87-84,,Offensive rebound by Team
1:52.0,,,87-85,1,K. Middleton makes free throw 2 of 2
1:35.0,J. Lin misses 2-pt shot from 1 ft,,87-85,,
1:35.0,Offensive rebound by E. Davis,,87-85,,
1:35.0,E. Davis makes 2-pt shot at rim,2,89-85,,
1:21.0,,,89-85,,B. Knight misses 2-pt shot from 1 ft
1:19.0,Defensive rebound by E. Davis,,89-85,,
1:02.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,91-85,,
1:02.0,,,91-85,,Milwaukee full timeout
1:02.0,,,91-85,,O. Mayo enters the game for J. Bayless
0:57.0,,,91-88,3,O. Mayo makes 3-pt shot from 26 ft (assist by K. Middleton)
0:36.0,J. Lin makes 3-pt shot from 25 ft,3,94-88,,
0:31.0,,,94-91,3,B. Knight makes 3-pt shot from 25 ft
0:20.0,LA Lakers full timeout,,94-91,,
0:08.0,J. Lin misses 3-pt shot from 25 ft,,94-91,,
0:07.0,Offensive rebound by Team,,94-91,,
0:07.0,Turnover by Team (shot clock),,94-91,,
0:07.0,,,94-91,,Milwaukee full timeout
0:01.0,,,94-94,3,O. Mayo makes 3-pt shot from 23 ft (assist by K. Middleton)
0:01.0,LA Lakers full timeout,,94-94,,
