time,Boston,pts.away,score,pts.home,Detroit
0:31.0,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas),2,27-16,,
0:31.0,,,27-16,,Detroit full timeout
0:09.0,,,27-16,,T. Prince misses 2-pt shot from 15 ft
0:08.0,Defensive rebound by J. Jerebko,,27-16,,
0:01.0,I. Thomas makes 3-pt shot from 25 ft,3,30-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,K. Olynyk misses 2-pt shot from 18 ft,,30-16,,
11:46.0,,,30-16,,Defensive rebound by A. Tolliver
11:29.0,,,30-16,,Turnover by T. Prince (bad pass; steal by K. Olynyk)
11:18.0,Shooting foul by A. Tolliver (drawn by J. Crowder),,30-16,,
11:18.0,J. Crowder makes free throw 1 of 2,1,31-16,,
11:18.0,J. Crowder makes free throw 2 of 2,1,32-16,,
11:03.0,,,32-19,3,J. Meeks makes 3-pt shot from 25 ft (assist by T. Prince)
10:45.0,K. Olynyk makes 2-pt shot at rim (assist by I. Thomas),2,34-19,,
10:42.0,,,34-19,,Detroit full timeout
10:19.0,,,34-21,2,G. Monroe makes 2-pt shot from 6 ft (assist by J. Lucas III)
10:02.0,Shooting foul by A. Tolliver (drawn by K. Olynyk),,34-21,,
10:02.0,K. Olynyk makes free throw 1 of 2,1,35-21,,
10:02.0,K. Olynyk makes free throw 2 of 2,1,36-21,,
9:47.0,Personal foul by K. Olynyk (drawn by G. Monroe),,36-21,,
9:47.0,,,36-21,,K. Caldwell-Pope enters the game for A. Tolliver
9:47.0,T. Zeller enters the game for K. Olynyk,,36-21,,
9:40.0,,,36-23,2,T. Prince makes 2-pt shot from 15 ft (assist by J. Meeks)
9:24.0,Turnover by I. Thomas (lost ball; steal by T. Prince),,36-23,,
9:20.0,,,36-23,,Turnover by G. Monroe (lost ball; steal by J. Crowder)
9:08.0,J. Crowder makes 2-pt shot from 15 ft (assist by I. Thomas),2,38-23,,
8:54.0,,,38-23,,Shooting foul by J. Jerebko (drawn by J. Meeks)
8:54.0,,,38-24,1,J. Meeks makes free throw 1 of 2
8:54.0,E. Turner enters the game for I. Thomas,,38-24,,
8:54.0,,,38-24,,R. Jackson enters the game for J. Lucas III
8:54.0,,,38-25,1,J. Meeks makes free throw 2 of 2
8:42.0,T. Zeller misses 2-pt shot from 18 ft,,38-25,,
8:41.0,Offensive rebound by J. Jerebko,,38-25,,
8:29.0,Turnover by E. Turner (bad pass; steal by G. Monroe),,38-25,,
8:21.0,,,38-27,2,T. Prince makes 2-pt shot from 17 ft (assist by J. Meeks)
8:01.0,Turnover by T. Zeller (3 sec),,38-27,,
7:47.0,,,38-29,2,R. Jackson makes 2-pt shot at rim
7:32.0,J. Crowder makes 2-pt shot from 22 ft,2,40-29,,
7:23.0,Personal foul by M. Smart (drawn by R. Jackson),,40-29,,
7:18.0,,,40-29,,Offensive foul by R. Jackson
7:18.0,,,40-29,,Turnover by R. Jackson (offensive foul)
7:01.0,,,40-29,,Personal foul by J. Meeks (drawn by M. Smart)
6:52.0,J. Crowder misses 2-pt shot from 5 ft (block by G. Monroe),,40-29,,
6:50.0,,,40-29,,Defensive rebound by T. Prince
6:44.0,,,40-32,3,J. Meeks makes 3-pt shot from 25 ft (assist by T. Prince)
6:44.0,Boston full timeout,,40-32,,
6:44.0,J. Sullinger enters the game for T. Zeller,,40-32,,
6:44.0,B. Bass enters the game for J. Crowder,,40-32,,
6:44.0,A. Bradley enters the game for J. Jerebko,,40-32,,
6:25.0,A. Bradley misses 3-pt shot from 26 ft,,40-32,,
6:24.0,,,40-32,,Defensive rebound by G. Monroe
6:16.0,,,40-32,,R. Jackson misses 2-pt shot at rim
6:14.0,,,40-32,,Offensive rebound by G. Monroe
6:12.0,,,40-34,2,G. Monroe makes 2-pt shot at rim
5:59.0,A. Bradley misses 2-pt shot from 17 ft,,40-34,,
5:57.0,,,40-34,,Defensive rebound by T. Prince
5:43.0,,,40-36,2,R. Jackson makes 2-pt shot from 20 ft
5:15.0,M. Smart misses 3-pt shot from 23 ft,,40-36,,
5:14.0,Offensive rebound by J. Sullinger,,40-36,,
5:12.0,J. Sullinger misses 2-pt shot from 2 ft (block by T. Prince),,40-36,,
5:12.0,Offensive rebound by B. Bass,,40-36,,
5:12.0,Shooting foul by G. Monroe (drawn by B. Bass),,40-36,,
5:12.0,B. Bass makes free throw 1 of 2,1,41-36,,
5:12.0,B. Bass makes free throw 2 of 2,1,42-36,,
5:07.0,Personal foul by M. Smart (drawn by R. Jackson),,42-36,,
5:07.0,I. Thomas enters the game for M. Smart,,42-36,,
4:55.0,,,42-38,2,T. Prince makes 2-pt shot from 18 ft (assist by R. Jackson)
4:30.0,E. Turner makes 2-pt shot from 14 ft,2,44-38,,
4:16.0,,,44-38,,Turnover by T. Prince (lost ball; steal by B. Bass)
4:16.0,,,44-38,,Personal foul by T. Prince (drawn by B. Bass)
4:16.0,B. Bass makes free throw 1 of 2,1,45-38,,
4:16.0,,,45-38,,A. Drummond enters the game for T. Prince
4:16.0,B. Bass makes free throw 2 of 2,1,46-38,,
4:00.0,,,46-38,,G. Monroe misses 2-pt shot from 4 ft
3:59.0,Defensive rebound by B. Bass,,46-38,,
3:50.0,B. Bass misses 3-pt shot from 23 ft,,46-38,,
3:48.0,,,46-38,,Defensive rebound by G. Monroe
3:30.0,,,46-40,2,R. Jackson makes 2-pt shot from 18 ft
3:14.0,Turnover by I. Thomas (step out of bounds),,46-40,,
3:02.0,,,46-40,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:01.0,Defensive rebound by B. Bass,,46-40,,
2:45.0,A. Bradley makes 3-pt shot from 26 ft (assist by B. Bass),3,49-40,,
2:20.0,,,49-42,2,G. Monroe makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope)
2:09.0,,,49-42,,Personal foul by G. Monroe (drawn by I. Thomas)
2:09.0,Official timeout,,49-42,,
2:09.0,,,49-42,,A. Tolliver enters the game for G. Monroe
2:09.0,I. Thomas makes free throw 1 of 2,1,50-42,,
2:09.0,I. Thomas makes free throw 2 of 2,1,51-42,,
1:54.0,,,51-44,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
1:34.0,J. Sullinger makes 2-pt shot from 5 ft,2,53-44,,
1:12.0,,,53-44,,Turnover by A. Drummond (lost ball; steal by J. Sullinger)
1:00.0,A. Bradley misses 3-pt shot from 25 ft,,53-44,,
1:00.0,Offensive rebound by Team,,53-44,,
1:00.0,,,53-44,,Loose ball foul by A. Drummond (drawn by J. Sullinger)
1:00.0,J. Sullinger makes free throw 1 of 2,1,54-44,,
1:00.0,,,54-44,,J. Anthony enters the game for A. Drummond
1:00.0,J. Sullinger makes free throw 2 of 2,1,55-44,,
0:46.0,,,55-47,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
0:34.0,J. Sullinger misses 3-pt shot from 27 ft,,55-47,,
0:33.0,,,55-47,,Defensive rebound by R. Jackson
0:27.0,,,55-47,,R. Jackson misses 2-pt shot from 18 ft
0:26.0,Defensive rebound by J. Sullinger,,55-47,,
0:02.0,Turnover by A. Bradley (bad pass; steal by J. Anthony),,55-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,A. Bradley makes 3-pt shot from 23 ft (assist by K. Olynyk),3,58-47,,
11:30.0,,,58-49,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
11:08.0,B. Bass makes 2-pt shot from 14 ft,2,60-49,,
11:03.0,,,60-51,2,A. Drummond makes 2-pt shot at rim (assist by C. Butler)
11:03.0,,,60-51,,Shooting foul by B. Bass (drawn by A. Drummond)
11:03.0,,,60-51,,A. Drummond misses free throw 1 of 1
11:03.0,Defensive rebound by K. Olynyk,,60-51,,
10:46.0,B. Bass makes 2-pt shot at rim (assist by A. Bradley),2,62-51,,
10:28.0,,,62-51,,K. Caldwell-Pope misses 2-pt shot from 15 ft
10:27.0,Defensive rebound by E. Turner,,62-51,,
10:25.0,K. Olynyk makes 2-pt shot at rim (assist by E. Turner),2,64-51,,
10:25.0,,,64-51,,Detroit full timeout
10:25.0,,,64-51,,A. Tolliver enters the game for A. Drummond
10:16.0,Personal foul by M. Smart (drawn by R. Jackson),,64-51,,
10:09.0,,,64-51,,Offensive foul by G. Monroe
10:09.0,,,64-51,,Turnover by G. Monroe (offensive foul)
9:52.0,A. Bradley misses 3-pt shot from 26 ft,,64-51,,
9:51.0,,,64-51,,Defensive rebound by C. Butler
9:43.0,,,64-51,,C. Butler misses 2-pt shot from 20 ft
9:42.0,Defensive rebound by A. Bradley,,64-51,,
9:35.0,Offensive charge foul by E. Turner,,64-51,,
9:35.0,Turnover by E. Turner (offensive foul),,64-51,,
9:09.0,,,64-51,,R. Jackson misses 2-pt shot from 8 ft
9:08.0,,,64-51,,Offensive rebound by G. Monroe
9:07.0,,,64-53,2,G. Monroe makes 2-pt shot at rim
8:53.0,B. Bass makes 2-pt shot at rim (assist by K. Olynyk),2,66-53,,
8:32.0,,,66-55,2,G. Monroe makes 2-pt shot at rim (assist by R. Jackson)
8:20.0,K. Olynyk misses 2-pt shot from 1 ft (block by G. Monroe),,66-55,,
8:19.0,,,66-55,,Defensive rebound by G. Monroe
8:08.0,,,66-58,3,R. Jackson makes 3-pt shot from 26 ft
7:50.0,A. Bradley misses 3-pt shot from 25 ft,,66-58,,
7:49.0,,,66-58,,Defensive rebound by C. Butler
7:40.0,,,66-58,,C. Butler misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by A. Bradley,,66-58,,
7:33.0,E. Turner misses 3-pt shot from 25 ft,,66-58,,
7:32.0,,,66-58,,Defensive rebound by R. Jackson
7:26.0,,,66-60,2,R. Jackson makes 2-pt shot from 1 ft
7:20.0,Boston full timeout,,66-60,,
7:08.0,B. Bass misses 2-pt shot from 19 ft,,66-60,,
7:07.0,,,66-60,,Defensive rebound by A. Tolliver
6:49.0,,,66-62,2,R. Jackson makes 2-pt shot from 1 ft
6:36.0,Turnover by E. Turner (bad pass; steal by G. Monroe),,66-62,,
6:31.0,,,66-64,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
6:15.0,B. Bass makes 2-pt shot at rim (assist by A. Bradley),2,68-64,,
6:03.0,,,68-66,2,A. Tolliver makes 2-pt shot at rim (assist by R. Jackson)
6:03.0,,,68-66,,Shooting foul by K. Olynyk (drawn by A. Tolliver)
6:03.0,I. Thomas enters the game for E. Turner,,68-66,,
6:03.0,J. Crowder enters the game for K. Olynyk,,68-66,,
6:03.0,,,68-67,1,A. Tolliver makes free throw 1 of 1
5:52.0,Turnover by A. Bradley (bad pass; steal by G. Monroe),,68-67,,
5:38.0,,,68-67,,A. Tolliver misses 3-pt shot from 23 ft
5:37.0,Defensive rebound by A. Bradley,,68-67,,
5:28.0,I. Thomas makes 2-pt shot at rim,2,70-67,,
5:13.0,,,70-67,,C. Butler misses 3-pt shot from 23 ft
5:12.0,,,70-67,,Offensive rebound by G. Monroe
5:12.0,,,70-67,,Shooting foul by B. Bass (drawn by G. Monroe)
5:12.0,,,70-68,1,G. Monroe makes free throw 1 of 2
5:12.0,T. Zeller enters the game for B. Bass,,70-68,,
5:12.0,,,70-68,,T. Prince enters the game for C. Butler
5:12.0,,,70-68,,G. Monroe misses free throw 2 of 2
5:11.0,Defensive rebound by J. Crowder,,70-68,,
4:57.0,I. Thomas misses 2-pt shot from 5 ft,,70-68,,
4:56.0,Offensive rebound by T. Zeller,,70-68,,
4:56.0,Turnover by T. Zeller (lost ball; steal by R. Jackson),,70-68,,
4:46.0,,,70-68,,G. Monroe misses 2-pt shot from 4 ft
4:45.0,Defensive rebound by J. Crowder,,70-68,,
4:39.0,M. Smart misses 3-pt shot from 27 ft,,70-68,,
4:37.0,,,70-68,,Defensive rebound by K. Caldwell-Pope
4:29.0,,,70-68,,R. Jackson misses 2-pt shot at rim
4:27.0,Defensive rebound by T. Zeller,,70-68,,
4:23.0,I. Thomas makes 2-pt shot from 1 ft,2,72-68,,
4:03.0,,,72-70,2,R. Jackson makes 2-pt shot from 5 ft
3:52.0,Shooting foul by K. Caldwell-Pope (drawn by I. Thomas),,72-70,,
3:52.0,I. Thomas misses free throw 1 of 2,,72-70,,
3:52.0,Offensive rebound by Team,,72-70,,
3:52.0,,,72-70,,A. Drummond enters the game for G. Monroe
3:52.0,I. Thomas makes free throw 2 of 2,1,73-70,,
3:41.0,,,73-70,,Turnover by R. Jackson (lost ball; steal by A. Bradley)
3:38.0,Shooting foul by K. Caldwell-Pope (drawn by J. Crowder),,73-70,,
3:38.0,J. Crowder makes free throw 1 of 2,1,74-70,,
3:38.0,,,74-70,,J. Meeks enters the game for K. Caldwell-Pope
3:38.0,J. Crowder makes free throw 2 of 2,1,75-70,,
3:23.0,,,75-72,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
3:09.0,I. Thomas misses 2-pt shot from 5 ft,,75-72,,
3:08.0,Offensive rebound by I. Thomas,,75-72,,
3:03.0,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas),3,78-72,,
2:46.0,,,78-72,,Turnover by R. Jackson (back court)
2:32.0,I. Thomas makes 2-pt shot at rim,2,80-72,,
2:32.0,Shooting foul by R. Jackson (drawn by I. Thomas),,80-72,,
2:32.0,,,80-72,,J. Lucas III enters the game for R. Jackson
2:32.0,I. Thomas makes free throw 1 of 1,1,81-72,,
2:11.0,,,81-72,,A. Tolliver misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by A. Bradley,,81-72,,
2:02.0,J. Crowder makes 2-pt shot from 10 ft (assist by I. Thomas),2,83-72,,
2:02.0,Shooting foul by A. Tolliver (drawn by J. Crowder),,83-72,,
2:02.0,J. Crowder makes free throw 1 of 1,1,84-72,,
1:40.0,,,84-74,2,T. Prince makes 2-pt shot from 19 ft
1:31.0,,,84-74,,Personal foul by A. Tolliver (drawn by I. Thomas)
1:31.0,I. Thomas makes free throw 1 of 2,1,85-74,,
1:31.0,,,85-74,,K. Caldwell-Pope enters the game for A. Tolliver
1:31.0,I. Thomas makes free throw 2 of 2,1,86-74,,
1:17.0,,,86-74,,Turnover by K. Caldwell-Pope (lost ball; steal by M. Smart)
1:10.0,A. Bradley misses 3-pt shot from 23 ft,,86-74,,
1:09.0,Offensive rebound by I. Thomas,,86-74,,
0:56.0,Shooting foul by J. Meeks (drawn by T. Zeller),,86-74,,
0:56.0,T. Zeller makes free throw 1 of 2,1,87-74,,
0:56.0,J. Jerebko enters the game for A. Bradley,,87-74,,
0:56.0,T. Zeller makes free throw 2 of 2,1,88-74,,
0:40.0,,,88-74,,Turnover by A. Drummond (bad pass; steal by M. Smart)
0:35.0,I. Thomas makes 3-pt shot from 26 ft,3,91-74,,
0:23.0,,,91-74,,J. Lucas III misses 2-pt shot from 4 ft
0:22.0,Defensive rebound by T. Zeller,,91-74,,
0:03.0,I. Thomas misses 3-pt shot from 27 ft,,91-74,,
0:02.0,,,91-74,,Defensive rebound by A. Drummond
0:01.0,,,91-74,,A. Drummond misses 3-pt shot from 78 ft
0:00.0,,,91-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,91-76,2,J. Meeks makes 2-pt shot from 19 ft (assist by J. Lucas III)
11:23.0,J. Crowder misses 2-pt shot from 20 ft,,91-76,,
11:22.0,,,91-76,,Defensive rebound by J. Meeks
11:17.0,,,91-78,2,T. Prince makes 2-pt shot from 20 ft (assist by J. Lucas III)
10:52.0,J. Jerebko makes 2-pt shot at rim (assist by J. Crowder),2,93-78,,
10:23.0,,,93-78,,A. Drummond misses 2-pt shot from 5 ft
10:22.0,Defensive rebound by T. Zeller,,93-78,,
10:17.0,,,93-78,,Personal foul by K. Caldwell-Pope (drawn by I. Thomas)
10:09.0,I. Thomas makes 2-pt shot at rim,2,95-78,,
10:09.0,,,95-78,,Detroit full timeout
10:09.0,,,95-78,,R. Jackson enters the game for J. Lucas III
9:53.0,,,95-78,,K. Caldwell-Pope misses 2-pt shot from 4 ft
9:52.0,Defensive rebound by J. Crowder,,95-78,,
9:32.0,J. Crowder misses 2-pt shot from 19 ft,,95-78,,
9:31.0,,,95-78,,Defensive rebound by T. Prince
9:20.0,,,95-81,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
9:00.0,J. Jerebko misses 3-pt shot from 25 ft,,95-81,,
8:59.0,,,95-81,,Defensive rebound by A. Drummond
8:48.0,,,95-81,,Turnover by R. Jackson (bad pass; steal by J. Jerebko)
8:37.0,M. Smart misses 3-pt shot from 27 ft,,95-81,,
8:37.0,,,95-81,,Defensive rebound by T. Prince
8:37.0,Personal foul by J. Jerebko (drawn by T. Prince),,95-81,,
8:37.0,E. Turner enters the game for M. Smart,,95-81,,
8:24.0,,,95-81,,R. Jackson misses 2-pt shot from 6 ft
8:23.0,,,95-81,,Offensive rebound by A. Drummond
8:22.0,,,95-81,,A. Drummond misses 2-pt shot from 1 ft
8:21.0,,,95-81,,Offensive rebound by A. Drummond
8:20.0,,,95-81,,A. Drummond misses 2-pt shot at rim
8:19.0,,,95-81,,Offensive rebound by A. Drummond
8:18.0,,,95-81,,A. Drummond misses 2-pt shot at rim
8:18.0,Defensive rebound by T. Zeller,,95-81,,
8:18.0,,,95-81,,Personal foul by A. Drummond (drawn by T. Zeller)
7:58.0,I. Thomas makes 3-pt shot from 26 ft,3,98-81,,
7:41.0,,,98-84,3,J. Meeks makes 3-pt shot from 23 ft (assist by R. Jackson)
7:22.0,I. Thomas makes 2-pt shot at rim,2,100-84,,
7:14.0,,,100-84,,Detroit full timeout
7:05.0,,,100-86,2,A. Drummond makes 2-pt shot at rim (assist by T. Prince)
6:46.0,I. Thomas makes 3-pt shot from 26 ft (assist by E. Turner),3,103-86,,
6:31.0,,,103-86,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by J. Crowder,,103-86,,
6:18.0,Shooting foul by K. Caldwell-Pope (drawn by J. Jerebko),,103-86,,
6:18.0,J. Jerebko makes free throw 1 of 2,1,104-86,,
6:18.0,J. Jerebko makes free throw 2 of 2,1,105-86,,
6:06.0,,,105-88,2,T. Prince makes 2-pt shot from 16 ft (assist by R. Jackson)
5:52.0,I. Thomas misses 3-pt shot from 25 ft (block by A. Drummond),,105-88,,
5:50.0,,,105-88,,Defensive rebound by K. Caldwell-Pope
5:48.0,,,105-90,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
5:32.0,Shooting foul by K. Caldwell-Pope (drawn by J. Crowder),,105-90,,
5:32.0,,,105-90,,G. Monroe enters the game for K. Caldwell-Pope
5:32.0,J. Crowder makes free throw 1 of 2,1,106-90,,
5:32.0,K. Olynyk enters the game for T. Zeller,,106-90,,
5:32.0,J. Sullinger enters the game for J. Jerebko,,106-90,,
5:32.0,J. Crowder makes free throw 2 of 2,1,107-90,,
5:18.0,,,107-90,,G. Monroe misses 2-pt shot from 19 ft
5:17.0,,,107-90,,Offensive rebound by A. Drummond
5:16.0,,,107-92,2,A. Drummond makes 2-pt shot at rim
4:52.0,J. Crowder misses 3-pt shot from 25 ft,,107-92,,
4:51.0,,,107-92,,Defensive rebound by A. Drummond
4:42.0,Personal foul by K. Olynyk (drawn by G. Monroe),,107-92,,
4:42.0,A. Bradley enters the game for I. Thomas,,107-92,,
4:34.0,,,107-94,2,A. Drummond makes 2-pt shot at rim (assist by G. Monroe)
4:14.0,J. Sullinger misses 2-pt shot from 13 ft,,107-94,,
4:12.0,Offensive rebound by K. Olynyk,,107-94,,
4:10.0,K. Olynyk misses 2-pt shot from 1 ft,,107-94,,
4:09.0,Offensive rebound by K. Olynyk,,107-94,,
4:07.0,K. Olynyk makes 2-pt shot from 1 ft,2,109-94,,
3:59.0,,,109-94,,Turnover by R. Jackson (step out of bounds)
3:59.0,,,109-94,,Violation by Team (delay of game)
3:39.0,J. Sullinger misses 2-pt shot from 6 ft,,109-94,,
3:38.0,,,109-94,,Defensive rebound by A. Drummond
3:25.0,,,109-94,,G. Monroe misses 2-pt shot from 5 ft
3:23.0,,,109-94,,Offensive rebound by G. Monroe
3:22.0,,,109-96,2,G. Monroe makes 2-pt shot from 1 ft
2:59.0,E. Turner misses 3-pt shot from 23 ft,,109-96,,
2:58.0,,,109-96,,Defensive rebound by A. Drummond
2:50.0,,,109-99,3,T. Prince makes 3-pt shot from 25 ft (assist by R. Jackson)
2:50.0,Boston full timeout,,109-99,,
2:50.0,I. Thomas enters the game for E. Turner,,109-99,,
2:29.0,I. Thomas misses 3-pt shot from 25 ft,,109-99,,
2:28.0,,,109-99,,Defensive rebound by A. Drummond
2:17.0,,,109-101,2,R. Jackson makes 2-pt shot from 1 ft
1:53.0,I. Thomas misses 2-pt shot from 11 ft,,109-101,,
1:52.0,,,109-101,,Defensive rebound by G. Monroe
1:47.0,Personal foul by K. Olynyk (drawn by A. Drummond),,109-101,,
1:47.0,T. Zeller enters the game for K. Olynyk,,109-101,,
1:47.0,B. Bass enters the game for J. Sullinger,,109-101,,
