time,Philadelphia,pts.away,score,pts.home,Milwaukee
7:13.0,H. Thompson misses 2-pt shot from 1 ft,,7-9,,
7:12.0,,,7-9,,Defensive rebound by J. Parker
7:10.0,,,7-9,,Turnover by J. Parker (bad pass; steal by T. Wroten)
7:00.0,N. Noel makes 2-pt shot from 4 ft (assist by H. Thompson),2,9-9,,
6:40.0,,,9-9,,B. Knight misses 3-pt shot from 27 ft
6:39.0,Defensive rebound by H. Thompson,,9-9,,
6:32.0,H. Thompson misses 3-pt shot from 25 ft,,9-9,,
6:30.0,,,9-9,,Defensive rebound by L. Sanders
6:15.0,,,9-9,,K. Middleton misses 2-pt shot from 6 ft
6:14.0,,,9-9,,Offensive rebound by L. Sanders
6:10.0,,,9-9,,J. Parker misses 3-pt shot from 29 ft
6:09.0,Defensive rebound by N. Noel,,9-9,,
6:05.0,Philadelphia full timeout,,9-9,,
6:05.0,,,9-9,,O. Mayo enters the game for K. Middleton
6:05.0,,,9-9,,G. Antetokounmpo enters the game for L. Sanders
6:05.0,,,9-9,,J. Henson enters the game for J. Dudley
5:50.0,H. Thompson makes 2-pt shot from 1 ft,2,11-9,,
5:42.0,,,11-9,,Turnover by B. Knight (bad pass; steal by H. Thompson)
5:20.0,T. Wroten makes 2-pt shot from 1 ft,2,13-9,,
5:02.0,,,13-9,,O. Mayo misses 2-pt shot from 19 ft
5:00.0,Defensive rebound by Team,,13-9,,
4:59.0,M. Thomas enters the game for H. Sims,,13-9,,
4:59.0,K. McDaniels enters the game for C. Johnson,,13-9,,
4:59.0,,,13-9,,K. Marshall enters the game for B. Knight
4:59.0,B. Davies enters the game for M. Thomas,,13-9,,
4:59.0,M. Thomas enters the game for B. Davies,,13-9,,
4:48.0,Turnover by H. Thompson (bad pass),,13-9,,
4:48.0,B. Davies enters the game for N. Noel,,13-9,,
4:32.0,,,13-11,2,J. Parker makes 2-pt shot from 2 ft
4:25.0,T. Wroten misses 2-pt shot from 2 ft (block by J. Henson),,13-11,,
4:24.0,,,13-11,,Defensive rebound by G. Antetokounmpo
4:20.0,,,13-11,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by Team,,13-11,,
4:19.0,,,13-11,,Loose ball foul by J. Henson (drawn by M. Thomas)
4:19.0,A. Shved enters the game for H. Thompson,,13-11,,
4:07.0,Turnover by T. Wroten (bad pass),,13-11,,
3:59.0,,,13-11,,Turnover by K. Marshall (bad pass; steal by M. Thomas)
3:55.0,M. Thomas misses 2-pt shot from 3 ft (block by J. Henson),,13-11,,
3:52.0,Offensive rebound by T. Wroten,,13-11,,
3:51.0,K. McDaniels makes 2-pt shot at rim (assist by T. Wroten),2,15-11,,
3:33.0,,,15-13,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson)
3:15.0,K. McDaniels makes 2-pt shot at rim (assist by M. Thomas),2,17-13,,
3:00.0,,,17-15,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
2:42.0,B. Davies misses 2-pt shot from 6 ft,,17-15,,
2:41.0,Offensive rebound by K. McDaniels,,17-15,,
2:41.0,K. McDaniels makes 2-pt shot at rim,2,19-15,,
2:30.0,,,19-15,,J. Parker misses 2-pt shot from 2 ft
2:29.0,Defensive rebound by B. Davies,,19-15,,
2:22.0,Turnover by T. Wroten (bad pass; steal by O. Mayo),,19-15,,
2:17.0,,,19-17,2,J. Parker makes 2-pt shot at rim (assist by O. Mayo)
1:55.0,Turnover by B. Davies (bad pass; steal by J. Henson),,19-17,,
1:49.0,,,19-17,,G. Antetokounmpo misses 2-pt shot from 1 ft
1:47.0,,,19-17,,Offensive rebound by J. Henson
1:47.0,,,19-19,2,J. Henson makes 2-pt shot at rim
1:25.0,T. Wroten misses 3-pt shot from 26 ft,,19-19,,
1:24.0,,,19-19,,Defensive rebound by G. Antetokounmpo
1:17.0,,,19-22,3,O. Mayo makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
1:02.0,K. McDaniels misses 2-pt shot at rim (block by J. Henson),,19-22,,
1:02.0,Offensive rebound by Team,,19-22,,
1:02.0,,,19-22,,Milwaukee full timeout
1:02.0,L. Mbah a Moute enters the game for T. Wroten,,19-22,,
1:00.0,M. Thomas makes 2-pt shot at rim (assist by L. Mbah a Moute),2,21-22,,
0:41.0,,,21-24,2,J. Parker makes 2-pt shot from 17 ft (assist by O. Mayo)
0:35.0,K. McDaniels makes 3-pt shot from 25 ft (assist by A. Shved),3,24-24,,
0:26.0,,,24-24,,O. Mayo misses 2-pt shot from 16 ft
0:25.0,Defensive rebound by L. Mbah a Moute,,24-24,,
0:02.0,Turnover by Team (shot clock),,24-24,,
0:01.0,,,24-24,,Turnover by O. Mayo (bad pass; steal by B. Davies)
0:00.0,A. Shved misses 3-pt shot from 58 ft,,24-24,,
0:00.0,Offensive rebound by Team,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,24-24,,J. Bayless misses 2-pt shot at rim
11:35.0,Defensive rebound by M. Thomas,,24-24,,
11:25.0,N. Noel misses 2-pt shot from 5 ft (block by J. Henson),,24-24,,
11:23.0,Offensive rebound by M. Thomas,,24-24,,
11:22.0,M. Thomas makes 2-pt shot at rim,2,26-24,,
11:00.0,,,26-26,2,O. Mayo makes 2-pt shot from 17 ft (assist by J. Bayless)
10:33.0,M. Thomas makes 2-pt shot at rim (assist by A. Shved),2,28-26,,
10:16.0,H. Sims enters the game for M. Thomas,,28-26,,
10:16.0,H. Thompson enters the game for K. McDaniels,,28-26,,
10:12.0,,,28-26,,Turnover by J. Bayless (traveling)
9:53.0,N. Noel makes 2-pt shot from 4 ft,2,30-26,,
9:35.0,,,30-26,,Shooting foul by H. Sims (drawn by J. Henson)
9:35.0,,,30-26,,J. Henson misses free throw 1 of 2
9:35.0,,,30-26,,Offensive rebound by Team
9:35.0,,,30-26,,J. Henson misses free throw 2 of 2
9:34.0,Defensive rebound by N. Noel,,30-26,,
9:24.0,A. Shved misses 2-pt shot at rim (block by J. Henson),,30-26,,
9:22.0,,,30-26,,Defensive rebound by G. Antetokounmpo
9:14.0,,,30-29,3,O. Mayo makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
8:57.0,,,30-29,,Personal block foul by E. Ilyasova (drawn by A. Shved)
8:57.0,Official timeout,,30-29,,
8:50.0,H. Thompson misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,30-29,,
8:49.0,Offensive rebound by Team,,30-29,,
8:48.0,N. Noel makes 2-pt shot at rim (assist by L. Mbah a Moute),2,32-29,,
8:33.0,,,32-29,,E. Ilyasova misses 3-pt shot from 26 ft
8:31.0,,,32-29,,Offensive rebound by J. Henson
8:31.0,,,32-29,,J. Henson misses 2-pt shot at rim
8:30.0,Defensive rebound by L. Mbah a Moute,,32-29,,
8:26.0,,,32-29,,Personal foul by O. Mayo (drawn by L. Mbah a Moute)
8:26.0,,,32-29,,B. Knight enters the game for J. Bayless
8:26.0,,,32-29,,L. Sanders enters the game for J. Henson
8:16.0,Shooting foul by O. Mayo (drawn by L. Mbah a Moute),,32-29,,
8:16.0,L. Mbah a Moute makes free throw 1 of 2,1,33-29,,
8:16.0,,,33-29,,K. Middleton enters the game for O. Mayo
8:16.0,L. Mbah a Moute misses free throw 2 of 2,,33-29,,
8:13.0,,,33-29,,Defensive rebound by G. Antetokounmpo
8:00.0,,,33-29,,Turnover by E. Ilyasova (bad pass)
7:40.0,A. Shved misses 2-pt shot from 19 ft,,33-29,,
7:39.0,,,33-29,,Defensive rebound by L. Sanders
7:31.0,,,33-31,2,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by B. Knight)
7:17.0,H. Thompson misses 2-pt shot from 15 ft,,33-31,,
7:13.0,Offensive rebound by H. Sims,,33-31,,
7:11.0,Turnover by H. Sims (lost ball; steal by L. Sanders),,33-31,,
7:09.0,,,33-31,,Turnover by G. Antetokounmpo (lost ball)
7:09.0,,,33-31,,J. Parker enters the game for E. Ilyasova
7:09.0,T. Wroten enters the game for A. Shved,,33-31,,
6:50.0,H. Thompson misses 2-pt shot at rim,,33-31,,
6:49.0,,,33-31,,Defensive rebound by B. Knight
6:45.0,,,33-31,,L. Sanders misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by H. Sims,,33-31,,
6:28.0,T. Wroten misses 3-pt shot from 27 ft,,33-31,,
6:26.0,Offensive rebound by H. Sims,,33-31,,
6:25.0,H. Sims misses 2-pt shot from 6 ft,,33-31,,
6:13.0,,,33-31,,Defensive rebound by L. Sanders
6:13.0,,,33-31,,G. Antetokounmpo misses 2-pt shot from 6 ft
6:12.0,,,33-31,,Offensive rebound by L. Sanders
6:12.0,,,33-31,,L. Sanders misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by H. Thompson,,33-31,,
6:03.0,T. Wroten makes 2-pt shot at rim,2,35-31,,
6:03.0,Shooting foul by L. Sanders (drawn by T. Wroten),,35-31,,
6:03.0,,,35-31,,Milwaukee full timeout
6:03.0,C. Johnson enters the game for L. Mbah a Moute,,35-31,,
6:03.0,T. Wroten misses free throw 1 of 1,,35-31,,
6:01.0,,,35-31,,Defensive rebound by K. Middleton
5:51.0,,,35-31,,Turnover by B. Knight (lost ball; steal by T. Wroten)
5:46.0,T. Wroten makes 2-pt shot at rim (assist by N. Noel),2,37-31,,
5:34.0,,,37-31,,K. Middleton misses 3-pt shot from 22 ft
5:32.0,Defensive rebound by H. Sims,,37-31,,
5:26.0,,,37-31,,Violation by L. Sanders (kicked ball)
5:25.0,Turnover by T. Wroten (bad pass),,37-31,,
5:12.0,,,37-31,,B. Knight misses 3-pt shot from 22 ft
5:09.0,Defensive rebound by C. Johnson,,37-31,,
4:59.0,H. Thompson makes 3-pt shot from 24 ft (assist by T. Wroten),3,40-31,,
4:43.0,,,40-33,2,K. Middleton makes 2-pt shot at rim (assist by B. Knight)
4:26.0,H. Thompson makes 2-pt shot from 19 ft (assist by N. Noel),2,42-33,,
4:01.0,,,42-33,,Shooting foul by N. Noel (drawn by B. Knight)
4:01.0,,,42-33,,B. Knight misses free throw 1 of 2
4:01.0,,,42-33,,Offensive rebound by Team
4:01.0,,,42-33,,J. Dudley enters the game for G. Antetokounmpo
4:01.0,,,42-34,1,B. Knight makes free throw 2 of 2
3:48.0,H. Sims misses 2-pt shot from 4 ft (block by L. Sanders),,42-34,,
3:45.0,,,42-34,,Defensive rebound by B. Knight
3:43.0,,,42-36,2,K. Middleton makes 2-pt shot from 2 ft (assist by B. Knight)
3:23.0,C. Johnson misses 3-pt shot from 26 ft,,42-36,,
3:21.0,,,42-36,,Defensive rebound by B. Knight
3:16.0,Personal foul by H. Thompson (drawn by J. Dudley),,42-36,,
3:16.0,M. Thomas enters the game for H. Sims,,42-36,,
3:16.0,B. Davies enters the game for N. Noel,,42-36,,
3:10.0,,,42-38,2,J. Dudley makes 2-pt shot from 1 ft (assist by L. Sanders)
2:56.0,B. Davies misses 3-pt shot from 26 ft,,42-38,,
2:55.0,,,42-38,,Defensive rebound by Team
2:55.0,Loose ball foul by M. Thomas (drawn by J. Parker),,42-38,,
2:55.0,Philadelphia full timeout,,42-38,,
2:55.0,L. Mbah a Moute enters the game for B. Davies,,42-38,,
2:42.0,,,42-38,,B. Knight misses 2-pt shot from 18 ft
2:41.0,,,42-38,,Offensive rebound by L. Sanders
2:40.0,,,42-40,2,L. Sanders makes 2-pt shot at rim
2:22.0,M. Thomas misses 2-pt shot at rim,,42-40,,
2:20.0,,,42-40,,Defensive rebound by L. Sanders
2:17.0,,,42-40,,Turnover by K. Middleton (bad pass)
2:04.0,H. Thompson makes 2-pt shot from 4 ft,2,44-40,,
1:48.0,,,44-43,3,K. Middleton makes 3-pt shot from 23 ft (assist by J. Dudley)
1:44.0,Turnover by T. Wroten (bad pass),,44-43,,
1:32.0,,,44-43,,K. Middleton misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by M. Thomas,,44-43,,
1:17.0,L. Mbah a Moute makes 2-pt shot at rim (assist by H. Thompson),2,46-43,,
1:03.0,,,46-43,,Shooting foul by L. Mbah a Moute (drawn by B. Knight)
1:03.0,,,46-43,,B. Knight misses free throw 1 of 2
1:03.0,,,46-43,,Offensive rebound by Team
1:03.0,,,46-44,1,B. Knight makes free throw 2 of 2
0:54.0,C. Johnson misses 2-pt shot from 2 ft (block by L. Sanders),,46-44,,
0:51.0,,,46-44,,Defensive rebound by B. Knight
0:48.0,Personal foul by H. Thompson (drawn by B. Knight),,46-44,,
0:48.0,,,46-45,1,B. Knight makes free throw 1 of 2
0:48.0,,,46-46,1,B. Knight makes free throw 2 of 2
0:37.0,Turnover by T. Wroten (lost ball; steal by L. Sanders),,46-46,,
0:32.0,,,46-46,,Turnover by J. Parker (lost ball; steal by L. Mbah a Moute)
0:29.0,Shooting foul by K. Middleton (drawn by C. Johnson),,46-46,,
0:29.0,C. Johnson makes free throw 1 of 2,1,47-46,,
0:29.0,K. McDaniels enters the game for H. Thompson,,47-46,,
0:29.0,C. Johnson misses free throw 2 of 2,,47-46,,
0:29.0,,,47-46,,Defensive rebound by J. Parker
0:06.0,,,47-46,,J. Parker misses 3-pt shot from 25 ft
0:05.0,,,47-46,,Offensive rebound by L. Sanders
0:04.0,,,47-46,,L. Sanders misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by Team,,47-46,,
0:03.0,Philadelphia full timeout,,47-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,47-46,,J. Parker misses 2-pt shot from 3 ft
11:37.0,Defensive rebound by N. Noel,,47-46,,
11:23.0,H. Sims misses 2-pt shot from 6 ft,,47-46,,
11:22.0,Offensive rebound by C. Johnson,,47-46,,
11:16.0,C. Johnson misses 2-pt shot at rim,,47-46,,
11:14.0,,,47-46,,Defensive rebound by J. Parker
11:10.0,,,47-46,,J. Dudley misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by C. Johnson,,47-46,,
10:53.0,H. Sims makes 2-pt shot from 16 ft,2,49-46,,
10:39.0,,,49-46,,Shooting foul by N. Noel (drawn by J. Parker)
10:39.0,,,49-46,,J. Parker misses free throw 1 of 2
10:39.0,,,49-46,,Offensive rebound by Team
10:39.0,,,49-46,,J. Parker misses free throw 2 of 2
10:38.0,Defensive rebound by N. Noel,,49-46,,
10:24.0,H. Thompson misses 2-pt shot from 6 ft,,49-46,,
10:23.0,,,49-46,,Defensive rebound by J. Parker
10:20.0,,,49-48,2,J. Parker makes 2-pt shot at rim (assist by B. Knight)
9:59.0,,,49-48,,Shooting block foul by B. Knight (drawn by H. Sims)
9:59.0,H. Sims makes free throw 1 of 2,1,50-48,,
9:59.0,H. Sims misses free throw 2 of 2,,50-48,,
9:58.0,,,50-48,,Defensive rebound by L. Sanders
9:43.0,,,50-48,,L. Sanders misses 2-pt shot from 1 ft (block by C. Johnson)
9:42.0,,,50-48,,Offensive rebound by Team
9:41.0,Personal block foul by C. Johnson (drawn by J. Parker),,50-48,,
9:33.0,,,50-48,,K. Middleton misses 2-pt shot from 20 ft
9:33.0,,,50-48,,Offensive rebound by Team
9:33.0,Loose ball foul by T. Wroten (drawn by J. Dudley),,50-48,,
9:24.0,,,50-48,,J. Parker misses 2-pt shot from 8 ft
9:24.0,,,50-48,,Offensive rebound by L. Sanders
9:24.0,,,50-50,2,L. Sanders makes 2-pt shot at rim
9:24.0,,,50-50,,Shooting foul by H. Thompson (drawn by L. Sanders)
9:24.0,,,50-50,,L. Sanders misses free throw 1 of 1
9:23.0,Defensive rebound by H. Sims,,50-50,,
9:09.0,C. Johnson misses 2-pt shot from 2 ft,,50-50,,
9:07.0,,,50-50,,Defensive rebound by J. Parker
9:03.0,,,50-52,2,J. Dudley makes 2-pt shot from 1 ft (assist by B. Knight)
8:47.0,T. Wroten misses 2-pt shot from 2 ft,,50-52,,
8:45.0,Offensive rebound by Team,,50-52,,
8:42.0,Turnover by T. Wroten (bad pass; steal by J. Dudley),,50-52,,
8:38.0,,,50-54,2,K. Middleton makes 2-pt shot at rim (assist by B. Knight)
8:17.0,C. Johnson misses 3-pt shot from 27 ft,,50-54,,
8:16.0,,,50-54,,Defensive rebound by L. Sanders
8:11.0,,,50-54,,Turnover by K. Middleton (step out of bounds)
8:00.0,,,50-54,,Shooting block foul by J. Parker (drawn by T. Wroten)
8:00.0,T. Wroten makes free throw 1 of 2,1,51-54,,
8:00.0,T. Wroten makes free throw 2 of 2,1,52-54,,
7:45.0,,,52-54,,Turnover by J. Parker (lost ball; steal by N. Noel)
7:39.0,,,52-54,,Shooting block foul by J. Dudley (drawn by T. Wroten)
7:39.0,T. Wroten makes free throw 1 of 2,1,53-54,,
7:39.0,T. Wroten makes free throw 2 of 2,1,54-54,,
7:29.0,Personal foul by T. Wroten (drawn by B. Knight),,54-54,,
7:29.0,,,54-55,1,B. Knight makes free throw 1 of 2
7:29.0,M. Thomas enters the game for N. Noel,,54-55,,
7:29.0,,,54-55,,G. Antetokounmpo enters the game for J. Parker
7:29.0,,,54-56,1,B. Knight makes free throw 2 of 2
7:17.0,H. Thompson makes 2-pt shot at rim (assist by M. Thomas),2,56-56,,
7:17.0,Shooting foul by L. Sanders (drawn by H. Thompson),,56-56,,
7:17.0,,,56-56,,J. Henson enters the game for L. Sanders
7:17.0,H. Thompson makes free throw 1 of 1,1,57-56,,
7:10.0,,,57-58,2,B. Knight makes 2-pt shot at rim
7:00.0,Shooting foul by G. Antetokounmpo (drawn by T. Wroten),,57-58,,
7:00.0,T. Wroten makes free throw 1 of 2,1,58-58,,
7:00.0,T. Wroten misses free throw 2 of 2,,58-58,,
6:59.0,,,58-58,,Defensive rebound by J. Dudley
6:49.0,,,58-58,,Turnover by G. Antetokounmpo (step out of bounds)
6:49.0,L. Mbah a Moute enters the game for H. Sims,,58-58,,
6:29.0,L. Mbah a Moute makes 2-pt shot at rim,2,60-58,,
6:16.0,,,60-58,,O. Mayo enters the game for J. Dudley
6:05.0,,,60-58,,K. Middleton misses 2-pt shot from 14 ft
6:04.0,Defensive rebound by T. Wroten,,60-58,,
5:58.0,T. Wroten makes 2-pt shot at rim,2,62-58,,
5:56.0,,,62-58,,Milwaukee full timeout
5:56.0,,,62-58,,J. Bayless enters the game for B. Knight
5:56.0,,,62-58,,N. Wolters enters the game for K. Middleton
5:49.0,Personal foul by H. Thompson (drawn by O. Mayo),,62-58,,
5:49.0,,,62-59,1,O. Mayo makes free throw 1 of 2
5:49.0,,,62-60,1,O. Mayo makes free throw 2 of 2
5:33.0,C. Johnson makes 3-pt shot from 22 ft (assist by M. Thomas),3,65-60,,
5:20.0,,,65-63,3,O. Mayo makes 3-pt shot from 23 ft (assist by J. Bayless)
5:05.0,T. Wroten misses 2-pt shot from 1 ft (block by J. Henson),,65-63,,
5:03.0,,,65-63,,Defensive rebound by Team
5:03.0,K. McDaniels enters the game for H. Thompson,,65-63,,
5:03.0,N. Noel enters the game for M. Thomas,,65-63,,
4:54.0,Personal foul by K. McDaniels (drawn by O. Mayo),,65-63,,
4:54.0,,,65-64,1,O. Mayo makes free throw 1 of 2
4:54.0,,,65-64,,O. Mayo misses free throw 2 of 2
4:53.0,Defensive rebound by N. Noel,,65-64,,
4:43.0,N. Noel misses 2-pt shot from 2 ft,,65-64,,
4:41.0,,,65-64,,Defensive rebound by G. Antetokounmpo
4:27.0,,,65-64,,J. Henson misses 2-pt shot from 4 ft
4:26.0,Defensive rebound by N. Noel,,65-64,,
4:05.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,65-64,,
4:04.0,,,65-64,,Defensive rebound by N. Wolters
3:42.0,,,65-66,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
3:20.0,,,65-66,,Personal foul by G. Antetokounmpo (drawn by L. Mbah a Moute)
3:20.0,L. Mbah a Moute makes free throw 1 of 2,1,66-66,,
3:20.0,A. Shved enters the game for T. Wroten,,66-66,,
3:20.0,L. Mbah a Moute misses free throw 2 of 2,,66-66,,
3:19.0,,,66-66,,Defensive rebound by J. Henson
3:04.0,,,66-66,,O. Mayo misses 3-pt shot from 26 ft
3:03.0,Defensive rebound by C. Johnson,,66-66,,
3:00.0,Philadelphia full timeout,,66-66,,
3:00.0,J. Sampson enters the game for C. Johnson,,66-66,,
2:47.0,N. Noel makes 2-pt shot at rim (assist by A. Shved),2,68-66,,
2:34.0,,,68-68,2,J. Bayless makes 2-pt shot at rim (assist by N. Wolters)
2:15.0,K. McDaniels makes 3-pt shot from 26 ft (assist by A. Shved),3,71-68,,
1:50.0,,,71-68,,J. Bayless misses 3-pt shot from 22 ft
1:49.0,Defensive rebound by N. Noel,,71-68,,
1:39.0,A. Shved makes 2-pt shot at rim,2,73-68,,
1:30.0,Personal foul by K. McDaniels (drawn by O. Mayo),,73-68,,
1:30.0,,,73-68,,O. Mayo misses free throw 1 of 2
1:30.0,,,73-68,,Offensive rebound by Team
1:30.0,,,73-69,1,O. Mayo makes free throw 2 of 2
1:11.0,A. Shved misses 2-pt shot from 13 ft,,73-69,,
1:10.0,,,73-69,,Defensive rebound by O. Mayo
1:06.0,,,73-71,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by O. Mayo)
0:39.0,K. McDaniels misses 3-pt shot from 23 ft,,73-71,,
0:38.0,,,73-71,,Defensive rebound by J. Henson
0:31.0,,,73-71,,Turnover by G. Antetokounmpo (lost ball; steal by A. Shved)
0:26.0,,,73-71,,Personal block foul by J. Bayless (drawn by A. Shved)
0:26.0,A. Shved misses free throw 1 of 2,,73-71,,
0:26.0,Offensive rebound by Team,,73-71,,
0:26.0,A. Shved makes free throw 2 of 2,1,74-71,,
0:04.0,,,74-71,,J. Bayless misses 2-pt shot from 1 ft
0:03.0,,,74-71,,Offensive rebound by J. Henson
0:03.0,,,74-73,2,J. Henson makes 2-pt shot at rim
0:00.0,A. Shved misses 3-pt shot from 40 ft,,74-73,,
0:00.0,Offensive rebound by Team,,74-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by A. Shved (bad pass),,74-73,,
11:26.0,,,74-76,3,O. Mayo makes 3-pt shot from 22 ft (assist by J. Bayless)
11:19.0,Turnover by K. McDaniels (bad pass; steal by J. Bayless),,74-76,,
11:16.0,,,74-78,2,J. Bayless makes 2-pt shot at rim
10:59.0,Turnover by J. Sampson (lost ball; steal by J. Henson),,74-78,,
10:52.0,,,74-78,,N. Wolters misses 3-pt shot from 23 ft
10:51.0,,,74-78,,Offensive rebound by J. Henson
10:43.0,,,74-78,,J. Henson misses 2-pt shot from 2 ft (block by J. Sampson)
10:41.0,,,74-78,,Offensive rebound by O. Mayo
10:36.0,,,74-80,2,O. Mayo makes 2-pt shot from 22 ft
10:36.0,Philadelphia full timeout,,74-80,,
10:36.0,T. Wroten enters the game for K. McDaniels,,74-80,,
10:36.0,H. Thompson enters the game for A. Shved,,74-80,,
10:36.0,C. Johnson enters the game for L. Mbah a Moute,,74-80,,
10:36.0,H. Sims enters the game for J. Sampson,,74-80,,
10:16.0,H. Sims makes 2-pt shot from 14 ft (assist by T. Wroten),2,76-80,,
10:04.0,,,76-80,,Offensive foul by G. Antetokounmpo
10:04.0,,,76-80,,Turnover by G. Antetokounmpo (offensive foul)
9:39.0,Turnover by Team (shot clock),,76-80,,
9:26.0,Personal foul by T. Wroten (drawn by G. Antetokounmpo),,76-80,,
9:22.0,,,76-80,,G. Antetokounmpo misses 2-pt shot at rim (block by N. Noel)
9:19.0,Defensive rebound by C. Johnson,,76-80,,
9:12.0,N. Noel makes 2-pt shot at rim (assist by H. Sims),2,78-80,,
8:57.0,,,78-80,,O. Mayo misses 2-pt shot at rim
8:55.0,,,78-80,,Offensive rebound by G. Antetokounmpo
8:48.0,,,78-82,2,J. Bayless makes 2-pt shot at rim
8:39.0,H. Thompson misses 2-pt shot from 14 ft,,78-82,,
8:37.0,,,78-82,,Defensive rebound by J. Henson
8:29.0,,,78-82,,J. Bayless misses 2-pt shot from 3 ft
8:28.0,Defensive rebound by C. Johnson,,78-82,,
8:21.0,H. Thompson makes 3-pt shot from 25 ft (assist by T. Wroten),3,81-82,,
7:56.0,,,81-82,,J. Henson misses 2-pt shot from 4 ft
7:54.0,Defensive rebound by H. Sims,,81-82,,
7:40.0,,,81-82,,Personal foul by O. Mayo (drawn by C. Johnson)
7:40.0,,,81-82,,J. Parker enters the game for G. Antetokounmpo
7:40.0,,,81-82,,L. Sanders enters the game for J. Henson
