time,Charlotte,pts.away,score,pts.home,LA Clippers
4:54.0,,,15-13,2,J. Redick makes 2-pt shot from 18 ft (assist by D. Jordan)
4:34.0,A. Jefferson misses 2-pt shot from 7 ft,,15-13,,
4:33.0,Offensive rebound by M. Kidd-Gilchrist,,15-13,,
4:28.0,K. Walker misses 2-pt shot from 2 ft,,15-13,,
4:26.0,,,15-13,,Defensive rebound by H. Turkoglu
4:19.0,,,15-13,,C. Paul misses 2-pt shot from 17 ft
4:16.0,,,15-13,,Offensive rebound by D. Jordan
4:15.0,,,15-13,,D. Jordan misses 2-pt shot from 1 ft
4:15.0,,,15-13,,Offensive rebound by D. Jordan
4:15.0,,,15-13,,Shooting foul by A. Jefferson (drawn by D. Jordan)
4:15.0,,,15-14,1,D. Jordan makes free throw 1 of 2
4:15.0,,,15-14,,A. Rivers enters the game for H. Turkoglu
4:15.0,,,15-14,,D. Jordan misses free throw 2 of 2
4:14.0,Defensive rebound by M. Williams,,15-14,,
3:58.0,Turnover by A. Jefferson (lost ball; steal by C. Paul),,15-14,,
3:54.0,,,15-14,,A. Rivers misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
3:49.0,,,15-14,,Offensive rebound by J. Redick
3:49.0,,,15-16,2,J. Redick makes 2-pt shot at rim
3:37.0,Turnover by K. Walker (bad pass; steal by B. Griffin),,15-16,,
3:30.0,,,15-16,,J. Redick misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by K. Walker,,15-16,,
3:10.0,A. Jefferson makes 2-pt shot from 8 ft (assist by M. Williams),2,17-16,,
2:50.0,,,17-18,2,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul)
2:27.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,17-18,,
2:26.0,,,17-18,,Defensive rebound by Team
2:26.0,Charlotte full timeout,,17-18,,
2:26.0,,,17-18,,N. Robinson enters the game for J. Redick
2:26.0,B. Biyombo enters the game for A. Jefferson,,17-18,,
2:12.0,,,17-20,2,B. Griffin makes 2-pt shot from 3 ft
2:09.0,Turnover by J. Maxiell (bad pass),,17-20,,
2:09.0,L. Stephenson enters the game for M. Williams,,17-20,,
2:03.0,,,17-20,,D. Jordan misses 2-pt shot at rim
2:01.0,Defensive rebound by B. Biyombo,,17-20,,
1:44.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by D. Jordan),,17-20,,
1:38.0,,,17-23,3,N. Robinson makes 3-pt shot from 24 ft (assist by C. Paul)
1:22.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,17-23,,
1:21.0,,,17-23,,Defensive rebound by B. Griffin
1:12.0,,,17-25,2,D. Jordan makes 2-pt shot from 4 ft (assist by C. Paul)
0:54.0,Turnover by J. Maxiell (bad pass; steal by C. Paul),,17-25,,
0:50.0,,,17-27,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
0:50.0,,,17-27,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Griffin)
0:50.0,,,17-27,,D. Jones enters the game for C. Paul
0:50.0,,,17-28,1,B. Griffin makes free throw 1 of 1
0:27.0,L. Stephenson misses 3-pt shot from 25 ft,,17-28,,
0:27.0,Offensive rebound by Team,,17-28,,
0:27.0,,,17-28,,Loose ball foul by N. Robinson (drawn by J. Maxiell)
0:27.0,,,17-28,,G. Davis enters the game for B. Griffin
0:20.0,K. Walker makes 3-pt shot from 24 ft (assist by L. Stephenson),3,20-28,,
0:07.0,,,20-28,,Offensive foul by G. Davis
0:07.0,,,20-28,,Turnover by G. Davis (offensive foul)
0:01.0,K. Walker misses 3-pt shot from 25 ft,,20-28,,
0:00.0,Offensive rebound by Team,,20-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,K. Walker makes 2-pt shot from 17 ft (assist by J. Maxiell),2,22-28,,
11:15.0,,,22-28,,N. Robinson misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by B. Biyombo,,22-28,,
11:07.0,Turnover by K. Walker (offensive foul),,22-28,,
11:07.0,Offensive foul by K. Walker,,22-28,,
10:57.0,,,22-28,,A. Rivers misses 2-pt shot from 1 ft (block by B. Biyombo)
10:55.0,Defensive rebound by Team,,22-28,,
10:46.0,Turnover by L. Stephenson (lost ball; steal by G. Davis),,22-28,,
10:30.0,,,22-28,,Turnover by A. Rivers (lost ball; steal by L. Stephenson)
10:24.0,L. Stephenson misses 2-pt shot from 14 ft,,22-28,,
10:22.0,Offensive rebound by J. Maxiell,,22-28,,
10:22.0,J. Maxiell misses 2-pt shot at rim,,22-28,,
10:20.0,Offensive rebound by B. Biyombo,,22-28,,
10:20.0,,,22-28,,Loose ball foul by S. Hawes (drawn by B. Biyombo)
10:20.0,B. Biyombo makes free throw 1 of 2,1,23-28,,
10:20.0,B. Biyombo makes free throw 2 of 2,1,24-28,,
10:02.0,,,24-28,,S. Hawes misses 2-pt shot from 4 ft
10:00.0,Defensive rebound by B. Biyombo,,24-28,,
9:55.0,G. Henderson misses 2-pt shot from 16 ft,,24-28,,
9:53.0,,,24-28,,Defensive rebound by D. Jones
9:44.0,,,24-28,,N. Robinson misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by L. Stephenson,,24-28,,
9:32.0,L. Stephenson misses 2-pt shot from 6 ft,,24-28,,
9:30.0,,,24-28,,Defensive rebound by S. Hawes
9:17.0,,,24-30,2,G. Davis makes 2-pt shot from 1 ft (assist by N. Robinson)
9:08.0,,,24-30,,Personal foul by S. Hawes (drawn by J. Maxiell)
9:08.0,,,24-30,,J. Redick enters the game for D. Jones
8:52.0,,,24-30,,Personal foul by N. Robinson (drawn by G. Henderson)
8:52.0,Official timeout,,24-30,,
8:47.0,K. Walker misses 3-pt shot from 25 ft,,24-30,,
8:46.0,,,24-30,,Defensive rebound by J. Redick
8:36.0,,,24-33,3,N. Robinson makes 3-pt shot from 25 ft (assist by G. Davis)
8:18.0,G. Henderson makes 2-pt shot from 12 ft,2,26-33,,
8:10.0,,,26-35,2,N. Robinson makes 2-pt shot from 20 ft
7:49.0,B. Biyombo misses 2-pt shot from 3 ft (block by G. Davis),,26-35,,
7:47.0,,,26-35,,Defensive rebound by S. Hawes
7:39.0,,,26-35,,N. Robinson misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by B. Biyombo,,26-35,,
7:16.0,G. Henderson misses 2-pt shot from 16 ft,,26-35,,
7:15.0,,,26-35,,Defensive rebound by S. Hawes
7:05.0,,,26-38,3,S. Hawes makes 3-pt shot from 24 ft (assist by J. Redick)
6:53.0,Charlotte full timeout,,26-38,,
6:53.0,M. Williams enters the game for J. Maxiell,,26-38,,
6:53.0,A. Jefferson enters the game for B. Biyombo,,26-38,,
6:33.0,M. Williams misses 2-pt shot from 10 ft,,26-38,,
6:31.0,,,26-38,,Defensive rebound by G. Davis
6:24.0,,,26-38,,N. Robinson misses 2-pt shot from 11 ft
6:22.0,Defensive rebound by K. Walker,,26-38,,
6:16.0,Shooting foul by G. Davis (drawn by G. Henderson),,26-38,,
6:16.0,G. Henderson makes free throw 1 of 2,1,27-38,,
6:16.0,G. Henderson misses free throw 2 of 2,,27-38,,
6:15.0,,,27-38,,Defensive rebound by G. Davis
6:02.0,,,27-40,2,J. Redick makes 2-pt shot from 11 ft (assist by G. Davis)
5:43.0,A. Jefferson misses 2-pt shot from 2 ft,,27-40,,
5:42.0,,,27-40,,Defensive rebound by S. Hawes
5:30.0,,,27-40,,S. Hawes misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by L. Stephenson,,27-40,,
5:23.0,,,27-40,,Personal foul by S. Hawes (drawn by K. Walker)
5:23.0,K. Walker makes free throw 1 of 2,1,28-40,,
5:23.0,,,28-40,,D. Jordan enters the game for S. Hawes
5:23.0,,,28-40,,B. Griffin enters the game for G. Davis
5:23.0,,,28-40,,C. Paul enters the game for A. Rivers
5:23.0,M. Kidd-Gilchrist enters the game for G. Henderson,,28-40,,
5:23.0,,,28-40,,H. Turkoglu enters the game for N. Robinson
5:23.0,K. Walker makes free throw 2 of 2,1,29-40,,
5:15.0,,,29-40,,Offensive foul by D. Jordan
5:15.0,,,29-40,,Turnover by D. Jordan (offensive foul)
5:15.0,M. Williams enters the game for K. Walker,,29-40,,
4:55.0,A. Jefferson misses 2-pt shot from 9 ft,,29-40,,
4:54.0,,,29-40,,Defensive rebound by D. Jordan
4:43.0,,,29-40,,B. Griffin misses 2-pt shot from 4 ft
4:40.0,,,29-40,,Offensive rebound by B. Griffin
4:35.0,,,29-42,2,B. Griffin makes 2-pt shot from 1 ft
4:22.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Williams),3,32-42,,
4:12.0,,,32-45,3,H. Turkoglu makes 3-pt shot from 24 ft (assist by C. Paul)
3:52.0,M. Williams misses 2-pt shot from 1 ft (block by H. Turkoglu),,32-45,,
3:52.0,Offensive rebound by Team,,32-45,,
3:52.0,G. Henderson enters the game for L. Stephenson,,32-45,,
3:47.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,32-45,,
3:46.0,,,32-45,,Defensive rebound by B. Griffin
3:32.0,,,32-45,,Shooting foul by A. Jefferson (drawn by D. Jordan)
3:32.0,,,32-45,,D. Jordan misses free throw 1 of 2
3:32.0,,,32-45,,Offensive rebound by Team
3:32.0,J. Maxiell enters the game for M. Williams,,32-45,,
3:32.0,,,32-46,1,D. Jordan makes free throw 2 of 2
3:11.0,Shooting foul by H. Turkoglu (drawn by G. Henderson),,32-46,,
3:11.0,G. Henderson makes free throw 1 of 2,1,33-46,,
3:11.0,G. Henderson misses free throw 2 of 2,,33-46,,
3:10.0,,,33-46,,Defensive rebound by J. Redick
3:01.0,,,33-48,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
2:40.0,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Williams),2,35-48,,
2:27.0,,,35-51,3,C. Paul makes 3-pt shot from 22 ft (assist by J. Redick)
2:07.0,M. Williams misses 2-pt shot from 13 ft,,35-51,,
2:05.0,,,35-51,,Defensive rebound by B. Griffin
1:56.0,,,35-51,,C. Paul misses 2-pt shot from 12 ft
1:54.0,,,35-51,,Offensive rebound by D. Jordan
1:54.0,,,35-53,2,D. Jordan makes 2-pt shot from 1 ft
1:37.0,A. Jefferson makes 2-pt shot from 5 ft (assist by M. Williams),2,37-53,,
1:23.0,,,37-55,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
1:05.0,Shooting foul by H. Turkoglu (drawn by M. Kidd-Gilchrist),,37-55,,
1:05.0,,,37-55,,LA Clippers full timeout
1:05.0,K. Walker enters the game for A. Jefferson,,37-55,,
1:05.0,B. Biyombo enters the game for G. Henderson,,37-55,,
1:05.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,38-55,,
1:05.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,39-55,,
0:52.0,,,39-57,2,B. Griffin makes 2-pt shot from 16 ft (assist by H. Turkoglu)
0:46.0,M. Williams makes 2-pt shot from 1 ft,2,41-57,,
0:30.0,,,41-59,2,C. Paul makes 2-pt shot from 9 ft
0:17.0,Turnover by M. Williams (bad pass; steal by B. Griffin),,41-59,,
0:14.0,Personal foul by M. Williams (drawn by B. Griffin),,41-59,,
0:04.0,,,41-59,,J. Redick misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by B. Biyombo,,41-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Williams misses 3-pt shot from 24 ft,,41-59,,
11:39.0,,,41-59,,Defensive rebound by C. Paul
11:27.0,,,41-59,,Shooting foul by A. Jefferson (drawn by D. Jordan)
11:27.0,,,41-59,,D. Jordan misses free throw 1 of 2
11:27.0,,,41-59,,Offensive rebound by Team
11:27.0,,,41-60,1,D. Jordan makes free throw 2 of 2
11:12.0,A. Jefferson misses 2-pt shot from 2 ft,,41-60,,
11:11.0,,,41-60,,Defensive rebound by D. Jordan
11:01.0,,,41-60,,H. Turkoglu misses 3-pt shot from 23 ft
11:00.0,Defensive rebound by Team,,41-60,,
11:00.0,,,41-60,,Loose ball foul by H. Turkoglu (drawn by M. Williams)
11:00.0,,,41-60,,Violation by Team (delay of game)
10:37.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,41-60,,
10:36.0,,,41-60,,Defensive rebound by D. Jordan
10:30.0,,,41-60,,Turnover by B. Griffin (offensive foul)
10:30.0,,,41-60,,Offensive foul by B. Griffin
10:12.0,M. Williams misses 2-pt shot from 20 ft,,41-60,,
10:10.0,,,41-60,,Defensive rebound by C. Paul
10:04.0,,,41-63,3,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick)
9:46.0,A. Jefferson misses 2-pt shot from 17 ft,,41-63,,
9:46.0,,,41-63,,Defensive rebound by D. Jordan
9:37.0,,,41-63,,H. Turkoglu misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by M. Williams,,41-63,,
9:27.0,M. Williams makes 2-pt shot from 1 ft (assist by M. Williams),2,43-63,,
9:08.0,,,43-63,,Turnover by C. Paul (traveling)
8:49.0,M. Williams makes 2-pt shot from 22 ft (assist by M. Williams),2,45-63,,
8:30.0,,,45-65,2,J. Redick makes 2-pt shot from 17 ft (assist by B. Griffin)
8:13.0,A. Jefferson makes 2-pt shot from 7 ft (assist by G. Henderson),2,47-65,,
7:59.0,,,47-65,,Turnover by J. Redick (lost ball; steal by G. Henderson)
7:44.0,M. Williams misses 2-pt shot from 13 ft,,47-65,,
7:43.0,,,47-65,,Defensive rebound by H. Turkoglu
7:40.0,,,47-65,,Turnover by H. Turkoglu (bad pass)
7:23.0,Shooting foul by D. Jordan (drawn by A. Jefferson),,47-65,,
7:23.0,A. Jefferson makes free throw 1 of 2,1,48-65,,
7:23.0,A. Jefferson misses free throw 2 of 2,,48-65,,
7:21.0,,,48-65,,Defensive rebound by B. Griffin
7:14.0,,,48-65,,Turnover by C. Paul (bad pass)
6:53.0,A. Jefferson makes 2-pt shot from 5 ft,2,50-65,,
6:52.0,,,50-65,,LA Clippers full timeout
6:33.0,,,50-68,3,C. Paul makes 3-pt shot from 25 ft
6:14.0,M. Williams makes 3-pt shot from 24 ft (assist by A. Jefferson),3,53-68,,
6:00.0,,,53-68,,Shooting foul by M. Kidd-Gilchrist (drawn by C. Paul)
6:00.0,,,53-69,1,C. Paul makes free throw 1 of 2
6:00.0,,,53-70,1,C. Paul makes free throw 2 of 2
5:42.0,Offensive foul by G. Henderson,,53-70,,
5:42.0,Turnover by G. Henderson (offensive foul),,53-70,,
5:42.0,Technical foul by G. Henderson,,53-70,,
5:42.0,,,53-71,1,J. Redick makes technical free throw
5:29.0,,,53-71,,C. Paul misses 2-pt shot from 15 ft
5:28.0,Defensive rebound by M. Williams,,53-71,,
5:24.0,Shooting foul by J. Redick (drawn by G. Henderson),,53-71,,
5:24.0,G. Henderson makes free throw 1 of 2,1,54-71,,
5:24.0,G. Henderson makes free throw 2 of 2,1,55-71,,
5:11.0,,,55-71,,Turnover by B. Griffin (bad pass; steal by G. Henderson)
5:10.0,,,55-71,,Personal foul by J. Redick (drawn by M. Williams)
4:47.0,A. Jefferson makes 2-pt shot from 17 ft (assist by M. Williams),2,57-71,,
4:29.0,,,57-73,2,J. Redick makes 2-pt shot from 20 ft (assist by D. Jordan)
4:09.0,M. Williams makes 2-pt shot from 21 ft (assist by G. Henderson),2,59-73,,
3:56.0,,,59-73,,H. Turkoglu misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by A. Jefferson,,59-73,,
3:48.0,,,59-73,,Personal foul by D. Jordan (drawn by M. Williams)
3:48.0,M. Williams misses free throw 1 of 2,,59-73,,
3:48.0,Offensive rebound by Team,,59-73,,
3:48.0,,,59-73,,G. Davis enters the game for D. Jordan
3:48.0,,,59-73,,A. Rivers enters the game for H. Turkoglu
3:48.0,K. Walker enters the game for G. Henderson,,59-73,,
3:48.0,M. Williams makes free throw 2 of 2,1,60-73,,
3:26.0,,,60-73,,C. Paul misses 3-pt shot from 23 ft
3:24.0,Defensive rebound by M. Williams,,60-73,,
3:22.0,Shooting foul by G. Davis (drawn by M. Kidd-Gilchrist),,60-73,,
3:22.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,61-73,,
3:22.0,J. Maxiell enters the game for M. Williams,,61-73,,
3:22.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,62-73,,
3:10.0,,,62-75,2,J. Redick makes 2-pt shot from 16 ft (assist by G. Davis)
2:59.0,Offensive charge foul by K. Walker,,62-75,,
2:59.0,Turnover by K. Walker (offensive foul),,62-75,,
2:59.0,Charlotte full timeout,,62-75,,
2:46.0,,,62-75,,Turnover by A. Rivers (bad pass; steal by M. Williams)
2:39.0,M. Williams makes 2-pt shot from 1 ft,2,64-75,,
2:24.0,,,64-75,,B. Griffin misses 2-pt shot from 6 ft
2:22.0,Defensive rebound by A. Jefferson,,64-75,,
2:07.0,A. Jefferson misses 2-pt shot at rim,,64-75,,
2:04.0,Offensive rebound by M. Kidd-Gilchrist,,64-75,,
2:04.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,64-75,,
2:01.0,Offensive rebound by M. Kidd-Gilchrist,,64-75,,
1:53.0,M. Williams misses 3-pt shot from 25 ft,,64-75,,
1:52.0,,,64-75,,Defensive rebound by B. Griffin
1:38.0,,,64-75,,C. Paul misses 2-pt shot from 16 ft
1:37.0,Defensive rebound by K. Walker,,64-75,,
1:31.0,Shooting foul by G. Davis (drawn by K. Walker),,64-75,,
1:31.0,K. Walker makes free throw 1 of 2,1,65-75,,
1:31.0,,,65-75,,D. Jones enters the game for J. Redick
1:31.0,,,65-75,,N. Robinson enters the game for C. Paul
1:31.0,K. Walker makes free throw 2 of 2,1,66-75,,
1:14.0,,,66-75,,B. Griffin misses 2-pt shot from 18 ft
1:13.0,Defensive rebound by A. Jefferson,,66-75,,
1:05.0,,,66-75,,Personal block foul by D. Jones (drawn by K. Walker)
1:05.0,K. Walker makes free throw 1 of 2,1,67-75,,
1:05.0,K. Walker makes free throw 2 of 2,1,68-75,,
0:55.0,,,68-75,,Turnover by N. Robinson (bad pass; steal by K. Walker)
0:48.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,71-75,,
0:28.0,,,71-77,2,N. Robinson makes 2-pt shot from 12 ft
0:05.0,K. Walker makes 3-pt shot from 25 ft (assist by A. Jefferson),3,74-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-77,,A. Rivers misses 2-pt shot from 2 ft
11:44.0,Defensive rebound by M. Williams,,74-77,,
11:39.0,G. Henderson misses 2-pt shot from 16 ft,,74-77,,
11:37.0,,,74-77,,Defensive rebound by N. Robinson
11:25.0,,,74-77,,N. Robinson misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by M. Kidd-Gilchrist,,74-77,,
11:17.0,Shooting foul by A. Rivers (drawn by G. Henderson),,74-77,,
11:17.0,G. Henderson makes free throw 1 of 2,1,75-77,,
11:17.0,G. Henderson makes free throw 2 of 2,1,76-77,,
10:55.0,,,76-77,,Shooting foul by B. Biyombo (drawn by D. Jones)
10:55.0,,,76-77,,D. Jones misses free throw 1 of 2
10:55.0,,,76-77,,Offensive rebound by Team
10:55.0,,,76-78,1,D. Jones makes free throw 2 of 2
10:42.0,,,76-78,,Inbound foul by D. Jones
10:42.0,K. Walker makes free throw 1 of 2,1,77-78,,
10:42.0,K. Walker misses free throw 2 of 2,,77-78,,
10:41.0,,,77-78,,Defensive rebound by D. Jones
10:21.0,,,77-78,,D. Jones misses 2-pt shot from 20 ft
10:19.0,,,77-78,,Offensive rebound by A. Rivers
10:12.0,,,77-78,,Shooting foul by K. Walker (drawn by N. Robinson)
10:12.0,,,77-79,1,N. Robinson makes free throw 1 of 2
10:12.0,,,77-80,1,N. Robinson makes free throw 2 of 2
10:01.0,Turnover by M. Williams (step out of bounds),,77-80,,
10:01.0,,,77-80,,J. Redick enters the game for D. Jones
9:39.0,,,77-80,,A. Rivers misses 2-pt shot from 13 ft
9:37.0,Defensive rebound by B. Biyombo,,77-80,,
9:26.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by K. Walker),2,79-80,,
9:08.0,,,79-82,2,J. Redick makes 2-pt shot from 16 ft (assist by N. Robinson)
8:51.0,G. Henderson makes 2-pt shot at rim (assist by M. Williams),2,81-82,,
8:38.0,,,81-82,,A. Rivers misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by M. Kidd-Gilchrist,,81-82,,
8:23.0,K. Walker misses 2-pt shot from 1 ft (block by G. Davis),,81-82,,
8:23.0,Offensive rebound by Team,,81-82,,
8:23.0,,,81-82,,Loose ball foul by A. Rivers (drawn by B. Biyombo)
8:23.0,Official timeout,,81-82,,
8:23.0,,,81-82,,C. Paul enters the game for A. Rivers
8:23.0,,,81-82,,D. Jordan enters the game for G. Davis
8:23.0,M. Williams enters the game for M. Kidd-Gilchrist,,81-82,,
8:05.0,M. Williams misses 2-pt shot from 15 ft,,81-82,,
8:04.0,,,81-82,,Defensive rebound by S. Hawes
7:46.0,,,81-82,,D. Jordan misses 2-pt shot from 1 ft (block by B. Biyombo)
7:43.0,,,81-82,,Offensive rebound by D. Jordan
7:43.0,,,81-84,2,D. Jordan makes 2-pt shot at rim
7:29.0,G. Henderson misses 3-pt shot from 23 ft,,81-84,,
7:27.0,Offensive rebound by B. Biyombo,,81-84,,
7:26.0,,,81-84,,Personal foul by S. Hawes (drawn by B. Biyombo)
7:26.0,,,81-84,,B. Griffin enters the game for S. Hawes
7:17.0,G. Henderson makes 2-pt shot from 19 ft,2,83-84,,
6:50.0,,,83-87,3,C. Paul makes 3-pt shot from 26 ft
6:32.0,G. Henderson makes 2-pt shot from 18 ft,2,85-87,,
6:19.0,,,85-87,,Shooting foul by M. Williams (drawn by B. Griffin)
6:19.0,,,85-88,1,B. Griffin makes free throw 1 of 2
6:19.0,A. Jefferson enters the game for B. Biyombo,,85-88,,
6:19.0,,,85-89,1,B. Griffin makes free throw 2 of 2
6:00.0,A. Jefferson misses 2-pt shot from 4 ft (block by D. Jordan),,85-89,,
5:58.0,Offensive rebound by A. Jefferson,,85-89,,
5:56.0,A. Jefferson misses 2-pt shot from 6 ft,,85-89,,
5:52.0,,,85-89,,Defensive rebound by D. Jordan
5:48.0,,,85-89,,N. Robinson misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by G. Henderson,,85-89,,
5:37.0,G. Henderson misses 2-pt shot from 14 ft,,85-89,,
5:34.0,,,85-89,,Defensive rebound by D. Jordan
5:28.0,,,85-89,,C. Paul misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by M. Williams,,85-89,,
5:12.0,K. Walker misses 2-pt shot from 17 ft,,85-89,,
5:11.0,,,85-89,,Defensive rebound by B. Griffin
4:54.0,,,85-91,2,B. Griffin makes 2-pt shot from 2 ft
4:52.0,Charlotte full timeout,,85-91,,
4:52.0,M. Kidd-Gilchrist enters the game for K. Walker,,85-91,,
4:32.0,A. Jefferson makes 2-pt shot from 5 ft,2,87-91,,
4:22.0,Personal block foul by M. Kidd-Gilchrist (drawn by C. Paul),,87-91,,
4:20.0,Personal take foul by M. Williams (drawn by D. Jordan),,87-91,,
4:20.0,,,87-91,,D. Jordan misses free throw 1 of 2
4:20.0,,,87-91,,Offensive rebound by Team
4:20.0,,,87-92,1,D. Jordan makes free throw 2 of 2
4:09.0,M. Williams misses 2-pt shot from 16 ft,,87-92,,
4:08.0,,,87-92,,Defensive rebound by D. Jordan
4:00.0,,,87-92,,C. Paul misses 2-pt shot from 13 ft
3:58.0,Defensive rebound by M. Williams,,87-92,,
3:51.0,Shooting foul by C. Paul (drawn by A. Jefferson),,87-92,,
3:51.0,A. Jefferson makes free throw 1 of 2,1,88-92,,
3:51.0,A. Jefferson misses free throw 2 of 2,,88-92,,
3:50.0,,,88-92,,Defensive rebound by D. Jordan
3:47.0,Personal take foul by M. Williams (drawn by D. Jordan),,88-92,,
