time,Philadelphia,pts.away,score,pts.home,New Orleans
5:17.0,F. Aldemir enters the game for R. Covington,,12-15,,
5:17.0,K. McDaniels enters the game for H. Sims,,12-15,,
5:00.0,,,12-17,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
4:42.0,N. Noel misses 2-pt shot from 4 ft (block by A. Davis),,12-17,,
4:41.0,,,12-17,,Defensive rebound by E. Gordon
4:18.0,,,12-17,,Shooting foul by F. Aldemir (drawn by T. Evans)
4:18.0,H. Sims enters the game for F. Aldemir,,12-17,,
4:18.0,,,12-17,,T. Evans misses free throw 1 of 2
4:18.0,,,12-17,,Offensive rebound by Team
4:18.0,L. Mbah a Moute enters the game for N. Noel,,12-17,,
4:18.0,J. Grant enters the game for L. Drew,,12-17,,
4:18.0,,,12-17,,Q. Pondexter enters the game for D. Cunningham
4:18.0,,,12-17,,R. Anderson enters the game for O. Asik
4:18.0,,,12-18,1,T. Evans makes free throw 2 of 2
4:05.0,J. Sampson makes 2-pt shot from 12 ft,2,14-18,,
3:45.0,,,14-20,2,A. Davis makes 2-pt shot from 19 ft (assist by T. Evans)
3:26.0,J. Grant makes 2-pt shot at rim,2,16-20,,
3:26.0,Shooting foul by R. Anderson (drawn by J. Grant),,16-20,,
3:26.0,,,16-20,,N. Wolters enters the game for E. Gordon
3:26.0,J. Grant makes free throw 1 of 1,1,17-20,,
3:09.0,,,17-22,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
2:48.0,J. Sampson misses 2-pt shot from 19 ft,,17-22,,
2:46.0,,,17-22,,Defensive rebound by N. Wolters
2:33.0,,,17-22,,Q. Pondexter misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by L. Mbah a Moute,,17-22,,
2:20.0,H. Sims misses 2-pt shot from 14 ft,,17-22,,
2:19.0,,,17-22,,Defensive rebound by Q. Pondexter
2:10.0,,,17-24,2,A. Davis makes 2-pt shot from 2 ft (assist by N. Wolters)
2:10.0,,,17-24,,Shooting foul by H. Sims (drawn by A. Davis)
2:10.0,Philadelphia full timeout,,17-24,,
2:10.0,N. Noel enters the game for H. Sims,,17-24,,
2:10.0,,,17-25,1,A. Davis makes free throw 1 of 1
1:52.0,Turnover by K. McDaniels (lost ball; steal by R. Anderson),,17-25,,
1:34.0,,,17-25,,T. Evans misses 3-pt shot from 23 ft
1:33.0,Defensive rebound by J. Sampson,,17-25,,
1:17.0,K. McDaniels makes 2-pt shot at rim (assist by J. Grant),2,19-25,,
1:00.0,,,19-28,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans)
0:35.0,J. Grant misses 2-pt shot from 14 ft,,19-28,,
0:34.0,,,19-28,,Defensive rebound by R. Anderson
0:28.0,,,19-28,,T. Evans misses 2-pt shot from 1 ft
0:27.0,,,19-28,,Offensive rebound by A. Davis
0:27.0,,,19-30,2,A. Davis makes 2-pt shot at rim
0:19.0,Turnover by J. Sampson (bad pass; steal by R. Anderson),,19-30,,
0:02.0,,,19-30,,T. Evans misses 2-pt shot from 3 ft (block by N. Noel)
0:02.0,Defensive rebound by Team,,19-30,,
0:02.0,,,19-30,,J. Salmons enters the game for T. Evans
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,19-30,,Shooting foul by K. McDaniels (drawn by R. Anderson)
11:47.0,,,19-31,1,R. Anderson makes free throw 1 of 2
11:47.0,,,19-31,,R. Anderson misses free throw 2 of 2
11:46.0,Defensive rebound by R. Covington,,19-31,,
11:32.0,N. Noel misses 2-pt shot from 2 ft,,19-31,,
11:31.0,,,19-31,,Defensive rebound by Team
11:13.0,,,19-31,,R. Anderson misses 2-pt shot from 1 ft (block by N. Noel)
11:12.0,Defensive rebound by J. Grant,,19-31,,
11:07.0,K. McDaniels makes 3-pt shot from 23 ft (assist by R. Covington),3,22-31,,
10:52.0,,,22-31,,N. Wolters misses 2-pt shot from 2 ft (block by J. Sampson)
10:52.0,,,22-31,,Offensive rebound by Team
10:42.0,,,22-31,,A. Ajinca misses 2-pt shot from 2 ft
10:41.0,Defensive rebound by K. McDaniels,,22-31,,
10:28.0,J. Grant makes 3-pt shot from 25 ft (assist by R. Covington),3,25-31,,
10:13.0,,,25-34,3,R. Anderson makes 3-pt shot from 25 ft (assist by N. Wolters)
10:00.0,R. Covington makes 2-pt shot from 2 ft (assist by J. Grant),2,27-34,,
9:43.0,,,27-34,,J. Salmons misses 3-pt shot from 23 ft
9:41.0,,,27-34,,Offensive rebound by R. Anderson
9:41.0,,,27-34,,R. Anderson misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by N. Noel,,27-34,,
9:33.0,Philadelphia full timeout,,27-34,,
9:33.0,L. Drew enters the game for J. Sampson,,27-34,,
9:19.0,R. Covington misses 3-pt shot from 26 ft,,27-34,,
9:18.0,,,27-34,,Defensive rebound by N. Wolters
8:59.0,,,27-34,,R. Anderson misses 2-pt shot from 22 ft
8:58.0,Defensive rebound by R. Covington,,27-34,,
8:46.0,R. Covington makes 2-pt shot from 1 ft,2,29-34,,
8:30.0,,,29-34,,A. Ajinca misses 2-pt shot from 1 ft
8:30.0,Defensive rebound by Team,,29-34,,
8:30.0,Jump ball: N. Noel vs. N. Wolters (J. Grant gains possession),,,,Jump ball: N. Noel vs. N. Wolters (J. Grant gains possession)
8:26.0,,,29-34,,Clear path foul by Q. Pondexter
8:26.0,L. Mbah a Moute enters the game for J. Grant,,29-34,,
8:26.0,K. McDaniels makes clear path free throw 1 of 2,1,30-34,,
8:26.0,K. McDaniels makes clear path free throw 2 of 2,1,31-34,,
8:15.0,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by R. Covington),2,33-34,,
8:00.0,H. Thompson enters the game for K. McDaniels,,33-34,,
7:49.0,,,33-34,,N. Wolters misses 2-pt shot from 2 ft
7:47.0,,,33-34,,Offensive rebound by A. Ajinca
7:47.0,,,33-36,2,A. Ajinca makes 2-pt shot from 2 ft
7:33.0,Turnover by L. Drew (bad pass),,33-36,,
7:33.0,H. Sims enters the game for N. Noel,,33-36,,
7:09.0,,,33-36,,J. Salmons misses 3-pt shot from 23 ft
7:08.0,,,33-36,,Offensive rebound by R. Anderson
7:08.0,Loose ball foul by L. Drew (drawn by R. Anderson),,33-36,,
6:59.0,,,33-36,,A. Ajinca misses 2-pt shot from 2 ft
6:58.0,,,33-36,,Offensive rebound by A. Ajinca
6:58.0,,,33-36,,A. Ajinca misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by R. Covington,,33-36,,
6:45.0,R. Covington misses 2-pt shot from 16 ft,,33-36,,
6:43.0,,,33-36,,Defensive rebound by Q. Pondexter
6:32.0,Personal foul by H. Sims (drawn by Q. Pondexter),,33-36,,
6:32.0,,,33-36,,A. Davis enters the game for N. Wolters
6:32.0,,,33-36,,E. Gordon enters the game for A. Ajinca
6:22.0,,,33-36,,A. Davis misses 2-pt shot from 17 ft
6:19.0,,,33-36,,Offensive rebound by R. Anderson
6:19.0,,,33-38,2,R. Anderson makes 2-pt shot at rim
6:00.0,Shooting foul by A. Davis (drawn by H. Sims),,33-38,,
6:00.0,H. Sims makes free throw 1 of 2,1,34-38,,
6:00.0,,,34-38,,D. Cunningham enters the game for J. Salmons
6:00.0,H. Sims makes free throw 2 of 2,1,35-38,,
5:36.0,,,35-38,,A. Davis misses 2-pt shot from 13 ft
5:35.0,Defensive rebound by L. Drew,,35-38,,
5:28.0,R. Covington misses 3-pt shot from 25 ft,,35-38,,
5:26.0,,,35-38,,Defensive rebound by Team
5:26.0,Official timeout,,35-38,,
5:26.0,,,35-38,,T. Evans enters the game for Q. Pondexter
5:26.0,J. Grant enters the game for R. Covington,,35-38,,
5:06.0,,,35-38,,R. Anderson misses 2-pt shot from 1 ft (block by J. Grant)
5:04.0,Defensive rebound by L. Drew,,35-38,,
4:57.0,Turnover by J. Grant (bad pass; steal by A. Davis),,35-38,,
4:50.0,,,35-41,3,R. Anderson makes 3-pt shot from 28 ft (assist by T. Evans)
4:33.0,H. Thompson makes 2-pt shot at rim (assist by H. Sims),2,37-41,,
4:14.0,,,37-41,,D. Cunningham misses 2-pt shot from 19 ft
4:12.0,Defensive rebound by L. Mbah a Moute,,37-41,,
4:04.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,37-41,,
4:03.0,,,37-41,,Defensive rebound by D. Cunningham
3:57.0,,,37-43,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
3:28.0,Turnover by H. Thompson (lost ball; steal by D. Cunningham),,37-43,,
3:24.0,,,37-45,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Gordon)
3:08.0,Shooting foul by T. Evans (drawn by L. Mbah a Moute),,37-45,,
3:08.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,39-45,,
3:08.0,,,39-45,,O. Asik enters the game for R. Anderson
3:08.0,N. Noel enters the game for H. Sims,,39-45,,
3:08.0,L. Mbah a Moute misses free throw 1 of 1,,39-45,,
3:07.0,Offensive rebound by Team,,39-45,,
3:03.0,L. Drew misses 3-pt shot from 24 ft,,39-45,,
3:02.0,,,39-45,,Defensive rebound by D. Cunningham
3:00.0,Personal foul by L. Mbah a Moute (drawn by T. Evans),,39-45,,
2:50.0,Personal foul by N. Noel (drawn by A. Davis),,39-45,,
2:50.0,,,39-45,,New Orleans full timeout
2:50.0,R. Covington enters the game for J. Grant,,39-45,,
2:50.0,,,39-46,1,A. Davis makes free throw 1 of 2
2:50.0,,,39-47,1,A. Davis makes free throw 2 of 2
2:34.0,L. Mbah a Moute misses 2-pt shot from 13 ft,,39-47,,
2:33.0,,,39-47,,Defensive rebound by A. Davis
2:14.0,,,39-49,2,D. Cunningham makes 2-pt shot from 18 ft (assist by A. Davis)
1:59.0,N. Noel misses 2-pt shot from 7 ft,,39-49,,
1:58.0,,,39-49,,Defensive rebound by A. Davis
1:47.0,,,39-52,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans)
1:41.0,Philadelphia full timeout,,39-52,,
1:41.0,J. Grant enters the game for H. Thompson,,39-52,,
1:21.0,L. Drew misses 2-pt shot from 20 ft,,39-52,,
1:19.0,,,39-52,,Defensive rebound by O. Asik
1:12.0,,,39-52,,Offensive charge foul by T. Evans
1:12.0,,,39-52,,Turnover by T. Evans (offensive foul)
0:58.0,J. Grant makes 2-pt shot from 18 ft,2,41-52,,
0:40.0,,,41-52,,E. Gordon misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by N. Noel,,41-52,,
0:30.0,L. Mbah a Moute makes 2-pt shot from 8 ft (assist by R. Covington),2,43-52,,
0:06.0,,,43-52,,Turnover by O. Asik (lost ball)
0:06.0,,,43-52,,N. Wolters enters the game for T. Evans
0:03.0,,,43-52,,Personal block foul by E. Gordon (drawn by L. Drew)
0:00.0,L. Drew misses 3-pt shot from 26 ft,,43-52,,
0:00.0,Offensive rebound by Team,,43-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,43-52,,Turnover by E. Gordon (bad pass; steal by L. Drew)
11:24.0,R. Covington misses 2-pt shot from 18 ft (block by A. Davis),,43-52,,
11:22.0,,,43-52,,Defensive rebound by D. Cunningham
11:10.0,,,43-54,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
10:56.0,N. Noel misses 2-pt shot from 15 ft,,43-54,,
10:56.0,Offensive rebound by H. Sims,,43-54,,
10:56.0,Shooting foul by O. Asik (drawn by H. Sims),,43-54,,
10:56.0,H. Sims misses free throw 1 of 2,,43-54,,
10:56.0,Offensive rebound by Team,,43-54,,
10:56.0,H. Sims makes free throw 2 of 2,1,44-54,,
10:40.0,,,44-57,3,T. Evans makes 3-pt shot from 26 ft (assist by O. Asik)
10:27.0,H. Sims misses 2-pt shot from 19 ft,,44-57,,
10:26.0,,,44-57,,Defensive rebound by A. Davis
10:17.0,,,44-57,,O. Asik misses 2-pt shot from 1 ft
10:16.0,Defensive rebound by L. Drew,,44-57,,
10:11.0,L. Drew misses 2-pt shot from 7 ft,,44-57,,
10:09.0,,,44-57,,Defensive rebound by O. Asik
9:58.0,,,44-59,2,E. Gordon makes 2-pt shot from 3 ft (assist by O. Asik)
9:58.0,,,44-59,,Shooting foul by R. Covington (drawn by E. Gordon)
9:58.0,,,44-60,1,E. Gordon makes free throw 1 of 1
9:43.0,H. Sims misses 2-pt shot from 2 ft,,44-60,,
9:42.0,Offensive rebound by H. Sims,,44-60,,
9:42.0,H. Sims makes 2-pt shot from 2 ft,2,46-60,,
9:16.0,,,46-60,,D. Cunningham misses 2-pt shot from 20 ft
9:16.0,,,46-60,,Offensive rebound by O. Asik
9:16.0,Loose ball foul by L. Drew (drawn by O. Asik),,46-60,,
9:08.0,,,46-60,,Turnover by O. Asik (traveling)
8:54.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,46-60,,
8:51.0,Offensive rebound by H. Sims,,46-60,,
8:51.0,Shooting foul by A. Davis (drawn by H. Sims),,46-60,,
8:51.0,H. Sims misses free throw 1 of 2,,46-60,,
8:51.0,Offensive rebound by Team,,46-60,,
8:51.0,H. Sims makes free throw 2 of 2,1,47-60,,
8:38.0,,,47-60,,A. Davis misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by N. Noel,,47-60,,
8:15.0,Shooting foul by A. Davis (drawn by H. Sims),,47-60,,
8:15.0,H. Sims makes free throw 1 of 2,1,48-60,,
8:15.0,H. Sims makes free throw 2 of 2,1,49-60,,
8:01.0,,,49-60,,T. Evans misses 3-pt shot from 25 ft
8:00.0,,,49-60,,Offensive rebound by A. Davis
8:00.0,,,49-60,,A. Davis misses 2-pt shot at rim
7:59.0,Defensive rebound by Team,,49-60,,
7:44.0,H. Sims makes 2-pt shot from 12 ft (assist by L. Mbah a Moute),2,51-60,,
7:27.0,,,51-60,,Shooting foul by L. Mbah a Moute (drawn by O. Asik)
7:27.0,,,51-60,,O. Asik misses free throw 1 of 2
7:27.0,,,51-60,,Offensive rebound by Team
7:27.0,J. Grant enters the game for N. Noel,,51-60,,
7:27.0,,,51-61,1,O. Asik makes free throw 2 of 2
7:15.0,Shooting foul by O. Asik (drawn by R. Covington),,51-61,,
7:15.0,R. Covington makes free throw 1 of 2,1,52-61,,
7:15.0,R. Covington makes free throw 2 of 2,1,53-61,,
7:02.0,,,53-63,2,A. Davis makes 2-pt shot from 10 ft (assist by E. Gordon)
7:02.0,,,53-63,,Shooting foul by J. Grant (drawn by A. Davis)
7:02.0,,,53-64,1,A. Davis makes free throw 1 of 1
6:48.0,Turnover by H. Sims (bad pass; steal by A. Davis),,53-64,,
6:43.0,,,53-66,2,A. Davis makes 2-pt shot at rim (assist by E. Gordon)
6:31.0,K. McDaniels enters the game for R. Covington,,53-66,,
6:31.0,Philadelphia full timeout,,53-66,,
6:23.0,,,53-66,,Violation by A. Davis (kicked ball)
6:12.0,J. Grant misses 3-pt shot from 25 ft,,53-66,,
6:10.0,,,53-66,,Defensive rebound by D. Cunningham
5:56.0,Personal foul by J. Grant (drawn by A. Davis),,53-66,,
5:56.0,,,53-67,1,A. Davis makes free throw 1 of 2
5:56.0,N. Noel enters the game for H. Sims,,53-67,,
5:56.0,,,53-68,1,A. Davis makes free throw 2 of 2
5:36.0,L. Mbah a Moute makes 2-pt shot from 15 ft,2,55-68,,
5:19.0,,,55-70,2,O. Asik makes 2-pt shot from 1 ft (assist by A. Davis)
5:19.0,,,55-70,,Shooting foul by L. Mbah a Moute (drawn by O. Asik)
5:19.0,H. Thompson enters the game for L. Mbah a Moute,,55-70,,
5:19.0,,,55-70,,O. Asik misses free throw 1 of 1
5:17.0,,,55-70,,Offensive rebound by D. Cunningham
4:59.0,,,55-70,,Shooting foul by H. Thompson (drawn by O. Asik)
4:59.0,,,55-71,1,O. Asik makes free throw 1 of 2
4:59.0,,,55-71,,O. Asik misses free throw 2 of 2
4:58.0,Defensive rebound by J. Grant,,55-71,,
4:40.0,H. Thompson misses 3-pt shot from 25 ft,,55-71,,
4:38.0,,,55-71,,Defensive rebound by A. Davis
4:13.0,,,55-71,,E. Gordon misses 2-pt shot from 9 ft
4:12.0,,,55-71,,Offensive rebound by A. Davis
4:11.0,,,55-73,2,A. Davis makes 2-pt shot from 1 ft
4:01.0,L. Drew misses 3-pt shot from 24 ft,,55-73,,
4:00.0,,,55-73,,Defensive rebound by O. Asik
3:55.0,,,55-73,,Turnover by T. Evans (bad pass; steal by K. McDaniels)
3:51.0,K. McDaniels makes 2-pt shot from 1 ft,2,57-73,,
3:34.0,,,57-73,,D. Cunningham misses 2-pt shot from 20 ft
3:32.0,,,57-73,,Offensive rebound by T. Evans
3:31.0,,,57-75,2,T. Evans makes 2-pt shot from 2 ft
3:07.0,N. Noel makes 2-pt shot from 5 ft (assist by L. Drew),2,59-75,,
2:44.0,,,59-77,2,O. Asik makes 2-pt shot at rim (assist by A. Davis)
2:35.0,N. Noel misses 2-pt shot from 13 ft,,59-77,,
2:33.0,,,59-77,,Defensive rebound by O. Asik
2:27.0,,,59-79,2,D. Cunningham makes 2-pt shot from 13 ft (assist by E. Gordon)
2:24.0,Philadelphia full timeout,,59-79,,
2:24.0,,,59-79,,New Orleans full timeout
2:24.0,,,59-79,,R. Anderson enters the game for O. Asik
2:24.0,,,59-79,,Q. Pondexter enters the game for E. Gordon
2:24.0,F. Aldemir enters the game for N. Noel,,59-79,,
2:24.0,R. Covington enters the game for L. Drew,,59-79,,
2:24.0,J. Sampson enters the game for H. Thompson,,59-79,,
2:15.0,J. Grant misses 2-pt shot from 2 ft (block by A. Davis),,59-79,,
2:15.0,,,59-79,,Defensive rebound by Team
1:53.0,,,59-81,2,R. Anderson makes 2-pt shot from 14 ft (assist by T. Evans)
1:39.0,J. Sampson misses 2-pt shot from 14 ft,,59-81,,
1:36.0,Offensive rebound by J. Sampson,,59-81,,
1:21.0,R. Covington misses 2-pt shot from 10 ft,,59-81,,
1:20.0,Offensive rebound by F. Aldemir,,59-81,,
1:14.0,,,59-81,,Shooting block foul by T. Evans (drawn by K. McDaniels)
1:14.0,K. McDaniels makes free throw 1 of 2,1,60-81,,
1:14.0,,,60-81,,N. Wolters enters the game for T. Evans
1:14.0,K. McDaniels misses free throw 2 of 2,,60-81,,
1:13.0,,,60-81,,Defensive rebound by D. Cunningham
0:56.0,,,60-83,2,D. Cunningham makes 2-pt shot from 21 ft (assist by N. Wolters)
0:44.0,K. McDaniels misses 2-pt shot from 2 ft (block by D. Cunningham),,60-83,,
0:44.0,,,60-83,,Defensive rebound by N. Wolters
0:38.0,,,60-83,,Q. Pondexter misses 2-pt shot from 2 ft
0:38.0,,,60-83,,Offensive rebound by A. Davis
0:37.0,,,60-83,,Shooting foul by F. Aldemir (drawn by A. Davis)
0:37.0,,,60-84,1,A. Davis makes free throw 1 of 2
0:37.0,,,60-85,1,A. Davis makes free throw 2 of 2
0:26.0,K. McDaniels makes 2-pt shot at rim (assist by R. Covington),2,62-85,,
0:03.0,,,62-85,,D. Cunningham misses 2-pt shot from 17 ft (block by K. McDaniels)
0:02.0,,,62-85,,Offensive rebound by Team
0:02.0,,,62-85,,Turnover by Team (shot clock)
0:00.0,J. Sampson misses 3-pt shot from 54 ft,,62-85,,
0:00.0,Offensive rebound by Team,,62-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,62-85,,
11:40.0,,,62-85,,Defensive rebound by A. Ajinca
11:25.0,,,62-87,2,R. Anderson makes 2-pt shot from 8 ft
11:05.0,L. Mbah a Moute misses 2-pt shot from 16 ft,,62-87,,
11:04.0,,,62-87,,Defensive rebound by Q. Pondexter
10:51.0,,,62-87,,R. Anderson misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by R. Covington,,62-87,,
10:34.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by K. McDaniels),2,64-87,,
10:14.0,,,64-87,,A. Ajinca misses 2-pt shot from 7 ft
10:13.0,Defensive rebound by K. McDaniels,,64-87,,
10:03.0,K. McDaniels misses 2-pt shot from 7 ft,,64-87,,
10:01.0,Offensive rebound by L. Mbah a Moute,,64-87,,
9:48.0,,,64-87,,Personal foul by Q. Pondexter (drawn by F. Aldemir)
9:33.0,L. Drew misses 3-pt shot from 27 ft,,64-87,,
9:32.0,,,64-87,,Defensive rebound by A. Ajinca
9:32.0,Loose ball foul by F. Aldemir (drawn by A. Ajinca),,64-87,,
9:17.0,,,64-87,,Turnover by Q. Pondexter (bad pass; steal by K. McDaniels)
9:07.0,,,64-87,,Loose ball foul by A. Ajinca (drawn by R. Covington)
8:55.0,R. Covington misses 2-pt shot from 5 ft (block by J. Salmons),,64-87,,
8:54.0,Offensive rebound by R. Covington,,64-87,,
8:53.0,Turnover by Team (shot clock),,64-87,,
8:53.0,Official timeout,,64-87,,
8:39.0,,,64-87,,N. Wolters misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by F. Aldemir,,64-87,,
8:21.0,L. Drew misses 2-pt shot from 7 ft,,64-87,,
8:20.0,Offensive rebound by F. Aldemir,,64-87,,
8:20.0,,,64-87,,Personal foul by J. Salmons (drawn by F. Aldemir)
8:02.0,Turnover by L. Drew (bad pass; steal by J. Salmons),,64-87,,
7:56.0,,,64-87,,Turnover by J. Salmons (lost ball; steal by R. Covington)
7:51.0,R. Covington misses 3-pt shot from 25 ft,,64-87,,
7:50.0,Offensive rebound by K. McDaniels,,64-87,,
7:49.0,K. McDaniels misses 2-pt shot from 2 ft,,64-87,,
7:47.0,,,64-87,,Defensive rebound by A. Ajinca
7:35.0,,,64-87,,Turnover by Q. Pondexter (bad pass; steal by F. Aldemir)
7:29.0,L. Mbah a Moute misses 2-pt shot at rim (block by A. Ajinca),,64-87,,
7:28.0,Offensive rebound by F. Aldemir,,64-87,,
7:26.0,F. Aldemir makes 2-pt shot from 1 ft,2,66-87,,
7:08.0,Personal foul by K. McDaniels (drawn by R. Anderson),,66-87,,
7:08.0,J. Sampson enters the game for L. Drew,,66-87,,
6:58.0,,,66-87,,Turnover by N. Wolters (lost ball; steal by K. McDaniels)
6:53.0,Turnover by K. McDaniels (bad pass; steal by R. Anderson),,66-87,,
6:41.0,J. Grant enters the game for L. Mbah a Moute,,66-87,,
6:30.0,,,66-87,,Turnover by Team (shot clock)
6:17.0,J. Sampson misses 2-pt shot from 8 ft (block by N. Wolters),,66-87,,
6:14.0,Offensive rebound by J. Sampson,,66-87,,
6:12.0,J. Sampson misses 2-pt shot from 8 ft (block by A. Ajinca),,66-87,,
6:11.0,,,66-87,,Defensive rebound by R. Anderson
6:07.0,,,66-87,,R. Anderson misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by R. Covington,,66-87,,
5:55.0,R. Covington misses 2-pt shot from 5 ft,,66-87,,
5:54.0,,,66-87,,Defensive rebound by R. Anderson
5:43.0,,,66-87,,Q. Pondexter misses 2-pt shot from 8 ft
5:42.0,,,66-87,,Offensive rebound by R. Anderson
5:42.0,,,66-87,,R. Anderson misses 2-pt shot from 3 ft
5:41.0,Defensive rebound by J. Sampson,,66-87,,
5:35.0,Philadelphia full timeout,,66-87,,
5:35.0,,,66-87,,L. Babbitt enters the game for N. Wolters
5:35.0,,,66-87,,J. Fredette enters the game for J. Salmons
5:35.0,H. Thompson enters the game for R. Covington,,66-87,,
5:35.0,N. Noel enters the game for F. Aldemir,,66-87,,
5:22.0,K. McDaniels makes 2-pt shot from 18 ft (assist by J. Sampson),2,68-87,,
5:11.0,Personal foul by N. Noel (drawn by R. Anderson),,68-87,,
5:05.0,,,68-89,2,L. Babbitt makes 2-pt shot from 11 ft (assist by A. Ajinca)
4:44.0,J. Sampson makes 2-pt shot from 1 ft,2,70-89,,
4:31.0,,,70-89,,Turnover by J. Fredette (bad pass)
4:15.0,Shooting foul by Q. Pondexter (drawn by K. McDaniels),,70-89,,
4:15.0,K. McDaniels makes free throw 1 of 2,1,71-89,,
4:15.0,K. McDaniels makes free throw 2 of 2,1,72-89,,
3:59.0,,,72-89,,Q. Pondexter misses 2-pt shot from 1 ft (block by J. Grant)
3:58.0,Defensive rebound by H. Thompson,,72-89,,
3:47.0,Turnover by J. Grant (bad pass; steal by A. Ajinca),,72-89,,
3:38.0,,,72-92,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Fredette)
3:22.0,H. Thompson misses 2-pt shot from 22 ft,,72-92,,
3:19.0,,,72-92,,Defensive rebound by Q. Pondexter
