time,Washington,pts.away,score,pts.home,LA Clippers
1:29.0,,,17-31,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
1:11.0,D. Gooden misses 2-pt shot from 21 ft,,17-31,,
1:10.0,,,17-31,,Defensive rebound by D. Jordan
1:03.0,,,17-31,,Turnover by M. Barnes (bad pass; steal by M. Gortat)
0:59.0,R. Sessions misses 2-pt shot from 2 ft (block by M. Barnes),,17-31,,
0:57.0,Offensive rebound by D. Gooden,,17-31,,
0:57.0,Shooting foul by A. Rivers (drawn by D. Gooden),,17-31,,
0:57.0,D. Gooden makes free throw 1 of 2,1,18-31,,
0:57.0,O. Porter enters the game for P. Pierce,,18-31,,
0:57.0,,,18-31,,S. Hawes enters the game for B. Griffin
0:57.0,,,18-31,,H. Turkoglu enters the game for M. Barnes
0:57.0,D. Gooden makes free throw 2 of 2,1,19-31,,
0:47.0,,,19-31,,Shooting foul by J. Wall (drawn by C. Paul)
0:47.0,,,19-32,1,C. Paul makes free throw 1 of 2
0:47.0,R. Butler enters the game for J. Wall,,19-32,,
0:47.0,,,19-33,1,C. Paul makes free throw 2 of 2
0:27.0,Shooting foul by S. Hawes (drawn by D. Gooden),,19-33,,
0:27.0,D. Gooden makes free throw 1 of 2,1,20-33,,
0:27.0,,,20-33,,N. Robinson enters the game for D. Jordan
0:27.0,D. Gooden makes free throw 2 of 2,1,21-33,,
0:03.0,,,21-35,2,A. Rivers makes 2-pt shot from 1 ft (assist by H. Turkoglu)
0:01.0,R. Butler misses 3-pt shot from 37 ft,,21-35,,
0:00.0,Offensive rebound by Team,,21-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-35,,Personal foul by A. Rivers (drawn by B. Beal)
11:42.0,,,21-35,,J. Redick enters the game for A. Rivers
11:37.0,Turnover by B. Beal (bad pass; steal by N. Robinson),,21-35,,
11:30.0,,,21-35,,N. Robinson misses 3-pt shot from 25 ft
11:27.0,,,21-35,,Offensive rebound by D. Jordan
11:24.0,,,21-35,,J. Redick misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by K. Seraphin,,21-35,,
11:12.0,K. Seraphin makes 2-pt shot from 13 ft (assist by B. Beal),2,23-35,,
10:56.0,,,23-38,3,N. Robinson makes 3-pt shot from 26 ft
10:37.0,R. Sessions makes 2-pt shot from 8 ft (assist by D. Gooden),2,25-38,,
10:37.0,Shooting foul by N. Robinson (drawn by R. Sessions),,25-38,,
10:37.0,R. Sessions makes free throw 1 of 1,1,26-38,,
10:12.0,,,26-41,3,H. Turkoglu makes 3-pt shot from 25 ft (assist by S. Hawes)
9:58.0,D. Gooden makes 2-pt shot from 20 ft (assist by R. Sessions),2,28-41,,
9:42.0,,,28-41,,Turnover by S. Hawes (lost ball; steal by D. Gooden)
9:29.0,K. Seraphin makes 2-pt shot from 11 ft,2,30-41,,
9:14.0,,,30-43,2,J. Redick makes 2-pt shot from 14 ft (assist by N. Robinson)
8:55.0,B. Beal makes 3-pt shot from 25 ft,3,33-43,,
8:29.0,,,33-43,,N. Robinson misses 2-pt shot from 18 ft
8:27.0,,,33-43,,Offensive rebound by Team
8:27.0,,,33-43,,Turnover by Team (shot clock)
8:27.0,Official timeout,,33-43,,
8:27.0,,,33-43,,A. Rivers enters the game for D. Jordan
8:27.0,,,33-43,,B. Griffin enters the game for J. Redick
8:12.0,B. Beal makes 2-pt shot from 14 ft (assist by K. Seraphin),2,35-43,,
7:51.0,,,35-46,3,H. Turkoglu makes 3-pt shot from 24 ft (assist by N. Robinson)
7:35.0,B. Beal makes 3-pt shot from 25 ft,3,38-46,,
7:06.0,,,38-46,,B. Griffin misses 2-pt shot from 22 ft
7:05.0,Defensive rebound by R. Sessions,,38-46,,
6:59.0,K. Seraphin makes 2-pt shot from 6 ft (assist by R. Sessions),2,40-46,,
6:42.0,,,40-46,,A. Rivers misses 2-pt shot from 11 ft
6:39.0,Defensive rebound by O. Porter,,40-46,,
6:30.0,R. Sessions misses 2-pt shot from 18 ft,,40-46,,
6:28.0,,,40-46,,Defensive rebound by H. Turkoglu
6:18.0,,,40-49,3,A. Rivers makes 3-pt shot from 22 ft (assist by H. Turkoglu)
5:58.0,D. Gooden misses 3-pt shot from 25 ft,,40-49,,
5:57.0,,,40-49,,Defensive rebound by S. Hawes
5:49.0,,,40-52,3,S. Hawes makes 3-pt shot from 24 ft (assist by A. Rivers)
5:40.0,Washington full timeout,,40-52,,
5:40.0,J. Wall enters the game for R. Sessions,,40-52,,
5:40.0,,,40-52,,C. Paul enters the game for N. Robinson
5:31.0,Shooting foul by S. Hawes (drawn by B. Beal),,40-52,,
5:31.0,B. Beal makes free throw 1 of 2,1,41-52,,
5:31.0,B. Beal makes free throw 2 of 2,1,42-52,,
5:22.0,,,42-52,,M. Barnes enters the game for H. Turkoglu
5:22.0,,,42-52,,D. Jordan enters the game for S. Hawes
5:22.0,,,42-52,,J. Redick enters the game for A. Rivers
5:12.0,,,42-54,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
4:56.0,K. Seraphin misses 2-pt shot from 4 ft,,42-54,,
4:56.0,,,42-54,,Defensive rebound by Team
4:44.0,,,42-54,,B. Griffin misses 2-pt shot from 16 ft
4:43.0,Defensive rebound by J. Wall,,42-54,,
4:22.0,O. Porter makes 2-pt shot from 1 ft (assist by D. Gooden),2,44-54,,
4:08.0,,,44-56,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
3:55.0,K. Seraphin misses 2-pt shot from 10 ft,,44-56,,
3:54.0,,,44-56,,Defensive rebound by D. Jordan
3:44.0,,,44-56,,B. Griffin misses 2-pt shot from 15 ft
3:42.0,Defensive rebound by O. Porter,,44-56,,
3:39.0,,,44-56,,Shooting block foul by B. Griffin (drawn by J. Wall)
3:39.0,J. Wall makes free throw 1 of 2,1,45-56,,
3:39.0,M. Gortat enters the game for D. Gooden,,45-56,,
3:39.0,P. Pierce enters the game for O. Porter,,45-56,,
3:39.0,N. Hilario enters the game for K. Seraphin,,45-56,,
3:39.0,J. Wall misses free throw 2 of 2,,45-56,,
3:36.0,,,45-56,,Defensive rebound by J. Redick
3:25.0,Personal foul by M. Gortat (drawn by B. Griffin),,45-56,,
3:19.0,,,45-58,2,C. Paul makes 2-pt shot from 14 ft (assist by B. Griffin)
2:53.0,B. Beal misses 3-pt shot from 24 ft,,45-58,,
2:50.0,Offensive rebound by M. Gortat,,45-58,,
2:50.0,M. Gortat misses 2-pt shot from 1 ft,,45-58,,
2:46.0,Offensive rebound by M. Gortat,,45-58,,
2:44.0,M. Gortat misses 2-pt shot from 2 ft,,45-58,,
2:43.0,,,45-58,,Defensive rebound by D. Jordan
2:39.0,,,45-61,3,C. Paul makes 3-pt shot from 24 ft
2:36.0,Washington full timeout,,45-61,,
2:36.0,,,45-61,,LA Clippers full timeout
2:24.0,N. Hilario misses 2-pt shot from 3 ft (block by D. Jordan),,45-61,,
2:21.0,Offensive rebound by B. Beal,,45-61,,
2:18.0,B. Beal makes 3-pt shot from 23 ft,3,48-61,,
1:54.0,,,48-61,,M. Barnes misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by N. Hilario,,48-61,,
1:38.0,M. Gortat makes 2-pt shot from 4 ft,2,50-61,,
1:23.0,,,50-61,,C. Paul misses 2-pt shot from 14 ft
1:22.0,Defensive rebound by P. Pierce,,50-61,,
1:13.0,N. Hilario makes 2-pt shot at rim,2,52-61,,
0:56.0,,,52-61,,B. Griffin misses 2-pt shot from 2 ft
0:54.0,,,52-61,,Offensive rebound by B. Griffin
0:54.0,,,52-63,2,B. Griffin makes 2-pt shot at rim
0:41.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,54-63,,
0:32.0,,,54-63,,C. Paul misses 3-pt shot from 24 ft
0:30.0,,,54-63,,Offensive rebound by D. Jordan
0:28.0,,,54-66,3,J. Redick makes 3-pt shot from 24 ft (assist by D. Jordan)
0:08.0,J. Wall misses 2-pt shot from 1 ft (block by D. Jordan),,54-66,,
0:06.0,,,54-66,,Defensive rebound by B. Griffin
0:01.0,,,54-66,,Turnover by B. Griffin (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Shooting foul by M. Barnes (drawn by N. Hilario),,54-66,,
11:42.0,N. Hilario misses free throw 1 of 2,,54-66,,
11:42.0,Offensive rebound by Team,,54-66,,
11:42.0,N. Hilario makes free throw 2 of 2,1,55-66,,
11:37.0,Personal foul by N. Hilario (drawn by B. Griffin),,55-66,,
11:29.0,,,55-68,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
11:06.0,B. Beal makes 2-pt shot from 9 ft (assist by M. Gortat),2,57-68,,
10:39.0,,,57-70,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
10:24.0,N. Hilario makes 2-pt shot from 16 ft (assist by B. Beal),2,59-70,,
10:12.0,,,59-70,,Offensive foul by M. Barnes
10:12.0,,,59-70,,Turnover by M. Barnes (offensive foul)
9:58.0,N. Hilario makes 2-pt shot from 14 ft (assist by P. Pierce),2,61-70,,
9:43.0,,,61-72,2,B. Griffin makes 2-pt shot from 13 ft (assist by C. Paul)
9:15.0,N. Hilario makes 2-pt shot from 13 ft (assist by J. Wall),2,63-72,,
9:01.0,,,63-72,,B. Griffin misses 2-pt shot from 12 ft (block by N. Hilario)
9:01.0,,,63-72,,Offensive rebound by Team
9:00.0,,,63-72,,Shooting foul by B. Beal (drawn by J. Redick)
9:00.0,,,63-73,1,J. Redick makes free throw 1 of 2
9:00.0,,,63-74,1,J. Redick makes free throw 2 of 2
8:45.0,,,63-74,,Personal foul by C. Paul (drawn by P. Pierce)
8:37.0,M. Gortat makes 2-pt shot from 15 ft (assist by P. Pierce),2,65-74,,
8:23.0,,,65-74,,C. Paul misses 2-pt shot from 16 ft
8:21.0,Defensive rebound by J. Wall,,65-74,,
8:14.0,N. Hilario misses 2-pt shot from 2 ft (block by D. Jordan),,65-74,,
8:13.0,,,65-74,,Defensive rebound by D. Jordan
8:01.0,,,65-74,,B. Griffin misses 2-pt shot from 13 ft
7:59.0,Defensive rebound by N. Hilario,,65-74,,
7:55.0,,,65-74,,Personal foul by C. Paul (drawn by J. Wall)
7:45.0,Turnover by N. Hilario (lost ball),,65-74,,
7:45.0,Loose ball foul by N. Hilario (drawn by C. Paul),,65-74,,
7:21.0,,,65-74,,J. Redick misses 2-pt shot from 17 ft
7:21.0,,,65-74,,Offensive rebound by Team
7:21.0,,,65-74,,Turnover by Team (shot clock)
7:06.0,M. Gortat makes 2-pt shot from 9 ft (assist by B. Beal),2,67-74,,
6:54.0,,,67-76,2,J. Redick makes 2-pt shot from 20 ft
6:29.0,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall),2,69-76,,
6:25.0,,,69-76,,B. Griffin misses flagrant free throw 1 of 2
6:25.0,,,69-76,,Offensive rebound by Team
6:25.0,,,69-76,,B. Griffin misses flagrant free throw 2 of 2
6:25.0,,,69-76,,Offensive rebound by Team
6:15.0,,,69-78,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
6:01.0,P. Pierce misses 2-pt shot from 1 ft (block by M. Barnes),,69-78,,
6:00.0,,,69-78,,Defensive rebound by D. Jordan
5:46.0,,,69-78,,J. Redick misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by P. Pierce,,69-78,,
5:40.0,B. Beal misses 2-pt shot from 19 ft,,69-78,,
5:39.0,,,69-78,,Defensive rebound by C. Paul
5:30.0,,,69-78,,LA Clippers full timeout
5:30.0,,,69-78,,B. Griffin misses flagrant free throw 1 of 2
5:30.0,,,69-78,,Offensive rebound by Team
5:30.0,,,69-79,1,B. Griffin makes flagrant free throw 2 of 2
5:14.0,,,69-81,2,C. Paul makes 2-pt shot from 1 ft (assist by J. Redick)
4:57.0,,,69-81,,Personal foul by B. Griffin (drawn by N. Hilario)
4:45.0,N. Hilario misses 2-pt shot from 15 ft,,69-81,,
4:44.0,,,69-81,,Defensive rebound by D. Jordan
4:31.0,,,69-81,,Turnover by D. Jordan (3 sec)
4:31.0,R. Sessions enters the game for B. Beal,,69-81,,
4:20.0,J. Wall misses 2-pt shot from 17 ft,,69-81,,
4:19.0,,,69-81,,Defensive rebound by J. Redick
3:56.0,,,69-81,,Turnover by C. Paul (bad pass; steal by J. Wall)
3:50.0,J. Wall makes 2-pt shot from 1 ft (assist by R. Sessions),2,71-81,,
3:38.0,,,71-81,,B. Griffin misses 2-pt shot from 18 ft
3:38.0,Defensive rebound by Team,,71-81,,
3:38.0,,,71-81,,A. Rivers enters the game for J. Redick
3:38.0,,,71-81,,H. Turkoglu enters the game for M. Barnes
3:38.0,Turnover by N. Hilario (bad pass),,71-81,,
3:31.0,,,71-81,,C. Paul misses 2-pt shot from 14 ft
3:30.0,Defensive rebound by N. Hilario,,71-81,,
3:26.0,Turnover by J. Wall (lost ball),,71-81,,
3:26.0,D. Gooden enters the game for N. Hilario,,71-81,,
3:06.0,,,71-81,,Offensive foul by B. Griffin
3:06.0,,,71-81,,Turnover by B. Griffin (offensive foul)
3:06.0,,,71-81,,S. Hawes enters the game for B. Griffin
2:51.0,J. Wall misses 2-pt shot from 8 ft,,71-81,,
2:48.0,,,71-81,,Defensive rebound by D. Jordan
2:45.0,Personal block foul by D. Gooden (drawn by C. Paul),,71-81,,
2:45.0,Washington full timeout,,71-81,,
2:45.0,,,71-81,,C. Paul misses free throw 1 of 2
2:45.0,,,71-81,,Offensive rebound by Team
2:45.0,,,71-82,1,C. Paul makes free throw 2 of 2
2:25.0,D. Gooden makes 2-pt shot from 11 ft (assist by P. Pierce),2,73-82,,
2:05.0,,,73-82,,S. Hawes misses 2-pt shot from 10 ft
2:03.0,,,73-82,,Offensive rebound by D. Jordan
2:03.0,,,73-84,2,D. Jordan makes 2-pt shot at rim
1:41.0,D. Gooden makes 2-pt shot from 22 ft (assist by P. Pierce),2,75-84,,
1:18.0,,,75-86,2,C. Paul makes 2-pt shot from 1 ft
1:06.0,P. Pierce misses 3-pt shot from 25 ft,,75-86,,
1:04.0,,,75-86,,Defensive rebound by C. Paul
0:57.0,,,75-88,2,C. Paul makes 2-pt shot from 13 ft
0:38.0,P. Pierce misses 3-pt shot from 24 ft,,75-88,,
0:37.0,,,75-88,,Defensive rebound by C. Paul
0:31.0,,,75-88,,Shooting foul by J. Wall (drawn by C. Paul)
0:31.0,,,75-89,1,C. Paul makes free throw 1 of 2
0:31.0,,,75-90,1,C. Paul makes free throw 2 of 2
0:23.0,J. Wall makes 2-pt shot from 1 ft,2,77-90,,
0:02.0,,,77-90,,C. Paul misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by M. Gortat,,77-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,77-90,,Turnover by H. Turkoglu (bad pass; steal by R. Sessions)
11:39.0,J. Wall makes 2-pt shot at rim (assist by B. Beal),2,79-90,,
11:28.0,,,79-90,,S. Hawes misses 2-pt shot from 16 ft
11:26.0,,,79-90,,Offensive rebound by D. Jordan
11:26.0,,,79-90,,D. Jordan misses 2-pt shot from 2 ft
11:24.0,,,79-90,,Offensive rebound by D. Jordan
11:14.0,,,79-90,,Turnover by N. Robinson (lost ball)
11:03.0,Turnover by D. Gooden (traveling),,79-90,,
10:48.0,,,79-90,,Turnover by N. Robinson (traveling)
10:48.0,,,79-90,,J. Redick enters the game for H. Turkoglu
10:38.0,,,79-90,,Personal foul by A. Rivers (drawn by J. Wall)
10:38.0,J. Wall makes free throw 1 of 2,1,80-90,,
10:38.0,J. Wall makes free throw 2 of 2,1,81-90,,
10:24.0,,,81-92,2,J. Redick makes 2-pt shot from 20 ft (assist by N. Robinson)
10:07.0,J. Wall makes 3-pt shot from 25 ft,3,84-92,,
9:48.0,,,84-92,,Shooting foul by K. Seraphin (drawn by J. Redick)
9:48.0,,,84-93,1,J. Redick makes free throw 1 of 2
9:48.0,,,84-94,1,J. Redick makes free throw 2 of 2
9:33.0,J. Wall misses 2-pt shot from 13 ft,,84-94,,
9:33.0,Offensive rebound by Team,,84-94,,
9:15.0,R. Sessions makes 2-pt shot from 9 ft (assist by J. Wall),2,86-94,,
8:58.0,,,86-94,,A. Rivers misses 2-pt shot from 8 ft
8:55.0,Defensive rebound by D. Gooden,,86-94,,
8:52.0,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Wall),2,88-94,,
8:52.0,,,88-94,,LA Clippers full timeout
8:52.0,,,88-94,,C. Paul enters the game for N. Robinson
8:52.0,,,88-94,,B. Griffin enters the game for S. Hawes
8:37.0,,,88-96,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
8:20.0,K. Seraphin misses 2-pt shot from 8 ft,,88-96,,
8:19.0,,,88-96,,Defensive rebound by Team
8:19.0,Loose ball foul by D. Gooden (drawn by B. Griffin),,88-96,,
7:56.0,,,88-96,,B. Griffin misses 2-pt shot from 17 ft
7:56.0,Defensive rebound by J. Wall,,88-96,,
7:56.0,,,88-96,,Personal take foul by D. Jordan (drawn by J. Wall)
7:56.0,,,88-96,,M. Barnes enters the game for A. Rivers
7:47.0,R. Sessions misses 3-pt shot from 24 ft,,88-96,,
7:45.0,,,88-96,,Defensive rebound by D. Jordan
7:42.0,,,88-96,,M. Barnes misses 2-pt shot from 2 ft
7:39.0,Defensive rebound by R. Sessions,,88-96,,
7:39.0,B. Beal misses 3-pt shot from 24 ft,,88-96,,
7:36.0,,,88-96,,Defensive rebound by D. Jordan
7:25.0,,,88-96,,Shooting foul by K. Seraphin (drawn by B. Griffin)
7:25.0,,,88-98,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
7:25.0,N. Hilario enters the game for K. Seraphin,,88-98,,
7:25.0,,,88-98,,B. Griffin misses free throw 1 of 1
7:22.0,Defensive rebound by D. Gooden,,88-98,,
7:07.0,J. Wall misses 2-pt shot from 16 ft,,88-98,,
7:05.0,,,88-98,,Defensive rebound by D. Jordan
6:56.0,,,88-98,,Turnover by B. Griffin (lost ball; steal by N. Hilario)
6:49.0,J. Wall makes 2-pt shot at rim,2,90-98,,
6:36.0,,,90-98,,M. Barnes misses 2-pt shot from 21 ft
6:34.0,,,90-98,,Offensive rebound by D. Jordan
6:30.0,,,90-100,2,C. Paul makes 2-pt shot from 17 ft (assist by D. Jordan)
6:10.0,B. Beal misses 2-pt shot from 16 ft,,90-100,,
6:08.0,,,90-100,,Defensive rebound by C. Paul
6:01.0,,,90-100,,C. Paul misses 2-pt shot from 15 ft
6:00.0,Defensive rebound by D. Gooden,,90-100,,
5:50.0,N. Hilario misses 2-pt shot from 14 ft,,90-100,,
5:49.0,,,90-100,,Defensive rebound by D. Jordan
5:34.0,,,90-100,,D. Jordan misses 2-pt shot from 3 ft
5:32.0,Defensive rebound by N. Hilario,,90-100,,
5:27.0,R. Sessions misses 2-pt shot at rim,,90-100,,
5:25.0,,,90-100,,Defensive rebound by D. Jordan
5:19.0,,,90-103,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
5:18.0,Washington full timeout,,90-103,,
5:18.0,P. Pierce enters the game for D. Gooden,,90-103,,
5:07.0,Shooting foul by M. Barnes (drawn by N. Hilario),,90-103,,
5:07.0,N. Hilario misses free throw 1 of 2,,90-103,,
5:07.0,Offensive rebound by Team,,90-103,,
5:07.0,N. Hilario makes free throw 2 of 2,1,91-103,,
4:52.0,,,91-105,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
4:34.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,94-105,,
4:25.0,,,94-107,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
4:08.0,J. Wall misses 3-pt shot from 25 ft,,94-107,,
4:06.0,,,94-107,,Defensive rebound by D. Jordan
3:51.0,,,94-109,2,C. Paul makes 2-pt shot from 15 ft
3:29.0,J. Wall misses 2-pt shot from 1 ft,,94-109,,
3:26.0,Offensive rebound by N. Hilario,,94-109,,
3:24.0,N. Hilario misses 2-pt shot from 2 ft,,94-109,,
3:22.0,,,94-109,,Defensive rebound by M. Barnes
3:08.0,,,94-111,2,C. Paul makes 2-pt shot from 21 ft
3:08.0,Washington full timeout,,94-111,,
3:08.0,R. Butler enters the game for N. Hilario,,94-111,,
3:08.0,M. Gortat enters the game for B. Beal,,94-111,,
2:43.0,P. Pierce misses 3-pt shot from 26 ft,,94-111,,
2:41.0,,,94-111,,Defensive rebound by C. Paul
2:27.0,,,94-111,,J. Redick misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by J. Wall,,94-111,,
2:10.0,Turnover by J. Wall (lost ball; steal by D. Jordan),,94-111,,
1:50.0,,,94-111,,M. Barnes misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by J. Wall,,94-111,,
1:44.0,Turnover by P. Pierce (bad pass; steal by D. Jordan),,94-111,,
1:40.0,,,94-113,2,C. Paul makes 2-pt shot from 3 ft
1:40.0,Washington full timeout,,94-113,,
1:40.0,,,94-113,,A. Rivers enters the game for M. Barnes
1:40.0,,,94-113,,N. Robinson enters the game for B. Griffin
1:40.0,,,94-113,,D. Jones enters the game for D. Jordan
1:40.0,,,94-113,,S. Hawes enters the game for J. Redick
