time,Miami,pts.away,score,pts.home,Philadelphia
7:48.0,Z. Dragic makes 3-pt shot from 26 ft (assist by T. Johnson),3,42-33,,
7:36.0,,,42-33,,J. Sampson misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by Team,,42-33,,
7:24.0,M. Beasley misses 2-pt shot from 7 ft,,42-33,,
7:23.0,Offensive rebound by H. Walker,,42-33,,
7:19.0,J. Ennis misses 2-pt shot from 18 ft,,42-33,,
7:19.0,,,42-33,,Defensive rebound by Team
7:19.0,Loose ball foul by Z. Dragic (drawn by J. Sampson),,42-33,,
7:19.0,U. Haslem enters the game for Z. Dragic,,42-33,,
7:03.0,,,42-33,,H. Thompson misses 3-pt shot from 25 ft
7:02.0,,,42-33,,Offensive rebound by Team
6:47.0,,,42-35,2,H. Thompson makes 2-pt shot from 1 ft (assist by T. Robinson)
6:36.0,J. Ennis makes 3-pt shot from 23 ft,3,45-35,,
6:24.0,,,45-35,,Shooting foul by M. Beasley (drawn by J. Grant)
6:24.0,,,45-35,,J. Grant misses free throw 1 of 2
6:24.0,,,45-35,,Offensive rebound by Team
6:24.0,,,45-36,1,J. Grant makes free throw 2 of 2
6:15.0,T. Johnson misses 2-pt shot from 2 ft,,45-36,,
6:14.0,Offensive rebound by H. Walker,,45-36,,
6:12.0,Shooting foul by T. Robinson (drawn by J. Ennis),,45-36,,
6:12.0,J. Ennis misses free throw 1 of 2,,45-36,,
6:12.0,Offensive rebound by Team,,45-36,,
6:12.0,,,45-36,,G. Robinson enters the game for T. Robinson
6:12.0,J. Ennis makes free throw 2 of 2,1,46-36,,
6:00.0,,,46-38,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Sampson)
5:46.0,M. Beasley makes 2-pt shot from 3 ft (assist by J. Ennis),2,48-38,,
5:46.0,Shooting foul by R. Covington (drawn by M. Beasley),,48-38,,
5:46.0,Official timeout,,48-38,,
5:46.0,M. Beasley makes free throw 1 of 1,1,49-38,,
5:31.0,,,49-40,2,J. Sampson makes 2-pt shot from 6 ft
5:17.0,J. Ennis misses 2-pt shot from 14 ft,,49-40,,
5:15.0,Offensive rebound by J. Ennis,,49-40,,
5:02.0,M. Beasley makes 2-pt shot at rim,2,51-40,,
5:02.0,Shooting foul by J. Grant (drawn by M. Beasley),,51-40,,
5:02.0,M. Beasley makes free throw 1 of 1,1,52-40,,
4:45.0,,,52-40,,J. Grant misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by T. Johnson,,52-40,,
4:35.0,,,52-40,,Violation by J. Sampson (kicked ball)
4:29.0,T. Johnson makes 3-pt shot from 26 ft (assist by J. Ennis),3,55-40,,
4:18.0,,,55-40,,Turnover by R. Covington (lost ball; steal by H. Walker)
4:17.0,,,55-40,,Personal foul by R. Covington (drawn by H. Walker)
4:17.0,H. Walker misses free throw 1 of 2,,55-40,,
4:17.0,Offensive rebound by Team,,55-40,,
4:17.0,H. Walker makes free throw 2 of 2,1,56-40,,
4:01.0,,,56-40,,R. Covington misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by M. Beasley,,56-40,,
3:54.0,J. Ennis makes 2-pt shot at rim (assist by M. Beasley),2,58-40,,
3:53.0,,,58-40,,Philadelphia full timeout
3:37.0,,,58-40,,Shooting foul by M. Beasley (drawn by J. Sampson)
3:37.0,,,58-41,1,J. Sampson makes free throw 1 of 2
3:37.0,,,58-41,,H. Sims enters the game for H. Thompson
3:37.0,,,58-42,1,J. Sampson makes free throw 2 of 2
3:27.0,Turnover by J. Ennis (lost ball),,58-42,,
3:13.0,,,58-42,,G. Robinson misses 2-pt shot from 15 ft
3:11.0,Defensive rebound by T. Johnson,,58-42,,
2:52.0,M. Beasley makes 2-pt shot from 17 ft,2,60-42,,
2:40.0,,,60-42,,J. Sampson misses 2-pt shot from 7 ft
2:38.0,,,60-42,,Offensive rebound by G. Robinson
2:38.0,Miami full timeout,,60-42,,
2:35.0,,,60-42,,R. Covington misses 2-pt shot from 1 ft
2:33.0,,,60-42,,Offensive rebound by G. Robinson
2:25.0,,,60-42,,G. Robinson misses 2-pt shot from 7 ft
2:24.0,Defensive rebound by J. Ennis,,60-42,,
2:09.0,J. Ennis misses 3-pt shot from 23 ft,,60-42,,
2:08.0,Offensive rebound by M. Beasley,,60-42,,
2:06.0,M. Beasley misses 2-pt shot from 5 ft,,60-42,,
2:04.0,,,60-42,,Defensive rebound by J. Sampson
1:57.0,,,60-42,,R. Covington misses 3-pt shot from 23 ft
1:56.0,Defensive rebound by T. Johnson,,60-42,,
1:47.0,T. Johnson makes 2-pt shot at rim (assist by M. Beasley),2,62-42,,
1:28.0,,,62-42,,J. Grant misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by Team,,62-42,,
1:13.0,T. Johnson misses 2-pt shot from 4 ft (block by R. Covington),,62-42,,
1:13.0,Offensive rebound by Team,,62-42,,
1:08.0,H. Walker misses 3-pt shot from 23 ft,,62-42,,
1:06.0,,,62-42,,Defensive rebound by J. Grant
1:02.0,,,62-44,2,J. Sampson makes 2-pt shot from 3 ft (assist by R. Covington)
1:02.0,,,62-44,,Shooting foul by U. Haslem (drawn by J. Sampson)
1:02.0,,,62-44,,J. Sampson misses free throw 1 of 1
1:00.0,Defensive rebound by U. Haslem,,62-44,,
0:44.0,T. Johnson misses 3-pt shot from 25 ft,,62-44,,
0:42.0,Offensive rebound by U. Haslem,,62-44,,
0:35.0,M. Beasley makes 2-pt shot from 6 ft,2,64-44,,
0:35.0,Shooting foul by H. Sims (drawn by M. Beasley),,64-44,,
0:35.0,M. Beasley misses free throw 1 of 1,,64-44,,
0:32.0,,,64-44,,Defensive rebound by H. Sims
0:22.0,,,64-44,,J. Grant misses 2-pt shot from 5 ft
0:21.0,,,64-44,,Offensive rebound by J. Grant
0:18.0,,,64-46,2,J. Sampson makes 2-pt shot from 2 ft (assist by J. Grant)
0:01.0,M. Beasley misses 2-pt shot from 8 ft,,64-46,,
0:00.0,,,64-46,,Defensive rebound by J. Sampson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,64-48,2,H. Thompson makes 2-pt shot from 7 ft (assist by J. Sampson)
11:17.0,J. Ennis misses 2-pt shot from 5 ft,,64-48,,
11:16.0,,,64-48,,Defensive rebound by H. Sims
11:09.0,,,64-48,,R. Covington misses 3-pt shot from 24 ft
11:07.0,,,64-48,,Offensive rebound by G. Robinson
11:02.0,,,64-48,,Shooting foul by H. Walker (drawn by R. Covington)
11:02.0,,,64-49,1,R. Covington makes free throw 1 of 2
11:02.0,,,64-50,1,R. Covington makes free throw 2 of 2
10:47.0,,,64-50,,Personal foul by G. Robinson (drawn by H. Walker)
10:33.0,Turnover by M. Beasley (bad pass),,64-50,,
10:19.0,,,64-50,,Turnover by J. Sampson (lost ball)
10:08.0,Z. Dragic misses 2-pt shot from 3 ft,,64-50,,
10:07.0,,,64-50,,Defensive rebound by H. Sims
9:58.0,,,64-50,,J. Sampson misses 3-pt shot from 23 ft
9:58.0,Defensive rebound by Team,,64-50,,
9:45.0,Turnover by T. Johnson (lost ball; steal by J. Sampson),,64-50,,
9:45.0,,,64-50,,Philadelphia full timeout
9:27.0,,,64-52,2,H. Thompson makes 2-pt shot from 4 ft (assist by J. Sampson)
9:13.0,,,64-52,,Personal foul by J. Sampson (drawn by Z. Dragic)
9:12.0,,,64-52,,Personal foul by J. Sampson (drawn by Z. Dragic)
9:03.0,H. Walker misses 3-pt shot from 26 ft,,64-52,,
9:01.0,,,64-52,,Defensive rebound by R. Covington
8:48.0,,,64-52,,Shooting foul by H. Walker (drawn by J. Sampson)
8:48.0,,,64-53,1,J. Sampson makes free throw 1 of 2
8:48.0,,,64-54,1,J. Sampson makes free throw 2 of 2
8:41.0,Turnover by T. Johnson (bad pass; steal by R. Covington),,64-54,,
8:37.0,,,64-56,2,R. Covington makes 2-pt shot at rim (assist by H. Thompson)
8:15.0,Z. Dragic makes 2-pt shot from 2 ft,2,66-56,,
8:04.0,,,66-56,,Turnover by J. Sampson (lost ball; steal by J. Ennis)
8:02.0,Turnover by J. Ennis (lost ball),,66-56,,
8:02.0,,,66-56,,T. Robinson enters the game for J. Sampson
7:48.0,,,66-56,,T. Robinson misses 2-pt shot from 13 ft
7:47.0,Defensive rebound by Z. Dragic,,66-56,,
7:33.0,J. Ennis makes 2-pt shot at rim (assist by M. Beasley),2,68-56,,
7:19.0,,,68-56,,Shooting foul by M. Beasley (drawn by R. Covington)
7:19.0,,,68-57,1,R. Covington makes free throw 1 of 2
7:19.0,,,68-57,,R. Covington misses free throw 2 of 2
7:18.0,Defensive rebound by J. Ennis,,68-57,,
7:10.0,J. Ennis misses 3-pt shot from 25 ft,,68-57,,
7:08.0,Offensive rebound by Z. Dragic,,68-57,,
6:58.0,T. Johnson makes 2-pt shot at rim,2,70-57,,
6:35.0,,,70-59,2,T. Robinson makes 2-pt shot from 2 ft (assist by H. Sims)
6:22.0,M. Beasley makes 2-pt shot from 7 ft (assist by T. Johnson),2,72-59,,
6:18.0,,,72-59,,Philadelphia full timeout
6:18.0,,,72-59,,J. Grant enters the game for R. Covington
5:55.0,,,72-59,,Turnover by Team (shot clock)
5:41.0,Z. Dragic misses 2-pt shot from 13 ft,,72-59,,
5:41.0,,,72-59,,Defensive rebound by Team
5:22.0,,,72-59,,Turnover by G. Robinson (bad pass; steal by M. Beasley)
5:14.0,T. Johnson misses 3-pt shot from 25 ft,,72-59,,
5:12.0,,,72-59,,Defensive rebound by J. Grant
5:03.0,,,72-59,,H. Thompson misses 2-pt shot from 5 ft
5:02.0,,,72-59,,Offensive rebound by H. Sims
5:02.0,,,72-59,,H. Sims misses 2-pt shot from 1 ft
4:59.0,,,72-59,,Offensive rebound by H. Sims
4:59.0,,,72-61,2,H. Sims makes 2-pt shot at rim
4:40.0,M. Beasley misses 2-pt shot from 12 ft,,72-61,,
4:39.0,,,72-61,,Defensive rebound by T. Robinson
4:24.0,,,72-64,3,H. Thompson makes 3-pt shot from 25 ft (assist by J. Grant)
4:12.0,,,72-64,,Personal foul by G. Robinson (drawn by Z. Dragic)
4:12.0,,,72-64,,J. Sampson enters the game for H. Thompson
4:06.0,Z. Dragic misses 3-pt shot from 26 ft,,72-64,,
4:04.0,,,72-64,,Defensive rebound by H. Sims
3:51.0,,,72-64,,T. Robinson misses 2-pt shot from 10 ft
3:49.0,Defensive rebound by M. Beasley,,72-64,,
3:44.0,Z. Dragic misses 2-pt shot from 2 ft (block by J. Grant),,72-64,,
3:42.0,,,72-64,,Defensive rebound by Team
3:31.0,,,72-64,,Turnover by T. Robinson (offensive goaltending)
3:21.0,M. Beasley misses 2-pt shot from 6 ft,,72-64,,
3:20.0,,,72-64,,Defensive rebound by G. Robinson
3:15.0,Jump ball: M. Beasley vs. G. Robinson (J. Grant gains possession),,,,Jump ball: M. Beasley vs. G. Robinson (J. Grant gains possession)
3:09.0,,,72-64,,Turnover by J. Grant (lost ball; steal by Z. Dragic)
3:05.0,Turnover by J. Ennis (lost ball),,72-64,,
2:59.0,,,72-64,,Turnover by J. Sampson (bad pass; steal by Z. Dragic)
2:54.0,Z. Dragic misses 2-pt shot from 1 ft,,72-64,,
2:53.0,,,72-64,,Defensive rebound by Team
2:53.0,Miami full timeout,,72-64,,
2:34.0,,,72-66,2,G. Robinson makes 2-pt shot from 16 ft
2:12.0,,,72-66,,Personal foul by G. Robinson (drawn by Z. Dragic)
2:12.0,Z. Dragic makes free throw 1 of 2,1,73-66,,
2:12.0,Z. Dragic misses free throw 2 of 2,,73-66,,
2:11.0,,,73-66,,Defensive rebound by T. Robinson
1:51.0,,,73-66,,Offensive charge foul by J. Sampson
1:51.0,,,73-66,,Turnover by J. Sampson (offensive foul)
1:43.0,M. Beasley makes 2-pt shot from 2 ft (assist by J. Ennis),2,75-66,,
1:15.0,,,75-68,2,G. Robinson makes 2-pt shot at rim (assist by J. Grant)
0:57.0,Z. Dragic misses 3-pt shot from 26 ft,,75-68,,
0:55.0,,,75-68,,Defensive rebound by G. Robinson
0:37.0,,,75-70,2,J. Sampson makes 2-pt shot from 2 ft (assist by T. Robinson)
0:21.0,Turnover by H. Walker (lost ball; steal by T. Robinson),,75-70,,
0:02.0,,,75-70,,Shooting foul by H. Walker (drawn by J. Grant)
0:02.0,,,75-70,,J. Grant misses free throw 1 of 2
0:02.0,,,75-70,,Offensive rebound by Team
0:02.0,,,75-71,1,J. Grant makes free throw 2 of 2
0:01.0,T. Johnson misses 3-pt shot from 77 ft,,75-71,,
0:00.0,Offensive rebound by Team,,75-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,J. Ennis misses 2-pt shot from 3 ft,,75-71,,
11:49.0,,,75-71,,Defensive rebound by H. Sims
11:39.0,,,75-71,,H. Thompson misses 2-pt shot from 10 ft
11:38.0,Defensive rebound by J. Ennis,,75-71,,
11:26.0,M. Beasley misses 2-pt shot from 18 ft,,75-71,,
11:22.0,Offensive rebound by J. Ennis,,75-71,,
11:22.0,J. Ennis misses 2-pt shot from 2 ft,,75-71,,
11:20.0,Offensive rebound by J. Ennis,,75-71,,
11:20.0,J. Ennis makes 2-pt shot from 1 ft,2,77-71,,
11:10.0,,,77-71,,J. Grant misses 3-pt shot from 22 ft
11:08.0,Defensive rebound by J. Ennis,,77-71,,
10:59.0,H. Walker misses 3-pt shot from 26 ft,,77-71,,
10:57.0,,,77-71,,Defensive rebound by T. Robinson
10:54.0,,,77-71,,Turnover by T. Robinson (lost ball; steal by T. Johnson)
10:43.0,Z. Dragic misses 3-pt shot from 24 ft,,77-71,,
10:41.0,,,77-71,,Defensive rebound by J. Grant
10:28.0,,,77-73,2,H. Sims makes 2-pt shot from 15 ft (assist by H. Thompson)
10:10.0,Shooting foul by H. Sims (drawn by M. Beasley),,77-73,,
10:10.0,M. Beasley makes free throw 1 of 2,1,78-73,,
10:10.0,M. Beasley makes free throw 2 of 2,1,79-73,,
9:58.0,,,79-73,,Philadelphia full timeout
9:46.0,J. Ennis misses 2-pt shot from 19 ft,,79-73,,
9:43.0,,,79-73,,Defensive rebound by T. Robinson
9:34.0,,,79-75,2,J. Grant makes 2-pt shot from 1 ft
9:22.0,,,79-75,,Violation by H. Sims (kicked ball)
9:22.0,,,79-75,,J. Sampson enters the game for G. Robinson
9:13.0,Shooting foul by H. Thompson (drawn by M. Beasley),,79-75,,
9:13.0,M. Beasley makes free throw 1 of 2,1,80-75,,
9:13.0,M. Beasley makes free throw 2 of 2,1,81-75,,
8:59.0,,,81-77,2,T. Robinson makes 2-pt shot from 3 ft (assist by H. Sims)
8:59.0,,,81-77,,Shooting foul by J. Ennis (drawn by T. Robinson)
8:59.0,,,81-78,1,T. Robinson makes free throw 1 of 1
8:46.0,T. Johnson misses 2-pt shot from 3 ft (block by J. Sampson),,81-78,,
8:44.0,Offensive rebound by Z. Dragic,,81-78,,
8:39.0,M. Beasley makes 2-pt shot from 1 ft,2,83-78,,
8:14.0,,,83-78,,J. Sampson misses 3-pt shot from 23 ft
8:12.0,,,83-78,,Offensive rebound by H. Sims
8:11.0,,,83-78,,Shooting foul by J. Ennis (drawn by T. Robinson)
8:11.0,,,83-79,1,T. Robinson makes free throw 1 of 2
8:11.0,,,83-80,1,T. Robinson makes free throw 2 of 2
7:54.0,M. Beasley misses 3-pt shot from 25 ft,,83-80,,
7:52.0,,,83-80,,Defensive rebound by T. Robinson
7:45.0,,,83-82,2,T. Robinson makes 2-pt shot from 14 ft (assist by H. Thompson)
7:29.0,T. Johnson misses 2-pt shot from 9 ft,,83-82,,
7:27.0,,,83-82,,Defensive rebound by J. Sampson
7:20.0,,,83-82,,H. Thompson misses 3-pt shot from 27 ft
7:19.0,,,83-82,,Offensive rebound by H. Sims
7:16.0,,,83-82,,H. Thompson misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by J. Ennis,,83-82,,
7:08.0,J. Ennis misses 2-pt shot from 3 ft (block by H. Sims),,83-82,,
7:06.0,Offensive rebound by T. Johnson,,83-82,,
7:02.0,J. Ennis misses 3-pt shot from 23 ft,,83-82,,
7:00.0,,,83-82,,Defensive rebound by T. Robinson
6:55.0,,,83-82,,Turnover by T. Robinson (bad pass; steal by M. Beasley)
6:50.0,Miami full timeout,,83-82,,
6:44.0,Turnover by Z. Dragic (bad pass; steal by T. Robinson),,83-82,,
6:41.0,,,83-84,2,J. Grant makes 2-pt shot at rim (assist by T. Robinson)
6:35.0,Shooting foul by H. Sims (drawn by M. Beasley),,83-84,,
6:35.0,M. Beasley makes free throw 1 of 2,1,84-84,,
6:35.0,M. Beasley makes free throw 2 of 2,1,85-84,,
6:24.0,,,85-86,2,H. Sims makes 2-pt shot at rim (assist by J. Grant)
6:07.0,H. Walker makes 3-pt shot from 25 ft (assist by M. Beasley),3,88-86,,
5:50.0,,,88-88,2,J. Sampson makes 2-pt shot from 2 ft (assist by H. Sims)
5:39.0,M. Beasley misses 3-pt shot from 26 ft,,88-88,,
5:37.0,,,88-88,,Defensive rebound by T. Robinson
5:27.0,,,88-88,,Turnover by T. Robinson (bad pass; steal by T. Johnson)
5:22.0,Z. Dragic makes 2-pt shot at rim (assist by M. Beasley),2,90-88,,
5:06.0,Personal foul by M. Beasley (drawn by H. Sims),,90-88,,
5:06.0,,,90-88,,R. Covington enters the game for T. Robinson
5:03.0,,,90-88,,Turnover by J. Sampson (lost ball; steal by T. Johnson)
4:59.0,Z. Dragic makes 2-pt shot from 1 ft,2,92-88,,
4:35.0,,,92-88,,H. Thompson misses 2-pt shot from 17 ft
4:33.0,Defensive rebound by J. Ennis,,92-88,,
4:17.0,Z. Dragic makes 2-pt shot from 1 ft (assist by H. Walker),2,94-88,,
4:05.0,,,94-88,,Shooting foul by H. Walker (drawn by J. Grant)
4:05.0,,,94-90,2,J. Grant makes 2-pt shot from 4 ft
4:05.0,,,94-90,,G. Robinson enters the game for H. Thompson
4:05.0,,,94-90,,J. Grant misses free throw 1 of 1
4:04.0,Defensive rebound by M. Beasley,,94-90,,
3:48.0,,,94-90,,Personal foul by J. Sampson (drawn by M. Beasley)
3:40.0,M. Beasley misses 2-pt shot from 12 ft,,94-90,,
3:38.0,,,94-90,,Defensive rebound by H. Sims
3:29.0,,,94-90,,H. Sims misses 2-pt shot from 1 ft (block by M. Beasley)
3:28.0,,,94-90,,Offensive rebound by R. Covington
3:28.0,,,94-90,,Shooting foul by T. Johnson (drawn by R. Covington)
3:28.0,,,94-91,1,R. Covington makes free throw 1 of 2
3:28.0,,,94-92,1,R. Covington makes free throw 2 of 2
3:16.0,T. Johnson misses 3-pt shot from 24 ft,,94-92,,
3:14.0,,,94-92,,Defensive rebound by G. Robinson
3:07.0,,,94-92,,J. Grant misses 3-pt shot from 23 ft
3:05.0,,,94-92,,Offensive rebound by J. Sampson
3:05.0,,,94-94,2,J. Sampson makes 2-pt shot at rim
2:53.0,,,94-94,,Personal foul by R. Covington (drawn by M. Beasley)
2:53.0,Official timeout,,94-94,,
2:53.0,M. Beasley makes free throw 1 of 2,1,95-94,,
2:53.0,M. Beasley makes free throw 2 of 2,1,96-94,,
2:30.0,,,96-94,,J. Sampson misses 3-pt shot from 25 ft
2:28.0,,,96-94,,Offensive rebound by R. Covington
2:15.0,,,96-94,,Turnover by J. Grant (bad pass)
2:15.0,,,96-94,,H. Thompson enters the game for G. Robinson
1:57.0,M. Beasley makes 2-pt shot from 18 ft,2,98-94,,
1:45.0,,,98-94,,H. Sims misses 2-pt shot from 15 ft
1:43.0,Defensive rebound by T. Johnson,,98-94,,
