time,Dallas,pts.away,score,pts.home,Brooklyn
6:14.0,C. Villanueva misses 3-pt shot from 23 ft,,10-14,,
6:13.0,,,10-14,,Defensive rebound by B. Lopez
6:02.0,,,10-16,2,S. Karasev makes 2-pt shot from 1 ft (assist by J. Jack)
6:01.0,Dallas full timeout,,10-16,,
5:49.0,C. Villanueva misses 2-pt shot from 18 ft,,10-16,,
5:48.0,,,10-16,,Defensive rebound by B. Lopez
5:22.0,,,10-18,2,J. Jack makes 2-pt shot from 13 ft (assist by S. Karasev)
5:03.0,C. Parsons misses 2-pt shot from 5 ft (block by B. Lopez),,10-18,,
5:01.0,,,10-18,,Defensive rebound by J. Johnson
4:49.0,,,10-20,2,B. Lopez makes 2-pt shot from 19 ft (assist by S. Karasev)
4:34.0,M. Ellis makes 2-pt shot from 9 ft,2,12-20,,
4:26.0,,,12-20,,Shooting foul by C. Villanueva (drawn by M. Plumlee)
4:26.0,,,12-20,,M. Plumlee misses free throw 1 of 2
4:26.0,,,12-20,,Offensive rebound by Team
4:26.0,G. Smith enters the game for T. Chandler,,12-20,,
4:26.0,,,12-20,,A. Anderson enters the game for J. Johnson
4:26.0,,,12-20,,M. Plumlee misses free throw 2 of 2
4:25.0,Defensive rebound by C. Villanueva,,12-20,,
4:10.0,C. Villanueva makes 3-pt shot from 25 ft (assist by M. Ellis),3,15-20,,
3:57.0,,,15-20,,B. Lopez misses 2-pt shot from 3 ft (block by G. Smith)
3:56.0,,,15-20,,Offensive rebound by Team
3:56.0,,,15-20,,M. Teletovic enters the game for M. Plumlee
3:46.0,,,15-20,,A. Anderson misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by M. Ellis,,15-20,,
3:37.0,M. Ellis misses 3-pt shot from 27 ft,,15-20,,
3:36.0,,,15-20,,Defensive rebound by B. Lopez
3:24.0,,,15-20,,J. Jack misses 2-pt shot from 16 ft
3:23.0,,,15-20,,Offensive rebound by M. Teletovic
3:21.0,,,15-22,2,M. Teletovic makes 2-pt shot from 2 ft
3:09.0,C. Parsons misses 3-pt shot from 23 ft,,15-22,,
3:08.0,,,15-22,,Defensive rebound by M. Teletovic
2:58.0,,,15-24,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Jack)
2:53.0,Dallas full timeout,,15-24,,
2:53.0,,,15-24,,Brooklyn full timeout
2:53.0,D. Nowitzki enters the game for C. Parsons,,15-24,,
2:53.0,R. Rondo enters the game for M. Ellis,,15-24,,
2:53.0,R. Jefferson enters the game for C. Villanueva,,15-24,,
2:38.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by R. Rondo),2,17-24,,
2:18.0,,,17-26,2,B. Lopez makes 2-pt shot at rim
2:04.0,Turnover by R. Rondo (bad pass),,17-26,,
1:53.0,,,17-28,2,B. Lopez makes 2-pt shot from 18 ft (assist by J. Jack)
1:53.0,Away from play foul by G. Smith (drawn by S. Karasev),,17-28,,
1:53.0,,,17-29,1,S. Karasev makes free throw 1 of 1
1:44.0,Technical foul by Team,,17-29,,
1:44.0,,,17-30,1,S. Karasev makes technical free throw
1:41.0,,,17-30,,Personal foul by M. Teletovic (drawn by D. Nowitzki)
1:34.0,R. Jefferson makes 2-pt shot from 21 ft (assist by D. Harris),2,19-30,,
1:18.0,,,19-30,,B. Lopez misses 2-pt shot from 19 ft
1:16.0,Defensive rebound by G. Smith,,19-30,,
1:11.0,R. Jefferson makes 2-pt shot at rim (assist by R. Rondo),2,21-30,,
0:55.0,,,21-30,,D. Morris enters the game for J. Jack
0:54.0,,,21-32,2,S. Karasev makes 2-pt shot from 13 ft (assist by A. Anderson)
0:30.0,R. Rondo misses 3-pt shot from 24 ft,,21-32,,
0:29.0,,,21-32,,Defensive rebound by D. Morris
0:09.0,,,21-35,3,A. Anderson makes 3-pt shot from 25 ft (assist by S. Karasev)
0:03.0,Turnover by D. Nowitzki (lost ball; steal by S. Karasev),,21-35,,
0:01.0,,,21-35,,S. Karasev misses 3-pt shot from 74 ft
0:00.0,,,21-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Nowitzki misses 2-pt shot from 5 ft,,21-35,,
11:40.0,,,21-35,,Defensive rebound by M. Teletovic
11:20.0,,,21-35,,B. Lopez misses 2-pt shot from 12 ft
11:19.0,Defensive rebound by R. Rondo,,21-35,,
11:10.0,Shooting foul by D. Morris (drawn by R. Jefferson),,21-35,,
11:10.0,R. Jefferson makes free throw 1 of 2,1,22-35,,
11:10.0,,,22-35,,B. Bogdanovic enters the game for S. Karasev
11:10.0,R. Jefferson misses free throw 2 of 2,,22-35,,
11:09.0,,,22-35,,Defensive rebound by A. Anderson
10:46.0,,,22-35,,B. Lopez misses 2-pt shot from 19 ft
10:45.0,,,22-35,,Offensive rebound by D. Morris
10:41.0,,,22-35,,B. Bogdanovic misses 2-pt shot from 1 ft (block by D. Nowitzki)
10:39.0,Defensive rebound by D. Nowitzki,,22-35,,
10:26.0,G. Smith makes 2-pt shot from 3 ft (assist by R. Jefferson),2,24-35,,
10:13.0,,,24-35,,Turnover by D. Morris (bad pass; steal by D. Nowitzki)
10:05.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Rondo),3,27-35,,
10:04.0,,,27-35,,Brooklyn full timeout
10:04.0,,,27-35,,M. Plumlee enters the game for B. Lopez
10:04.0,,,27-35,,J. Johnson enters the game for B. Bogdanovic
9:49.0,,,27-35,,D. Morris misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by D. Nowitzki,,27-35,,
9:40.0,J. Barea makes 2-pt shot from 5 ft,2,29-35,,
9:16.0,,,29-37,2,J. Johnson makes 2-pt shot from 11 ft
8:52.0,D. Nowitzki misses 2-pt shot from 15 ft,,29-37,,
8:51.0,,,29-37,,Defensive rebound by A. Anderson
8:45.0,,,29-37,,Turnover by J. Johnson (bad pass)
8:26.0,Turnover by J. Barea (bad pass; steal by A. Anderson),,29-37,,
8:18.0,,,29-37,,A. Anderson misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by D. Nowitzki,,29-37,,
8:05.0,D. Nowitzki misses 2-pt shot from 15 ft,,29-37,,
8:04.0,,,29-37,,Defensive rebound by M. Teletovic
7:49.0,,,29-37,,M. Teletovic misses 3-pt shot from 27 ft
7:48.0,Defensive rebound by R. Rondo,,29-37,,
7:34.0,D. Nowitzki misses 2-pt shot from 8 ft,,29-37,,
7:33.0,,,29-37,,Defensive rebound by J. Johnson
7:29.0,,,29-37,,Turnover by M. Plumlee (lost ball)
7:29.0,T. Chandler enters the game for G. Smith,,29-37,,
7:29.0,C. Parsons enters the game for D. Nowitzki,,29-37,,
7:29.0,,,29-37,,J. Jack enters the game for D. Morris
7:29.0,M. Ellis enters the game for R. Rondo,,29-37,,
7:12.0,J. Barea misses 2-pt shot from 7 ft,,29-37,,
7:10.0,Offensive rebound by T. Chandler,,29-37,,
7:03.0,R. Jefferson makes 2-pt shot from 1 ft,2,31-37,,
6:42.0,,,31-37,,J. Jack misses 2-pt shot from 20 ft
6:41.0,Defensive rebound by M. Ellis,,31-37,,
6:32.0,C. Parsons misses 2-pt shot from 1 ft,,31-37,,
6:31.0,,,31-37,,Defensive rebound by M. Teletovic
6:13.0,,,31-39,2,J. Johnson makes 2-pt shot from 8 ft
5:55.0,C. Parsons misses 3-pt shot from 24 ft,,31-39,,
5:54.0,,,31-39,,Defensive rebound by M. Teletovic
5:42.0,,,31-41,2,J. Johnson makes 2-pt shot from 16 ft
5:42.0,Dallas full timeout,,31-41,,
5:42.0,C. Villanueva enters the game for R. Jefferson,,31-41,,
5:31.0,M. Ellis misses 2-pt shot from 7 ft,,31-41,,
5:30.0,,,31-41,,Defensive rebound by A. Anderson
5:12.0,,,31-41,,J. Jack misses 2-pt shot from 8 ft
5:11.0,Defensive rebound by J. Barea,,31-41,,
5:06.0,T. Chandler misses 2-pt shot at rim,,31-41,,
5:05.0,,,31-41,,Defensive rebound by J. Johnson
5:01.0,,,31-41,,Shooting foul by C. Parsons (drawn by M. Plumlee)
5:01.0,,,31-42,1,M. Plumlee makes free throw 1 of 2
5:01.0,D. Harris enters the game for J. Barea,,31-42,,
5:01.0,,,31-43,1,M. Plumlee makes free throw 2 of 2
4:34.0,M. Ellis makes 3-pt shot from 26 ft (assist by C. Parsons),3,34-43,,
4:15.0,,,34-43,,J. Johnson misses 2-pt shot from 19 ft
4:15.0,Defensive rebound by C. Villanueva,,34-43,,
4:07.0,D. Harris misses 3-pt shot from 25 ft,,34-43,,
4:06.0,,,34-43,,Defensive rebound by J. Johnson
3:59.0,,,34-45,2,J. Johnson makes 2-pt shot from 5 ft
3:47.0,,,34-45,,Personal foul by M. Teletovic (drawn by D. Harris)
3:47.0,,,34-45,,B. Lopez enters the game for M. Plumlee
3:38.0,C. Villanueva makes 3-pt shot from 25 ft (assist by C. Parsons),3,37-45,,
3:23.0,,,37-45,,A. Anderson misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by Team,,37-45,,
3:15.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,39-45,,
2:48.0,,,39-45,,M. Teletovic misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by M. Ellis,,39-45,,
2:43.0,Shooting foul by A. Anderson (drawn by M. Ellis),,39-45,,
2:43.0,Official timeout,,39-45,,
2:43.0,M. Ellis makes free throw 1 of 2,1,40-45,,
2:43.0,M. Ellis makes free throw 2 of 2,1,41-45,,
2:25.0,,,41-45,,J. Johnson misses 3-pt shot from 25 ft
2:24.0,,,41-45,,Offensive rebound by B. Lopez
2:19.0,R. Rondo enters the game for D. Harris,,41-45,,
2:19.0,D. Nowitzki enters the game for C. Villanueva,,41-45,,
2:15.0,,,41-45,,Shooting foul by D. Nowitzki (drawn by M. Teletovic)
2:15.0,,,41-46,1,M. Teletovic makes free throw 1 of 2
2:15.0,,,41-47,1,M. Teletovic makes free throw 2 of 2
2:01.0,C. Parsons misses 3-pt shot from 22 ft,,41-47,,
2:00.0,,,41-47,,Defensive rebound by A. Anderson
1:42.0,,,41-47,,Turnover by M. Teletovic (lost ball)
1:22.0,D. Nowitzki misses 2-pt shot from 19 ft,,41-47,,
1:21.0,,,41-47,,Defensive rebound by B. Lopez
0:59.0,,,41-47,,B. Lopez misses 3-pt shot from 23 ft
0:58.0,Defensive rebound by T. Chandler,,41-47,,
0:51.0,R. Rondo misses 2-pt shot from 6 ft,,41-47,,
0:50.0,,,41-47,,Defensive rebound by B. Lopez
0:35.0,,,41-47,,J. Johnson misses 2-pt shot from 12 ft
0:34.0,Defensive rebound by T. Chandler,,41-47,,
0:30.0,C. Parsons makes 2-pt shot at rim (assist by R. Rondo),2,43-47,,
0:30.0,,,43-47,,Brooklyn full timeout
0:30.0,R. Jefferson enters the game for D. Nowitzki,,43-47,,
0:08.0,,,43-47,,Shooting foul by R. Jefferson (drawn by J. Jack)
0:08.0,,,43-48,1,J. Jack makes free throw 1 of 2
0:08.0,D. Nowitzki enters the game for R. Jefferson,,43-48,,
0:08.0,,,43-48,,S. Karasev enters the game for M. Teletovic
0:08.0,,,43-49,1,J. Jack makes free throw 2 of 2
0:04.0,T. Chandler misses 2-pt shot from 2 ft,,43-49,,
0:04.0,,,43-49,,Defensive rebound by B. Lopez
0:00.0,,,43-49,,J. Jack misses 3-pt shot from 37 ft
0:00.0,,,43-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,R. Rondo misses 2-pt shot from 17 ft,,43-49,,
11:42.0,,,43-49,,Defensive rebound by S. Karasev
11:27.0,,,43-49,,Turnover by B. Lopez (lost ball; steal by R. Rondo)
11:20.0,T. Chandler misses 2-pt shot from 1 ft (block by M. Plumlee),,43-49,,
11:19.0,Offensive rebound by T. Chandler,,43-49,,
11:17.0,T. Chandler misses 2-pt shot from 2 ft (block by B. Lopez),,43-49,,
11:15.0,Offensive rebound by D. Nowitzki,,43-49,,
11:10.0,C. Parsons misses 3-pt shot from 25 ft,,43-49,,
11:08.0,,,43-49,,Defensive rebound by M. Plumlee
10:51.0,,,43-49,,Turnover by J. Johnson (lost ball; steal by C. Parsons)
10:50.0,,,43-49,,Personal foul by J. Johnson (drawn by C. Parsons)
10:35.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,45-49,,
10:19.0,,,45-49,,Turnover by J. Jack (bad pass; steal by C. Parsons)
10:02.0,Turnover by D. Nowitzki (lost ball),,45-49,,
9:51.0,Personal foul by R. Rondo (drawn by J. Jack),,45-49,,
9:41.0,,,45-51,2,B. Lopez makes 2-pt shot from 20 ft (assist by J. Jack)
9:15.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by R. Rondo),2,47-51,,
9:04.0,,,47-51,,J. Jack misses 2-pt shot from 7 ft
9:03.0,,,47-51,,Offensive rebound by M. Plumlee
8:54.0,,,47-51,,B. Lopez misses 2-pt shot from 2 ft
8:53.0,Defensive rebound by C. Parsons,,47-51,,
8:49.0,Shooting foul by S. Karasev (drawn by M. Ellis),,47-51,,
8:49.0,M. Ellis makes free throw 1 of 2,1,48-51,,
8:49.0,M. Ellis makes free throw 2 of 2,1,49-51,,
8:34.0,,,49-51,,S. Karasev misses 3-pt shot from 23 ft
8:33.0,,,49-51,,Offensive rebound by M. Plumlee
8:30.0,,,49-51,,M. Plumlee misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by C. Parsons,,49-51,,
8:25.0,,,49-51,,Personal foul by B. Lopez (drawn by T. Chandler)
8:10.0,T. Chandler misses 2-pt shot from 2 ft (block by B. Lopez),,49-51,,
8:09.0,Offensive rebound by R. Rondo,,49-51,,
8:07.0,R. Rondo misses 2-pt shot from 1 ft (block by B. Lopez),,49-51,,
8:05.0,Offensive rebound by R. Rondo,,49-51,,
8:04.0,R. Rondo makes 2-pt shot from 2 ft,2,51-51,,
7:47.0,,,51-51,,J. Johnson misses 2-pt shot from 19 ft
7:46.0,,,51-51,,Offensive rebound by M. Plumlee
7:46.0,Technical foul by D. Nowitzki,,51-51,,
7:46.0,,,51-52,1,S. Karasev makes technical free throw
7:38.0,,,51-52,,Turnover by J. Johnson (lost ball; steal by R. Rondo)
7:35.0,R. Rondo misses 2-pt shot from 2 ft,,51-52,,
7:34.0,Offensive rebound by Team,,51-52,,
7:33.0,,,51-52,,Loose ball foul by J. Jack (drawn by T. Chandler)
7:28.0,R. Rondo misses 2-pt shot from 1 ft,,51-52,,
7:27.0,Offensive rebound by R. Rondo,,51-52,,
7:25.0,R. Rondo misses 2-pt shot from 2 ft,,51-52,,
7:24.0,,,51-52,,Defensive rebound by M. Plumlee
7:17.0,,,51-52,,Shooting foul by M. Ellis (drawn by S. Karasev)
7:17.0,,,51-53,1,S. Karasev makes free throw 1 of 2
7:17.0,C. Villanueva enters the game for D. Nowitzki,,51-53,,
7:17.0,D. Harris enters the game for R. Rondo,,51-53,,
7:17.0,,,51-53,,M. Teletovic enters the game for B. Lopez
7:17.0,,,51-53,,S. Karasev misses free throw 2 of 2
7:16.0,Defensive rebound by T. Chandler,,51-53,,
7:03.0,M. Ellis misses 2-pt shot from 21 ft,,51-53,,
7:02.0,,,51-53,,Defensive rebound by M. Teletovic
6:48.0,,,51-53,,J. Jack misses 2-pt shot from 13 ft (block by C. Villanueva)
6:46.0,Defensive rebound by C. Parsons,,51-53,,
6:43.0,D. Harris makes 2-pt shot from 1 ft,2,53-53,,
6:18.0,Personal foul by M. Ellis (drawn by S. Karasev),,53-53,,
6:18.0,G. Smith enters the game for T. Chandler,,53-53,,
6:09.0,,,53-53,,J. Johnson misses 2-pt shot from 7 ft (block by D. Harris)
6:07.0,Defensive rebound by D. Harris,,53-53,,
6:00.0,D. Harris makes 2-pt shot from 19 ft,2,55-53,,
5:59.0,,,55-53,,Brooklyn full timeout
5:41.0,,,55-53,,Shooting foul by G. Smith (drawn by J. Jack)
5:41.0,,,55-54,1,J. Jack makes free throw 1 of 2
5:41.0,,,55-54,,B. Lopez enters the game for M. Plumlee
5:41.0,,,55-55,1,J. Jack makes free throw 2 of 2
5:25.0,D. Harris makes 2-pt shot from 21 ft,2,57-55,,
5:03.0,,,57-55,,M. Teletovic misses 3-pt shot from 27 ft
5:02.0,Defensive rebound by G. Smith,,57-55,,
4:55.0,Turnover by D. Harris (lost ball; steal by B. Lopez),,57-55,,
4:38.0,,,57-57,2,M. Teletovic makes 2-pt shot from 1 ft (assist by J. Johnson)
4:21.0,C. Villanueva misses 3-pt shot from 25 ft,,57-57,,
4:20.0,,,57-57,,Defensive rebound by J. Jack
4:15.0,,,57-57,,S. Karasev misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by D. Harris,,57-57,,
4:07.0,Turnover by C. Parsons (traveling),,57-57,,
4:07.0,T. Chandler enters the game for G. Smith,,57-57,,
4:07.0,,,57-57,,A. Anderson enters the game for J. Johnson
3:54.0,,,57-59,2,J. Jack makes 2-pt shot from 4 ft
3:48.0,Dallas full timeout,,57-59,,
3:32.0,D. Harris makes 3-pt shot from 24 ft (assist by M. Ellis),3,60-59,,
3:08.0,,,60-59,,M. Teletovic misses 2-pt shot from 1 ft (block by T. Chandler)
3:07.0,,,60-59,,Offensive rebound by Team
3:06.0,,,60-59,,Turnover by Team (shot clock)
2:56.0,Shooting foul by B. Lopez (drawn by C. Parsons),,60-59,,
2:56.0,C. Parsons misses free throw 1 of 2,,60-59,,
2:56.0,Offensive rebound by Team,,60-59,,
2:56.0,,,60-59,,J. Johnson enters the game for M. Teletovic
2:56.0,C. Parsons misses free throw 2 of 2,,60-59,,
2:55.0,Offensive rebound by C. Villanueva,,60-59,,
2:54.0,C. Villanueva makes 2-pt shot at rim,2,62-59,,
2:31.0,,,62-61,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Jack)
2:24.0,Offensive foul by T. Chandler,,62-61,,
2:24.0,Turnover by T. Chandler (offensive foul),,62-61,,
2:24.0,D. Nowitzki enters the game for C. Villanueva,,62-61,,
2:24.0,R. Jefferson enters the game for C. Parsons,,62-61,,
2:24.0,R. Rondo enters the game for M. Ellis,,62-61,,
2:13.0,,,62-63,2,J. Jack makes 2-pt shot from 17 ft
1:59.0,D. Harris misses 2-pt shot from 10 ft,,62-63,,
1:58.0,,,62-63,,Defensive rebound by B. Lopez
1:45.0,,,62-63,,J. Johnson misses 3-pt shot from 23 ft
1:44.0,Defensive rebound by R. Rondo,,62-63,,
1:31.0,D. Harris misses 3-pt shot from 24 ft,,62-63,,
1:30.0,,,62-63,,Defensive rebound by A. Anderson
1:22.0,,,62-65,2,S. Karasev makes 2-pt shot from 2 ft (assist by J. Jack)
1:04.0,R. Jefferson misses 2-pt shot from 2 ft,,62-65,,
1:03.0,Offensive rebound by T. Chandler,,62-65,,
0:39.0,R. Rondo misses 3-pt shot from 27 ft,,62-65,,
0:38.0,,,62-65,,Defensive rebound by S. Karasev
0:24.0,,,62-65,,Offensive charge foul by J. Jack
0:24.0,,,62-65,,Turnover by J. Jack (offensive foul)
0:24.0,,,62-65,,M. Plumlee enters the game for B. Lopez
0:24.0,,,62-65,,D. Morris enters the game for J. Jack
0:03.0,D. Nowitzki makes 2-pt shot from 16 ft,2,64-65,,
0:03.0,Shooting foul by S. Karasev (drawn by D. Nowitzki),,64-65,,
0:03.0,G. Smith enters the game for T. Chandler,,64-65,,
0:03.0,D. Nowitzki makes free throw 1 of 1,1,65-65,,
0:01.0,,,65-65,,J. Johnson misses 3-pt shot from 56 ft
0:00.0,,,65-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,65-65,,A. Anderson misses 2-pt shot from 9 ft
11:37.0,Defensive rebound by R. Rondo,,65-65,,
11:24.0,J. Barea makes 3-pt shot from 27 ft (assist by R. Rondo),3,68-65,,
11:20.0,,,68-65,,Brooklyn full timeout
11:20.0,,,68-65,,B. Bogdanovic enters the game for S. Karasev
11:03.0,,,68-65,,B. Lopez enters the game for M. Plumlee
11:03.0,,,68-65,,B. Lopez misses 2-pt shot from 10 ft
11:01.0,Defensive rebound by R. Rondo,,68-65,,
10:44.0,R. Jefferson misses 3-pt shot from 23 ft,,68-65,,
10:43.0,,,68-65,,Defensive rebound by B. Lopez
10:33.0,,,68-65,,B. Lopez misses 2-pt shot from 19 ft
10:32.0,Defensive rebound by R. Rondo,,68-65,,
10:26.0,Shooting foul by B. Lopez (drawn by G. Smith),,68-65,,
10:26.0,G. Smith makes free throw 1 of 2,1,69-65,,
10:26.0,G. Smith misses free throw 2 of 2,,69-65,,
10:25.0,,,69-65,,Defensive rebound by B. Lopez
10:10.0,,,69-65,,A. Anderson misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by J. Barea,,69-65,,
9:56.0,G. Smith makes 2-pt shot at rim (assist by R. Rondo),2,71-65,,
9:55.0,,,71-65,,Brooklyn full timeout
9:39.0,,,71-65,,Turnover by J. Johnson (lost ball; steal by J. Barea)
9:18.0,Shooting foul by D. Morris (drawn by J. Barea),,71-65,,
9:18.0,J. Barea misses free throw 1 of 2,,71-65,,
9:18.0,Offensive rebound by Team,,71-65,,
9:18.0,J. Barea makes free throw 2 of 2,1,72-65,,
9:09.0,,,72-65,,J. Johnson misses 2-pt shot from 2 ft (block by R. Jefferson)
9:07.0,Defensive rebound by G. Smith,,72-65,,
8:49.0,R. Jefferson misses 3-pt shot from 23 ft,,72-65,,
8:49.0,,,72-65,,Defensive rebound by D. Morris
8:36.0,,,72-65,,B. Bogdanovic misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by Team,,72-65,,
8:36.0,,,72-65,,J. Jack enters the game for D. Morris
8:36.0,,,72-65,,M. Teletovic enters the game for B. Bogdanovic
8:18.0,R. Jefferson makes 3-pt shot from 22 ft (assist by G. Smith),3,75-65,,
7:54.0,,,75-65,,J. Johnson misses 2-pt shot from 9 ft
7:54.0,Defensive rebound by J. Barea,,75-65,,
7:36.0,D. Nowitzki misses 3-pt shot from 25 ft,,75-65,,
7:35.0,,,75-65,,Defensive rebound by A. Anderson
7:27.0,,,75-65,,Shooting foul by G. Smith (drawn by J. Jack)
7:27.0,,,75-66,1,J. Jack makes free throw 1 of 2
7:27.0,T. Chandler enters the game for G. Smith,,75-66,,
7:27.0,M. Ellis enters the game for R. Rondo,,75-66,,
7:27.0,C. Parsons enters the game for D. Nowitzki,,75-66,,
7:27.0,,,75-66,,M. Plumlee enters the game for B. Lopez
7:27.0,,,75-67,1,J. Jack makes free throw 2 of 2
7:18.0,,,75-67,,Personal foul by A. Anderson (drawn by M. Ellis)
7:09.0,J. Barea makes 3-pt shot from 23 ft (assist by M. Ellis),3,78-67,,
7:09.0,,,78-67,,Brooklyn full timeout
6:50.0,,,78-69,2,J. Jack makes 2-pt shot from 6 ft (assist by M. Teletovic)
6:30.0,C. Parsons misses 3-pt shot from 24 ft,,78-69,,
6:29.0,,,78-69,,Defensive rebound by J. Jack
6:16.0,,,78-71,2,J. Johnson makes 2-pt shot from 4 ft
6:16.0,Dallas full timeout,,78-71,,
6:04.0,Turnover by M. Ellis (bad pass; steal by M. Teletovic),,78-71,,
5:49.0,,,78-71,,J. Johnson misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by T. Chandler,,78-71,,
5:47.0,,,78-71,,Personal foul by M. Plumlee (drawn by T. Chandler)
5:47.0,R. Rondo enters the game for J. Barea,,78-71,,
5:26.0,M. Ellis makes 2-pt shot from 9 ft,2,80-71,,
5:12.0,Personal foul by M. Ellis (drawn by A. Anderson),,80-71,,
5:03.0,,,80-73,2,J. Jack makes 2-pt shot from 7 ft
4:43.0,R. Jefferson misses 2-pt shot at rim (block by M. Plumlee),,80-73,,
4:41.0,,,80-73,,Defensive rebound by M. Teletovic
4:39.0,,,80-73,,Offensive charge foul by M. Plumlee
4:39.0,,,80-73,,Turnover by M. Plumlee (offensive foul)
4:39.0,D. Nowitzki enters the game for C. Parsons,,80-73,,
4:27.0,M. Ellis misses 2-pt shot from 18 ft,,80-73,,
4:26.0,,,80-73,,Defensive rebound by M. Teletovic
4:18.0,,,80-73,,Turnover by M. Teletovic (lost ball; steal by T. Chandler)
4:05.0,Turnover by M. Ellis (lost ball),,80-73,,
3:54.0,,,80-73,,J. Jack misses 2-pt shot from 12 ft
3:51.0,,,80-73,,Offensive rebound by M. Plumlee
3:48.0,Personal foul by R. Rondo (drawn by J. Jack),,80-73,,
3:44.0,,,80-73,,Shooting foul by R. Jefferson (drawn by M. Plumlee)
