time,Dallas,pts.away,score,pts.home,Washington
7:20.0,,,6-9,1,G. Temple makes free throw 1 of 2
7:20.0,B. Wright enters the game for D. Nowitzki,,6-9,,
7:20.0,,,6-10,1,G. Temple makes free throw 2 of 2
7:06.0,Turnover by M. Ellis (bad pass; steal by J. Wall),,6-10,,
7:02.0,,,6-12,2,P. Pierce makes 2-pt shot at rim (assist by J. Wall)
6:37.0,T. Chandler misses 2-pt shot from 19 ft,,6-12,,
6:37.0,,,6-12,,Defensive rebound by Team
6:37.0,Loose ball foul by B. Wright (drawn by G. Temple),,6-12,,
6:21.0,,,6-12,,G. Temple misses 3-pt shot from 22 ft
6:20.0,,,6-12,,Offensive rebound by G. Temple
6:13.0,,,6-12,,G. Temple misses 3-pt shot from 23 ft
6:12.0,Defensive rebound by B. Wright,,6-12,,
6:00.0,Turnover by J. Nelson (lost ball; steal by J. Wall),,6-12,,
5:54.0,,,6-12,,Shooting foul by B. Wright (drawn by N. Hilario)
5:54.0,,,6-13,1,N. Hilario makes free throw 1 of 2
5:54.0,D. Nowitzki enters the game for B. Wright,,6-13,,
5:54.0,R. Jefferson enters the game for C. Parsons,,6-13,,
5:54.0,,,6-14,1,N. Hilario makes free throw 2 of 2
5:47.0,,,6-14,,Personal foul by N. Hilario (drawn by D. Nowitzki)
5:47.0,,,6-14,,K. Humphries enters the game for N. Hilario
5:40.0,M. Ellis makes 2-pt shot from 18 ft (assist by J. Nelson),2,8-14,,
5:19.0,,,8-14,,G. Temple misses 2-pt shot from 1 ft
5:18.0,Defensive rebound by T. Chandler,,8-14,,
5:16.0,Shooting foul by P. Pierce (drawn by M. Ellis),,8-14,,
5:16.0,M. Ellis misses free throw 1 of 2,,8-14,,
5:16.0,Offensive rebound by Team,,8-14,,
5:16.0,M. Ellis makes free throw 2 of 2,1,9-14,,
5:03.0,,,9-14,,J. Wall misses 2-pt shot from 4 ft
5:02.0,Defensive rebound by T. Chandler,,9-14,,
4:53.0,,,9-14,,Personal foul by G. Temple (drawn by M. Ellis)
4:53.0,M. Ellis makes free throw 1 of 2,1,10-14,,
4:53.0,,,10-14,,B. Beal enters the game for G. Temple
4:53.0,,,10-14,,O. Porter enters the game for P. Pierce
4:53.0,M. Ellis makes free throw 2 of 2,1,11-14,,
4:41.0,,,11-16,2,M. Gortat makes 2-pt shot from 15 ft (assist by B. Beal)
4:32.0,M. Ellis makes 2-pt shot from 21 ft,2,13-16,,
4:23.0,,,13-16,,J. Wall misses 2-pt shot from 5 ft
4:22.0,Defensive rebound by T. Chandler,,13-16,,
4:06.0,M. Ellis makes 3-pt shot from 28 ft (assist by J. Nelson),3,16-16,,
3:46.0,,,16-16,,M. Gortat misses 2-pt shot from 13 ft
3:45.0,,,16-16,,Offensive rebound by O. Porter
3:40.0,,,16-16,,B. Beal misses 3-pt shot from 25 ft
3:39.0,,,16-16,,Offensive rebound by K. Humphries
3:39.0,,,16-16,,Shooting foul by J. Nelson (drawn by K. Humphries)
3:39.0,,,16-17,1,K. Humphries makes free throw 1 of 2
3:39.0,G. Smith enters the game for T. Chandler,,16-17,,
3:39.0,,,16-18,1,K. Humphries makes free throw 2 of 2
3:30.0,J. Nelson misses 2-pt shot from 5 ft,,16-18,,
3:29.0,,,16-18,,Defensive rebound by K. Humphries
3:11.0,,,16-18,,Turnover by J. Wall (bad pass; steal by J. Nelson)
3:02.0,M. Ellis makes 2-pt shot from 22 ft,2,18-18,,
2:49.0,,,18-18,,Shooting foul by G. Smith (drawn by K. Humphries)
2:49.0,,,18-18,,Washington full timeout
2:49.0,,,18-19,1,K. Humphries makes free throw 1 of 2
2:49.0,,,18-20,1,K. Humphries makes free throw 2 of 2
2:38.0,D. Nowitzki misses 2-pt shot from 20 ft,,18-20,,
2:37.0,,,18-20,,Defensive rebound by J. Wall
2:27.0,,,18-20,,K. Humphries misses 2-pt shot from 20 ft
2:26.0,Defensive rebound by R. Jefferson,,18-20,,
2:17.0,J. Nelson misses 2-pt shot from 2 ft,,18-20,,
2:15.0,Offensive rebound by G. Smith,,18-20,,
2:15.0,G. Smith misses 2-pt shot from 1 ft,,18-20,,
2:15.0,Offensive rebound by G. Smith,,18-20,,
2:15.0,Shooting foul by K. Humphries (drawn by G. Smith),,18-20,,
2:15.0,G. Smith misses free throw 1 of 2,,18-20,,
2:15.0,Offensive rebound by Team,,18-20,,
2:15.0,C. Parsons enters the game for D. Nowitzki,,18-20,,
2:15.0,J. Barea enters the game for J. Nelson,,18-20,,
2:15.0,G. Smith makes free throw 2 of 2,1,19-20,,
1:57.0,,,19-22,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
1:48.0,M. Ellis misses 2-pt shot from 17 ft,,19-22,,
1:47.0,,,19-22,,Defensive rebound by O. Porter
1:26.0,,,19-22,,O. Porter misses 3-pt shot from 23 ft
1:26.0,,,19-22,,Offensive rebound by Team
1:26.0,Loose ball foul by R. Jefferson (drawn by M. Gortat),,19-22,,
1:26.0,,,19-23,1,M. Gortat makes free throw 1 of 2
1:26.0,A. Aminu enters the game for G. Smith,,19-23,,
1:26.0,T. Chandler enters the game for R. Jefferson,,19-23,,
1:26.0,,,19-23,,A. Miller enters the game for J. Wall
1:26.0,,,19-23,,M. Gortat misses free throw 2 of 2
1:25.0,Defensive rebound by T. Chandler,,19-23,,
1:14.0,Turnover by T. Chandler (traveling),,19-23,,
1:14.0,Violation by Team (delay of game),,19-23,,
0:57.0,,,19-25,2,B. Beal makes 2-pt shot from 20 ft (assist by M. Gortat)
0:43.0,J. Barea misses 2-pt shot from 7 ft,,19-25,,
0:43.0,,,19-25,,Defensive rebound by Team
0:43.0,Loose ball foul by T. Chandler (drawn by M. Gortat),,19-25,,
0:43.0,,,19-26,1,M. Gortat makes free throw 1 of 2
0:43.0,,,19-27,1,M. Gortat makes free throw 2 of 2
0:36.0,Shooting foul by B. Beal (drawn by M. Ellis),,19-27,,
0:36.0,M. Ellis makes free throw 1 of 2,1,20-27,,
0:36.0,G. Smith enters the game for T. Chandler,,20-27,,
0:36.0,M. Ellis makes free throw 2 of 2,1,21-27,,
0:14.0,,,21-29,2,M. Gortat makes 2-pt shot from 3 ft (assist by A. Miller)
0:00.0,M. Ellis makes 2-pt shot from 22 ft,2,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,A. Aminu makes 3-pt shot from 23 ft (assist by J. Barea),3,26-29,,
11:14.0,Personal foul by J. Barea (drawn by B. Beal),,26-29,,
11:03.0,,,26-31,2,B. Beal makes 2-pt shot at rim (assist by K. Humphries)
10:41.0,J. Crowder makes 3-pt shot from 25 ft (assist by J. Barea),3,29-31,,
10:24.0,,,29-31,,Shooting foul by A. Aminu (drawn by K. Humphries)
10:24.0,,,29-31,,K. Humphries misses free throw 1 of 2
10:24.0,,,29-31,,Offensive rebound by Team
10:24.0,,,29-32,1,K. Humphries makes free throw 2 of 2
10:02.0,C. Parsons misses 3-pt shot from 22 ft,,29-32,,
10:01.0,,,29-32,,Defensive rebound by K. Seraphin
9:43.0,Personal foul by C. Parsons (drawn by K. Humphries),,29-32,,
9:28.0,,,29-32,,K. Humphries misses 2-pt shot from 13 ft
9:27.0,Defensive rebound by T. Chandler,,29-32,,
9:17.0,J. Barea misses 3-pt shot from 26 ft,,29-32,,
9:16.0,,,29-32,,Defensive rebound by K. Seraphin
9:12.0,,,29-32,,Turnover by B. Beal (traveling)
9:00.0,A. Aminu misses 3-pt shot from 24 ft,,29-32,,
8:59.0,,,29-32,,Defensive rebound by K. Humphries
8:53.0,,,29-35,3,B. Beal makes 3-pt shot from 24 ft (assist by A. Miller)
8:51.0,Dallas full timeout,,29-35,,
8:51.0,,,29-35,,N. Hilario enters the game for K. Humphries
8:34.0,C. Parsons makes 3-pt shot from 26 ft,3,32-35,,
8:11.0,,,32-35,,B. Beal misses 2-pt shot from 6 ft
8:10.0,Defensive rebound by A. Aminu,,32-35,,
7:54.0,J. Crowder misses 3-pt shot from 27 ft,,32-35,,
7:53.0,Offensive rebound by T. Chandler,,32-35,,
7:40.0,Turnover by J. Barea (bad pass; steal by O. Porter),,32-35,,
7:27.0,,,32-35,,R. Butler enters the game for B. Beal
7:27.0,D. Nowitzki enters the game for A. Aminu,,32-35,,
7:15.0,,,32-35,,N. Hilario misses 2-pt shot from 18 ft
7:15.0,,,32-35,,Offensive rebound by Team
7:15.0,,,32-35,,Turnover by Team (shot clock)
7:15.0,B. Wright enters the game for T. Chandler,,32-35,,
7:00.0,C. Parsons misses 2-pt shot from 2 ft,,32-35,,
6:59.0,,,32-35,,Defensive rebound by R. Butler
6:46.0,,,32-38,3,R. Butler makes 3-pt shot from 25 ft (assist by K. Seraphin)
6:28.0,D. Nowitzki makes 2-pt shot from 10 ft,2,34-38,,
6:11.0,,,34-41,3,R. Butler makes 3-pt shot from 23 ft (assist by A. Miller)
5:49.0,C. Parsons misses 3-pt shot from 23 ft,,34-41,,
5:48.0,Offensive rebound by J. Crowder,,34-41,,
5:47.0,Shooting foul by R. Butler (drawn by J. Crowder),,34-41,,
5:47.0,,,34-41,,J. Wall enters the game for A. Miller
5:47.0,Official timeout,,34-41,,
5:47.0,J. Nelson enters the game for J. Barea,,34-41,,
5:47.0,J. Crowder makes free throw 1 of 2,1,35-41,,
5:47.0,J. Crowder makes free throw 2 of 2,1,36-41,,
5:25.0,,,36-41,,Turnover by N. Hilario (back court)
5:25.0,M. Ellis enters the game for J. Crowder,,36-41,,
5:22.0,,,36-41,,Personal foul by O. Porter (drawn by C. Parsons)
5:08.0,B. Wright makes 2-pt shot at rim (assist by C. Parsons),2,38-41,,
4:50.0,,,38-43,2,K. Seraphin makes 2-pt shot from 7 ft (assist by N. Hilario)
4:40.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis),3,41-43,,
4:25.0,,,41-43,,J. Wall misses 2-pt shot from 7 ft
4:24.0,Defensive rebound by D. Nowitzki,,41-43,,
4:15.0,,,41-43,,Personal foul by R. Butler (drawn by D. Nowitzki)
4:15.0,,,41-43,,P. Pierce enters the game for O. Porter
4:04.0,D. Nowitzki misses 2-pt shot from 17 ft,,41-43,,
4:03.0,,,41-43,,Defensive rebound by R. Butler
3:58.0,,,41-45,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall)
3:58.0,,,41-45,,Shooting foul by D. Nowitzki (drawn by N. Hilario)
3:58.0,,,41-46,1,N. Hilario makes free throw 1 of 1
3:51.0,Turnover by M. Ellis (lost ball; steal by R. Butler),,41-46,,
3:47.0,,,41-46,,N. Hilario misses 2-pt shot at rim
3:47.0,Defensive rebound by Team,,41-46,,
3:47.0,,,41-46,,Loose ball foul by K. Seraphin (drawn by D. Nowitzki)
3:47.0,,,41-46,,M. Gortat enters the game for K. Seraphin
3:30.0,D. Nowitzki misses 2-pt shot from 15 ft,,41-46,,
3:29.0,,,41-46,,Defensive rebound by M. Gortat
3:19.0,,,41-46,,Offensive foul by M. Gortat
3:19.0,,,41-46,,Turnover by M. Gortat (offensive foul)
3:10.0,J. Nelson misses 3-pt shot from 26 ft,,41-46,,
3:08.0,,,41-46,,Defensive rebound by M. Gortat
3:02.0,,,41-46,,Shooting foul by D. Nowitzki (drawn by P. Pierce)
3:02.0,,,41-47,1,P. Pierce makes free throw 1 of 2
3:02.0,T. Chandler enters the game for D. Nowitzki,,41-47,,
3:02.0,,,41-48,1,P. Pierce makes free throw 2 of 2
2:47.0,B. Wright makes 2-pt shot from 2 ft (assist by M. Ellis),2,43-48,,
2:30.0,,,43-48,,R. Butler misses 2-pt shot from 16 ft
2:29.0,Defensive rebound by T. Chandler,,43-48,,
2:12.0,M. Ellis makes 2-pt shot from 18 ft,2,45-48,,
1:52.0,,,45-48,,J. Wall misses 2-pt shot from 16 ft
1:51.0,Defensive rebound by C. Parsons,,45-48,,
1:39.0,J. Nelson makes 3-pt shot from 26 ft,3,48-48,,
1:30.0,,,48-51,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
1:21.0,Dallas full timeout,,48-51,,
1:21.0,,,48-51,,Washington full timeout
1:21.0,,,48-51,,B. Beal enters the game for R. Butler
1:06.0,M. Ellis misses 2-pt shot from 20 ft,,48-51,,
1:05.0,Offensive rebound by T. Chandler,,48-51,,
1:03.0,T. Chandler makes 2-pt shot at rim,2,50-51,,
0:43.0,,,50-51,,Turnover by N. Hilario (bad pass; steal by B. Wright)
0:39.0,Shooting foul by B. Beal (drawn by M. Ellis),,50-51,,
0:39.0,M. Ellis makes free throw 1 of 2,1,51-51,,
0:39.0,M. Ellis makes free throw 2 of 2,1,52-51,,
0:33.0,,,52-51,,J. Wall misses 2-pt shot from 1 ft
0:31.0,Defensive rebound by B. Wright,,52-51,,
0:10.0,M. Ellis misses 2-pt shot from 13 ft,,52-51,,
0:09.0,,,52-51,,Defensive rebound by J. Wall
0:06.0,,,52-53,2,J. Wall makes 2-pt shot at rim
0:03.0,,,52-53,,Personal take foul by J. Wall (drawn by M. Ellis)
0:03.0,M. Ellis makes free throw 1 of 2,1,53-53,,
0:03.0,A. Aminu enters the game for J. Nelson,,53-53,,
0:03.0,J. Crowder enters the game for C. Parsons,,53-53,,
0:03.0,M. Ellis makes free throw 2 of 2,1,54-53,,
0:00.0,,,54-53,,J. Wall misses 3-pt shot from 35 ft
0:00.0,,,54-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,C. Parsons misses 3-pt shot from 25 ft,,54-53,,
11:36.0,,,54-53,,Defensive rebound by J. Wall
11:33.0,,,54-53,,Turnover by J. Wall (bad pass; steal by M. Ellis)
11:23.0,M. Ellis makes 3-pt shot from 26 ft,3,57-53,,
11:07.0,,,57-53,,Turnover by J. Wall (bad pass; steal by D. Nowitzki)
11:01.0,T. Chandler makes 2-pt shot from 2 ft (assist by M. Ellis),2,59-53,,
11:01.0,Shooting foul by P. Pierce (drawn by T. Chandler),,59-53,,
11:01.0,,,59-53,,Washington full timeout
11:01.0,T. Chandler makes free throw 1 of 1,1,60-53,,
10:47.0,,,60-53,,N. Hilario misses 2-pt shot from 15 ft
10:46.0,Defensive rebound by T. Chandler,,60-53,,
10:36.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis),3,63-53,,
10:23.0,,,63-55,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
10:10.0,C. Parsons misses 3-pt shot from 25 ft,,63-55,,
10:09.0,,,63-55,,Defensive rebound by P. Pierce
10:01.0,,,63-55,,M. Gortat misses 2-pt shot from 14 ft
9:59.0,Defensive rebound by T. Chandler,,63-55,,
9:46.0,J. Nelson misses 2-pt shot from 5 ft,,63-55,,
9:45.0,,,63-55,,Defensive rebound by N. Hilario
9:38.0,,,63-58,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
9:10.0,T. Chandler misses 2-pt shot from 1 ft,,63-58,,
9:07.0,Offensive rebound by C. Parsons,,63-58,,
8:55.0,M. Ellis misses 3-pt shot from 26 ft,,63-58,,
8:54.0,,,63-58,,Defensive rebound by P. Pierce
8:47.0,,,63-58,,P. Pierce misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by T. Chandler,,63-58,,
8:28.0,C. Parsons makes 3-pt shot from 25 ft (assist by J. Nelson),3,66-58,,
8:13.0,,,66-58,,Turnover by G. Temple (3 sec)
8:01.0,Turnover by J. Nelson (lost ball; steal by G. Temple),,66-58,,
7:57.0,,,66-58,,Turnover by N. Hilario (lost ball)
7:42.0,J. Nelson misses 3-pt shot from 26 ft,,66-58,,
7:41.0,,,66-58,,Defensive rebound by Team
7:18.0,,,66-60,2,P. Pierce makes 2-pt shot from 19 ft
6:54.0,M. Ellis misses 2-pt shot from 6 ft (block by J. Wall),,66-60,,
6:53.0,,,66-60,,Defensive rebound by J. Wall
6:53.0,Personal foul by J. Nelson (drawn by J. Wall),,66-60,,
6:53.0,B. Wright enters the game for D. Nowitzki,,66-60,,
6:43.0,,,66-62,2,J. Wall makes 2-pt shot from 22 ft
6:32.0,,,66-62,,Inbound foul by G. Temple
6:32.0,M. Ellis misses free throw 1 of 2,,66-62,,
6:32.0,Offensive rebound by Team,,66-62,,
6:32.0,M. Ellis makes free throw 2 of 2,1,67-62,,
6:22.0,,,67-62,,Turnover by G. Temple (bad pass; steal by T. Chandler)
6:08.0,J. Nelson misses 3-pt shot from 25 ft,,67-62,,
6:08.0,,,67-62,,Defensive rebound by P. Pierce
5:49.0,,,67-65,3,P. Pierce makes 3-pt shot from 26 ft (assist by N. Hilario)
5:47.0,Dallas full timeout,,67-65,,
5:47.0,,,67-65,,B. Beal enters the game for G. Temple
5:31.0,J. Nelson misses 3-pt shot from 26 ft,,67-65,,
5:29.0,,,67-65,,Defensive rebound by M. Gortat
5:20.0,,,67-65,,P. Pierce misses 2-pt shot from 18 ft
5:19.0,Defensive rebound by T. Chandler,,67-65,,
5:07.0,Turnover by J. Nelson (traveling),,67-65,,
4:53.0,,,67-67,2,J. Wall makes 2-pt shot from 17 ft
4:29.0,M. Ellis misses 3-pt shot from 26 ft,,67-67,,
4:28.0,,,67-67,,Defensive rebound by J. Wall
4:22.0,,,67-67,,B. Beal misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by T. Chandler,,67-67,,
4:03.0,C. Parsons makes 3-pt shot from 23 ft (assist by J. Nelson),3,70-67,,
3:43.0,,,70-67,,B. Beal misses 2-pt shot from 3 ft
3:42.0,Defensive rebound by B. Wright,,70-67,,
3:25.0,J. Nelson misses 2-pt shot from 16 ft,,70-67,,
3:24.0,Offensive rebound by B. Wright,,70-67,,
3:21.0,C. Parsons misses 3-pt shot from 28 ft,,70-67,,
3:20.0,,,70-67,,Defensive rebound by B. Beal
3:08.0,,,70-69,2,J. Wall makes 2-pt shot from 15 ft
2:49.0,Turnover by C. Parsons (bad pass; steal by B. Beal),,70-69,,
2:44.0,,,70-71,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
2:42.0,Dallas full timeout,,70-71,,
2:42.0,,,70-71,,Washington full timeout
2:42.0,A. Aminu enters the game for C. Parsons,,70-71,,
2:42.0,J. Barea enters the game for J. Nelson,,70-71,,
2:42.0,D. Nowitzki enters the game for T. Chandler,,70-71,,
2:42.0,,,70-71,,O. Porter enters the game for P. Pierce
2:42.0,,,70-71,,K. Humphries enters the game for N. Hilario
2:31.0,M. Ellis misses 2-pt shot from 21 ft,,70-71,,
2:30.0,,,70-71,,Defensive rebound by J. Wall
2:12.0,,,70-71,,O. Porter misses 2-pt shot from 21 ft
2:11.0,Defensive rebound by J. Barea,,70-71,,
2:05.0,,,70-71,,Personal foul by K. Humphries (drawn by M. Ellis)
1:55.0,D. Nowitzki misses 2-pt shot from 15 ft,,70-71,,
1:54.0,,,70-71,,Defensive rebound by O. Porter
1:44.0,,,70-71,,J. Wall misses 2-pt shot from 20 ft
1:43.0,Defensive rebound by J. Barea,,70-71,,
1:38.0,,,70-71,,Shooting block foul by J. Wall (drawn by J. Barea)
1:38.0,J. Barea makes free throw 1 of 2,1,71-71,,
1:38.0,,,71-71,,A. Miller enters the game for J. Wall
1:38.0,J. Barea makes free throw 2 of 2,1,72-71,,
1:24.0,,,72-71,,B. Beal misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by M. Ellis,,72-71,,
1:14.0,M. Ellis misses 2-pt shot from 3 ft,,72-71,,
1:13.0,Offensive rebound by B. Wright,,72-71,,
1:12.0,B. Wright makes 2-pt shot at rim,2,74-71,,
1:00.0,,,74-73,2,A. Miller makes 2-pt shot from 1 ft
0:48.0,,,74-73,,Personal foul by A. Miller (drawn by J. Barea)
0:48.0,J. Barea makes free throw 1 of 2,1,75-73,,
0:48.0,J. Barea makes free throw 2 of 2,1,76-73,,
0:32.0,,,76-73,,M. Gortat misses 2-pt shot from 8 ft
0:30.0,Defensive rebound by D. Nowitzki,,76-73,,
0:09.0,A. Aminu misses 2-pt shot from 16 ft (block by O. Porter),,76-73,,
0:08.0,,,76-73,,Defensive rebound by K. Humphries
0:01.0,,,76-73,,A. Miller misses 2-pt shot at rim (block by A. Aminu)
0:00.0,,,76-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,76-73,,K. Humphries misses 2-pt shot from 7 ft
11:35.0,Defensive rebound by A. Aminu,,76-73,,
11:24.0,D. Nowitzki misses 2-pt shot from 13 ft,,76-73,,
11:23.0,Offensive rebound by A. Aminu,,76-73,,
11:11.0,B. Wright makes 2-pt shot at rim (assist by J. Barea),2,78-73,,
11:11.0,Shooting foul by K. Seraphin (drawn by B. Wright),,78-73,,
11:11.0,B. Wright makes free throw 1 of 1,1,79-73,,
10:55.0,Shooting block foul by J. Barea (drawn by K. Humphries),,79-73,,
10:55.0,,,79-74,1,K. Humphries makes free throw 1 of 2
10:55.0,,,79-75,1,K. Humphries makes free throw 2 of 2
10:39.0,Turnover by J. Barea (bad pass; steal by A. Miller),,79-75,,
10:32.0,,,79-77,2,B. Beal makes 2-pt shot at rim (assist by O. Porter)
10:12.0,B. Wright makes 2-pt shot at rim (assist by J. Barea),2,81-77,,
10:12.0,Shooting foul by K. Seraphin (drawn by B. Wright),,81-77,,
10:12.0,B. Wright makes free throw 1 of 1,1,82-77,,
9:55.0,,,82-77,,Turnover by K. Seraphin (traveling)
9:38.0,J. Barea makes 2-pt shot from 18 ft,2,84-77,,
9:37.0,,,84-77,,Washington full timeout
9:37.0,,,84-77,,N. Hilario enters the game for K. Seraphin
9:17.0,,,84-79,2,B. Beal makes 2-pt shot from 3 ft
9:17.0,Violation by B. Wright (def goaltending),,84-79,,
9:04.0,J. Barea misses 2-pt shot from 2 ft,,84-79,,
9:03.0,,,84-79,,Defensive rebound by N. Hilario
8:46.0,,,84-82,3,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal)
8:23.0,D. Nowitzki misses 2-pt shot from 15 ft,,84-82,,
8:22.0,,,84-82,,Defensive rebound by B. Beal
8:03.0,,,84-82,,O. Porter misses 3-pt shot from 24 ft
8:02.0,,,84-82,,Offensive rebound by A. Miller
7:58.0,,,84-85,3,B. Beal makes 3-pt shot from 25 ft (assist by A. Miller)
7:56.0,Dallas full timeout,,84-85,,
7:56.0,,,84-85,,J. Wall enters the game for A. Miller
7:56.0,C. Parsons enters the game for D. Nowitzki,,84-85,,
7:56.0,T. Chandler enters the game for A. Aminu,,84-85,,
7:56.0,M. Ellis enters the game for J. Crowder,,84-85,,
7:45.0,M. Ellis makes 2-pt shot from 20 ft,2,86-85,,
7:19.0,,,86-85,,B. Beal misses 2-pt shot from 21 ft
7:18.0,,,86-85,,Offensive rebound by K. Humphries
7:16.0,,,86-87,2,K. Humphries makes 2-pt shot at rim
6:58.0,M. Ellis makes 2-pt shot from 6 ft,2,88-87,,
6:42.0,,,88-89,2,J. Wall makes 2-pt shot from 12 ft
6:19.0,C. Parsons makes 2-pt shot from 1 ft,2,90-89,,
6:08.0,,,90-89,,J. Wall misses 2-pt shot from 4 ft (block by T. Chandler)
6:06.0,,,90-89,,Offensive rebound by O. Porter
6:02.0,,,90-89,,N. Hilario misses 2-pt shot from 20 ft
6:01.0,Defensive rebound by B. Wright,,90-89,,
5:40.0,J. Barea misses 3-pt shot from 26 ft,,90-89,,
5:39.0,,,90-89,,Defensive rebound by K. Humphries
5:33.0,,,90-92,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
5:16.0,M. Ellis misses 2-pt shot from 8 ft,,90-92,,
5:15.0,,,90-92,,Defensive rebound by N. Hilario
5:05.0,,,90-92,,N. Hilario misses 2-pt shot from 4 ft (block by T. Chandler)
5:04.0,Defensive rebound by J. Barea,,90-92,,
5:00.0,C. Parsons misses 2-pt shot from 4 ft (block by J. Wall),,90-92,,
5:00.0,Offensive rebound by Team,,90-92,,
5:00.0,,,90-92,,P. Pierce enters the game for B. Beal
4:48.0,M. Ellis misses 2-pt shot from 13 ft,,90-92,,
4:47.0,,,90-92,,Defensive rebound by Team
4:31.0,,,90-92,,K. Humphries misses 3-pt shot from 24 ft
4:29.0,Defensive rebound by J. Barea,,90-92,,
4:24.0,B. Wright makes 2-pt shot from 2 ft (assist by J. Barea),2,92-92,,
4:10.0,,,92-92,,Turnover by P. Pierce (offensive foul)
4:10.0,,,92-92,,Offensive foul by P. Pierce
3:57.0,B. Wright misses 2-pt shot from 8 ft,,92-92,,
3:56.0,,,92-92,,Defensive rebound by O. Porter
3:44.0,,,92-92,,Shooting foul by J. Barea (drawn by J. Wall)
3:44.0,,,92-92,,J. Wall misses free throw 1 of 2
3:44.0,,,92-92,,Offensive rebound by Team
3:44.0,A. Aminu enters the game for B. Wright,,92-92,,
3:44.0,,,92-93,1,J. Wall makes free throw 2 of 2
