time,Minnesota,pts.away,score,pts.home,Dallas
8:48.0,R. Rubio misses 2-pt shot from 11 ft,,24-36,,
8:48.0,Offensive rebound by G. Dieng,,24-36,,
8:46.0,G. Dieng misses 2-pt shot at rim (block by C. Villanueva),,24-36,,
8:45.0,,,24-36,,Defensive rebound by R. Felton
8:42.0,,,24-38,2,A. Aminu makes 2-pt shot at rim (assist by R. Felton)
8:23.0,R. Rubio misses 2-pt shot from 21 ft,,24-38,,
8:22.0,,,24-38,,Defensive rebound by D. Nowitzki
8:15.0,,,24-41,3,R. Felton makes 3-pt shot from 24 ft
7:57.0,C. Budinger misses 2-pt shot from 3 ft (block by C. Villanueva),,24-41,,
7:55.0,,,24-41,,Defensive rebound by C. Villanueva
7:53.0,,,24-43,2,J. Barea makes 2-pt shot from 3 ft (assist by C. Villanueva)
7:53.0,Minnesota full timeout,,24-43,,
7:53.0,,,24-43,,T. Chandler enters the game for D. Nowitzki
7:53.0,,,24-43,,R. Jefferson enters the game for A. Aminu
7:53.0,T. Young enters the game for G. Dieng,,24-43,,
7:53.0,N. Pekovic enters the game for C. Budinger,,24-43,,
7:53.0,K. Martin enters the game for A. Bennett,,24-43,,
7:40.0,N. Pekovic misses 2-pt shot from 6 ft,,24-43,,
7:39.0,,,24-43,,Defensive rebound by C. Villanueva
7:15.0,,,24-43,,C. Villanueva misses 3-pt shot from 29 ft
7:14.0,,,24-43,,Offensive rebound by J. Barea
7:08.0,,,24-45,2,C. Villanueva makes 2-pt shot at rim (assist by J. Barea)
6:45.0,K. Martin misses 3-pt shot from 24 ft,,24-45,,
6:44.0,Offensive rebound by T. Young,,24-45,,
6:42.0,Shooting foul by T. Chandler (drawn by T. Young),,24-45,,
6:42.0,T. Young makes free throw 1 of 2,1,25-45,,
6:42.0,,,25-45,,M. Ellis enters the game for J. Barea
6:42.0,,,25-45,,C. Parsons enters the game for C. Villanueva
6:42.0,T. Young misses free throw 2 of 2,,25-45,,
6:41.0,,,25-45,,Defensive rebound by R. Jefferson
6:22.0,Personal foul by R. Rubio (drawn by R. Felton),,25-45,,
6:12.0,,,25-45,,Turnover by R. Jefferson (lost ball)
6:05.0,,,25-45,,Personal block foul by R. Felton (drawn by R. Rubio)
5:57.0,T. Young makes 2-pt shot from 17 ft,2,27-45,,
5:45.0,,,27-45,,R. Felton misses 2-pt shot from 3 ft
5:43.0,Defensive rebound by N. Pekovic,,27-45,,
5:41.0,Shooting foul by M. Ellis (drawn by A. Wiggins),,27-45,,
5:41.0,A. Wiggins makes free throw 1 of 2,1,28-45,,
5:41.0,,,28-45,,D. Harris enters the game for R. Felton
5:41.0,A. Wiggins makes free throw 2 of 2,1,29-45,,
5:28.0,,,29-45,,M. Ellis misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by R. Rubio,,29-45,,
5:19.0,N. Pekovic makes 2-pt shot from 6 ft (assist by R. Rubio),2,31-45,,
5:17.0,,,31-45,,Dallas full timeout
5:07.0,,,31-45,,C. Parsons misses 2-pt shot from 4 ft
5:06.0,Defensive rebound by N. Pekovic,,31-45,,
4:59.0,,,31-45,,Violation by T. Chandler (kicked ball)
4:59.0,M. Williams enters the game for R. Rubio,,31-45,,
4:50.0,N. Pekovic makes 2-pt shot from 1 ft,2,33-45,,
4:32.0,,,33-45,,R. Jefferson misses 2-pt shot from 5 ft
4:31.0,Defensive rebound by N. Pekovic,,33-45,,
4:24.0,K. Martin makes 2-pt shot from 16 ft (assist by M. Williams),2,35-45,,
4:06.0,,,35-47,2,R. Jefferson makes 2-pt shot at rim (assist by C. Parsons)
3:41.0,Turnover by N. Pekovic (lost ball; steal by R. Jefferson),,35-47,,
3:32.0,,,35-47,,D. Harris misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by Team,,35-47,,
3:32.0,,,35-47,,D. Nowitzki enters the game for R. Jefferson
3:32.0,Minnesota full timeout,,35-47,,
3:22.0,T. Young makes 2-pt shot from 2 ft,2,37-47,,
3:04.0,,,37-47,,Shooting foul by N. Pekovic (drawn by M. Ellis)
3:04.0,,,37-49,2,M. Ellis makes 2-pt shot from 10 ft (assist by T. Chandler)
3:04.0,G. Dieng enters the game for N. Pekovic,,37-49,,
3:04.0,Violation by Team (delay of game),,37-49,,
3:04.0,,,37-49,,M. Ellis misses free throw 1 of 1
3:03.0,Defensive rebound by T. Young,,37-49,,
2:48.0,K. Martin makes 2-pt shot from 17 ft (assist by M. Williams),2,39-49,,
2:35.0,,,39-52,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Harris)
2:13.0,Turnover by A. Wiggins (lost ball),,39-52,,
2:02.0,,,39-52,,Turnover by C. Parsons (bad pass; steal by G. Dieng)
1:58.0,,,39-52,,Personal block foul by D. Harris (drawn by M. Williams)
1:58.0,M. Williams makes free throw 1 of 2,1,40-52,,
1:58.0,,,40-52,,J. Barea enters the game for D. Harris
1:58.0,M. Williams makes free throw 2 of 2,1,41-52,,
1:50.0,Personal block foul by M. Williams (drawn by J. Barea),,41-52,,
1:38.0,,,41-52,,J. Barea misses 2-pt shot from 22 ft
1:37.0,,,41-52,,Offensive rebound by C. Parsons
1:34.0,,,41-52,,M. Ellis misses 3-pt shot from 22 ft
1:33.0,Defensive rebound by T. Young,,41-52,,
1:25.0,T. Young makes 2-pt shot from 7 ft (assist by K. Martin),2,43-52,,
1:13.0,,,43-52,,J. Barea misses 3-pt shot from 23 ft
1:11.0,,,43-52,,Offensive rebound by T. Chandler
1:09.0,,,43-54,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by T. Chandler)
1:09.0,,,43-54,,Shooting foul by G. Dieng (drawn by D. Nowitzki)
1:09.0,,,43-54,,D. Nowitzki misses free throw 1 of 1
1:08.0,Defensive rebound by G. Dieng,,43-54,,
0:57.0,G. Dieng makes 2-pt shot from 14 ft (assist by M. Williams),2,45-54,,
0:36.0,,,45-54,,M. Ellis misses 2-pt shot from 3 ft
0:34.0,Defensive rebound by T. Young,,45-54,,
0:26.0,G. Dieng misses 2-pt shot from 15 ft,,45-54,,
0:25.0,Offensive rebound by A. Wiggins,,45-54,,
0:02.0,K. Martin misses 2-pt shot from 19 ft,,45-54,,
0:01.0,Offensive rebound by G. Dieng,,45-54,,
0:01.0,G. Dieng makes 2-pt shot at rim,2,47-54,,
0:00.0,,,47-54,,M. Ellis misses 3-pt shot from 74 ft
0:00.0,,,47-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by K. Martin (bad pass; steal by C. Parsons),,47-54,,
11:26.0,,,47-54,,Turnover by M. Ellis (offensive foul)
11:26.0,,,47-54,,Offensive foul by M. Ellis
11:14.0,R. Rubio misses 2-pt shot from 2 ft (block by D. Nowitzki),,47-54,,
11:12.0,,,47-54,,Defensive rebound by D. Nowitzki
11:00.0,,,47-54,,Turnover by D. Nowitzki (bad pass; steal by K. Martin)
10:56.0,K. Martin makes 2-pt shot at rim,2,49-54,,
10:39.0,,,49-54,,J. Barea misses 2-pt shot from 1 ft (block by T. Young)
10:37.0,,,49-54,,Offensive rebound by J. Barea
10:31.0,,,49-54,,J. Barea misses 3-pt shot from 24 ft
10:30.0,,,49-54,,Offensive rebound by T. Chandler
10:30.0,Loose ball foul by T. Young (drawn by T. Chandler),,49-54,,
10:19.0,Personal foul by T. Young (drawn by D. Nowitzki),,49-54,,
10:09.0,,,49-57,3,M. Ellis makes 3-pt shot from 22 ft (assist by D. Nowitzki)
9:55.0,Shooting foul by D. Nowitzki (drawn by T. Young),,49-57,,
9:55.0,T. Young makes free throw 1 of 2,1,50-57,,
9:55.0,T. Young makes free throw 2 of 2,1,51-57,,
9:49.0,Personal block foul by A. Wiggins (drawn by M. Ellis),,51-57,,
9:45.0,,,51-59,2,C. Parsons makes 2-pt shot from 2 ft (assist by T. Chandler)
9:23.0,K. Martin makes 3-pt shot from 22 ft (assist by T. Young),3,54-59,,
9:02.0,,,54-61,2,M. Ellis makes 2-pt shot from 14 ft
8:49.0,K. Martin misses 3-pt shot from 25 ft,,54-61,,
8:48.0,,,54-61,,Defensive rebound by C. Parsons
8:35.0,,,54-64,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea)
8:34.0,Minnesota full timeout,,54-64,,
8:16.0,A. Wiggins makes 2-pt shot from 10 ft,2,56-64,,
8:03.0,,,56-64,,Turnover by C. Parsons (lost ball; steal by N. Pekovic)
7:54.0,R. Rubio makes 2-pt shot from 20 ft (assist by A. Wiggins),2,58-64,,
7:44.0,,,58-64,,J. Barea misses 2-pt shot from 1 ft
7:42.0,,,58-64,,Offensive rebound by J. Barea
7:36.0,,,58-64,,C. Parsons misses 3-pt shot from 24 ft
7:35.0,,,58-64,,Offensive rebound by T. Chandler
7:23.0,Personal foul by A. Wiggins (drawn by D. Nowitzki),,58-64,,
7:14.0,,,58-66,2,C. Parsons makes 2-pt shot from 21 ft (assist by J. Barea)
7:00.0,Shooting foul by J. Barea (drawn by R. Rubio),,58-66,,
7:00.0,R. Rubio makes free throw 1 of 2,1,59-66,,
7:00.0,R. Rubio makes free throw 2 of 2,1,60-66,,
6:46.0,,,60-66,,D. Nowitzki misses 2-pt shot from 17 ft
6:45.0,Defensive rebound by N. Pekovic,,60-66,,
6:36.0,Turnover by R. Rubio (bad pass; steal by C. Parsons),,60-66,,
6:32.0,,,60-68,2,C. Parsons makes 2-pt shot at rim
6:16.0,A. Wiggins makes 2-pt shot from 4 ft,2,62-68,,
6:16.0,Shooting foul by C. Parsons (drawn by A. Wiggins),,62-68,,
6:16.0,M. Williams enters the game for R. Rubio,,62-68,,
6:16.0,A. Wiggins misses free throw 1 of 1,,62-68,,
6:15.0,,,62-68,,Defensive rebound by D. Nowitzki
5:58.0,,,62-68,,D. Nowitzki misses 2-pt shot from 16 ft
5:56.0,Defensive rebound by N. Pekovic,,62-68,,
5:40.0,K. Martin misses 2-pt shot from 4 ft,,62-68,,
5:39.0,,,62-68,,Defensive rebound by D. Nowitzki
5:34.0,,,62-68,,Turnover by M. Ellis (bad pass; steal by T. Young)
5:30.0,K. Martin makes 2-pt shot at rim (assist by T. Young),2,64-68,,
5:21.0,,,64-68,,Dallas full timeout
5:21.0,,,64-68,,A. Aminu enters the game for D. Nowitzki
5:21.0,,,64-68,,D. Harris enters the game for J. Barea
5:15.0,,,64-68,,Turnover by D. Harris (step out of bounds)
5:03.0,M. Williams misses 3-pt shot from 24 ft,,64-68,,
5:03.0,,,64-68,,Defensive rebound by C. Parsons
4:50.0,,,64-68,,M. Ellis misses 2-pt shot from 19 ft
4:49.0,Defensive rebound by M. Williams,,64-68,,
4:36.0,N. Pekovic misses 2-pt shot from 6 ft,,64-68,,
4:35.0,Offensive rebound by A. Wiggins,,64-68,,
4:32.0,A. Wiggins misses 2-pt shot from 1 ft (block by A. Aminu),,64-68,,
4:31.0,,,64-68,,Defensive rebound by C. Parsons
4:28.0,Personal foul by M. Williams (drawn by M. Ellis),,64-68,,
4:28.0,,,64-68,,M. Ellis misses free throw 1 of 2
4:28.0,,,64-68,,Offensive rebound by Team
4:28.0,A. Bennett enters the game for T. Young,,64-68,,
4:28.0,,,64-69,1,M. Ellis makes free throw 2 of 2
4:13.0,Turnover by A. Wiggins (bad pass; steal by M. Ellis),,64-69,,
4:08.0,,,64-71,2,C. Parsons makes 2-pt shot at rim (assist by M. Ellis)
3:53.0,K. Martin misses 2-pt shot from 8 ft,,64-71,,
3:52.0,Offensive rebound by N. Pekovic,,64-71,,
3:50.0,N. Pekovic makes 2-pt shot at rim,2,66-71,,
3:34.0,,,66-71,,M. Ellis misses 2-pt shot from 19 ft
3:32.0,,,66-71,,Offensive rebound by Team
3:32.0,G. Dieng enters the game for N. Pekovic,,66-71,,
3:32.0,L. Brown enters the game for K. Martin,,66-71,,
3:13.0,,,66-71,,Turnover by C. Parsons (lost ball; steal by A. Wiggins)
3:09.0,A. Wiggins misses 2-pt shot at rim (block by A. Aminu),,66-71,,
3:08.0,Offensive rebound by Team,,66-71,,
3:08.0,,,66-71,,C. Villanueva enters the game for C. Parsons
3:07.0,Turnover by L. Brown (bad pass; steal by A. Aminu),,66-71,,
3:04.0,,,66-71,,Shooting foul by M. Williams (drawn by D. Harris)
3:04.0,,,66-72,1,D. Harris makes free throw 1 of 2
3:04.0,,,66-72,,R. Jefferson enters the game for T. Chandler
3:04.0,,,66-73,1,D. Harris makes free throw 2 of 2
2:52.0,M. Williams makes 2-pt shot from 20 ft,2,68-73,,
2:32.0,,,68-76,3,M. Ellis makes 3-pt shot from 25 ft
2:17.0,Offensive foul by A. Wiggins,,68-76,,
2:17.0,Turnover by A. Wiggins (offensive foul),,68-76,,
2:05.0,,,68-79,3,M. Ellis makes 3-pt shot from 24 ft
2:03.0,Minnesota full timeout,,68-79,,
2:03.0,T. Daniels enters the game for L. Brown,,68-79,,
1:46.0,A. Wiggins misses 2-pt shot from 6 ft (block by D. Harris),,68-79,,
1:44.0,,,68-79,,Defensive rebound by R. Jefferson
1:42.0,,,68-79,,Turnover by A. Aminu (lost ball)
1:26.0,A. Bennett makes 2-pt shot from 20 ft (assist by M. Williams),2,70-79,,
1:08.0,,,70-79,,Shooting foul by G. Dieng (drawn by M. Ellis)
1:08.0,,,70-80,1,M. Ellis makes free throw 1 of 2
1:08.0,,,70-81,1,M. Ellis makes free throw 2 of 2
0:59.0,Shooting foul by A. Aminu (drawn by M. Williams),,70-81,,
0:59.0,M. Williams makes free throw 1 of 3,1,71-81,,
0:59.0,M. Williams makes free throw 2 of 3,1,72-81,,
0:59.0,M. Williams makes free throw 3 of 3,1,73-81,,
0:37.0,,,73-81,,C. Villanueva misses 2-pt shot from 4 ft
0:36.0,,,73-81,,Offensive rebound by A. Aminu
0:25.0,Personal foul by M. Williams (drawn by M. Ellis),,73-81,,
0:25.0,,,73-81,,M. Ellis misses free throw 1 of 2
0:25.0,,,73-81,,Offensive rebound by Team
0:25.0,,,73-81,,M. Ellis misses free throw 2 of 2
0:24.0,Defensive rebound by A. Bennett,,73-81,,
0:01.0,Turnover by Team (shot clock),,73-81,,
0:01.0,,,73-81,,J. Barea enters the game for M. Ellis
0:00.0,,,73-81,,D. Harris misses 3-pt shot from 53 ft
0:00.0,,,73-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,73-83,2,C. Villanueva makes 2-pt shot at rim (assist by D. Nowitzki)
11:23.0,T. Daniels misses 3-pt shot from 23 ft,,73-83,,
11:21.0,,,73-83,,Defensive rebound by C. Villanueva
11:05.0,,,73-83,,C. Villanueva misses 3-pt shot from 22 ft
11:04.0,Defensive rebound by M. Williams,,73-83,,
10:53.0,G. Dieng misses 2-pt shot from 3 ft (block by C. Villanueva),,73-83,,
10:51.0,,,73-83,,Defensive rebound by J. Barea
10:41.0,,,73-83,,C. Villanueva misses 3-pt shot from 22 ft
10:40.0,Defensive rebound by G. Dieng,,73-83,,
10:29.0,,,73-83,,Personal foul by A. Aminu (drawn by T. Young)
10:24.0,M. Williams misses 3-pt shot from 24 ft,,73-83,,
10:24.0,,,73-83,,Defensive rebound by Team
10:24.0,K. Martin enters the game for T. Daniels,,73-83,,
10:12.0,,,73-85,2,A. Aminu makes 2-pt shot at rim (assist by J. Barea)
9:50.0,K. Martin makes 2-pt shot from 18 ft (assist by G. Dieng),2,75-85,,
9:33.0,,,75-85,,D. Nowitzki misses 3-pt shot from 24 ft
9:32.0,,,75-85,,Offensive rebound by C. Villanueva
9:28.0,,,75-85,,Turnover by C. Villanueva (lost ball; steal by M. Williams)
9:19.0,,,75-85,,Shooting block foul by J. Barea (drawn by K. Martin)
9:19.0,K. Martin makes free throw 1 of 2,1,76-85,,
9:19.0,,,76-85,,C. Parsons enters the game for D. Harris
9:19.0,K. Martin makes free throw 2 of 2,1,77-85,,
9:00.0,,,77-87,2,J. Barea makes 2-pt shot from 2 ft
8:35.0,Turnover by G. Dieng (lost ball; steal by A. Aminu),,77-87,,
8:25.0,,,77-89,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea)
8:24.0,Minnesota full timeout,,77-89,,
8:24.0,,,77-89,,T. Chandler enters the game for A. Aminu
8:24.0,N. Pekovic enters the game for G. Dieng,,77-89,,
8:24.0,A. Wiggins enters the game for M. Williams,,77-89,,
8:24.0,R. Rubio enters the game for A. Bennett,,77-89,,
8:12.0,Turnover by R. Rubio (bad pass),,77-89,,
7:56.0,,,77-89,,C. Villanueva misses 3-pt shot from 24 ft
7:54.0,Defensive rebound by R. Rubio,,77-89,,
7:51.0,Shooting foul by C. Parsons (drawn by T. Young),,77-89,,
7:51.0,T. Young makes free throw 1 of 2,1,78-89,,
7:51.0,,,78-89,,R. Jefferson enters the game for C. Villanueva
7:51.0,T. Young makes free throw 2 of 2,1,79-89,,
7:33.0,,,79-89,,C. Parsons misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by R. Rubio,,79-89,,
7:23.0,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio),2,81-89,,
7:11.0,Personal take foul by R. Rubio (drawn by T. Chandler),,81-89,,
7:11.0,,,81-89,,M. Ellis enters the game for D. Nowitzki
7:06.0,Personal foul by T. Young (drawn by C. Parsons),,81-89,,
6:54.0,,,81-91,2,T. Chandler makes 2-pt shot at rim (assist by J. Barea)
6:33.0,N. Pekovic misses 2-pt shot from 5 ft,,81-91,,
6:31.0,Offensive rebound by A. Wiggins,,81-91,,
6:31.0,A. Wiggins misses 2-pt shot at rim,,81-91,,
6:30.0,Offensive rebound by A. Wiggins,,81-91,,
6:30.0,A. Wiggins makes 2-pt shot at rim,2,83-91,,
6:09.0,,,83-91,,Turnover by J. Barea (lost ball; steal by T. Young)
6:04.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,85-91,,
6:04.0,,,85-91,,Dallas full timeout
6:04.0,,,85-91,,A. Aminu enters the game for J. Barea
6:04.0,,,85-91,,D. Harris enters the game for R. Jefferson
5:51.0,,,85-91,,M. Ellis misses 2-pt shot from 18 ft
5:50.0,Defensive rebound by K. Martin,,85-91,,
5:32.0,A. Wiggins misses 2-pt shot from 8 ft,,85-91,,
5:31.0,,,85-91,,Defensive rebound by A. Aminu
5:17.0,,,85-91,,Turnover by M. Ellis (lost ball)
5:03.0,T. Young makes 2-pt shot from 2 ft,2,87-91,,
4:48.0,Shooting block foul by A. Wiggins (drawn by M. Ellis),,87-91,,
4:48.0,,,87-91,,M. Ellis misses free throw 1 of 2
4:48.0,,,87-91,,Offensive rebound by Team
4:48.0,,,87-91,,D. Nowitzki enters the game for A. Aminu
4:48.0,,,87-92,1,M. Ellis makes free throw 2 of 2
4:39.0,Turnover by R. Rubio (bad pass; steal by C. Parsons),,87-92,,
