time,Oklahoma City,pts.away,score,pts.home,Cleveland
8:03.0,,,31-32,,Offensive rebound by Team
8:03.0,Official timeout,,31-32,,
8:03.0,R. Westbrook enters the game for A. Morrow,,31-32,,
8:03.0,,,31-32,,K. Irving enters the game for I. Shumpert
8:00.0,,,31-32,,T. Mozgov misses 2-pt shot at rim
7:59.0,Defensive rebound by R. Jackson,,31-32,,
7:50.0,S. Ibaka misses 3-pt shot from 25 ft,,31-32,,
7:49.0,,,31-32,,Defensive rebound by T. Thompson
7:28.0,,,31-32,,L. James misses 2-pt shot from 7 ft
7:24.0,,,31-32,,Offensive rebound by T. Thompson
7:23.0,,,31-34,2,T. Thompson makes 2-pt shot at rim
7:09.0,D. Waiters misses 2-pt shot from 19 ft,,31-34,,
7:08.0,Offensive rebound by S. Ibaka,,31-34,,
7:06.0,K. Durant misses 3-pt shot from 26 ft,,31-34,,
7:04.0,,,31-34,,Defensive rebound by T. Thompson
6:45.0,,,31-34,,L. James misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by S. Ibaka,,31-34,,
6:39.0,,,31-34,,Personal foul by M. Dellavedova (drawn by R. Jackson)
6:39.0,K. Perkins enters the game for R. Jackson,,31-34,,
6:35.0,K. Durant misses 3-pt shot from 25 ft,,31-34,,
6:34.0,Offensive rebound by R. Westbrook,,31-34,,
6:22.0,R. Westbrook misses 2-pt shot from 10 ft,,31-34,,
6:20.0,,,31-34,,Defensive rebound by T. Thompson
6:15.0,,,31-34,,K. Irving misses 2-pt shot from 2 ft
6:15.0,,,31-34,,Offensive rebound by T. Thompson
6:14.0,,,31-36,2,T. Thompson makes 2-pt shot from 2 ft
6:05.0,Oklahoma City full timeout,,31-36,,
6:05.0,,,31-36,,K. Love enters the game for T. Mozgov
5:53.0,D. Waiters makes 3-pt shot from 23 ft (assist by K. Durant),3,34-36,,
5:38.0,,,34-36,,Turnover by K. Love (bad pass; steal by K. Perkins)
5:31.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,36-36,,
5:07.0,,,36-38,2,K. Love makes 2-pt shot from 5 ft
4:59.0,Shooting foul by M. Dellavedova (drawn by R. Westbrook),,36-38,,
4:59.0,R. Westbrook makes free throw 1 of 2,1,37-38,,
4:59.0,,,37-38,,S. Marion enters the game for M. Dellavedova
4:59.0,,,37-38,,J. Smith enters the game for L. James
4:59.0,R. Westbrook makes free throw 2 of 2,1,38-38,,
4:43.0,,,38-41,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
4:31.0,S. Ibaka misses 3-pt shot from 25 ft,,38-41,,
4:29.0,Offensive rebound by R. Westbrook,,38-41,,
4:25.0,D. Waiters misses 3-pt shot from 22 ft,,38-41,,
4:24.0,,,38-41,,Defensive rebound by T. Thompson
4:13.0,,,38-44,3,K. Irving makes 3-pt shot from 26 ft (assist by J. Smith)
3:58.0,,,38-44,,Personal foul by K. Irving (drawn by S. Ibaka)
3:52.0,K. Perkins misses 2-pt shot from 4 ft,,38-44,,
3:48.0,Offensive rebound by R. Westbrook,,38-44,,
3:48.0,R. Westbrook misses 2-pt shot at rim,,38-44,,
3:45.0,,,38-44,,Defensive rebound by K. Irving
3:40.0,,,38-46,2,K. Irving makes 2-pt shot from 5 ft
3:27.0,K. Perkins makes 2-pt shot at rim (assist by K. Durant),2,40-46,,
3:14.0,,,40-46,,K. Irving misses 3-pt shot from 28 ft
3:13.0,Defensive rebound by K. Durant,,40-46,,
3:09.0,K. Durant makes 2-pt shot at rim,2,42-46,,
3:01.0,,,42-46,,Cleveland full timeout
3:01.0,,,42-46,,L. James enters the game for S. Marion
3:01.0,,,42-46,,T. Mozgov enters the game for T. Thompson
3:01.0,A. Roberson enters the game for D. Waiters,,42-46,,
2:45.0,,,42-48,2,L. James makes 2-pt shot at rim
2:28.0,K. Durant makes 2-pt shot from 14 ft,2,44-48,,
2:12.0,,,44-48,,Shooting foul by A. Roberson (drawn by L. James)
2:12.0,,,44-49,1,L. James makes free throw 1 of 2
2:12.0,,,44-50,1,L. James makes free throw 2 of 2
2:01.0,R. Westbrook misses 2-pt shot from 14 ft,,44-50,,
2:00.0,,,44-50,,Defensive rebound by L. James
1:44.0,,,44-50,,L. James misses 2-pt shot from 14 ft
1:43.0,,,44-50,,Offensive rebound by K. Love
1:39.0,,,44-50,,J. Smith misses 3-pt shot from 26 ft
1:38.0,Defensive rebound by K. Perkins,,44-50,,
1:34.0,Shooting foul by T. Mozgov (drawn by R. Westbrook),,44-50,,
1:34.0,R. Westbrook misses free throw 1 of 2,,44-50,,
1:34.0,Offensive rebound by Team,,44-50,,
1:34.0,,,44-50,,T. Thompson enters the game for T. Mozgov
1:34.0,R. Westbrook makes free throw 2 of 2,1,45-50,,
1:19.0,,,45-52,2,K. Irving makes 2-pt shot from 1 ft
1:08.0,R. Westbrook misses 2-pt shot at rim,,45-52,,
1:07.0,Offensive rebound by K. Durant,,45-52,,
1:07.0,K. Durant makes 2-pt shot at rim,2,47-52,,
0:49.0,,,47-55,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
0:32.0,K. Durant makes 2-pt shot at rim,2,49-55,,
0:09.0,,,49-57,2,L. James makes 2-pt shot at rim
0:01.0,K. Durant misses 2-pt shot from 2 ft (block by K. Love),,49-57,,
0:01.0,Offensive rebound by Team,,49-57,,
0:01.0,Oklahoma City full timeout,,49-57,,
0:01.0,,,49-57,,I. Shumpert enters the game for K. Love
0:01.0,,,49-57,,S. Marion enters the game for K. Irving
0:01.0,A. Morrow enters the game for K. Perkins,,49-57,,
0:01.0,D. Waiters enters the game for A. Roberson,,49-57,,
0:00.0,S. Ibaka misses 3-pt shot from 26 ft,,49-57,,
0:00.0,Offensive rebound by Team,,49-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,49-57,,L. James misses 3-pt shot from 22 ft
11:41.0,,,49-57,,Offensive rebound by T. Mozgov
11:36.0,,,49-60,3,J. Smith makes 3-pt shot from 28 ft (assist by K. Irving)
11:15.0,R. Westbrook makes 2-pt shot from 13 ft (assist by K. Perkins),2,51-60,,
11:01.0,,,51-60,,Turnover by K. Irving (bad pass; steal by R. Westbrook)
10:56.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,53-60,,
10:42.0,,,53-60,,Offensive foul by T. Mozgov
10:42.0,,,53-60,,Turnover by T. Mozgov (offensive foul)
10:24.0,Turnover by R. Westbrook (lost ball; steal by K. Irving),,53-60,,
10:22.0,,,53-60,,K. Irving misses 2-pt shot at rim
10:20.0,Defensive rebound by K. Durant,,53-60,,
10:13.0,S. Ibaka makes 2-pt shot from 10 ft (assist by K. Durant),2,55-60,,
9:48.0,,,55-60,,Shooting foul by K. Perkins (drawn by T. Mozgov)
9:48.0,,,55-60,,Technical foul by T. Mozgov
9:48.0,K. Durant makes technical free throw,1,56-60,,
9:48.0,,,56-61,1,T. Mozgov makes free throw 1 of 2
9:48.0,,,56-62,1,T. Mozgov makes free throw 2 of 2
9:38.0,S. Ibaka misses 2-pt shot from 18 ft,,56-62,,
9:37.0,,,56-62,,Defensive rebound by J. Smith
9:30.0,,,56-62,,J. Smith misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by S. Ibaka,,56-62,,
9:20.0,R. Westbrook misses 2-pt shot from 14 ft,,56-62,,
9:19.0,,,56-62,,Defensive rebound by L. James
9:04.0,Personal foul by K. Perkins (drawn by T. Mozgov),,56-62,,
8:54.0,,,56-62,,K. Irving misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by A. Roberson,,56-62,,
8:35.0,R. Westbrook makes 2-pt shot from 17 ft (assist by K. Durant),2,58-62,,
8:17.0,,,58-62,,Turnover by K. Love (bad pass; steal by R. Westbrook)
8:13.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,60-62,,
7:53.0,,,60-64,2,K. Irving makes 2-pt shot at rim
7:33.0,R. Westbrook misses 3-pt shot from 24 ft,,60-64,,
7:32.0,,,60-64,,Defensive rebound by L. James
7:23.0,,,60-67,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
7:19.0,Oklahoma City full timeout,,60-67,,
7:09.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Durant),3,63-67,,
6:51.0,,,63-67,,J. Smith misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by K. Perkins,,63-67,,
6:32.0,A. Roberson makes 2-pt shot at rim (assist by K. Durant),2,65-67,,
6:01.0,,,65-67,,K. Irving misses 2-pt shot from 17 ft
6:00.0,Defensive rebound by A. Roberson,,65-67,,
5:48.0,Offensive charge foul by K. Perkins,,65-67,,
5:48.0,Turnover by K. Perkins (offensive foul),,65-67,,
5:34.0,,,65-67,,Turnover by T. Mozgov (offensive foul)
5:34.0,,,65-67,,Offensive foul by T. Mozgov
5:34.0,,,65-67,,T. Thompson enters the game for T. Mozgov
5:22.0,R. Westbrook misses 2-pt shot from 13 ft,,65-67,,
5:21.0,,,65-67,,Defensive rebound by K. Love
5:11.0,,,65-70,3,K. Love makes 3-pt shot from 24 ft (assist by T. Thompson)
4:47.0,K. Durant misses 2-pt shot from 12 ft,,65-70,,
4:46.0,,,65-70,,Defensive rebound by K. Irving
4:46.0,Personal foul by R. Westbrook (drawn by K. Irving),,65-70,,
4:46.0,N. Collison enters the game for K. Perkins,,65-70,,
4:46.0,D. Waiters enters the game for A. Roberson,,65-70,,
4:46.0,,,65-70,,M. Dellavedova enters the game for L. James
4:27.0,,,65-70,,J. Smith misses 3-pt shot from 22 ft
4:26.0,Defensive rebound by R. Westbrook,,65-70,,
4:18.0,D. Waiters misses 3-pt shot from 22 ft,,65-70,,
4:17.0,Offensive rebound by S. Ibaka,,65-70,,
4:11.0,R. Westbrook makes 3-pt shot from 22 ft (assist by K. Durant),3,68-70,,
4:01.0,A. Morrow enters the game for K. Durant,,68-70,,
3:58.0,,,68-70,,Shooting foul by D. Waiters (drawn by T. Thompson)
3:58.0,,,68-70,,T. Thompson misses free throw 1 of 2
3:58.0,,,68-70,,Offensive rebound by Team
3:58.0,,,68-71,1,T. Thompson makes free throw 2 of 2
3:46.0,Shooting foul by K. Irving (drawn by R. Westbrook),,68-71,,
3:46.0,R. Westbrook misses free throw 1 of 3,,68-71,,
3:46.0,Offensive rebound by Team,,68-71,,
3:46.0,R. Westbrook makes free throw 2 of 3,1,69-71,,
3:46.0,R. Westbrook makes free throw 3 of 3,1,70-71,,
3:30.0,,,70-73,2,K. Irving makes 2-pt shot from 9 ft
3:19.0,R. Westbrook misses 2-pt shot from 11 ft,,70-73,,
3:18.0,,,70-73,,Defensive rebound by K. Love
3:12.0,,,70-73,,K. Irving misses 3-pt shot from 25 ft
3:10.0,,,70-73,,Offensive rebound by T. Thompson
3:09.0,,,70-73,,Turnover by K. Love (step out of bounds)
2:46.0,D. Waiters misses 2-pt shot from 2 ft (block by T. Thompson),,70-73,,
2:46.0,Offensive rebound by Team,,70-73,,
2:46.0,,,70-73,,Cleveland full timeout
2:46.0,,,70-73,,I. Shumpert enters the game for J. Smith
2:44.0,S. Ibaka misses 3-pt shot from 23 ft,,70-73,,
2:43.0,,,70-73,,Defensive rebound by Team
2:29.0,,,70-73,,K. Love misses 2-pt shot from 6 ft
2:28.0,Defensive rebound by N. Collison,,70-73,,
2:20.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,72-73,,
2:02.0,,,72-73,,K. Irving misses 2-pt shot at rim
2:00.0,Defensive rebound by R. Westbrook,,72-73,,
1:55.0,R. Westbrook makes 2-pt shot from 1 ft,2,74-73,,
1:36.0,,,74-75,2,K. Irving makes 2-pt shot from 14 ft
1:24.0,D. Waiters makes 2-pt shot from 1 ft (assist by N. Collison),2,76-75,,
1:15.0,,,76-78,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
0:55.0,D. Waiters makes 2-pt shot at rim (assist by R. Westbrook),2,78-78,,
0:32.0,,,78-81,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Irving)
0:09.0,R. Westbrook misses 3-pt shot from 27 ft,,78-81,,
0:08.0,,,78-81,,Defensive rebound by T. Thompson
0:00.0,,,78-83,2,K. Irving makes 2-pt shot from 13 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Waiters misses 2-pt shot from 16 ft,,78-83,,
11:44.0,,,78-83,,Defensive rebound by I. Shumpert
11:28.0,,,78-86,3,L. James makes 3-pt shot from 26 ft (assist by M. Dellavedova)
11:17.0,Shooting foul by K. Love (drawn by D. Waiters),,78-86,,
11:17.0,D. Waiters makes free throw 1 of 2,1,79-86,,
11:17.0,D. Waiters makes free throw 2 of 2,1,80-86,,
10:55.0,,,80-86,,M. Dellavedova misses 3-pt shot from 22 ft (block by K. Durant)
10:55.0,Defensive rebound by R. Jackson,,80-86,,
10:55.0,,,80-86,,Personal foul by T. Thompson (drawn by R. Jackson)
10:55.0,,,80-86,,T. Mozgov enters the game for K. Love
10:43.0,K. Durant misses 2-pt shot from 16 ft,,80-86,,
10:42.0,,,80-86,,Defensive rebound by L. James
10:28.0,,,80-88,2,L. James makes 2-pt shot from 14 ft
10:11.0,R. Jackson misses 2-pt shot from 7 ft,,80-88,,
10:11.0,Offensive rebound by Team,,80-88,,
10:11.0,,,80-88,,Loose ball foul by T. Thompson (drawn by N. Collison)
10:11.0,S. Ibaka enters the game for A. Morrow,,80-88,,
10:01.0,R. Jackson misses 3-pt shot from 26 ft,,80-88,,
10:00.0,,,80-88,,Defensive rebound by T. Mozgov
9:41.0,,,80-91,3,L. James makes 3-pt shot from 25 ft
9:41.0,Oklahoma City full timeout,,80-91,,
9:28.0,Turnover by K. Durant (lost ball; steal by I. Shumpert),,80-91,,
9:21.0,,,80-91,,L. James misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by R. Jackson,,80-91,,
9:16.0,Turnover by R. Jackson (bad pass),,80-91,,
9:16.0,,,80-91,,K. Irving enters the game for M. Dellavedova
9:03.0,,,80-91,,I. Shumpert misses 3-pt shot from 25 ft
9:02.0,,,80-91,,Offensive rebound by T. Thompson
8:45.0,,,80-91,,Turnover by I. Shumpert (lost ball; steal by D. Waiters)
8:24.0,Turnover by R. Jackson (bad pass; steal by K. Irving),,80-91,,
8:24.0,Personal foul by K. Durant (drawn by L. James),,80-91,,
8:24.0,R. Westbrook enters the game for R. Jackson,,80-91,,
8:24.0,,,80-91,,J. Smith enters the game for I. Shumpert
8:05.0,,,80-91,,J. Smith misses 2-pt shot from 21 ft
8:03.0,Defensive rebound by K. Durant,,80-91,,
7:57.0,K. Durant makes 2-pt shot from 14 ft,2,82-91,,
7:33.0,,,82-91,,L. James misses 3-pt shot from 29 ft
7:32.0,Defensive rebound by K. Durant,,82-91,,
7:23.0,D. Waiters misses 3-pt shot from 25 ft,,82-91,,
7:21.0,,,82-91,,Defensive rebound by T. Mozgov
7:12.0,,,82-91,,T. Mozgov misses 2-pt shot from 1 ft (block by S. Ibaka)
7:12.0,Jump ball: S. Ibaka vs. T. Mozgov,,,,Jump ball: S. Ibaka vs. T. Mozgov
7:12.0,,,82-91,,Offensive rebound by Team
6:59.0,,,82-94,3,K. Irving makes 3-pt shot from 23 ft (assist by L. James)
6:45.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,84-94,,
6:45.0,Shooting foul by T. Thompson (drawn by K. Durant),,84-94,,
6:45.0,,,84-94,,K. Love enters the game for T. Mozgov
6:45.0,K. Durant makes free throw 1 of 1,1,85-94,,
6:25.0,,,85-94,,K. Irving misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by D. Waiters,,85-94,,
6:08.0,Turnover by D. Waiters (bad pass; steal by L. James),,85-94,,
5:48.0,,,85-94,,L. James misses 2-pt shot from 20 ft
5:46.0,Defensive rebound by N. Collison,,85-94,,
5:41.0,D. Waiters misses 3-pt shot from 22 ft,,85-94,,
5:40.0,,,85-94,,Defensive rebound by K. Love
5:18.0,,,85-94,,L. James misses 2-pt shot from 9 ft
5:18.0,,,85-94,,Offensive rebound by T. Thompson
5:18.0,,,85-94,,Shooting foul by N. Collison (drawn by T. Thompson)
5:18.0,Official timeout,,85-94,,
5:18.0,K. Perkins enters the game for N. Collison,,85-94,,
5:18.0,,,85-94,,T. Thompson misses free throw 1 of 2
5:18.0,,,85-94,,Offensive rebound by Team
5:18.0,,,85-94,,T. Thompson misses free throw 2 of 2
5:16.0,Defensive rebound by K. Perkins,,85-94,,
5:09.0,Shooting foul by J. Smith (drawn by K. Durant),,85-94,,
5:09.0,K. Durant makes free throw 1 of 3,1,86-94,,
5:09.0,K. Durant misses free throw 2 of 3,,86-94,,
5:09.0,Offensive rebound by Team,,86-94,,
5:09.0,K. Durant misses free throw 3 of 3,,86-94,,
5:08.0,,,86-94,,Defensive rebound by J. Smith
4:54.0,,,86-94,,K. Love misses 3-pt shot from 24 ft
4:54.0,,,86-94,,Offensive rebound by Team
4:54.0,Loose ball foul by S. Ibaka (drawn by T. Thompson),,86-94,,
4:36.0,,,86-94,,Shooting foul by K. Perkins (drawn by K. Love)
4:36.0,,,86-94,,K. Love misses free throw 1 of 2
4:36.0,,,86-94,,Offensive rebound by Team
4:36.0,,,86-95,1,K. Love makes free throw 2 of 2
4:29.0,Turnover by K. Perkins (offensive foul),,86-95,,
4:29.0,Offensive foul by K. Perkins,,86-95,,
4:10.0,,,86-97,2,L. James makes 2-pt shot from 14 ft
4:04.0,R. Westbrook misses 2-pt shot from 5 ft,,86-97,,
4:03.0,Offensive rebound by K. Perkins,,86-97,,
4:02.0,K. Perkins misses 2-pt shot from 4 ft (block by L. James),,86-97,,
4:01.0,Offensive rebound by R. Westbrook,,86-97,,
3:55.0,Shooting foul by L. James (drawn by K. Durant),,86-97,,
3:55.0,K. Durant makes free throw 1 of 2,1,87-97,,
3:55.0,K. Durant makes free throw 2 of 2,1,88-97,,
3:37.0,,,88-100,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
