time,Milwaukee,pts.away,score,pts.home,Toronto
0:35.0,,,23-14,,G. Vasquez misses 2-pt shot from 6 ft
0:34.0,Defensive rebound by K. Martin,,23-14,,
0:13.0,K. Martin misses 2-pt shot from 7 ft,,23-14,,
0:12.0,Offensive rebound by G. Antetokounmpo,,23-14,,
0:10.0,,,23-14,,Personal foul by T. Ross (drawn by G. Antetokounmpo)
0:01.0,J. Bayless misses 2-pt shot from 19 ft,,23-14,,
0:00.0,,,23-14,,Defensive rebound by P. Patterson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-16,2,P. Patterson makes 2-pt shot from 8 ft (assist by G. Vasquez)
11:34.0,,,23-16,,Personal foul by G. Vasquez (drawn by O. Mayo)
11:26.0,O. Mayo misses 2-pt shot from 19 ft,,23-16,,
11:25.0,,,23-16,,Defensive rebound by T. Hansbrough
11:13.0,Personal foul by J. O'Bryant (drawn by L. Williams),,23-16,,
11:00.0,,,23-16,,L. Williams misses 3-pt shot from 26 ft
10:59.0,,,23-16,,Offensive rebound by P. Patterson
10:59.0,,,23-16,,Turnover by Team (shot clock)
10:50.0,K. Middleton makes 2-pt shot from 1 ft (assist by J. Bayless),2,25-16,,
10:31.0,,,25-16,,L. Williams misses 2-pt shot from 9 ft
10:30.0,Defensive rebound by K. Middleton,,25-16,,
10:14.0,,,25-16,,Def 3 sec tech foul by T. Hansbrough
10:14.0,J. Bayless misses technical free throw,,25-16,,
10:14.0,Offensive rebound by Team,,25-16,,
10:14.0,,,25-16,,K. Lowry enters the game for G. Vasquez
10:00.0,O. Mayo makes 2-pt shot from 16 ft,2,27-16,,
9:35.0,,,27-16,,T. Ross misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by O. Mayo,,27-16,,
9:28.0,O. Mayo misses 2-pt shot from 15 ft,,27-16,,
9:27.0,Offensive rebound by J. O'Bryant,,27-16,,
9:23.0,O. Mayo misses 2-pt shot from 6 ft,,27-16,,
9:22.0,,,27-16,,Defensive rebound by P. Patterson
9:17.0,,,27-16,,Shooting foul by K. Martin (drawn by L. Williams)
9:17.0,,,27-16,,L. Williams misses free throw 1 of 2
9:17.0,,,27-16,,Offensive rebound by Team
9:17.0,,,27-16,,J. Valanciunas enters the game for T. Hansbrough
9:17.0,J. Henson enters the game for K. Martin,,27-16,,
9:17.0,,,27-17,1,L. Williams makes free throw 2 of 2
8:59.0,J. O'Bryant misses 2-pt shot from 20 ft,,27-17,,
8:58.0,,,27-17,,Defensive rebound by T. Ross
8:51.0,,,27-17,,P. Patterson misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by J. Bayless,,27-17,,
8:40.0,J. O'Bryant misses 2-pt shot from 2 ft (block by J. Valanciunas),,27-17,,
8:38.0,Offensive rebound by J. O'Bryant,,27-17,,
8:36.0,Turnover by J. O'Bryant (lost ball; steal by K. Lowry),,27-17,,
8:32.0,,,27-17,,Turnover by L. Williams (traveling)
8:32.0,Official timeout,,27-17,,
8:32.0,J. Dudley enters the game for J. O'Bryant,,27-17,,
8:26.0,Turnover by J. Bayless (bad pass),,27-17,,
8:12.0,,,27-19,2,J. Valanciunas makes 2-pt shot from 3 ft
8:01.0,O. Mayo makes 3-pt shot from 25 ft (assist by J. Bayless),3,30-19,,
7:43.0,,,30-19,,L. Williams misses 2-pt shot from 3 ft (block by J. Henson)
7:42.0,Defensive rebound by J. Henson,,30-19,,
7:32.0,O. Mayo misses 2-pt shot from 7 ft,,30-19,,
7:31.0,,,30-19,,Defensive rebound by J. Valanciunas
7:24.0,,,30-22,3,T. Ross makes 3-pt shot from 27 ft (assist by K. Lowry)
7:06.0,Turnover by J. Henson (step out of bounds),,30-22,,
7:06.0,,,30-22,,D. DeRozan enters the game for L. Williams
7:00.0,,,30-22,,Turnover by P. Patterson (bad pass; steal by K. Middleton)
6:55.0,K. Middleton makes 2-pt shot at rim (assist by J. Henson),2,32-22,,
6:38.0,,,32-24,2,D. DeRozan makes 2-pt shot from 1 ft (assist by T. Ross)
6:24.0,J. Henson makes 2-pt shot from 2 ft (assist by J. Bayless),2,34-24,,
6:13.0,Personal foul by J. Bayless (drawn by K. Lowry),,34-24,,
6:07.0,,,34-24,,D. DeRozan misses 2-pt shot from 17 ft
6:06.0,Defensive rebound by J. Bayless,,34-24,,
6:04.0,,,34-24,,Personal foul by D. DeRozan (drawn by J. Bayless)
5:46.0,J. Dudley misses 3-pt shot from 26 ft,,34-24,,
5:44.0,,,34-24,,Defensive rebound by K. Lowry
5:39.0,,,34-24,,Turnover by K. Lowry (bad pass)
5:39.0,,,34-24,,Toronto full timeout
5:31.0,K. Middleton misses 2-pt shot from 19 ft,,34-24,,
5:30.0,,,34-24,,Defensive rebound by K. Lowry
5:19.0,,,34-24,,K. Lowry misses 2-pt shot from 1 ft
5:17.0,,,34-24,,Offensive rebound by K. Lowry
5:15.0,,,34-26,2,K. Lowry makes 2-pt shot from 1 ft
5:00.0,Shooting foul by D. DeRozan (drawn by J. Henson),,34-26,,
5:00.0,J. Henson makes free throw 1 of 2,1,35-26,,
5:00.0,G. Antetokounmpo enters the game for K. Middleton,,35-26,,
5:00.0,J. Henson makes free throw 2 of 2,1,36-26,,
4:50.0,,,36-28,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by T. Ross)
4:36.0,O. Mayo misses 2-pt shot from 6 ft,,36-28,,
4:35.0,,,36-28,,Defensive rebound by P. Patterson
4:25.0,,,36-28,,Turnover by K. Lowry (bad pass; steal by J. Henson)
4:08.0,O. Mayo misses 3-pt shot from 22 ft,,36-28,,
4:08.0,Offensive rebound by Team,,36-28,,
4:08.0,,,36-28,,Loose ball foul by J. Valanciunas (drawn by J. Henson)
4:08.0,Technical foul by O. Mayo,,36-28,,
4:08.0,Technical foul by O. Mayo,,36-28,,
4:08.0,,,36-29,1,D. DeRozan makes technical free throw
4:08.0,,,36-30,1,D. DeRozan makes technical free throw
4:08.0,,,36-30,,A. Johnson enters the game for P. Patterson
4:08.0,J. Gutierrez enters the game for O. Mayo,,36-30,,
3:59.0,Shooting foul by A. Johnson (drawn by G. Antetokounmpo),,36-30,,
3:59.0,G. Antetokounmpo misses free throw 1 of 2,,36-30,,
3:59.0,Offensive rebound by Team,,36-30,,
3:59.0,G. Antetokounmpo misses free throw 2 of 2,,36-30,,
3:59.0,,,36-30,,Defensive rebound by A. Johnson
3:37.0,,,36-30,,T. Ross misses 3-pt shot from 24 ft
3:36.0,,,36-30,,Offensive rebound by Team
3:36.0,K. Martin enters the game for J. Henson,,36-30,,
3:33.0,,,36-32,2,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry)
3:13.0,J. Dudley makes 2-pt shot from 18 ft,2,38-32,,
2:52.0,,,38-34,2,D. DeRozan makes 2-pt shot from 14 ft
2:40.0,J. Bayless misses 2-pt shot from 20 ft,,38-34,,
2:39.0,,,38-34,,Defensive rebound by J. Valanciunas
2:33.0,Personal block foul by J. Gutierrez (drawn by K. Lowry),,38-34,,
2:33.0,Milwaukee full timeout,,38-34,,
2:32.0,Personal foul by G. Antetokounmpo (drawn by D. DeRozan),,38-34,,
2:32.0,,,38-35,1,D. DeRozan makes free throw 1 of 2
2:32.0,,,38-36,1,D. DeRozan makes free throw 2 of 2
2:26.0,,,38-36,,Personal foul by A. Johnson (drawn by J. Dudley)
2:26.0,J. Dudley makes free throw 1 of 2,1,39-36,,
2:26.0,J. Dudley misses free throw 2 of 2,,39-36,,
2:25.0,,,39-36,,Defensive rebound by J. Valanciunas
2:10.0,,,39-36,,D. DeRozan misses 2-pt shot from 16 ft
2:09.0,Defensive rebound by J. Gutierrez,,39-36,,
1:58.0,K. Martin makes 2-pt shot from 4 ft (assist by J. Dudley),2,41-36,,
1:34.0,,,41-36,,Turnover by J. Valanciunas (lost ball; steal by J. Gutierrez)
1:29.0,J. Gutierrez misses 2-pt shot from 2 ft,,41-36,,
1:28.0,Offensive rebound by G. Antetokounmpo,,41-36,,
1:25.0,G. Antetokounmpo makes 2-pt shot at rim,2,43-36,,
1:08.0,,,43-39,3,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry)
0:57.0,Offensive foul by J. Gutierrez,,43-39,,
0:57.0,Turnover by J. Gutierrez (offensive foul),,43-39,,
0:42.0,,,43-39,,Turnover by A. Johnson (lost ball)
0:42.0,,,43-39,,Loose ball foul by A. Johnson (drawn by G. Antetokounmpo)
0:42.0,G. Antetokounmpo makes free throw 1 of 2,1,44-39,,
0:42.0,,,44-39,,P. Patterson enters the game for A. Johnson
0:42.0,G. Antetokounmpo makes free throw 2 of 2,1,45-39,,
0:20.0,,,45-39,,K. Lowry misses 3-pt shot from 23 ft
0:19.0,,,45-39,,Offensive rebound by P. Patterson
0:18.0,,,45-39,,P. Patterson misses 2-pt shot from 1 ft
0:18.0,,,45-39,,Offensive rebound by P. Patterson
0:18.0,Personal foul by G. Antetokounmpo (drawn by P. Patterson),,45-39,,
0:18.0,,,45-40,1,P. Patterson makes free throw 1 of 2
0:18.0,,,45-40,,T. Hansbrough enters the game for J. Valanciunas
0:18.0,,,45-40,,G. Vasquez enters the game for D. DeRozan
0:18.0,,,45-41,1,P. Patterson makes free throw 2 of 2
0:00.0,J. Bayless makes 2-pt shot from 2 ft,2,47-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-41,,D. DeRozan misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by K. Middleton,,47-41,,
11:29.0,K. Middleton makes 2-pt shot from 18 ft (assist by J. Gutierrez),2,49-41,,
11:19.0,,,49-41,,Shooting foul by J. Gutierrez (drawn by D. DeRozan)
11:19.0,,,49-41,,D. DeRozan misses free throw 1 of 2
11:19.0,,,49-41,,Offensive rebound by Team
11:19.0,,,49-42,1,D. DeRozan makes free throw 2 of 2
11:03.0,J. Henson makes 2-pt shot from 9 ft (assist by G. Antetokounmpo),2,51-42,,
10:40.0,,,51-42,,K. Lowry misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by G. Antetokounmpo,,51-42,,
10:33.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,54-42,,
10:09.0,,,54-44,2,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry)
9:54.0,J. Dudley misses 2-pt shot from 15 ft,,54-44,,
9:53.0,,,54-44,,Defensive rebound by D. DeRozan
9:44.0,,,54-44,,D. DeRozan misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by G. Antetokounmpo,,54-44,,
9:30.0,J. Dudley makes 3-pt shot from 26 ft (assist by J. Gutierrez),3,57-44,,
9:21.0,,,57-44,,Toronto full timeout
9:04.0,,,57-44,,D. DeRozan misses 2-pt shot from 20 ft
9:03.0,,,57-44,,Offensive rebound by J. Valanciunas
9:02.0,Personal foul by J. Dudley (drawn by J. Valanciunas),,57-44,,
8:53.0,,,57-44,,D. DeRozan misses 2-pt shot from 5 ft
8:52.0,Defensive rebound by G. Antetokounmpo,,57-44,,
8:43.0,,,57-44,,Personal block foul by D. DeRozan (drawn by G. Antetokounmpo)
8:35.0,J. Dudley misses 2-pt shot from 19 ft,,57-44,,
8:34.0,,,57-44,,Defensive rebound by J. Valanciunas
8:26.0,,,57-47,3,G. Vasquez makes 3-pt shot from 26 ft (assist by K. Lowry)
8:11.0,Shooting foul by G. Vasquez (drawn by K. Middleton),,57-47,,
8:11.0,K. Middleton makes free throw 1 of 2,1,58-47,,
8:11.0,K. Middleton makes free throw 2 of 2,1,59-47,,
7:56.0,,,59-47,,G. Vasquez misses 2-pt shot from 6 ft
7:55.0,Defensive rebound by G. Antetokounmpo,,59-47,,
7:36.0,K. Middleton misses 2-pt shot from 13 ft,,59-47,,
7:35.0,,,59-47,,Defensive rebound by A. Johnson
7:20.0,,,59-49,2,G. Vasquez makes 2-pt shot from 4 ft (assist by D. DeRozan)
6:55.0,J. Henson misses 2-pt shot from 14 ft,,59-49,,
6:54.0,,,59-49,,Defensive rebound by J. Valanciunas
6:39.0,,,59-49,,Offensive charge foul by G. Vasquez
6:39.0,,,59-49,,Turnover by G. Vasquez (offensive foul)
6:39.0,,,59-49,,P. Patterson enters the game for A. Johnson
6:39.0,,,59-49,,L. Williams enters the game for G. Vasquez
6:18.0,J. Henson makes 2-pt shot from 1 ft (assist by J. Dudley),2,61-49,,
5:50.0,,,61-49,,P. Patterson misses 3-pt shot from 23 ft
5:50.0,Defensive rebound by G. Antetokounmpo,,61-49,,
5:40.0,K. Middleton makes 2-pt shot from 18 ft,2,63-49,,
5:13.0,,,63-49,,Turnover by D. DeRozan (bad pass; steal by K. Middleton)
4:48.0,G. Antetokounmpo misses 3-pt shot from 27 ft,,63-49,,
4:48.0,Offensive rebound by Team,,63-49,,
4:48.0,Turnover by Team (shot clock),,63-49,,
4:48.0,,,63-49,,T. Ross enters the game for J. Valanciunas
4:48.0,K. Martin enters the game for J. Henson,,63-49,,
4:48.0,J. Bayless enters the game for J. Gutierrez,,63-49,,
4:36.0,,,63-51,2,D. DeRozan makes 2-pt shot from 4 ft
4:21.0,K. Martin misses 2-pt shot from 1 ft,,63-51,,
4:19.0,Offensive rebound by K. Martin,,63-51,,
4:08.0,,,63-51,,Personal foul by T. Ross (drawn by G. Antetokounmpo)
3:56.0,J. Bayless makes 2-pt shot from 20 ft,2,65-51,,
3:42.0,Personal foul by J. Bayless (drawn by L. Williams),,65-51,,
3:31.0,,,65-51,,D. DeRozan misses 3-pt shot from 22 ft
3:30.0,Defensive rebound by K. Middleton,,65-51,,
3:22.0,J. Dudley misses 3-pt shot from 25 ft,,65-51,,
3:21.0,,,65-51,,Defensive rebound by P. Patterson
3:12.0,,,65-51,,T. Ross misses 2-pt shot from 19 ft
3:11.0,Defensive rebound by K. Middleton,,65-51,,
3:05.0,Milwaukee full timeout,,65-51,,
3:05.0,,,65-51,,G. Vasquez enters the game for K. Lowry
2:49.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Bayless),3,68-51,,
2:33.0,,,68-51,,Shooting foul by G. Antetokounmpo (drawn by L. Williams)
2:33.0,,,68-52,1,L. Williams makes free throw 1 of 2
2:33.0,J. Gutierrez enters the game for G. Antetokounmpo,,68-52,,
2:33.0,,,68-52,,T. Hansbrough enters the game for D. DeRozan
2:33.0,,,68-53,1,L. Williams makes free throw 2 of 2
2:25.0,K. Middleton makes 3-pt shot from 24 ft (assist by J. Bayless),3,71-53,,
1:59.0,,,71-53,,L. Williams misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by J. Bayless,,71-53,,
1:45.0,Turnover by J. Bayless (bad pass; steal by P. Patterson),,71-53,,
1:27.0,,,71-55,2,T. Ross makes 2-pt shot at rim (assist by P. Patterson)
1:07.0,J. Dudley misses 3-pt shot from 25 ft,,71-55,,
1:06.0,,,71-55,,Defensive rebound by T. Ross
1:00.0,,,71-55,,G. Vasquez misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by K. Middleton,,71-55,,
0:55.0,Offensive charge foul by K. Middleton,,71-55,,
0:55.0,Turnover by K. Middleton (offensive foul),,71-55,,
0:39.0,,,71-58,3,L. Williams makes 3-pt shot from 26 ft
0:26.0,J. Bayless makes 2-pt shot from 20 ft,2,73-58,,
0:02.0,Shooting block foul by J. Dudley (drawn by L. Williams),,73-58,,
0:02.0,,,73-59,1,L. Williams makes free throw 1 of 2
0:02.0,,,73-60,1,L. Williams makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,K. Martin makes 2-pt shot from 1 ft (assist by K. Middleton),2,75-60,,
11:26.0,,,75-60,,T. Ross misses 2-pt shot from 2 ft (block by K. Martin)
11:23.0,Defensive rebound by J. Bayless,,75-60,,
11:15.0,J. Bayless misses 2-pt shot from 19 ft,,75-60,,
11:14.0,,,75-60,,Defensive rebound by T. Ross
11:09.0,Shooting block foul by J. Bayless (drawn by L. Williams),,75-60,,
11:09.0,,,75-61,1,L. Williams makes free throw 1 of 2
11:09.0,,,75-62,1,L. Williams makes free throw 2 of 2
10:55.0,Turnover by K. Martin (bad pass; steal by T. Hansbrough),,75-62,,
10:47.0,,,75-62,,T. Ross misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by K. Middleton,,75-62,,
10:22.0,Turnover by J. Bayless (bad pass; steal by T. Hansbrough),,75-62,,
10:12.0,,,75-65,3,P. Patterson makes 3-pt shot from 23 ft (assist by G. Vasquez)
9:49.0,K. Middleton misses 2-pt shot from 20 ft,,75-65,,
9:48.0,,,75-65,,Defensive rebound by G. Vasquez
9:29.0,,,75-65,,L. Williams misses 3-pt shot from 27 ft
9:28.0,Defensive rebound by K. Martin,,75-65,,
9:06.0,J. O'Bryant misses 2-pt shot from 19 ft,,75-65,,
9:05.0,Offensive rebound by J. Gutierrez,,75-65,,
9:03.0,J. Gutierrez misses 2-pt shot from 1 ft,,75-65,,
9:01.0,,,75-65,,Defensive rebound by T. Hansbrough
8:55.0,,,75-65,,T. Ross misses 3-pt shot from 23 ft
8:54.0,Defensive rebound by J. O'Bryant,,75-65,,
8:34.0,K. Middleton misses 3-pt shot from 25 ft,,75-65,,
8:33.0,,,75-65,,Defensive rebound by G. Vasquez
8:25.0,,,75-68,3,G. Vasquez makes 3-pt shot from 26 ft (assist by P. Patterson)
8:24.0,Milwaukee full timeout,,75-68,,
8:24.0,J. Dudley enters the game for K. Middleton,,75-68,,
8:24.0,G. Antetokounmpo enters the game for K. Martin,,75-68,,
8:24.0,J. Henson enters the game for J. O'Bryant,,75-68,,
8:07.0,Turnover by J. Gutierrez (lost ball),,75-68,,
7:53.0,,,75-68,,L. Williams misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by J. Henson,,75-68,,
7:35.0,,,75-68,,Personal foul by T. Hansbrough (drawn by J. Henson)
7:22.0,J. Gutierrez misses 3-pt shot from 26 ft,,75-68,,
7:21.0,,,75-68,,Defensive rebound by T. Hansbrough
7:04.0,,,75-68,,G. Vasquez misses 2-pt shot from 6 ft
7:03.0,,,75-68,,Offensive rebound by P. Patterson
6:59.0,,,75-70,2,P. Patterson makes 2-pt shot from 3 ft
6:46.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,75-70,,
6:45.0,,,75-70,,Defensive rebound by P. Patterson
6:39.0,,,75-70,,Turnover by L. Williams (bad pass)
6:19.0,J. Bayless misses 2-pt shot from 13 ft,,75-70,,
6:18.0,Offensive rebound by J. Gutierrez,,75-70,,
5:54.0,J. Gutierrez misses 3-pt shot from 23 ft,,75-70,,
5:54.0,,,75-70,,Defensive rebound by Team
5:54.0,Official timeout,,75-70,,
5:54.0,K. Middleton enters the game for J. Gutierrez,,75-70,,
5:42.0,,,75-70,,Shooting foul by J. Dudley (drawn by T. Hansbrough)
5:42.0,,,75-71,1,T. Hansbrough makes free throw 1 of 2
5:42.0,,,75-71,,T. Hansbrough misses free throw 2 of 2
5:41.0,Defensive rebound by G. Antetokounmpo,,75-71,,
5:19.0,J. Dudley misses 2-pt shot from 20 ft,,75-71,,
5:18.0,,,75-71,,Defensive rebound by L. Williams
5:09.0,,,75-71,,G. Vasquez misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by G. Antetokounmpo,,75-71,,
4:53.0,J. Bayless misses 2-pt shot from 20 ft,,75-71,,
4:52.0,,,75-71,,Defensive rebound by G. Vasquez
4:36.0,,,75-71,,Shooting foul by J. Dudley (drawn by L. Williams)
4:36.0,,,75-72,1,L. Williams makes free throw 1 of 2
4:36.0,,,75-73,1,L. Williams makes free throw 2 of 2
4:14.0,J. Bayless misses 2-pt shot from 19 ft,,75-73,,
4:13.0,Offensive rebound by Team,,75-73,,
4:04.0,J. Henson misses 2-pt shot from 5 ft,,75-73,,
4:03.0,Offensive rebound by Team,,75-73,,
4:03.0,,,75-73,,Loose ball foul by T. Ross (drawn by G. Antetokounmpo)
3:59.0,K. Middleton misses 2-pt shot from 19 ft,,75-73,,
3:58.0,,,75-73,,Defensive rebound by T. Hansbrough
3:45.0,,,75-73,,L. Williams misses 2-pt shot from 3 ft
3:35.0,,,75-73,,Offensive rebound by T. Hansbrough
3:33.0,,,75-75,2,T. Hansbrough makes 2-pt shot from 2 ft
3:26.0,Shooting foul by T. Ross (drawn by G. Antetokounmpo),,75-75,,
3:26.0,G. Antetokounmpo misses free throw 1 of 2,,75-75,,
3:26.0,Offensive rebound by Team,,75-75,,
3:26.0,G. Antetokounmpo makes free throw 2 of 2,1,76-75,,
3:11.0,,,76-75,,P. Patterson misses 3-pt shot from 22 ft
3:10.0,Defensive rebound by J. Henson,,76-75,,
