time,Milwaukee,pts.away,score,pts.home,New York
6:22.0,,,11-12,,J. Smith enters the game for C. Aldrich
6:22.0,G. Antetokounmpo misses free throw 2 of 2,,11-12,,
6:21.0,,,11-12,,Defensive rebound by J. Smith
6:05.0,,,11-12,,J. Calderon misses 2-pt shot from 12 ft
6:03.0,Defensive rebound by K. Middleton,,11-12,,
5:46.0,B. Knight misses 2-pt shot from 17 ft,,11-12,,
5:44.0,,,11-12,,Defensive rebound by Q. Acy
5:28.0,,,11-12,,Turnover by J. Calderon (bad pass; steal by J. Dudley)
5:24.0,J. Dudley makes 2-pt shot at rim (assist by B. Knight),2,13-12,,
5:24.0,,,13-12,,New York full timeout
5:24.0,,,13-12,,T. Wear enters the game for Q. Acy
5:24.0,J. Henson enters the game for Z. Pachulia,,13-12,,
5:11.0,,,13-14,2,J. Smith makes 2-pt shot from 1 ft
5:00.0,B. Knight misses 2-pt shot at rim,,13-14,,
4:59.0,Offensive rebound by B. Knight,,13-14,,
4:59.0,B. Knight misses 2-pt shot at rim,,13-14,,
4:58.0,Offensive rebound by B. Knight,,13-14,,
4:57.0,B. Knight makes 2-pt shot from 2 ft,2,15-14,,
4:57.0,Shooting foul by J. Smith (drawn by B. Knight),,15-14,,
4:57.0,B. Knight misses free throw 1 of 1,,15-14,,
4:55.0,,,15-14,,Defensive rebound by J. Smith
4:33.0,,,15-17,3,T. Hardaway makes 3-pt shot from 28 ft (assist by J. Calderon)
4:14.0,J. Henson misses 2-pt shot from 3 ft,,15-17,,
4:12.0,,,15-17,,Defensive rebound by J. Smith
4:07.0,,,15-17,,Turnover by T. Wear (lost ball; steal by K. Middleton)
3:58.0,,,15-17,,Personal foul by J. Smith (drawn by G. Antetokounmpo)
3:58.0,,,15-17,,S. Larkin enters the game for J. Calderon
3:42.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,17-17,,
3:27.0,,,17-17,,J. Smith misses 2-pt shot from 14 ft
3:25.0,Defensive rebound by K. Middleton,,17-17,,
3:16.0,Turnover by B. Knight (bad pass; steal by J. Smith),,17-17,,
3:16.0,Personal foul by J. Henson (drawn by J. Smith),,17-17,,
3:16.0,,,17-17,,P. Prigioni enters the game for J. Smith
2:59.0,,,17-17,,T. Hardaway misses 2-pt shot from 14 ft
2:57.0,Defensive rebound by J. Dudley,,17-17,,
2:44.0,B. Knight misses 2-pt shot from 18 ft,,17-17,,
2:42.0,Offensive rebound by G. Antetokounmpo,,17-17,,
2:38.0,B. Knight misses 3-pt shot from 24 ft,,17-17,,
2:37.0,Offensive rebound by K. Middleton,,17-17,,
2:37.0,K. Middleton makes 2-pt shot from 1 ft,2,19-17,,
2:37.0,Shooting foul by T. Wear (drawn by K. Middleton),,19-17,,
2:37.0,Milwaukee full timeout,,19-17,,
2:37.0,O. Mayo enters the game for B. Knight,,19-17,,
2:37.0,J. Bayless enters the game for O. Mayo,,19-17,,
2:37.0,K. Middleton makes free throw 1 of 1,1,20-17,,
2:18.0,,,20-19,2,T. Hardaway makes 2-pt shot from 2 ft (assist by S. Larkin)
2:03.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by T. Wear),,20-19,,
2:03.0,O. Mayo enters the game for K. Middleton,,20-19,,
2:02.0,Jump ball: G. Antetokounmpo vs. T. Wear (S. Larkin gains possession),,,,Jump ball: G. Antetokounmpo vs. T. Wear (S. Larkin gains possession)
2:02.0,,,20-19,,Defensive rebound by Team
1:50.0,,,20-19,,Turnover by T. Hardaway (bad pass; steal by J. Dudley)
1:35.0,O. Mayo misses 3-pt shot from 23 ft,,20-19,,
1:34.0,,,20-19,,Defensive rebound by T. Wear
1:18.0,,,20-21,2,T. Wear makes 2-pt shot from 8 ft
0:59.0,Turnover by J. Henson (bad pass),,20-21,,
0:59.0,,,20-21,,C. Early enters the game for T. Hardaway
0:42.0,,,20-21,,Turnover by T. Wear (lost ball)
0:23.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,22-21,,
0:01.0,,,22-21,,S. Larkin misses 2-pt shot from 17 ft
0:00.0,,,22-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Henson makes 2-pt shot from 1 ft (assist by O. Mayo),2,24-21,,
11:36.0,Personal foul by K. Marshall (drawn by P. Prigioni),,24-21,,
11:30.0,,,24-21,,Turnover by S. Larkin (bad pass; steal by J. Dudley)
11:22.0,Turnover by J. Dudley (lost ball),,24-21,,
11:02.0,,,24-23,2,S. Larkin makes 2-pt shot from 1 ft (assist by T. Wear)
10:42.0,K. Marshall misses 3-pt shot from 23 ft,,24-23,,
10:39.0,,,24-23,,Defensive rebound by P. Prigioni
10:34.0,,,24-23,,Turnover by P. Prigioni (lost ball; steal by O. Mayo)
10:29.0,K. Marshall makes 2-pt shot from 1 ft (assist by J. Bayless),2,26-23,,
10:16.0,,,26-23,,J. Smith misses 2-pt shot from 3 ft
10:14.0,Defensive rebound by J. Henson,,26-23,,
10:08.0,O. Mayo makes 2-pt shot from 2 ft (assist by J. Bayless),2,28-23,,
9:58.0,Personal foul by J. Henson (drawn by J. Smith),,28-23,,
9:58.0,,,28-23,,Q. Acy enters the game for J. Smith
9:58.0,,,28-23,,J. Smith enters the game for T. Wear
9:58.0,Z. Pachulia enters the game for J. Henson,,28-23,,
9:42.0,,,28-23,,J. Smith misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by Team,,28-23,,
9:32.0,O. Mayo makes 2-pt shot from 16 ft (assist by J. Bayless),2,30-23,,
9:19.0,,,30-23,,Turnover by J. Smith (bad pass)
9:09.0,Turnover by Z. Pachulia (lost ball),,30-23,,
8:48.0,,,30-23,,Q. Acy misses 2-pt shot from 12 ft
8:46.0,Defensive rebound by O. Mayo,,30-23,,
8:44.0,Shooting foul by Q. Acy (drawn by K. Marshall),,30-23,,
8:44.0,Official timeout,,30-23,,
8:44.0,,,30-23,,C. Aldrich enters the game for P. Prigioni
8:44.0,,,30-23,,T. Hardaway enters the game for C. Early
8:44.0,K. Marshall makes free throw 1 of 2,1,31-23,,
8:44.0,K. Marshall makes free throw 2 of 2,1,32-23,,
8:23.0,,,32-23,,Turnover by C. Aldrich (bad pass)
8:08.0,Turnover by K. Marshall (bad pass; steal by C. Aldrich),,32-23,,
7:55.0,Personal foul by O. Mayo (drawn by J. Smith),,32-23,,
7:47.0,,,32-26,3,J. Smith makes 3-pt shot from 23 ft (assist by Q. Acy)
7:30.0,Z. Pachulia misses 2-pt shot from 2 ft,,32-26,,
7:28.0,,,32-26,,Defensive rebound by C. Aldrich
7:28.0,Personal foul by Z. Pachulia (drawn by C. Aldrich),,32-26,,
7:28.0,J. O'Bryant enters the game for J. Dudley,,32-26,,
7:28.0,,,32-26,,J. Calderon enters the game for S. Larkin
7:13.0,,,32-26,,C. Aldrich misses 2-pt shot from 5 ft
7:11.0,Defensive rebound by O. Mayo,,32-26,,
7:05.0,O. Mayo misses 3-pt shot from 24 ft,,32-26,,
7:03.0,,,32-26,,Defensive rebound by Q. Acy
6:51.0,,,32-26,,J. Smith misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by K. Marshall,,32-26,,
6:45.0,O. Mayo misses 2-pt shot from 5 ft,,32-26,,
6:43.0,,,32-26,,Defensive rebound by Q. Acy
6:37.0,,,32-26,,J. Calderon misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by J. Bayless,,32-26,,
6:18.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by O. Mayo),2,34-26,,
6:08.0,,,34-26,,Offensive foul by C. Aldrich
6:08.0,,,34-26,,Turnover by C. Aldrich (offensive foul)
5:57.0,O. Mayo misses 2-pt shot from 14 ft,,34-26,,
5:56.0,,,34-26,,Defensive rebound by Q. Acy
5:56.0,Loose ball foul by Z. Pachulia (drawn by Q. Acy),,34-26,,
5:56.0,,,34-26,,New York full timeout
5:56.0,G. Antetokounmpo enters the game for Z. Pachulia,,34-26,,
5:56.0,B. Knight enters the game for O. Mayo,,34-26,,
5:56.0,,,34-26,,Q. Acy misses free throw 1 of 2
5:56.0,,,34-26,,Offensive rebound by Team
5:56.0,,,34-27,1,Q. Acy makes free throw 2 of 2
5:43.0,J. O'Bryant misses 2-pt shot from 2 ft (block by T. Hardaway),,34-27,,
5:42.0,Offensive rebound by Team,,34-27,,
5:37.0,J. O'Bryant misses 2-pt shot from 13 ft,,34-27,,
5:35.0,,,34-27,,Defensive rebound by J. Smith
5:28.0,,,34-27,,J. Smith misses 2-pt shot from 12 ft
5:27.0,Defensive rebound by K. Marshall,,34-27,,
5:19.0,B. Knight makes 2-pt shot at rim (assist by K. Marshall),2,36-27,,
5:03.0,Personal foul by J. Bayless (drawn by T. Hardaway),,36-27,,
5:03.0,,,36-27,,T. Hardaway misses free throw 1 of 2
5:03.0,,,36-27,,Offensive rebound by Team
5:03.0,,,36-28,1,T. Hardaway makes free throw 2 of 2
4:47.0,K. Marshall makes 2-pt shot from 1 ft,2,38-28,,
4:32.0,,,38-28,,T. Hardaway misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by G. Antetokounmpo,,38-28,,
4:26.0,Shooting foul by J. Calderon (drawn by B. Knight),,38-28,,
4:26.0,B. Knight makes free throw 1 of 2,1,39-28,,
4:26.0,B. Knight makes free throw 2 of 2,1,40-28,,
4:16.0,Personal foul by G. Antetokounmpo (drawn by J. Calderon),,40-28,,
4:16.0,,,40-29,1,J. Calderon makes free throw 1 of 2
4:16.0,,,40-30,1,J. Calderon makes free throw 2 of 2
3:59.0,J. O'Bryant misses 2-pt shot from 18 ft,,40-30,,
3:57.0,,,40-30,,Defensive rebound by C. Aldrich
3:41.0,,,40-30,,Turnover by C. Aldrich (bad pass)
3:41.0,K. Middleton enters the game for K. Marshall,,40-30,,
3:31.0,Turnover by B. Knight (lost ball; steal by Q. Acy),,40-30,,
3:27.0,,,40-32,2,Q. Acy makes 2-pt shot at rim
3:08.0,Shooting foul by T. Hardaway (drawn by G. Antetokounmpo),,40-32,,
3:08.0,G. Antetokounmpo makes free throw 1 of 2,1,41-32,,
3:08.0,,,41-32,,J. Smith enters the game for C. Aldrich
3:08.0,G. Antetokounmpo makes free throw 2 of 2,1,42-32,,
2:59.0,Personal foul by J. Bayless (drawn by J. Calderon),,42-32,,
2:59.0,Milwaukee full timeout,,42-32,,
2:59.0,,,42-32,,T. Wear enters the game for J. Smith
2:59.0,J. Dudley enters the game for J. O'Bryant,,42-32,,
2:59.0,,,42-33,1,J. Calderon makes free throw 1 of 2
2:59.0,,,42-34,1,J. Calderon makes free throw 2 of 2
2:36.0,Offensive foul by G. Antetokounmpo,,42-34,,
2:36.0,Turnover by G. Antetokounmpo (offensive foul),,42-34,,
2:19.0,,,42-36,2,J. Smith makes 2-pt shot from 20 ft
1:59.0,J. Bayless misses 2-pt shot from 16 ft,,42-36,,
1:57.0,,,42-36,,Defensive rebound by Q. Acy
1:38.0,,,42-36,,Q. Acy misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by K. Middleton,,42-36,,
1:28.0,J. Bayless makes 3-pt shot from 23 ft (assist by B. Knight),3,45-36,,
1:08.0,,,45-36,,J. Smith misses 2-pt shot from 16 ft
1:06.0,Defensive rebound by J. Bayless,,45-36,,
1:00.0,J. Dudley misses 3-pt shot from 25 ft,,45-36,,
0:58.0,,,45-36,,Defensive rebound by J. Calderon
0:55.0,,,45-38,2,Q. Acy makes 2-pt shot at rim (assist by J. Calderon)
0:38.0,K. Marshall enters the game for G. Antetokounmpo,,45-38,,
0:38.0,,,45-38,,S. Larkin enters the game for T. Hardaway
0:31.0,Turnover by J. Dudley (lost ball; steal by J. Calderon),,45-38,,
0:21.0,,,45-38,,New York full timeout
0:05.0,,,45-38,,T. Wear misses 2-pt shot from 20 ft
0:03.0,Defensive rebound by J. Dudley,,45-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,K. Middleton misses 2-pt shot from 21 ft,,45-38,,
11:41.0,,,45-38,,Defensive rebound by J. Smith
11:25.0,,,45-38,,Turnover by C. Aldrich (lost ball; steal by K. Middleton)
11:15.0,B. Knight misses 2-pt shot from 2 ft,,45-38,,
11:13.0,,,45-38,,Defensive rebound by J. Calderon
11:00.0,,,45-38,,T. Hardaway misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by G. Antetokounmpo,,45-38,,
10:51.0,J. O'Bryant makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,47-38,,
10:51.0,Shooting foul by Q. Acy (drawn by J. O'Bryant),,47-38,,
10:51.0,J. O'Bryant makes free throw 1 of 1,1,48-38,,
10:32.0,,,48-38,,C. Aldrich misses 2-pt shot from 2 ft
10:30.0,,,48-38,,Offensive rebound by Q. Acy
10:26.0,,,48-40,2,C. Aldrich makes 2-pt shot at rim (assist by T. Hardaway)
10:05.0,J. O'Bryant makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,50-40,,
9:49.0,,,50-42,2,C. Aldrich makes 2-pt shot from 2 ft (assist by J. Smith)
9:34.0,Z. Pachulia makes 2-pt shot from 10 ft (assist by J. O'Bryant),2,52-42,,
9:17.0,,,52-45,3,T. Hardaway makes 3-pt shot from 25 ft (assist by Q. Acy)
8:55.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Middleton),2,54-45,,
8:55.0,,,54-45,,Loose ball foul by Q. Acy (drawn by J. O'Bryant)
8:55.0,J. O'Bryant misses free throw 1 of 1,,54-45,,
8:50.0,Offensive rebound by Z. Pachulia,,54-45,,
8:38.0,,,54-45,,Personal foul by J. Smith (drawn by K. Middleton)
8:38.0,,,54-45,,Technical foul by J. Smith (drawn by K. Middleton)
8:38.0,B. Knight makes technical free throw,1,55-45,,
8:38.0,,,55-45,,J. Smith enters the game for C. Aldrich
8:38.0,K. Middleton makes free throw 1 of 2,1,56-45,,
8:38.0,K. Middleton makes free throw 2 of 2,1,57-45,,
8:28.0,,,57-45,,J. Calderon misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by G. Antetokounmpo,,57-45,,
8:10.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by K. Middleton),3,60-45,,
8:07.0,,,60-45,,New York full timeout
7:54.0,,,60-45,,J. Calderon misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by Z. Pachulia,,60-45,,
7:41.0,K. Middleton misses 2-pt shot from 3 ft,,60-45,,
7:39.0,Offensive rebound by J. O'Bryant,,60-45,,
7:38.0,J. O'Bryant misses 2-pt shot from 5 ft,,60-45,,
7:36.0,,,60-45,,Defensive rebound by T. Hardaway
7:30.0,Personal foul by K. Middleton (drawn by J. Smith),,60-45,,
7:19.0,,,60-45,,J. Smith misses 2-pt shot from 16 ft
7:18.0,Defensive rebound by G. Antetokounmpo,,60-45,,
7:04.0,Z. Pachulia misses 2-pt shot from 18 ft,,60-45,,
7:02.0,Offensive rebound by G. Antetokounmpo,,60-45,,
7:02.0,G. Antetokounmpo misses 2-pt shot at rim,,60-45,,
7:01.0,Offensive rebound by G. Antetokounmpo,,60-45,,
6:52.0,J. O'Bryant misses 2-pt shot from 1 ft,,60-45,,
6:50.0,,,60-45,,Defensive rebound by T. Hardaway
6:46.0,,,60-45,,T. Hardaway misses 2-pt shot from 1 ft
6:43.0,,,60-45,,Offensive rebound by J. Smith
6:43.0,,,60-45,,J. Smith misses 2-pt shot at rim
6:42.0,Defensive rebound by Z. Pachulia,,60-45,,
6:39.0,,,60-45,,Personal foul by J. Calderon (drawn by B. Knight)
6:30.0,Z. Pachulia misses 2-pt shot from 11 ft,,60-45,,
6:29.0,,,60-45,,Defensive rebound by J. Smith
6:12.0,,,60-45,,J. Smith misses 2-pt shot from 2 ft (block by J. O'Bryant)
6:10.0,,,60-45,,Offensive rebound by J. Smith
6:05.0,,,60-48,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Calderon)
5:50.0,B. Knight makes 2-pt shot from 2 ft,2,62-48,,
5:50.0,Shooting foul by J. Calderon (drawn by B. Knight),,62-48,,
5:50.0,B. Knight makes free throw 1 of 1,1,63-48,,
5:32.0,,,63-48,,J. Smith misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by G. Antetokounmpo,,63-48,,
5:23.0,Shooting foul by Q. Acy (drawn by J. O'Bryant),,63-48,,
5:23.0,J. O'Bryant misses free throw 1 of 2,,63-48,,
5:23.0,Offensive rebound by Team,,63-48,,
5:23.0,,,63-48,,C. Aldrich enters the game for Q. Acy
5:23.0,,,63-48,,C. Early enters the game for T. Hardaway
5:23.0,J. O'Bryant makes free throw 2 of 2,1,64-48,,
5:02.0,,,64-50,2,J. Smith makes 2-pt shot from 13 ft (assist by J. Calderon)
4:44.0,Z. Pachulia misses 2-pt shot from 12 ft,,64-50,,
4:42.0,Offensive rebound by G. Antetokounmpo,,64-50,,
4:42.0,Offensive foul by G. Antetokounmpo,,64-50,,
4:42.0,Turnover by G. Antetokounmpo (offensive foul),,64-50,,
4:42.0,O. Mayo enters the game for G. Antetokounmpo,,64-50,,
4:35.0,Personal foul by J. O'Bryant (drawn by J. Calderon),,64-50,,
4:23.0,,,64-53,3,J. Smith makes 3-pt shot from 24 ft (assist by C. Early)
4:03.0,K. Middleton makes 3-pt shot from 24 ft (assist by B. Knight),3,67-53,,
3:54.0,Personal foul by K. Middleton (drawn by J. Smith),,67-53,,
3:54.0,J. Bayless enters the game for K. Middleton,,67-53,,
3:44.0,,,67-56,3,C. Early makes 3-pt shot from 24 ft (assist by J. Smith)
3:28.0,Shooting foul by C. Aldrich (drawn by J. O'Bryant),,67-56,,
3:28.0,J. O'Bryant makes free throw 1 of 2,1,68-56,,
3:28.0,,,68-56,,S. Larkin enters the game for J. Calderon
3:28.0,J. O'Bryant makes free throw 2 of 2,1,69-56,,
3:12.0,,,69-58,2,C. Aldrich makes 2-pt shot at rim (assist by J. Smith)
2:58.0,Z. Pachulia makes 2-pt shot from 18 ft (assist by B. Knight),2,71-58,,
2:38.0,,,71-60,2,C. Aldrich makes 2-pt shot from 3 ft (assist by C. Early)
2:22.0,B. Knight makes 3-pt shot from 24 ft,3,74-60,,
2:06.0,,,74-62,2,J. Smith makes 2-pt shot from 2 ft (assist by C. Early)
1:48.0,Turnover by J. Bayless (traveling),,74-62,,
1:48.0,Milwaukee full timeout,,74-62,,
1:48.0,J. Henson enters the game for Z. Pachulia,,74-62,,
1:35.0,,,74-62,,J. Smith misses 2-pt shot from 20 ft
1:32.0,,,74-62,,Offensive rebound by C. Aldrich
1:26.0,,,74-62,,Shooting foul by J. Henson (drawn by J. Smith)
1:26.0,,,74-63,1,J. Smith makes free throw 1 of 2
1:26.0,,,74-64,1,J. Smith makes free throw 2 of 2
1:06.0,B. Knight makes 2-pt shot from 2 ft,2,76-64,,
0:56.0,,,76-64,,J. Smith misses 2-pt shot from 17 ft
0:55.0,,,76-64,,Offensive rebound by C. Aldrich
0:41.0,,,76-64,,J. Smith misses 2-pt shot from 20 ft
0:39.0,,,76-64,,Offensive rebound by S. Larkin
0:28.0,,,76-64,,C. Early misses 3-pt shot from 24 ft (block by O. Mayo)
0:26.0,Defensive rebound by J. Bayless,,76-64,,
0:06.0,O. Mayo misses 3-pt shot from 25 ft,,76-64,,
0:04.0,,,76-64,,Defensive rebound by C. Aldrich
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,76-64,,J. Smith misses 2-pt shot from 5 ft
11:38.0,,,76-64,,Offensive rebound by J. Smith
11:37.0,,,76-64,,S. Larkin misses 3-pt shot from 24 ft
11:36.0,,,76-64,,Offensive rebound by Team
11:36.0,,,76-64,,Turnover by Team (shot clock)
11:26.0,K. Marshall makes 2-pt shot from 1 ft (assist by J. Bayless),2,78-64,,
11:26.0,Shooting foul by J. Calderon (drawn by K. Marshall),,78-64,,
11:26.0,K. Marshall makes free throw 1 of 1,1,79-64,,
11:11.0,,,79-66,2,T. Hardaway makes 2-pt shot from 14 ft (assist by J. Smith)
10:52.0,Turnover by J. Henson (3 sec),,79-66,,
10:42.0,,,79-66,,C. Early misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by O. Mayo,,79-66,,
10:16.0,J. Bayless misses 2-pt shot from 16 ft,,79-66,,
10:14.0,,,79-66,,Defensive rebound by T. Hardaway
10:08.0,Personal foul by J. Henson (drawn by J. Smith),,79-66,,
10:02.0,Personal foul by J. Henson (drawn by J. Smith),,79-66,,
10:02.0,Z. Pachulia enters the game for J. Henson,,79-66,,
9:55.0,,,79-66,,Turnover by C. Early (bad pass; steal by K. Marshall)
9:53.0,,,79-66,,Personal foul by J. Calderon (drawn by J. Bayless)
9:39.0,K. Marshall makes 2-pt shot from 12 ft,2,81-66,,
9:28.0,,,81-66,,Turnover by C. Early (traveling)
9:28.0,,,81-66,,J. Smith enters the game for J. Calderon
9:15.0,J. Dudley misses 2-pt shot from 17 ft,,81-66,,
9:13.0,,,81-66,,Defensive rebound by J. Smith
8:58.0,Official timeout,,81-66,,
8:49.0,,,81-66,,J. Smith misses 2-pt shot from 13 ft
8:48.0,,,81-66,,Offensive rebound by Team
8:48.0,,,81-66,,Turnover by Team (shot clock)
8:35.0,K. Marshall makes 2-pt shot from 13 ft,2,83-66,,
8:22.0,,,83-66,,Shooting foul by Z. Pachulia (drawn by J. Smith)
8:22.0,,,83-67,1,J. Smith makes free throw 1 of 2
8:22.0,,,83-68,1,J. Smith makes free throw 2 of 2
8:05.0,J. Bayless misses 3-pt shot from 24 ft,,83-68,,
8:03.0,,,83-68,,Defensive rebound by C. Early
7:55.0,,,83-70,2,J. Smith makes 2-pt shot from 4 ft
7:39.0,O. Mayo misses 3-pt shot from 25 ft,,83-70,,
7:37.0,,,83-70,,Defensive rebound by J. Smith
7:27.0,,,83-72,2,J. Smith makes 2-pt shot from 18 ft (assist by T. Hardaway)
7:07.0,J. Bayless misses 3-pt shot from 22 ft,,83-72,,
7:05.0,Offensive rebound by Z. Pachulia,,83-72,,
6:54.0,Shooting foul by J. Smith (drawn by Z. Pachulia),,83-72,,
6:54.0,Z. Pachulia makes free throw 1 of 2,1,84-72,,
6:54.0,Z. Pachulia makes free throw 2 of 2,1,85-72,,
6:40.0,,,85-72,,C. Early misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by Z. Pachulia,,85-72,,
6:27.0,K. Marshall misses 3-pt shot from 24 ft,,85-72,,
6:25.0,,,85-72,,Defensive rebound by C. Early
6:15.0,,,85-72,,S. Larkin misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by O. Mayo,,85-72,,
6:03.0,,,85-72,,Violation by J. Smith (kicked ball)
5:53.0,K. Marshall makes 2-pt shot from 11 ft,2,87-72,,
5:35.0,,,87-72,,J. Smith misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by Z. Pachulia,,87-72,,
5:11.0,O. Mayo misses 2-pt shot from 4 ft,,87-72,,
5:09.0,,,87-72,,Defensive rebound by J. Smith
5:04.0,,,87-72,,Shooting foul by Z. Pachulia (drawn by T. Hardaway)
5:04.0,,,87-72,,New York full timeout
5:04.0,,,87-72,,T. Wear enters the game for S. Larkin
5:04.0,,,87-72,,Q. Acy enters the game for J. Smith
5:04.0,G. Antetokounmpo enters the game for J. Dudley,,87-72,,
5:04.0,B. Knight enters the game for J. Bayless,,87-72,,
5:04.0,,,87-73,1,T. Hardaway makes free throw 1 of 2
5:04.0,,,87-73,,T. Hardaway misses free throw 2 of 2
5:02.0,Defensive rebound by Z. Pachulia,,87-73,,
4:47.0,Turnover by O. Mayo (bad pass; steal by C. Early),,87-73,,
4:34.0,,,87-73,,T. Wear misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by Z. Pachulia,,87-73,,
4:21.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,89-73,,
3:58.0,,,89-75,2,C. Early makes 2-pt shot from 1 ft (assist by T. Wear)
3:34.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,89-75,,
3:32.0,Offensive rebound by G. Antetokounmpo,,89-75,,
3:32.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,91-75,,
3:22.0,,,91-75,,J. Smith misses 2-pt shot from 8 ft
3:21.0,Defensive rebound by Z. Pachulia,,91-75,,
