time,Orlando,pts.away,score,pts.home,Memphis
3:42.0,V. Oladipo makes 2-pt shot at rim,2,69-81,,
3:28.0,Personal foul by D. Dedmon (drawn by Z. Randolph),,69-81,,
3:28.0,,,69-81,,B. Udrih enters the game for M. Conley
3:28.0,K. O'Quinn enters the game for D. Dedmon,,69-81,,
3:21.0,,,69-83,2,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol)
3:07.0,K. O'Quinn misses 3-pt shot from 23 ft,,69-83,,
3:06.0,,,69-83,,Defensive rebound by M. Gasol
2:55.0,,,69-85,2,B. Udrih makes 2-pt shot from 14 ft
2:50.0,Orlando full timeout,,69-85,,
2:50.0,W. Green enters the game for E. Payton,,69-85,,
2:40.0,T. Harris misses 2-pt shot from 6 ft,,69-85,,
2:38.0,,,69-85,,Defensive rebound by C. Lee
2:21.0,,,69-85,,Shooting foul by W. Green (drawn by C. Lee)
2:21.0,,,69-86,1,C. Lee makes free throw 1 of 2
2:21.0,,,69-87,1,C. Lee makes free throw 2 of 2
2:01.0,W. Green makes 2-pt shot from 20 ft (assist by K. O'Quinn),2,71-87,,
1:37.0,,,71-89,2,Z. Randolph makes 2-pt shot at rim (assist by B. Udrih)
1:16.0,Turnover by K. O'Quinn (bad pass; steal by J. Green),,71-89,,
0:58.0,,,71-89,,Z. Randolph misses 3-pt shot from 22 ft
0:57.0,Defensive rebound by T. Harris,,71-89,,
0:47.0,,,71-89,,V. Carter enters the game for J. Green
0:35.0,V. Oladipo makes 2-pt shot from 2 ft,2,73-89,,
0:18.0,,,73-89,,Z. Randolph misses 3-pt shot from 24 ft
0:17.0,,,73-89,,Offensive rebound by B. Udrih
0:00.0,,,73-89,,V. Carter misses 2-pt shot from 23 ft
0:00.0,Defensive rebound by K. O'Quinn,,73-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Personal foul by W. Green (drawn by M. Gasol),,73-89,,
11:40.0,,,73-89,,M. Gasol misses 2-pt shot from 8 ft
11:39.0,Defensive rebound by D. Dedmon,,73-89,,
11:26.0,K. O'Quinn makes 2-pt shot from 18 ft (assist by W. Green),2,75-89,,
11:11.0,Personal foul by K. O'Quinn (drawn by V. Carter),,75-89,,
11:03.0,,,75-91,2,M. Gasol makes 2-pt shot from 1 ft (assist by V. Carter)
10:44.0,,,75-91,,Personal foul by C. Lee (drawn by W. Green)
10:38.0,T. Harris makes 2-pt shot at rim (assist by K. O'Quinn),2,77-91,,
10:23.0,,,77-91,,C. Lee misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by W. Green,,77-91,,
10:12.0,Turnover by T. Harris (traveling),,77-91,,
10:12.0,,,77-91,,N. Calathes enters the game for C. Lee
10:04.0,Violation by D. Dedmon (kicked ball),,77-91,,
9:52.0,,,77-93,2,V. Carter makes 2-pt shot from 16 ft
9:43.0,,,77-93,,Personal foul by V. Carter (drawn by T. Harris)
9:36.0,T. Harris misses 2-pt shot from 7 ft,,77-93,,
9:34.0,,,77-93,,Defensive rebound by V. Carter
9:24.0,,,77-93,,B. Udrih misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by W. Green,,77-93,,
9:15.0,Turnover by W. Green (lost ball; steal by V. Carter),,77-93,,
9:11.0,,,77-95,2,B. Udrih makes 2-pt shot from 1 ft (assist by M. Gasol)
9:10.0,Orlando full timeout,,77-95,,
9:10.0,,,77-95,,K. Koufos enters the game for M. Gasol
