time,Philadelphia,pts.away,score,pts.home,Boston
4:11.0,,,26-51,,Shooting block foul by J. Crowder (drawn by H. Thompson)
4:11.0,H. Thompson makes 2-pt shot at rim,2,28-51,,
4:11.0,,,28-51,,E. Turner enters the game for P. Pressey
4:11.0,H. Thompson makes free throw 1 of 1,1,29-51,,
3:50.0,,,29-51,,Turnover by B. Bass (lost ball; steal by N. Noel)
3:41.0,I. Canaan misses 3-pt shot from 25 ft,,29-51,,
3:40.0,,,29-51,,Defensive rebound by B. Bass
3:35.0,,,29-51,,Boston full timeout
3:35.0,,,29-51,,M. Smart enters the game for J. Crowder
3:35.0,,,29-51,,K. Olynyk enters the game for J. Jerebko
3:20.0,,,29-51,,K. Olynyk misses 2-pt shot from 15 ft
3:19.0,Defensive rebound by I. Canaan,,29-51,,
3:09.0,J. Richardson misses 3-pt shot from 22 ft,,29-51,,
3:08.0,,,29-51,,Defensive rebound by A. Bradley
2:55.0,,,29-53,2,E. Turner makes 2-pt shot at rim
2:41.0,L. Mbah a Moute misses 2-pt shot at rim,,29-53,,
2:40.0,,,29-53,,Defensive rebound by Team
2:23.0,,,29-55,2,E. Turner makes 2-pt shot at rim
1:59.0,H. Thompson makes 3-pt shot from 27 ft (assist by L. Mbah a Moute),3,32-55,,
1:43.0,,,32-55,,Turnover by M. Smart (lost ball; steal by H. Thompson)
1:39.0,Turnover by H. Thompson (bad pass),,32-55,,
1:39.0,I. Smith enters the game for I. Canaan,,32-55,,
1:22.0,,,32-57,2,E. Turner makes 2-pt shot from 10 ft
1:00.0,H. Thompson misses 3-pt shot from 22 ft,,32-57,,
0:59.0,,,32-57,,Defensive rebound by A. Bradley
0:41.0,,,32-57,,M. Smart misses 2-pt shot from 21 ft
0:40.0,,,32-57,,Offensive rebound by Team
0:30.0,,,32-57,,B. Bass misses 2-pt shot from 15 ft
0:29.0,Defensive rebound by N. Noel,,32-57,,
0:05.0,J. Richardson makes 2-pt shot from 3 ft (assist by I. Smith),2,34-57,,
0:01.0,,,34-57,,E. Turner misses 2-pt shot from 16 ft
0:00.0,,,34-57,,Offensive rebound by M. Smart
0:00.0,,,34-57,,M. Smart misses 2-pt shot from 1 ft
0:00.0,,,34-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,N. Noel makes 2-pt shot from 17 ft,2,36-57,,
11:18.0,,,36-57,,B. Bass misses 2-pt shot from 5 ft
11:17.0,Defensive rebound by I. Canaan,,36-57,,
11:09.0,Shooting foul by B. Bass (drawn by L. Mbah a Moute),,36-57,,
11:09.0,L. Mbah a Moute makes free throw 1 of 2,1,37-57,,
11:09.0,L. Mbah a Moute misses free throw 2 of 2,,37-57,,
11:09.0,,,37-57,,Defensive rebound by M. Smart
10:49.0,,,37-57,,T. Zeller misses 2-pt shot at rim
10:48.0,Defensive rebound by L. Mbah a Moute,,37-57,,
10:41.0,Turnover by L. Mbah a Moute (bad pass),,37-57,,
10:30.0,Personal foul by I. Canaan (drawn by M. Smart),,37-57,,
10:28.0,,,37-57,,Turnover by T. Zeller (back court)
10:22.0,,,37-57,,Personal foul by M. Smart (drawn by J. Richardson)
10:11.0,H. Thompson makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,40-57,,
9:51.0,,,40-59,2,T. Zeller makes 2-pt shot from 5 ft (assist by A. Bradley)
9:32.0,L. Mbah a Moute makes 2-pt shot from 4 ft,2,42-59,,
9:18.0,,,42-61,2,A. Bradley makes 2-pt shot from 16 ft (assist by E. Turner)
9:05.0,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by N. Noel),3,45-61,,
8:45.0,,,45-63,2,B. Bass makes 2-pt shot at rim (assist by T. Zeller)
8:28.0,N. Noel makes 2-pt shot from 7 ft (assist by J. Richardson),2,47-63,,
8:19.0,,,47-66,3,A. Bradley makes 3-pt shot from 25 ft (assist by T. Zeller)
8:06.0,N. Noel misses flagrant free throw 1 of 2,,47-66,,
8:06.0,Offensive rebound by Team,,47-66,,
8:06.0,N. Noel makes flagrant free throw 2 of 2,1,48-66,,
7:49.0,Turnover by I. Canaan (offensive foul),,48-66,,
7:49.0,Offensive foul by I. Canaan,,48-66,,
7:39.0,Violation by N. Noel (def goaltending),,48-66,,
7:39.0,,,48-68,2,M. Smart makes 2-pt shot from 5 ft
7:21.0,I. Canaan makes 2-pt shot at rim,2,50-68,,
7:04.0,,,50-70,2,B. Bass makes 2-pt shot from 16 ft (assist by A. Bradley)
6:49.0,Shooting foul by A. Bradley (drawn by L. Mbah a Moute),,50-70,,
6:49.0,L. Mbah a Moute misses free throw 1 of 2,,50-70,,
6:49.0,Offensive rebound by Team,,50-70,,
6:49.0,L. Mbah a Moute misses free throw 2 of 2,,50-70,,
6:47.0,,,50-70,,Defensive rebound by Team
6:41.0,,,50-72,2,T. Zeller makes 2-pt shot at rim (assist by B. Bass)
6:29.0,I. Canaan makes 2-pt shot from 15 ft,2,52-72,,
6:21.0,,,52-74,2,M. Smart makes 2-pt shot at rim
6:21.0,,,52-74,,Shooting foul by L. Mbah a Moute (drawn by M. Smart)
6:21.0,,,52-75,1,M. Smart makes free throw 1 of 1
6:00.0,J. Richardson misses 2-pt shot from 8 ft,,52-75,,
5:59.0,,,52-75,,Defensive rebound by E. Turner
5:57.0,Personal foul by N. Noel (drawn by E. Turner),,52-75,,
5:57.0,,,52-75,,Boston full timeout
5:57.0,I. Smith enters the game for J. Richardson,,52-75,,
5:49.0,,,52-75,,M. Smart misses 2-pt shot from 16 ft
5:48.0,Defensive rebound by N. Noel,,52-75,,
5:32.0,I. Canaan makes 3-pt shot from 27 ft (assist by I. Smith),3,55-75,,
5:13.0,,,55-75,,A. Bradley misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by Team,,55-75,,
5:00.0,I. Smith makes 2-pt shot at rim,2,57-75,,
4:47.0,,,57-75,,E. Turner misses 2-pt shot from 2 ft (block by N. Noel)
4:45.0,Defensive rebound by H. Thompson,,57-75,,
4:39.0,I. Canaan misses 3-pt shot from 25 ft,,57-75,,
4:38.0,,,57-75,,Defensive rebound by M. Smart
4:29.0,,,57-77,2,T. Zeller makes 2-pt shot from 19 ft (assist by M. Smart)
4:14.0,N. Noel misses 2-pt shot from 4 ft,,57-77,,
4:13.0,,,57-77,,Defensive rebound by T. Zeller
4:04.0,,,57-79,2,T. Zeller makes 2-pt shot from 17 ft (assist by A. Bradley)
4:04.0,Philadelphia full timeout,,57-79,,
4:04.0,,,57-79,,P. Pressey enters the game for A. Bradley
4:04.0,,,57-79,,J. Crowder enters the game for E. Turner
4:04.0,R. Covington enters the game for H. Thompson,,57-79,,
4:04.0,T. Robinson enters the game for L. Mbah a Moute,,57-79,,
3:48.0,N. Noel makes 2-pt shot from 16 ft (assist by R. Covington),2,59-79,,
3:28.0,,,59-82,3,M. Smart makes 3-pt shot from 25 ft
3:19.0,I. Smith makes 2-pt shot from 1 ft,2,61-82,,
3:13.0,Personal block foul by I. Smith (drawn by P. Pressey),,61-82,,
3:13.0,,,61-82,,K. Olynyk enters the game for T. Zeller
3:06.0,,,61-82,,M. Smart misses 2-pt shot from 17 ft
3:05.0,Defensive rebound by T. Robinson,,61-82,,
2:53.0,I. Smith makes 2-pt shot from 1 ft,2,63-82,,
2:36.0,,,63-84,2,B. Bass makes 2-pt shot at rim (assist by J. Crowder)
2:20.0,N. Noel misses 2-pt shot from 4 ft,,63-84,,
2:19.0,,,63-84,,Defensive rebound by Team
2:19.0,Loose ball foul by N. Noel (drawn by K. Olynyk),,63-84,,
2:19.0,,,63-84,,K. Olynyk misses free throw 1 of 2
2:19.0,,,63-84,,Offensive rebound by Team
2:19.0,H. Sims enters the game for N. Noel,,63-84,,
2:19.0,J. Grant enters the game for I. Canaan,,63-84,,
2:19.0,,,63-85,1,K. Olynyk makes free throw 2 of 2
2:08.0,Shooting foul by B. Bass (drawn by I. Smith),,63-85,,
2:08.0,I. Smith misses free throw 1 of 2,,63-85,,
2:08.0,Offensive rebound by Team,,63-85,,
2:08.0,,,63-85,,L. Datome enters the game for B. Bass
2:08.0,I. Smith makes free throw 2 of 2,1,64-85,,
1:56.0,,,64-85,,Turnover by P. Pressey (bad pass; steal by R. Covington)
1:50.0,R. Covington misses 2-pt shot at rim (block by L. Datome),,64-85,,
1:47.0,Offensive rebound by I. Smith,,64-85,,
1:46.0,I. Smith makes 2-pt shot from 1 ft,2,66-85,,
1:35.0,,,66-85,,K. Olynyk misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by R. Covington,,66-85,,
1:26.0,T. Robinson makes 2-pt shot at rim (assist by R. Covington),2,68-85,,
1:12.0,Violation by T. Robinson (def goaltending),,68-85,,
1:12.0,,,68-87,2,J. Crowder makes 2-pt shot at rim
0:56.0,I. Smith misses 2-pt shot from 5 ft,,68-87,,
0:53.0,,,68-87,,Defensive rebound by P. Pressey
0:51.0,,,68-87,,Turnover by P. Pressey (lost ball; steal by I. Smith)
0:40.0,R. Covington misses 3-pt shot from 23 ft,,68-87,,
0:40.0,,,68-87,,Defensive rebound by J. Crowder
0:31.0,,,68-89,2,J. Crowder makes 2-pt shot from 19 ft (assist by P. Pressey)
0:08.0,I. Smith misses 2-pt shot from 1 ft,,68-89,,
0:07.0,,,68-89,,Defensive rebound by P. Pressey
0:02.0,,,68-89,,M. Smart misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by R. Covington,,68-89,,
0:00.0,R. Covington misses 3-pt shot from 73 ft,,68-89,,
0:00.0,Offensive rebound by Team,,68-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,68-89,,K. Olynyk misses 2-pt shot from 18 ft
11:47.0,Defensive rebound by H. Sims,,68-89,,
11:43.0,,,68-89,,Personal foul by K. Olynyk (drawn by J. Grant)
11:29.0,I. Smith makes 2-pt shot at rim,2,70-89,,
11:10.0,,,70-89,,L. Datome misses 2-pt shot from 16 ft
11:08.0,Defensive rebound by R. Covington,,70-89,,
11:03.0,T. Robinson misses 2-pt shot at rim,,70-89,,
11:02.0,,,70-89,,Defensive rebound by J. Crowder
10:56.0,,,70-89,,K. Olynyk misses 2-pt shot at rim
10:54.0,Defensive rebound by R. Covington,,70-89,,
10:50.0,,,70-89,,Personal block foul by L. Datome (drawn by R. Covington)
10:50.0,,,70-89,,J. Jerebko enters the game for J. Crowder
10:50.0,,,70-89,,T. Zeller enters the game for K. Olynyk
10:48.0,Turnover by I. Smith (lost ball; steal by P. Pressey),,70-89,,
10:44.0,,,70-91,2,P. Pressey makes 2-pt shot at rim
10:29.0,R. Covington misses 2-pt shot from 16 ft,,70-91,,
10:28.0,Offensive rebound by Team,,70-91,,
10:28.0,,,70-91,,Loose ball foul by T. Zeller (drawn by T. Robinson)
10:23.0,Turnover by H. Sims (3 sec),,70-91,,
10:10.0,,,70-91,,J. Jerebko misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by I. Smith,,70-91,,
10:04.0,Turnover by J. Grant (lost ball; steal by P. Pressey),,70-91,,
10:02.0,Personal foul by R. Covington (drawn by P. Pressey),,70-91,,
9:51.0,,,70-91,,A. Bradley misses 2-pt shot from 16 ft
9:47.0,,,70-91,,Offensive rebound by A. Bradley
9:34.0,,,70-91,,A. Bradley misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by R. Covington,,70-91,,
9:26.0,Turnover by I. Smith (bad pass; steal by P. Pressey),,70-91,,
9:21.0,,,70-93,2,L. Datome makes 2-pt shot at rim (assist by P. Pressey)
9:21.0,Philadelphia full timeout,,70-93,,
9:21.0,H. Thompson enters the game for T. Robinson,,70-93,,
9:07.0,R. Covington misses 2-pt shot from 11 ft,,70-93,,
9:06.0,,,70-93,,Defensive rebound by J. Jerebko
8:49.0,,,70-95,2,T. Zeller makes 2-pt shot from 16 ft (assist by A. Bradley)
8:32.0,I. Smith misses 3-pt shot from 25 ft,,70-95,,
8:29.0,Offensive rebound by H. Sims,,70-95,,
8:24.0,R. Covington makes 3-pt shot from 25 ft (assist by H. Sims),3,73-95,,
8:05.0,Personal foul by H. Sims (drawn by T. Zeller),,73-95,,
7:55.0,,,73-97,2,A. Bradley makes 2-pt shot from 17 ft
7:42.0,H. Sims makes 2-pt shot from 7 ft,2,75-97,,
7:27.0,,,75-97,,Turnover by A. Bradley (bad pass)
7:16.0,,,75-97,,Personal foul by J. Jerebko (drawn by J. Grant)
7:06.0,I. Smith makes 3-pt shot from 25 ft (assist by H. Sims),3,78-97,,
6:44.0,,,78-97,,Turnover by P. Pressey (bad pass; steal by R. Covington)
6:41.0,I. Smith misses 2-pt shot from 1 ft (block by L. Datome),,78-97,,
6:40.0,Offensive rebound by Team,,78-97,,
6:32.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,80-97,,
6:09.0,,,80-99,2,T. Zeller makes 2-pt shot at rim (assist by L. Datome)
6:03.0,Philadelphia full timeout,,80-99,,
6:03.0,,,80-99,,J. Crowder enters the game for J. Jerebko
6:03.0,N. Noel enters the game for H. Sims,,80-99,,
5:44.0,,,80-99,,Personal foul by L. Datome (drawn by R. Covington)
5:44.0,R. Covington makes free throw 1 of 2,1,81-99,,
5:44.0,R. Covington misses free throw 2 of 2,,81-99,,
5:44.0,,,81-99,,Defensive rebound by P. Pressey
5:22.0,,,81-99,,A. Bradley misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by J. Grant,,81-99,,
5:13.0,J. Grant misses 3-pt shot from 26 ft,,81-99,,
5:12.0,Offensive rebound by N. Noel,,81-99,,
5:04.0,J. Grant misses 2-pt shot at rim,,81-99,,
5:03.0,,,81-99,,Defensive rebound by T. Zeller
4:53.0,,,81-99,,P. Pressey misses 2-pt shot from 1 ft (block by I. Smith)
4:52.0,Defensive rebound by Team,,81-99,,
4:38.0,N. Noel misses 2-pt shot from 5 ft,,81-99,,
4:38.0,Offensive rebound by J. Grant,,81-99,,
4:32.0,I. Smith misses 2-pt shot from 3 ft,,81-99,,
4:32.0,Offensive rebound by Team,,81-99,,
4:32.0,,,81-99,,Personal foul by P. Pressey (drawn by N. Noel)
4:32.0,N. Noel makes free throw 1 of 2,1,82-99,,
4:32.0,,,82-99,,M. Smart enters the game for P. Pressey
4:32.0,N. Noel misses free throw 2 of 2,,82-99,,
4:31.0,,,82-99,,Defensive rebound by Team
4:14.0,Personal foul by R. Covington (drawn by L. Datome),,82-99,,
4:12.0,,,82-99,,Turnover by M. Smart (bad pass; steal by N. Noel)
3:55.0,J. Grant misses 3-pt shot from 23 ft,,82-99,,
3:54.0,,,82-99,,Defensive rebound by A. Bradley
3:44.0,,,82-99,,L. Datome misses 2-pt shot from 4 ft
3:43.0,,,82-99,,Offensive rebound by Team
3:43.0,Loose ball foul by N. Noel (drawn by T. Zeller),,82-99,,
3:33.0,,,82-99,,Turnover by L. Datome (lost ball)
3:29.0,Offensive foul by N. Noel,,82-99,,
3:29.0,Turnover by N. Noel (offensive foul),,82-99,,
3:17.0,,,82-101,2,T. Zeller makes 2-pt shot at rim (assist by J. Crowder)
3:01.0,N. Noel misses 2-pt shot from 9 ft,,82-101,,
3:00.0,,,82-101,,Defensive rebound by A. Bradley
2:57.0,Personal foul by R. Covington (drawn by T. Zeller),,82-101,,
