time,Dallas,pts.away,score,pts.home,Portland
6:30.0,R. Jefferson enters the game for D. Nowitzki,,29-28,,
6:30.0,C. Villanueva enters the game for A. Aminu,,29-28,,
6:30.0,,,29-28,,N. Batum enters the game for W. Matthews
6:30.0,,,29-28,,R. Lopez enters the game for C. Kaman
6:30.0,,,29-28,,L. Aldridge enters the game for D. Wright
6:22.0,,,29-28,,Violation by D. Lillard (kicked ball)
6:15.0,A. Stoudemire misses 2-pt shot from 18 ft,,29-28,,
6:14.0,,,29-28,,Defensive rebound by N. Batum
6:01.0,,,29-28,,A. Afflalo misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by Team,,29-28,,
5:50.0,J. Barea misses 2-pt shot from 19 ft,,29-28,,
5:49.0,,,29-28,,Defensive rebound by L. Aldridge
5:43.0,,,29-28,,Offensive charge foul by D. Lillard
5:43.0,,,29-28,,Turnover by D. Lillard (offensive foul)
5:43.0,M. Ellis enters the game for D. Harris,,29-28,,
5:43.0,T. Chandler enters the game for A. Stoudemire,,29-28,,
5:43.0,R. Rondo enters the game for J. Barea,,29-28,,
5:33.0,Turnover by R. Rondo (bad pass),,29-28,,
5:18.0,,,29-28,,A. Afflalo misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by R. Rondo,,29-28,,
5:10.0,C. Villanueva misses 3-pt shot from 25 ft,,29-28,,
5:09.0,,,29-28,,Defensive rebound by D. Lillard
5:04.0,,,29-28,,L. Aldridge misses 2-pt shot from 1 ft
5:02.0,Defensive rebound by R. Jefferson,,29-28,,
4:58.0,M. Ellis misses 2-pt shot from 15 ft,,29-28,,
4:55.0,,,29-28,,Defensive rebound by D. Lillard
4:47.0,,,29-28,,D. Lillard misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by T. Chandler,,29-28,,
4:26.0,R. Rondo makes 2-pt shot from 21 ft,2,31-28,,
4:03.0,,,31-28,,R. Lopez misses 2-pt shot from 1 ft (block by T. Chandler)
4:01.0,Defensive rebound by R. Rondo,,31-28,,
3:59.0,R. Jefferson misses 2-pt shot from 1 ft,,31-28,,
3:57.0,Offensive rebound by C. Villanueva,,31-28,,
3:57.0,C. Villanueva makes 2-pt shot at rim,2,33-28,,
3:57.0,,,33-28,,Portland full timeout
3:57.0,,,33-28,,W. Matthews enters the game for A. Afflalo
3:51.0,,,33-28,,Turnover by N. Batum (lost ball)
3:38.0,M. Ellis makes 2-pt shot from 14 ft,2,35-28,,
3:14.0,,,35-30,2,L. Aldridge makes 2-pt shot from 6 ft
2:48.0,M. Ellis misses 3-pt shot from 25 ft,,35-30,,
2:47.0,,,35-30,,Defensive rebound by N. Batum
2:45.0,,,35-30,,Turnover by N. Batum (bad pass)
2:28.0,T. Chandler misses 2-pt shot from 13 ft,,35-30,,
2:27.0,,,35-30,,Defensive rebound by L. Aldridge
2:12.0,,,35-32,2,L. Aldridge makes 2-pt shot from 13 ft (assist by N. Batum)
2:11.0,Dallas full timeout,,35-32,,
2:11.0,D. Nowitzki enters the game for R. Rondo,,35-32,,
2:11.0,D. Harris enters the game for C. Villanueva,,35-32,,
1:52.0,M. Ellis misses 2-pt shot from 2 ft,,35-32,,
1:51.0,Offensive rebound by T. Chandler,,35-32,,
1:46.0,D. Nowitzki misses 3-pt shot from 29 ft,,35-32,,
1:45.0,,,35-32,,Defensive rebound by N. Batum
1:39.0,,,35-32,,L. Aldridge misses 2-pt shot from 20 ft
1:39.0,,,35-32,,Offensive rebound by Team
1:38.0,Loose ball foul by T. Chandler (drawn by R. Lopez),,35-32,,
1:28.0,,,35-32,,Shooting foul by D. Nowitzki (drawn by D. Lillard)
1:28.0,,,35-33,1,D. Lillard makes free throw 1 of 2
1:28.0,,,35-34,1,D. Lillard makes free throw 2 of 2
1:18.0,D. Nowitzki misses 3-pt shot from 26 ft,,35-34,,
1:17.0,,,35-34,,Defensive rebound by N. Batum
1:06.0,,,35-34,,L. Aldridge misses 2-pt shot from 5 ft
1:05.0,,,35-34,,Offensive rebound by R. Lopez
1:05.0,,,35-36,2,R. Lopez makes 2-pt shot at rim
0:58.0,Shooting foul by R. Lopez (drawn by D. Harris),,35-36,,
0:58.0,D. Harris makes free throw 1 of 2,1,36-36,,
0:58.0,R. Rondo enters the game for R. Jefferson,,36-36,,
0:58.0,D. Harris misses free throw 2 of 2,,36-36,,
0:57.0,,,36-36,,Defensive rebound by L. Aldridge
0:42.0,,,36-38,2,W. Matthews makes 2-pt shot from 15 ft (assist by D. Lillard)
0:33.0,Turnover by R. Rondo (bad pass),,36-38,,
0:25.0,,,36-40,2,R. Lopez makes 2-pt shot at rim (assist by N. Batum)
0:04.0,D. Nowitzki misses 2-pt shot from 11 ft,,36-40,,
0:02.0,Offensive rebound by T. Chandler,,36-40,,
0:02.0,T. Chandler misses 2-pt shot at rim,,36-40,,
0:01.0,,,36-40,,Defensive rebound by L. Aldridge
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,36-40,,R. Lopez misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by R. Rondo,,36-40,,
11:26.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by R. Rondo),2,38-40,,
11:09.0,Personal foul by R. Rondo (drawn by D. Lillard),,38-40,,
11:04.0,,,38-40,,W. Matthews misses 3-pt shot from 25 ft (block by M. Ellis)
11:02.0,Defensive rebound by R. Jefferson,,38-40,,
10:51.0,R. Jefferson makes 2-pt shot from 21 ft,2,40-40,,
10:31.0,,,40-40,,L. Aldridge misses 2-pt shot from 4 ft
10:30.0,Defensive rebound by R. Rondo,,40-40,,
10:16.0,M. Ellis misses 2-pt shot from 2 ft,,40-40,,
10:15.0,,,40-40,,Defensive rebound by L. Aldridge
10:10.0,,,40-40,,Turnover by W. Matthews (lost ball; steal by R. Rondo)
10:01.0,D. Nowitzki misses 2-pt shot from 21 ft,,40-40,,
10:00.0,,,40-40,,Defensive rebound by N. Batum
10:00.0,,,40-40,,Portland full timeout
10:00.0,,,40-40,,A. Afflalo enters the game for W. Matthews
9:44.0,,,40-42,2,D. Lillard makes 2-pt shot from 18 ft
9:35.0,,,40-42,,Personal foul by L. Aldridge (drawn by D. Nowitzki)
9:25.0,D. Nowitzki makes 2-pt shot from 18 ft,2,42-42,,
9:06.0,,,42-44,2,N. Batum makes 2-pt shot from 11 ft
8:56.0,Turnover by R. Rondo (bad pass),,42-44,,
8:49.0,,,42-47,3,D. Lillard makes 3-pt shot from 25 ft
8:30.0,M. Ellis makes 2-pt shot from 16 ft (assist by R. Rondo),2,44-47,,
8:13.0,,,44-50,3,D. Lillard makes 3-pt shot from 26 ft (assist by A. Afflalo)
7:47.0,R. Rondo misses 2-pt shot from 19 ft,,44-50,,
7:46.0,,,44-50,,Defensive rebound by N. Batum
7:36.0,,,44-52,2,N. Batum makes 2-pt shot from 1 ft (assist by R. Lopez)
7:36.0,Dallas full timeout,,44-52,,
7:16.0,R. Jefferson makes 3-pt shot from 26 ft (assist by M. Ellis),3,47-52,,
6:49.0,,,47-52,,N. Batum misses 2-pt shot from 22 ft
6:48.0,,,47-52,,Offensive rebound by L. Aldridge
6:36.0,,,47-52,,Offensive foul by R. Lopez
6:36.0,,,47-52,,Turnover by R. Lopez (offensive foul)
6:25.0,M. Ellis misses 2-pt shot from 15 ft,,47-52,,
6:24.0,,,47-52,,Defensive rebound by L. Aldridge
6:15.0,,,47-52,,Shooting foul by M. Ellis (drawn by R. Lopez)
6:15.0,,,47-52,,R. Lopez misses free throw 1 of 2
6:15.0,,,47-52,,Offensive rebound by Team
6:15.0,,,47-53,1,R. Lopez makes free throw 2 of 2
6:06.0,Turnover by D. Nowitzki (lost ball; steal by D. Lillard),,47-53,,
5:59.0,,,47-53,,D. Lillard misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by D. Nowitzki,,47-53,,
5:49.0,M. Ellis misses 2-pt shot from 1 ft (block by R. Lopez),,47-53,,
5:47.0,,,47-53,,Defensive rebound by R. Lopez
5:44.0,,,47-55,2,N. Batum makes 2-pt shot from 1 ft (assist by D. Lillard)
5:44.0,,,47-55,,Shooting foul by D. Nowitzki (drawn by N. Batum)
5:44.0,,,47-55,,D. Wright enters the game for R. Lopez
5:44.0,A. Aminu enters the game for R. Rondo,,47-55,,
5:44.0,D. Harris enters the game for D. Nowitzki,,47-55,,
5:44.0,,,47-56,1,N. Batum makes free throw 1 of 1
5:24.0,M. Ellis makes 2-pt shot from 16 ft,2,49-56,,
5:01.0,,,49-56,,D. Wright misses 2-pt shot from 8 ft
4:59.0,,,49-56,,Offensive rebound by D. Wright
4:59.0,,,49-58,2,D. Wright makes 2-pt shot from 1 ft
4:32.0,D. Harris misses 3-pt shot from 28 ft,,49-58,,
4:31.0,Offensive rebound by T. Chandler,,49-58,,
4:23.0,,,49-58,,A. Gee enters the game for N. Batum
4:12.0,Turnover by D. Harris (bad pass; steal by D. Lillard),,49-58,,
4:07.0,,,49-60,2,A. Gee makes 2-pt shot at rim (assist by D. Lillard)
4:06.0,Dallas full timeout,,49-60,,
3:54.0,D. Harris misses 2-pt shot from 4 ft,,49-60,,
3:54.0,,,49-60,,Defensive rebound by D. Lillard
3:51.0,,,49-60,,Turnover by D. Lillard (bad pass; steal by R. Jefferson)
3:36.0,Shooting foul by L. Aldridge (drawn by M. Ellis),,49-60,,
3:36.0,M. Ellis makes free throw 1 of 2,1,50-60,,
3:36.0,M. Ellis makes free throw 2 of 2,1,51-60,,
3:13.0,,,51-60,,L. Aldridge misses 2-pt shot from 16 ft
3:11.0,Defensive rebound by R. Jefferson,,51-60,,
3:03.0,D. Harris misses 2-pt shot from 15 ft,,51-60,,
3:02.0,,,51-60,,Defensive rebound by D. Lillard
2:52.0,,,51-60,,L. Aldridge misses 2-pt shot from 21 ft
2:51.0,Defensive rebound by A. Aminu,,51-60,,
2:34.0,M. Ellis misses 2-pt shot from 17 ft,,51-60,,
2:33.0,,,51-60,,Defensive rebound by A. Afflalo
2:17.0,,,51-60,,D. Lillard misses 3-pt shot from 27 ft
2:16.0,,,51-60,,Offensive rebound by L. Aldridge
2:10.0,,,51-60,,Shooting foul by T. Chandler (drawn by L. Aldridge)
2:10.0,,,51-61,1,L. Aldridge makes free throw 1 of 2
2:10.0,,,51-61,,S. Blake enters the game for D. Lillard
2:10.0,,,51-61,,C. Kaman enters the game for A. Gee
2:10.0,A. Stoudemire enters the game for R. Jefferson,,51-61,,
2:10.0,J. Barea enters the game for T. Chandler,,51-61,,
2:10.0,D. Nowitzki enters the game for M. Ellis,,51-61,,
2:10.0,,,51-62,1,L. Aldridge makes free throw 2 of 2
1:59.0,Turnover by D. Harris (bad pass; steal by C. Kaman),,51-62,,
1:47.0,,,51-64,2,A. Afflalo makes 2-pt shot from 11 ft
1:37.0,,,51-64,,Personal foul by C. Kaman (drawn by A. Stoudemire)
1:30.0,A. Stoudemire makes 2-pt shot from 15 ft (assist by J. Barea),2,53-64,,
1:05.0,,,53-66,2,S. Blake makes 2-pt shot from 12 ft
0:52.0,J. Barea makes 2-pt shot from 5 ft,2,55-66,,
0:38.0,,,55-69,3,D. Wright makes 3-pt shot from 25 ft (assist by S. Blake)
0:33.0,J. Barea misses 2-pt shot from 13 ft,,55-69,,
0:31.0,,,55-69,,Defensive rebound by C. Kaman
0:14.0,Personal foul by A. Stoudemire (drawn by C. Kaman),,55-69,,
0:14.0,,,55-70,1,C. Kaman makes free throw 1 of 2
0:14.0,,,55-71,1,C. Kaman makes free throw 2 of 2
0:03.0,Shooting foul by D. Wright (drawn by A. Stoudemire),,55-71,,
0:03.0,A. Stoudemire makes free throw 1 of 2,1,56-71,,
0:03.0,R. Jefferson enters the game for D. Nowitzki,,56-71,,
0:03.0,A. Stoudemire makes free throw 2 of 2,1,57-71,,
0:00.0,,,57-71,,S. Blake misses 3-pt shot from 37 ft
0:00.0,,,57-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Stoudemire makes 2-pt shot from 18 ft (assist by R. Rondo),2,59-71,,
11:28.0,,,59-71,,S. Blake misses 2-pt shot from 20 ft
11:28.0,,,59-71,,Offensive rebound by C. Kaman
11:27.0,,,59-73,2,C. Kaman makes 2-pt shot from 1 ft
11:12.0,R. Rondo misses 2-pt shot from 10 ft,,59-73,,
11:12.0,,,59-73,,Defensive rebound by Team
10:52.0,,,59-75,2,A. Gee makes 2-pt shot at rim (assist by C. Kaman)
10:35.0,A. Stoudemire makes 2-pt shot from 17 ft (assist by J. Barea),2,61-75,,
10:12.0,,,61-75,,C. McCollum misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by A. Stoudemire,,61-75,,
9:47.0,A. Stoudemire makes 2-pt shot from 20 ft (assist by R. Rondo),2,63-75,,
9:31.0,,,63-75,,C. Kaman misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by R. Rondo,,63-75,,
9:17.0,D. Nowitzki misses 2-pt shot from 5 ft (block by N. Batum),,63-75,,
9:16.0,,,63-75,,Defensive rebound by C. Kaman
9:14.0,,,63-75,,Turnover by C. Kaman (bad pass; steal by A. Stoudemire)
9:11.0,J. Barea misses 3-pt shot from 26 ft,,63-75,,
9:10.0,,,63-75,,Defensive rebound by C. McCollum
8:58.0,,,63-75,,C. Kaman misses 2-pt shot from 7 ft
8:57.0,Defensive rebound by R. Rondo,,63-75,,
8:46.0,D. Nowitzki misses 3-pt shot from 25 ft,,63-75,,
8:45.0,,,63-75,,Defensive rebound by C. Kaman
8:30.0,,,63-78,3,N. Batum makes 3-pt shot from 26 ft
8:29.0,Dallas full timeout,,63-78,,
8:29.0,R. Jefferson enters the game for D. Nowitzki,,63-78,,
8:25.0,Turnover by J. Barea (bad pass; steal by A. Gee),,63-78,,
8:21.0,,,63-80,2,A. Gee makes 2-pt shot at rim
8:08.0,J. Barea misses 3-pt shot from 26 ft,,63-80,,
8:07.0,,,63-80,,Defensive rebound by S. Blake
7:48.0,,,63-80,,C. Kaman misses 2-pt shot from 16 ft
7:47.0,Defensive rebound by R. Rondo,,63-80,,
7:42.0,D. Harris makes 2-pt shot from 1 ft (assist by R. Rondo),2,65-80,,
7:16.0,,,65-80,,Turnover by A. Gee (bad pass; steal by D. Harris)
7:05.0,D. Harris misses 3-pt shot from 25 ft,,65-80,,
7:04.0,,,65-80,,Defensive rebound by N. Batum
6:54.0,,,65-80,,C. Kaman misses 2-pt shot from 7 ft
6:52.0,Defensive rebound by R. Jefferson,,65-80,,
6:42.0,A. Stoudemire makes 2-pt shot from 20 ft (assist by R. Rondo),2,67-80,,
6:35.0,Shooting block foul by A. Stoudemire (drawn by C. McCollum),,67-80,,
6:35.0,,,67-80,,C. McCollum misses free throw 1 of 2
6:35.0,,,67-80,,Offensive rebound by Team
6:35.0,T. Chandler enters the game for A. Stoudemire,,67-80,,
6:35.0,,,67-80,,R. Lopez enters the game for C. Kaman
6:35.0,,,67-80,,D. Lillard enters the game for A. Gee
6:35.0,M. Ellis enters the game for J. Barea,,67-80,,
6:35.0,,,67-80,,A. Afflalo enters the game for S. Blake
6:35.0,,,67-81,1,C. McCollum makes free throw 2 of 2
6:26.0,R. Rondo makes 2-pt shot from 5 ft,2,69-81,,
6:13.0,,,69-81,,D. Lillard misses 2-pt shot from 7 ft
6:11.0,Defensive rebound by R. Jefferson,,69-81,,
6:01.0,R. Rondo misses 2-pt shot from 5 ft,,69-81,,
5:58.0,,,69-81,,Defensive rebound by N. Batum
5:50.0,,,69-83,2,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum)
5:43.0,M. Ellis misses 2-pt shot at rim,,69-83,,
5:42.0,,,69-83,,Defensive rebound by A. Afflalo
5:33.0,,,69-83,,C. McCollum misses 2-pt shot from 12 ft
5:32.0,Defensive rebound by T. Chandler,,69-83,,
5:26.0,R. Jefferson makes 2-pt shot from 21 ft,2,71-83,,
5:26.0,,,71-83,,Portland full timeout
5:26.0,,,71-83,,L. Aldridge enters the game for C. McCollum
5:07.0,,,71-83,,A. Afflalo misses 2-pt shot from 9 ft
5:05.0,Defensive rebound by T. Chandler,,71-83,,
4:46.0,R. Rondo makes 2-pt shot from 19 ft (assist by M. Ellis),2,73-83,,
4:23.0,,,73-85,2,D. Lillard makes 2-pt shot from 20 ft
4:10.0,R. Rondo makes 2-pt shot from 21 ft (assist by M. Ellis),2,75-85,,
3:47.0,,,75-88,3,N. Batum makes 3-pt shot from 26 ft (assist by A. Afflalo)
3:30.0,R. Rondo misses 2-pt shot from 2 ft,,75-88,,
3:29.0,,,75-88,,Defensive rebound by N. Batum
3:25.0,,,75-88,,A. Afflalo misses 2-pt shot from 2 ft (block by R. Jefferson)
3:23.0,Defensive rebound by D. Harris,,75-88,,
3:11.0,R. Jefferson misses 3-pt shot from 26 ft,,75-88,,
3:10.0,,,75-88,,Defensive rebound by D. Lillard
3:09.0,Personal foul by R. Rondo (drawn by D. Lillard),,75-88,,
3:09.0,D. Nowitzki enters the game for R. Jefferson,,75-88,,
2:52.0,,,75-88,,D. Lillard misses 2-pt shot from 21 ft
2:50.0,,,75-88,,Offensive rebound by R. Lopez
2:50.0,,,75-88,,R. Lopez misses 2-pt shot from 2 ft
2:48.0,,,75-88,,Offensive rebound by R. Lopez
2:48.0,,,75-88,,Shooting foul by T. Chandler (drawn by R. Lopez)
2:48.0,Official timeout,,75-88,,
2:48.0,,,75-89,1,R. Lopez makes free throw 1 of 2
2:48.0,,,75-90,1,R. Lopez makes free throw 2 of 2
2:41.0,M. Ellis misses 2-pt shot from 12 ft,,75-90,,
2:40.0,Offensive rebound by M. Ellis,,75-90,,
2:34.0,R. Rondo misses 3-pt shot from 23 ft,,75-90,,
2:33.0,,,75-90,,Defensive rebound by A. Afflalo
2:13.0,,,75-90,,L. Aldridge misses 2-pt shot from 13 ft
2:11.0,Defensive rebound by D. Harris,,75-90,,
2:01.0,R. Rondo misses 2-pt shot from 10 ft,,75-90,,
2:00.0,Offensive rebound by T. Chandler,,75-90,,
2:00.0,T. Chandler misses 2-pt shot from 1 ft,,75-90,,
1:57.0,,,75-90,,Defensive rebound by R. Lopez
1:57.0,Personal foul by D. Nowitzki (drawn by D. Lillard),,75-90,,
1:57.0,A. Aminu enters the game for D. Nowitzki,,75-90,,
1:57.0,R. Jefferson enters the game for M. Ellis,,75-90,,
1:57.0,B. James enters the game for D. Harris,,75-90,,
1:57.0,R. Felton enters the game for R. Rondo,,75-90,,
1:57.0,J. Barea enters the game for T. Chandler,,75-90,,
1:46.0,,,75-90,,Shooting foul by B. James (drawn by D. Lillard)
