time,Washington,pts.away,score,pts.home,Dallas
1:05.0,J. Wall misses 2-pt shot from 17 ft,,22-25,,
1:04.0,,,22-25,,Defensive rebound by R. Jefferson
0:56.0,,,22-25,,R. Rondo misses 2-pt shot from 4 ft
0:55.0,Defensive rebound by R. Butler,,22-25,,
0:50.0,M. Webster misses 2-pt shot from 21 ft,,22-25,,
0:49.0,Offensive rebound by J. Wall,,22-25,,
0:39.0,R. Butler misses 3-pt shot from 23 ft,,22-25,,
0:38.0,,,22-25,,Defensive rebound by R. Jefferson
0:35.0,,,22-27,2,R. Rondo makes 2-pt shot at rim (assist by R. Jefferson)
0:12.0,J. Wall makes 2-pt shot from 3 ft,2,24-27,,
0:01.0,,,24-27,,R. Rondo misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by K. Humphries,,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-27,,R. Rondo misses 2-pt shot from 15 ft
11:46.0,Defensive rebound by K. Seraphin,,24-27,,
11:25.0,R. Butler misses 2-pt shot from 16 ft,,24-27,,
11:24.0,,,24-27,,Defensive rebound by D. Nowitzki
11:15.0,,,24-29,2,G. Smith makes 2-pt shot from 3 ft (assist by J. Barea)
10:59.0,K. Seraphin misses 2-pt shot from 9 ft,,24-29,,
10:58.0,,,24-29,,Defensive rebound by D. Nowitzki
10:52.0,,,24-29,,Shooting foul by M. Webster (drawn by G. Smith)
10:52.0,,,24-30,1,G. Smith makes free throw 1 of 2
10:52.0,,,24-31,1,G. Smith makes free throw 2 of 2
10:35.0,,,24-31,,Personal foul by J. Barea (drawn by A. Miller)
10:26.0,K. Humphries makes 2-pt shot from 22 ft,2,26-31,,
10:08.0,,,26-33,2,G. Smith makes 2-pt shot from 1 ft (assist by J. Barea)
9:54.0,A. Miller misses 2-pt shot from 4 ft (block by G. Smith),,26-33,,
9:52.0,,,26-33,,Defensive rebound by D. Nowitzki
9:47.0,,,26-33,,D. Nowitzki misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by A. Miller,,26-33,,
9:41.0,Offensive foul by R. Butler,,26-33,,
9:41.0,Turnover by R. Butler (offensive foul),,26-33,,
9:28.0,,,26-33,,D. Nowitzki misses 2-pt shot from 15 ft
9:27.0,Defensive rebound by R. Butler,,26-33,,
9:17.0,,,26-33,,Def 3 sec tech foul by G. Smith
9:17.0,R. Butler makes technical free throw,1,27-33,,
9:17.0,Washington full timeout,,27-33,,
9:05.0,Turnover by A. Miller (lost ball; steal by J. Barea),,27-33,,
9:00.0,Shooting block foul by R. Butler (drawn by R. Rondo),,27-33,,
9:00.0,,,27-33,,R. Rondo misses free throw 1 of 2
9:00.0,,,27-33,,Offensive rebound by Team
9:00.0,,,27-34,1,R. Rondo makes free throw 2 of 2
8:49.0,Shooting foul by R. Rondo (drawn by M. Webster),,27-34,,
8:49.0,M. Webster makes free throw 1 of 3,1,28-34,,
8:49.0,M. Webster makes free throw 2 of 3,1,29-34,,
8:49.0,M. Webster makes free throw 3 of 3,1,30-34,,
8:28.0,,,30-37,3,R. Jefferson makes 3-pt shot from 24 ft (assist by J. Barea)
8:09.0,M. Webster misses 2-pt shot from 17 ft,,30-37,,
8:08.0,Offensive rebound by K. Seraphin,,30-37,,
8:03.0,,,30-37,,Personal foul by R. Jefferson (drawn by R. Butler)
8:03.0,,,30-37,,C. Parsons enters the game for D. Nowitzki
8:03.0,,,30-37,,M. Ellis enters the game for R. Rondo
8:03.0,,,30-37,,T. Chandler enters the game for G. Smith
8:03.0,B. Beal enters the game for M. Webster,,30-37,,
7:55.0,Turnover by B. Beal (lost ball; steal by M. Ellis),,30-37,,
7:46.0,,,30-37,,R. Jefferson misses 2-pt shot at rim
7:44.0,Defensive rebound by K. Humphries,,30-37,,
7:39.0,Turnover by A. Miller (bad pass; steal by R. Jefferson),,30-37,,
7:36.0,,,30-39,2,M. Ellis makes 2-pt shot at rim
7:34.0,,,30-39,,Violation by Team (delay of game)
7:16.0,K. Seraphin makes 2-pt shot from 8 ft (assist by K. Humphries),2,32-39,,
7:07.0,,,32-39,,J. Barea misses 2-pt shot at rim
7:06.0,,,32-39,,Offensive rebound by T. Chandler
7:06.0,,,32-41,2,T. Chandler makes 2-pt shot from 1 ft
6:47.0,R. Butler misses 2-pt shot from 22 ft,,32-41,,
6:46.0,,,32-41,,Defensive rebound by C. Parsons
6:41.0,,,32-43,2,R. Jefferson makes 2-pt shot from 2 ft (assist by C. Parsons)
6:34.0,Washington full timeout,,32-43,,
6:34.0,M. Gortat enters the game for K. Humphries,,32-43,,
6:34.0,N. Hilario enters the game for R. Butler,,32-43,,
6:34.0,J. Wall enters the game for K. Seraphin,,32-43,,
6:34.0,P. Pierce enters the game for A. Miller,,32-43,,
6:19.0,B. Beal misses 2-pt shot from 20 ft,,32-43,,
6:17.0,,,32-43,,Defensive rebound by J. Barea
6:15.0,,,32-45,2,R. Jefferson makes 2-pt shot at rim (assist by J. Barea)
5:59.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,35-45,,
5:47.0,,,35-47,2,J. Barea makes 2-pt shot at rim
5:40.0,Turnover by N. Hilario (bad pass; steal by J. Barea),,35-47,,
5:30.0,Personal foul by M. Gortat (drawn by T. Chandler),,35-47,,
5:30.0,Official timeout,,35-47,,
5:30.0,R. Butler enters the game for M. Gortat,,35-47,,
5:21.0,,,35-47,,C. Parsons misses 2-pt shot from 1 ft
5:18.0,Defensive rebound by N. Hilario,,35-47,,
5:16.0,Shooting foul by J. Barea (drawn by J. Wall),,35-47,,
5:16.0,J. Wall makes free throw 1 of 2,1,36-47,,
5:16.0,J. Wall makes free throw 2 of 2,1,37-47,,
5:03.0,,,37-50,3,R. Jefferson makes 3-pt shot from 22 ft (assist by M. Ellis)
4:38.0,B. Beal misses 2-pt shot from 1 ft,,37-50,,
4:37.0,,,37-50,,Defensive rebound by T. Chandler
4:31.0,,,37-50,,J. Barea misses 2-pt shot at rim
4:30.0,Defensive rebound by J. Wall,,37-50,,
4:14.0,Turnover by N. Hilario (bad pass),,37-50,,
4:14.0,,,37-50,,R. Rondo enters the game for J. Barea
4:14.0,,,37-50,,D. Nowitzki enters the game for R. Jefferson
4:03.0,,,37-50,,Offensive foul by D. Nowitzki
4:03.0,,,37-50,,Turnover by D. Nowitzki (offensive foul)
3:49.0,J. Wall misses 2-pt shot from 16 ft,,37-50,,
3:47.0,,,37-50,,Defensive rebound by T. Chandler
3:40.0,,,37-50,,Turnover by R. Rondo (bad pass; steal by P. Pierce)
3:36.0,Shooting foul by M. Ellis (drawn by P. Pierce),,37-50,,
3:36.0,P. Pierce misses free throw 1 of 2,,37-50,,
3:36.0,Offensive rebound by Team,,37-50,,
3:36.0,P. Pierce misses free throw 2 of 2,,37-50,,
3:35.0,,,37-50,,Defensive rebound by D. Nowitzki
3:21.0,,,37-50,,Shooting foul by B. Beal (drawn by D. Nowitzki)
3:21.0,,,37-51,1,D. Nowitzki makes free throw 1 of 2
3:21.0,,,37-52,1,D. Nowitzki makes free throw 2 of 2
3:09.0,Shooting foul by R. Rondo (drawn by J. Wall),,37-52,,
3:09.0,J. Wall makes free throw 1 of 2,1,38-52,,
3:09.0,J. Wall misses free throw 2 of 2,,38-52,,
3:08.0,Offensive rebound by N. Hilario,,38-52,,
2:50.0,N. Hilario makes 2-pt shot from 14 ft (assist by J. Wall),2,40-52,,
2:35.0,Personal block foul by B. Beal (drawn by M. Ellis),,40-52,,
2:35.0,,,40-52,,Dallas full timeout
2:35.0,,,40-52,,G. Smith enters the game for T. Chandler
2:35.0,,,40-53,1,M. Ellis makes free throw 1 of 2
2:35.0,,,40-54,1,M. Ellis makes free throw 2 of 2
2:27.0,Turnover by B. Beal (lost ball; steal by G. Smith),,40-54,,
2:22.0,,,40-56,2,M. Ellis makes 2-pt shot at rim (assist by R. Rondo)
2:05.0,Offensive foul by P. Pierce,,40-56,,
2:05.0,Turnover by P. Pierce (offensive foul),,40-56,,
1:48.0,,,40-56,,Turnover by M. Ellis (bad pass; steal by B. Beal)
1:45.0,J. Wall makes 2-pt shot at rim (assist by B. Beal),2,42-56,,
1:31.0,,,42-56,,Turnover by R. Rondo (bad pass; steal by P. Pierce)
1:31.0,,,42-56,,Loose ball foul by D. Nowitzki (drawn by P. Pierce)
1:31.0,P. Pierce makes free throw 1 of 2,1,43-56,,
1:31.0,K. Humphries enters the game for B. Beal,,43-56,,
1:31.0,,,43-56,,T. Chandler enters the game for G. Smith
1:31.0,P. Pierce makes free throw 2 of 2,1,44-56,,
1:19.0,,,44-58,2,M. Ellis makes 2-pt shot from 2 ft (assist by D. Nowitzki)
0:53.0,Turnover by Team (shot clock),,44-58,,
0:34.0,,,44-61,3,M. Ellis makes 3-pt shot from 24 ft
0:10.0,R. Butler misses 3-pt shot from 24 ft,,44-61,,
0:09.0,Offensive rebound by N. Hilario,,44-61,,
0:09.0,,,44-61,,Personal foul by R. Rondo (drawn by N. Hilario)
0:09.0,N. Hilario makes free throw 1 of 2,1,45-61,,
0:09.0,M. Webster enters the game for P. Pierce,,45-61,,
0:09.0,,,45-61,,J. Barea enters the game for R. Rondo
0:09.0,N. Hilario misses free throw 2 of 2,,45-61,,
0:08.0,,,45-61,,Defensive rebound by T. Chandler
0:01.0,,,45-63,2,C. Parsons makes 2-pt shot from 20 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,45-65,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by M. Ellis)
11:23.0,Shooting foul by M. Ellis (drawn by B. Beal),,45-65,,
11:23.0,B. Beal misses free throw 1 of 2,,45-65,,
11:23.0,Offensive rebound by Team,,45-65,,
11:23.0,B. Beal makes free throw 2 of 2,1,46-65,,
11:00.0,,,46-65,,R. Rondo misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by M. Gortat,,46-65,,
10:43.0,B. Beal misses 2-pt shot from 21 ft,,46-65,,
10:42.0,,,46-65,,Defensive rebound by T. Chandler
10:34.0,,,46-65,,M. Ellis misses 2-pt shot from 12 ft
10:33.0,Defensive rebound by P. Pierce,,46-65,,
10:24.0,Turnover by P. Pierce (lost ball; steal by M. Ellis),,46-65,,
10:21.0,,,46-65,,Shooting foul by B. Beal (drawn by C. Parsons)
10:21.0,,,46-66,1,C. Parsons makes free throw 1 of 2
10:21.0,,,46-67,1,C. Parsons makes free throw 2 of 2
10:10.0,P. Pierce misses 2-pt shot from 5 ft,,46-67,,
10:09.0,,,46-67,,Defensive rebound by D. Nowitzki
10:00.0,,,46-67,,T. Chandler misses 2-pt shot at rim
9:59.0,Defensive rebound by M. Gortat,,46-67,,
9:42.0,,,46-67,,Personal foul by M. Ellis (drawn by M. Gortat)
9:38.0,,,46-67,,Personal foul by D. Nowitzki (drawn by M. Gortat)
9:28.0,M. Gortat misses 2-pt shot from 10 ft,,46-67,,
9:27.0,Offensive rebound by P. Pierce,,46-67,,
9:19.0,Turnover by B. Beal (bad pass),,46-67,,
9:07.0,,,46-67,,M. Ellis misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by J. Wall,,46-67,,
8:58.0,Turnover by J. Wall (bad pass; steal by M. Ellis),,46-67,,
8:55.0,,,46-67,,Shooting foul by J. Wall (drawn by M. Ellis)
8:55.0,,,46-67,,M. Ellis misses free throw 1 of 2
8:55.0,,,46-67,,Offensive rebound by Team
8:55.0,,,46-68,1,M. Ellis makes free throw 2 of 2
8:40.0,N. Hilario makes 2-pt shot from 12 ft (assist by J. Wall),2,48-68,,
8:28.0,,,48-68,,C. Parsons misses 2-pt shot from 7 ft
8:27.0,Defensive rebound by P. Pierce,,48-68,,
8:23.0,B. Beal makes 2-pt shot at rim (assist by P. Pierce),2,50-68,,
8:06.0,K. Humphries enters the game for N. Hilario,,50-68,,
8:01.0,,,50-71,3,C. Parsons makes 3-pt shot from 22 ft (assist by R. Rondo)
7:46.0,Turnover by M. Gortat (traveling),,50-71,,
7:32.0,Personal foul by K. Humphries (drawn by D. Nowitzki),,50-71,,
7:25.0,,,50-73,2,M. Ellis makes 2-pt shot from 1 ft
7:10.0,J. Wall misses 3-pt shot from 24 ft,,50-73,,
7:09.0,,,50-73,,Defensive rebound by T. Chandler
6:58.0,,,50-75,2,R. Rondo makes 2-pt shot from 6 ft
6:58.0,Washington full timeout,,50-75,,
6:58.0,,,50-75,,R. Jefferson enters the game for D. Nowitzki
6:41.0,P. Pierce misses 2-pt shot from 1 ft,,50-75,,
6:40.0,,,50-75,,Defensive rebound by T. Chandler
6:26.0,,,50-75,,C. Parsons misses 2-pt shot from 11 ft
6:25.0,Defensive rebound by Team,,50-75,,
6:14.0,M. Gortat misses 2-pt shot from 6 ft,,50-75,,
6:13.0,,,50-75,,Defensive rebound by T. Chandler
6:06.0,,,50-75,,R. Rondo misses 2-pt shot from 20 ft
6:05.0,Defensive rebound by P. Pierce,,50-75,,
5:55.0,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce),2,52-75,,
5:37.0,,,52-75,,M. Ellis misses 2-pt shot from 19 ft
5:36.0,Defensive rebound by B. Beal,,52-75,,
5:32.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,54-75,,
5:07.0,,,54-77,2,R. Rondo makes 2-pt shot from 1 ft
4:52.0,B. Beal misses 2-pt shot from 12 ft,,54-77,,
4:51.0,Offensive rebound by K. Humphries,,54-77,,
4:47.0,,,54-77,,Personal foul by R. Jefferson (drawn by P. Pierce)
4:47.0,,,54-77,,D. Harris enters the game for R. Rondo
4:47.0,,,54-77,,G. Smith enters the game for T. Chandler
4:47.0,R. Butler enters the game for P. Pierce,,54-77,,
4:38.0,Turnover by M. Gortat (offensive goaltending),,54-77,,
4:23.0,,,54-79,2,R. Jefferson makes 2-pt shot from 3 ft (assist by D. Harris)
4:02.0,B. Beal makes 2-pt shot from 8 ft,2,56-79,,
3:55.0,Personal foul by R. Butler (drawn by C. Parsons),,56-79,,
3:48.0,,,56-81,2,M. Ellis makes 2-pt shot from 15 ft
3:31.0,B. Beal misses 2-pt shot from 21 ft,,56-81,,
3:30.0,,,56-81,,Defensive rebound by C. Parsons
3:24.0,,,56-83,2,C. Parsons makes 2-pt shot from 23 ft
3:24.0,,,56-83,,Shooting foul by R. Butler (drawn by C. Parsons)
3:24.0,,,56-83,,C. Parsons misses free throw 1 of 1
3:23.0,Defensive rebound by K. Humphries,,56-83,,
3:08.0,M. Gortat misses 2-pt shot from 16 ft,,56-83,,
3:07.0,,,56-83,,Defensive rebound by R. Jefferson
2:54.0,,,56-83,,M. Ellis misses 2-pt shot from 2 ft
2:52.0,Defensive rebound by B. Beal,,56-83,,
2:46.0,Shooting foul by R. Jefferson (drawn by K. Humphries),,56-83,,
2:46.0,,,56-83,,Dallas full timeout
2:46.0,K. Seraphin enters the game for M. Gortat,,56-83,,
2:46.0,K. Humphries makes free throw 1 of 2,1,57-83,,
2:46.0,K. Humphries misses free throw 2 of 2,,57-83,,
2:45.0,Offensive rebound by K. Seraphin,,57-83,,
2:30.0,Shooting foul by G. Smith (drawn by K. Humphries),,57-83,,
2:30.0,K. Humphries makes free throw 1 of 2,1,58-83,,
2:30.0,K. Humphries makes free throw 2 of 2,1,59-83,,
2:10.0,,,59-83,,M. Ellis misses 2-pt shot from 17 ft
2:09.0,Defensive rebound by K. Humphries,,59-83,,
2:03.0,K. Seraphin misses 2-pt shot from 4 ft (block by C. Parsons),,59-83,,
2:03.0,Offensive rebound by Team,,59-83,,
2:03.0,,,59-83,,J. Barea enters the game for M. Ellis
2:03.0,,,59-83,,D. Nowitzki enters the game for C. Parsons
1:55.0,B. Beal makes 3-pt shot from 24 ft (assist by K. Humphries),3,62-83,,
1:41.0,,,62-83,,J. Barea misses 2-pt shot at rim (block by J. Wall)
1:39.0,,,62-83,,Offensive rebound by G. Smith
1:36.0,Personal foul by K. Humphries (drawn by D. Nowitzki),,62-83,,
1:36.0,,,62-83,,D. Nowitzki misses free throw 1 of 2
1:36.0,,,62-83,,Offensive rebound by Team
1:36.0,,,62-84,1,D. Nowitzki makes free throw 2 of 2
1:21.0,K. Humphries makes 2-pt shot at rim,2,64-84,,
1:19.0,Violation by Team (delay of game),,64-84,,
1:11.0,Personal foul by B. Beal (drawn by D. Nowitzki),,64-84,,
1:11.0,,,64-85,1,D. Nowitzki makes free throw 1 of 2
1:11.0,,,64-86,1,D. Nowitzki makes free throw 2 of 2
1:00.0,Turnover by J. Wall (bad pass; steal by D. Harris),,64-86,,
0:45.0,,,64-89,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Nowitzki)
0:29.0,R. Butler misses 2-pt shot from 14 ft,,64-89,,
0:27.0,,,64-89,,Defensive rebound by D. Nowitzki
0:06.0,,,64-89,,J. Barea misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by B. Beal,,64-89,,
0:01.0,B. Beal misses 3-pt shot from 26 ft (block by D. Harris),,64-89,,
0:00.0,,,64-89,,Defensive rebound by D. Harris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,K. Seraphin makes 2-pt shot from 9 ft,2,66-89,,
11:26.0,Personal foul by M. Webster (drawn by D. Harris),,66-89,,
11:17.0,,,66-89,,Shooting foul by K. Seraphin (drawn by D. Nowitzki)
11:17.0,,,66-90,1,D. Nowitzki makes free throw 1 of 2
11:17.0,,,66-91,1,D. Nowitzki makes free throw 2 of 2
10:59.0,,,66-91,,Personal foul by G. Smith (drawn by K. Seraphin)
10:45.0,M. Webster misses 2-pt shot from 21 ft,,66-91,,
10:43.0,Offensive rebound by D. Blair,,66-91,,
10:39.0,D. Blair misses 2-pt shot from 1 ft (block by D. Nowitzki),,66-91,,
10:38.0,,,66-91,,Defensive rebound by D. Nowitzki
10:38.0,Personal foul by M. Webster (drawn by D. Nowitzki),,66-91,,
10:38.0,,,66-91,,R. Rondo enters the game for D. Harris
10:19.0,,,66-91,,R. Jefferson misses 2-pt shot from 6 ft
10:18.0,Defensive rebound by D. Blair,,66-91,,
10:15.0,Turnover by M. Webster (step out of bounds),,66-91,,
10:02.0,,,66-93,2,G. Smith makes 2-pt shot at rim (assist by R. Rondo)
9:45.0,R. Butler makes 2-pt shot from 22 ft (assist by A. Miller),2,68-93,,
9:24.0,,,68-93,,D. Nowitzki misses 2-pt shot from 19 ft
9:23.0,Defensive rebound by R. Butler,,68-93,,
9:13.0,Turnover by K. Seraphin (traveling),,68-93,,
8:57.0,,,68-93,,G. Smith misses 2-pt shot from 5 ft (block by K. Seraphin)
8:55.0,Defensive rebound by A. Miller,,68-93,,
8:49.0,D. Blair makes 2-pt shot at rim (assist by A. Miller),2,70-93,,
8:49.0,,,70-93,,Dallas full timeout
8:32.0,,,70-95,2,R. Jefferson makes 2-pt shot at rim
8:08.0,R. Butler misses 3-pt shot from 24 ft,,70-95,,
8:06.0,Offensive rebound by Team,,70-95,,
8:06.0,,,70-95,,C. Villanueva enters the game for D. Nowitzki
8:06.0,O. Porter enters the game for R. Butler,,70-95,,
7:59.0,M. Webster misses 3-pt shot from 24 ft,,70-95,,
7:58.0,,,70-95,,Defensive rebound by Team
7:52.0,,,70-95,,Shooting foul by K. Seraphin (drawn by G. Smith)
7:52.0,,,70-95,,G. Smith misses free throw 1 of 2
7:52.0,,,70-95,,Offensive rebound by Team
7:52.0,,,70-95,,G. Smith misses free throw 2 of 2
7:51.0,Defensive rebound by D. Blair,,70-95,,
7:34.0,Shooting foul by R. Rondo (drawn by M. Webster),,70-95,,
7:34.0,M. Webster misses free throw 1 of 2,,70-95,,
7:34.0,Offensive rebound by Team,,70-95,,
7:34.0,M. Webster misses free throw 2 of 2,,70-95,,
7:33.0,,,70-95,,Defensive rebound by R. Rondo
7:08.0,,,70-95,,J. Barea misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by D. Blair,,70-95,,
7:05.0,Turnover by D. Blair (lost ball; steal by R. Rondo),,70-95,,
6:43.0,,,70-98,3,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo)
6:29.0,A. Miller makes 2-pt shot from 1 ft,2,72-98,,
6:06.0,,,72-98,,C. Villanueva misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by K. Seraphin,,72-98,,
5:54.0,O. Porter misses 2-pt shot from 18 ft,,72-98,,
5:53.0,,,72-98,,Defensive rebound by C. Villanueva
5:36.0,Personal foul by D. Blair (drawn by R. Rondo),,72-98,,
5:36.0,Official timeout,,72-98,,
5:36.0,,,72-98,,A. Aminu enters the game for G. Smith
5:36.0,,,72-98,,D. Powell enters the game for R. Jefferson
5:36.0,,,72-99,1,R. Rondo makes free throw 1 of 2
5:36.0,,,72-100,1,R. Rondo makes free throw 2 of 2
5:34.0,,,72-100,,Personal take foul by R. Rondo (drawn by A. Miller)
5:34.0,,,72-100,,R. Felton enters the game for R. Rondo
5:22.0,K. Seraphin makes 2-pt shot at rim (assist by O. Porter),2,74-100,,
5:08.0,,,74-100,,C. Villanueva misses 3-pt shot from 23 ft
5:07.0,,,74-100,,Offensive rebound by Team
5:02.0,,,74-102,2,D. Powell makes 2-pt shot at rim (assist by R. Felton)
