time,Washington,pts.away,score,pts.home,New Orleans
6:09.0,,,11-10,,Defensive rebound by O. Asik
6:07.0,,,11-10,,Turnover by T. Evans (lost ball; steal by J. Wall)
6:02.0,J. Wall makes 2-pt shot at rim,2,13-10,,
5:38.0,,,13-10,,Turnover by A. Davis (bad pass; steal by J. Wall)
5:23.0,M. Gortat misses 2-pt shot from 10 ft,,13-10,,
5:22.0,,,13-10,,Defensive rebound by A. Davis
5:18.0,,,13-10,,Offensive charge foul by T. Evans
5:18.0,,,13-10,,Turnover by T. Evans (offensive foul)
5:18.0,K. Humphries enters the game for N. Hilario,,13-10,,
5:18.0,,,13-10,,R. Anderson enters the game for O. Asik
5:04.0,B. Beal misses 2-pt shot from 2 ft (block by T. Evans),,13-10,,
5:02.0,,,13-10,,Defensive rebound by T. Evans
4:57.0,,,13-10,,J. Holiday misses 2-pt shot from 10 ft
4:55.0,Defensive rebound by M. Gortat,,13-10,,
4:41.0,B. Beal makes 2-pt shot from 2 ft (assist by M. Gortat),2,15-10,,
4:16.0,,,15-12,2,J. Holiday makes 2-pt shot from 1 ft
4:02.0,Turnover by J. Wall (lost ball),,15-12,,
4:02.0,R. Butler enters the game for P. Pierce,,15-12,,
3:53.0,,,15-14,2,J. Holiday makes 2-pt shot from 7 ft
3:34.0,J. Wall misses 2-pt shot from 15 ft,,15-14,,
3:31.0,Offensive rebound by R. Butler,,15-14,,
3:31.0,,,15-14,,Loose ball foul by D. Cunningham (drawn by R. Butler)
3:31.0,Washington full timeout,,15-14,,
3:25.0,K. Humphries makes 2-pt shot from 13 ft (assist by B. Beal),2,17-14,,
3:01.0,,,17-14,,R. Anderson misses 2-pt shot from 17 ft
3:00.0,,,17-14,,Offensive rebound by D. Cunningham
2:58.0,,,17-14,,D. Cunningham misses 2-pt shot from 4 ft (block by M. Gortat)
2:57.0,,,17-14,,Offensive rebound by A. Davis
2:53.0,,,17-16,2,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis)
2:33.0,K. Humphries makes 2-pt shot from 14 ft (assist by J. Wall),2,19-16,,
2:07.0,,,19-16,,D. Cunningham misses 2-pt shot from 13 ft
2:06.0,Defensive rebound by K. Humphries,,19-16,,
1:57.0,J. Wall misses 2-pt shot from 1 ft,,19-16,,
1:56.0,,,19-16,,Defensive rebound by A. Davis
1:49.0,,,19-16,,D. Cunningham misses 2-pt shot from 18 ft
1:48.0,Defensive rebound by B. Beal,,19-16,,
1:43.0,R. Butler makes 2-pt shot from 1 ft (assist by J. Wall),2,21-16,,
1:25.0,O. Porter enters the game for B. Beal,,21-16,,
1:23.0,Personal foul by O. Porter (drawn by R. Anderson),,21-16,,
1:10.0,,,21-16,,J. Holiday misses 2-pt shot from 10 ft
1:09.0,Defensive rebound by O. Porter,,21-16,,
1:00.0,J. Wall makes 2-pt shot from 15 ft (assist by M. Gortat),2,23-16,,
0:54.0,Personal foul by R. Butler (drawn by T. Evans),,23-16,,
0:54.0,,,23-17,1,T. Evans makes free throw 1 of 2
0:54.0,,,23-17,,O. Asik enters the game for A. Davis
0:54.0,,,23-18,1,T. Evans makes free throw 2 of 2
0:47.0,Shooting foul by R. Anderson (drawn by J. Wall),,23-18,,
0:47.0,J. Wall makes free throw 1 of 2,1,24-18,,
0:47.0,K. Seraphin enters the game for M. Gortat,,24-18,,
0:47.0,J. Wall makes free throw 2 of 2,1,25-18,,
0:33.0,,,25-18,,T. Evans misses 2-pt shot from 1 ft (block by K. Humphries)
0:33.0,,,25-18,,Offensive rebound by Team
0:29.0,,,25-21,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Anderson)
0:06.0,J. Wall makes 2-pt shot from 20 ft,2,27-21,,
0:00.0,,,27-23,2,T. Evans makes 2-pt shot from 21 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,27-23,,J. Fredette misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by R. Butler,,27-23,,
11:28.0,O. Porter makes 2-pt shot from 2 ft (assist by K. Seraphin),2,29-23,,
11:06.0,,,29-23,,T. Evans misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by K. Seraphin,,29-23,,
10:50.0,Shooting foul by E. Gordon (drawn by R. Butler),,29-23,,
10:50.0,R. Butler makes free throw 1 of 2,1,30-23,,
10:50.0,R. Butler makes free throw 2 of 2,1,31-23,,
10:32.0,,,31-23,,R. Anderson misses 2-pt shot from 2 ft (block by O. Porter)
10:32.0,,,31-23,,Offensive rebound by Team
10:28.0,,,31-23,,J. Fredette misses 3-pt shot from 27 ft
10:27.0,,,31-23,,Offensive rebound by R. Anderson
10:09.0,,,31-23,,E. Gordon misses 2-pt shot from 2 ft (block by O. Porter)
10:08.0,Defensive rebound by O. Porter,,31-23,,
10:00.0,K. Humphries misses 2-pt shot from 11 ft,,31-23,,
9:59.0,,,31-23,,Defensive rebound by O. Asik
9:56.0,,,31-23,,Turnover by O. Asik (lost ball; steal by O. Porter)
9:42.0,Shooting foul by R. Anderson (drawn by K. Seraphin),,31-23,,
9:42.0,K. Seraphin makes free throw 1 of 2,1,32-23,,
9:42.0,K. Seraphin makes free throw 2 of 2,1,33-23,,
9:19.0,,,33-23,,R. Anderson misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by K. Seraphin,,33-23,,
8:59.0,K. Humphries misses 2-pt shot from 14 ft,,33-23,,
8:58.0,,,33-23,,Defensive rebound by O. Asik
8:51.0,,,33-23,,Shooting foul by K. Seraphin (drawn by E. Gordon)
8:51.0,Official timeout,,33-23,,
8:51.0,,,33-24,1,E. Gordon makes free throw 1 of 2
8:51.0,,,33-25,1,E. Gordon makes free throw 2 of 2
8:28.0,K. Seraphin makes 2-pt shot from 11 ft,2,35-25,,
8:12.0,Personal foul by A. Miller (drawn by R. Anderson),,35-25,,
8:06.0,,,35-27,2,R. Anderson makes 2-pt shot from 6 ft (assist by E. Gordon)
8:06.0,,,35-27,,Shooting foul by K. Humphries (drawn by R. Anderson)
8:06.0,,,35-27,,R. Anderson misses free throw 1 of 1
8:04.0,Defensive rebound by K. Seraphin,,35-27,,
7:46.0,O. Porter makes 2-pt shot from 7 ft (assist by R. Butler),2,37-27,,
7:33.0,,,37-27,,Shooting foul by O. Porter (drawn by R. Anderson)
7:33.0,,,37-28,1,R. Anderson makes free throw 1 of 2
7:33.0,,,37-29,1,R. Anderson makes free throw 2 of 2
7:17.0,A. Miller makes 2-pt shot from 17 ft,2,39-29,,
7:04.0,,,39-32,3,T. Evans makes 3-pt shot from 22 ft (assist by E. Gordon)
6:52.0,A. Miller makes 2-pt shot from 17 ft,2,41-32,,
6:43.0,,,41-34,2,T. Evans makes 2-pt shot from 1 ft
6:26.0,O. Porter makes 2-pt shot from 7 ft,2,43-34,,
6:10.0,,,43-34,,R. Anderson misses 2-pt shot from 5 ft
6:09.0,Defensive rebound by K. Seraphin,,43-34,,
6:04.0,R. Butler misses 2-pt shot from 3 ft,,43-34,,
6:02.0,,,43-34,,Defensive rebound by J. Fredette
5:55.0,,,43-34,,Shooting foul by A. Miller (drawn by T. Evans)
5:55.0,,,43-34,,New Orleans full timeout
5:55.0,,,43-34,,A. Davis enters the game for R. Anderson
5:55.0,,,43-34,,D. Cunningham enters the game for J. Fredette
5:55.0,N. Hilario enters the game for K. Humphries,,43-34,,
5:55.0,B. Beal enters the game for R. Butler,,43-34,,
5:55.0,,,43-35,1,T. Evans makes free throw 1 of 2
5:55.0,,,43-36,1,T. Evans makes free throw 2 of 2
5:36.0,Turnover by K. Seraphin (lost ball; steal by D. Cunningham),,43-36,,
5:15.0,,,43-38,2,A. Davis makes 2-pt shot from 21 ft (assist by T. Evans)
4:56.0,B. Beal misses 3-pt shot from 24 ft,,43-38,,
4:55.0,,,43-38,,Defensive rebound by T. Evans
4:42.0,,,43-38,,A. Davis misses 2-pt shot from 19 ft
4:40.0,Defensive rebound by K. Seraphin,,43-38,,
4:18.0,O. Porter misses 3-pt shot from 24 ft,,43-38,,
4:17.0,,,43-38,,Defensive rebound by O. Asik
4:11.0,,,43-38,,Offensive charge foul by T. Evans
4:11.0,,,43-38,,Turnover by T. Evans (offensive foul)
4:11.0,M. Gortat enters the game for A. Miller,,43-38,,
4:11.0,,,43-38,,J. Holiday enters the game for T. Evans
4:11.0,J. Wall enters the game for K. Seraphin,,43-38,,
3:50.0,Turnover by N. Hilario (lost ball; steal by D. Cunningham),,43-38,,
3:37.0,,,43-38,,Shooting foul by M. Gortat (drawn by A. Davis)
3:37.0,,,43-39,1,A. Davis makes free throw 1 of 2
3:37.0,P. Pierce enters the game for O. Porter,,43-39,,
3:37.0,,,43-40,1,A. Davis makes free throw 2 of 2
3:26.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,45-40,,
3:26.0,Shooting foul by J. Holiday (drawn by M. Gortat),,45-40,,
3:26.0,M. Gortat misses free throw 1 of 1,,45-40,,
3:25.0,,,45-40,,Defensive rebound by E. Gordon
3:03.0,,,45-40,,J. Holiday misses 3-pt shot from 25 ft
3:02.0,,,45-40,,Offensive rebound by D. Cunningham
3:00.0,,,45-42,2,D. Cunningham makes 2-pt shot from 1 ft
2:46.0,J. Wall makes 2-pt shot from 4 ft,2,47-42,,
2:34.0,,,47-42,,J. Holiday misses 3-pt shot from 23 ft
2:33.0,,,47-42,,Offensive rebound by O. Asik
2:25.0,,,47-42,,E. Gordon misses 2-pt shot from 19 ft
2:24.0,Defensive rebound by N. Hilario,,47-42,,
2:16.0,Shooting foul by E. Gordon (drawn by J. Wall),,47-42,,
2:16.0,Washington full timeout,,47-42,,
2:16.0,,,47-42,,R. Anderson enters the game for O. Asik
2:16.0,J. Wall makes free throw 1 of 2,1,48-42,,
2:16.0,J. Wall misses free throw 2 of 2,,48-42,,
2:15.0,,,48-42,,Defensive rebound by A. Davis
1:56.0,,,48-42,,R. Anderson misses 2-pt shot from 2 ft
1:56.0,Defensive rebound by Team,,48-42,,
1:32.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,50-42,,
1:13.0,,,50-44,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Anderson)
0:53.0,J. Wall misses 2-pt shot from 11 ft,,50-44,,
0:51.0,,,50-44,,Defensive rebound by D. Cunningham
0:43.0,,,50-44,,Turnover by J. Holiday (bad pass; steal by B. Beal)
0:37.0,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall),2,52-44,,
0:22.0,,,52-44,,E. Gordon misses 3-pt shot from 24 ft
0:21.0,Defensive rebound by J. Wall,,52-44,,
0:00.0,J. Wall misses 2-pt shot from 14 ft,,52-44,,
0:00.0,Offensive rebound by Team,,52-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,52-44,,J. Holiday misses 3-pt shot from 22 ft
11:42.0,Defensive rebound by N. Hilario,,52-44,,
11:24.0,P. Pierce makes 2-pt shot from 14 ft (assist by J. Wall),2,54-44,,
11:03.0,,,54-44,,A. Davis misses 2-pt shot from 2 ft
11:01.0,Defensive rebound by N. Hilario,,54-44,,
10:57.0,Turnover by J. Wall (lost ball; steal by J. Holiday),,54-44,,
10:45.0,,,54-44,,Shooting foul by P. Pierce (drawn by A. Davis)
10:45.0,,,54-45,1,A. Davis makes free throw 1 of 2
10:45.0,,,54-45,,A. Davis misses free throw 2 of 2
10:44.0,Defensive rebound by N. Hilario,,54-45,,
10:24.0,B. Beal misses 2-pt shot from 15 ft,,54-45,,
10:23.0,Offensive rebound by N. Hilario,,54-45,,
10:12.0,Turnover by N. Hilario (traveling),,54-45,,
9:53.0,,,54-48,3,T. Evans makes 3-pt shot from 26 ft (assist by J. Holiday)
9:38.0,P. Pierce misses 2-pt shot from 15 ft (block by T. Evans),,54-48,,
9:36.0,,,54-48,,Defensive rebound by O. Asik
9:34.0,,,54-48,,Offensive charge foul by T. Evans
9:34.0,,,54-48,,Turnover by T. Evans (offensive foul)
9:18.0,Shooting foul by A. Davis (drawn by M. Gortat),,54-48,,
9:18.0,M. Gortat makes free throw 1 of 2,1,55-48,,
9:18.0,M. Gortat makes free throw 2 of 2,1,56-48,,
9:09.0,,,56-48,,Offensive foul by E. Gordon
9:09.0,,,56-48,,Turnover by E. Gordon (offensive foul)
8:50.0,M. Gortat misses 2-pt shot from 2 ft (block by O. Asik),,56-48,,
8:48.0,,,56-48,,Defensive rebound by O. Asik
8:39.0,,,56-48,,T. Evans misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by N. Hilario,,56-48,,
8:20.0,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall),2,58-48,,
8:06.0,,,58-48,,Turnover by J. Holiday (bad pass; steal by M. Gortat)
7:45.0,N. Hilario misses 2-pt shot from 15 ft,,58-48,,
7:43.0,,,58-48,,Defensive rebound by O. Asik
7:39.0,Personal foul by N. Hilario (drawn by A. Davis),,58-48,,
7:32.0,,,58-50,2,A. Davis makes 2-pt shot from 13 ft (assist by J. Holiday)
7:07.0,J. Wall makes 2-pt shot from 18 ft,2,60-50,,
6:54.0,,,60-50,,Turnover by E. Gordon (bad pass; steal by J. Wall)
6:39.0,J. Wall misses 3-pt shot from 23 ft,,60-50,,
6:38.0,,,60-50,,Defensive rebound by A. Davis
6:28.0,Personal foul by N. Hilario (drawn by A. Davis),,60-50,,
6:28.0,,,60-50,,D. Cunningham enters the game for E. Gordon
6:13.0,,,60-52,2,T. Evans makes 2-pt shot from 16 ft
5:56.0,B. Beal makes 2-pt shot from 15 ft (assist by M. Gortat),2,62-52,,
5:35.0,,,62-52,,T. Evans misses 2-pt shot from 1 ft
5:34.0,,,62-52,,Offensive rebound by T. Evans
5:24.0,,,62-52,,J. Holiday misses 2-pt shot from 16 ft
5:23.0,,,62-52,,Offensive rebound by T. Evans
5:17.0,,,62-52,,Turnover by J. Holiday (bad pass; steal by J. Wall)
5:16.0,,,62-52,,Personal foul by J. Holiday (drawn by J. Wall)
5:16.0,,,62-52,,New Orleans full timeout
5:07.0,Turnover by J. Wall (lost ball; steal by J. Holiday),,62-52,,
5:05.0,,,62-54,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
4:36.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,65-54,,
4:17.0,,,65-56,2,A. Davis makes 2-pt shot from 16 ft (assist by J. Holiday)
4:03.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,67-56,,
3:45.0,,,67-56,,J. Holiday misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by B. Beal,,67-56,,
3:31.0,N. Hilario misses 2-pt shot from 16 ft,,67-56,,
3:29.0,,,67-56,,Defensive rebound by A. Davis
3:16.0,,,67-58,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
2:59.0,J. Wall misses 3-pt shot from 24 ft,,67-58,,
2:57.0,Offensive rebound by P. Pierce,,67-58,,
2:56.0,P. Pierce makes 2-pt shot from 2 ft,2,69-58,,
2:37.0,,,69-60,2,T. Evans makes 2-pt shot from 18 ft
2:13.0,Washington full timeout,,69-60,,
2:13.0,K. Humphries enters the game for N. Hilario,,69-60,,
2:13.0,,,69-60,,R. Anderson enters the game for O. Asik
2:09.0,M. Gortat misses 2-pt shot from 20 ft (block by A. Davis),,69-60,,
2:09.0,Offensive rebound by Team,,69-60,,
2:09.0,Turnover by Team (shot clock),,69-60,,
1:52.0,Personal foul by K. Humphries (drawn by A. Davis),,69-60,,
1:52.0,O. Porter enters the game for P. Pierce,,69-60,,
1:40.0,,,69-60,,J. Holiday misses 2-pt shot from 2 ft
1:39.0,Defensive rebound by O. Porter,,69-60,,
1:30.0,Turnover by J. Wall (bad pass; steal by J. Holiday),,69-60,,
1:26.0,,,69-60,,T. Evans misses 2-pt shot from 1 ft
1:24.0,,,69-60,,Offensive rebound by A. Davis
1:24.0,,,69-62,2,A. Davis makes 2-pt shot from 1 ft
1:00.0,J. Wall misses 3-pt shot from 25 ft,,69-62,,
0:58.0,Offensive rebound by M. Gortat,,69-62,,
0:47.0,K. Humphries misses 2-pt shot from 11 ft,,69-62,,
0:45.0,,,69-62,,Defensive rebound by T. Evans
0:37.0,,,69-62,,T. Evans misses 2-pt shot from 2 ft
0:35.0,Defensive rebound by O. Porter,,69-62,,
0:30.0,B. Beal misses 3-pt shot from 24 ft,,69-62,,
0:29.0,Offensive rebound by M. Gortat,,69-62,,
0:28.0,M. Gortat misses 2-pt shot from 2 ft,,69-62,,
0:27.0,,,69-62,,Defensive rebound by T. Evans
0:06.0,,,69-64,2,T. Evans makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,O. Porter misses 2-pt shot from 16 ft,,69-64,,
11:43.0,,,69-64,,Defensive rebound by R. Anderson
11:25.0,,,69-67,3,R. Anderson makes 3-pt shot from 27 ft (assist by E. Gordon)
10:58.0,K. Seraphin misses 2-pt shot from 5 ft,,69-67,,
10:56.0,,,69-67,,Defensive rebound by A. Davis
10:51.0,,,69-67,,Turnover by A. Rivers (bad pass; steal by O. Porter)
10:46.0,R. Butler misses 2-pt shot from 2 ft,,69-67,,
10:44.0,,,69-67,,Defensive rebound by D. Cunningham
10:31.0,,,69-67,,A. Rivers misses 2-pt shot from 17 ft
10:30.0,Defensive rebound by K. Humphries,,69-67,,
10:17.0,A. Miller makes 2-pt shot from 8 ft,2,71-67,,
10:03.0,,,71-67,,E. Gordon misses 3-pt shot from 23 ft
10:02.0,Defensive rebound by A. Miller,,71-67,,
9:53.0,R. Butler misses 2-pt shot from 15 ft,,71-67,,
9:51.0,Offensive rebound by O. Porter,,71-67,,
9:39.0,K. Humphries makes 2-pt shot from 15 ft (assist by A. Miller),2,73-67,,
9:18.0,,,73-69,2,A. Davis makes 2-pt shot from 2 ft
9:05.0,Shooting foul by A. Rivers (drawn by A. Miller),,73-69,,
9:05.0,A. Miller makes free throw 1 of 2,1,74-69,,
9:05.0,,,74-69,,A. Ajinca enters the game for A. Davis
9:05.0,A. Miller makes free throw 2 of 2,1,75-69,,
8:44.0,,,75-69,,R. Anderson misses 2-pt shot from 18 ft
8:42.0,,,75-69,,Offensive rebound by A. Ajinca
8:40.0,,,75-69,,A. Ajinca misses 2-pt shot from 2 ft (block by K. Seraphin)
8:38.0,Defensive rebound by O. Porter,,75-69,,
8:20.0,A. Miller makes 2-pt shot from 6 ft,2,77-69,,
8:12.0,Personal foul by K. Humphries (drawn by A. Rivers),,77-69,,
8:12.0,Official timeout,,77-69,,
8:03.0,,,77-69,,Shooting foul by K. Seraphin (drawn by R. Anderson)
8:03.0,,,77-69,,R. Anderson misses free throw 1 of 2
8:03.0,,,77-69,,Offensive rebound by Team
8:03.0,,,77-70,1,R. Anderson makes free throw 2 of 2
7:45.0,A. Miller makes 2-pt shot from 10 ft,2,79-70,,
7:23.0,,,79-72,2,A. Rivers makes 2-pt shot from 19 ft (assist by E. Gordon)
7:07.0,,,79-72,,A. Davis enters the game for A. Ajinca
7:07.0,,,79-72,,T. Evans enters the game for D. Cunningham
7:02.0,R. Butler makes 2-pt shot from 16 ft,2,81-72,,
6:45.0,,,81-74,2,E. Gordon makes 2-pt shot from 15 ft
6:23.0,R. Butler misses 2-pt shot from 2 ft,,81-74,,
6:22.0,Offensive rebound by K. Humphries,,81-74,,
6:22.0,K. Humphries misses 2-pt shot at rim,,81-74,,
6:19.0,,,81-74,,Defensive rebound by R. Anderson
6:05.0,,,81-74,,T. Evans misses 2-pt shot at rim (block by O. Porter)
6:03.0,,,81-74,,Offensive rebound by T. Evans
6:03.0,,,81-74,,Turnover by T. Evans (traveling)
6:03.0,,,81-74,,J. Holiday enters the game for A. Rivers
5:48.0,R. Butler misses 2-pt shot from 13 ft (block by T. Evans),,81-74,,
5:48.0,Offensive rebound by A. Miller,,81-74,,
5:48.0,,,81-74,,Loose ball foul by J. Holiday (drawn by A. Miller)
5:48.0,,,81-74,,New Orleans full timeout
5:36.0,,,81-74,,Personal foul by R. Anderson (drawn by R. Butler)
5:36.0,B. Beal enters the game for R. Butler,,81-74,,
5:36.0,J. Wall enters the game for A. Miller,,81-74,,
5:30.0,K. Humphries misses 2-pt shot from 17 ft,,81-74,,
5:28.0,,,81-74,,Defensive rebound by E. Gordon
5:13.0,,,81-77,3,R. Anderson makes 3-pt shot from 25 ft (assist by A. Davis)
4:49.0,Turnover by J. Wall (bad pass; steal by T. Evans),,81-77,,
4:37.0,,,81-77,,J. Holiday misses 2-pt shot from 3 ft (block by K. Seraphin)
4:37.0,,,81-77,,Offensive rebound by Team
4:37.0,N. Hilario enters the game for K. Seraphin,,81-77,,
4:29.0,,,81-77,,R. Anderson misses 2-pt shot from 1 ft
4:27.0,Defensive rebound by O. Porter,,81-77,,
4:12.0,B. Beal misses 2-pt shot from 20 ft,,81-77,,
4:09.0,Offensive rebound by K. Humphries,,81-77,,
4:09.0,K. Humphries makes 2-pt shot from 2 ft,2,83-77,,
3:58.0,,,83-77,,Turnover by J. Holiday (lost ball; steal by O. Porter)
3:33.0,K. Humphries makes 2-pt shot at rim (assist by N. Hilario),2,85-77,,
3:33.0,,,85-77,,New Orleans full timeout
3:33.0,,,85-77,,D. Cunningham enters the game for E. Gordon
3:33.0,P. Pierce enters the game for O. Porter,,85-77,,
3:21.0,,,85-79,2,A. Davis makes 2-pt shot at rim (assist by R. Anderson)
2:56.0,P. Pierce misses 2-pt shot from 17 ft,,85-79,,
2:53.0,Offensive rebound by Team,,85-79,,
2:39.0,N. Hilario makes 2-pt shot from 2 ft,2,87-79,,
2:17.0,,,87-79,,Turnover by A. Davis (lost ball)
2:01.0,,,87-79,,Personal foul by D. Cunningham (drawn by N. Hilario)
1:52.0,J. Wall makes 2-pt shot from 16 ft (assist by K. Humphries),2,89-79,,
1:41.0,,,89-79,,Shooting foul by J. Wall (drawn by T. Evans)
1:41.0,,,89-80,1,T. Evans makes free throw 1 of 2
1:41.0,,,89-80,,E. Gordon enters the game for D. Cunningham
1:41.0,,,89-80,,T. Evans misses free throw 2 of 2
1:40.0,Defensive rebound by N. Hilario,,89-80,,
1:20.0,Turnover by J. Wall (bad pass; steal by J. Holiday),,89-80,,
1:16.0,,,89-80,,Turnover by T. Evans (lost ball; steal by B. Beal)
0:54.0,J. Wall misses 3-pt shot from 22 ft,,89-80,,
0:54.0,Offensive rebound by Team,,89-80,,
0:54.0,Turnover by Team (shot clock),,89-80,,
0:54.0,,,89-80,,New Orleans full timeout
0:54.0,R. Butler enters the game for N. Hilario,,89-80,,
0:52.0,,,89-83,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans)
0:37.0,K. Humphries misses 2-pt shot from 2 ft,,89-83,,
0:35.0,Offensive rebound by K. Humphries,,89-83,,
0:32.0,Turnover by K. Humphries (bad pass; steal by R. Anderson),,89-83,,
0:31.0,,,89-85,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
0:31.0,Washington full timeout,,89-85,,
0:31.0,N. Hilario enters the game for K. Humphries,,89-85,,
0:30.0,,,89-85,,Personal take foul by A. Davis (drawn by R. Butler)
0:30.0,R. Butler makes free throw 1 of 2,1,90-85,,
0:30.0,R. Butler misses free throw 2 of 2,,90-85,,
0:29.0,,,90-85,,Defensive rebound by E. Gordon
0:29.0,,,90-85,,New Orleans full timeout
0:21.0,,,90-85,,J. Holiday misses 2-pt shot from 1 ft
0:20.0,Defensive rebound by R. Butler,,90-85,,
0:20.0,,,90-85,,Personal take foul by A. Davis (drawn by R. Butler)
0:20.0,R. Butler makes free throw 1 of 2,1,91-85,,
0:20.0,R. Butler makes free throw 2 of 2,1,92-85,,
0:13.0,,,92-85,,R. Anderson misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by B. Beal,,92-85,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
