time,Utah,pts.away,score,pts.home,LA Lakers
4:58.0,Turnover by D. Favors (lost ball; steal by J. Lin),,9-10,,
4:46.0,,,9-10,,J. Hill misses 2-pt shot from 5 ft
4:43.0,Defensive rebound by G. Hayward,,9-10,,
4:39.0,,,9-10,,Personal foul by J. Clarkson (drawn by D. Exum)
4:39.0,T. Booker enters the game for D. Favors,,9-10,,
4:22.0,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hayward),3,12-10,,
4:06.0,,,12-10,,J. Lin misses 2-pt shot at rim
4:00.0,Defensive rebound by R. Gobert,,12-10,,
3:47.0,J. Ingles misses 2-pt shot from 1 ft (block by J. Lin),,12-10,,
3:43.0,Offensive rebound by T. Booker,,12-10,,
3:41.0,Turnover by T. Booker (lost ball; steal by J. Lin),,12-10,,
3:37.0,,,12-12,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin)
3:16.0,J. Ingles makes 3-pt shot from 25 ft (assist by G. Hayward),3,15-12,,
3:07.0,Personal foul by D. Exum (drawn by J. Clarkson),,15-12,,
3:07.0,T. Burke enters the game for D. Exum,,15-12,,
3:07.0,,,15-12,,E. Davis enters the game for J. Hill
3:07.0,,,15-12,,J. Brown enters the game for J. Clarkson
2:57.0,Violation by T. Booker (kicked ball),,15-12,,
2:57.0,Utah full timeout,,15-12,,
2:57.0,E. Millsap enters the game for G. Hayward,,15-12,,
2:45.0,,,15-14,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
2:24.0,,,15-14,,Personal foul by C. Boozer (drawn by R. Gobert)
2:24.0,,,15-14,,R. Kelly enters the game for W. Johnson
2:15.0,J. Ingles misses 3-pt shot from 24 ft,,15-14,,
2:12.0,,,15-14,,Defensive rebound by E. Davis
1:59.0,,,15-16,2,J. Lin makes 2-pt shot from 5 ft
1:35.0,T. Burke makes 2-pt shot from 1 ft (assist by T. Booker),2,17-16,,
1:21.0,,,17-16,,C. Boozer misses 2-pt shot from 18 ft
1:20.0,,,17-16,,Offensive rebound by E. Davis
1:11.0,,,17-16,,Turnover by J. Lin (bad pass; steal by R. Gobert)
1:06.0,Shooting foul by J. Brown (drawn by T. Booker),,17-16,,
1:06.0,T. Booker misses free throw 1 of 2,,17-16,,
1:06.0,Offensive rebound by Team,,17-16,,
1:06.0,J. Cooley enters the game for R. Gobert,,17-16,,
1:06.0,T. Booker makes free throw 2 of 2,1,18-16,,
0:57.0,Personal foul by J. Cooley (drawn by C. Boozer),,18-16,,
0:50.0,,,18-16,,J. Lin misses 2-pt shot at rim
0:49.0,,,18-16,,Offensive rebound by E. Davis
0:44.0,,,18-16,,Turnover by R. Kelly (lost ball; steal by J. Cooley)
0:34.0,E. Millsap misses 3-pt shot from 22 ft,,18-16,,
0:32.0,,,18-16,,Defensive rebound by C. Boozer
0:07.0,,,18-16,,J. Lin misses 2-pt shot from 19 ft
0:05.0,Defensive rebound by E. Millsap,,18-16,,
0:03.0,T. Burke misses 3-pt shot from 26 ft,,18-16,,
0:00.0,,,18-16,,Defensive rebound by R. Kelly
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,18-16,,R. Kelly misses 2-pt shot from 13 ft
11:45.0,Defensive rebound by E. Millsap,,18-16,,
11:31.0,T. Burke makes 3-pt shot from 24 ft (assist by T. Booker),3,21-16,,
11:03.0,,,21-19,3,J. Brown makes 3-pt shot from 26 ft (assist by C. Boozer)
10:48.0,T. Burke makes 3-pt shot from 24 ft (assist by T. Booker),3,24-19,,
10:35.0,,,24-19,,Offensive foul by C. Boozer
10:35.0,,,24-19,,Turnover by C. Boozer (offensive foul)
10:35.0,,,24-19,,Violation by Team (delay of game)
10:24.0,Offensive foul by J. Cooley,,24-19,,
10:24.0,Turnover by J. Cooley (offensive foul),,24-19,,
10:13.0,,,24-19,,Turnover by C. Boozer (lost ball; steal by J. Cooley)
10:00.0,Turnover by T. Burke (lost ball; steal by J. Lin),,24-19,,
9:54.0,,,24-21,2,C. Boozer makes 2-pt shot from 1 ft
9:31.0,T. Booker makes 2-pt shot from 2 ft (assist by J. Ingles),2,26-21,,
9:17.0,,,26-21,,Shooting foul by T. Booker (drawn by E. Davis)
9:17.0,,,26-21,,E. Davis misses free throw 1 of 2
9:17.0,,,26-21,,Offensive rebound by Team
9:17.0,D. Favors enters the game for J. Cooley,,26-21,,
9:17.0,,,26-21,,E. Davis misses free throw 2 of 2
9:14.0,Defensive rebound by T. Booker,,26-21,,
9:01.0,T. Burke makes 2-pt shot from 16 ft,2,28-21,,
8:43.0,,,28-21,,Shooting foul by E. Millsap (drawn by J. Brown)
8:43.0,Official timeout,,28-21,,
8:43.0,R. Hood enters the game for J. Ingles,,28-21,,
8:43.0,,,28-22,1,J. Brown makes free throw 1 of 2
8:43.0,,,28-22,,J. Brown misses free throw 2 of 2
8:41.0,Defensive rebound by T. Booker,,28-22,,
8:18.0,T. Burke makes 3-pt shot from 26 ft (assist by E. Millsap),3,31-22,,
8:03.0,Personal foul by T. Burke (drawn by J. Lin),,31-22,,
8:03.0,,,31-22,,T. Black enters the game for C. Boozer
7:54.0,,,31-22,,J. Lin misses 2-pt shot from 9 ft
7:53.0,Defensive rebound by T. Booker,,31-22,,
7:41.0,T. Booker misses 2-pt shot from 5 ft,,31-22,,
7:39.0,,,31-22,,Defensive rebound by T. Black
7:20.0,,,31-22,,R. Kelly misses 2-pt shot from 15 ft (block by E. Millsap)
7:20.0,,,31-22,,Offensive rebound by Team
7:17.0,,,31-22,,J. Brown misses 2-pt shot from 22 ft
7:15.0,Defensive rebound by T. Burke,,31-22,,
6:55.0,Turnover by E. Millsap (traveling),,31-22,,
6:45.0,,,31-22,,Turnover by J. Brown (bad pass; steal by D. Favors)
6:22.0,Turnover by T. Burke (lost ball; steal by R. Kelly),,31-22,,
6:18.0,,,31-22,,W. Ellington enters the game for J. Brown
6:10.0,,,31-22,,T. Black misses 2-pt shot from 2 ft
6:07.0,,,31-22,,Offensive rebound by E. Davis
6:07.0,,,31-24,2,E. Davis makes 2-pt shot from 1 ft
5:52.0,Shooting foul by T. Black (drawn by D. Favors),,31-24,,
5:52.0,,,31-24,,LA Lakers full timeout
5:52.0,,,31-24,,J. Hill enters the game for E. Davis
5:52.0,R. Gobert enters the game for T. Booker,,31-24,,
5:52.0,D. Exum enters the game for T. Burke,,31-24,,
5:52.0,G. Hayward enters the game for E. Millsap,,31-24,,
5:52.0,D. Favors makes free throw 1 of 2,1,32-24,,
5:52.0,D. Favors misses free throw 2 of 2,,32-24,,
5:50.0,,,32-24,,Defensive rebound by J. Hill
5:31.0,,,32-24,,R. Kelly misses 2-pt shot from 1 ft
5:30.0,,,32-24,,Offensive rebound by T. Black
5:30.0,,,32-26,2,T. Black makes 2-pt shot at rim
5:10.0,R. Hood misses 2-pt shot from 15 ft,,32-26,,
5:08.0,,,32-26,,Defensive rebound by J. Lin
5:01.0,,,32-26,,Shooting foul by D. Favors (drawn by T. Black)
5:01.0,,,32-27,1,T. Black makes free throw 1 of 2
5:01.0,,,32-27,,J. Clarkson enters the game for R. Kelly
5:01.0,,,32-27,,W. Johnson enters the game for J. Lin
5:01.0,,,32-27,,T. Black misses free throw 2 of 2
5:00.0,Defensive rebound by R. Hood,,32-27,,
4:38.0,D. Favors misses 2-pt shot from 17 ft,,32-27,,
4:36.0,,,32-27,,Defensive rebound by W. Ellington
4:24.0,,,32-27,,W. Johnson misses 2-pt shot from 22 ft
4:23.0,Defensive rebound by D. Favors,,32-27,,
4:06.0,R. Hood misses 3-pt shot from 25 ft,,32-27,,
4:04.0,,,32-27,,Defensive rebound by J. Clarkson
4:00.0,,,32-29,2,W. Ellington makes 2-pt shot from 1 ft (assist by J. Clarkson)
3:37.0,D. Exum misses 3-pt shot from 22 ft,,32-29,,
3:36.0,,,32-29,,Defensive rebound by T. Black
3:26.0,,,32-29,,J. Hill misses 3-pt shot from 23 ft
3:24.0,Defensive rebound by D. Exum,,32-29,,
3:00.0,R. Hood misses 2-pt shot from 2 ft,,32-29,,
2:58.0,,,32-29,,Defensive rebound by T. Black
2:52.0,,,32-29,,W. Ellington misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by R. Gobert,,32-29,,
2:43.0,Utah full timeout,,32-29,,
2:43.0,J. Ingles enters the game for R. Hood,,32-29,,
2:43.0,T. Burke enters the game for D. Exum,,32-29,,
2:24.0,D. Favors misses 2-pt shot from 7 ft,,32-29,,
2:22.0,,,32-29,,Defensive rebound by T. Black
2:09.0,,,32-29,,Shooting foul by D. Favors (drawn by J. Hill)
2:09.0,,,32-29,,J. Hill misses free throw 1 of 2
2:09.0,,,32-29,,Offensive rebound by Team
2:09.0,J. Cooley enters the game for D. Favors,,32-29,,
2:09.0,,,32-30,1,J. Hill makes free throw 2 of 2
1:44.0,G. Hayward misses 2-pt shot from 5 ft,,32-30,,
1:42.0,,,32-30,,Defensive rebound by T. Black
1:33.0,,,32-32,2,W. Johnson makes 2-pt shot at rim (assist by T. Black)
1:26.0,Utah full timeout,,32-32,,
1:26.0,T. Booker enters the game for J. Cooley,,32-32,,
1:20.0,T. Burke misses 3-pt shot from 24 ft,,32-32,,
1:19.0,,,32-32,,Defensive rebound by W. Johnson
1:00.0,,,32-34,2,J. Clarkson makes 2-pt shot from 1 ft
0:38.0,Shooting foul by J. Hill (drawn by G. Hayward),,32-34,,
0:38.0,G. Hayward makes free throw 1 of 2,1,33-34,,
0:38.0,G. Hayward misses free throw 2 of 2,,33-34,,
0:37.0,,,33-34,,Defensive rebound by J. Hill
0:22.0,,,33-36,2,W. Johnson makes 2-pt shot at rim (assist by J. Clarkson)
0:01.0,J. Ingles misses 3-pt shot from 24 ft,,33-36,,
0:00.0,Offensive rebound by Team,,33-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,33-36,,W. Johnson misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by R. Gobert,,33-36,,
11:13.0,D. Favors misses 2-pt shot from 15 ft,,33-36,,
11:12.0,Offensive rebound by Team,,33-36,,
11:12.0,Turnover by Team (shot clock),,33-36,,
10:57.0,,,33-36,,W. Johnson misses 2-pt shot from 13 ft
10:55.0,Defensive rebound by D. Favors,,33-36,,
10:42.0,Shooting foul by T. Black (drawn by R. Hood),,33-36,,
10:42.0,R. Hood makes free throw 1 of 2,1,34-36,,
10:42.0,R. Hood makes free throw 2 of 2,1,35-36,,
10:22.0,,,35-36,,W. Johnson misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by D. Favors,,35-36,,
10:12.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood),2,37-36,,
9:48.0,,,37-36,,J. Hill misses 2-pt shot from 4 ft
9:47.0,Defensive rebound by G. Hayward,,37-36,,
9:26.0,D. Favors misses 2-pt shot from 12 ft,,37-36,,
9:26.0,Offensive rebound by Team,,37-36,,
9:16.0,D. Favors misses 2-pt shot from 2 ft (block by J. Hill),,37-36,,
9:14.0,,,37-36,,Defensive rebound by J. Clarkson
9:09.0,,,37-38,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
8:39.0,G. Hayward misses 3-pt shot from 24 ft,,37-38,,
8:38.0,,,37-38,,Defensive rebound by J. Hill
8:19.0,,,37-38,,Turnover by J. Clarkson (lost ball; steal by D. Exum)
8:14.0,D. Favors makes 2-pt shot at rim (assist by D. Exum),2,39-38,,
7:58.0,,,39-38,,T. Black misses 2-pt shot at rim
7:56.0,,,39-38,,Offensive rebound by J. Hill
7:56.0,,,39-38,,Shooting foul by D. Favors (drawn by J. Hill)
7:56.0,,,39-38,,J. Hill misses free throw 1 of 2
7:56.0,,,39-38,,Offensive rebound by Team
7:56.0,,,39-39,1,J. Hill makes free throw 2 of 2
7:44.0,Turnover by D. Exum (bad pass; steal by J. Hill),,39-39,,
7:38.0,,,39-41,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
7:27.0,,,39-41,,Personal block foul by J. Hill (drawn by D. Favors)
7:27.0,T. Booker enters the game for D. Favors,,39-41,,
7:18.0,R. Hood misses 2-pt shot from 19 ft,,39-41,,
7:17.0,,,39-41,,Defensive rebound by W. Johnson
7:11.0,,,39-41,,J. Hill misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by D. Exum,,39-41,,
7:02.0,Turnover by G. Hayward (discontinued dribble),,39-41,,
6:46.0,,,39-43,2,W. Johnson makes 2-pt shot from 2 ft
6:31.0,R. Hood misses 3-pt shot from 24 ft,,39-43,,
6:30.0,,,39-43,,Defensive rebound by W. Ellington
6:16.0,,,39-43,,T. Black misses 2-pt shot from 2 ft (block by R. Gobert)
6:11.0,Defensive rebound by D. Exum,,39-43,,
6:08.0,Turnover by D. Exum (bad pass; steal by J. Hill),,39-43,,
5:49.0,,,39-43,,J. Clarkson misses 2-pt shot from 19 ft
5:48.0,Defensive rebound by G. Hayward,,39-43,,
5:30.0,G. Hayward makes 2-pt shot from 19 ft,2,41-43,,
5:14.0,,,41-45,2,W. Ellington makes 2-pt shot from 19 ft (assist by J. Clarkson)
4:57.0,T. Booker makes 2-pt shot from 1 ft (assist by G. Hayward),2,43-45,,
4:42.0,,,43-45,,W. Ellington misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by R. Gobert,,43-45,,
4:24.0,D. Exum misses 3-pt shot from 24 ft,,43-45,,
4:23.0,,,43-45,,Defensive rebound by J. Hill
4:18.0,,,43-45,,Shooting foul by R. Hood (drawn by W. Johnson)
4:18.0,,,43-45,,LA Lakers full timeout
4:18.0,T. Burke enters the game for R. Hood,,43-45,,
4:18.0,E. Millsap enters the game for D. Exum,,43-45,,
4:18.0,,,43-45,,C. Boozer enters the game for J. Hill
4:18.0,,,43-45,,J. Lin enters the game for W. Ellington
4:18.0,,,43-46,1,W. Johnson makes free throw 1 of 2
4:18.0,,,43-46,,W. Johnson misses free throw 2 of 2
4:16.0,Defensive rebound by G. Hayward,,43-46,,
3:52.0,G. Hayward makes 2-pt shot from 12 ft,2,45-46,,
3:25.0,,,45-48,2,C. Boozer makes 2-pt shot from 11 ft (assist by J. Clarkson)
3:10.0,E. Millsap makes 3-pt shot from 24 ft (assist by T. Booker),3,48-48,,
2:50.0,,,48-48,,J. Lin misses 2-pt shot from 1 ft
2:49.0,Defensive rebound by T. Burke,,48-48,,
2:32.0,T. Booker makes 3-pt shot from 25 ft (assist by G. Hayward),3,51-48,,
2:18.0,,,51-50,2,C. Boozer makes 2-pt shot from 16 ft (assist by J. Clarkson)
1:56.0,Shooting foul by W. Johnson (drawn by G. Hayward),,51-50,,
1:56.0,Utah full timeout,,51-50,,
1:56.0,,,51-50,,E. Davis enters the game for T. Black
1:56.0,,,51-50,,J. Brown enters the game for J. Clarkson
1:56.0,D. Favors enters the game for R. Gobert,,51-50,,
1:56.0,G. Hayward makes free throw 1 of 2,1,52-50,,
1:56.0,G. Hayward makes free throw 2 of 2,1,53-50,,
1:43.0,,,53-50,,C. Boozer misses 2-pt shot at rim (block by T. Booker)
1:43.0,,,53-50,,Offensive rebound by Team
1:38.0,,,53-52,2,E. Davis makes 2-pt shot at rim (assist by C. Boozer)
1:37.0,,,53-52,,Technical foul by E. Davis
1:37.0,G. Hayward misses technical free throw,,53-52,,
1:37.0,Offensive rebound by Team,,53-52,,
1:23.0,Shooting foul by E. Davis (drawn by T. Booker),,53-52,,
1:23.0,T. Booker makes free throw 1 of 2,1,54-52,,
1:23.0,T. Booker makes free throw 2 of 2,1,55-52,,
1:12.0,,,55-52,,Turnover by J. Lin (bad pass; steal by G. Hayward)
1:11.0,G. Hayward makes 2-pt shot at rim,2,57-52,,
1:11.0,Shooting foul by W. Johnson (drawn by G. Hayward),,57-52,,
1:11.0,G. Hayward makes free throw 1 of 1,1,58-52,,
0:50.0,,,58-55,3,W. Johnson makes 3-pt shot from 23 ft (assist by J. Lin)
0:30.0,G. Hayward misses 3-pt shot from 25 ft,,58-55,,
0:28.0,Offensive rebound by T. Booker,,58-55,,
0:28.0,T. Booker misses 2-pt shot from 1 ft (block by E. Davis),,58-55,,
0:23.0,,,58-55,,Defensive rebound by E. Davis
0:04.0,,,58-55,,Turnover by Team (shot clock)
0:00.0,D. Favors misses 3-pt shot from 25 ft,,58-55,,
0:00.0,Offensive rebound by Team,,58-55,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Turnover by J. Ingles (traveling),,58-55,,
11:27.0,,,58-55,,C. Boozer misses 2-pt shot from 4 ft
11:25.0,Defensive rebound by E. Millsap,,58-55,,
11:14.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,60-55,,
10:46.0,,,60-57,2,R. Kelly makes 2-pt shot from 22 ft (assist by C. Boozer)
10:25.0,T. Burke misses 2-pt shot from 19 ft,,60-57,,
10:23.0,,,60-57,,Defensive rebound by E. Davis
10:11.0,,,60-57,,Turnover by C. Boozer (offensive goaltending)
9:53.0,J. Ingles makes 3-pt shot from 23 ft (assist by T. Burke),3,63-57,,
9:38.0,,,63-57,,J. Lin misses 2-pt shot from 10 ft
9:36.0,Defensive rebound by J. Ingles,,63-57,,
9:22.0,J. Ingles misses 2-pt shot from 17 ft,,63-57,,
9:21.0,,,63-57,,Defensive rebound by J. Brown
9:13.0,,,63-59,2,C. Boozer makes 2-pt shot from 1 ft (assist by R. Kelly)
9:13.0,,,63-59,,Shooting foul by T. Booker (drawn by C. Boozer)
9:13.0,R. Gobert enters the game for T. Booker,,63-59,,
9:13.0,,,63-60,1,C. Boozer makes free throw 1 of 1
8:58.0,,,63-60,,Personal foul by J. Lin (drawn by E. Millsap)
8:58.0,Official timeout,,63-60,,
8:45.0,D. Favors misses 2-pt shot from 6 ft,,63-60,,
8:43.0,,,63-60,,Defensive rebound by C. Boozer
8:43.0,Personal foul by E. Millsap (drawn by C. Boozer),,63-60,,
8:27.0,,,63-60,,J. Brown misses 2-pt shot from 2 ft (block by E. Millsap)
8:27.0,,,63-60,,Offensive rebound by Team
8:20.0,,,63-60,,J. Lin misses 2-pt shot from 16 ft
8:19.0,,,63-60,,Offensive rebound by E. Davis
8:19.0,,,63-62,2,E. Davis makes 2-pt shot from 1 ft
7:56.0,D. Favors misses 2-pt shot from 1 ft,,63-62,,
7:54.0,,,63-62,,Defensive rebound by J. Brown
7:43.0,,,63-62,,C. Boozer misses 2-pt shot from 10 ft
7:37.0,Defensive rebound by E. Millsap,,63-62,,
7:36.0,,,63-62,,Personal foul by J. Lin (drawn by T. Burke)
7:36.0,G. Hayward enters the game for E. Millsap,,63-62,,
7:23.0,Shooting foul by E. Davis (drawn by D. Favors),,63-62,,
7:23.0,D. Favors makes free throw 1 of 2,1,64-62,,
7:23.0,D. Exum enters the game for T. Burke,,64-62,,
7:23.0,D. Favors makes free throw 2 of 2,1,65-62,,
7:06.0,Personal foul by R. Gobert (drawn by J. Brown),,65-62,,
7:06.0,,,65-62,,W. Johnson enters the game for R. Kelly
6:59.0,,,65-64,2,W. Johnson makes 2-pt shot from 20 ft (assist by E. Davis)
6:35.0,Turnover by D. Exum (bad pass; steal by E. Davis),,65-64,,
6:27.0,,,65-67,3,J. Brown makes 3-pt shot from 23 ft (assist by J. Lin)
6:18.0,Utah full timeout,,65-67,,
6:18.0,,,65-67,,J. Clarkson enters the game for J. Lin
6:18.0,R. Hood enters the game for J. Ingles,,65-67,,
6:15.0,G. Hayward makes 2-pt shot from 13 ft (assist by R. Hood),2,67-67,,
6:15.0,Shooting foul by W. Johnson (drawn by G. Hayward),,67-67,,
6:15.0,G. Hayward makes free throw 1 of 1,1,68-67,,
6:04.0,,,68-67,,E. Davis misses 2-pt shot from 1 ft (block by D. Favors)
6:04.0,,,68-67,,Offensive rebound by Team
5:54.0,,,68-69,2,J. Clarkson makes 2-pt shot from 6 ft
5:30.0,D. Exum misses 3-pt shot from 24 ft,,68-69,,
5:28.0,,,68-69,,Defensive rebound by E. Davis
5:04.0,,,68-69,,W. Johnson misses 2-pt shot from 20 ft
5:03.0,,,68-69,,Offensive rebound by Team
5:03.0,T. Burke enters the game for D. Exum,,68-69,,
5:03.0,E. Millsap enters the game for R. Hood,,68-69,,
5:03.0,,,68-69,,T. Black enters the game for C. Boozer
5:03.0,,,68-69,,J. Hill enters the game for E. Davis
4:41.0,,,68-69,,Turnover by J. Brown (lost ball; steal by E. Millsap)
4:28.0,Turnover by D. Favors (lost ball; steal by J. Brown),,68-69,,
4:28.0,Jump ball: J. Brown vs. D. Favors (J. Hill gains possession),,,,Jump ball: J. Brown vs. D. Favors (J. Hill gains possession)
4:21.0,,,68-69,,Turnover by J. Hill (lost ball; steal by G. Hayward)
4:15.0,D. Favors makes 2-pt shot at rim (assist by E. Millsap),2,70-69,,
3:53.0,,,70-69,,W. Ellington enters the game for J. Brown
3:48.0,,,70-69,,T. Black misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by E. Millsap,,70-69,,
3:31.0,Shooting foul by W. Johnson (drawn by G. Hayward),,70-69,,
3:31.0,G. Hayward makes free throw 1 of 2,1,71-69,,
3:31.0,G. Hayward makes free throw 2 of 2,1,72-69,,
3:10.0,Personal foul by E. Millsap (drawn by J. Clarkson),,72-69,,
3:02.0,,,72-69,,J. Clarkson misses 2-pt shot from 20 ft
3:00.0,Defensive rebound by R. Gobert,,72-69,,
2:45.0,G. Hayward misses 2-pt shot from 1 ft,,72-69,,
2:44.0,,,72-69,,Defensive rebound by J. Clarkson
2:44.0,Personal take foul by D. Favors (drawn by J. Clarkson),,72-69,,
2:44.0,,,72-69,,LA Lakers full timeout
2:44.0,,,72-70,1,J. Clarkson makes free throw 1 of 2
2:44.0,,,72-71,1,J. Clarkson makes free throw 2 of 2
2:30.0,T. Burke makes 2-pt shot from 1 ft,2,74-71,,
2:06.0,,,74-71,,J. Clarkson misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by Team,,74-71,,
1:45.0,T. Burke makes 2-pt shot from 8 ft,2,76-71,,
1:40.0,,,76-71,,LA Lakers full timeout
1:28.0,,,76-71,,Turnover by J. Hill (lost ball; steal by G. Hayward)
1:12.0,T. Burke misses 3-pt shot from 24 ft,,76-71,,
1:11.0,,,76-71,,Defensive rebound by J. Hill
1:09.0,,,76-71,,Turnover by J. Hill (bad pass)
1:00.0,,,76-71,,Personal foul by W. Johnson (drawn by G. Hayward)
1:00.0,G. Hayward makes free throw 1 of 2,1,77-71,,
1:00.0,G. Hayward makes free throw 2 of 2,1,78-71,,
1:00.0,,,78-71,,LA Lakers full timeout
0:48.0,,,78-71,,W. Ellington misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by D. Favors,,78-71,,
0:43.0,,,78-71,,Personal foul by W. Johnson (drawn by E. Millsap)
0:43.0,,,78-71,,J. Brown enters the game for W. Johnson
0:43.0,E. Millsap misses free throw 1 of 2,,78-71,,
0:43.0,Offensive rebound by Team,,78-71,,
0:43.0,E. Millsap misses free throw 2 of 2,,78-71,,
0:42.0,,,78-71,,Defensive rebound by Team
0:41.0,Loose ball foul by R. Gobert (drawn by T. Black),,78-71,,
0:41.0,,,78-71,,T. Black misses free throw 1 of 2
0:41.0,,,78-71,,Offensive rebound by Team
0:41.0,R. Hood enters the game for E. Millsap,,78-71,,
0:41.0,,,78-71,,T. Black misses free throw 2 of 2
0:40.0,,,78-71,,Offensive rebound by Team
0:40.0,E. Millsap enters the game for R. Hood,,78-71,,
0:37.0,,,78-73,2,T. Black makes 2-pt shot at rim (assist by J. Brown)
0:35.0,,,78-73,,Personal take foul by J. Brown (drawn by G. Hayward)
0:35.0,G. Hayward makes free throw 1 of 2,1,79-73,,
0:35.0,G. Hayward makes free throw 2 of 2,1,80-73,,
0:28.0,,,80-73,,J. Clarkson misses 2-pt shot from 16 ft
0:27.0,Defensive rebound by R. Gobert,,80-73,,
0:25.0,,,80-73,,Personal take foul by J. Clarkson (drawn by T. Burke)
