time,Memphis,pts.away,score,pts.home,Dallas
5:22.0,,,38-36,,Turnover by M. Ellis (lost ball; steal by J. Adams)
5:14.0,J. Adams makes 3-pt shot from 24 ft (assist by N. Calathes),3,41-36,,
5:12.0,,,41-36,,Dallas full timeout
5:12.0,Official timeout,,41-36,,
5:12.0,,,41-36,,R. Rondo enters the game for J. Barea
5:02.0,,,41-36,,C. Villanueva misses 3-pt shot from 25 ft
5:01.0,,,41-36,,Offensive rebound by T. Chandler
4:53.0,Personal foul by J. Adams (drawn by T. Chandler),,41-36,,
4:44.0,,,41-36,,M. Ellis misses 2-pt shot from 18 ft
4:42.0,Defensive rebound by N. Calathes,,41-36,,
4:33.0,V. Carter makes 2-pt shot from 10 ft,2,43-36,,
4:12.0,,,43-36,,Turnover by C. Villanueva (lost ball)
4:12.0,,,43-36,,D. Powell enters the game for T. Chandler
4:12.0,,,43-36,,D. Nowitzki enters the game for C. Villanueva
3:56.0,N. Calathes misses 2-pt shot from 3 ft,,43-36,,
3:53.0,,,43-36,,Defensive rebound by D. Powell
3:46.0,,,43-36,,Turnover by R. Rondo (bad pass; steal by V. Carter)
3:41.0,V. Carter makes 2-pt shot from 11 ft,2,45-36,,
3:08.0,,,45-36,,M. Ellis misses 2-pt shot from 18 ft
3:06.0,,,45-36,,Offensive rebound by D. Nowitzki
3:05.0,Personal foul by N. Calathes (drawn by D. Nowitzki),,45-36,,
3:05.0,,,45-36,,C. Parsons enters the game for R. Jefferson
3:05.0,M. Gasol enters the game for K. Koufos,,45-36,,
2:56.0,Shooting block foul by N. Calathes (drawn by M. Ellis),,45-36,,
2:56.0,Memphis full timeout,,45-36,,
2:56.0,B. Udrih enters the game for N. Calathes,,45-36,,
2:56.0,Z. Randolph enters the game for J. Leuer,,45-36,,
2:56.0,,,45-37,1,M. Ellis makes free throw 1 of 2
2:56.0,,,45-38,1,M. Ellis makes free throw 2 of 2
2:37.0,M. Gasol makes 2-pt shot from 1 ft (assist by Z. Randolph),2,47-38,,
2:23.0,,,47-40,2,M. Ellis makes 2-pt shot from 1 ft
2:12.0,,,47-40,,Shooting block foul by D. Powell (drawn by V. Carter)
2:12.0,V. Carter makes free throw 1 of 2,1,48-40,,
2:12.0,,,48-40,,T. Chandler enters the game for D. Powell
2:12.0,V. Carter makes free throw 2 of 2,1,49-40,,
2:02.0,,,49-42,2,M. Ellis makes 2-pt shot from 2 ft (assist by D. Nowitzki)
1:39.0,Z. Randolph makes 2-pt shot from 21 ft (assist by B. Udrih),2,51-42,,
1:20.0,,,51-42,,M. Ellis misses 2-pt shot from 4 ft
1:19.0,Defensive rebound by Z. Randolph,,51-42,,
1:09.0,V. Carter misses 2-pt shot from 3 ft,,51-42,,
1:09.0,,,51-42,,Defensive rebound by Team
1:09.0,J. Green enters the game for J. Adams,,51-42,,
1:01.0,,,51-42,,Offensive foul by M. Ellis
1:01.0,,,51-42,,Turnover by M. Ellis (offensive foul)
1:01.0,,,51-42,,Technical foul by M. Ellis
1:01.0,V. Carter makes technical free throw,1,52-42,,
0:42.0,B. Udrih makes 2-pt shot from 13 ft,2,54-42,,
0:35.0,,,54-44,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
0:18.0,V. Carter misses 3-pt shot from 27 ft,,54-44,,
0:18.0,,,54-44,,Defensive rebound by T. Chandler
0:00.0,,,54-44,,M. Ellis misses 3-pt shot from 25 ft
0:00.0,,,54-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,B. Udrih misses 3-pt shot from 24 ft,,54-44,,
11:42.0,Offensive rebound by M. Gasol,,54-44,,
11:40.0,M. Gasol makes 2-pt shot from 1 ft,2,56-44,,
