time,New York,pts.away,score,pts.home,Cleveland
1:40.0,J. Smith makes 2-pt shot from 18 ft (assist by J. Smith),2,16-21,,
1:30.0,Personal foul by J. Smith (drawn by D. Waiters),,16-21,,
1:30.0,,,16-21,,S. Marion enters the game for L. James
1:30.0,T. Wear enters the game for C. Anthony,,16-21,,
1:25.0,,,16-21,,S. Marion misses 2-pt shot from 2 ft
1:24.0,Defensive rebound by A. Stoudemire,,16-21,,
1:17.0,Turnover by J. Smith (lost ball),,16-21,,
1:05.0,,,16-21,,D. Waiters misses 3-pt shot from 26 ft
1:05.0,,,16-21,,Offensive rebound by Team
1:05.0,Loose ball foul by J. Smith (drawn by K. Love),,16-21,,
1:05.0,,,16-22,1,K. Love makes free throw 1 of 2
1:05.0,,,16-22,,K. Irving enters the game for D. Waiters
1:05.0,S. Dalembert enters the game for J. Smith,,16-22,,
1:05.0,,,16-23,1,K. Love makes free throw 2 of 2
0:49.0,New York full timeout,,16-23,,
0:49.0,T. Hardaway enters the game for J. Smith,,16-23,,
0:42.0,Shooting foul by T. Thompson (drawn by A. Stoudemire),,16-23,,
0:42.0,A. Stoudemire makes free throw 1 of 2,1,17-23,,
0:42.0,A. Stoudemire makes free throw 2 of 2,1,18-23,,
0:31.0,,,18-25,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
0:13.0,P. Prigioni misses 3-pt shot from 23 ft,,18-25,,
0:11.0,,,18-25,,Defensive rebound by S. Marion
0:03.0,,,18-25,,K. Irving misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by S. Dalembert,,18-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,A. Stoudemire misses 2-pt shot from 6 ft,,18-25,,
11:36.0,,,18-25,,Defensive rebound by S. Marion
11:23.0,,,18-27,2,A. Varejao makes 2-pt shot from 7 ft (assist by M. Dellavedova)
11:05.0,A. Stoudemire makes 2-pt shot at rim (assist by T. Hardaway),2,20-27,,
10:44.0,,,20-29,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Varejao)
10:31.0,Turnover by P. Prigioni (bad pass; steal by S. Marion),,20-29,,
10:24.0,,,20-31,2,T. Thompson makes 2-pt shot from 10 ft (assist by S. Marion)
10:15.0,Offensive foul by A. Stoudemire,,20-31,,
10:15.0,Turnover by A. Stoudemire (offensive foul),,20-31,,
10:15.0,,,20-31,,L. James enters the game for M. Dellavedova
9:55.0,,,20-31,,S. Marion misses 2-pt shot from 10 ft
9:54.0,Defensive rebound by C. Aldrich,,20-31,,
9:38.0,A. Stoudemire misses 2-pt shot from 1 ft,,20-31,,
9:37.0,,,20-31,,Defensive rebound by L. James
9:18.0,,,20-31,,L. James misses 2-pt shot from 9 ft
9:16.0,Defensive rebound by T. Wear,,20-31,,
9:13.0,Shooting foul by K. Irving (drawn by T. Wear),,20-31,,
9:13.0,T. Wear makes free throw 1 of 2,1,21-31,,
9:13.0,Q. Acy enters the game for A. Stoudemire,,21-31,,
9:13.0,T. Wear makes free throw 2 of 2,1,22-31,,
8:52.0,,,22-31,,Shooting foul by Q. Acy (drawn by A. Varejao)
8:52.0,Official timeout,,22-31,,
8:52.0,C. Anthony enters the game for T. Wear,,22-31,,
8:52.0,,,22-32,1,A. Varejao makes free throw 1 of 2
8:52.0,,,22-33,1,A. Varejao makes free throw 2 of 2
8:36.0,Shooting foul by S. Marion (drawn by C. Anthony),,22-33,,
8:36.0,C. Anthony makes free throw 1 of 2,1,23-33,,
8:36.0,C. Anthony misses free throw 2 of 2,,23-33,,
8:34.0,Offensive rebound by C. Aldrich,,23-33,,
8:22.0,P. Prigioni makes 3-pt shot from 25 ft (assist by Q. Acy),3,26-33,,
8:04.0,,,26-33,,Turnover by L. James (bad pass)
8:04.0,J. Smith enters the game for T. Hardaway,,26-33,,
7:46.0,C. Aldrich makes 2-pt shot from 1 ft (assist by C. Anthony),2,28-33,,
7:39.0,,,28-33,,Cleveland full timeout
7:39.0,,,28-33,,D. Waiters enters the game for T. Thompson
7:39.0,,,28-33,,K. Love enters the game for S. Marion
7:39.0,S. Larkin enters the game for P. Prigioni,,28-33,,
7:23.0,,,28-33,,K. Love misses 2-pt shot from 14 ft
7:20.0,Defensive rebound by C. Aldrich,,28-33,,
7:07.0,Offensive foul by C. Anthony,,28-33,,
7:07.0,Turnover by C. Anthony (offensive foul),,28-33,,
6:54.0,,,28-33,,Turnover by K. Love (bad pass; steal by C. Aldrich)
6:49.0,Q. Acy makes 2-pt shot at rim (assist by C. Anthony),2,30-33,,
6:21.0,,,30-33,,D. Waiters misses 2-pt shot from 17 ft
6:20.0,Defensive rebound by C. Anthony,,30-33,,
6:09.0,Turnover by S. Larkin (bad pass),,30-33,,
5:57.0,,,30-36,3,K. Irving makes 3-pt shot from 26 ft
5:42.0,J. Smith misses 2-pt shot from 3 ft (block by A. Varejao),,30-36,,
5:40.0,,,30-36,,Defensive rebound by A. Varejao
5:32.0,,,30-36,,Turnover by K. Irving (bad pass; steal by J. Smith)
5:14.0,C. Anthony misses 2-pt shot from 5 ft,,30-36,,
5:11.0,Offensive rebound by Q. Acy,,30-36,,
5:04.0,C. Anthony makes 2-pt shot from 18 ft,2,32-36,,
4:52.0,,,32-36,,Shooting foul by C. Aldrich (drawn by L. James)
4:52.0,,,32-37,1,L. James makes free throw 1 of 2
4:52.0,T. Wear enters the game for Q. Acy,,32-37,,
4:52.0,,,32-38,1,L. James makes free throw 2 of 2
4:33.0,Turnover by T. Wear (lost ball; steal by K. Irving),,32-38,,
4:30.0,,,32-38,,Turnover by A. Varejao (bad pass)
4:07.0,J. Smith misses 3-pt shot from 31 ft,,32-38,,
4:06.0,Offensive rebound by Team,,32-38,,
4:06.0,Turnover by Team (shot clock),,32-38,,
3:47.0,,,32-38,,K. Irving misses 2-pt shot from 11 ft
3:45.0,Defensive rebound by C. Aldrich,,32-38,,
3:37.0,S. Larkin makes 3-pt shot from 25 ft (assist by J. Smith),3,35-38,,
3:16.0,,,35-38,,L. James misses 3-pt shot from 26 ft
3:15.0,,,35-38,,Offensive rebound by K. Love
3:14.0,Personal foul by C. Anthony (drawn by K. Love),,35-38,,
3:14.0,,,35-38,,T. Thompson enters the game for A. Varejao
3:14.0,Q. Acy enters the game for T. Wear,,35-38,,
3:14.0,A. Stoudemire enters the game for C. Aldrich,,35-38,,
3:14.0,T. Wear enters the game for C. Anthony,,35-38,,
3:06.0,,,35-38,,Turnover by K. Irving (step out of bounds)
2:47.0,J. Smith makes 3-pt shot from 25 ft (assist by T. Wear),3,38-38,,
2:24.0,,,38-40,2,K. Love makes 2-pt shot from 9 ft
2:08.0,S. Larkin makes 2-pt shot from 17 ft (assist by J. Smith),2,40-40,,
1:55.0,,,40-40,,L. James misses 2-pt shot at rim
1:52.0,Defensive rebound by Q. Acy,,40-40,,
1:36.0,A. Stoudemire misses 2-pt shot from 1 ft,,40-40,,
1:35.0,,,40-40,,Defensive rebound by K. Love
1:29.0,Personal foul by Q. Acy (drawn by K. Love),,40-40,,
1:29.0,New York full timeout,,40-40,,
1:29.0,J. Smith enters the game for Q. Acy,,40-40,,
1:16.0,,,40-40,,L. James misses 2-pt shot from 13 ft
1:13.0,,,40-40,,Offensive rebound by T. Thompson
1:11.0,,,40-40,,T. Thompson misses 2-pt shot at rim
1:09.0,Defensive rebound by A. Stoudemire,,40-40,,
0:55.0,A. Stoudemire makes 2-pt shot from 19 ft (assist by J. Smith),2,42-40,,
0:33.0,,,42-40,,K. Love misses 3-pt shot from 25 ft
0:32.0,,,42-40,,Offensive rebound by K. Irving
0:31.0,Personal foul by J. Smith (drawn by K. Irving),,42-40,,
0:31.0,,,42-41,1,K. Irving makes free throw 1 of 2
0:31.0,,,42-42,1,K. Irving makes free throw 2 of 2
0:07.0,Turnover by Team (shot clock),,42-42,,
0:07.0,P. Prigioni enters the game for S. Larkin,,42-42,,
0:00.0,,,42-44,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Offensive foul by Q. Acy,,42-44,,
11:52.0,Turnover by Q. Acy (offensive foul),,42-44,,
11:39.0,,,42-44,,D. Waiters misses 3-pt shot from 23 ft
11:38.0,,,42-44,,Offensive rebound by A. Varejao
11:20.0,,,42-44,,K. Irving misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by I. Shumpert,,42-44,,
11:05.0,Q. Acy misses 2-pt shot from 13 ft,,42-44,,
11:04.0,,,42-44,,Defensive rebound by K. Love
10:51.0,,,42-44,,A. Varejao misses 2-pt shot from 6 ft
10:48.0,Defensive rebound by Q. Acy,,42-44,,
10:43.0,S. Larkin makes 2-pt shot from 14 ft (assist by C. Anthony),2,44-44,,
10:20.0,,,44-44,,K. Love misses 2-pt shot from 5 ft
10:20.0,,,44-44,,Offensive rebound by Team
10:20.0,T. Wear enters the game for Q. Acy,,44-44,,
10:06.0,,,44-44,,Shooting foul by T. Wear (drawn by K. Love)
10:06.0,,,44-45,1,K. Love makes free throw 1 of 2
10:06.0,,,44-46,1,K. Love makes free throw 2 of 2
9:45.0,,,44-46,,Personal foul by D. Waiters (drawn by I. Shumpert)
9:40.0,I. Shumpert makes 2-pt shot from 17 ft (assist by T. Wear),2,46-46,,
9:20.0,,,46-46,,Turnover by K. Love (back court)
8:56.0,T. Wear misses 2-pt shot from 13 ft,,46-46,,
8:55.0,,,46-46,,Defensive rebound by K. Love
8:38.0,,,46-46,,Turnover by A. Varejao (lost ball; steal by S. Larkin)
8:32.0,J. Smith makes 2-pt shot from 14 ft (assist by S. Larkin),2,48-46,,
8:17.0,,,48-46,,D. Waiters misses 2-pt shot from 20 ft
8:16.0,Defensive rebound by T. Wear,,48-46,,
8:09.0,Shooting foul by D. Waiters (drawn by I. Shumpert),,48-46,,
8:09.0,I. Shumpert makes free throw 1 of 3,1,49-46,,
8:09.0,I. Shumpert makes free throw 2 of 3,1,50-46,,
8:09.0,,,50-46,,T. Thompson enters the game for A. Varejao
8:09.0,,,50-46,,M. Dellavedova enters the game for D. Waiters
8:09.0,A. Stoudemire enters the game for T. Wear,,50-46,,
8:09.0,I. Shumpert makes free throw 3 of 3,1,51-46,,
7:58.0,,,51-46,,Shooting foul by A. Stoudemire (drawn by K. Irving)
7:58.0,,,51-47,1,K. Irving makes free throw 1 of 2
7:58.0,,,51-48,1,K. Irving makes free throw 2 of 2
7:46.0,J. Smith makes 2-pt shot from 18 ft (assist by S. Larkin),2,53-48,,
7:22.0,,,53-48,,K. Love misses 2-pt shot from 12 ft
7:19.0,Defensive rebound by S. Larkin,,53-48,,
7:18.0,Offensive foul by J. Smith,,53-48,,
7:18.0,Turnover by J. Smith (offensive foul),,53-48,,
6:54.0,,,53-51,3,L. James makes 3-pt shot from 25 ft (assist by M. Dellavedova)
6:36.0,P. Prigioni enters the game for S. Larkin,,53-51,,
6:25.0,A. Stoudemire misses 2-pt shot from 16 ft,,53-51,,
6:23.0,,,53-51,,Defensive rebound by K. Irving
6:15.0,,,53-53,2,K. Irving makes 2-pt shot from 16 ft
5:55.0,,,53-53,,Personal foul by M. Dellavedova (drawn by J. Smith)
5:55.0,,,53-53,,Cleveland full timeout
5:42.0,J. Smith misses 2-pt shot from 20 ft,,53-53,,
5:41.0,,,53-53,,Defensive rebound by K. Irving
5:31.0,,,53-55,2,K. Irving makes 2-pt shot at rim
5:10.0,C. Anthony makes 3-pt shot from 22 ft (assist by A. Stoudemire),3,56-55,,
5:03.0,,,56-55,,K. Irving misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by I. Shumpert,,56-55,,
4:42.0,,,56-55,,Personal foul by T. Thompson (drawn by A. Stoudemire)
4:25.0,P. Prigioni makes 3-pt shot from 31 ft (assist by C. Anthony),3,59-55,,
4:10.0,,,59-55,,Turnover by K. Irving (traveling)
3:55.0,C. Anthony makes 2-pt shot from 19 ft (assist by I. Shumpert),2,61-55,,
3:50.0,,,61-57,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
3:30.0,A. Stoudemire makes 2-pt shot at rim (assist by C. Anthony),2,63-57,,
3:10.0,,,63-57,,D. Waiters enters the game for K. Irving
3:10.0,J. Smith enters the game for I. Shumpert,,63-57,,
3:00.0,,,63-60,3,D. Waiters makes 3-pt shot from 26 ft
2:39.0,J. Smith makes 2-pt shot from 19 ft (assist by J. Smith),2,65-60,,
2:26.0,,,65-60,,T. Thompson misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by A. Stoudemire,,65-60,,
2:12.0,C. Anthony makes 2-pt shot at rim (assist by A. Stoudemire),2,67-60,,
2:12.0,,,67-60,,Cleveland full timeout
2:12.0,New York full timeout,,67-60,,
1:55.0,Personal foul by J. Smith (drawn by L. James),,67-60,,
1:42.0,,,67-60,,T. Thompson misses 2-pt shot from 10 ft
1:40.0,,,67-60,,Offensive rebound by K. Love
1:24.0,,,67-60,,Shooting foul by J. Smith (drawn by L. James)
1:24.0,,,67-61,1,L. James makes free throw 1 of 2
1:24.0,T. Wear enters the game for J. Smith,,67-61,,
1:24.0,,,67-61,,M. Miller enters the game for K. Love
1:24.0,,,67-62,1,L. James makes free throw 2 of 2
1:13.0,Turnover by J. Smith (lost ball; steal by D. Waiters),,67-62,,
1:10.0,,,67-62,,M. Dellavedova misses 2-pt shot from 8 ft
1:10.0,,,67-62,,Offensive rebound by D. Waiters
1:10.0,,,67-62,,Offensive foul by D. Waiters
1:10.0,,,67-62,,Turnover by D. Waiters (offensive foul)
0:47.0,P. Prigioni misses 2-pt shot from 19 ft,,67-62,,
0:45.0,,,67-62,,Defensive rebound by L. James
0:39.0,,,67-62,,L. James misses 2-pt shot from 11 ft
0:38.0,Defensive rebound by P. Prigioni,,67-62,,
0:22.0,Turnover by C. Anthony (offensive foul),,67-62,,
0:22.0,Offensive foul by C. Anthony,,67-62,,
0:22.0,I. Shumpert enters the game for C. Anthony,,67-62,,
0:00.0,,,67-64,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,67-66,2,D. Waiters makes 2-pt shot from 1 ft
11:19.0,J. Smith makes 2-pt shot from 1 ft,2,69-66,,
10:47.0,,,69-66,,T. Thompson misses 2-pt shot from 12 ft
10:46.0,,,69-66,,Offensive rebound by K. Irving
10:45.0,,,69-66,,Shooting foul by A. Stoudemire (drawn by K. Irving)
10:45.0,,,69-68,2,K. Irving makes 2-pt shot from 18 ft
10:45.0,,,69-68,,A. Varejao enters the game for T. Thompson
10:45.0,C. Aldrich enters the game for A. Stoudemire,,69-68,,
10:45.0,,,69-68,,K. Irving misses free throw 1 of 1
10:44.0,Defensive rebound by Team,,69-68,,
10:44.0,,,69-68,,Loose ball foul by K. Irving (drawn by I. Shumpert)
10:29.0,S. Larkin misses 2-pt shot from 9 ft (block by K. Irving),,69-68,,
10:29.0,Offensive rebound by Team,,69-68,,
10:29.0,,,69-68,,L. James enters the game for M. Miller
10:21.0,J. Smith misses 2-pt shot from 18 ft,,69-68,,
10:18.0,,,69-68,,Defensive rebound by L. James
10:08.0,,,69-70,2,A. Varejao makes 2-pt shot from 1 ft (assist by L. James)
9:53.0,I. Shumpert misses 2-pt shot from 18 ft,,69-70,,
9:52.0,Offensive rebound by C. Aldrich,,69-70,,
9:47.0,I. Shumpert makes 2-pt shot at rim (assist by C. Aldrich),2,71-70,,
9:29.0,,,71-70,,Turnover by L. James (bad pass)
9:05.0,C. Aldrich misses 2-pt shot from 7 ft,,71-70,,
9:04.0,Offensive rebound by Q. Acy,,71-70,,
9:01.0,J. Smith misses 3-pt shot from 25 ft,,71-70,,
8:59.0,Offensive rebound by Q. Acy,,71-70,,
8:59.0,Q. Acy misses 2-pt shot at rim,,71-70,,
8:56.0,Offensive rebound by Q. Acy,,71-70,,
8:56.0,Q. Acy makes 2-pt shot at rim,2,73-70,,
8:46.0,,,73-70,,Shooting foul by C. Aldrich (drawn by K. Irving)
8:46.0,Official timeout,,73-70,,
8:46.0,P. Prigioni enters the game for S. Larkin,,73-70,,
8:46.0,,,73-70,,K. Irving misses free throw 1 of 2
8:46.0,,,73-70,,Offensive rebound by Team
8:46.0,,,73-71,1,K. Irving makes free throw 2 of 2
8:22.0,Q. Acy makes 2-pt shot from 19 ft (assist by P. Prigioni),2,75-71,,
8:00.0,,,75-71,,Turnover by L. James (bad pass; steal by P. Prigioni)
7:47.0,Offensive foul by Q. Acy,,75-71,,
7:47.0,Turnover by Q. Acy (offensive foul),,75-71,,
7:47.0,,,75-71,,K. Love enters the game for S. Marion
7:28.0,,,75-71,,L. James misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by C. Aldrich,,75-71,,
7:04.0,J. Smith makes 2-pt shot from 16 ft,2,77-71,,
6:50.0,,,77-71,,D. Waiters misses 3-pt shot from 22 ft
6:49.0,,,77-71,,Offensive rebound by K. Love
6:36.0,J. Smith enters the game for Q. Acy,,77-71,,
6:34.0,C. Anthony enters the game for I. Shumpert,,77-71,,
6:28.0,,,77-71,,Turnover by L. James (bad pass; steal by J. Smith)
6:19.0,C. Anthony makes 3-pt shot from 25 ft (assist by J. Smith),3,80-71,,
6:06.0,,,80-71,,K. Irving misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by C. Anthony,,80-71,,
5:48.0,Offensive foul by C. Aldrich,,80-71,,
5:48.0,Turnover by C. Aldrich (offensive foul),,80-71,,
5:48.0,,,80-71,,Cleveland full timeout
5:35.0,Personal foul by C. Aldrich (drawn by K. Love),,80-71,,
5:35.0,Q. Acy enters the game for J. Smith,,80-71,,
5:35.0,Personal foul by Q. Acy (drawn by K. Love),,80-71,,
5:35.0,J. Smith enters the game for Q. Acy,,80-71,,
5:22.0,,,80-71,,Shooting foul by C. Anthony (drawn by L. James)
5:22.0,,,80-72,1,L. James makes free throw 1 of 2
5:22.0,,,80-72,,M. Dellavedova enters the game for A. Varejao
5:22.0,I. Shumpert enters the game for C. Aldrich,,80-72,,
5:22.0,,,80-73,1,L. James makes free throw 2 of 2
5:04.0,Shooting foul by L. James (drawn by C. Anthony),,80-73,,
5:04.0,C. Anthony makes free throw 1 of 3,1,81-73,,
5:04.0,C. Anthony makes free throw 2 of 3,1,82-73,,
5:04.0,S. Larkin enters the game for P. Prigioni,,82-73,,
5:04.0,C. Anthony misses free throw 3 of 3,,82-73,,
5:04.0,,,82-73,,Defensive rebound by K. Love
4:50.0,,,82-75,2,K. Irving makes 2-pt shot from 14 ft
4:35.0,Turnover by S. Larkin (lost ball; steal by K. Irving),,82-75,,
4:34.0,,,82-77,2,L. James makes 2-pt shot at rim (assist by K. Irving)
4:34.0,New York full timeout,,82-77,,
4:34.0,A. Stoudemire enters the game for J. Smith,,82-77,,
4:17.0,J. Smith makes 2-pt shot from 17 ft (assist by C. Anthony),2,84-77,,
4:02.0,,,84-77,,Offensive foul by L. James
4:02.0,,,84-77,,Turnover by L. James (offensive foul)
3:36.0,C. Anthony misses 2-pt shot from 11 ft,,84-77,,
3:34.0,,,84-77,,Defensive rebound by K. Irving
3:26.0,,,84-77,,Turnover by K. Irving (traveling)
3:07.0,Shooting foul by L. James (drawn by C. Anthony),,84-77,,
3:07.0,C. Anthony makes free throw 1 of 2,1,85-77,,
3:07.0,J. Smith enters the game for A. Stoudemire,,85-77,,
3:07.0,C. Anthony makes free throw 2 of 2,1,86-77,,
2:57.0,,,86-80,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by K. Irving)
2:51.0,,,86-80,,Personal foul by M. Dellavedova (drawn by I. Shumpert)
2:31.0,I. Shumpert makes 2-pt shot from 18 ft (assist by S. Larkin),2,88-80,,
2:20.0,,,88-83,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
2:18.0,New York full timeout,,88-83,,
2:18.0,P. Prigioni enters the game for S. Larkin,,88-83,,
1:54.0,Turnover by Team (shot clock),,88-83,,
1:43.0,,,88-85,2,K. Irving makes 2-pt shot at rim
1:18.0,J. Smith misses 2-pt shot from 15 ft,,88-85,,
1:18.0,,,88-85,,Defensive rebound by Team
1:03.0,,,88-85,,K. Love misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by J. Smith,,88-85,,
0:48.0,J. Smith makes 2-pt shot from 6 ft (assist by P. Prigioni),2,90-85,,
0:48.0,,,90-85,,Cleveland full timeout
0:45.0,,,90-87,2,L. James makes 2-pt shot from 1 ft (assist by D. Waiters)
0:26.0,C. Anthony makes 2-pt shot from 16 ft,2,92-87,,
0:26.0,,,92-87,,Cleveland full timeout
0:10.0,,,92-87,,K. Irving misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by J. Smith,,92-87,,
0:09.0,,,92-87,,Personal foul by M. Dellavedova (drawn by J. Smith)
0:09.0,J. Smith makes free throw 1 of 2,1,93-87,,
0:09.0,J. Smith makes free throw 2 of 2,1,94-87,,
0:02.0,,,94-90,3,M. Dellavedova makes 3-pt shot from 22 ft (assist by K. Irving)
0:01.0,,,94-90,,Personal foul by K. Love (drawn by I. Shumpert)
0:01.0,I. Shumpert misses free throw 1 of 2,,94-90,,
0:01.0,Offensive rebound by Team,,94-90,,
0:01.0,I. Shumpert makes free throw 2 of 2,1,95-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
