time,New York,pts.away,score,pts.home,Washington
4:50.0,,,33-44,,Offensive rebound by Team
4:50.0,,,33-44,,O. Porter enters the game for R. Butler
4:50.0,,,33-45,1,D. Gooden makes free throw 2 of 2
4:37.0,Q. Acy misses 2-pt shot from 17 ft,,33-45,,
4:36.0,,,33-45,,Defensive rebound by B. Beal
4:27.0,,,33-47,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:15.0,R. Ledo misses 2-pt shot from 21 ft,,33-47,,
4:14.0,,,33-47,,Defensive rebound by O. Porter
4:06.0,,,33-49,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
3:54.0,L. Galloway misses 2-pt shot from 10 ft,,33-49,,
3:53.0,,,33-49,,Defensive rebound by D. Gooden
3:49.0,,,33-49,,Turnover by J. Wall (lost ball)
3:49.0,L. Amundson enters the game for T. Hardaway,,33-49,,
3:49.0,A. Bargnani enters the game for J. Smith,,33-49,,
3:49.0,L. Thomas enters the game for R. Ledo,,33-49,,
3:49.0,S. Larkin enters the game for Q. Acy,,33-49,,
3:37.0,Turnover by S. Larkin (lost ball; steal by J. Wall),,33-49,,
3:27.0,,,33-49,,J. Wall misses 3-pt shot from 24 ft
3:27.0,,,33-49,,Offensive rebound by Team
3:27.0,Loose ball foul by A. Bargnani (drawn by D. Gooden),,33-49,,
3:16.0,,,33-49,,Turnover by J. Wall (bad pass; steal by L. Galloway)
3:11.0,Shooting foul by D. Gooden (drawn by L. Amundson),,33-49,,
3:11.0,L. Amundson misses free throw 1 of 2,,33-49,,
3:11.0,Offensive rebound by Team,,33-49,,
3:11.0,L. Amundson makes free throw 2 of 2,1,34-49,,
3:02.0,,,34-51,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:48.0,Turnover by L. Amundson (bad pass; steal by B. Beal),,34-51,,
2:40.0,,,34-51,,B. Beal misses 2-pt shot from 10 ft
2:39.0,Defensive rebound by L. Amundson,,34-51,,
2:30.0,S. Larkin makes 2-pt shot from 18 ft,2,36-51,,
2:08.0,,,36-51,,D. Gooden misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by L. Thomas,,36-51,,
1:59.0,S. Larkin makes 2-pt shot from 22 ft,2,38-51,,
1:58.0,,,38-51,,Washington full timeout
1:58.0,,,38-51,,R. Sessions enters the game for B. Beal
1:58.0,R. Ledo enters the game for L. Amundson,,38-51,,
1:46.0,,,38-53,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
1:33.0,Shooting foul by M. Gortat (drawn by R. Ledo),,38-53,,
1:33.0,R. Ledo makes free throw 1 of 2,1,39-53,,
1:33.0,R. Ledo makes free throw 2 of 2,1,40-53,,
1:15.0,,,40-53,,J. Wall misses 2-pt shot from 3 ft
1:14.0,,,40-53,,Offensive rebound by D. Gooden
1:12.0,,,40-53,,D. Gooden misses 2-pt shot from 2 ft
1:12.0,Defensive rebound by L. Thomas,,40-53,,
1:05.0,A. Bargnani makes 2-pt shot from 13 ft (assist by L. Thomas),2,42-53,,
0:50.0,,,42-53,,Turnover by J. Wall (lost ball; steal by R. Ledo)
0:45.0,R. Ledo makes 2-pt shot from 1 ft,2,44-53,,
0:31.0,Personal foul by R. Ledo (drawn by O. Porter),,44-53,,
0:31.0,,,44-53,,O. Porter misses free throw 1 of 2
0:31.0,,,44-53,,Offensive rebound by Team
0:31.0,J. Smith enters the game for L. Thomas,,44-53,,
0:31.0,,,44-54,1,O. Porter makes free throw 2 of 2
0:16.0,,,44-54,,Personal foul by D. Gooden (drawn by S. Larkin)
0:16.0,S. Larkin makes free throw 1 of 2,1,45-54,,
0:16.0,L. Thomas enters the game for J. Smith,,45-54,,
0:16.0,L. Amundson enters the game for A. Bargnani,,45-54,,
0:16.0,,,45-54,,B. Beal enters the game for R. Sessions
0:16.0,S. Larkin makes free throw 2 of 2,1,46-54,,
0:02.0,,,46-54,,J. Wall misses 2-pt shot from 1 ft (block by L. Amundson)
0:00.0,,,46-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,A. Bargnani misses 2-pt shot from 20 ft,,46-54,,
11:40.0,,,46-54,,Defensive rebound by J. Wall
11:20.0,,,46-54,,B. Beal misses 2-pt shot from 13 ft
11:17.0,Defensive rebound by S. Larkin,,46-54,,
10:58.0,L. Galloway misses 3-pt shot from 26 ft,,46-54,,
10:57.0,,,46-54,,Defensive rebound by M. Gortat
10:48.0,,,46-56,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
10:30.0,L. Galloway misses 2-pt shot from 2 ft (block by B. Beal),,46-56,,
10:29.0,Offensive rebound by Team,,46-56,,
10:27.0,Turnover by L. Thomas (bad pass),,46-56,,
10:12.0,,,46-59,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
9:56.0,L. Galloway misses 2-pt shot from 15 ft,,46-59,,
9:55.0,Offensive rebound by L. Galloway,,46-59,,
9:49.0,L. Galloway makes 3-pt shot from 24 ft (assist by L. Thomas),3,49-59,,
9:28.0,,,49-59,,Shooting foul by Q. Acy (drawn by M. Gortat)
9:28.0,,,49-60,1,M. Gortat makes free throw 1 of 2
9:28.0,,,49-60,,M. Gortat misses free throw 2 of 2
9:27.0,Defensive rebound by Q. Acy,,49-60,,
9:15.0,A. Bargnani misses 2-pt shot from 16 ft,,49-60,,
9:15.0,,,49-60,,Defensive rebound by O. Porter
9:07.0,,,49-60,,J. Wall misses 2-pt shot from 1 ft
9:06.0,Defensive rebound by S. Larkin,,49-60,,
9:01.0,L. Galloway makes 3-pt shot from 26 ft (assist by S. Larkin),3,52-60,,
8:46.0,,,52-62,2,M. Gortat makes 2-pt shot from 3 ft (assist by B. Beal)
8:25.0,S. Larkin misses 2-pt shot from 17 ft,,52-62,,
8:24.0,,,52-62,,Defensive rebound by B. Beal
8:11.0,,,52-62,,M. Gortat misses 2-pt shot from 14 ft
8:06.0,,,52-62,,Offensive rebound by D. Gooden
8:04.0,,,52-64,2,D. Gooden makes 2-pt shot at rim
8:04.0,New York full timeout,,52-64,,
8:04.0,R. Ledo enters the game for A. Bargnani,,52-64,,
8:04.0,J. Smith enters the game for L. Thomas,,52-64,,
7:50.0,L. Galloway misses 3-pt shot from 27 ft,,52-64,,
7:49.0,Offensive rebound by R. Ledo,,52-64,,
7:39.0,L. Galloway misses 2-pt shot at rim,,52-64,,
7:38.0,,,52-64,,Defensive rebound by M. Gortat
7:34.0,Personal foul by R. Ledo (drawn by J. Wall),,52-64,,
7:28.0,,,52-66,2,B. Beal makes 2-pt shot from 13 ft
7:09.0,Q. Acy misses 2-pt shot from 16 ft,,52-66,,
7:08.0,Offensive rebound by J. Smith,,52-66,,
6:57.0,L. Galloway misses 3-pt shot from 27 ft,,52-66,,
6:54.0,,,52-66,,Defensive rebound by Team
6:42.0,,,52-66,,D. Gooden misses 2-pt shot from 20 ft (block by Q. Acy)
6:40.0,Defensive rebound by R. Ledo,,52-66,,
6:35.0,R. Ledo misses 2-pt shot from 17 ft,,52-66,,
6:34.0,Offensive rebound by Team,,52-66,,
6:33.0,,,52-66,,Loose ball foul by D. Gooden (drawn by R. Ledo)
6:27.0,J. Smith misses 2-pt shot from 17 ft,,52-66,,
6:26.0,Offensive rebound by L. Galloway,,52-66,,
