time,LA Lakers,pts.away,score,pts.home,Memphis
8:06.0,,,55-49,,Shooting foul by C. Boozer (drawn by Z. Randolph)
8:06.0,,,55-50,1,Z. Randolph makes free throw 1 of 1
7:52.0,R. Kelly misses 3-pt shot from 23 ft,,55-50,,
7:51.0,,,55-50,,Defensive rebound by Z. Randolph
7:40.0,,,55-50,,M. Gasol misses 2-pt shot from 9 ft
7:37.0,,,55-50,,Offensive rebound by Z. Randolph
7:37.0,,,55-52,2,Z. Randolph makes 2-pt shot from 1 ft
7:16.0,J. Clarkson makes 2-pt shot at rim,2,57-52,,
7:03.0,,,57-54,2,M. Gasol makes 2-pt shot from 11 ft (assist by C. Lee)
6:50.0,C. Boozer makes 2-pt shot at rim (assist by J. Clarkson),2,59-54,,
6:34.0,,,59-54,,Shooting foul by J. Clarkson (drawn by J. Green)
6:34.0,,,59-55,1,J. Green makes free throw 1 of 2
6:34.0,J. Lin enters the game for J. Clarkson,,59-55,,
6:34.0,,,59-56,1,J. Green makes free throw 2 of 2
6:10.0,R. Sacre misses 2-pt shot from 4 ft,,59-56,,
6:08.0,,,59-56,,Defensive rebound by Z. Randolph
5:55.0,Personal foul by W. Ellington (drawn by J. Green),,59-56,,
5:55.0,,,59-56,,T. Allen enters the game for J. Green
5:48.0,Personal foul by J. Lin (drawn by M. Conley),,59-56,,
5:40.0,,,59-56,,M. Conley misses 2-pt shot from 6 ft
5:38.0,Defensive rebound by R. Sacre,,59-56,,
5:19.0,Jump ball: C. Boozer vs. M. Conley (R. Sacre gains possession),,,,Jump ball: C. Boozer vs. M. Conley (R. Sacre gains possession)
5:10.0,C. Boozer makes 2-pt shot from 21 ft (assist by R. Kelly),2,61-56,,
4:53.0,,,61-56,,T. Allen misses 2-pt shot at rim
4:52.0,Defensive rebound by C. Boozer,,61-56,,
4:31.0,W. Ellington misses 2-pt shot from 16 ft (block by M. Conley),,61-56,,
4:28.0,,,61-56,,Defensive rebound by Z. Randolph
4:18.0,,,61-56,,C. Lee misses 2-pt shot from 18 ft
4:17.0,,,61-56,,Offensive rebound by M. Gasol
4:12.0,,,61-56,,M. Conley misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by C. Boozer,,61-56,,
3:48.0,J. Lin misses 2-pt shot from 7 ft,,61-56,,
3:47.0,,,61-56,,Defensive rebound by M. Gasol
3:39.0,,,61-58,2,Z. Randolph makes 2-pt shot at rim (assist by T. Allen)
3:20.0,C. Boozer misses 2-pt shot from 16 ft,,61-58,,
3:19.0,,,61-58,,Defensive rebound by M. Conley
3:06.0,,,61-60,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Conley)
3:05.0,LA Lakers full timeout,,61-60,,
3:05.0,,,61-60,,N. Calathes enters the game for M. Conley
3:05.0,E. Davis enters the game for R. Kelly,,61-60,,
3:05.0,W. Johnson enters the game for C. Boozer,,61-60,,
3:05.0,J. Hill enters the game for R. Sacre,,61-60,,
3:01.0,Turnover by E. Davis (bad pass; steal by N. Calathes),,61-60,,
2:58.0,,,61-62,2,N. Calathes makes 2-pt shot from 1 ft
2:47.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Lin),3,64-62,,
2:25.0,,,64-64,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
2:00.0,W. Ellington makes 2-pt shot from 21 ft (assist by J. Hill),2,66-64,,
1:46.0,,,66-64,,Shooting foul by W. Johnson (drawn by T. Allen)
1:46.0,,,66-65,1,T. Allen makes free throw 1 of 2
1:46.0,,,66-65,,T. Allen misses free throw 2 of 2
1:45.0,Defensive rebound by E. Davis,,66-65,,
1:26.0,J. Hill misses flagrant free throw 1 of 2,,66-65,,
1:26.0,Offensive rebound by Team,,66-65,,
1:26.0,J. Hill makes flagrant free throw 2 of 2,1,67-65,,
1:10.0,J. Hill misses 2-pt shot from 18 ft,,67-65,,
1:09.0,,,67-65,,Defensive rebound by Team
1:09.0,Personal foul by E. Davis (drawn by Z. Randolph),,67-65,,
1:09.0,,,67-66,1,Z. Randolph makes free throw 1 of 2
1:09.0,,,67-67,1,Z. Randolph makes free throw 2 of 2
0:51.0,J. Hill makes 2-pt shot from 19 ft,2,69-67,,
0:29.0,,,69-67,,Turnover by T. Allen (bad pass; steal by W. Ellington)
0:06.0,E. Davis makes 2-pt shot from 1 ft (assist by W. Ellington),2,71-67,,
0:02.0,,,71-67,,N. Calathes misses 2-pt shot from 9 ft (block by J. Lin)
0:01.0,Defensive rebound by E. Davis,,71-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Hill makes 2-pt shot from 5 ft,2,73-67,,
11:14.0,,,73-67,,K. Koufos misses 2-pt shot from 1 ft (block by J. Lin)
11:13.0,Defensive rebound by J. Lin,,73-67,,
11:00.0,J. Clarkson makes 2-pt shot from 4 ft,2,75-67,,
10:38.0,,,75-67,,Turnover by Z. Randolph (bad pass; steal by J. Lin)
10:37.0,,,75-67,,Personal take foul by T. Allen (drawn by J. Lin)
10:37.0,,,75-67,,M. Conley enters the game for N. Calathes
10:16.0,J. Hill makes 2-pt shot from 20 ft (assist by W. Johnson),2,77-67,,
9:55.0,,,77-67,,M. Conley misses 2-pt shot from 6 ft
9:55.0,,,77-67,,Offensive rebound by Team
9:44.0,,,77-69,2,J. Green makes 2-pt shot from 12 ft
9:28.0,W. Johnson misses 3-pt shot from 25 ft,,77-69,,
9:27.0,,,77-69,,Defensive rebound by M. Conley
9:15.0,,,77-69,,Z. Randolph misses 2-pt shot from 5 ft (block by E. Davis)
9:12.0,Defensive rebound by W. Johnson,,77-69,,
9:06.0,E. Davis makes 2-pt shot at rim (assist by J. Clarkson),2,79-69,,
9:06.0,,,79-69,,Memphis full timeout
9:06.0,,,79-69,,M. Gasol enters the game for Z. Randolph
8:58.0,Personal foul by W. Johnson (drawn by M. Gasol),,79-69,,
8:49.0,,,79-71,2,J. Green makes 2-pt shot from 21 ft (assist by M. Conley)
8:24.0,J. Hill misses 2-pt shot from 13 ft,,79-71,,
8:20.0,,,79-71,,Defensive rebound by M. Conley
8:16.0,,,79-71,,M. Conley misses 2-pt shot from 12 ft
8:14.0,Defensive rebound by J. Lin,,79-71,,
8:08.0,W. Johnson misses 3-pt shot from 23 ft,,79-71,,
8:07.0,Offensive rebound by J. Hill,,79-71,,
8:05.0,J. Hill misses 2-pt shot from 14 ft,,79-71,,
8:02.0,,,79-71,,Defensive rebound by M. Conley
7:54.0,,,79-71,,K. Koufos misses 2-pt shot from 6 ft
7:53.0,Defensive rebound by E. Davis,,79-71,,
7:53.0,,,79-71,,Personal foul by M. Gasol (drawn by E. Davis)
7:37.0,J. Lin misses 3-pt shot from 26 ft,,79-71,,
7:36.0,,,79-71,,Defensive rebound by K. Koufos
7:30.0,,,79-71,,Shooting foul by W. Johnson (drawn by J. Green)
7:30.0,,,79-72,1,J. Green makes free throw 1 of 2
7:30.0,,,79-73,1,J. Green makes free throw 2 of 2
7:06.0,J. Clarkson misses 2-pt shot from 9 ft,,79-73,,
7:06.0,Offensive rebound by Team,,79-73,,
7:06.0,Turnover by Team (shot clock),,79-73,,
6:49.0,,,79-73,,Turnover by M. Conley (bad pass; steal by W. Johnson)
6:46.0,W. Johnson makes 2-pt shot at rim,2,81-73,,
6:34.0,Personal foul by J. Lin (drawn by M. Conley),,81-73,,
6:27.0,,,81-75,2,K. Koufos makes 2-pt shot from 2 ft (assist by M. Conley)
6:01.0,J. Clarkson misses 3-pt shot from 25 ft,,81-75,,
6:00.0,,,81-75,,Defensive rebound by K. Koufos
5:44.0,,,81-75,,M. Conley misses 3-pt shot from 25 ft
5:43.0,,,81-75,,Offensive rebound by T. Allen
5:33.0,,,81-75,,Memphis full timeout
5:33.0,,,81-75,,Z. Randolph enters the game for K. Koufos
5:33.0,Jump ball: M. Conley vs. J. Lin (J. Green gains possession),,,,Jump ball: M. Conley vs. J. Lin (J. Green gains possession)
5:27.0,,,81-77,2,Z. Randolph makes 2-pt shot from 4 ft (assist by J. Green)
5:27.0,,,81-77,,Shooting foul by E. Davis (drawn by Z. Randolph)
5:27.0,,,81-78,1,Z. Randolph makes free throw 1 of 1
5:06.0,Shooting foul by M. Conley (drawn by J. Lin),,81-78,,
5:06.0,J. Lin makes free throw 1 of 2,1,82-78,,
5:06.0,J. Lin makes free throw 2 of 2,1,83-78,,
4:48.0,,,83-80,2,M. Gasol makes 2-pt shot from 12 ft
4:29.0,J. Lin misses 2-pt shot from 18 ft,,83-80,,
4:28.0,,,83-80,,Defensive rebound by J. Green
4:14.0,,,83-80,,M. Gasol misses 2-pt shot from 18 ft
4:13.0,,,83-80,,Offensive rebound by Z. Randolph
4:11.0,,,83-82,2,Z. Randolph makes 2-pt shot from 4 ft
3:43.0,J. Hill makes 2-pt shot at rim (assist by E. Davis),2,85-82,,
3:18.0,,,85-82,,Shooting foul by W. Johnson (drawn by M. Gasol)
3:18.0,,,85-83,1,M. Gasol makes free throw 1 of 2
3:18.0,W. Ellington enters the game for J. Lin,,85-83,,
3:18.0,C. Boozer enters the game for E. Davis,,85-83,,
3:18.0,,,85-83,,N. Calathes enters the game for M. Conley
3:18.0,,,85-84,1,M. Gasol makes free throw 2 of 2
3:02.0,W. Ellington makes 2-pt shot from 21 ft,2,87-84,,
2:41.0,,,87-84,,J. Green misses 2-pt shot from 15 ft
2:39.0,Defensive rebound by J. Hill,,87-84,,
2:18.0,W. Ellington misses 2-pt shot from 17 ft,,87-84,,
2:17.0,,,87-84,,Defensive rebound by M. Gasol
2:05.0,,,87-86,2,N. Calathes makes 2-pt shot at rim (assist by Z. Randolph)
2:04.0,LA Lakers full timeout,,87-86,,
2:04.0,,,87-86,,M. Conley enters the game for N. Calathes
1:50.0,Turnover by J. Hill (bad pass; steal by J. Green),,87-86,,
1:36.0,,,87-86,,Shooting foul by J. Hill (drawn by J. Green)
1:36.0,,,87-87,1,J. Green makes free throw 1 of 2
1:36.0,,,87-88,1,J. Green makes free throw 2 of 2
1:20.0,W. Johnson misses 2-pt shot from 21 ft,,87-88,,
1:19.0,,,87-88,,Defensive rebound by Z. Randolph
1:00.0,,,87-88,,Z. Randolph misses 2-pt shot from 15 ft
1:00.0,Defensive rebound by J. Hill,,87-88,,
0:48.0,W. Ellington misses 2-pt shot from 13 ft,,87-88,,
0:47.0,,,87-88,,Defensive rebound by T. Allen
0:47.0,Personal take foul by W. Johnson (drawn by M. Conley),,87-88,,
0:47.0,J. Lin enters the game for W. Johnson,,87-88,,
0:47.0,,,87-89,1,M. Conley makes free throw 1 of 2
0:47.0,,,87-89,,N. Calathes enters the game for J. Green
0:47.0,,,87-89,,M. Conley misses free throw 2 of 2
0:46.0,Defensive rebound by C. Boozer,,87-89,,
0:28.0,J. Hill misses 2-pt shot from 20 ft,,87-89,,
0:27.0,,,87-89,,Defensive rebound by N. Calathes
0:26.0,,,87-89,,Memphis full timeout
0:26.0,,,87-89,,C. Lee enters the game for T. Allen
0:26.0,,,87-89,,J. Green enters the game for N. Calathes
0:23.0,Personal take foul by J. Hill (drawn by M. Gasol),,87-89,,
0:23.0,,,87-90,1,M. Gasol makes free throw 1 of 2
0:23.0,,,87-90,,T. Allen enters the game for C. Lee
0:23.0,,,87-90,,N. Calathes enters the game for J. Green
0:23.0,,,87-91,1,M. Gasol makes free throw 2 of 2
0:23.0,LA Lakers full timeout,,87-91,,
0:23.0,LA Lakers full timeout,,87-91,,
0:20.0,J. Hill makes 2-pt shot from 6 ft,2,89-91,,
0:20.0,,,89-91,,Memphis full timeout
0:20.0,,,89-91,,J. Green enters the game for T. Allen
0:20.0,,,89-91,,C. Lee enters the game for N. Calathes
0:19.0,Personal take foul by J. Hill (drawn by M. Gasol),,89-91,,
0:19.0,,,89-92,1,M. Gasol makes free throw 1 of 2
0:19.0,,,89-92,,T. Allen enters the game for J. Green
0:19.0,,,89-92,,N. Calathes enters the game for C. Lee
0:19.0,,,89-93,1,M. Gasol makes free throw 2 of 2
0:13.0,Turnover by J. Clarkson (lost ball; steal by M. Conley),,89-93,,
0:13.0,Personal foul by J. Clarkson (drawn by M. Conley),,89-93,,
0:13.0,,,89-94,1,M. Conley makes free throw 1 of 2
0:13.0,,,89-94,,M. Conley misses free throw 2 of 2
0:12.0,Defensive rebound by J. Hill,,89-94,,
0:10.0,,,89-94,,Personal take foul by N. Calathes (drawn by W. Ellington)
0:10.0,LA Lakers full timeout,,89-94,,
0:10.0,,,89-94,,J. Green enters the game for Z. Randolph
0:07.0,J. Hill misses 2-pt shot from 21 ft,,89-94,,
0:06.0,Offensive rebound by Team,,89-94,,
0:06.0,,,89-94,,Loose ball foul by J. Green (drawn by C. Boozer)
0:06.0,C. Boozer misses free throw 1 of 2,,89-94,,
0:06.0,Offensive rebound by Team,,89-94,,
0:06.0,,,89-94,,C. Lee enters the game for N. Calathes
0:06.0,,,89-94,,Z. Randolph enters the game for T. Allen
