time,LA Clippers,pts.away,score,pts.home,New York
5:15.0,,,17-6,,Offensive rebound by C. Aldrich
4:53.0,,,17-6,,Turnover by C. Aldrich (lost ball; steal by B. Griffin)
4:49.0,Turnover by C. Paul (lost ball; steal by S. Larkin),,17-6,,
4:42.0,,,17-8,2,L. Thomas makes 2-pt shot from 19 ft (assist by S. Larkin)
4:25.0,J. Redick makes 3-pt shot from 22 ft (assist by C. Paul),3,20-8,,
4:09.0,,,20-8,,L. Thomas misses 2-pt shot from 15 ft
4:08.0,Defensive rebound by D. Jordan,,20-8,,
3:49.0,M. Barnes misses 3-pt shot from 25 ft,,20-8,,
3:48.0,,,20-8,,Defensive rebound by J. Smith
3:32.0,,,20-10,2,L. Galloway makes 2-pt shot from 18 ft
3:31.0,Turnover by M. Barnes (inbound),,20-10,,
3:31.0,A. Rivers enters the game for J. Redick,,20-10,,
3:19.0,,,20-10,,Turnover by J. Smith (bad pass)
3:14.0,,,20-10,,Personal foul by S. Larkin (drawn by C. Paul)
3:01.0,M. Barnes makes 2-pt shot from 5 ft (assist by C. Paul),2,22-10,,
3:00.0,Violation by Team (delay of game),,22-10,,
2:49.0,,,22-10,,Turnover by L. Thomas (bad pass)
2:43.0,Turnover by C. Paul (bad pass),,22-10,,
2:24.0,,,22-10,,Shooting foul by M. Barnes (drawn by J. Smith)
2:24.0,,,22-11,1,J. Smith makes free throw 1 of 2
2:24.0,,,22-11,,C. Early enters the game for L. Thomas
2:24.0,S. Hawes enters the game for B. Griffin,,22-11,,
2:24.0,,,22-12,1,J. Smith makes free throw 2 of 2
2:10.0,Turnover by C. Paul (lost ball; steal by J. Smith),,22-12,,
1:58.0,,,22-14,2,J. Smith makes 2-pt shot from 19 ft (assist by S. Larkin)
1:46.0,A. Rivers makes 2-pt shot from 4 ft (assist by C. Paul),2,24-14,,
1:23.0,,,24-14,,C. Aldrich misses 2-pt shot from 1 ft
1:22.0,,,24-14,,Offensive rebound by Team
1:22.0,H. Turkoglu enters the game for M. Barnes,,24-14,,
1:22.0,,,24-14,,R. Ledo enters the game for S. Larkin
1:20.0,,,24-14,,Turnover by C. Early (bad pass; steal by C. Paul)
0:59.0,H. Turkoglu misses 3-pt shot from 26 ft,,24-14,,
0:58.0,,,24-14,,Defensive rebound by C. Aldrich
0:43.0,,,24-14,,C. Aldrich misses 2-pt shot from 4 ft (block by D. Jordan)
0:41.0,Defensive rebound by S. Hawes,,24-14,,
0:37.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,26-14,,
0:30.0,,,26-17,3,C. Early makes 3-pt shot from 24 ft
0:10.0,S. Hawes makes 2-pt shot from 13 ft (assist by C. Paul),2,28-17,,
0:07.0,Personal take foul by A. Rivers (drawn by L. Galloway),,28-17,,
0:07.0,J. Hamilton enters the game for C. Paul,,28-17,,
0:07.0,D. Jones enters the game for H. Turkoglu,,28-17,,
0:07.0,,,28-17,,A. Bargnani enters the game for C. Aldrich
0:05.0,,,28-17,,L. Galloway misses 3-pt shot from 25 ft
0:03.0,,,28-17,,Offensive rebound by J. Smith
0:00.0,,,28-17,,J. Smith misses 3-pt shot from 23 ft
0:00.0,,,28-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,28-17,,S. Larkin misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by G. Davis,,28-17,,
11:29.0,H. Turkoglu misses 2-pt shot from 7 ft,,28-17,,
11:28.0,,,28-17,,Defensive rebound by J. Smith
11:19.0,,,28-17,,C. Early misses 3-pt shot from 23 ft
11:18.0,,,28-17,,Offensive rebound by J. Smith
11:12.0,,,28-20,3,R. Ledo makes 3-pt shot from 25 ft (assist by J. Smith)
11:11.0,LA Clippers full timeout,,28-20,,
10:55.0,S. Hawes makes 3-pt shot from 24 ft (assist by A. Rivers),3,31-20,,
10:47.0,,,31-20,,Turnover by C. Early (lost ball; steal by H. Turkoglu)
10:39.0,Shooting foul by A. Bargnani (drawn by A. Rivers),,31-20,,
10:39.0,A. Rivers makes free throw 1 of 2,1,32-20,,
10:39.0,A. Rivers makes free throw 2 of 2,1,33-20,,
10:26.0,,,33-20,,Shooting foul by S. Hawes (drawn by A. Bargnani)
10:26.0,,,33-21,1,A. Bargnani makes free throw 1 of 2
10:26.0,,,33-22,1,A. Bargnani makes free throw 2 of 2
10:05.0,A. Rivers makes 2-pt shot from 21 ft,2,35-22,,
9:46.0,,,35-22,,A. Bargnani misses 2-pt shot from 14 ft
9:45.0,Defensive rebound by J. Hamilton,,35-22,,
9:41.0,Offensive foul by G. Davis,,35-22,,
9:41.0,Turnover by G. Davis (offensive foul),,35-22,,
9:28.0,,,35-22,,Turnover by R. Ledo (lost ball; steal by J. Hamilton)
9:19.0,S. Hawes misses 3-pt shot from 24 ft,,35-22,,
9:18.0,,,35-22,,Defensive rebound by C. Early
9:05.0,,,35-25,3,R. Ledo makes 3-pt shot from 24 ft (assist by J. Smith)
8:51.0,J. Hamilton makes 3-pt shot from 25 ft (assist by A. Rivers),3,38-25,,
8:33.0,,,38-27,2,R. Ledo makes 2-pt shot from 4 ft
8:19.0,A. Rivers makes 2-pt shot from 12 ft,2,40-27,,
8:09.0,,,40-27,,Turnover by R. Ledo (lost ball; steal by A. Rivers)
8:03.0,A. Rivers makes 2-pt shot at rim,2,42-27,,
7:53.0,,,42-27,,New York full timeout
7:53.0,Official timeout,,42-27,,
7:53.0,,,42-27,,Q. Acy enters the game for A. Bargnani
7:53.0,,,42-27,,L. Galloway enters the game for S. Larkin
7:53.0,,,42-27,,L. Thomas enters the game for C. Early
7:40.0,,,42-27,,J. Smith misses 3-pt shot from 24 ft
7:39.0,,,42-27,,Offensive rebound by Team
7:24.0,,,42-27,,J. Smith misses 2-pt shot from 19 ft
7:23.0,Defensive rebound by H. Turkoglu,,42-27,,
7:05.0,J. Hamilton misses 3-pt shot from 26 ft,,42-27,,
7:04.0,,,42-27,,Defensive rebound by L. Galloway
6:53.0,,,42-27,,Offensive foul by Q. Acy
6:53.0,,,42-27,,Turnover by Q. Acy (offensive foul)
6:53.0,B. Griffin enters the game for S. Hawes,,42-27,,
6:32.0,B. Griffin misses 2-pt shot from 4 ft (block by Q. Acy),,42-27,,
6:31.0,,,42-27,,Defensive rebound by Q. Acy
6:21.0,Violation by G. Davis (kicked ball),,42-27,,
6:21.0,M. Barnes enters the game for J. Hamilton,,42-27,,
6:21.0,J. Redick enters the game for H. Turkoglu,,42-27,,
6:13.0,,,42-27,,Shooting foul by G. Davis (drawn by J. Smith)
6:13.0,,,42-28,1,J. Smith makes free throw 1 of 2
6:13.0,D. Jordan enters the game for G. Davis,,42-28,,
6:13.0,C. Paul enters the game for A. Rivers,,42-28,,
6:13.0,,,42-28,,L. Amundson enters the game for Q. Acy
6:13.0,,,42-29,1,J. Smith makes free throw 2 of 2
6:02.0,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul),2,44-29,,
5:50.0,,,44-29,,R. Ledo misses 2-pt shot from 4 ft (block by D. Jordan)
5:49.0,,,44-29,,Offensive rebound by Team
5:49.0,,,44-29,,New York full timeout
5:39.0,,,44-29,,L. Thomas misses 2-pt shot from 8 ft
5:38.0,Defensive rebound by B. Griffin,,44-29,,
5:23.0,Shooting foul by J. Smith (drawn by B. Griffin),,44-29,,
5:23.0,B. Griffin makes free throw 1 of 2,1,45-29,,
5:23.0,,,45-29,,A. Bargnani enters the game for J. Smith
5:23.0,,,45-29,,S. Larkin enters the game for R. Ledo
5:23.0,B. Griffin makes free throw 2 of 2,1,46-29,,
5:06.0,,,46-29,,L. Thomas misses 2-pt shot from 20 ft
5:05.0,Defensive rebound by C. Paul,,46-29,,
4:49.0,C. Paul makes 2-pt shot from 15 ft,2,48-29,,
4:29.0,,,48-29,,L. Thomas misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by B. Griffin,,48-29,,
4:23.0,Shooting foul by A. Bargnani (drawn by B. Griffin),,48-29,,
4:23.0,B. Griffin makes free throw 1 of 2,1,49-29,,
4:23.0,,,49-29,,C. Early enters the game for L. Thomas
4:23.0,B. Griffin makes free throw 2 of 2,1,50-29,,
4:11.0,,,50-29,,A. Bargnani misses 2-pt shot from 7 ft
4:10.0,Defensive rebound by D. Jordan,,50-29,,
4:04.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,52-29,,
3:44.0,,,52-29,,C. Early misses 2-pt shot from 21 ft
3:43.0,Defensive rebound by Team,,52-29,,
3:24.0,J. Redick misses 2-pt shot from 13 ft,,52-29,,
3:23.0,Offensive rebound by D. Jordan,,52-29,,
3:17.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,55-29,,
3:00.0,,,55-29,,Turnover by C. Early (lost ball)
2:52.0,J. Redick makes 2-pt shot from 4 ft (assist by B. Griffin),2,57-29,,
2:51.0,,,57-29,,New York full timeout
2:51.0,,,57-29,,R. Ledo enters the game for L. Amundson
2:51.0,,,57-29,,Q. Acy enters the game for A. Bargnani
2:51.0,,,57-29,,J. Smith enters the game for S. Larkin
2:38.0,,,57-29,,Offensive foul by R. Ledo
2:38.0,,,57-29,,Turnover by R. Ledo (offensive foul)
2:29.0,Shooting foul by Q. Acy (drawn by B. Griffin),,57-29,,
2:29.0,,,57-29,,Technical foul by Team
2:29.0,J. Redick makes technical free throw,1,58-29,,
2:29.0,B. Griffin misses free throw 1 of 2,,58-29,,
2:29.0,Offensive rebound by Team,,58-29,,
2:29.0,B. Griffin makes free throw 2 of 2,1,59-29,,
2:11.0,,,59-29,,Shooting foul by B. Griffin (drawn by C. Early)
2:11.0,,,59-30,1,C. Early makes free throw 1 of 2
2:11.0,,,59-31,1,C. Early makes free throw 2 of 2
2:05.0,Turnover by J. Redick (lost ball),,59-31,,
1:58.0,,,59-31,,New York full timeout
1:58.0,,,59-31,,S. Larkin enters the game for L. Galloway
1:48.0,,,59-31,,Turnover by R. Ledo (bad pass)
1:30.0,J. Redick misses 3-pt shot from 25 ft,,59-31,,
1:29.0,,,59-31,,Defensive rebound by C. Early
1:23.0,,,59-31,,Turnover by C. Early (bad pass; steal by C. Paul)
1:14.0,C. Paul makes 2-pt shot from 8 ft,2,61-31,,
1:00.0,,,61-31,,Shooting foul by D. Jordan (drawn by C. Early)
1:00.0,,,61-32,1,C. Early makes free throw 1 of 2
1:00.0,,,61-33,1,C. Early makes free throw 2 of 2
0:48.0,B. Griffin misses 2-pt shot at rim (block by J. Smith),,61-33,,
0:47.0,Offensive rebound by D. Jordan,,61-33,,
0:42.0,C. Paul misses 3-pt shot from 25 ft,,61-33,,
0:41.0,,,61-33,,Defensive rebound by J. Smith
0:33.0,,,61-33,,J. Smith misses 3-pt shot from 22 ft
0:32.0,Defensive rebound by M. Barnes,,61-33,,
0:25.0,M. Barnes misses 3-pt shot from 22 ft,,61-33,,
0:24.0,Offensive rebound by D. Jordan,,61-33,,
0:04.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,63-33,,
0:01.0,,,63-33,,R. Ledo misses 3-pt shot from 25 ft
0:00.0,,,63-33,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,63-33,,L. Amundson misses 2-pt shot from 8 ft
11:36.0,,,63-33,,Offensive rebound by L. Thomas
11:32.0,,,63-35,2,L. Thomas makes 2-pt shot at rim
11:17.0,J. Redick misses 3-pt shot from 25 ft,,63-35,,
11:16.0,,,63-35,,Defensive rebound by A. Bargnani
11:06.0,,,63-35,,L. Galloway misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by M. Barnes,,63-35,,
10:57.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,65-35,,
10:36.0,,,65-37,2,L. Galloway makes 2-pt shot from 1 ft
10:16.0,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul),3,68-37,,
9:56.0,,,68-39,2,A. Bargnani makes 2-pt shot from 17 ft (assist by L. Galloway)
9:51.0,Shooting foul by A. Bargnani (drawn by B. Griffin),,68-39,,
9:51.0,B. Griffin makes free throw 1 of 2,1,69-39,,
9:51.0,,,69-39,,J. Smith enters the game for A. Bargnani
9:51.0,B. Griffin misses free throw 2 of 2,,69-39,,
9:50.0,,,69-39,,Defensive rebound by J. Smith
9:33.0,,,69-41,2,L. Galloway makes 2-pt shot from 6 ft (assist by J. Smith)
9:13.0,B. Griffin makes 2-pt shot at rim,2,71-41,,
8:50.0,,,71-41,,L. Galloway misses 2-pt shot from 18 ft
8:49.0,,,71-41,,Offensive rebound by Team
8:49.0,Loose ball foul by M. Barnes (drawn by L. Amundson),,71-41,,
8:44.0,,,71-41,,J. Smith misses 2-pt shot from 21 ft
8:43.0,Defensive rebound by D. Jordan,,71-41,,
8:32.0,Turnover by C. Paul (bad pass),,71-41,,
8:32.0,,,71-41,,R. Ledo enters the game for S. Larkin
8:18.0,,,71-41,,Shooting foul by B. Griffin (drawn by L. Thomas)
8:18.0,,,71-42,1,L. Thomas makes free throw 1 of 2
8:18.0,,,71-43,1,L. Thomas makes free throw 2 of 2
7:51.0,B. Griffin misses 3-pt shot from 24 ft,,71-43,,
7:50.0,,,71-43,,Defensive rebound by L. Thomas
7:40.0,Personal foul by M. Barnes (drawn by L. Thomas),,71-43,,
7:38.0,,,71-43,,L. Thomas misses 2-pt shot from 10 ft (block by D. Jordan)
7:37.0,,,71-43,,Offensive rebound by Team
7:29.0,,,71-43,,Turnover by L. Galloway (bad pass; steal by C. Paul)
7:20.0,J. Redick makes 2-pt shot from 13 ft (assist by M. Barnes),2,73-43,,
6:57.0,,,73-43,,J. Smith misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by D. Jordan,,73-43,,
6:49.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,75-43,,
6:49.0,Shooting foul by R. Ledo (drawn by B. Griffin),,75-43,,
6:49.0,,,75-43,,C. Early enters the game for L. Amundson
6:49.0,,,75-43,,C. Aldrich enters the game for L. Thomas
6:49.0,B. Griffin makes free throw 1 of 1,1,76-43,,
6:28.0,,,76-43,,C. Aldrich misses 2-pt shot from 6 ft (block by D. Jordan)
6:27.0,Defensive rebound by B. Griffin,,76-43,,
6:22.0,Turnover by B. Griffin (lost ball; steal by C. Aldrich),,76-43,,
6:20.0,Personal take foul by C. Paul (drawn by R. Ledo),,76-43,,
6:12.0,,,76-43,,R. Ledo misses 2-pt shot from 17 ft
6:11.0,Defensive rebound by M. Barnes,,76-43,,
6:05.0,C. Paul makes 2-pt shot from 14 ft,2,78-43,,
5:44.0,,,78-43,,R. Ledo misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by D. Jordan,,78-43,,
5:27.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,80-43,,
5:03.0,,,80-43,,C. Aldrich misses 2-pt shot from 6 ft
5:02.0,Defensive rebound by M. Barnes,,80-43,,
4:52.0,C. Paul makes 2-pt shot from 4 ft,2,82-43,,
4:52.0,,,82-43,,Away from play foul by C. Aldrich (drawn by D. Jordan)
4:52.0,Technical foul by D. Jordan,,82-43,,
4:52.0,,,82-43,,New York full timeout
4:52.0,,,82-43,,L. Thomas enters the game for C. Aldrich
4:52.0,A. Rivers enters the game for J. Redick,,82-43,,
4:52.0,,,82-44,1,L. Galloway makes technical free throw
4:52.0,D. Jordan misses free throw 1 of 1,,82-44,,
4:51.0,,,82-44,,Defensive rebound by J. Smith
4:34.0,,,82-46,2,C. Early makes 2-pt shot from 22 ft
4:07.0,M. Barnes misses 3-pt shot from 24 ft,,82-46,,
4:06.0,,,82-46,,Defensive rebound by R. Ledo
3:56.0,,,82-46,,Turnover by R. Ledo (lost ball; steal by C. Paul)
3:44.0,C. Paul makes 3-pt shot from 22 ft,3,85-46,,
3:25.0,,,85-48,2,J. Smith makes 2-pt shot from 12 ft
2:58.0,A. Rivers makes 3-pt shot from 23 ft (assist by B. Griffin),3,88-48,,
2:39.0,,,88-48,,L. Galloway misses 2-pt shot from 20 ft
2:38.0,Defensive rebound by B. Griffin,,88-48,,
2:30.0,Turnover by C. Paul (bad pass; steal by R. Ledo),,88-48,,
2:20.0,,,88-51,3,C. Early makes 3-pt shot from 26 ft (assist by L. Galloway)
1:52.0,M. Barnes misses 3-pt shot from 24 ft,,88-51,,
1:51.0,,,88-51,,Defensive rebound by J. Smith
1:45.0,,,88-51,,R. Ledo misses 2-pt shot from 6 ft (block by D. Jordan)
1:44.0,,,88-51,,Offensive rebound by Team
1:44.0,LA Clippers full timeout,,88-51,,
1:44.0,,,88-51,,S. Larkin enters the game for L. Galloway
1:44.0,,,88-51,,Q. Acy enters the game for J. Smith
1:44.0,J. Hamilton enters the game for M. Barnes,,88-51,,
1:44.0,S. Hawes enters the game for B. Griffin,,88-51,,
1:44.0,G. Davis enters the game for D. Jordan,,88-51,,
1:44.0,H. Turkoglu enters the game for C. Paul,,88-51,,
1:40.0,,,88-51,,L. Thomas misses 2-pt shot from 4 ft
1:39.0,Defensive rebound by S. Hawes,,88-51,,
1:28.0,H. Turkoglu misses 3-pt shot from 25 ft,,88-51,,
1:27.0,,,88-51,,Defensive rebound by L. Thomas
1:11.0,,,88-51,,L. Thomas misses 2-pt shot from 20 ft
1:10.0,,,88-51,,Offensive rebound by C. Early
1:05.0,,,88-53,2,C. Early makes 2-pt shot from 2 ft
1:05.0,,,88-53,,Shooting foul by H. Turkoglu (drawn by C. Early)
1:05.0,,,88-54,1,C. Early makes free throw 1 of 1
0:46.0,A. Rivers makes 2-pt shot from 19 ft,2,90-54,,
0:26.0,,,90-54,,R. Ledo misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by H. Turkoglu,,90-54,,
0:04.0,S. Hawes misses 3-pt shot from 25 ft,,90-54,,
0:02.0,,,90-54,,Defensive rebound by R. Ledo
0:00.0,,,90-54,,R. Ledo misses 3-pt shot from 25 ft
0:00.0,,,90-54,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Hamilton misses 3-pt shot from 25 ft,,90-54,,
11:46.0,,,90-54,,Defensive rebound by Team
11:27.0,,,90-54,,L. Galloway misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by S. Hawes,,90-54,,
11:09.0,Turnover by S. Hawes (lost ball; steal by C. Early),,90-54,,
11:02.0,,,90-54,,C. Early misses 2-pt shot from 3 ft
11:01.0,Defensive rebound by G. Davis,,90-54,,
10:56.0,,,90-54,,Violation by Q. Acy (def goaltending)
10:56.0,S. Hawes makes 2-pt shot from 1 ft (assist by A. Rivers),2,92-54,,
10:41.0,,,92-54,,C. Early misses 3-pt shot from 24 ft
10:40.0,,,92-54,,Offensive rebound by Team
10:40.0,,,92-54,,L. Thomas enters the game for C. Early
10:32.0,,,92-57,3,Q. Acy makes 3-pt shot from 25 ft (assist by L. Galloway)
10:18.0,A. Rivers makes 2-pt shot at rim,2,94-57,,
10:02.0,,,94-57,,Turnover by L. Galloway (bad pass; steal by A. Rivers)
9:57.0,A. Rivers makes 2-pt shot from 2 ft,2,96-57,,
9:56.0,,,96-57,,New York full timeout
9:35.0,,,96-57,,Shooting foul by S. Hawes (drawn by Q. Acy)
9:35.0,,,96-58,1,Q. Acy makes free throw 1 of 2
9:35.0,,,96-58,,Q. Acy misses free throw 2 of 2
9:34.0,Defensive rebound by H. Turkoglu,,96-58,,
9:19.0,H. Turkoglu misses 3-pt shot from 25 ft,,96-58,,
9:18.0,,,96-58,,Defensive rebound by S. Larkin
8:58.0,,,96-58,,L. Thomas misses 2-pt shot from 20 ft
8:57.0,,,96-58,,Offensive rebound by L. Thomas
8:56.0,,,96-60,2,L. Thomas makes 2-pt shot from 7 ft
8:39.0,A. Rivers makes 2-pt shot from 19 ft,2,98-60,,
8:21.0,,,98-62,2,Q. Acy makes 2-pt shot from 12 ft
7:58.0,Turnover by S. Hawes (lost ball; steal by Q. Acy),,98-62,,
7:51.0,,,98-64,2,L. Galloway makes 2-pt shot from 16 ft
7:33.0,G. Davis misses 2-pt shot from 4 ft (block by Q. Acy),,98-64,,
7:32.0,Offensive rebound by Team,,98-64,,
7:32.0,C. Wilcox enters the game for H. Turkoglu,,98-64,,
7:32.0,,,98-64,,C. Aldrich enters the game for A. Bargnani
7:30.0,S. Hawes misses 2-pt shot from 18 ft,,98-64,,
7:29.0,,,98-64,,Defensive rebound by C. Aldrich
7:12.0,,,98-66,2,S. Larkin makes 2-pt shot from 18 ft (assist by L. Thomas)
6:55.0,A. Rivers misses 2-pt shot from 17 ft,,98-66,,
6:54.0,,,98-66,,Defensive rebound by C. Aldrich
6:43.0,D. Jones enters the game for A. Rivers,,98-66,,
6:43.0,E. Udoh enters the game for S. Hawes,,98-66,,
6:43.0,,,98-66,,R. Ledo enters the game for S. Larkin
6:40.0,,,98-68,2,Q. Acy makes 2-pt shot from 18 ft (assist by L. Thomas)
6:13.0,G. Davis makes 2-pt shot from 7 ft (assist by J. Hamilton),2,100-68,,
5:56.0,,,100-70,2,L. Thomas makes 2-pt shot from 18 ft (assist by R. Ledo)
5:39.0,D. Jones makes 2-pt shot from 19 ft (assist by G. Davis),2,102-70,,
5:30.0,Personal foul by E. Udoh (drawn by L. Galloway),,102-70,,
5:30.0,Official timeout,,102-70,,
5:30.0,,,102-70,,C. Early enters the game for L. Thomas
5:26.0,,,102-72,2,R. Ledo makes 2-pt shot at rim (assist by C. Early)
5:08.0,J. Hamilton misses 3-pt shot from 26 ft,,102-72,,
5:07.0,,,102-72,,Defensive rebound by C. Early
4:54.0,,,102-72,,Turnover by R. Ledo (lost ball; steal by E. Udoh)
4:50.0,D. Jones misses 2-pt shot from 7 ft,,102-72,,
4:49.0,Offensive rebound by Team,,102-72,,
4:39.0,C. Wilcox makes 3-pt shot from 24 ft (assist by E. Udoh),3,105-72,,
4:29.0,Personal foul by G. Davis (drawn by C. Early),,105-72,,
4:20.0,,,105-72,,Shooting foul by C. Wilcox (drawn by C. Early)
4:20.0,,,105-74,2,C. Early makes 2-pt shot from 7 ft
4:20.0,,,105-75,1,C. Early makes free throw 1 of 1
4:09.0,C. Wilcox misses 2-pt shot from 22 ft,,105-75,,
4:08.0,,,105-75,,Defensive rebound by C. Aldrich
3:54.0,,,105-75,,L. Galloway misses 2-pt shot from 2 ft (block by C. Wilcox)
3:53.0,,,105-75,,Offensive rebound by Team
3:46.0,,,105-75,,R. Ledo misses 2-pt shot from 7 ft
3:45.0,Defensive rebound by J. Hamilton,,105-75,,
3:35.0,C. Wilcox misses 3-pt shot from 24 ft,,105-75,,
3:34.0,,,105-75,,Defensive rebound by R. Ledo
3:25.0,,,105-77,2,L. Galloway makes 2-pt shot from 21 ft
3:09.0,E. Udoh misses 2-pt shot from 17 ft,,105-77,,
3:08.0,,,105-77,,Defensive rebound by Q. Acy
2:59.0,,,105-77,,R. Ledo misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by G. Davis,,105-77,,
2:42.0,Shooting foul by C. Aldrich (drawn by G. Davis),,105-77,,
2:42.0,LA Clippers full timeout,,105-77,,
2:42.0,G. Davis misses free throw 1 of 2,,105-77,,
2:42.0,Offensive rebound by Team,,105-77,,
2:42.0,G. Davis makes free throw 2 of 2,1,106-77,,
2:28.0,,,106-77,,Offensive foul by R. Ledo
2:28.0,,,106-77,,Turnover by R. Ledo (offensive foul)
2:18.0,Turnover by C. Wilcox (bad pass; steal by C. Aldrich),,106-77,,
2:07.0,Personal foul by D. Jones (drawn by C. Aldrich),,106-77,,
2:07.0,,,106-77,,C. Aldrich misses free throw 1 of 2
2:07.0,,,106-77,,Offensive rebound by Team
2:07.0,,,106-78,1,C. Aldrich makes free throw 2 of 2
1:48.0,C. Wilcox makes 3-pt shot from 25 ft (assist by J. Hamilton),3,109-78,,
1:32.0,,,109-78,,C. Early misses 3-pt shot from 24 ft
