time,Dallas,pts.away,score,pts.home,San Antonio
7:35.0,Personal foul by D. Nowitzki (drawn by T. Splitter),,9-9,,
7:25.0,,,9-9,,T. Duncan misses 2-pt shot from 16 ft
7:24.0,Defensive rebound by C. Parsons,,9-9,,
7:19.0,C. Parsons misses 2-pt shot from 1 ft,,9-9,,
7:18.0,,,9-9,,Defensive rebound by K. Leonard
7:08.0,,,9-9,,T. Parker misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by D. Nowitzki,,9-9,,
6:59.0,C. Parsons misses 3-pt shot from 24 ft,,9-9,,
6:58.0,,,9-9,,Defensive rebound by T. Parker
6:44.0,,,9-9,,Turnover by K. Leonard (lost ball; steal by C. Parsons)
6:43.0,,,9-9,,Personal foul by T. Parker (drawn by M. Ellis)
6:43.0,,,9-9,,B. Diaw enters the game for T. Splitter
6:35.0,Offensive foul by T. Chandler,,9-9,,
6:35.0,Turnover by T. Chandler (offensive foul),,9-9,,
6:35.0,A. Aminu enters the game for D. Nowitzki,,9-9,,
6:18.0,,,9-11,2,T. Parker makes 2-pt shot from 8 ft (assist by T. Duncan)
6:08.0,A. Aminu misses 3-pt shot from 24 ft,,9-11,,
6:07.0,,,9-11,,Defensive rebound by T. Duncan
5:58.0,,,9-13,2,T. Duncan makes 2-pt shot from 1 ft (assist by B. Diaw)
5:58.0,Dallas full timeout,,9-13,,
5:58.0,,,9-13,,M. Belinelli enters the game for D. Green
5:58.0,A. Stoudemire enters the game for T. Chandler,,9-13,,
5:51.0,,,9-13,,Personal foul by T. Duncan (drawn by A. Stoudemire)
5:42.0,C. Parsons misses 2-pt shot from 5 ft,,9-13,,
5:40.0,,,9-13,,Defensive rebound by M. Belinelli
5:34.0,,,9-15,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
5:17.0,R. Rondo makes 2-pt shot from 2 ft,2,11-15,,
5:05.0,,,11-15,,T. Parker misses 2-pt shot from 3 ft
5:04.0,,,11-15,,Offensive rebound by Team
5:04.0,D. Harris enters the game for R. Rondo,,11-15,,
5:00.0,,,11-15,,Turnover by K. Leonard (lost ball; steal by C. Parsons)
4:40.0,M. Ellis makes 2-pt shot from 8 ft,2,13-15,,
4:32.0,,,13-15,,Shooting foul by A. Stoudemire (drawn by T. Duncan)
4:32.0,,,13-16,1,T. Duncan makes free throw 1 of 2
4:32.0,,,13-17,1,T. Duncan makes free throw 2 of 2
4:18.0,A. Stoudemire makes 2-pt shot from 4 ft,2,15-17,,
4:02.0,,,15-19,2,M. Belinelli makes 2-pt shot from 10 ft (assist by B. Diaw)
3:45.0,A. Aminu makes 3-pt shot from 24 ft (assist by M. Ellis),3,18-19,,
3:29.0,,,18-19,,Shooting foul by C. Parsons (drawn by K. Leonard)
3:29.0,,,18-20,1,K. Leonard makes free throw 1 of 2
3:29.0,,,18-20,,P. Mills enters the game for T. Parker
3:29.0,,,18-21,1,K. Leonard makes free throw 2 of 2
3:08.0,M. Ellis misses 3-pt shot from 26 ft,,18-21,,
3:06.0,Offensive rebound by A. Aminu,,18-21,,
3:02.0,D. Harris misses 3-pt shot from 24 ft,,18-21,,
3:01.0,,,18-21,,Defensive rebound by T. Duncan
2:45.0,,,18-21,,M. Belinelli misses 3-pt shot from 24 ft
2:44.0,,,18-21,,Offensive rebound by B. Diaw
2:34.0,,,18-23,2,M. Belinelli makes 2-pt shot from 21 ft
2:17.0,M. Ellis misses 3-pt shot from 25 ft,,18-23,,
2:16.0,,,18-23,,Defensive rebound by M. Belinelli
2:09.0,,,18-23,,San Antonio full timeout
2:09.0,,,18-23,,T. Splitter enters the game for T. Duncan
2:01.0,,,18-23,,M. Belinelli misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by A. Stoudemire,,18-23,,
1:52.0,Turnover by D. Harris (bad pass),,18-23,,
1:37.0,,,18-25,2,B. Diaw makes 2-pt shot from 6 ft
1:31.0,,,18-25,,Personal foul by T. Splitter (drawn by M. Ellis)
1:31.0,R. Felton enters the game for C. Parsons,,18-25,,
1:31.0,D. Nowitzki enters the game for M. Ellis,,18-25,,
1:20.0,D. Nowitzki misses 2-pt shot from 21 ft,,18-25,,
1:18.0,Offensive rebound by A. Aminu,,18-25,,
1:16.0,,,18-25,,M. Ginobili enters the game for K. Leonard
1:09.0,A. Stoudemire misses 2-pt shot from 20 ft,,18-25,,
1:07.0,Offensive rebound by A. Aminu,,18-25,,
0:51.0,A. Stoudemire misses 2-pt shot from 8 ft,,18-25,,
0:50.0,,,18-25,,Defensive rebound by M. Ginobili
0:36.0,Personal foul by A. Stoudemire (drawn by T. Splitter),,18-25,,
0:36.0,T. Chandler enters the game for A. Stoudemire,,18-25,,
0:26.0,,,18-28,3,B. Diaw makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:01.0,R. Felton misses 3-pt shot from 22 ft,,18-28,,
0:00.0,Offensive rebound by A. Aminu,,18-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by D. Harris (bad pass; steal by T. Splitter),,18-28,,
11:35.0,,,18-28,,Turnover by P. Mills (traveling)
11:26.0,Turnover by R. Felton (lost ball),,18-28,,
11:04.0,,,18-30,2,M. Ginobili makes 2-pt shot from 1 ft
10:44.0,A. Aminu misses 3-pt shot from 24 ft,,18-30,,
10:43.0,,,18-30,,Defensive rebound by T. Splitter
10:27.0,,,18-30,,P. Mills misses 2-pt shot from 20 ft
10:26.0,Defensive rebound by Team,,18-30,,
10:26.0,R. Jefferson enters the game for A. Aminu,,18-30,,
10:26.0,Violation by Team (delay of game),,18-30,,
10:14.0,,,18-30,,Personal foul by M. Ginobili (drawn by D. Nowitzki)
10:14.0,,,18-30,,D. Green enters the game for M. Belinelli
10:14.0,Turnover by R. Jefferson (bad pass; steal by P. Mills),,18-30,,
10:13.0,Personal foul by R. Felton (drawn by M. Ginobili),,18-30,,
10:02.0,,,18-32,2,B. Diaw makes 2-pt shot from 2 ft (assist by M. Ginobili)
10:02.0,Dallas full timeout,,18-32,,
9:46.0,R. Jefferson misses 2-pt shot from 3 ft,,18-32,,
9:45.0,,,18-32,,Defensive rebound by B. Diaw
9:34.0,,,18-34,2,B. Diaw makes 2-pt shot from 6 ft (assist by M. Ginobili)
9:27.0,D. Harris makes 2-pt shot from 1 ft,2,20-34,,
9:12.0,Personal foul by R. Jefferson (drawn by M. Ginobili),,20-34,,
8:59.0,,,20-34,,B. Diaw misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by D. Nowitzki,,20-34,,
8:40.0,D. Nowitzki misses 2-pt shot from 10 ft,,20-34,,
8:39.0,,,20-34,,Defensive rebound by D. Green
8:30.0,,,20-34,,Shooting foul by D. Nowitzki (drawn by T. Splitter)
8:30.0,,,20-35,1,T. Splitter makes free throw 1 of 2
8:30.0,,,20-35,,T. Splitter misses free throw 2 of 2
8:29.0,Defensive rebound by R. Jefferson,,20-35,,
8:19.0,,,20-35,,Personal foul by T. Splitter (drawn by D. Nowitzki)
8:19.0,,,20-35,,T. Duncan enters the game for T. Splitter
8:05.0,R. Felton makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,23-35,,
7:49.0,,,23-38,3,B. Diaw makes 3-pt shot from 24 ft (assist by D. Green)
7:29.0,D. Nowitzki misses 2-pt shot from 9 ft,,23-38,,
7:28.0,,,23-38,,Defensive rebound by P. Mills
7:21.0,,,23-41,3,D. Green makes 3-pt shot from 22 ft (assist by B. Diaw)
7:21.0,Dallas full timeout,,23-41,,
7:21.0,R. Rondo enters the game for D. Nowitzki,,23-41,,
7:21.0,M. Ellis enters the game for D. Harris,,23-41,,
7:21.0,C. Villanueva enters the game for R. Felton,,23-41,,
7:21.0,C. Parsons enters the game for R. Jefferson,,23-41,,
7:21.0,,,23-41,,K. Leonard enters the game for M. Ginobili
7:21.0,,,23-41,,M. Belinelli enters the game for B. Diaw
7:07.0,C. Villanueva misses 2-pt shot from 1 ft (block by T. Duncan),,23-41,,
7:06.0,,,23-41,,Defensive rebound by D. Green
7:01.0,,,23-41,,P. Mills misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by T. Chandler,,23-41,,
6:52.0,C. Villanueva misses 2-pt shot from 10 ft,,23-41,,
6:51.0,Offensive rebound by C. Villanueva,,23-41,,
6:48.0,C. Villanueva misses 2-pt shot at rim,,23-41,,
6:47.0,Offensive rebound by C. Villanueva,,23-41,,
6:46.0,C. Villanueva makes 2-pt shot from 2 ft,2,25-41,,
6:46.0,,,25-41,,San Antonio full timeout
6:46.0,,,25-41,,T. Parker enters the game for P. Mills
6:29.0,,,25-44,3,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard)
6:19.0,Shooting foul by M. Belinelli (drawn by C. Villanueva),,25-44,,
6:19.0,C. Villanueva makes free throw 1 of 2,1,26-44,,
6:19.0,C. Villanueva makes free throw 2 of 2,1,27-44,,
5:54.0,,,27-44,,T. Duncan misses 2-pt shot from 5 ft
5:53.0,Defensive rebound by T. Chandler,,27-44,,
5:46.0,M. Ellis makes 2-pt shot from 22 ft,2,29-44,,
5:29.0,,,29-46,2,T. Parker makes 2-pt shot from 9 ft
5:20.0,T. Chandler makes 2-pt shot from 2 ft (assist by R. Rondo),2,31-46,,
5:07.0,,,31-48,2,K. Leonard makes 2-pt shot from 6 ft (assist by T. Parker)
4:44.0,Offensive foul by C. Parsons,,31-48,,
4:44.0,Turnover by C. Parsons (offensive foul),,31-48,,
4:44.0,A. Stoudemire enters the game for T. Chandler,,31-48,,
4:33.0,,,31-50,2,T. Parker makes 2-pt shot from 1 ft
4:13.0,R. Rondo misses 2-pt shot from 21 ft,,31-50,,
4:12.0,,,31-50,,Defensive rebound by T. Duncan
4:03.0,,,31-50,,T. Parker misses 2-pt shot from 3 ft (block by C. Villanueva)
4:01.0,,,31-50,,Offensive rebound by T. Parker
4:01.0,,,31-50,,T. Parker misses 2-pt shot at rim
4:00.0,Defensive rebound by A. Stoudemire,,31-50,,
3:53.0,C. Villanueva misses 3-pt shot from 23 ft,,31-50,,
3:52.0,,,31-50,,Defensive rebound by M. Belinelli
3:51.0,,,31-50,,Turnover by M. Belinelli (lost ball; steal by R. Rondo)
3:51.0,,,31-50,,Personal foul by M. Belinelli (drawn by R. Rondo)
3:51.0,D. Nowitzki enters the game for C. Villanueva,,31-50,,
3:51.0,,,31-50,,M. Ginobili enters the game for M. Belinelli
3:51.0,,,31-50,,T. Splitter enters the game for D. Green
3:41.0,A. Stoudemire misses 2-pt shot at rim,,31-50,,
3:40.0,,,31-50,,Defensive rebound by T. Parker
3:25.0,,,31-52,2,K. Leonard makes 2-pt shot from 11 ft (assist by T. Splitter)
3:13.0,Shooting foul by T. Parker (drawn by A. Stoudemire),,31-52,,
3:13.0,A. Stoudemire makes free throw 1 of 2,1,32-52,,
3:13.0,A. Stoudemire makes free throw 2 of 2,1,33-52,,
2:53.0,,,33-52,,K. Leonard misses 3-pt shot from 24 ft
2:52.0,,,33-52,,Offensive rebound by T. Duncan
2:41.0,,,33-52,,K. Leonard misses 2-pt shot from 7 ft (block by A. Stoudemire)
2:40.0,Defensive rebound by M. Ellis,,33-52,,
2:34.0,M. Ellis misses 2-pt shot from 3 ft,,33-52,,
2:32.0,Offensive rebound by A. Stoudemire,,33-52,,
2:28.0,A. Stoudemire makes 2-pt shot at rim (assist by R. Rondo),2,35-52,,
2:03.0,,,35-52,,Turnover by T. Parker (lost ball; steal by M. Ellis)
1:59.0,M. Ellis makes 2-pt shot from 1 ft,2,37-52,,
1:59.0,,,37-52,,San Antonio full timeout
1:59.0,Official timeout,,37-52,,
1:59.0,,,37-52,,B. Diaw enters the game for T. Splitter
1:46.0,,,37-52,,M. Ginobili misses 2-pt shot from 6 ft (block by D. Nowitzki)
1:45.0,,,37-52,,Offensive rebound by Team
1:40.0,,,37-54,2,M. Ginobili makes 2-pt shot from 8 ft (assist by T. Duncan)
1:25.0,Offensive foul by A. Stoudemire,,37-54,,
1:25.0,Turnover by A. Stoudemire (offensive foul),,37-54,,
1:25.0,T. Chandler enters the game for A. Stoudemire,,37-54,,
1:04.0,,,37-54,,Turnover by K. Leonard (lost ball; steal by C. Parsons)
1:00.0,D. Nowitzki makes 2-pt shot from 4 ft (assist by R. Rondo),2,39-54,,
0:48.0,,,39-54,,Offensive charge foul by K. Leonard
0:48.0,,,39-54,,Turnover by K. Leonard (offensive foul)
0:48.0,,,39-54,,Technical foul by Team
0:48.0,D. Nowitzki misses technical free throw,,39-54,,
0:48.0,Offensive rebound by Team,,39-54,,
0:33.0,M. Ellis misses 2-pt shot from 19 ft,,39-54,,
0:32.0,,,39-54,,Defensive rebound by T. Parker
0:08.0,,,39-54,,K. Leonard misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by M. Ellis,,39-54,,
0:02.0,M. Ellis makes 2-pt shot from 1 ft,2,41-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Parsons makes 2-pt shot at rim (assist by T. Chandler),2,43-54,,
11:26.0,,,43-54,,T. Parker misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by C. Parsons,,43-54,,
11:09.0,Turnover by R. Rondo (lost ball),,43-54,,
10:48.0,,,43-54,,D. Green misses 3-pt shot from 22 ft
10:47.0,Defensive rebound by T. Chandler,,43-54,,
10:36.0,D. Nowitzki misses 2-pt shot from 15 ft,,43-54,,
10:35.0,,,43-54,,Defensive rebound by T. Parker
10:25.0,,,43-54,,Turnover by T. Splitter (lost ball)
10:11.0,Shooting foul by T. Parker (drawn by R. Rondo),,43-54,,
10:11.0,R. Rondo makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,45-54,,
10:11.0,R. Rondo makes free throw 1 of 1,1,46-54,,
9:53.0,,,46-56,2,T. Parker makes 2-pt shot from 17 ft (assist by T. Splitter)
9:37.0,M. Ellis makes 2-pt shot from 17 ft,2,48-56,,
9:24.0,Personal foul by R. Rondo (drawn by T. Parker),,48-56,,
9:13.0,,,48-58,2,T. Parker makes 2-pt shot from 15 ft (assist by T. Duncan)
9:02.0,Shooting foul by T. Parker (drawn by T. Chandler),,48-58,,
9:02.0,T. Chandler makes free throw 1 of 2,1,49-58,,
9:02.0,,,49-58,,C. Joseph enters the game for T. Parker
9:02.0,T. Chandler misses free throw 2 of 2,,49-58,,
9:02.0,,,49-58,,Defensive rebound by T. Duncan
8:40.0,,,49-58,,D. Green misses 2-pt shot from 12 ft
8:39.0,Defensive rebound by T. Chandler,,49-58,,
8:31.0,R. Rondo misses 2-pt shot from 5 ft,,49-58,,
8:30.0,Offensive rebound by T. Chandler,,49-58,,
8:30.0,T. Chandler misses 2-pt shot from 3 ft (block by T. Duncan),,49-58,,
8:29.0,,,49-58,,Defensive rebound by D. Green
8:11.0,,,49-58,,K. Leonard misses 2-pt shot from 10 ft
8:10.0,Defensive rebound by C. Parsons,,49-58,,
7:58.0,C. Parsons makes 3-pt shot from 23 ft (assist by R. Rondo),3,52-58,,
7:58.0,,,52-58,,San Antonio full timeout
7:58.0,,,52-58,,M. Ginobili enters the game for D. Green
7:58.0,,,52-58,,B. Diaw enters the game for T. Splitter
7:42.0,,,52-58,,B. Diaw misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by T. Chandler,,52-58,,
7:19.0,R. Rondo misses 2-pt shot from 16 ft,,52-58,,
7:18.0,,,52-58,,Defensive rebound by K. Leonard
7:10.0,Personal foul by M. Ellis (drawn by M. Ginobili),,52-58,,
6:56.0,,,52-58,,C. Joseph misses 2-pt shot from 14 ft
6:55.0,Defensive rebound by T. Chandler,,52-58,,
6:46.0,T. Chandler misses 2-pt shot from 2 ft (block by T. Duncan),,52-58,,
6:44.0,Offensive rebound by T. Chandler,,52-58,,
6:43.0,T. Chandler makes 2-pt shot from 2 ft,2,54-58,,
6:43.0,Shooting foul by T. Duncan (drawn by T. Chandler),,54-58,,
6:43.0,,,54-58,,P. Mills enters the game for C. Joseph
6:43.0,D. Harris enters the game for M. Ellis,,54-58,,
6:43.0,,,54-58,,D. Green enters the game for K. Leonard
6:43.0,T. Chandler misses free throw 1 of 1,,54-58,,
6:43.0,,,54-58,,Defensive rebound by B. Diaw
6:21.0,,,54-58,,P. Mills misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by R. Rondo,,54-58,,
6:06.0,Turnover by R. Rondo (bad pass; steal by P. Mills),,54-58,,
5:58.0,,,54-58,,P. Mills misses 3-pt shot from 23 ft
5:57.0,Defensive rebound by R. Rondo,,54-58,,
5:47.0,,,54-58,,Personal foul by M. Ginobili (drawn by C. Parsons)
5:47.0,A. Aminu enters the game for D. Nowitzki,,54-58,,
5:47.0,,,54-58,,K. Leonard enters the game for B. Diaw
5:35.0,R. Rondo misses 2-pt shot from 20 ft,,54-58,,
5:34.0,,,54-58,,Defensive rebound by M. Ginobili
5:27.0,Personal block foul by A. Aminu (drawn by K. Leonard),,54-58,,
5:13.0,,,54-58,,T. Duncan misses 2-pt shot from 10 ft
5:12.0,Defensive rebound by C. Parsons,,54-58,,
4:55.0,Turnover by D. Harris (bad pass; steal by M. Ginobili),,54-58,,
4:44.0,,,54-58,,M. Ginobili misses 2-pt shot from 1 ft
4:43.0,,,54-58,,Offensive rebound by T. Duncan
4:40.0,,,54-58,,D. Green misses 3-pt shot from 24 ft
4:39.0,,,54-58,,Offensive rebound by T. Duncan
4:18.0,,,54-58,,P. Mills misses 2-pt shot from 8 ft
4:17.0,,,54-58,,Offensive rebound by K. Leonard
4:15.0,,,54-58,,K. Leonard misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by R. Rondo,,54-58,,
4:02.0,C. Parsons misses 2-pt shot from 20 ft,,54-58,,
4:01.0,,,54-58,,Defensive rebound by T. Duncan
3:52.0,,,54-61,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Green)
3:51.0,Dallas full timeout,,54-61,,
3:51.0,A. Stoudemire enters the game for T. Chandler,,54-61,,
3:51.0,,,54-61,,B. Diaw enters the game for T. Duncan
3:51.0,,,54-61,,T. Splitter enters the game for K. Leonard
3:38.0,D. Harris makes 2-pt shot from 16 ft (assist by C. Parsons),2,56-61,,
3:16.0,,,56-64,3,D. Green makes 3-pt shot from 23 ft (assist by P. Mills)
3:10.0,,,56-64,,Personal foul by M. Ginobili (drawn by D. Harris)
3:10.0,D. Harris makes free throw 1 of 2,1,57-64,,
3:10.0,D. Harris makes free throw 2 of 2,1,58-64,,
2:48.0,,,58-64,,M. Ginobili misses 2-pt shot from 14 ft
2:47.0,Defensive rebound by D. Harris,,58-64,,
2:45.0,Offensive foul by D. Harris,,58-64,,
2:45.0,Turnover by D. Harris (offensive foul),,58-64,,
2:32.0,,,58-64,,Turnover by T. Splitter (bad pass; steal by A. Aminu)
2:32.0,,,58-64,,Personal foul by B. Diaw (drawn by A. Aminu)
2:32.0,A. Aminu misses free throw 1 of 2,,58-64,,
2:32.0,Offensive rebound by Team,,58-64,,
2:32.0,A. Aminu makes free throw 2 of 2,1,59-64,,
2:14.0,,,59-64,,M. Ginobili misses 2-pt shot from 7 ft (block by A. Aminu)
2:12.0,Defensive rebound by R. Rondo,,59-64,,
2:08.0,Turnover by R. Rondo (bad pass; steal by M. Ginobili),,59-64,,
1:54.0,,,59-64,,M. Ginobili misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by A. Aminu,,59-64,,
1:35.0,Turnover by C. Parsons (lost ball; steal by M. Ginobili),,59-64,,
1:26.0,,,59-66,2,T. Splitter makes 2-pt shot at rim (assist by M. Ginobili)
1:26.0,Dallas full timeout,,59-66,,
1:26.0,D. Nowitzki enters the game for C. Parsons,,59-66,,
1:26.0,R. Felton enters the game for R. Rondo,,59-66,,
1:06.0,A. Stoudemire makes 2-pt shot from 1 ft,2,61-66,,
0:42.0,,,61-66,,D. Green misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by D. Nowitzki,,61-66,,
0:35.0,D. Harris misses 3-pt shot from 25 ft,,61-66,,
0:33.0,Offensive rebound by A. Aminu,,61-66,,
0:13.0,D. Harris misses 3-pt shot from 24 ft,,61-66,,
0:12.0,,,61-66,,Defensive rebound by T. Splitter
0:10.0,Personal foul by R. Felton (drawn by M. Ginobili),,61-66,,
0:10.0,,,61-66,,M. Belinelli enters the game for M. Ginobili
0:10.0,R. Jefferson enters the game for D. Nowitzki,,61-66,,
0:10.0,T. Chandler enters the game for A. Stoudemire,,61-66,,
0:04.0,,,61-69,3,D. Green makes 3-pt shot from 25 ft (assist by M. Belinelli)
0:00.0,R. Felton misses 3-pt shot from 26 ft,,61-69,,
0:00.0,Offensive rebound by Team,,61-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,61-69,,Turnover by D. Green (bad pass; steal by D. Harris)
11:36.0,D. Harris misses 2-pt shot from 1 ft,,61-69,,
11:35.0,,,61-69,,Defensive rebound by M. Belinelli
11:16.0,,,61-72,3,B. Diaw makes 3-pt shot from 24 ft (assist by D. Green)
10:55.0,A. Stoudemire misses 2-pt shot from 4 ft,,61-72,,
10:54.0,,,61-72,,Defensive rebound by D. Green
10:34.0,Violation by D. Nowitzki (kicked ball),,61-72,,
10:27.0,,,61-72,,T. Parker misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by D. Nowitzki,,61-72,,
10:19.0,R. Felton misses 2-pt shot from 4 ft,,61-72,,
10:18.0,,,61-72,,Defensive rebound by T. Splitter
9:57.0,,,61-74,2,T. Splitter makes 2-pt shot from 4 ft
9:49.0,Dallas full timeout,,61-74,,
9:49.0,,,61-74,,T. Duncan enters the game for T. Splitter
9:40.0,,,61-74,,Personal foul by T. Duncan (drawn by A. Stoudemire)
9:40.0,R. Rondo enters the game for R. Felton,,61-74,,
9:35.0,Turnover by D. Nowitzki (offensive foul),,61-74,,
9:35.0,Offensive foul by D. Nowitzki,,61-74,,
9:21.0,,,61-76,2,D. Green makes 2-pt shot from 11 ft (assist by T. Parker)
9:06.0,D. Nowitzki misses 2-pt shot from 14 ft,,61-76,,
9:05.0,,,61-76,,Defensive rebound by T. Duncan
8:53.0,,,61-76,,Offensive foul by M. Belinelli
8:53.0,,,61-76,,Turnover by M. Belinelli (offensive foul)
8:53.0,T. Chandler enters the game for A. Stoudemire,,61-76,,
8:53.0,C. Parsons enters the game for D. Nowitzki,,61-76,,
8:53.0,,,61-76,,K. Leonard enters the game for M. Belinelli
8:42.0,D. Harris misses 2-pt shot from 3 ft,,61-76,,
8:41.0,Offensive rebound by T. Chandler,,61-76,,
8:41.0,T. Chandler makes 2-pt shot at rim,2,63-76,,
8:20.0,,,63-76,,B. Diaw misses 2-pt shot from 6 ft
8:19.0,Defensive rebound by C. Parsons,,63-76,,
8:14.0,Turnover by R. Rondo (lost ball; steal by K. Leonard),,63-76,,
8:06.0,,,63-76,,K. Leonard misses 3-pt shot from 25 ft
8:04.0,,,63-76,,Offensive rebound by T. Duncan
8:04.0,Personal foul by R. Rondo (drawn by T. Duncan),,63-76,,
7:45.0,,,63-78,2,B. Diaw makes 2-pt shot from 4 ft (assist by K. Leonard)
7:30.0,Turnover by A. Aminu (bad pass; steal by D. Green),,63-78,,
7:24.0,,,63-78,,Shooting foul by C. Parsons (drawn by T. Duncan)
7:24.0,,,63-79,1,T. Duncan makes free throw 1 of 2
7:24.0,,,63-79,,M. Ginobili enters the game for D. Green
7:24.0,R. Jefferson enters the game for A. Aminu,,63-79,,
7:24.0,,,63-80,1,T. Duncan makes free throw 2 of 2
7:03.0,Turnover by C. Parsons (bad pass),,63-80,,
6:43.0,,,63-80,,Shooting foul by C. Parsons (drawn by K. Leonard)
6:43.0,,,63-80,,K. Leonard misses free throw 1 of 2
6:43.0,,,63-80,,Offensive rebound by Team
6:43.0,,,63-81,1,K. Leonard makes free throw 2 of 2
6:37.0,R. Rondo misses 2-pt shot from 9 ft,,63-81,,
6:36.0,Offensive rebound by T. Chandler,,63-81,,
6:28.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,65-81,,
6:07.0,,,65-81,,K. Leonard misses 2-pt shot from 15 ft
6:05.0,Defensive rebound by D. Harris,,65-81,,
5:56.0,C. Parsons misses 2-pt shot from 2 ft,,65-81,,
5:55.0,,,65-81,,Defensive rebound by K. Leonard
5:45.0,,,65-81,,San Antonio full timeout
5:45.0,D. Nowitzki enters the game for R. Jefferson,,65-81,,
5:34.0,,,65-83,2,B. Diaw makes 2-pt shot from 11 ft (assist by M. Ginobili)
5:20.0,Shooting foul by M. Ginobili (drawn by T. Chandler),,65-83,,
5:20.0,,,65-83,,T. Splitter enters the game for B. Diaw
5:20.0,T. Chandler makes free throw 1 of 2,1,66-83,,
5:20.0,T. Chandler misses free throw 2 of 2,,66-83,,
5:20.0,,,66-83,,Defensive rebound by K. Leonard
5:01.0,,,66-83,,T. Duncan misses 2-pt shot from 6 ft
5:00.0,,,66-83,,Offensive rebound by T. Splitter
5:00.0,,,66-83,,Shooting foul by D. Nowitzki (drawn by T. Splitter)
5:00.0,,,66-84,1,T. Splitter makes free throw 1 of 2
5:00.0,,,66-85,1,T. Splitter makes free throw 2 of 2
4:45.0,D. Harris makes 2-pt shot at rim (assist by D. Nowitzki),2,68-85,,
4:24.0,,,68-87,2,T. Splitter makes 2-pt shot from 1 ft (assist by M. Ginobili)
4:12.0,C. Parsons misses 2-pt shot from 6 ft,,68-87,,
4:11.0,Offensive rebound by T. Chandler,,68-87,,
