time,Sacramento,pts.away,score,pts.home,LA Clippers
6:32.0,,,15-12,,J. Redick misses 2-pt shot from 2 ft (block by J. Thompson)
6:29.0,Defensive rebound by B. McLemore,,15-12,,
6:23.0,D. Cousins misses 2-pt shot from 1 ft,,15-12,,
6:21.0,,,15-12,,Defensive rebound by C. Paul
6:15.0,,,15-12,,M. Barnes misses 2-pt shot from 2 ft (block by R. McCallum)
6:14.0,,,15-12,,Offensive rebound by M. Barnes
6:11.0,,,15-15,3,J. Redick makes 3-pt shot from 25 ft (assist by M. Barnes)
6:09.0,Sacramento full timeout,,15-15,,
5:53.0,Shooting foul by S. Hawes (drawn by D. Cousins),,15-15,,
5:53.0,D. Cousins misses free throw 1 of 2,,15-15,,
5:53.0,Offensive rebound by Team,,15-15,,
5:53.0,D. Williams enters the game for J. Thompson,,15-15,,
5:53.0,D. Cousins misses free throw 2 of 2,,15-15,,
5:51.0,Offensive rebound by R. McCallum,,15-15,,
5:45.0,R. Gay makes 3-pt shot from 24 ft (assist by R. McCallum),3,18-15,,
5:34.0,,,18-15,,Turnover by C. Paul (bad pass; steal by D. Cousins)
5:32.0,Shooting foul by D. Jordan (drawn by D. Cousins),,18-15,,
5:32.0,D. Cousins makes free throw 1 of 2,1,19-15,,
5:32.0,D. Cousins makes free throw 2 of 2,1,20-15,,
5:13.0,,,20-15,,D. Jordan misses 2-pt shot from 1 ft
5:11.0,,,20-15,,Offensive rebound by D. Jordan
5:11.0,,,20-15,,D. Jordan misses 2-pt shot from 2 ft
5:08.0,,,20-15,,Offensive rebound by D. Jordan
5:08.0,,,20-15,,D. Jordan misses 2-pt shot at rim
5:06.0,Defensive rebound by D. Cousins,,20-15,,
5:00.0,D. Cousins makes 2-pt shot from 18 ft (assist by B. McLemore),2,22-15,,
4:44.0,,,22-15,,Turnover by S. Hawes (traveling)
4:31.0,D. Cousins misses 2-pt shot from 18 ft,,22-15,,
4:30.0,,,22-15,,Defensive rebound by S. Hawes
4:20.0,,,22-15,,Shooting foul by B. McLemore (drawn by J. Redick)
4:20.0,,,22-16,1,J. Redick makes free throw 1 of 2
4:20.0,O. Casspi enters the game for B. McLemore,,22-16,,
4:20.0,,,22-17,1,J. Redick makes free throw 2 of 2
4:06.0,R. Gay misses 3-pt shot from 25 ft,,22-17,,
4:04.0,,,22-17,,Defensive rebound by D. Jordan
3:54.0,,,22-17,,C. Paul misses 2-pt shot from 1 ft (block by R. McCallum)
3:54.0,Defensive rebound by R. McCallum,,22-17,,
3:54.0,Shooting foul by S. Hawes (drawn by D. Williams),,22-17,,
3:54.0,D. Williams misses free throw 1 of 2,,22-17,,
3:54.0,Offensive rebound by Team,,22-17,,
3:54.0,,,22-17,,J. Crawford enters the game for J. Redick
3:54.0,,,22-17,,G. Davis enters the game for S. Hawes
3:54.0,A. Miller enters the game for R. Gay,,22-17,,
3:54.0,D. Williams makes free throw 2 of 2,1,23-17,,
3:40.0,,,23-17,,C. Paul misses 3-pt shot from 23 ft
3:38.0,Defensive rebound by O. Casspi,,23-17,,
3:26.0,R. McCallum makes 2-pt shot from 17 ft (assist by A. Miller),2,25-17,,
3:21.0,,,25-17,,LA Clippers full timeout
3:21.0,,,25-17,,A. Rivers enters the game for M. Barnes
3:16.0,,,25-17,,J. Crawford misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by O. Casspi,,25-17,,
3:00.0,D. Cousins misses 2-pt shot at rim (block by G. Davis),,25-17,,
2:58.0,,,25-17,,Defensive rebound by C. Paul
2:52.0,,,25-19,2,J. Crawford makes 2-pt shot from 16 ft (assist by C. Paul)
2:35.0,R. McCallum misses 2-pt shot from 14 ft,,25-19,,
2:33.0,Offensive rebound by R. McCallum,,25-19,,
2:31.0,Shooting foul by C. Paul (drawn by R. McCallum),,25-19,,
2:31.0,R. McCallum makes free throw 1 of 2,1,26-19,,
2:31.0,R. McCallum makes free throw 2 of 2,1,27-19,,
2:22.0,,,27-19,,Turnover by A. Rivers (lost ball)
2:05.0,,,27-19,,H. Turkoglu enters the game for D. Jordan
1:58.0,R. McCallum makes 2-pt shot from 19 ft,2,29-19,,
1:43.0,,,29-19,,J. Crawford misses 2-pt shot from 20 ft
1:41.0,Defensive rebound by D. Williams,,29-19,,
1:36.0,Turnover by A. Miller (bad pass),,29-19,,
1:30.0,,,29-19,,J. Crawford misses 3-pt shot from 22 ft
1:29.0,,,29-19,,Offensive rebound by G. Davis
1:24.0,,,29-22,3,A. Rivers makes 3-pt shot from 24 ft (assist by G. Davis)
1:07.0,D. Cousins misses 2-pt shot from 2 ft,,29-22,,
1:05.0,,,29-22,,Defensive rebound by H. Turkoglu
1:00.0,,,29-24,2,A. Rivers makes 2-pt shot at rim (assist by C. Paul)
0:54.0,Turnover by R. McCallum (lost ball),,29-24,,
0:54.0,,,29-24,,J. Redick enters the game for C. Paul
0:54.0,J. Thompson enters the game for D. Cousins,,29-24,,
0:31.0,,,29-24,,J. Crawford misses 3-pt shot from 22 ft
0:30.0,Defensive rebound by R. McCallum,,29-24,,
0:09.0,Turnover by O. Casspi (traveling),,29-24,,
0:09.0,,,29-24,,C. Paul enters the game for G. Davis
0:02.0,,,29-24,,J. Crawford misses 2-pt shot from 8 ft
0:01.0,Defensive rebound by J. Thompson,,29-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Williams misses 3-pt shot from 24 ft,,29-24,,
11:38.0,,,29-24,,Defensive rebound by J. Crawford
11:24.0,,,29-26,2,J. Crawford makes 2-pt shot from 2 ft
11:11.0,A. Miller misses 2-pt shot from 8 ft,,29-26,,
11:09.0,,,29-26,,Defensive rebound by G. Davis
11:01.0,,,29-26,,A. Rivers misses 2-pt shot from 16 ft
11:00.0,Defensive rebound by O. Casspi,,29-26,,
10:51.0,O. Casspi misses 2-pt shot from 6 ft,,29-26,,
10:50.0,,,29-26,,Defensive rebound by J. Redick
10:43.0,,,29-26,,Shooting foul by R. Gay (drawn by G. Davis)
10:43.0,,,29-26,,G. Davis misses free throw 1 of 2
10:43.0,,,29-26,,Offensive rebound by Team
10:43.0,,,29-26,,G. Davis misses free throw 2 of 2
10:42.0,Defensive rebound by D. Williams,,29-26,,
10:28.0,Turnover by A. Miller (bad pass),,29-26,,
10:07.0,,,29-29,3,J. Redick makes 3-pt shot from 22 ft (assist by J. Crawford)
9:53.0,Turnover by R. Gay (bad pass; steal by J. Crawford),,29-29,,
9:49.0,,,29-31,2,A. Rivers makes 2-pt shot at rim (assist by J. Crawford)
9:49.0,Sacramento full timeout,,29-31,,
9:33.0,,,29-31,,Personal foul by A. Rivers (drawn by R. Gay)
9:17.0,Turnover by J. Thompson (bad pass; steal by H. Turkoglu),,29-31,,
9:12.0,,,29-33,2,G. Davis makes 2-pt shot from 1 ft (assist by J. Crawford)
9:12.0,,,29-33,,Shooting foul by J. Thompson (drawn by G. Davis)
9:12.0,,,29-33,,G. Davis misses free throw 1 of 1
9:10.0,Defensive rebound by D. Williams,,29-33,,
8:54.0,O. Casspi misses 2-pt shot from 11 ft,,29-33,,
8:53.0,,,29-33,,Defensive rebound by G. Davis
8:46.0,,,29-35,2,J. Crawford makes 2-pt shot from 2 ft
8:25.0,A. Miller makes 2-pt shot from 7 ft,2,31-35,,
8:03.0,,,31-35,,J. Crawford misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by O. Casspi,,31-35,,
7:52.0,D. Williams misses 2-pt shot from 10 ft,,31-35,,
7:51.0,,,31-35,,Defensive rebound by G. Davis
7:40.0,,,31-35,,Turnover by J. Crawford (bad pass; steal by D. Williams)
7:37.0,Shooting foul by H. Turkoglu (drawn by D. Williams),,31-35,,
7:37.0,D. Williams makes free throw 1 of 2,1,32-35,,
7:37.0,D. Cousins enters the game for J. Thompson,,32-35,,
7:37.0,,,32-35,,D. Jordan enters the game for H. Turkoglu
7:37.0,,,32-35,,M. Barnes enters the game for J. Redick
7:37.0,D. Williams makes free throw 2 of 2,1,33-35,,
7:24.0,,,33-35,,Shooting foul by A. Miller (drawn by J. Crawford)
7:24.0,,,33-36,1,J. Crawford makes free throw 1 of 2
7:24.0,,,33-36,,C. Paul enters the game for A. Rivers
7:24.0,B. McLemore enters the game for D. Williams,,33-36,,
7:24.0,,,33-37,1,J. Crawford makes free throw 2 of 2
7:06.0,R. Gay misses 2-pt shot from 2 ft (block by D. Jordan),,33-37,,
7:03.0,Offensive rebound by D. Cousins,,33-37,,
7:01.0,D. Cousins misses 2-pt shot from 1 ft,,33-37,,
7:00.0,,,33-37,,Defensive rebound by D. Jordan
6:55.0,,,33-40,3,M. Barnes makes 3-pt shot from 24 ft (assist by J. Crawford)
6:32.0,R. Gay misses 2-pt shot from 2 ft (block by G. Davis),,33-40,,
6:31.0,,,33-40,,Defensive rebound by G. Davis
6:23.0,,,33-42,2,J. Crawford makes 2-pt shot at rim (assist by M. Barnes)
6:15.0,B. McLemore misses 2-pt shot from 3 ft (block by G. Davis),,33-42,,
6:15.0,Offensive rebound by Team,,33-42,,
6:15.0,R. McCallum enters the game for A. Miller,,33-42,,
6:15.0,,,33-42,,A. Rivers enters the game for J. Crawford
6:15.0,,,33-42,,J. Redick enters the game for G. Davis
6:06.0,D. Cousins misses 2-pt shot from 2 ft,,33-42,,
6:05.0,,,33-42,,Defensive rebound by C. Paul
5:57.0,,,33-42,,J. Redick misses 2-pt shot from 2 ft (block by D. Cousins)
5:55.0,,,33-42,,Offensive rebound by D. Jordan
5:53.0,,,33-44,2,D. Jordan makes 2-pt shot from 1 ft
5:50.0,Sacramento full timeout,,33-44,,
5:50.0,Official timeout,,33-44,,
5:38.0,Turnover by D. Cousins (bad pass; steal by D. Jordan),,33-44,,
5:31.0,,,33-47,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Redick)
5:09.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. McCallum),2,35-47,,
4:48.0,,,35-47,,C. Paul misses 2-pt shot from 17 ft
4:47.0,Defensive rebound by O. Casspi,,35-47,,
4:41.0,R. McCallum makes 2-pt shot from 1 ft,2,37-47,,
4:31.0,,,37-50,3,A. Rivers makes 3-pt shot from 23 ft (assist by C. Paul)
4:12.0,O. Casspi misses 3-pt shot from 24 ft,,37-50,,
4:11.0,,,37-50,,Defensive rebound by D. Jordan
3:59.0,,,37-50,,A. Rivers misses 3-pt shot from 26 ft
3:57.0,,,37-50,,Offensive rebound by D. Jordan
3:54.0,,,37-50,,D. Jordan misses 2-pt shot at rim (block by D. Cousins)
3:53.0,Defensive rebound by R. McCallum,,37-50,,
3:43.0,Shooting foul by J. Redick (drawn by R. Gay),,37-50,,
3:43.0,R. Gay makes free throw 1 of 2,1,38-50,,
3:43.0,,,38-50,,LA Clippers full timeout
3:43.0,R. Gay makes free throw 2 of 2,1,39-50,,
3:31.0,,,39-52,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick)
3:13.0,Offensive foul by D. Cousins,,39-52,,
3:13.0,Turnover by D. Cousins (offensive foul),,39-52,,
3:13.0,,,39-52,,J. Crawford enters the game for A. Rivers
2:56.0,,,39-54,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
2:45.0,D. Cousins misses 2-pt shot from 1 ft,,39-54,,
2:42.0,Offensive rebound by O. Casspi,,39-54,,
2:42.0,O. Casspi makes 2-pt shot at rim,2,41-54,,
2:28.0,,,41-56,2,C. Paul makes 2-pt shot from 19 ft
2:08.0,B. McLemore misses 3-pt shot from 26 ft,,41-56,,
2:08.0,Offensive rebound by Team,,41-56,,
2:08.0,,,41-56,,Loose ball foul by J. Crawford (drawn by O. Casspi)
2:00.0,R. Gay misses 2-pt shot from 2 ft (block by M. Barnes),,41-56,,
2:00.0,Offensive rebound by Team,,41-56,,
1:56.0,B. McLemore makes 2-pt shot from 19 ft (assist by R. Gay),2,43-56,,
1:40.0,,,43-59,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
1:30.0,D. Cousins misses 2-pt shot at rim,,43-59,,
1:29.0,Offensive rebound by D. Cousins,,43-59,,
1:27.0,D. Cousins makes 2-pt shot from 1 ft,2,45-59,,
1:14.0,Violation by B. McLemore (def goaltending),,45-59,,
1:14.0,,,45-61,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick)
0:53.0,R. McCallum misses 2-pt shot from 13 ft,,45-61,,
0:50.0,Offensive rebound by O. Casspi,,45-61,,
0:43.0,Shooting foul by D. Jordan (drawn by D. Cousins),,45-61,,
0:43.0,D. Cousins makes free throw 1 of 2,1,46-61,,
0:43.0,D. Williams enters the game for O. Casspi,,46-61,,
0:43.0,D. Cousins makes free throw 2 of 2,1,47-61,,
0:30.0,,,47-63,2,C. Paul makes 2-pt shot from 19 ft
0:19.0,Turnover by D. Cousins (bad pass; steal by M. Barnes),,47-63,,
0:02.0,,,47-66,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
0:00.0,B. McLemore misses 3-pt shot from 34 ft,,47-66,,
0:00.0,Offensive rebound by Team,,47-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,R. Gay misses 3-pt shot from 23 ft,,47-66,,
11:39.0,,,47-66,,Defensive rebound by S. Hawes
11:31.0,,,47-68,2,C. Paul makes 2-pt shot from 15 ft
11:15.0,,,47-68,,Personal foul by D. Jordan (drawn by D. Cousins)
10:59.0,B. McLemore misses 3-pt shot from 24 ft,,47-68,,
10:57.0,,,47-68,,Defensive rebound by M. Barnes
10:48.0,,,47-68,,Turnover by C. Paul (bad pass; steal by R. McCallum)
10:37.0,B. McLemore makes 2-pt shot from 17 ft (assist by D. Cousins),2,49-68,,
10:14.0,Violation by R. McCallum (kicked ball),,49-68,,
10:06.0,,,49-68,,J. Redick misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by J. Thompson,,49-68,,
9:56.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. McCallum),2,51-68,,
9:39.0,,,51-70,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
9:28.0,Shooting foul by D. Jordan (drawn by D. Cousins),,51-70,,
9:28.0,D. Cousins makes free throw 1 of 2,1,52-70,,
9:28.0,,,52-70,,G. Davis enters the game for D. Jordan
9:28.0,D. Cousins makes free throw 2 of 2,1,53-70,,
9:16.0,,,53-70,,Turnover by S. Hawes (traveling)
9:16.0,Technical foul by D. Cousins,,53-70,,
9:16.0,,,53-71,1,J. Redick makes technical free throw
9:06.0,Shooting foul by S. Hawes (drawn by D. Cousins),,53-71,,
9:06.0,D. Cousins makes free throw 1 of 2,1,54-71,,
9:06.0,D. Cousins makes free throw 2 of 2,1,55-71,,
8:54.0,,,55-73,2,C. Paul makes 2-pt shot from 17 ft
8:41.0,,,55-73,,Personal foul by G. Davis (drawn by D. Cousins)
8:33.0,D. Cousins misses 2-pt shot from 13 ft,,55-73,,
8:32.0,,,55-73,,Defensive rebound by S. Hawes
8:26.0,,,55-73,,Shooting foul by B. McLemore (drawn by G. Davis)
8:26.0,Technical foul by B. McLemore (drawn by G. Davis),,55-73,,
8:26.0,,,55-74,1,J. Redick makes technical free throw
8:26.0,,,55-74,,G. Davis misses free throw 1 of 2
8:26.0,,,55-74,,Offensive rebound by Team
8:26.0,,,55-75,1,G. Davis makes free throw 2 of 2
8:18.0,,,55-75,,Personal foul by C. Paul (drawn by D. Cousins)
8:18.0,D. Cousins makes free throw 1 of 2,1,56-75,,
8:18.0,D. Cousins misses free throw 2 of 2,,56-75,,
8:17.0,,,56-75,,Defensive rebound by G. Davis
7:53.0,,,56-77,2,J. Redick makes 2-pt shot from 21 ft (assist by G. Davis)
7:35.0,D. Cousins misses 2-pt shot from 21 ft,,56-77,,
7:34.0,,,56-77,,Defensive rebound by M. Barnes
7:28.0,,,56-77,,M. Barnes misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by B. McLemore,,56-77,,
7:17.0,D. Cousins misses 2-pt shot from 6 ft,,56-77,,
7:16.0,,,56-77,,Defensive rebound by M. Barnes
7:10.0,,,56-77,,J. Redick misses 3-pt shot from 23 ft
7:08.0,Defensive rebound by R. McCallum,,56-77,,
7:00.0,,,56-77,,Violation by M. Barnes (kicked ball)
7:00.0,A. Miller enters the game for R. McCallum,,56-77,,
6:49.0,J. Thompson misses 2-pt shot from 18 ft,,56-77,,
6:46.0,Offensive rebound by R. Gay,,56-77,,
6:46.0,R. Gay makes 2-pt shot at rim,2,58-77,,
6:31.0,,,58-77,,M. Barnes misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by J. Thompson,,58-77,,
6:21.0,R. Gay misses 2-pt shot from 6 ft,,58-77,,
6:19.0,,,58-77,,Defensive rebound by M. Barnes
6:10.0,,,58-77,,Shooting foul by D. Cousins (drawn by G. Davis)
6:10.0,,,58-77,,G. Davis misses free throw 1 of 2
6:10.0,,,58-77,,Offensive rebound by Team
6:10.0,D. Williams enters the game for J. Thompson,,58-77,,
6:10.0,,,58-77,,G. Davis misses free throw 2 of 2
6:09.0,Defensive rebound by D. Williams,,58-77,,
6:00.0,Offensive foul by D. Cousins,,58-77,,
6:00.0,Turnover by D. Cousins (offensive foul),,58-77,,
6:00.0,,,58-77,,LA Clippers full timeout
5:48.0,,,58-77,,C. Paul misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by R. Gay,,58-77,,
5:35.0,Turnover by D. Cousins (lost ball),,58-77,,
5:22.0,,,58-79,2,C. Paul makes 2-pt shot from 11 ft (assist by M. Barnes)
5:14.0,Shooting foul by M. Barnes (drawn by D. Williams),,58-79,,
5:14.0,D. Williams makes free throw 1 of 2,1,59-79,,
5:14.0,,,59-79,,J. Crawford enters the game for J. Redick
5:14.0,C. Landry enters the game for D. Cousins,,59-79,,
5:14.0,D. Williams makes free throw 2 of 2,1,60-79,,
4:52.0,,,60-79,,G. Davis misses 2-pt shot from 2 ft
4:49.0,,,60-79,,Offensive rebound by S. Hawes
4:49.0,,,60-81,2,S. Hawes makes 2-pt shot at rim
4:40.0,Turnover by A. Miller (bad pass),,60-81,,
4:37.0,,,60-81,,Offensive foul by G. Davis
4:37.0,,,60-81,,Turnover by G. Davis (offensive foul)
4:20.0,D. Williams misses 3-pt shot from 25 ft,,60-81,,
4:18.0,Offensive rebound by A. Miller,,60-81,,
4:14.0,D. Williams makes 2-pt shot at rim (assist by A. Miller),2,62-81,,
3:56.0,,,62-83,2,J. Crawford makes 2-pt shot from 3 ft (assist by C. Paul)
3:34.0,Shooting foul by C. Paul (drawn by R. Gay),,62-83,,
3:34.0,R. Gay misses free throw 1 of 2,,62-83,,
3:34.0,Offensive rebound by Team,,62-83,,
3:34.0,,,62-83,,H. Turkoglu enters the game for S. Hawes
3:34.0,R. Gay misses free throw 2 of 2,,62-83,,
3:33.0,,,62-83,,Defensive rebound by M. Barnes
3:25.0,,,62-83,,Shooting foul by D. Williams (drawn by G. Davis)
3:25.0,,,62-84,1,G. Davis makes free throw 1 of 2
3:25.0,,,62-84,,A. Rivers enters the game for C. Paul
3:25.0,,,62-85,1,G. Davis makes free throw 2 of 2
3:06.0,B. McLemore misses 2-pt shot from 18 ft,,62-85,,
3:03.0,Offensive rebound by Team,,62-85,,
2:59.0,R. Gay misses 2-pt shot from 1 ft,,62-85,,
2:58.0,,,62-85,,Defensive rebound by H. Turkoglu
2:52.0,,,62-87,2,J. Crawford makes 2-pt shot from 4 ft
2:40.0,A. Miller misses 2-pt shot from 10 ft,,62-87,,
2:39.0,,,62-87,,Defensive rebound by H. Turkoglu
2:31.0,,,62-89,2,A. Rivers makes 2-pt shot from 1 ft (assist by J. Crawford)
2:24.0,Sacramento full timeout,,62-89,,
2:24.0,N. Stauskas enters the game for B. McLemore,,62-89,,
2:10.0,,,62-89,,Def 3 sec tech foul by A. Rivers
2:10.0,R. Gay makes technical free throw,1,63-89,,
2:00.0,A. Miller misses 2-pt shot from 1 ft,,63-89,,
1:58.0,,,63-89,,Defensive rebound by G. Davis
1:50.0,,,63-91,2,J. Crawford makes 2-pt shot from 16 ft
1:39.0,R. Gay misses 2-pt shot from 2 ft (block by M. Barnes),,63-91,,
1:39.0,,,63-91,,Defensive rebound by Team
1:35.0,,,63-94,3,J. Crawford makes 3-pt shot from 23 ft (assist by G. Davis)
1:20.0,C. Landry misses 2-pt shot from 9 ft,,63-94,,
1:16.0,Offensive rebound by R. Gay,,63-94,,
1:16.0,R. Gay misses 2-pt shot from 1 ft,,63-94,,
1:15.0,,,63-94,,Defensive rebound by M. Barnes
1:09.0,,,63-96,2,J. Crawford makes 2-pt shot from 15 ft (assist by M. Barnes)
0:56.0,D. Williams misses 2-pt shot from 15 ft,,63-96,,
0:55.0,,,63-96,,Defensive rebound by G. Davis
0:35.0,,,63-96,,J. Crawford misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by C. Landry,,63-96,,
0:24.0,Turnover by N. Stauskas (lost ball; steal by A. Rivers),,63-96,,
0:19.0,,,63-96,,Shooting foul by A. Miller (drawn by A. Rivers)
0:19.0,,,63-97,1,A. Rivers makes free throw 1 of 2
0:19.0,O. Casspi enters the game for R. Gay,,63-97,,
0:19.0,,,63-97,,A. Rivers misses free throw 2 of 2
0:19.0,Defensive rebound by O. Casspi,,63-97,,
0:03.0,,,63-97,,Personal foul by J. Crawford (drawn by N. Stauskas)
0:03.0,N. Stauskas makes free throw 1 of 2,1,64-97,,
0:03.0,N. Stauskas makes free throw 2 of 2,1,65-97,,
0:00.0,,,65-97,,H. Turkoglu misses 3-pt shot from 31 ft
0:00.0,,,65-97,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,65-100,3,A. Rivers makes 3-pt shot from 25 ft (assist by S. Hawes)
11:30.0,C. Landry misses 2-pt shot from 2 ft (block by S. Hawes),,65-100,,
11:28.0,,,65-100,,Defensive rebound by C. Wilcox
11:20.0,,,65-102,2,J. Crawford makes 2-pt shot from 4 ft (assist by C. Wilcox)
11:04.0,C. Landry misses 2-pt shot from 2 ft (block by S. Hawes),,65-102,,
11:03.0,Offensive rebound by C. Landry,,65-102,,
11:00.0,C. Landry makes 2-pt shot from 3 ft,2,67-102,,
10:44.0,,,67-104,2,C. Wilcox makes 2-pt shot from 20 ft
10:32.0,C. Landry misses 2-pt shot from 16 ft,,67-104,,
10:32.0,Offensive rebound by O. Casspi,,67-104,,
10:32.0,Shooting foul by J. Crawford (drawn by O. Casspi),,67-104,,
10:32.0,O. Casspi makes free throw 1 of 2,1,68-104,,
10:32.0,J. Thompson enters the game for D. Williams,,68-104,,
10:32.0,O. Casspi misses free throw 2 of 2,,68-104,,
10:30.0,,,68-104,,Defensive rebound by H. Turkoglu
10:14.0,,,68-104,,J. Crawford misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by O. Casspi,,68-104,,
10:06.0,N. Stauskas misses 2-pt shot from 1 ft,,68-104,,
10:05.0,Offensive rebound by C. Landry,,68-104,,
10:05.0,Shooting foul by S. Hawes (drawn by C. Landry),,68-104,,
10:05.0,C. Landry makes free throw 1 of 2,1,69-104,,
10:05.0,C. Landry makes free throw 2 of 2,1,70-104,,
9:55.0,,,70-107,3,A. Rivers makes 3-pt shot from 24 ft (assist by J. Crawford)
9:34.0,A. Miller makes 2-pt shot from 1 ft (assist by C. Landry),2,72-107,,
9:26.0,,,72-107,,Offensive foul by C. Wilcox
9:26.0,,,72-107,,Turnover by C. Wilcox (offensive foul)
9:26.0,,,72-107,,D. Jones enters the game for J. Crawford
9:10.0,Shooting foul by S. Hawes (drawn by C. Landry),,72-107,,
9:10.0,C. Landry makes free throw 1 of 2,1,73-107,,
